sequence,v115@OhC8GeC8CeA8AeE8Jei/IvhFzgBfnBxiBcpBeqBFrB,v115@OhC8GeC8CeA8AeE8JeOEJvhF8kBzgBfnBxnByuBFrB,v115@OhC8GeC8CeA8AeE8JeT/IvhF0hBxiBllBXlB2uBirB,v115@OhC8GeC8CeA8AeE8Jei/IvhFFhBxiBcpBzmBmqBXqB,v115@OhC8GeC8CeA8AeE8Jem/IvhFzgBfnBxiBipBFrB0pB,v115@OhC8GeC8CeA8AeE8JeyEJvhFzgBfnB0kBxnB2uBFrB,v115@OhC8GeC8CeA8AeE8JeOEJvhF8kBFhBxiBfrBzmByuB,v115@OhC8GeC8CeA8AeE8JezAJvhFfnBxiBmkB0pBFrBipB,v115@OhC8GeC8CeA8AeE8Je/EJvhFUgBxiByqBzmB2uBFrB,v115@OhC8GeC8CeA8AeE8JeFBJvhFxiBmkBfrBzmB0pBipB,v115@OhC8GeC8CeA8AeE8JefHJvhFxiBikBUmBFqBTpBmqB
TSLZJOI,O,O,O,X,O,X,O,O,X,X,O
TSLZOIJ,X,O,X,X,O,X,O,O,X,X,O
TSLZOJI,X,O,X,X,O,X,O,O,X,X,O
TSLOIJZ,O,O,X,X,O,O,O,X,X,X,X
TSLOIZJ,X,O,X,X,O,X,O,O,X,X,X
TSLOJIZ,O,O,X,X,O,O,O,X,X,X,X
TSLOJZI,O,O,X,X,O,O,O,X,X,X,X
TSLOZIJ,X,O,X,X,O,X,O,O,X,X,X
TSLOZJI,X,O,X,X,O,X,O,O,X,X,X
TSJILZO,O,O,X,X,O,O,O,X,X,X,X
TSJILOZ,O,O,X,X,O,O,X,X,X,X,X
TSJIZLO,O,X,X,X,X,O,X,O,X,X,X
TSJIZOL,O,X,O,X,X,O,X,O,X,X,X
TSJIOLZ,O,O,X,X,O,O,X,X,X,X,X
TSJIOZL,O,X,O,X,X,O,X,O,X,X,X
TSJLIZO,O,O,O,X,O,O,O,X,X,X,X
TSJLIOZ,O,O,O,X,O,O,X,X,X,X,X
TSJLZIO,O,O,O,X,O,O,O,X,X,X,X
TSJLZOI,O,O,O,X,O,O,O,X,X,X,X
TSJLOIZ,O,O,O,X,O,O,X,X,X,X,X
TSJLOZI,O,O,O,X,O,O,X,X,X,X,X
TSJZILO,O,X,X,X,X,O,X,O,X,X,X
TSJZIOL,O,X,O,X,X,O,X,O,X,X,X
TSJZLIO,O,X,X,X,X,O,X,O,X,X,X
TSJZLOI,O,X,X,X,X,O,X,O,X,X,X
TSJZOIL,O,X,O,X,X,O,X,O,X,X,X
TSJZOLI,O,X,O,X,X,O,X,O,X,X,X
TSJOILZ,O,O,X,X,O,O,X,X,X,X,X
TSJOIZL,O,X,O,X,X,O,X,O,X,X,X
TSJOLIZ,O,O,O,X,O,O,X,X,X,X,X
TSJOLZI,O,O,O,X,O,O,X,X,X,X,X
TSJOZIL,O,X,O,X,X,O,X,O,X,X,X
TSJOZLI,O,X,O,X,X,O,X,O,X,X,X
TSZILJO,O,O,X,X,O,X,O,O,X,X,O
TSZILOJ,X,O,X,X,O,X,O,O,X,X,O
TSZIJLO,O,X,X,X,X,O,X,O,X,X,O
TSZIJOL,O,X,O,X,X,O,X,O,X,X,X
TSZIOLJ,X,O,X,X,O,X,X,O,X,X,O
TSZIOJL,O,X,X,X,X,O,X,O,X,X,X
TSZLIJO,O,O,X,X,O,X,O,O,X,X,O
TSZLIOJ,X,O,X,X,O,X,O,O,X,X,O
TSZLJIO,O,O,X,X,O,X,O,O,X,X,O
TSZLJOI,O,O,X,X,O,X,O,O,X,X,O
TSZLOIJ,X,O,X,X,O,X,O,O,X,X,O
TSZLOJI,X,O,X,X,O,X,O,O,X,X,O
TSZJILO,O,X,X,X,X,O,X,O,X,X,O
TSZJIOL,O,X,O,X,X,O,X,O,X,X,X
TSZJLIO,O,X,X,X,X,O,X,O,X,X,O
TSZJLOI,O,X,X,X,X,O,X,O,X,X,O
TSZJOIL,O,X,O,X,X,O,X,O,X,O,X
TSZJOLI,O,X,O,X,X,O,X,O,X,O,X
TSZOILJ,X,O,X,X,O,X,X,O,X,O,O
TSZOIJL,O,X,X,X,X,O,X,O,X,O,X
TSZOLIJ,X,O,X,X,O,X,X,O,X,O,O
TSZOLJI,X,O,X,X,O,X,X,O,X,O,O
TSZOJIL,O,X,X,X,X,O,X,O,X,O,X
TSZOJLI,O,X,X,X,X,O,X,O,X,O,X
TSOILJZ,O,O,X,X,O,O,O,X,X,X,X
TSOILZJ,X,O,X,X,O,X,O,O,X,O,X
TSOIJLZ,O,O,X,X,O,O,O,X,X,X,X
TSOIJZL,O,X,X,X,X,O,X,O,X,O,X
TSOIZLJ,X,O,X,X,O,X,O,O,X,O,X
TSOIZJL,O,X,X,X,X,O,X,O,X,O,X
TSOLIJZ,O,O,X,X,O,O,O,X,X,X,X
TSOLIZJ,X,O,X,X,O,X,O,O,X,O,X
TSOLJIZ,O,O,X,X,O,O,O,X,X,X,X
TSOLJZI,O,O,X,X,O,O,O,X,X,X,X
TSOLZIJ,X,O,X,X,O,X,O,O,X,O,X
TSOLZJI,X,O,X,X,O,X,O,O,X,O,X
TSOJILZ,O,O,X,X,O,O,O,X,X,X,X
TSOJIZL,O,X,X,X,X,O,X,O,X,O,X
TSOJLIZ,O,O,X,X,O,O,O,X,X,X,X
TSOJLZI,O,O,X,X,O,O,O,X,X,X,X
TSOJZIL,O,X,X,X,X,O,X,O,X,O,X
TSOJZLI,O,X,X,X,X,O,X,O,X,O,X
TSOZILJ,X,O,X,X,O,X,O,O,X,O,X
TSOZIJL,O,X,X,X,X,O,X,O,X,O,X
TSOZLIJ,X,O,X,X,O,X,O,O,X,O,X
TSOZLJI,X,O,X,X,O,X,O,O,X,O,X
TSOZJIL,O,X,X,X,X,O,X,O,X,O,X
TSOZJLI,O,X,X,X,X,O,X,O,X,O,X
TZILJSO,O,X,X,O,X,X,X,X,X,X,X
TZILJOS,X,X,O,O,X,X,X,X,X,X,X
TZILSJO,O,X,X,X,X,X,X,X,X,X,O
TZILSOJ,X,X,X,X,X,X,X,X,X,X,O
TZILOJS,X,X,X,O,X,X,X,X,X,X,X
TZILOSJ,X,X,X,O,X,X,X,X,X,X,X
TZIJLSO,O,X,X,O,X,X,X,X,X,X,X
TZIJLOS,O,X,O,O,X,X,X,X,X,X,X
TZIJSLO,O,X,X,O,X,X,X,O,X,X,X
TZIJSOL,O,X,O,X,X,X,X,O,X,X,X
TZIJOLS,O,X,O,O,X,X,X,X,X,X,X
TZIJOSL,O,X,O,X,X,X,X,O,X,O,X
TZISLJO,O,X,X,X,X,X,X,O,X,X,O
TZISLOJ,X,X,X,X,X,X,X,O,X,X,O
TZISJLO,O,X,X,X,X,X,X,O,X,X,O
TZISJOL,O,X,O,X,X,X,X,O,X,X,X
TZISOLJ,X,X,X,X,X,X,X,O,X,X,O
TZISOJL,O,X,X,X,X,X,X,O,X,X,X
TZIOLJS,X,X,X,O,X,X,X,X,X,X,X
TZIOLSJ,X,X,X,O,X,X,X,X,X,X,X
TZIOJLS,X,X,O,O,X,X,X,X,X,X,X
TZIOJSL,X,X,O,O,X,X,X,O,X,O,X
TZIOSLJ,X,X,X,O,X,X,X,O,X,O,X
TZIOSJL,X,X,X,X,X,X,X,O,X,O,X
TZLIJSO,O,O,O,O,X,X,X,X,X,X,X
TZLIJOS,X,O,O,O,X,X,X,X,X,X,X
TZLISJO,O,O,O,X,X,X,X,X,X,X,O
TZLISOJ,X,O,X,X,X,X,X,X,X,X,O
TZLIOJS,X,O,O,O,X,X,X,X,X,X,X
TZLIOSJ,X,O,X,O,X,X,X,X,X,X,X
TZLJISO,O,O,O,O,X,X,X,X,X,X,X
TZLJIOS,O,O,O,O,X,X,X,X,X,X,X
TZLJSIO,O,O,O,O,O,X,X,O,X,X,O
TZLJSOI,O,O,O,X,O,X,X,O,X,X,O
TZLJOIS,O,O,O,O,X,X,X,X,X,X,X
TZLJOSI,O,O,O,O,O,X,X,O,X,X,X
TZLSIJO,O,O,O,X,O,X,X,O,X,X,O
TZLSIOJ,X,O,X,X,O,X,X,O,X,X,O
TZLSJIO,O,O,O,X,O,X,X,O,X,X,O
TZLSJOI,O,O,O,X,O,X,X,O,X,X,O
TZLSOIJ,X,O,X,X,O,X,X,O,X,X,O
TZLSOJI,X,O,X,X,O,X,X,O,X,X,O
TZLOIJS,X,O,O,O,X,X,X,X,X,X,X
TZLOISJ,X,O,X,O,X,X,X,X,X,X,X
TZLOJIS,X,O,O,O,X,X,X,X,X,X,X
TZLOJSI,X,O,O,O,O,X,X,O,X,X,X
TZLOSIJ,X,O,X,O,O,X,X,O,X,X,O
TZLOSJI,X,O,X,X,O,X,X,O,X,X,O
TZJILSO,O,X,X,O,X,X,X,X,X,X,X
TZJILOS,O,X,O,O,X,X,X,X,X,X,X
TZJISLO,O,X,X,O,X,X,X,O,X,X,X
TZJISOL,O,X,O,X,X,X,X,O,X,X,X
TZJIOLS,O,X,O,O,X,X,X,X,X,X,X
TZJIOSL,O,X,O,X,X,X,X,O,X,O,X
TZJLISO,O,X,O,O,X,X,X,X,X,X,X
TZJLIOS,O,X,O,O,X,X,X,X,X,X,X
TZJLSIO,O,X,O,O,X,O,X,O,X,X,O
TZJLSOI,O,X,O,X,X,O,X,O,X,X,O
TZJLOIS,O,X,O,O,X,X,X,X,X,X,X
TZJLOSI,O,X,O,O,X,O,X,O,X,X,X
TZJSILO,O,X,X,O,X,O,X,O,X,X,O
TZJSIOL,O,X,O,X,X,O,X,O,X,X,X
TZJSLIO,O,X,X,O,X,O,X,O,X,X,O
TZJSLOI,O,X,X,X,X,O,X,O,X,X,O
TZJSOIL,O,X,O,X,X,O,X,O,X,O,X
TZJSOLI,O,X,O,X,X,O,X,O,X,O,X
TZJOILS,O,X,O,O,X,X,X,X,X,X,X
TZJOISL,O,X,O,O,X,X,X,O,X,O,X
TZJOLIS,O,X,O,O,X,X,X,X,X,X,X
TZJOLSI,O,X,O,O,X,O,X,O,X,X,X
TZJOSIL,O,X,O,O,X,O,X,O,X,O,X
TZJOSLI,O,X,O,O,X,O,X,O,X,O,X
TZSILJO,O,O,X,X,O,X,X,O,X,X,O
TZSILOJ,X,O,X,X,O,X,X,O,X,X,O
TZSIJLO,O,X,X,X,X,O,X,O,X,X,O
TZSIJOL,O,X,O,X,X,O,X,O,X,X,X
TZSIOLJ,X,O,X,X,O,X,X,O,X,X,O
TZSIOJL,O,X,X,X,X,O,X,O,X,X,X
TZSLIJO,O,O,X,X,O,X,X,O,X,X,O
TZSLIOJ,X,O,X,X,O,X,X,O,X,X,O
TZSLJIO,O,O,X,X,O,X,X,O,X,X,O
TZSLJOI,O,O,X,X,O,X,X,O,X,X,O
TZSLOIJ,X,O,X,X,O,X,X,O,X,X,O
TZSLOJI,X,O,X,X,O,X,X,O,X,X,O
TZSJILO,O,X,X,X,X,O,X,O,X,X,O
TZSJIOL,O,X,O,X,X,O,X,O,X,X,X
TZSJLIO,O,X,X,X,X,O,X,O,X,X,O
TZSJLOI,O,X,X,X,X,O,X,O,X,X,O
TZSJOIL,O,X,O,X,X,O,X,O,X,O,X
TZSJOLI,O,X,O,X,X,O,X,O,X,O,X
TZSOILJ,X,O,X,X,O,X,X,O,X,O,O
TZSOIJL,O,X,X,X,X,O,X,O,X,O,X
TZSOLIJ,X,O,X,X,O,X,X,O,X,O,O
TZSOLJI,X,O,X,X,O,X,X,O,X,O,O
TZSOJIL,O,X,X,X,X,O,X,O,X,O,X
TZSOJLI,O,X,X,X,X,O,X,O,X,O,X
TZOILJS,X,X,X,O,X,X,X,X,X,X,X
TZOILSJ,X,X,X,O,X,X,X,X,X,X,X
TZOIJLS,X,X,O,O,X,X,X,X,X,X,X
TZOIJSL,X,X,O,O,X,X,X,O,X,O,X
TZOISLJ,X,X,X,O,X,X,X,O,X,O,X
TZOISJL,X,X,X,X,X,X,X,O,X,O,X
TZOLIJS,X,O,X,O,X,X,X,X,X,X,X
TZOLISJ,X,O,X,O,X,X,X,X,X,X,X
TZOLJIS,X,O,X,O,X,X,X,X,X,X,X
TZOLJSI,X,O,X,O,O,X,X,O,X,X,X
TZOLSIJ,X,O,X,O,O,X,X,O,X,X,O
TZOLSJI,X,O,X,X,O,X,X,O,X,X,O
TZOJILS,O,X,O,O,X,X,X,X,X,X,X
TZOJISL,O,X,O,O,X,X,X,O,X,O,X
TZOJLIS,O,X,O,O,X,X,X,X,X,X,X
TZOJLSI,O,X,O,O,X,O,X,O,X,X,X
TZOJSIL,O,X,O,O,X,O,X,O,X,O,X
TZOJSLI,O,X,O,O,X,O,X,O,X,O,X
TZOSILJ,X,O,X,O,O,X,X,O,X,O,O
TZOSIJL,O,X,X,X,X,O,X,O,X,O,X
TZOSLIJ,X,O,X,O,O,X,X,O,X,O,O
TZOSLJI,X,O,X,X,O,X,X,O,X,O,O
TZOSJIL,O,X,X,X,X,O,X,O,X,O,X
TZOSJLI,O,X,X,X,X,O,X,O,X,O,X
TOILJSZ,X,X,X,X,O,X,X,X,O,X,X
TOILJZS,X,X,X,O,X,X,X,X,X,X,X
TOILSJZ,X,O,X,X,O,X,O,X,X,X,X
TOILSZJ,X,O,X,X,O,X,O,X,X,X,X
TOILZJS,X,O,X,O,X,X,O,X,X,X,X
TOILZSJ,X,O,X,O,X,X,O,X,X,X,X
TOIJLSZ,X,X,X,X,X,O,X,X,O,X,X
TOIJLZS,X,X,O,O,X,X,X,X,X,X,X
TOIJSLZ,O,X,X,X,X,O,X,X,O,X,X
TOIJSZL,O,X,O,O,X,O,X,X,O,X,X
TOIJZLS,O,X,O,O,X,X,X,X,X,X,X
TOIJZSL,O,X,O,O,X,X,X,X,X,X,X
TOISLJZ,O,O,X,X,O,O,O,X,X,X,X
TOISLZJ,X,O,X,X,O,X,O,O,X,O,X
TOISJLZ,O,O,X,X,O,O,O,X,X,X,X
TOISJZL,O,X,X,O,X,O,X,O,X,O,X
TOISZLJ,X,O,X,O,O,X,O,O,X,O,X
TOISZJL,O,X,X,X,X,O,X,O,X,O,X
TOIZLJS,X,X,X,O,X,X,X,X,X,X,X
TOIZLSJ,X,X,X,O,X,X,X,X,X,X,X
TOIZJLS,X,X,O,O,X,X,X,X,X,X,X
TOIZJSL,X,X,O,O,X,X,X,O,X,O,X
TOIZSLJ,X,X,X,O,X,X,X,O,X,O,X
TOIZSJL,X,X,X,X,X,X,X,O,X,O,X
TOLIJSZ,X,X,O,X,O,X,X,X,O,X,X
TOLIJZS,X,X,O,O,X,X,X,X,X,X,X
TOLISJZ,X,O,X,X,O,X,O,X,X,X,X
TOLISZJ,X,O,X,X,O,X,O,X,X,X,X
TOLIZJS,X,O,O,O,X,X,O,X,X,X,X
TOLIZSJ,X,O,X,O,X,X,O,X,X,X,X
TOLJISZ,X,X,O,X,O,O,X,X,O,X,X
TOLJIZS,X,X,O,O,X,X,X,X,X,X,X
TOLJSIZ,O,O,O,X,O,O,X,X,O,X,X
TOLJSZI,O,O,O,X,O,O,X,X,O,X,X
TOLJZIS,O,O,O,O,X,X,X,X,X,X,X
TOLJZSI,O,O,O,O,O,O,X,X,X,X,X
TOLSIJZ,O,O,X,X,O,O,O,X,X,X,X
TOLSIZJ,X,O,X,X,O,X,O,O,X,X,X
TOLSJIZ,O,O,X,X,O,O,O,X,X,X,X
TOLSJZI,O,O,X,X,O,O,O,X,X,X,X
TOLSZIJ,X,O,X,X,O,X,O,O,X,X,X
TOLSZJI,X,O,X,X,O,X,O,O,X,X,X
TOLZIJS,X,O,O,O,X,X,O,X,X,X,X
TOLZISJ,X,O,X,O,X,X,O,X,X,X,X
TOLZJIS,X,O,O,O,X,X,O,X,X,X,X
TOLZJSI,X,O,O,X,O,X,O,O,X,X,X
TOLZSIJ,X,O,X,O,O,X,O,O,X,X,O
TOLZSJI,X,O,X,X,O,X,O,O,X,X,O
TOJILSZ,X,X,O,X,X,O,X,X,O,X,X
TOJILZS,X,X,O,O,X,X,X,X,X,X,X
TOJISLZ,O,X,X,X,X,O,X,X,O,X,X
TOJISZL,O,X,O,O,X,O,X,X,O,X,X
TOJIZLS,O,X,O,O,X,X,X,X,X,X,X
TOJIZSL,O,X,O,O,X,X,X,X,X,X,X
TOJLISZ,X,X,O,X,O,O,X,X,O,X,X
TOJLIZS,X,X,O,O,X,X,X,X,X,X,X
TOJLSIZ,O,O,O,X,O,O,X,X,O,X,X
TOJLSZI,O,O,O,X,O,O,X,X,O,X,X
TOJLZIS,O,O,O,O,X,X,X,X,X,X,X
TOJLZSI,O,O,O,O,O,O,X,X,X,X,X
TOJSILZ,O,O,X,X,O,O,X,X,O,X,X
TOJSIZL,O,X,O,O,X,O,X,O,O,X,X
TOJSLIZ,O,O,O,X,O,O,X,X,O,X,X
TOJSLZI,O,O,O,X,O,O,X,X,O,X,X
TOJSZIL,O,X,O,O,X,O,X,O,O,X,X
TOJSZLI,O,X,O,O,X,O,X,O,O,X,X
TOJZILS,O,X,O,O,X,X,X,X,X,X,X
TOJZISL,O,X,O,O,X,X,X,O,X,X,X
TOJZLIS,O,X,O,O,X,X,X,X,X,X,X
TOJZLSI,O,X,O,O,X,O,X,O,X,X,X
TOJZSIL,O,X,O,O,X,O,X,O,X,X,X
TOJZSLI,O,X,O,O,X,O,X,O,X,X,X
TOSILJZ,O,O,X,X,O,O,O,X,X,X,X
TOSILZJ,X,O,X,X,O,X,O,O,X,O,X
TOSIJLZ,O,O,X,X,O,O,O,X,X,X,X
TOSIJZL,O,X,X,O,X,O,X,O,X,O,X
TOSIZLJ,X,O,X,O,O,X,O,O,X,O,X
TOSIZJL,O,X,X,X,X,O,X,O,X,O,X
TOSLIJZ,O,O,X,X,O,O,O,X,X,X,X
TOSLIZJ,X,O,X,X,O,X,O,O,X,O,X
TOSLJIZ,O,O,X,X,O,O,O,X,X,X,X
TOSLJZI,O,O,X,X,O,O,O,X,X,X,X
TOSLZIJ,X,O,X,X,O,X,O,O,X,O,X
TOSLZJI,X,O,X,X,O,X,O,O,X,O,X
TOSJILZ,O,O,X,X,O,O,O,X,X,X,X
TOSJIZL,O,X,X,O,X,O,X,O,X,O,X
TOSJLIZ,O,O,X,X,O,O,O,X,X,X,X
TOSJLZI,O,O,X,X,O,O,O,X,X,X,X
TOSJZIL,O,X,X,O,X,O,X,O,X,O,X
TOSJZLI,O,X,X,O,X,O,X,O,X,O,X
TOSZILJ,X,O,X,O,O,X,O,O,X,O,X
TOSZIJL,O,X,X,X,X,O,X,O,X,O,X
TOSZLIJ,X,O,X,O,O,X,O,O,X,O,X
TOSZLJI,X,O,X,X,O,X,O,O,X,O,X
TOSZJIL,O,X,X,X,X,O,X,O,X,O,X
TOSZJLI,O,X,X,X,X,O,X,O,X,O,X
TOZILJS,X,X,X,O,X,X,X,X,X,X,X
TOZILSJ,X,X,X,O,X,X,X,X,X,X,X
TOZIJLS,X,X,O,O,X,X,X,X,X,X,X
TOZIJSL,X,X,O,O,X,X,X,O,X,O,X
TOZISLJ,X,X,X,O,X,X,X,O,X,O,X
TOZISJL,X,X,X,X,X,X,X,O,X,O,X
TOZLIJS,X,O,X,O,X,X,X,X,X,X,X
TOZLISJ,X,O,X,O,X,X,X,X,X,X,X
TOZLJIS,X,O,X,O,X,X,X,X,X,X,X
TOZLJSI,X,O,X,O,O,X,X,O,X,X,X
TOZLSIJ,X,O,X,O,O,X,X,O,X,X,O
TOZLSJI,X,O,X,X,O,X,X,O,X,X,O
TOZJILS,O,X,O,O,X,X,X,X,X,X,X
TOZJISL,O,X,O,O,X,X,X,O,X,O,X
TOZJLIS,O,X,O,O,X,X,X,X,X,X,X
TOZJLSI,O,X,O,O,X,O,X,O,X,X,X
TOZJSIL,O,X,O,O,X,O,X,O,X,O,X
TOZJSLI,O,X,O,O,X,O,X,O,X,O,X
TOZSILJ,X,O,X,O,O,X,X,O,X,O,O
TOZSIJL,O,X,X,X,X,O,X,O,X,O,X
TOZSLIJ,X,O,X,O,O,X,X,O,X,O,O
TOZSLJI,X,O,X,X,O,X,X,O,X,O,O
TOZSJIL,O,X,X,X,X,O,X,O,X,O,X
TOZSJLI,O,X,X,X,X,O,X,O,X,O,X
ITLJSZO,X,X,O,X,O,X,X,X,X,X,X
ITLJSOZ,X,X,O,X,O,X,X,X,X,X,X
ITLJZSO,X,X,O,X,X,X,X,X,X,X,X
ITLJZOS,X,X,O,X,X,X,X,X,X,X,X
ITLJOSZ,X,X,O,X,O,X,X,X,X,X,X
ITLJOZS,X,X,O,X,X,X,X,X,X,X,X
ITLSJZO,X,O,O,X,O,X,O,X,X,X,X
ITLSJOZ,X,O,O,X,O,X,X,X,X,X,X
ITLSZJO,X,O,O,X,O,X,O,X,X,X,X
ITLSZOJ,X,O,X,X,O,X,O,X,X,X,X
ITLSOJZ,X,O,X,X,O,X,X,X,X,X,X
ITLSOZJ,X,O,X,X,O,X,O,X,X,X,X
ITLZJSO,X,O,O,X,X,X,O,X,X,X,X
ITLZJOS,X,O,O,X,X,X,O,X,X,X,X
ITLZSJO,X,O,O,X,X,X,O,X,X,X,O
ITLZSOJ,X,O,X,X,X,X,O,X,X,X,O
ITLZOJS,X,O,O,X,X,X,O,X,X,X,X
ITLZOSJ,X,O,X,X,X,X,O,X,X,X,X
ITLOJSZ,X,X,O,X,O,X,X,X,X,X,X
ITLOJZS,X,X,O,X,X,X,X,X,X,X,X
ITLOSJZ,X,O,X,X,O,X,O,X,X,X,X
ITLOSZJ,X,O,X,X,O,X,O,X,X,X,X
ITLOZJS,X,O,O,X,X,X,O,X,X,X,X
ITLOZSJ,X,O,X,X,X,X,O,X,X,X,X
ITJLSZO,X,X,O,X,X,O,X,X,X,X,X
ITJLSOZ,X,X,O,X,X,O,X,X,X,X,X
ITJLZSO,X,X,O,O,X,X,X,X,X,X,X
ITJLZOS,X,X,O,O,X,X,X,X,X,X,X
ITJLOSZ,X,X,O,X,X,O,X,X,X,X,X
ITJLOZS,X,X,O,X,X,X,X,X,X,X,X
ITJSLZO,O,X,X,X,X,O,X,X,X,X,X
ITJSLOZ,O,X,X,X,X,O,X,X,X,X,X
ITJSZLO,O,X,X,O,X,O,X,X,X,X,X
ITJSZOL,O,X,O,X,X,O,X,X,O,X,X
ITJSOLZ,O,X,X,X,X,O,X,X,O,X,X
ITJSOZL,O,X,O,X,X,O,X,X,O,X,X
ITJZLSO,O,X,X,O,X,X,X,X,X,X,X
ITJZLOS,O,X,O,O,X,X,X,X,X,X,X
ITJZSLO,O,X,X,O,X,X,X,X,X,X,X
ITJZSOL,O,X,O,X,X,X,X,X,X,X,X
ITJZOLS,O,X,O,O,X,X,X,X,X,X,X
ITJZOSL,O,X,O,X,X,X,X,X,X,X,X
ITJOLSZ,X,X,O,X,X,O,X,X,O,X,X
ITJOLZS,X,X,O,X,X,X,X,X,X,X,X
ITJOSLZ,O,X,X,X,X,O,X,X,O,X,X
ITJOSZL,O,X,O,X,X,O,X,X,O,X,X
ITJOZLS,O,X,O,O,X,X,X,X,X,X,X
ITJOZSL,O,X,O,X,X,X,X,X,X,X,X
ITSLJZO,O,O,X,X,O,O,O,X,X,X,X
ITSLJOZ,O,O,X,X,O,O,X,X,X,X,X
ITSLZJO,O,O,X,X,O,X,O,O,X,X,X
ITSLZOJ,X,O,X,X,O,X,O,O,X,X,X
ITSLOJZ,O,O,X,X,O,O,X,X,X,X,X
ITSLOZJ,X,O,X,X,O,X,O,O,X,X,X
ITSJLZO,O,O,X,X,O,O,O,X,X,X,X
ITSJLOZ,O,O,X,X,O,O,X,X,X,X,X
ITSJZLO,O,X,X,X,X,O,X,O,X,X,X
ITSJZOL,O,X,O,X,X,O,X,O,X,X,X
ITSJOLZ,O,O,X,X,O,O,X,X,X,X,X
ITSJOZL,O,X,O,X,X,O,X,O,X,X,X
ITSZLJO,O,O,X,X,O,X,O,O,X,X,O
ITSZLOJ,X,O,X,X,O,X,O,O,X,X,O
ITSZJLO,O,X,X,X,X,O,X,O,X,X,O
ITSZJOL,O,X,O,X,X,O,X,O,X,X,X
ITSZOLJ,X,O,X,X,O,X,X,O,X,X,O
ITSZOJL,O,X,X,X,X,O,X,O,X,X,X
ITSOLJZ,O,O,X,X,O,O,X,X,X,X,X
ITSOLZJ,X,O,X,X,O,X,O,O,X,X,X
ITSOJLZ,O,O,X,X,O,O,X,X,X,X,X
ITSOJZL,O,X,X,X,X,O,X,O,X,X,X
ITSOZLJ,X,O,X,X,O,X,X,O,X,X,X
ITSOZJL,O,X,X,X,X,O,X,O,X,X,X
ITZLJSO,O,X,X,O,X,X,X,X,X,X,X
ITZLJOS,X,X,O,O,X,X,X,X,X,X,X
ITZLSJO,O,X,X,X,X,X,X,X,X,X,O
ITZLSOJ,X,X,X,X,X,X,X,X,X,X,O
ITZLOJS,X,X,X,O,X,X,X,X,X,X,X
ITZLOSJ,X,X,X,O,X,X,X,X,X,X,X
ITZJLSO,O,X,X,O,X,X,X,X,X,X,X
ITZJLOS,O,X,O,O,X,X,X,X,X,X,X
ITZJSLO,O,X,X,O,X,X,X,O,X,X,X
ITZJSOL,O,X,O,X,X,X,X,O,X,X,X
ITZJOLS,O,X,O,O,X,X,X,X,X,X,X
ITZJOSL,O,X,O,X,X,X,X,O,X,O,X
ITZSLJO,O,X,X,X,X,X,X,O,X,X,O
ITZSLOJ,X,X,X,X,X,X,X,O,X,X,O
ITZSJLO,O,X,X,X,X,X,X,O,X,X,O
ITZSJOL,O,X,O,X,X,X,X,O,X,X,X
ITZSOLJ,X,X,X,X,X,X,X,O,X,X,O
ITZSOJL,O,X,X,X,X,X,X,O,X,X,X
ITZOLJS,X,X,X,O,X,X,X,X,X,X,X
ITZOLSJ,X,X,X,O,X,X,X,X,X,X,X
ITZOJLS,X,X,O,O,X,X,X,X,X,X,X
ITZOJSL,X,X,O,O,X,X,X,O,X,O,X
ITZOSLJ,X,X,X,O,X,X,X,O,X,O,X
ITZOSJL,X,X,X,X,X,X,X,O,X,O,X
ITOLJSZ,X,X,X,X,O,X,X,X,O,X,X
ITOLJZS,X,X,X,O,X,X,X,X,X,X,X
ITOLSJZ,X,O,X,X,O,X,O,X,X,X,X
ITOLSZJ,X,O,X,X,O,X,O,X,X,X,X
ITOLZJS,X,O,X,O,X,X,O,X,X,X,X
ITOLZSJ,X,O,X,O,X,X,O,X,X,X,X
ITOJLSZ,X,X,X,X,X,O,X,X,O,X,X
ITOJLZS,X,X,O,O,X,X,X,X,X,X,X
ITOJSLZ,O,X,X,X,X,O,X,X,O,X,X
ITOJSZL,O,X,O,O,X,O,X,X,O,X,X
ITOJZLS,O,X,O,O,X,X,X,X,X,X,X
ITOJZSL,O,X,O,O,X,X,X,X,X,X,X
ITOSLJZ,O,O,X,X,O,O,O,X,X,X,X
ITOSLZJ,X,O,X,X,O,X,O,O,X,O,X
ITOSJLZ,O,O,X,X,O,O,O,X,X,X,X
ITOSJZL,O,X,X,O,X,O,X,O,X,O,X
ITOSZLJ,X,O,X,O,O,X,O,O,X,O,X
ITOSZJL,O,X,X,X,X,O,X,O,X,O,X
ITOZLJS,X,X,X,O,X,X,X,X,X,X,X
ITOZLSJ,X,X,X,O,X,X,X,X,X,X,X
ITOZJLS,X,X,O,O,X,X,X,X,X,X,X
ITOZJSL,X,X,O,O,X,X,X,O,X,O,X
ITOZSLJ,X,X,X,O,X,X,X,O,X,O,X
ITOZSJL,X,X,X,X,X,X,X,O,X,O,X
ILTJSZO,X,X,O,X,O,X,X,X,X,X,X
ILTJSOZ,X,X,O,X,O,X,X,X,X,X,X
ILTJZSO,X,X,O,X,X,X,X,X,X,X,X
ILTJZOS,X,X,O,X,X,X,X,X,X,X,X
ILTJOSZ,X,X,O,X,O,X,X,X,X,X,X
ILTJOZS,X,X,O,X,X,X,X,X,X,X,X
