sequence,v115@OhC8GeC8CeA8AeE8Jei/IvhFzgBfnBxiBcpBeqBFrB,v115@OhC8GeC8CeA8AeE8JeOEJvhF8kBzgBfnBxnByuBFrB,v115@OhC8GeC8CeA8AeE8JeT/IvhF0hBxiBllBXlB2uBirB,v115@OhC8GeC8CeA8AeE8Jei/IvhFFhBxiBcpBzmBmqBXqB,v115@OhC8GeC8CeA8AeE8Jem/IvhFzgBfnBxiBipBFrB0pB,v115@OhC8GeC8CeA8AeE8JeyEJvhFzgBfnB0kBxnB2uBFrB,v115@OhC8GeC8CeA8AeE8JeOEJvhF8kBFhBxiBfrBzmByuB,v115@OhC8GeC8CeA8AeE8JezAJvhFfnBxiBmkB0pBFrBipB,v115@OhC8GeC8CeA8AeE8Je/EJvhFUgBxiByqBzmB2uBFrB,v115@OhC8GeC8CeA8AeE8JeFBJvhFxiBmkBfrBzmB0pBipB,v115@OhC8GeC8CeA8AeE8JefHJvhFxiBikBUmBFqBTpBmqB
TIZOLJS,X,X,X,O,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,O,X,X,X,X,X,X,X
TIZOJLS,X,X,O,O,X,X,X,X,X,X,X
TIZOJSL,X,X,O,O,X,X,X,O,X,O,X
TIZOSLJ,X,X,X,O,X,X,X,O,X,O,X
TIZOSJL,X,X,X,X,X,X,X,O,X,O,X
TIOLJSZ,X,X,X,X,O,X,X,X,O,X,X
TIOLJZS,X,X,X,O,X,X,X,X,X,X,X
TIOLSJZ,X,O,X,X,O,X,O,X,X,X,X
TIOLSZJ,X,O,X,X,O,X,O,X,X,X,X
TIOLZJS,X,O,X,O,X,X,O,X,X,X,X
TIOLZSJ,X,O,X,O,X,X,O,X,X,X,X
TIOJLSZ,X,X,X,X,X,O,X,X,O,X,X
TIOJLZS,X,X,O,O,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,O,X,X,O,X,X
TIOJSZL,O,X,O,O,X,O,X,X,O,X,X
TIOJZLS,O,X,O,O,X,X,X,X,X,X,X
TIOJZSL,O,X,O,O,X,X,X,X,X,X,X
TIOSLJZ,O,O,X,X,O,O,O,X,X,X,X
TIOSLZJ,X,O,X,X,O,X,O,O,X,O,X
TIOSJLZ,O,O,X,X,O,O,O,X,X,X,X
TIOSJZL,O,X,X,O,X,O,X,O,X,O,X
TIOSZLJ,X,O,X,O,O,X,O,O,X,O,X
TIOSZJL,O,X,X,X,X,O,X,O,X,O,X
TIOZLJS,X,X,X,O,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,O,X,X,X,X,X,X,X
