sequence,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBxhB8nB1qBzr?BirB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFlgB3hBziBUlBxr?BywB,v115@GhA8IeA8AeA8FeF8CeC8JeOEJvhFXgBKnBziBxqBFr?B0rB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhF8mBziBikB1qBXs?BOrB,v115@GhA8IeA8AeA8FeF8CeC8Jex/IvhFXhBziBikBmqBFs?B8rB
LTIJZSO,X,X,O,X,O
LTIJZOS,X,X,O,X,O
LTIJOSZ,X,X,O,O,O
LTIJOZS,X,X,O,X,O
LTISJZO,X,X,O,O,O
LTISJOZ,X,X,O,O,O
LTISZJO,X,X,X,O,X
LTISZOJ,X,X,X,O,X
LTISOJZ,X,X,O,O,O
LTISOZJ,X,X,X,O,X
LTIZJSO,X,X,X,X,O
LTIZJOS,X,X,X,X,O
LTIZSJO,X,X,X,O,X
LTIZSOJ,X,X,X,O,X
LTIZOJS,X,X,X,X,O
LTIZOSJ,X,X,X,O,X
LTIOJSZ,X,X,O,O,O
LTIOJZS,X,X,O,X,O
LTIOSJZ,X,X,O,O,O
LTIOSZJ,X,X,X,O,X
LTIOZJS,X,X,X,X,O
LTIOZSJ,X,X,X,O,X
LTJISZO,X,X,O,O,O
LTJISOZ,X,X,O,O,O
LTJIZSO,X,X,O,X,O
LTJIZOS,X,X,O,X,O
LTJIOSZ,X,X,O,O,O
LTJIOZS,X,X,O,X,O
LTJSIZO,X,X,O,O,O
LTJSIOZ,X,X,O,O,O
LTJSZIO,O,X,X,O,O
LTJSZOI,O,X,X,O,O
LTJSOIZ,X,X,O,O,O
LTJSOZI,O,X,X,O,O
LTJZISO,O,X,X,X,O
LTJZIOS,X,X,X,X,O
LTJZSIO,O,X,X,X,O
LTJZSOI,O,X,X,X,O
LTJZOIS,O,X,X,X,O
LTJZOSI,O,X,X,X,O
LTJOISZ,X,X,O,O,O
LTJOIZS,X,X,O,X,O
LTJOSIZ,X,X,O,O,O
LTJOSZI,O,X,X,O,O
LTJOZIS,O,X,X,X,O
LTJOZSI,O,X,X,X,O
LTSIJZO,X,X,O,O,O
LTSIJOZ,X,X,O,O,O
LTSIZJO,X,X,X,O,X
LTSIZOJ,X,X,X,O,X
LTSIOJZ,X,X,O,O,O
LTSIOZJ,X,X,X,O,X
LTSJIZO,X,X,O,O,O
LTSJIOZ,X,X,O,O,O
LTSJZIO,O,X,X,O,O
LTSJZOI,O,X,X,O,O
LTSJOIZ,X,X,O,O,O
LTSJOZI,O,X,X,O,O
LTSZIJO,O,X,X,O,X
LTSZIOJ,X,X,X,O,X
LTSZJIO,O,X,X,O,X
LTSZJOI,O,X,X,O,X
LTSZOIJ,O,X,X,O,X
LTSZOJI,O,X,X,O,X
LTSOIJZ,X,X,O,O,O
LTSOIZJ,X,X,X,O,X
LTSOJIZ,X,X,O,O,O
LTSOJZI,O,X,X,O,O
LTSOZIJ,O,X,X,O,X
LTSOZJI,O,X,X,O,X
LTZIJSO,O,X,X,X,O
LTZIJOS,X,X,X,X,O
LTZISJO,O,X,X,O,X
LTZISOJ,X,X,X,O,X
LTZIOJS,X,X,X,X,O
LTZIOSJ,X,X,X,O,X
LTZJISO,O,X,X,X,O
LTZJIOS,X,X,X,X,O
LTZJSIO,O,X,X,X,O
LTZJSOI,O,X,X,X,O
LTZJOIS,O,X,X,X,O
LTZJOSI,O,X,X,X,O
LTZSIJO,O,X,X,O,X
LTZSIOJ,X,X,X,O,X
LTZSJIO,O,X,X,O,X
LTZSJOI,O,X,X,O,X
LTZSOIJ,O,X,X,O,X
LTZSOJI,O,X,X,O,X
LTZOIJS,O,X,X,X,O
LTZOISJ,O,X,X,O,X
LTZOJIS,O,X,X,X,O
LTZOJSI,O,X,X,X,O
LTZOSIJ,O,X,X,O,X
LTZOSJI,O,X,X,O,X
LTOIJSZ,X,X,O,O,O
LTOIJZS,X,X,O,X,O
LTOISJZ,X,X,O,O,O
LTOISZJ,X,X,X,O,X
LTOIZJS,X,X,X,X,O
LTOIZSJ,X,X,X,O,X
LTOJISZ,X,X,O,O,O
LTOJIZS,X,X,O,X,O
LTOJSIZ,X,X,O,O,O
LTOJSZI,O,X,X,O,O
LTOJZIS,O,X,X,X,O
LTOJZSI,O,X,X,X,O
LTOSIJZ,X,X,O,O,O
LTOSIZJ,X,X,X,O,X
LTOSJIZ,X,X,O,O,O
LTOSJZI,O,X,X,O,O
LTOSZIJ,O,X,X,O,X
LTOSZJI,O,X,X,O,X
LTOZIJS,O,X,X,X,O
LTOZISJ,O,X,X,O,X
LTOZJIS,O,X,X,X,O
LTOZJSI,O,X,X,X,O
LTOZSIJ,O,X,X,O,X
LTOZSJI,O,X,X,O,X
LITJSZO,X,X,O,O,O
LITJSOZ,X,X,O,O,O
LITJZSO,X,X,O,X,O
LITJZOS,X,X,O,X,O
LITJOSZ,X,X,O,O,O
LITJOZS,X,X,O,X,O
LITSJZO,X,X,O,O,O
LITSJOZ,X,X,O,O,O
LITSZJO,X,X,X,O,X
LITSZOJ,X,X,X,O,X
LITSOJZ,X,X,O,O,O
LITSOZJ,X,X,X,O,X
LITZJSO,X,X,X,X,O
LITZJOS,X,X,X,X,O
LITZSJO,X,X,X,O,X
LITZSOJ,X,X,X,O,X
LITZOJS,X,X,X,X,O
LITZOSJ,X,X,X,O,X
LITOJSZ,X,X,O,O,O
LITOJZS,X,X,O,X,O
LITOSJZ,X,X,O,O,O
LITOSZJ,X,X,X,O,X
LITOZJS,X,X,X,X,O
LITOZSJ,X,X,X,O,X
LIJTSZO,X,X,O,O,O
LIJTSOZ,X,X,O,O,O
LIJTZSO,X,X,O,X,O
LIJTZOS,X,X,O,X,O
LIJTOSZ,X,X,O,O,O
LIJTOZS,X,X,O,X,O
LIJSTZO,X,X,O,O,O
LIJSTOZ,X,O,O,O,O
LIJSZTO,X,O,O,X,X
LIJSZOT,X,O,O,X,X
LIJSOTZ,X,O,O,O,O
LIJSOZT,X,O,O,X,X
LIJZTSO,X,O,O,X,O
LIJZTOS,X,O,O,X,O
LIJZSTO,X,O,O,X,X
LIJZSOT,X,O,O,X,X
LIJZOTS,X,O,O,X,O
LIJZOST,X,O,O,X,X
LIJOTSZ,X,X,O,O,O
LIJOTZS,X,X,O,X,O
LIJOSTZ,X,O,O,O,O
LIJOSZT,X,O,O,X,X
LIJOZTS,X,O,O,X,O
LIJOZST,X,O,O,X,X
LISTJZO,X,X,O,O,O
LISTJOZ,X,O,O,O,O
LISTZJO,X,X,X,O,X
LISTZOJ,X,X,X,O,X
LISTOJZ,X,O,O,O,O
LISTOZJ,X,X,X,O,X
LISJTZO,X,X,O,O,O
LISJTOZ,X,O,O,O,O
LISJZTO,X,O,O,X,X
LISJZOT,X,O,O,X,X
LISJOTZ,X,O,O,O,O
LISJOZT,X,O,O,X,X
LISZTJO,X,O,X,O,X
LISZTOJ,X,O,X,O,X
LISZJTO,X,O,O,X,X
LISZJOT,X,O,O,X,X
LISZOTJ,X,O,X,O,X
LISZOJT,X,O,O,X,X
LISOTJZ,X,O,O,O,O
LISOTZJ,X,X,X,O,X
LISOJTZ,X,O,O,O,O
LISOJZT,X,O,O,X,X
LISOZTJ,X,O,X,O,X
LISOZJT,X,O,O,X,X
LIZTJSO,X,O,X,X,O
LIZTJOS,X,O,X,X,O
LIZTSJO,X,O,X,O,X
LIZTSOJ,X,O,X,O,X
LIZTOJS,X,O,X,X,O
LIZTOSJ,X,O,X,O,X
LIZJTSO,X,O,O,X,O
LIZJTOS,X,O,O,X,O
LIZJSTO,X,O,O,X,X
LIZJSOT,X,O,O,X,X
LIZJOTS,X,O,O,X,O
LIZJOST,X,O,O,X,X
LIZSTJO,X,O,X,O,X
LIZSTOJ,X,O,X,O,X
LIZSJTO,X,O,O,X,X
LIZSJOT,X,O,O,X,X
LIZSOTJ,X,O,X,O,X
LIZSOJT,X,O,O,X,X
LIZOTJS,X,O,X,X,O
LIZOTSJ,X,O,X,O,X
LIZOJTS,X,O,O,X,O
LIZOJST,X,O,O,X,X
LIZOSTJ,X,O,X,O,X
LIZOSJT,X,O,O,X,X
LIOTJSZ,X,X,O,O,O
LIOTJZS,X,X,O,X,O
LIOTSJZ,X,X,O,O,O
LIOTSZJ,X,X,X,O,X
LIOTZJS,X,X,X,X,O
LIOTZSJ,X,X,X,O,X
LIOJTSZ,X,X,O,O,O
LIOJTZS,X,X,O,X,O
LIOJSTZ,X,O,O,O,O
LIOJSZT,X,O,O,X,X
LIOJZTS,X,O,O,X,O
LIOJZST,X,O,O,X,X
LIOSTJZ,X,O,O,O,O
LIOSTZJ,X,X,X,O,X
LIOSJTZ,X,O,O,O,O
LIOSJZT,X,O,O,X,X
LIOSZTJ,X,O,X,O,X
LIOSZJT,X,O,O,X,X
LIOZTJS,X,O,X,X,O
LIOZTSJ,X,O,X,O,X
LIOZJTS,X,O,O,X,O
LIOZJST,X,O,O,X,X
LIOZSTJ,X,O,X,O,X
LIOZSJT,X,O,O,X,X
LJTISZO,X,X,O,O,O
LJTISOZ,X,X,O,O,O
LJTIZSO,X,X,O,X,O
LJTIZOS,X,X,O,X,O
LJTIOSZ,X,X,O,O,O
LJTIOZS,X,X,O,X,O
LJTSIZO,X,X,O,O,O
LJTSIOZ,X,X,O,O,O
LJTSZIO,O,X,X,O,O
LJTSZOI,O,X,X,O,O
LJTSOIZ,X,X,O,O,O
LJTSOZI,O,X,X,O,O
LJTZISO,O,X,X,X,O
LJTZIOS,X,X,X,X,O
LJTZSIO,O,X,X,X,O
LJTZSOI,O,X,X,X,O
LJTZOIS,O,X,X,X,O
LJTZOSI,O,X,X,X,O
LJTOISZ,X,X,O,O,O
LJTOIZS,X,X,O,X,O
LJTOSIZ,X,X,O,O,O
LJTOSZI,O,X,X,O,O
LJTOZIS,O,X,X,X,O
LJTOZSI,O,X,X,X,O
LJITSZO,X,X,O,O,O
LJITSOZ,X,X,O,O,O
LJITZSO,X,X,O,X,O
LJITZOS,X,X,O,X,O
LJITOSZ,X,X,O,O,O
LJITOZS,X,X,O,X,O
LJISTZO,X,X,O,O,O
LJISTOZ,X,O,O,O,O
LJISZTO,X,O,O,X,X
LJISZOT,X,O,O,X,X
LJISOTZ,X,O,O,O,O
LJISOZT,X,O,O,X,X
LJIZTSO,X,O,O,X,O
LJIZTOS,X,O,O,X,O
LJIZSTO,X,O,O,X,X
LJIZSOT,X,O,O,X,X
LJIZOTS,X,O,O,X,O
LJIZOST,X,O,O,X,X
LJIOTSZ,X,X,O,O,O
LJIOTZS,X,X,O,X,O
LJIOSTZ,X,O,O,O,O
LJIOSZT,X,O,O,X,X
LJIOZTS,X,O,O,X,O
LJIOZST,X,O,O,X,X
LJSTIZO,X,X,O,O,O
LJSTIOZ,X,X,O,O,O
LJSTZIO,O,X,X,O,O
LJSTZOI,O,X,X,O,O
LJSTOIZ,X,X,O,O,O
LJSTOZI,O,X,X,O,O
LJSITZO,X,X,O,O,O
LJSITOZ,X,X,O,O,O
LJSIZTO,X,X,O,X,X
LJSIZOT,X,X,O,X,X
LJSIOTZ,X,X,O,O,O
LJSIOZT,X,X,O,X,X
LJSZTIO,O,X,X,O,X
LJSZTOI,O,X,X,O,X
LJSZITO,O,X,O,X,X
LJSZIOT,O,X,O,X,X
LJSZOTI,O,X,X,O,X
LJSZOIT,O,X,O,X,X
LJSOTIZ,X,X,O,O,O
LJSOTZI,O,X,X,O,O
LJSOITZ,X,X,O,O,O
LJSOIZT,X,X,O,X,X
LJSOZTI,O,X,X,O,X
LJSOZIT,O,X,O,X,X
LJZTISO,O,O,X,X,O
LJZTIOS,X,O,X,X,O
LJZTSIO,O,X,X,X,O
LJZTSOI,O,X,X,X,O
LJZTOIS,O,O,X,X,O
LJZTOSI,O,X,X,X,O
LJZITSO,O,O,O,X,O
LJZITOS,X,O,O,X,O
LJZISTO,O,O,O,X,X
LJZISOT,O,O,O,X,X
LJZIOTS,O,O,O,X,O
LJZIOST,O,O,O,X,X
LJZSTIO,O,X,X,X,X
LJZSTOI,O,X,X,X,X
LJZSITO,O,X,O,X,X
LJZSIOT,O,X,O,X,X
LJZSOTI,O,X,X,X,X
LJZSOIT,O,X,O,X,X
LJZOTIS,O,O,X,X,O
LJZOTSI,O,X,X,X,O
LJZOITS,O,O,O,X,O
LJZOIST,O,O,O,X,X
LJZOSTI,O,X,X,X,X
LJZOSIT,O,X,O,X,X
LJOTISZ,X,X,O,O,O
LJOTIZS,X,X,O,X,O
LJOTSIZ,X,X,O,O,O
LJOTSZI,O,X,X,O,O
LJOTZIS,O,X,X,X,O
LJOTZSI,O,X,X,X,O
LJOITSZ,X,X,O,O,O
LJOITZS,X,X,O,X,O
LJOISTZ,X,O,O,O,O
LJOISZT,X,O,O,X,X
LJOIZTS,X,O,O,X,O
LJOIZST,X,O,O,X,X
LJOSTIZ,X,X,O,O,O
LJOSTZI,O,X,X,O,O
LJOSITZ,X,X,O,O,O
LJOSIZT,X,X,O,X,X
LJOSZTI,O,X,X,O,X
LJOSZIT,O,X,O,X,X
LJOZTIS,O,O,X,X,O
LJOZTSI,O,X,X,X,O
LJOZITS,O,O,O,X,O
LJOZIST,O,O,O,X,X
LJOZSTI,O,X,X,X,X
LJOZSIT,O,X,O,X,X
LSTIJZO,X,X,O,O,O
LSTIJOZ,X,X,O,O,O
LSTIZJO,X,X,X,O,X
LSTIZOJ,X,X,X,O,X
LSTIOJZ,X,X,O,O,O
LSTIOZJ,X,X,X,O,X
LSTJIZO,X,X,O,O,O
LSTJIOZ,X,X,O,O,O
LSTJZIO,O,X,X,O,O
LSTJZOI,O,X,X,O,O
LSTJOIZ,X,X,O,O,O
LSTJOZI,O,X,X,O,O
LSTZIJO,O,X,X,O,X
LSTZIOJ,X,X,X,O,X
LSTZJIO,O,X,X,O,X
LSTZJOI,O,X,X,O,X
LSTZOIJ,O,X,X,O,X
LSTZOJI,O,X,X,O,X
LSTOIJZ,X,X,O,O,O
LSTOIZJ,X,X,X,O,X
LSTOJIZ,X,X,O,O,O
LSTOJZI,O,X,X,O,O
LSTOZIJ,O,X,X,O,X
LSTOZJI,O,X,X,O,X
LSITJZO,X,X,O,O,O
LSITJOZ,X,X,O,O,O
LSITZJO,X,X,X,O,X
LSITZOJ,X,X,X,O,X
LSITOJZ,X,X,O,O,O
LSITOZJ,X,X,X,O,X
LSIJTZO,X,X,O,O,O
LSIJTOZ,X,X,O,O,O
LSIJZTO,X,X,O,X,X
LSIJZOT,X,X,O,X,X
LSIJOTZ,X,X,O,O,O
LSIJOZT,X,X,O,X,X
LSIZTJO,X,X,X,O,X
LSIZTOJ,X,X,X,O,X
LSIZJTO,X,X,O,X,X
LSIZJOT,X,X,O,X,X
LSIZOTJ,X,X,X,O,X
LSIZOJT,X,X,O,X,X
LSIOTJZ,X,X,O,O,O
LSIOTZJ,X,X,X,O,X
LSIOJTZ,X,X,O,O,O
LSIOJZT,X,X,O,X,X
LSIOZTJ,X,X,X,O,X
LSIOZJT,X,X,O,X,X
LSJTIZO,X,X,O,O,O
LSJTIOZ,X,X,O,O,O
LSJTZIO,O,X,X,O,O
LSJTZOI,O,X,X,O,O
LSJTOIZ,X,X,O,O,O
LSJTOZI,O,X,X,O,O
LSJITZO,X,X,O,O,O
LSJITOZ,X,X,O,O,O
LSJIZTO,X,X,O,X,X
LSJIZOT,X,X,O,X,X
LSJIOTZ,X,X,O,O,O
LSJIOZT,X,X,O,X,X
LSJZTIO,O,X,X,O,X
LSJZTOI,O,X,X,O,X
LSJZITO,O,X,O,X,X
LSJZIOT,O,X,O,X,X
LSJZOTI,O,X,X,O,X
LSJZOIT,O,X,O,X,X
LSJOTIZ,X,X,O,O,O
LSJOTZI,O,X,X,O,O
LSJOITZ,X,X,O,O,O
LSJOIZT,X,X,O,X,X
LSJOZTI,O,X,X,O,X
LSJOZIT,O,X,O,X,X
LSZTIJO,O,X,X,O,X
LSZTIOJ,X,X,X,O,X
LSZTJIO,O,X,X,O,X
LSZTJOI,O,X,X,O,X
LSZTOIJ,O,X,X,O,X
LSZTOJI,O,X,X,O,X
LSZITJO,X,X,X,O,X
LSZITOJ,X,X,X,O,X
LSZIJTO,O,X,O,X,X
LSZIJOT,O,X,O,X,X
LSZIOTJ,X,X,X,O,X
LSZIOJT,X,X,O,X,X
LSZJTIO,O,X,X,O,X
LSZJTOI,O,X,X,O,X
LSZJITO,O,X,O,X,X
LSZJIOT,O,X,O,X,X
LSZJOTI,O,X,X,O,X
LSZJOIT,O,X,O,X,X
LSZOTIJ,O,X,X,O,X
LSZOTJI,O,X,X,O,X
LSZOITJ,X,X,X,O,X
LSZOIJT,O,X,O,X,X
LSZOJTI,O,X,X,O,X
LSZOJIT,O,X,O,X,X
LSOTIJZ,X,X,O,O,O
LSOTIZJ,X,X,X,O,X
LSOTJIZ,X,X,O,O,O
LSOTJZI,O,X,X,O,O
LSOTZIJ,O,X,X,O,X
LSOTZJI,O,X,X,O,X
LSOITJZ,X,X,O,O,O
LSOITZJ,X,X,X,O,X
LSOIJTZ,X,X,O,O,O
LSOIJZT,X,X,O,X,X
LSOIZTJ,X,X,X,O,X
LSOIZJT,X,X,O,X,X
LSOJTIZ,X,X,O,O,O
LSOJTZI,O,X,X,O,O
LSOJITZ,X,X,O,O,O
LSOJIZT,X,X,O,X,X
LSOJZTI,O,X,X,O,X
LSOJZIT,O,X,O,X,X
LSOZTIJ,O,X,X,O,X
LSOZTJI,O,X,X,O,X
LSOZITJ,X,X,X,O,X
LSOZIJT,O,X,O,X,X
LSOZJTI,O,X,X,O,X
LSOZJIT,O,X,O,X,X
LZTIJSO,O,O,X,X,O
LZTIJOS,X,O,X,X,O
LZTISJO,O,O,X,O,X
LZTISOJ,X,O,X,O,X
LZTIOJS,X,O,X,X,O
LZTIOSJ,X,O,X,O,X
LZTJISO,O,O,X,X,O
LZTJIOS,X,O,X,X,O
LZTJSIO,O,X,X,X,O
LZTJSOI,O,X,X,X,O
LZTJOIS,O,O,X,X,O
LZTJOSI,O,X,X,X,O
LZTSIJO,O,X,X,O,X
LZTSIOJ,X,X,X,O,X
LZTSJIO,O,X,X,O,X
LZTSJOI,O,X,X,O,X
LZTSOIJ,O,X,X,O,X
LZTSOJI,O,X,X,O,X
LZTOIJS,O,O,X,X,O
LZTOISJ,O,O,X,O,X
LZTOJIS,O,O,X,X,O
LZTOJSI,O,X,X,X,O
LZTOSIJ,O,X,X,O,X
LZTOSJI,O,X,X,O,X
LZITJSO,O,O,X,X,O
LZITJOS,X,O,X,X,O
LZITSJO,O,O,X,O,X
LZITSOJ,X,O,X,O,X
LZITOJS,X,O,X,X,O
LZITOSJ,X,O,X,O,X
LZIJTSO,O,O,O,X,O
LZIJTOS,X,O,O,X,O
LZIJSTO,O,O,O,X,X
LZIJSOT,O,O,O,X,X
LZIJOTS,O,O,O,X,O
LZIJOST,O,O,O,X,X
LZISTJO,X,O,X,O,X
LZISTOJ,X,O,X,O,X
LZISJTO,O,O,O,X,X
LZISJOT,O,O,O,X,X
LZISOTJ,X,O,X,O,X
LZISOJT,X,O,O,X,X
LZIOTJS,O,O,X,X,O
LZIOTSJ,O,O,X,O,X
LZIOJTS,O,O,O,X,O
LZIOJST,O,O,O,X,X
LZIOSTJ,X,O,X,O,X
LZIOSJT,O,O,O,X,X
LZJTISO,O,O,X,X,O
LZJTIOS,X,O,X,X,O
LZJTSIO,O,X,X,X,O
LZJTSOI,O,X,X,X,O
LZJTOIS,O,O,X,X,O
LZJTOSI,O,X,X,X,O
LZJITSO,O,O,O,X,O
LZJITOS,X,O,O,X,O
LZJISTO,O,O,O,X,X
LZJISOT,O,O,O,X,X
LZJIOTS,O,O,O,X,O
LZJIOST,O,O,O,X,X
LZJSTIO,O,X,X,X,X
LZJSTOI,O,X,X,X,X
LZJSITO,O,X,O,X,X
LZJSIOT,O,X,O,X,X
LZJSOTI,O,X,X,X,X
LZJSOIT,O,X,O,X,X
LZJOTIS,O,O,X,X,O
LZJOTSI,O,X,X,X,O
LZJOITS,O,O,O,X,O
LZJOIST,O,O,O,X,X
LZJOSTI,O,X,X,X,X
LZJOSIT,O,X,O,X,X
LZSTIJO,O,X,X,O,X
LZSTIOJ,X,X,X,O,X
LZSTJIO,O,X,X,O,X
LZSTJOI,O,X,X,O,X
LZSTOIJ,O,X,X,O,X
LZSTOJI,O,X,X,O,X
LZSITJO,X,X,X,O,X
LZSITOJ,X,X,X,O,X
LZSIJTO,O,X,O,X,X
LZSIJOT,O,X,O,X,X
LZSIOTJ,X,X,X,O,X
LZSIOJT,X,X,O,X,X
LZSJTIO,O,X,X,O,X
LZSJTOI,O,X,X,O,X
LZSJITO,O,X,O,X,X
LZSJIOT,O,X,O,X,X
LZSJOTI,O,X,X,O,X
LZSJOIT,O,X,O,X,X
LZSOTIJ,O,X,X,O,X
LZSOTJI,O,X,X,O,X
LZSOITJ,X,X,X,O,X
LZSOIJT,O,X,O,X,X
LZSOJTI,O,X,X,O,X
LZSOJIT,O,X,O,X,X
LZOTIJS,O,O,X,X,O
LZOTISJ,O,O,X,O,X
LZOTJIS,O,O,X,X,O
LZOTJSI,O,X,X,X,O
LZOTSIJ,O,X,X,O,X
LZOTSJI,O,X,X,O,X
LZOITJS,O,O,X,X,O
LZOITSJ,O,O,X,O,X
LZOIJTS,O,O,O,X,O
LZOIJST,O,O,O,X,X
LZOISTJ,X,O,X,O,X
LZOISJT,O,O,O,X,X
LZOJTIS,O,O,X,X,O
LZOJTSI,O,X,X,X,O
LZOJITS,O,O,O,X,O
LZOJIST,O,O,O,X,X
LZOJSTI,O,X,X,X,X
LZOJSIT,O,X,O,X,X
LZOSTIJ,O,X,X,O,X
LZOSTJI,O,X,X,O,X
LZOSITJ,X,X,X,O,X
LZOSIJT,O,X,O,X,X
LZOSJTI,O,X,X,O,X
LZOSJIT,O,X,O,X,X
LOTIJSZ,X,X,O,O,O
LOTIJZS,X,X,O,X,O
LOTISJZ,X,X,O,O,O
LOTISZJ,X,X,X,O,X
LOTIZJS,X,X,X,X,O
LOTIZSJ,X,X,X,O,X
LOTJISZ,X,X,O,O,O
LOTJIZS,X,X,O,X,O
LOTJSIZ,X,X,O,O,O
LOTJSZI,O,X,X,O,O
LOTJZIS,O,X,X,X,O
LOTJZSI,O,X,X,X,O
LOTSIJZ,X,X,O,O,O
LOTSIZJ,X,X,X,O,X
LOTSJIZ,X,X,O,O,O
LOTSJZI,O,X,X,O,O
LOTSZIJ,O,X,X,O,X
LOTSZJI,O,X,X,O,X
LOTZIJS,O,X,X,X,O
LOTZISJ,O,X,X,O,X
LOTZJIS,O,X,X,X,O
LOTZJSI,O,X,X,X,O
LOTZSIJ,O,X,X,O,X
LOTZSJI,O,X,X,O,X
LOITJSZ,X,X,O,O,O
LOITJZS,X,X,O,X,O
LOITSJZ,X,X,O,O,O
LOITSZJ,X,X,X,O,X
LOITZJS,X,X,X,X,O
LOITZSJ,X,X,X,O,X
LOIJTSZ,X,X,O,O,O
LOIJTZS,X,X,O,X,O
LOIJSTZ,X,O,O,O,O
LOIJSZT,X,O,O,X,X
LOIJZTS,X,O,O,X,O
LOIJZST,X,O,O,X,X
LOISTJZ,X,O,O,O,O
LOISTZJ,X,X,X,O,X
LOISJTZ,X,O,O,O,O
LOISJZT,X,O,O,X,X
LOISZTJ,X,O,X,O,X
LOISZJT,X,O,O,X,X
LOIZTJS,X,O,X,X,O
LOIZTSJ,X,O,X,O,X
LOIZJTS,X,O,O,X,O
LOIZJST,X,O,O,X,X
LOIZSTJ,X,O,X,O,X
LOIZSJT,X,O,O,X,X
LOJTISZ,X,X,O,O,O
LOJTIZS,X,X,O,X,O
LOJTSIZ,X,X,O,O,O
LOJTSZI,O,X,X,O,O
LOJTZIS,O,X,X,X,O
LOJTZSI,O,X,X,X,O
LOJITSZ,X,X,O,O,O
LOJITZS,X,X,O,X,O
LOJISTZ,X,O,O,O,O
LOJISZT,X,O,O,X,X
LOJIZTS,X,O,O,X,O
LOJIZST,X,O,O,X,X
LOJSTIZ,X,X,O,O,O
LOJSTZI,O,X,X,O,O
LOJSITZ,X,X,O,O,O
LOJSIZT,X,X,O,X,X
LOJSZTI,O,X,X,O,X
LOJSZIT,O,X,O,X,X
LOJZTIS,O,O,X,X,O
LOJZTSI,O,X,X,X,O
LOJZITS,O,O,O,X,O
LOJZIST,O,O,O,X,X
LOJZSTI,O,X,X,X,X
LOJZSIT,O,X,O,X,X
LOSTIJZ,X,X,O,O,O
LOSTIZJ,X,X,X,O,X
LOSTJIZ,X,X,O,O,O
LOSTJZI,O,X,X,O,O
LOSTZIJ,O,X,X,O,X
LOSTZJI,O,X,X,O,X
LOSITJZ,X,X,O,O,O
LOSITZJ,X,X,X,O,X
LOSIJTZ,X,X,O,O,O
LOSIJZT,X,X,O,X,X
LOSIZTJ,X,X,X,O,X
LOSIZJT,X,X,O,X,X
LOSJTIZ,X,X,O,O,O
LOSJTZI,O,X,X,O,O
LOSJITZ,X,X,O,O,O
LOSJIZT,X,X,O,X,X
LOSJZTI,O,X,X,O,X
LOSJZIT,O,X,O,X,X
LOSZTIJ,O,X,X,O,X
LOSZTJI,O,X,X,O,X
LOSZITJ,X,X,X,O,X
LOSZIJT,O,X,O,X,X
LOSZJTI,O,X,X,O,X
LOSZJIT,O,X,O,X,X
LOZTIJS,O,O,X,X,O
LOZTISJ,O,O,X,O,X
LOZTJIS,O,O,X,X,O
LOZTJSI,O,X,X,X,O
LOZTSIJ,O,X,X,O,X
LOZTSJI,O,X,X,O,X
LOZITJS,O,O,X,X,O
LOZITSJ,O,O,X,O,X
LOZIJTS,O,O,O,X,O
LOZIJST,O,O,O,X,X
LOZISTJ,X,O,X,O,X
LOZISJT,O,O,O,X,X
LOZJTIS,O,O,X,X,O
LOZJTSI,O,X,X,X,O
LOZJITS,O,O,O,X,O
LOZJIST,O,O,O,X,X
LOZJSTI,O,X,X,X,X
LOZJSIT,O,X,O,X,X
LOZSTIJ,O,X,X,O,X
LOZSTJI,O,X,X,O,X
LOZSITJ,X,X,X,O,X
LOZSIJT,O,X,O,X,X
LOZSJTI,O,X,X,O,X
LOZSJIT,O,X,O,X,X
JTILSZO,X,X,O,X,O
JTILSOZ,X,X,O,X,O
JTILZSO,X,X,O,X,O
JTILZOS,X,X,O,X,O
JTILOSZ,X,X,O,X,O
JTILOZS,X,X,O,X,O
JTISLZO,X,X,O,X,X
JTISLOZ,X,O,O,X,X
JTISZLO,O,O,X,X,X
JTISZOL,O,O,X,X,X
JTISOLZ,X,O,O,X,X
JTISOZL,O,O,X,X,X
JTIZLSO,O,O,X,X,X
JTIZLOS,X,O,X,X,X
JTIZSLO,O,O,X,X,X
JTIZSOL,O,O,X,X,X
JTIZOLS,O,O,X,X,X
JTIZOSL,O,O,X,X,X
JTIOLSZ,X,X,O,X,O
JTIOLZS,X,X,O,X,O
JTIOSLZ,X,O,O,X,X
JTIOSZL,O,O,X,X,X
JTIOZLS,O,O,X,X,X
JTIOZSL,O,O,X,X,X
JTLISZO,X,X,O,O,O
JTLISOZ,X,X,O,O,O
JTLIZSO,X,X,O,X,O
JTLIZOS,X,X,O,X,O
JTLIOSZ,X,X,O,O,O
JTLIOZS,X,X,O,X,O
JTLSIZO,X,X,O,O,O
JTLSIOZ,X,X,O,O,O
JTLSZIO,O,X,X,O,O
JTLSZOI,O,X,X,O,O
JTLSOIZ,X,X,O,O,O
JTLSOZI,O,X,X,O,O
JTLZISO,O,X,X,X,O
JTLZIOS,X,X,X,X,O
JTLZSIO,O,X,X,X,O
JTLZSOI,O,X,X,X,O
JTLZOIS,O,X,X,X,O
JTLZOSI,O,X,X,X,O
JTLOISZ,X,X,O,O,O
JTLOIZS,X,X,O,X,O
