sequence,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeUBJvhFRiBKqBfrBd?sBznBupB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeRAJvhFzhBaoBNrBc?sBXqBGqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeCAJvhFThBdoB0qBx?rBOsBXqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JexAJvhFiiBcqBznBm?rBtpBXrB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JexAJvhFiiBcqBerBf?sBznBtpB,v115@9gA8HeB8HeC8GeB8DeA8AeC8Jez/IvhFaoBXqBxrBu?qBcrBNsB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeWFJvhFThBaoBXqBx?rBNsB0qB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeCAJvhFOmBziB0qBR?sBdsBXqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeWFJvhFThBaoB0qBx?rBNsBXqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JexAJvhF8mBziBmqBi?sBtpB3qB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeXBJvhFziBmqBRsBd?sBUqBCqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeRAJvhF3hBeoB9qBi?rBcsBzpB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JemAJvhFRiBcqBasBz?nBXrBtpB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeUBJvhFRiBdsBznBm?qBqpB/qB,v115@9gA8HeB8HeC8GeB8DeA8AeC8Je3AJvhFaoBTqBxrBu?pBcrBNsB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeRBJvhFaoBNqB3mBc?sBupBzqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JecFJvhFziB3qBRsBu?pBNrBasB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JexAJvhFmiBarBfsB0?nBTqBtpB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JezBJvhFaoBcsBxqBt?pB3qBmqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeWFJvhFNmBziB0qBR?sBasBXqB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JexAJvhFcqBmmBznBX?rBtpBisB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeWFJvhFNmBziBXqBR?sBasB0qB,v115@9gA8HeB8HeC8GeB8DeA8AeC8JeyHJvhFRlBfsB9qBO?rB0nBzpB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSJZO,X,O,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TILSJOZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSZJO,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSZOJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSOJZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSOZJ,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZJSO,X,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
TILZJOS,X,O,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
TILZSJO,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X
TILZSOJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,O,X,X,X
TILZOJS,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TILZOSJ,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TILOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TILOZJS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TILOZSJ,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
