sequence,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhFRhBGjB3mBznB0q?BiqB,v115@HhA8IeB8DeA8BeC8CeE8Jex/IvhFmhBCjBTmBXoB0q?BFqB,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhF3gBzhBunBcoBxq?ByvB,v115@HhA8IeB8DeA8BeC8CeE8Jex/IvhF8mBqnBTjBFlB3q?BOrB,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhFymBGjBznBxqBcq?BXrB,v115@HhA8IeB8DeA8BeC8CeE8Je0/IvhFqnBTjBRmBllB3m?B2vB,v115@HhA8IeB8DeA8BeC8CeE8Je0/IvhFSoBRmBllB3mBzn?B2vB,v115@HhA8IeB8DeA8BeC8CeE8Jel/IvhFxhBTjBKqBGmB0n?BfrB,v115@HhA8IeB8DeA8BeC8CeE8JeUBJvhFFlBxnBCnBXoBzq?BmpB
TILJSZO,X,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,O,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,O,X,X
TILJZOS,X,X,X,X,X,O,O,O,X
TILJOSZ,X,X,X,O,O,X,X,X,X
TILJOZS,X,X,X,X,O,O,X,X,X
TILSJZO,X,X,X,O,X,X,X,X,X
TILSJOZ,X,X,X,O,X,X,X,X,X
TILSZJO,X,X,O,O,X,X,X,X,X
TILSZOJ,X,X,O,O,X,X,X,X,X
TILSOJZ,X,X,X,O,O,X,X,X,X
TILSOZJ,X,X,O,O,O,X,X,X,X
TILZJSO,X,X,O,X,X,X,O,X,X
TILZJOS,X,X,O,X,X,X,O,O,X
TILZSJO,X,X,O,O,X,X,O,X,X
TILZSOJ,X,X,O,O,X,X,O,X,X
TILZOJS,X,X,O,X,O,O,O,O,X
TILZOSJ,X,X,O,O,O,O,O,X,X
TILOJSZ,X,X,X,O,O,X,X,X,X
TILOJZS,X,X,X,X,O,O,X,X,X
TILOSJZ,X,X,X,O,O,X,X,X,X
TILOSZJ,X,X,O,O,O,X,X,X,X
TILOZJS,X,X,O,X,O,O,X,X,X
TILOZSJ,X,X,O,O,O,O,X,X,X
TIJLSZO,X,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,X,O,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,O,X,X
TIJLZOS,X,X,X,X,X,O,O,X,X
TIJLOSZ,X,X,X,O,O,X,X,X,X
TIJLOZS,X,X,X,X,O,O,X,X,X
TIJSLZO,O,O,X,O,X,X,X,X,X
TIJSLOZ,O,O,X,O,X,X,X,X,X
TIJSZLO,O,X,O,O,X,X,X,X,X
TIJSZOL,O,X,O,X,X,X,X,X,X
TIJSOLZ,O,X,X,O,X,X,X,X,X
TIJSOZL,O,X,O,X,X,X,X,X,X
TIJZLSO,X,X,O,X,X,X,O,X,X
TIJZLOS,X,X,O,X,X,O,O,X,X
TIJZSLO,O,X,O,X,X,X,X,X,X
TIJZSOL,O,X,O,X,X,X,X,X,X
TIJZOLS,X,X,O,X,X,O,X,X,X
TIJZOSL,X,X,O,X,X,X,X,X,X
TIJOLSZ,X,X,X,O,O,X,X,X,X
TIJOLZS,X,X,X,X,O,O,X,X,X
TIJOSLZ,X,X,X,O,O,X,X,X,X
TIJOSZL,X,X,O,X,O,X,X,X,X
TIJOZLS,X,X,O,X,O,O,X,X,X
TIJOZSL,X,X,O,X,O,X,X,X,X
TISLJZO,O,O,X,O,X,X,X,X,X
TISLJOZ,O,O,X,O,X,X,X,X,X
TISLZJO,X,O,O,O,X,X,X,X,X
TISLZOJ,X,O,O,O,X,X,X,X,X
TISLOJZ,O,O,X,O,O,X,X,X,X
TISLOZJ,X,X,O,O,O,X,X,X,X
TISJLZO,O,O,X,O,X,X,X,X,X
TISJLOZ,O,O,X,O,X,X,X,X,X
TISJZLO,O,X,O,O,X,X,X,X,X
TISJZOL,O,X,O,X,X,X,X,X,X
TISJOLZ,O,X,X,O,X,X,X,X,X
TISJOZL,O,X,O,X,X,X,X,X,X
TISZLJO,O,O,O,O,X,X,X,X,X
TISZLOJ,O,O,O,O,X,X,X,X,X
TISZJLO,O,O,O,O,X,X,X,X,X
TISZJOL,O,X,O,X,X,X,X,X,X
TISZOLJ,O,O,O,O,X,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,X,X
TISOLJZ,O,O,X,O,O,X,X,X,X
TISOLZJ,X,X,O,O,O,X,X,X,X
TISOJLZ,O,O,X,O,O,X,X,X,X
TISOJZL,O,X,O,X,O,X,X,X,X
TISOZLJ,O,X,O,O,O,X,X,X,X
TISOZJL,O,X,O,X,O,X,X,X,X
TIZLJSO,X,X,O,X,X,X,O,X,X
TIZLJOS,X,X,O,X,X,X,O,O,X
TIZLSJO,X,X,O,O,X,X,O,X,X
TIZLSOJ,X,X,O,O,X,X,O,X,X
TIZLOJS,X,X,O,X,O,O,O,O,X
TIZLOSJ,X,X,O,O,O,O,O,X,X
TIZJLSO,X,X,O,X,X,X,X,X,X
TIZJLOS,X,X,O,X,X,X,X,X,X
TIZJSLO,O,O,O,X,X,X,X,X,X
TIZJSOL,O,X,O,X,X,X,X,X,X
TIZJOLS,X,X,O,X,X,X,X,X,X
TIZJOSL,X,X,O,X,X,X,X,X,X
TIZSLJO,O,O,O,O,X,X,X,X,X
TIZSLOJ,O,O,O,O,X,X,X,X,X
TIZSJLO,O,O,O,O,X,X,X,X,X
TIZSJOL,O,X,O,X,X,X,X,X,X
TIZSOLJ,O,O,O,O,X,X,X,X,X
TIZSOJL,O,O,O,X,X,X,X,X,X
TIZOLJS,X,X,O,X,O,O,X,O,X
TIZOLSJ,X,X,O,O,O,O,X,X,X
TIZOJLS,X,X,O,X,O,X,X,X,X
TIZOJSL,O,O,O,X,O,X,X,X,X
TIZOSLJ,O,O,O,O,O,X,X,X,X
TIZOSJL,O,O,O,X,O,X,X,X,X
TIOLJSZ,X,X,X,O,O,X,X,X,X
TIOLJZS,X,X,X,X,O,O,X,X,X
TIOLSJZ,X,X,X,O,O,X,X,X,X
TIOLSZJ,X,X,O,O,O,X,X,X,X
TIOLZJS,X,X,O,X,O,O,X,X,O
TIOLZSJ,X,X,O,O,O,O,X,X,O
TIOJLSZ,X,X,X,O,O,X,X,X,X
TIOJLZS,X,X,X,X,O,O,X,X,X
TIOJSLZ,O,O,X,O,O,X,X,X,X
TIOJSZL,O,X,O,X,O,X,X,X,X
TIOJZLS,X,X,O,X,O,O,X,X,O
TIOJZSL,O,X,O,X,O,X,X,X,O
TIOSLJZ,O,O,X,O,O,X,X,X,X
TIOSLZJ,X,X,O,O,O,X,X,X,X
TIOSJLZ,O,O,X,O,O,X,X,X,X
TIOSJZL,O,X,O,X,O,X,X,X,X
TIOSZLJ,O,X,O,O,O,X,X,X,O
TIOSZJL,O,X,O,X,O,X,X,X,O
TIOZLJS,X,X,O,X,O,O,X,X,O
TIOZLSJ,X,X,O,O,O,O,X,X,O
TIOZJLS,X,X,O,X,O,X,X,X,O
TIOZJSL,O,X,O,X,O,X,X,X,O
TIOZSLJ,O,X,O,O,O,X,X,X,O
TIOZSJL,O,X,O,X,O,X,X,X,O
TLIJSZO,X,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,X,O,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,O,X,X
TLIJZOS,X,X,X,X,X,O,O,O,X
TLIJOSZ,X,X,X,O,O,X,X,X,X
TLIJOZS,X,X,X,X,O,O,X,X,X
TLISJZO,X,X,X,O,X,X,X,X,X
TLISJOZ,X,X,X,O,X,X,X,X,X
TLISZJO,X,X,O,O,X,X,X,X,X
TLISZOJ,X,X,O,O,X,X,X,X,X
TLISOJZ,X,X,X,O,O,X,X,X,X
TLISOZJ,X,X,O,O,O,X,X,X,X
TLIZJSO,X,X,O,X,X,X,O,X,X
TLIZJOS,X,X,O,X,X,X,O,O,X
TLIZSJO,X,X,O,O,X,X,O,X,X
TLIZSOJ,X,X,O,O,X,X,O,X,X
TLIZOJS,X,X,O,X,O,O,O,O,X
TLIZOSJ,X,X,O,O,O,O,O,X,X
TLIOJSZ,X,X,X,O,O,X,X,X,X
TLIOJZS,X,X,X,X,O,O,X,X,X
TLIOSJZ,X,X,X,O,O,X,X,X,X
TLIOSZJ,X,X,O,O,O,X,X,X,X
TLIOZJS,X,X,O,X,O,O,X,X,X
TLIOZSJ,X,X,O,O,O,O,X,X,X
TLJISZO,X,X,X,O,X,X,X,X,X
TLJISOZ,X,X,X,O,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,O,X,X
TLJIZOS,X,X,X,X,X,O,O,O,X
TLJIOSZ,X,X,X,O,O,X,X,X,X
TLJIOZS,X,X,X,X,O,O,X,X,X
TLJSIZO,O,X,X,O,X,X,X,X,X
TLJSIOZ,O,X,X,O,X,X,X,X,X
TLJSZIO,O,X,X,O,X,X,X,X,X
TLJSZOI,X,X,X,O,X,X,X,O,X
TLJSOIZ,X,X,X,O,X,X,X,X,X
TLJSOZI,X,X,X,O,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,O,X,X
TLJZIOS,X,X,X,X,X,O,O,O,X
TLJZSIO,O,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,O,X
TLJZOIS,X,X,X,X,X,O,X,O,X
TLJZOSI,X,X,X,X,X,X,X,O,X
TLJOISZ,X,X,X,O,O,X,X,X,X
TLJOIZS,X,X,X,X,O,O,X,X,X
TLJOSIZ,X,X,X,O,O,X,X,X,X
TLJOSZI,X,X,X,O,X,X,X,X,X
TLJOZIS,X,X,X,X,O,O,X,O,X
TLJOZSI,X,X,X,X,X,X,X,O,X
TLSIJZO,O,X,X,O,X,X,X,X,X
TLSIJOZ,O,X,X,O,X,X,X,X,X
TLSIZJO,X,X,X,O,X,X,X,X,X
TLSIZOJ,X,X,X,O,X,X,X,X,X
TLSIOJZ,O,X,X,O,O,X,X,X,X
TLSIOZJ,X,X,X,O,O,X,X,X,X
TLSJIZO,O,X,X,O,X,X,X,X,X
TLSJIOZ,O,X,X,O,X,X,X,X,X
TLSJZIO,O,X,X,O,X,X,X,X,X
TLSJZOI,X,X,X,O,X,X,X,O,X
TLSJOIZ,X,X,X,O,X,X,X,X,X
TLSJOZI,X,X,X,O,X,X,X,X,X
TLSZIJO,O,X,X,O,X,X,X,X,X
TLSZIOJ,O,X,X,O,X,X,X,X,X
TLSZJIO,O,X,X,O,X,X,X,X,X
TLSZJOI,X,X,X,O,X,X,X,O,X
TLSZOIJ,O,X,X,O,X,X,X,X,X
TLSZOJI,O,X,X,O,X,X,X,O,X
TLSOIJZ,O,X,X,O,O,X,X,X,X
TLSOIZJ,X,X,X,O,O,X,X,X,X
TLSOJIZ,O,X,X,O,O,X,X,X,X
TLSOJZI,O,X,X,O,X,X,X,X,X
TLSOZIJ,O,X,X,O,X,X,X,X,X
TLSOZJI,O,X,X,O,X,X,X,X,X
TLZIJSO,X,X,O,X,X,X,O,X,X
TLZIJOS,X,X,O,X,X,X,O,O,X
TLZISJO,X,X,O,O,X,X,O,X,X
TLZISOJ,X,X,O,O,X,X,O,X,X
TLZIOJS,X,X,O,X,O,O,O,O,X
TLZIOSJ,X,X,O,O,O,O,O,X,X
TLZJISO,X,X,O,X,X,X,O,X,X
TLZJIOS,X,X,O,X,X,O,O,O,X
TLZJSIO,O,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,O,X
TLZJOIS,X,X,O,X,X,O,X,O,X
TLZJOSI,X,X,X,X,X,X,X,O,X
TLZSIJO,O,X,X,O,X,X,X,X,X
TLZSIOJ,O,X,X,O,X,X,X,X,X
TLZSJIO,O,X,X,O,X,X,X,X,X
TLZSJOI,X,X,X,O,X,X,X,O,X
TLZSOIJ,O,X,X,O,X,X,X,X,X
TLZSOJI,O,X,X,O,X,X,X,O,X
TLZOIJS,X,X,O,X,O,O,X,O,X
TLZOISJ,X,X,O,O,O,O,X,X,X
TLZOJIS,X,X,O,X,O,O,X,O,X
TLZOJSI,O,X,X,X,X,X,X,O,X
TLZOSIJ,O,X,X,O,X,X,X,X,X
TLZOSJI,O,X,X,O,X,X,X,O,X
TLOIJSZ,X,X,X,O,O,X,X,X,X
TLOIJZS,X,X,X,X,O,O,X,X,X
TLOISJZ,X,X,X,O,O,X,X,X,X
TLOISZJ,X,X,O,O,O,X,X,X,X
TLOIZJS,X,X,O,X,O,O,X,X,X
TLOIZSJ,X,X,O,O,O,O,X,X,X
TLOJISZ,X,X,X,O,O,X,X,X,X
TLOJIZS,X,X,X,X,O,O,X,X,X
TLOJSIZ,O,X,X,O,O,X,X,X,X
TLOJSZI,O,X,X,O,X,X,X,X,X
TLOJZIS,X,X,X,X,O,O,X,O,X
TLOJZSI,O,X,X,X,X,X,X,O,X
TLOSIJZ,O,X,X,O,O,X,X,X,X
TLOSIZJ,X,X,X,O,O,X,X,X,X
TLOSJIZ,O,X,X,O,O,X,X,X,X
TLOSJZI,O,X,X,O,X,X,X,X,X
TLOSZIJ,O,X,X,O,X,X,X,X,X
TLOSZJI,O,X,X,O,X,X,X,X,X
TLOZIJS,X,X,O,X,O,O,X,O,X
TLOZISJ,X,X,O,O,O,O,X,X,X
TLOZJIS,X,X,O,X,O,O,X,O,X
TLOZJSI,O,X,X,X,X,X,X,O,X
TLOZSIJ,O,X,X,O,X,X,X,X,X
TLOZSJI,O,X,X,O,X,X,X,O,X
TJILSZO,X,X,X,O,X,X,X,X,X
