sequence,v115@9gB8HeB8HeA8HeC8DeD8JeiAJvhFRiBcoBTnBFqBXr?BGrB,v115@9gB8HeB8HeA8HeC8DeD8JecGJvhFenBqnBTjBXlBll?BxvB,v115@9gB8HeB8HeA8HeC8DeD8JeCCJvhFTjBXlB2rB0nBll?BxvB,v115@9gB8HeB8HeA8HeC8DeD8JeeFJvhFRhBqnBTjB8rB3q?BFrB,v115@9gB8HeB8HeA8HeC8DeD8JelAJvhF3hBqnBTjB8rBRq?B2vB,v115@9gB8HeB8HeA8HeC8DeD8JeiAJvhFGiBTjBfrBUqBRs?BlrB,v115@9gB8HeB8HeA8HeC8DeD8JeeFJvhFTjBRmB1sBCnB3q?BUrB,v115@9gB8HeB8HeA8HeC8DeD8JeRCJvhFcoBXlB6rBTnBml?B1vB,v115@9gB8HeB8HeA8HeC8DeD8JeeFJvhFRmBFoBzmBCoB3q?BUrB
TILJSZO,X,O,X,X,X,X,X,X,X
TILJSOZ,X,O,X,X,X,X,X,X,X
TILJZSO,X,O,X,X,O,X,X,X,X
TILJZOS,X,O,X,X,O,X,X,X,X
TILJOSZ,X,O,X,X,X,X,O,X,X
TILJOZS,X,O,X,X,O,X,O,X,X
TILSJZO,X,O,X,X,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,O,X,X,X,X
TILSZOJ,O,X,X,X,O,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X,X
TILSOZJ,O,X,X,X,O,X,X,X,X
TILZJSO,O,X,X,X,O,X,X,X,X
TILZJOS,O,X,X,X,O,X,X,X,X
TILZSJO,O,X,X,X,O,X,X,X,X
TILZSOJ,O,X,X,X,O,X,X,X,X
TILZOJS,O,X,X,X,O,X,X,X,X
TILZOSJ,O,X,X,X,O,X,X,X,X
TILOJSZ,X,O,X,X,X,X,O,X,X
TILOJZS,X,O,X,X,O,X,O,X,X
TILOSJZ,X,O,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,O,X,X,X,X
TILOZJS,O,X,X,X,O,X,X,X,X
TILOZSJ,O,X,X,X,O,X,X,X,X
TIJLSZO,X,O,O,X,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,X,X,X
TIJLZSO,X,O,O,X,O,X,X,X,X
TIJLZOS,X,O,O,X,O,X,X,X,X
TIJLOSZ,X,O,X,X,X,X,O,X,X
TIJLOZS,X,O,X,X,O,X,O,X,X
TIJSLZO,X,O,O,X,X,X,X,X,O
TIJSLOZ,X,O,X,X,X,X,O,X,O
TIJSZLO,X,O,O,X,X,X,X,X,O
TIJSZOL,X,X,O,X,X,X,O,X,O
TIJSOLZ,X,X,X,X,X,X,O,X,O
TIJSOZL,X,X,X,X,X,X,O,X,O
TIJZLSO,X,O,O,X,O,X,X,X,X
TIJZLOS,X,O,O,X,O,O,X,X,X
TIJZSLO,X,O,O,X,O,O,X,X,X
TIJZSOL,X,X,O,X,X,O,X,X,X
TIJZOLS,X,X,O,X,O,O,O,X,X
TIJZOSL,X,X,O,X,X,O,O,X,X
TIJOLSZ,X,X,X,X,X,X,O,X,X
TIJOLZS,X,X,X,X,O,X,O,X,X
TIJOSLZ,X,X,X,X,X,X,O,X,X
TIJOSZL,X,X,X,X,X,X,O,X,X
TIJOZLS,X,X,X,X,O,O,O,X,X
TIJOZSL,X,X,X,X,X,O,O,X,X
TISLJZO,X,O,X,X,X,X,X,X,O
TISLJOZ,X,O,X,X,X,X,O,X,O
TISLZJO,O,X,X,X,O,X,X,X,X
TISLZOJ,O,X,X,X,O,X,X,X,X
TISLOJZ,X,O,X,X,X,X,O,X,X
TISLOZJ,O,X,X,X,O,X,X,X,X
TISJLZO,X,O,O,X,X,X,X,X,O
TISJLOZ,X,O,X,X,X,X,O,X,O
TISJZLO,X,O,O,X,X,X,X,X,O
TISJZOL,X,X,O,X,X,X,O,X,O
TISJOLZ,X,X,X,X,X,X,O,X,O
TISJOZL,X,X,X,X,X,X,O,X,O
TISZLJO,O,X,X,X,O,X,X,X,X
TISZLOJ,O,X,X,X,O,X,X,X,X
TISZJLO,O,O,O,X,O,X,X,X,O
TISZJOL,X,X,O,X,X,X,O,X,O
TISZOLJ,O,X,X,X,O,X,X,X,X
TISZOJL,O,X,O,X,X,X,O,X,X
TISOLJZ,X,O,X,X,X,X,O,X,X
