sequence,v115@NhA8HeF8DeE8Je0/IvhFRiBSoB/pBFmBTqBmqB,v115@NhA8HeF8DeE8JeUBJvhFRiBSoB/pBFlBzqBmpB,v115@NhA8HeF8DeE8JeT/IvhFRiBSoB/qBFmB0pBmqB,v115@NhA8HeF8DeE8JeT/IvhFlgBRiBSoB/qBOrB0pB,v115@NhA8HeF8DeE8Jem/IvhFUhBRiBSoBTkBfrBVvB,v115@NhA8HeF8DeE8JeRCJvhFSoBTkB/qBFmB0pBmqB,v115@NhA8HeF8DeE8Jex/IvhFGiBTjB/pBUlBFmByvB,v115@NhA8HeF8DeE8JeOEJvhF8kBRiBSoBFmBXqBzqB
TILJSZO,O,X,O,O,O,X,X,O
TILJSOZ,X,X,X,O,O,O,X,X
TILJZSO,X,X,X,O,O,X,X,X
TILJZOS,X,X,X,O,X,X,X,X
TILJOSZ,O,X,X,O,O,X,X,X
TILJOZS,X,X,X,X,O,X,X,X
TILSJZO,O,X,O,O,O,X,X,O
TILSJOZ,X,X,X,X,O,O,X,X
TILSZJO,O,X,O,O,O,X,X,O
TILSZOJ,O,X,O,O,O,O,X,O
TILSOJZ,O,O,X,X,O,O,X,X
TILSOZJ,O,O,O,O,O,O,X,O
TILZJSO,X,X,X,O,O,X,X,X
TILZJOS,X,X,X,O,X,X,X,X
TILZSJO,O,X,O,O,O,X,X,O
TILZSOJ,O,X,O,O,O,O,X,O
TILZOJS,X,X,X,O,O,X,X,X
TILZOSJ,O,O,O,O,O,X,X,X
TILOJSZ,O,X,X,X,O,X,X,X
TILOJZS,X,X,X,X,O,X,X,X
TILOSJZ,O,O,X,X,O,O,X,X
TILOSZJ,O,O,O,X,O,O,X,O
TILOZJS,X,X,X,X,O,X,X,X
TILOZSJ,O,O,X,X,O,X,X,X
TIJLSZO,O,X,O,O,O,X,X,O
TIJLSOZ,X,X,X,O,O,O,X,X
TIJLZSO,X,X,X,O,O,X,X,X
TIJLZOS,X,X,X,O,X,X,X,X
TIJLOSZ,O,X,X,O,O,X,X,X
TIJLOZS,X,X,X,X,O,X,X,X
TIJSLZO,O,X,O,O,O,X,X,O
TIJSLOZ,X,X,X,O,O,O,X,X
TIJSZLO,O,X,O,O,O,X,O,O
TIJSZOL,X,X,O,O,O,X,O,O
TIJSOLZ,X,X,X,O,O,O,X,X
TIJSOZL,X,X,X,O,O,X,O,X
TIJZLSO,X,X,X,O,O,X,X,X
TIJZLOS,X,X,X,O,X,X,X,X
TIJZSLO,X,X,X,O,O,X,X,X
TIJZSOL,X,X,X,O,O,X,X,X
TIJZOLS,X,X,X,O,X,X,X,X
TIJZOSL,X,X,X,O,X,X,X,X
TIJOLSZ,O,X,X,O,O,X,X,X
TIJOLZS,X,X,X,X,O,X,X,X
TIJOSLZ,O,X,X,O,O,X,X,X
TIJOSZL,O,X,X,O,O,X,O,X
TIJOZLS,X,X,X,X,O,X,X,X
TIJOZSL,X,X,X,X,O,X,X,X
TISLJZO,O,X,O,O,O,X,X,O
TISLJOZ,X,X,X,X,O,O,X,X
TISLZJO,O,X,O,O,O,X,X,O
TISLZOJ,O,X,O,O,O,O,X,O
TISLOJZ,O,O,X,X,O,O,X,X
TISLOZJ,O,O,O,O,O,O,X,O
TISJLZO,O,X,O,O,O,X,X,O
TISJLOZ,X,X,X,X,O,O,X,X
TISJZLO,O,X,O,O,O,X,O,O
TISJZOL,X,X,O,O,O,X,O,O
TISJOLZ,X,X,X,X,O,O,X,X
TISJOZL,X,X,X,X,O,X,O,X
TISZLJO,O,X,O,O,O,X,O,O
TISZLOJ,O,X,O,O,O,O,O,O
TISZJLO,O,X,O,O,O,X,O,O
TISZJOL,X,X,O,O,O,X,O,O
TISZOLJ,O,X,O,O,O,O,O,O
TISZOJL,O,X,O,O,O,X,O,O
TISOLJZ,O,O,X,X,O,O,X,X
TISOLZJ,O,O,O,O,O,O,X,O
TISOJLZ,O,O,X,X,O,O,X,X
TISOJZL,O,O,X,X,O,X,O,X
TISOZLJ,O,O,O,O,O,O,O,O
TISOZJL,O,O,O,O,O,X,O,O
TIZLJSO,X,X,X,O,O,X,X,X
TIZLJOS,X,X,X,O,X,X,X,X
TIZLSJO,O,X,O,O,O,X,X,O
TIZLSOJ,O,X,O,O,O,O,X,O
TIZLOJS,X,X,X,O,O,X,X,X
TIZLOSJ,O,O,O,O,O,X,X,X
TIZJLSO,X,X,X,O,O,X,X,X
TIZJLOS,X,X,X,O,X,X,X,X
TIZJSLO,X,X,X,O,O,X,X,X
TIZJSOL,X,X,X,O,O,X,X,X
TIZJOLS,X,X,X,O,X,X,X,X
TIZJOSL,X,X,X,O,X,X,X,X
TIZSLJO,O,X,O,O,O,X,X,O
TIZSLOJ,O,X,O,O,O,O,X,O
TIZSJLO,O,X,O,O,O,X,X,O
TIZSJOL,X,X,O,O,O,X,X,O
TIZSOLJ,O,X,O,O,O,O,X,O
TIZSOJL,X,X,O,O,O,X,X,O
TIZOLJS,X,X,X,O,O,X,X,X
TIZOLSJ,O,O,O,O,O,X,X,X
TIZOJLS,X,X,X,O,O,X,X,X
TIZOJSL,X,X,X,O,O,X,X,X
TIZOSLJ,O,O,O,O,O,X,X,X
TIZOSJL,O,O,O,O,O,X,X,X
TIOLJSZ,O,X,X,X,O,X,X,X
TIOLJZS,X,X,X,X,O,X,X,X
TIOLSJZ,O,O,X,X,O,O,X,X
TIOLSZJ,O,O,O,X,O,O,X,O
TIOLZJS,X,X,X,X,O,X,X,X
TIOLZSJ,O,O,X,X,O,X,X,X
TIOJLSZ,O,X,X,X,O,X,X,X
