sequence,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhF8mBziB5oBe?rBCmBXsB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeNFJvhFXiB8nB5oBe?rBCmBzrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeKFJvhFzgBmiB5oBc?sBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KemAJvhFxiBTlBcsB6?tBXrBtrB,v115@9gB8HeB8HeB8FeA8AeC8DeB8KeXBJvhFziB5oB2qBC?sBdsB0qB
TLJOISZ,O,X,X,X,O
TLJOIZS,X,O,X,X,O
TLJOSIZ,O,X,X,X,X
TLJOSZI,O,X,X,X,X
TLJOZIS,X,O,X,X,X
TLJOZSI,X,O,X,X,X
TLSIJZO,O,X,X,X,X
TLSIJOZ,O,X,X,X,X
TLSIZJO,O,X,O,X,X
TLSIZOJ,O,X,O,X,X
TLSIOJZ,O,X,X,X,X
TLSIOZJ,O,X,O,X,X
TLSJIZO,O,X,X,X,X
TLSJIOZ,O,X,X,X,X
TLSJZIO,O,X,X,X,X
TLSJZOI,O,X,X,X,X
TLSJOIZ,O,X,X,X,X
TLSJOZI,O,X,X,X,X
TLSZIJO,O,X,O,X,X
TLSZIOJ,O,X,O,O,X
TLSZJIO,O,X,O,X,X
TLSZJOI,O,X,X,X,X
TLSZOIJ,O,X,O,O,X
TLSZOJI,O,X,X,O,X
TLSOIJZ,O,X,X,X,X
TLSOIZJ,O,X,O,X,X
TLSOJIZ,O,X,X,X,X
TLSOJZI,O,X,X,O,X
TLSOZIJ,O,X,O,O,X
TLSOZJI,O,X,X,O,X
TLZIJSO,X,O,O,X,X
TLZIJOS,X,O,X,X,X
TLZISJO,X,O,O,X,X
TLZISOJ,X,X,O,O,X
TLZIOJS,X,O,X,X,X
TLZIOSJ,X,O,X,O,X
TLZJISO,X,O,O,X,X
TLZJIOS,X,O,X,X,X
TLZJSIO,X,O,O,X,X
TLZJSOI,X,X,X,X,X
TLZJOIS,X,O,X,X,X
TLZJOSI,X,O,X,X,X
TLZSIJO,X,O,O,X,X
TLZSIOJ,X,X,O,O,X
TLZSJIO,X,O,O,X,X
TLZSJOI,X,X,X,X,X
TLZSOIJ,X,X,O,O,X
TLZSOJI,X,X,X,O,X
TLZOIJS,X,O,X,X,X
TLZOISJ,X,O,X,O,X
TLZOJIS,X,O,X,X,X
TLZOJSI,X,O,X,X,X
TLZOSIJ,X,O,X,O,X
TLZOSJI,X,O,X,O,X
TLOIJSZ,O,X,X,X,O
TLOIJZS,X,O,X,X,O
TLOISJZ,O,X,X,X,X
TLOISZJ,O,X,O,X,X
TLOIZJS,X,O,X,X,X
TLOIZSJ,X,O,X,O,X
TLOJISZ,O,X,X,X,O
TLOJIZS,X,O,X,X,O
TLOJSIZ,O,X,X,X,X
TLOJSZI,O,X,X,O,X
