sequence,v115@EhA8HeB8HeD8EeE8Je0/IvhFZmBumBTjBNpBXqB6qB,v115@EhA8HeB8HeD8EeE8Je0/IvhF3hBTjBNpBWrBilBRvB,v115@EhA8HeB8HeD8EeE8JeZEJvhFukBihBTjBcrBXqB9qB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBSrB3pBmqBUqB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBSrBUqBmqB3pB,v115@EhA8HeB8HeD8EeE8JeZEJvhFdmBumBTjBCqBfqB0qB,v115@EhA8HeB8HeD8EeE8JedFJvhFRhBTjBCmB0pBXrBOpB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBcrBGqBiqB3pB,v115@EhA8HeB8HeD8EeE8JeNEJvhFRhBTjBuqBcrB3pBaqB,v115@EhA8HeB8HeD8EeE8JeRAJvhFumBTjB/qBarB0pBNpB,v115@EhA8HeB8HeD8EeE8Jei/IvhFZmBumBTjBcpBXqB9qB
TILJSZO,O,O,X,X,X,O,X,X,X,X,X
TILJSOZ,O,O,X,X,X,O,X,X,X,X,X
TILJZSO,X,O,X,X,X,O,X,X,X,X,X
TILJZOS,X,O,X,X,X,O,X,X,X,X,X
TILJOSZ,O,O,X,X,X,O,X,X,X,X,X
TILJOZS,X,O,X,X,X,O,X,X,X,X,X
TILSJZO,O,O,X,O,X,O,X,X,X,X,X
TILSJOZ,O,O,X,O,X,O,X,X,X,X,X
TILSZJO,O,O,X,O,X,X,X,X,X,X,X
TILSZOJ,O,O,X,O,X,X,X,X,X,X,X
TILSOJZ,O,O,X,O,X,O,X,X,X,X,X
TILSOZJ,O,O,X,O,X,X,X,X,X,X,X
TILZJSO,X,O,X,X,O,O,X,X,X,X,X
TILZJOS,X,O,X,X,O,O,X,X,X,X,X
TILZSJO,X,O,X,X,O,X,X,X,X,X,X
TILZSOJ,X,O,X,X,O,X,X,X,X,X,X
TILZOJS,X,O,X,X,O,O,X,X,X,X,X
TILZOSJ,X,O,X,X,O,X,X,X,X,X,X
TILOJSZ,O,O,X,X,X,O,X,X,X,X,X
TILOJZS,X,O,X,X,X,O,X,X,X,X,X
TILOSJZ,O,O,X,O,X,O,X,X,X,X,X
TILOSZJ,O,O,X,O,X,X,X,X,X,X,X
TILOZJS,X,O,X,X,O,O,X,X,X,X,X
TILOZSJ,X,O,X,X,O,X,X,X,X,X,X
TIJLSZO,O,O,X,X,X,O,X,X,X,X,X
TIJLSOZ,O,O,X,X,X,O,X,X,X,X,X
TIJLZSO,X,O,X,X,X,O,X,X,X,X,X
TIJLZOS,X,O,X,X,X,O,X,X,X,X,X
TIJLOSZ,O,O,X,X,X,O,X,X,X,X,X
TIJLOZS,X,O,X,X,X,O,X,X,X,X,X
TIJSLZO,O,O,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,X,X,X,X,X,X,X,O
TIJSZOL,O,O,X,X,X,X,X,X,X,X,O
TIJSOLZ,O,O,X,X,X,X,X,X,X,X,X
TIJSOZL,O,O,X,X,X,X,X,X,X,X,O
TIJZLSO,X,O,X,X,X,X,X,X,X,X,X
TIJZLOS,X,O,X,X,X,X,X,X,X,X,X
TIJZSLO,O,O,X,X,X,X,X,X,X,X,O
TIJZSOL,O,O,X,X,X,X,X,X,X,X,O
TIJZOLS,X,O,X,X,X,X,X,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X,X,X,O
TIJOLSZ,O,O,X,X,X,O,X,X,X,X,X
TIJOLZS,X,O,X,X,X,O,X,X,X,X,X
TIJOSLZ,O,O,X,X,X,X,X,X,X,X,X
TIJOSZL,O,O,X,X,X,X,X,X,X,X,O
TIJOZLS,X,O,X,X,X,X,X,X,X,X,X
TIJOZSL,O,O,X,X,X,X,X,X,X,X,O
TISLJZO,O,O,X,X,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,X,X,X,X
TISLZJO,O,O,X,X,X,X,O,X,X,X,X
TISLZOJ,O,O,X,X,X,X,O,X,X,X,X
TISLOJZ,O,O,X,X,X,X,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,O,X,X,X,X
TISJLZO,O,O,X,X,X,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,X,X,X,X
TISJZLO,O,O,O,X,X,X,X,X,X,X,O
TISJZOL,O,O,O,X,X,X,X,X,X,X,O
TISJOLZ,O,O,X,X,X,X,X,X,X,X,X
TISJOZL,O,O,O,X,X,X,X,X,X,X,O
TISZLJO,O,O,X,X,X,X,O,X,X,X,X
TISZLOJ,O,O,X,X,X,X,O,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,X,X,X,O
TISZJOL,O,O,O,X,X,X,X,X,X,X,O
TISZOLJ,O,O,X,X,X,X,O,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,X,X,X,O
TISOLJZ,O,O,X,X,X,X,X,X,X,X,X
TISOLZJ,O,O,X,X,X,X,O,X,X,X,X
TISOJLZ,O,O,X,X,X,X,X,X,X,X,X
TISOJZL,O,O,O,X,X,X,X,X,X,X,O
TISOZLJ,O,O,X,X,X,X,O,X,X,X,X
TISOZJL,O,O,O,X,X,X,X,X,X,X,O
TIZLJSO,X,O,X,X,X,X,X,X,X,X,X
TIZLJOS,X,O,X,X,X,X,X,X,X,X,X
TIZLSJO,X,O,X,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,X,X,X,X,X,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,X,X,X,X,X
TIZJLSO,X,O,X,X,X,X,X,O,X,X,X
TIZJLOS,X,O,X,X,X,X,X,O,X,X,X
TIZJSLO,O,O,X,X,X,X,X,O,O,X,O
TIZJSOL,O,O,X,X,X,X,X,O,O,X,O
TIZJOLS,X,O,X,X,X,X,X,O,X,X,X
TIZJOSL,O,O,X,X,X,X,X,O,O,X,O
TIZSLJO,O,O,X,X,X,X,O,X,X,X,X
