sequence,v115@HhA8IeC8EeE8DeC8Je0/IvhFxgB6nBTjBtqB3rBmrB,v115@HhA8IeC8EeE8DeC8Je0/IvhFxgBXiBTjBtqBSsB2wB,v115@HhA8IeC8EeE8DeC8Je0/IvhF6lBNmBTjBXnBGnBRwB,v115@HhA8IeC8EeE8DeC8Jex/IvhFihB9nBTjBfsBUrBGqB,v115@HhA8IeC8EeE8DeC8Je0/IvhFxhBTjBdrBWsB6qBXsB,v115@HhA8IeC8EeE8DeC8Je0/IvhFxgB+nBTjBqqB/rBdsB,v115@HhA8IeC8EeE8DeC8Je0/IvhFGjBRmB3nB6qBNrBzrB
TLISOJZ,O,O,X,X,X,X,X
TLISOZJ,O,O,X,X,X,X,X
TLIZJSO,X,O,X,X,X,X,X
TLIZJOS,O,O,X,X,X,X,X
TLIZSJO,O,O,X,O,X,X,X
TLIZSOJ,O,O,X,O,X,X,X
TLIZOJS,O,O,X,X,X,X,X
TLIZOSJ,O,O,X,O,X,X,X
TLIOJSZ,X,O,X,X,X,X,X
TLIOJZS,O,O,X,X,X,X,X
TLIOSJZ,O,O,X,X,X,X,X
TLIOSZJ,O,O,X,X,X,X,X
TLIOZJS,O,O,X,X,X,X,X
TLIOZSJ,O,O,X,O,X,X,X
TLJISZO,X,O,X,X,O,X,X
TLJISOZ,X,O,X,X,O,X,X
TLJIZSO,X,O,X,X,O,X,X
TLJIZOS,O,O,X,X,O,X,X
TLJIOSZ,X,O,X,X,O,X,X
TLJIOZS,O,O,X,X,O,X,X
TLJSIZO,O,O,X,X,O,O,X
TLJSIOZ,O,O,X,X,O,O,X
TLJSZIO,O,O,X,X,O,O,X
TLJSZOI,O,O,X,X,O,O,X
TLJSOIZ,O,O,X,X,O,O,X
TLJSOZI,O,O,X,X,O,O,X
TLJZISO,X,O,X,X,O,X,X
TLJZIOS,O,O,X,X,O,X,X
TLJZSIO,O,O,X,X,O,O,X
TLJZSOI,O,O,X,X,O,O,X
TLJZOIS,O,O,X,X,O,X,X
TLJZOSI,O,O,X,X,O,O,X
TLJOISZ,X,O,X,X,O,X,X
TLJOIZS,O,O,X,X,O,X,X
TLJOSIZ,O,O,X,X,O,O,X
TLJOSZI,O,O,X,X,O,O,X
TLJOZIS,O,O,X,X,O,X,X
TLJOZSI,O,O,X,X,O,O,X
TLSIJZO,O,O,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X
TLSIZJO,O,O,X,X,X,X,X
TLSIZOJ,O,O,X,X,X,X,X
TLSIOJZ,O,O,X,X,X,X,X
TLSIOZJ,O,O,X,X,X,X,X
TLSJIZO,O,O,X,X,X,O,X
TLSJIOZ,O,O,X,X,X,O,X
TLSJZIO,O,O,X,X,X,O,X
TLSJZOI,O,O,X,X,X,O,X
TLSJOIZ,O,O,X,X,X,O,X
TLSJOZI,O,O,X,X,X,O,X
TLSZIJO,O,O,X,O,X,X,X
TLSZIOJ,O,O,X,O,X,X,X
TLSZJIO,O,O,X,O,X,O,X
TLSZJOI,O,O,X,O,X,O,X
TLSZOIJ,O,O,X,O,X,X,X
TLSZOJI,O,O,X,O,X,O,X
TLSOIJZ,O,O,X,X,X,X,X
TLSOIZJ,O,O,X,X,X,X,X
TLSOJIZ,O,O,X,X,X,O,X
TLSOJZI,O,O,X,X,X,O,X
TLSOZIJ,O,O,X,O,X,X,X
TLSOZJI,O,O,X,O,X,O,X
TLZIJSO,X,O,X,X,X,X,X
TLZIJOS,O,O,X,X,X,X,X
TLZISJO,O,O,X,O,X,X,X
TLZISOJ,O,O,X,O,X,X,X
TLZIOJS,O,O,X,X,X,X,X
TLZIOSJ,O,O,X,O,X,X,X
TLZJISO,X,O,X,X,O,X,X
TLZJIOS,O,O,X,X,O,X,X
TLZJSIO,O,O,X,X,O,O,X
TLZJSOI,O,O,X,X,O,O,X
TLZJOIS,O,O,X,X,O,X,X
TLZJOSI,O,O,X,X,O,O,X
TLZSIJO,O,O,X,O,X,X,X
TLZSIOJ,O,O,X,O,X,X,X
TLZSJIO,O,O,X,O,X,O,X
TLZSJOI,O,O,X,O,X,O,X
TLZSOIJ,O,O,X,O,X,X,X
TLZSOJI,O,O,X,O,X,O,X
TLZOIJS,O,O,X,X,X,X,X
TLZOISJ,O,O,X,O,X,X,X
TLZOJIS,O,O,X,X,O,X,X
TLZOJSI,O,O,X,X,O,O,X
TLZOSIJ,O,O,X,O,X,X,X
TLZOSJI,O,O,X,O,X,O,X
TLOIJSZ,X,O,X,X,X,X,X
TLOIJZS,O,O,X,X,X,X,X
TLOISJZ,O,O,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X
TLOIZJS,O,O,X,X,X,X,X
TLOIZSJ,O,O,X,O,X,X,X
TLOJISZ,X,O,X,X,O,X,X
TLOJIZS,O,O,X,X,O,X,X
TLOJSIZ,O,O,X,X,O,O,X
TLOJSZI,O,O,X,X,O,O,X
TLOJZIS,O,O,X,X,O,X,X
TLOJZSI,O,O,X,X,O,O,X
TLOSIJZ,O,O,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,X,X
TLOSJIZ,O,O,X,X,X,O,X
TLOSJZI,O,O,X,X,X,O,X
TLOSZIJ,O,O,X,O,X,X,X
TLOSZJI,O,O,X,O,X,O,X
TLOZIJS,O,O,X,X,X,X,X
TLOZISJ,O,O,X,O,X,X,X
TLOZJIS,O,O,X,X,O,X,X
TLOZJSI,O,O,X,X,O,O,X
TLOZSIJ,O,O,X,O,X,X,X
TLOZSJI,O,O,X,O,X,O,X
TJILSZO,X,O,X,X,O,X,X
TJILSOZ,X,O,X,X,O,X,X
TJILZSO,X,O,X,X,O,X,X
TJILZOS,O,O,X,X,O,X,X
TJILOSZ,X,O,X,X,O,X,X
TJILOZS,O,O,X,X,O,X,X
TJISLZO,O,X,X,X,O,X,X
TJISLOZ,O,X,X,X,O,X,X
TJISZLO,O,X,X,X,O,X,X
TJISZOL,O,X,X,X,O,X,X
TJISOLZ,O,X,X,X,O,X,X
TJISOZL,O,X,X,X,O,X,X
TJIZLSO,X,O,X,X,O,X,X
TJIZLOS,O,O,X,X,O,X,X
TJIZSLO,O,X,X,O,O,X,X
TJIZSOL,O,X,X,O,O,X,X
TJIZOLS,O,O,X,X,O,X,X
TJIZOSL,O,X,X,O,O,X,X
TJIOLSZ,X,O,X,X,O,X,X
TJIOLZS,O,O,X,X,O,X,X
TJIOSLZ,O,X,X,X,O,X,X
TJIOSZL,O,X,X,X,O,X,X
TJIOZLS,O,O,X,X,O,X,X
TJIOZSL,O,X,X,O,O,X,X
TJLISZO,X,O,X,X,O,X,X
TJLISOZ,X,O,X,X,O,X,X
TJLIZSO,X,O,X,X,O,X,X
TJLIZOS,O,O,X,X,O,X,X
TJLIOSZ,X,O,X,X,O,X,X
TJLIOZS,O,O,X,X,O,X,X
TJLSIZO,O,O,X,X,O,O,X
TJLSIOZ,O,O,X,X,O,O,X
TJLSZIO,O,O,X,X,O,O,X
TJLSZOI,O,O,X,X,O,O,X
TJLSOIZ,O,O,X,X,O,O,X
TJLSOZI,O,O,X,X,O,O,X
TJLZISO,X,O,X,X,O,X,X
TJLZIOS,O,O,X,X,O,X,X
TJLZSIO,O,O,X,X,O,O,X
TJLZSOI,O,O,X,X,O,O,X
TJLZOIS,O,O,X,X,O,X,X
TJLZOSI,O,O,X,X,O,O,X
TJLOISZ,X,O,X,X,O,X,X
TJLOIZS,O,O,X,X,O,X,X
TJLOSIZ,O,O,X,X,O,O,X
TJLOSZI,O,O,X,X,O,O,X
TJLOZIS,O,O,X,X,O,X,X
TJLOZSI,O,O,X,X,O,O,X
TJSILZO,O,X,X,X,O,X,X
TJSILOZ,O,X,X,X,O,X,X
TJSIZLO,O,X,X,X,O,X,O
TJSIZOL,O,X,X,X,O,X,O
TJSIOLZ,O,X,X,X,O,X,X
TJSIOZL,O,X,X,X,O,X,X
TJSLIZO,O,X,X,X,O,O,X
TJSLIOZ,O,X,X,X,O,O,X
TJSLZIO,O,X,X,X,O,O,X
TJSLZOI,O,X,X,X,O,O,X
TJSLOIZ,O,X,X,X,O,O,X
TJSLOZI,O,X,X,X,O,O,X
TJSZILO,O,X,X,O,O,X,O
TJSZIOL,O,X,X,O,O,X,O
TJSZLIO,O,X,X,O,O,X,X
TJSZLOI,O,X,X,O,O,X,X
TJSZOIL,O,X,X,O,O,X,X
TJSZOLI,O,X,X,O,O,X,X
TJSOILZ,O,X,X,X,O,X,X
TJSOIZL,O,X,X,X,O,X,X
TJSOLIZ,O,X,X,X,O,O,X
TJSOLZI,O,X,X,X,O,O,X
TJSOZIL,O,X,X,O,O,X,X
TJSOZLI,O,X,X,O,O,X,X
TJZILSO,X,O,X,X,O,X,X
TJZILOS,O,O,X,X,O,X,X
TJZISLO,O,X,X,O,O,X,X
TJZISOL,O,X,X,O,O,X,X
TJZIOLS,O,O,X,X,O,X,X
TJZIOSL,O,X,X,O,O,X,X
TJZLISO,X,O,X,X,O,X,X
TJZLIOS,O,O,X,X,O,X,X
TJZLSIO,O,O,X,X,O,O,X
TJZLSOI,O,O,X,X,O,O,X
TJZLOIS,O,O,X,X,O,X,X
TJZLOSI,O,O,X,X,O,O,X
TJZSILO,O,X,X,O,O,X,O
TJZSIOL,O,X,X,O,O,X,O
TJZSLIO,O,X,X,O,O,X,X
TJZSLOI,O,X,X,O,O,X,X
TJZSOIL,O,X,X,O,O,X,X
TJZSOLI,O,X,X,O,O,X,X
TJZOILS,O,O,X,X,O,X,X
TJZOISL,O,X,X,O,O,X,X
TJZOLIS,O,O,X,X,O,X,X
TJZOLSI,O,O,X,X,O,O,X
TJZOSIL,O,X,X,O,O,X,X
TJZOSLI,O,X,X,O,O,X,X
TJOILSZ,X,O,X,X,O,X,X
TJOILZS,O,O,X,X,O,X,X
TJOISLZ,O,X,X,X,O,X,X
TJOISZL,O,X,X,X,O,X,X
TJOIZLS,O,O,X,X,O,X,X
TJOIZSL,O,X,X,O,O,X,X
TJOLISZ,X,O,X,X,O,X,X
TJOLIZS,O,O,X,X,O,X,X
TJOLSIZ,O,O,X,X,O,O,X
TJOLSZI,O,O,X,X,O,O,X
TJOLZIS,O,O,X,X,O,X,X
TJOLZSI,O,O,X,X,O,O,X
TJOSILZ,O,X,X,X,O,X,X
TJOSIZL,O,X,X,X,O,X,X
TJOSLIZ,O,X,X,X,O,O,X
TJOSLZI,O,X,X,X,O,O,X
TJOSZIL,O,X,X,O,O,X,X
TJOSZLI,O,X,X,O,O,X,X
TJOZILS,O,O,X,X,O,X,X
TJOZISL,O,X,X,O,O,X,X
TJOZLIS,O,O,X,X,O,X,X
TJOZLSI,O,O,X,X,O,O,X
TJOZSIL,O,X,X,O,O,X,X
TJOZSLI,O,X,X,O,O,X,X
TSILJZO,O,O,X,X,X,X,X
TSILJOZ,O,O,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X
TSILOJZ,O,O,X,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X
TSIJLZO,O,X,X,X,X,X,X
TSIJLOZ,O,X,X,X,X,X,X
TSIJZLO,O,X,X,X,X,X,O
TSIJZOL,O,X,X,X,X,X,O
TSIJOLZ,O,X,X,X,X,X,X
TSIJOZL,O,X,X,X,X,X,X
TSIZLJO,O,O,X,O,X,X,X
TSIZLOJ,O,O,X,O,X,X,X
TSIZJLO,O,X,X,O,X,X,O
TSIZJOL,O,X,X,O,X,X,O
TSIZOLJ,O,O,X,O,X,X,X
TSIZOJL,O,X,X,O,X,X,X
TSIOLJZ,O,O,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X
TSIOJLZ,O,X,X,X,X,X,X
TSIOJZL,O,X,X,X,X,X,X
TSIOZLJ,O,O,X,O,X,X,X
TSIOZJL,O,X,X,O,X,X,X
TSLIJZO,O,O,X,X,X,X,X
TSLIJOZ,O,O,X,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X
TSLIOJZ,O,O,X,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X
TSLJIZO,O,O,X,X,X,O,X
TSLJIOZ,O,O,X,X,X,O,X
TSLJZIO,O,O,X,X,X,O,X
TSLJZOI,O,O,X,X,X,O,X
TSLJOIZ,O,O,X,X,X,O,X
TSLJOZI,O,O,X,X,X,O,X
TSLZIJO,O,O,X,O,X,X,X
TSLZIOJ,O,O,X,O,X,X,X
TSLZJIO,O,O,X,O,X,O,X
TSLZJOI,O,O,X,O,X,O,X
TSLZOIJ,O,O,X,O,X,X,X
TSLZOJI,O,O,X,O,X,O,X
TSLOIJZ,O,O,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X
TSLOJIZ,O,O,X,X,X,O,X
TSLOJZI,O,O,X,X,X,O,X
TSLOZIJ,O,O,X,O,X,X,X
TSLOZJI,O,O,X,O,X,O,X
TSJILZO,O,X,X,X,O,X,X
TSJILOZ,O,X,X,X,O,X,X
TSJIZLO,O,X,X,X,O,X,O
TSJIZOL,O,X,X,X,O,X,O
TSJIOLZ,O,X,X,X,O,X,X
TSJIOZL,O,X,X,X,O,X,X
TSJLIZO,O,X,X,X,O,O,X
TSJLIOZ,O,X,X,X,O,O,X
TSJLZIO,O,X,X,X,O,O,X
TSJLZOI,O,X,X,X,O,O,X
TSJLOIZ,O,X,X,X,O,O,X
TSJLOZI,O,X,X,X,O,O,X
TSJZILO,O,X,X,O,O,X,O
TSJZIOL,O,X,X,O,O,X,O
TSJZLIO,O,X,X,O,O,X,X
TSJZLOI,O,X,X,O,O,X,X
TSJZOIL,O,X,X,O,O,X,X
TSJZOLI,O,X,X,O,O,X,X
TSJOILZ,O,X,X,X,O,X,X
TSJOIZL,O,X,X,X,O,X,X
TSJOLIZ,O,X,X,X,O,O,X
TSJOLZI,O,X,X,X,O,O,X
TSJOZIL,O,X,X,O,O,X,X
TSJOZLI,O,X,X,O,O,X,X
TSZILJO,O,O,X,O,X,X,X
TSZILOJ,O,O,X,O,X,X,X
TSZIJLO,O,X,X,O,X,X,O
TSZIJOL,O,X,X,O,X,X,O
TSZIOLJ,O,O,X,O,X,X,X
TSZIOJL,O,X,X,O,X,X,X
TSZLIJO,O,O,X,O,X,X,X
TSZLIOJ,O,O,X,O,X,X,X
TSZLJIO,O,O,X,O,X,X,X
TSZLJOI,O,O,X,O,X,X,X
TSZLOIJ,O,O,X,O,X,X,X
TSZLOJI,O,O,X,O,X,X,X
TSZJILO,O,X,X,O,O,X,O
TSZJIOL,O,X,X,O,O,X,O
TSZJLIO,O,X,X,O,O,X,X
