sequence,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Jei/IvhF5lBGiB?TjB3kBUsBFtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8JeKEJvhFzfB5lB?XjBctBFsBGsB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Jex/IvhFXjBTkB?6qBctBGsBFsB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8JeOEJvhF8kB5lB?SsBToBFsBXtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Je2EJvhF5lBSsB?ToB3kBUsBFtB,v115@BhA8IeC8EeA8AeA8EeC8AeB8CeA8Je5FJvhFTjBlkB?WtBikBfsB0sB
TLIOZJS,X,O,X,O,X,X
TLIOZSJ,X,O,X,X,X,X
TLJISZO,O,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X
TLJIZSO,X,O,X,X,X,X
TLJIZOS,X,O,X,X,X,X
TLJIOSZ,O,X,X,X,O,O
TLJIOZS,X,O,X,X,X,O
TLJSIZO,O,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X
TLJZISO,X,O,X,X,X,X
TLJZIOS,X,O,X,X,X,X
TLJZSIO,X,O,X,X,X,X
TLJZSOI,X,O,O,X,X,X
TLJZOIS,X,O,O,X,X,X
TLJZOSI,X,O,O,X,X,X
TLJOISZ,O,X,X,X,O,O
TLJOIZS,X,O,O,X,X,O
TLJOSIZ,O,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X
TLJOZIS,X,O,O,X,X,X
TLJOZSI,X,O,O,X,X,X
TLSIJZO,O,X,X,X,X,X
TLSIJOZ,O,X,X,X,X,X
TLSIZJO,O,O,X,X,X,X
TLSIZOJ,O,O,X,X,X,X
TLSIOJZ,O,X,X,X,X,X
TLSIOZJ,O,O,X,X,X,X
TLSJIZO,O,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,X
TLSJZIO,O,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X
TLSZIJO,O,O,X,X,X,X
TLSZIOJ,O,O,X,X,X,X
TLSZJIO,O,O,X,X,X,X
TLSZJOI,O,O,X,X,X,X
TLSZOIJ,O,O,X,X,X,X
TLSZOJI,O,O,X,X,X,X
TLSOIJZ,O,X,X,X,X,X
TLSOIZJ,O,O,X,X,X,X
TLSOJIZ,O,X,X,X,X,X
TLSOJZI,O,X,X,X,X,X
TLSOZIJ,O,O,X,X,X,X
TLSOZJI,O,O,X,X,X,X
TLZIJSO,X,O,X,X,X,X
TLZIJOS,X,O,X,O,X,X
TLZISJO,X,O,X,X,X,X
TLZISOJ,X,O,X,X,X,X
TLZIOJS,X,O,X,O,X,X
TLZIOSJ,X,O,X,X,X,X
TLZJISO,X,O,X,X,X,X
TLZJIOS,X,O,X,O,X,X
TLZJSIO,X,O,X,X,X,X
TLZJSOI,X,O,O,X,X,X
TLZJOIS,X,O,O,O,X,X
TLZJOSI,X,O,O,X,X,X
TLZSIJO,X,O,X,X,X,X
TLZSIOJ,X,O,X,X,X,X
TLZSJIO,X,O,X,X,X,X
TLZSJOI,X,O,X,X,X,X
TLZSOIJ,X,O,O,X,X,X
TLZSOJI,X,O,O,X,X,X
TLZOIJS,X,O,O,O,X,X
TLZOISJ,X,O,O,X,X,X
TLZOJIS,X,O,O,O,X,X
TLZOJSI,X,O,O,X,X,X
TLZOSIJ,X,O,O,X,X,X
TLZOSJI,X,O,O,X,X,X
TLOIJSZ,O,X,X,X,O,X
TLOIJZS,X,O,O,X,X,X
TLOISJZ,O,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X
TLOIZJS,X,O,O,O,X,X
TLOIZSJ,X,O,O,X,X,X
TLOJISZ,O,X,X,X,O,X
TLOJIZS,X,O,O,X,X,X
TLOJSIZ,O,X,X,X,X,X
TLOJSZI,O,X,X,X,X,X
TLOJZIS,X,O,O,X,X,X
TLOJZSI,X,O,O,X,X,X
TLOSIJZ,O,X,X,X,X,X
TLOSIZJ,O,O,X,X,X,X
TLOSJIZ,O,X,X,X,X,X
TLOSJZI,O,X,X,X,X,X
TLOSZIJ,O,O,X,X,X,X
TLOSZJI,O,O,X,X,X,X
TLOZIJS,X,O,O,O,X,X
TLOZISJ,X,O,O,X,X,X
TLOZJIS,X,O,O,O,X,X
TLOZJSI,X,O,O,X,X,X
TLOZSIJ,X,O,O,X,X,X
TLOZSJI,X,O,O,X,X,X
TJILSZO,O,X,X,X,X,X
TJILSOZ,O,X,X,X,X,X
TJILZSO,X,O,X,X,X,X
TJILZOS,X,O,X,X,X,X
TJILOSZ,O,X,X,X,O,O
TJILOZS,X,O,X,X,X,O
TJISLZO,O,X,X,X,X,X
TJISLOZ,O,X,X,X,X,X
TJISZLO,O,X,X,X,X,X
TJISZOL,O,X,X,X,X,X
TJISOLZ,O,X,X,X,X,O
TJISOZL,O,X,X,X,X,O
TJIZLSO,O,O,X,X,X,X
TJIZLOS,O,O,X,X,X,X
TJIZSLO,O,O,X,X,X,X
TJIZSOL,O,X,X,X,X,X
TJIZOLS,O,X,X,X,X,O
TJIZOSL,O,X,X,X,X,O
TJIOLSZ,O,X,X,X,O,O
TJIOLZS,X,X,X,X,X,O
TJIOSLZ,O,X,X,X,X,O
TJIOSZL,O,X,X,X,X,O
TJIOZLS,X,X,X,X,X,O
TJIOZSL,O,X,X,X,X,O
TJLISZO,O,X,X,X,X,X
TJLISOZ,O,X,X,X,X,X
TJLIZSO,X,O,X,X,X,X
TJLIZOS,X,O,X,X,X,X
TJLIOSZ,O,X,X,X,O,O
TJLIOZS,X,O,X,X,X,O
TJLSIZO,O,X,X,X,X,X
TJLSIOZ,O,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X
TJLSZOI,O,X,X,X,X,X
TJLSOIZ,O,X,X,X,X,X
TJLSOZI,O,X,X,X,X,X
