sequence,v115@ChC8HeB8GeB8CeA8DeD8KeT/IvhF/lBUhBeoB5oBlp?ByvB,v115@ChC8HeB8GeB8CeA8DeD8Kel/IvhFUhBeoB5oB/pBTl?ByvB,v115@ChC8HeB8GeB8CeA8DeD8KeKEJvhFzfBUhBeoB5oBfr?BVvB,v115@ChC8HeB8GeB8CeA8DeD8Kei/IvhFUhBTjB3kB1qBGt?BRvB,v115@ChC8HeB8GeB8CeA8DeD8KeT/IvhFxlB6tBXoB0pBlq?BmqB,v115@ChC8HeB8GeB8CeA8DeD8Kex/IvhFVmBTjB/pBUlByv?BGtB,v115@ChC8HeB8GeB8CeA8DeD8Kem/IvhFUhBTkB1qBXoB6t?BRvB,v115@ChC8HeB8GeB8CeA8DeD8KeUBJvhFxkBXoB6tBlpBzq?BmpB,v115@ChC8HeB8GeB8CeA8DeD8KeKEJvhFflBVmBTjB0lBGt?BRvB,v115@ChC8HeB8GeB8CeA8DeD8KelAJvhFTjBikBXmB0kBGt?BRvB,v115@ChC8HeB8GeB8CeA8DeD8Kex/IvhFTjB/pBUlBFmBGt?ByvB,v115@ChC8HeB8GeB8CeA8DeD8Kei/IvhFeoB5oBFlBXmB0p?BzqB,v115@ChC8HeB8GeB8CeA8DeD8Kex/IvhFVmBmkB6tBXoB0p?BzqB
TILJSZO,O,X,O,O,X,O,X,X,O,O,X,X,X
TILJSOZ,O,X,O,O,X,O,X,X,O,O,X,X,X
TILJZSO,O,X,O,O,X,X,X,X,O,X,X,X,X
TILJZOS,O,X,O,O,O,O,X,X,O,X,X,X,X
TILJOSZ,O,X,O,O,X,O,X,X,O,O,X,X,X
TILJOZS,O,X,O,O,X,O,X,X,O,X,X,X,X
TILSJZO,O,X,O,O,X,O,X,X,O,O,X,X,X
TILSJOZ,O,X,O,O,X,O,X,X,O,O,X,X,X
TILSZJO,O,X,O,O,X,O,X,X,O,O,X,X,X
TILSZOJ,O,X,O,O,O,O,O,X,X,X,X,X,X
TILSOJZ,O,X,O,O,X,O,O,X,O,O,X,X,X
TILSOZJ,O,X,O,O,X,X,O,X,X,X,X,X,X
TILZJSO,X,X,X,O,X,X,X,X,O,X,X,X,O
TILZJOS,X,X,X,O,O,O,X,X,O,X,X,X,O
TILZSJO,X,X,X,O,X,X,X,X,O,X,X,X,X
TILZSOJ,X,X,X,O,O,X,O,X,X,X,X,X,X
TILZOJS,X,X,X,X,O,X,O,X,X,X,X,X,X
TILZOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
TILOJSZ,O,X,O,X,X,O,O,X,O,X,X,X,X
TILOJZS,O,X,O,X,X,O,O,X,O,X,X,X,X
TILOSJZ,O,X,O,X,X,X,O,X,O,X,X,X,X
TILOSZJ,O,X,O,X,X,X,O,X,X,X,X,X,X
TILOZJS,X,X,X,X,O,X,O,X,X,X,X,X,O
TILOZSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJLSZO,O,X,O,O,X,O,X,X,O,O,X,X,X
TIJLSOZ,O,X,O,O,X,O,X,X,O,O,X,X,X
TIJLZSO,O,X,O,O,X,X,X,X,O,X,X,X,X
TIJLZOS,O,X,O,O,O,O,X,X,O,X,X,X,X
TIJLOSZ,O,X,O,O,X,O,X,X,O,O,X,X,X
TIJLOZS,O,X,O,O,X,O,X,X,O,X,X,X,X
TIJSLZO,O,X,O,O,X,O,X,X,O,O,X,X,X
TIJSLOZ,O,X,O,O,X,O,X,X,O,O,X,X,X
TIJSZLO,O,X,O,O,X,O,X,X,X,O,O,X,X
TIJSZOL,O,X,O,O,X,O,O,X,X,O,O,X,X
TIJSOLZ,O,X,O,O,X,O,O,X,O,O,X,X,X
TIJSOZL,O,X,O,O,X,O,O,X,X,O,O,X,X
TIJZLSO,O,X,O,O,X,X,X,X,O,X,X,X,X
TIJZLOS,O,X,O,O,O,X,X,X,O,X,X,X,X
TIJZSLO,O,X,O,O,X,X,X,X,X,X,X,X,X
TIJZSOL,O,X,O,O,X,X,O,X,X,X,X,X,X
TIJZOLS,O,X,X,O,O,O,O,X,O,X,X,X,X
TIJZOSL,O,X,X,O,X,O,O,X,X,X,X,X,X
TIJOLSZ,O,X,O,O,X,O,O,X,O,O,X,X,X
TIJOLZS,O,X,O,O,X,O,O,X,O,X,X,X,X
TIJOSLZ,O,X,O,O,X,O,O,X,O,O,X,X,X
TIJOSZL,O,X,O,O,X,O,O,X,X,O,O,X,X
TIJOZLS,O,X,X,O,X,O,O,X,O,X,X,X,X
TIJOZSL,O,X,X,O,X,O,O,X,X,X,X,X,X
TISLJZO,X,X,O,O,X,O,X,X,O,O,X,X,X
TISLJOZ,X,X,O,O,X,O,X,X,O,O,X,X,X
TISLZJO,X,X,O,O,X,O,X,X,O,O,X,X,X
TISLZOJ,X,X,O,O,O,O,O,X,X,X,X,X,X
TISLOJZ,X,X,O,O,X,O,O,X,O,O,X,X,X
TISLOZJ,X,X,O,O,X,X,O,X,X,X,X,X,X
TISJLZO,O,X,O,O,X,O,X,X,O,O,X,X,X
TISJLOZ,O,X,O,O,X,O,X,X,O,O,X,X,X
TISJZLO,O,X,O,O,X,O,X,X,X,O,O,X,X
TISJZOL,O,X,O,O,X,O,O,X,X,O,O,X,X
TISJOLZ,O,X,O,O,X,O,O,X,O,O,X,X,X
TISJOZL,O,X,O,O,X,O,O,X,X,O,O,X,X
TISZLJO,X,X,O,O,X,O,X,X,X,O,O,X,X
TISZLOJ,X,X,O,O,O,X,O,X,X,X,X,X,X
TISZJLO,O,X,O,O,X,O,X,X,X,O,O,X,X
TISZJOL,O,X,O,O,X,O,O,X,X,O,O,X,X
TISZOLJ,X,X,X,O,O,X,O,X,X,X,X,X,X
TISZOJL,O,X,X,O,X,O,O,X,X,X,O,X,X
TISOLJZ,X,X,X,O,X,X,O,X,X,O,X,X,X
TISOLZJ,X,X,X,O,X,X,O,O,X,X,X,X,X
TISOJLZ,O,X,X,O,X,O,O,X,X,O,X,X,X
TISOJZL,O,X,X,O,X,O,O,O,X,O,X,X,X
TISOZLJ,X,X,X,O,X,X,O,O,X,X,X,X,X
TISOZJL,O,X,X,O,X,X,O,O,X,X,X,X,X
TIZLJSO,X,X,X,O,X,X,X,X,O,X,X,X,O
TIZLJOS,X,X,X,O,O,X,X,X,O,X,X,X,O
TIZLSJO,X,X,X,O,X,X,X,X,O,X,X,X,X
TIZLSOJ,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZLOJS,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZJLSO,X,X,X,O,X,X,X,X,O,X,X,X,O
TIZJLOS,X,X,X,O,O,X,X,X,O,X,X,X,O
