sequence,v115@9gA8IeA8IeB8CeA8AeB8AeA8DeD8KeWFJvhFNmBanB?ziB5oBXqB0qB,v115@9gA8IeA8IeB8CeA8AeB8AeA8DeD8KeWFJvhFNmBanB?ziB5oB0qBXqB,v115@9gA8IeA8IeB8CeA8AeB8AeA8DeD8KedFJvhFUhBanB?ziB5oBfrBWvB,v115@9gA8IeA8IeB8CeA8AeB8AeA8DeD8KeCAJvhFOmBdnB?ziB5oB0qBXqB,v115@9gA8IeA8IeB8CeA8AeB8AeA8DeD8KeXBJvhFdnBziB?5oBmqBUqBCqB
TILJSZO,O,X,O,X,O
TILJSOZ,O,O,O,O,O
TILJZSO,X,O,X,O,O
TILJZOS,O,O,X,O,O
TILJOSZ,O,O,O,O,O
TILJOZS,O,O,X,O,O
TILSJZO,O,X,O,X,O
TILSJOZ,O,O,O,O,O
TILSZJO,O,O,O,X,X
TILSZOJ,O,O,O,X,X
TILSOJZ,O,O,O,O,O
TILSOZJ,O,O,O,X,X
TILZJSO,X,O,X,O,X
TILZJOS,O,O,X,O,X
TILZSJO,O,O,O,O,X
TILZSOJ,O,O,O,O,X
TILZOJS,O,O,X,O,X
TILZOSJ,O,O,O,O,X
TILOJSZ,O,O,O,O,O
TILOJZS,O,O,X,O,O
TILOSJZ,O,O,O,O,O
TILOSZJ,O,O,O,X,X
TILOZJS,O,O,X,O,X
TILOZSJ,O,O,O,O,X
TIJLSZO,O,X,O,X,O
TIJLSOZ,O,O,O,O,O
TIJLZSO,X,O,X,O,O
TIJLZOS,O,O,X,O,O
TIJLOSZ,O,O,O,O,O
TIJLOZS,O,O,X,O,O
TIJSLZO,O,X,O,X,O
TIJSLOZ,O,O,O,O,O
TIJSZLO,O,X,O,O,O
TIJSZOL,O,X,O,O,O
TIJSOLZ,O,O,O,O,O
TIJSOZL,O,X,O,O,O
TIJZLSO,X,O,X,O,O
TIJZLOS,O,O,X,O,O
TIJZSLO,X,O,X,O,O
TIJZSOL,X,O,X,O,O
TIJZOLS,O,O,X,O,O
TIJZOSL,X,O,X,O,O
TIJOLSZ,O,O,O,O,O
TIJOLZS,O,O,X,O,O
TIJOSLZ,O,O,O,O,O
TIJOSZL,O,X,O,O,O
TIJOZLS,O,O,X,O,O
TIJOZSL,X,O,X,O,O
TISLJZO,O,X,O,X,O
TISLJOZ,O,O,O,O,O
TISLZJO,O,O,O,X,X
TISLZOJ,O,O,O,X,X
TISLOJZ,O,O,O,O,O
TISLOZJ,O,O,O,X,X
TISJLZO,O,X,O,X,O
TISJLOZ,O,O,O,O,O
TISJZLO,O,X,O,O,O
TISJZOL,O,X,O,O,O
TISJOLZ,O,O,O,O,O
TISJOZL,O,X,O,O,O
TISZLJO,O,O,O,O,X
TISZLOJ,O,O,O,O,X
TISZJLO,O,O,O,O,O
TISZJOL,O,O,O,O,O
TISZOLJ,O,O,O,O,X
TISZOJL,O,O,O,O,O
TISOLJZ,O,O,O,O,O
TISOLZJ,O,O,O,X,X
TISOJLZ,O,O,O,O,O
TISOJZL,O,X,O,O,O
TISOZLJ,O,O,O,O,X
TISOZJL,O,O,O,O,O
TIZLJSO,X,O,X,O,X
TIZLJOS,O,O,X,O,X
TIZLSJO,O,O,O,O,X
TIZLSOJ,O,O,O,O,X
TIZLOJS,O,O,X,O,X
TIZLOSJ,O,O,O,O,X
TIZJLSO,X,O,X,O,O
TIZJLOS,O,O,X,O,O
TIZJSLO,X,O,X,O,O
TIZJSOL,X,O,X,O,O
TIZJOLS,O,O,X,O,O
TIZJOSL,X,O,X,O,O
TIZSLJO,O,O,O,O,X
TIZSLOJ,O,O,O,O,X
TIZSJLO,O,O,O,O,O
TIZSJOL,O,O,O,O,O
TIZSOLJ,O,O,O,O,X
TIZSOJL,O,O,O,O,O
TIZOLJS,O,O,X,O,X
TIZOLSJ,O,O,O,O,X
TIZOJLS,O,O,X,O,O
TIZOJSL,X,O,X,O,O
TIZOSLJ,O,O,O,O,X
TIZOSJL,O,O,O,O,O
TIOLJSZ,O,O,O,O,O
TIOLJZS,O,O,X,O,O
TIOLSJZ,O,O,O,O,O
TIOLSZJ,O,O,O,X,X
TIOLZJS,O,O,X,O,X
TIOLZSJ,O,O,O,O,X
TIOJLSZ,O,O,O,O,O
TIOJLZS,O,O,X,O,O
TIOJSLZ,O,O,O,O,O
TIOJSZL,O,X,O,O,O
TIOJZLS,O,O,X,O,O
TIOJZSL,X,O,X,O,O
TIOSLJZ,O,O,O,O,O
TIOSLZJ,O,O,O,X,X
