sequence,v115@HhB8HeB8DeA8BeB8DeE8Jex/IvhFmhBqnBTjBcrBXq?BlqB,v115@HhB8HeB8DeA8BeB8DeE8Jex/IvhFXhB8mBeqBFoBCo?BzqB,v115@HhB8HeB8DeA8BeB8DeE8Jex/IvhFzhBCjBeqBXoBFr?B8qB,v115@HhB8HeB8DeA8BeB8DeE8Jex/IvhF8mBqnBTjBlqBOr?BXqB,v115@HhB8HeB8DeA8BeB8DeE8JemBJvhFqnBTjBxqBcqBXr?BlpB,v115@HhB8HeB8DeA8BeB8DeE8Je3AJvhFTjBxmBSrB0nB2v?BlpB,v115@HhB8HeB8DeA8BeB8DeE8Jem/IvhFzhB3lBFoBUmBCo?BRvB,v115@HhB8HeB8DeA8BeB8DeE8JeRBJvhFGjB3mBznB0qBiq?BlpB,v115@HhB8HeB8DeA8BeB8DeE8Je3AJvhFCiBTjBVrB0nBmk?BRvB,v115@HhB8HeB8DeA8BeB8DeE8JezBJvhFCjBllBXoBmkBUm?BRvB
TILJSZO,X,X,X,X,O,X,X,X,X,X
TILJSOZ,X,X,X,X,O,X,X,X,X,X
TILJZSO,X,O,X,O,X,X,X,X,X,X
TILJZOS,X,X,X,O,X,X,X,X,X,X
TILJOSZ,O,X,X,X,O,X,X,X,X,X
TILJOZS,O,O,X,O,X,X,X,X,X,X
TILSJZO,X,X,X,X,O,X,X,X,X,X
TILSJOZ,O,X,X,X,O,X,X,X,X,X
TILSZJO,O,X,X,O,O,X,X,X,X,X
TILSZOJ,O,X,X,O,O,X,X,X,O,X
TILSOJZ,O,X,X,X,O,X,X,X,X,X
TILSOZJ,O,X,X,O,O,X,X,X,X,X
TILZJSO,X,O,X,O,X,X,X,X,X,X
TILZJOS,O,X,X,O,X,X,X,X,X,X
TILZSJO,X,X,X,O,X,X,X,X,X,X
TILZSOJ,X,X,X,O,X,X,X,X,O,X
TILZOJS,O,X,X,O,X,X,X,X,X,X
TILZOSJ,X,X,X,O,X,X,X,X,O,X
TILOJSZ,O,X,X,X,O,X,X,X,X,X
TILOJZS,O,X,X,O,X,X,X,X,X,X
TILOSJZ,O,X,X,X,O,X,X,X,X,X
TILOSZJ,O,X,X,O,O,X,X,X,X,X
TILOZJS,O,X,X,O,X,X,X,X,X,X
TILOZSJ,X,X,X,O,X,X,X,X,X,X
TIJLSZO,X,X,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,X,X,O,X,O,X,X,X
TIJLZSO,X,O,X,O,X,X,X,X,X,X
TIJLZOS,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,O,X,O,X,X,X
TIJLOZS,O,O,X,O,X,X,X,X,X,X
TIJSLZO,X,X,O,X,X,X,X,X,X,X
TIJSLOZ,X,X,O,X,X,X,O,X,X,X
TIJSZLO,X,O,O,X,X,X,X,X,X,X
TIJSZOL,X,O,O,X,X,X,O,X,X,X
TIJSOLZ,X,X,O,X,X,O,O,X,X,X
TIJSOZL,X,O,O,X,X,O,O,X,X,X
TIJZLSO,X,O,X,O,X,X,X,X,X,X
TIJZLOS,X,X,X,O,X,X,X,X,X,X
TIJZSLO,X,O,X,X,X,X,X,X,X,X
TIJZSOL,X,O,X,X,X,X,O,X,X,X
TIJZOLS,X,O,X,X,X,X,X,X,X,X
TIJZOSL,X,O,X,X,X,X,O,X,X,X
TIJOLSZ,X,X,X,X,X,X,O,X,X,X
TIJOLZS,X,O,X,O,X,X,X,X,X,X
TIJOSLZ,X,X,O,X,X,O,O,X,X,X
TIJOSZL,X,O,O,X,X,O,O,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,X,X,X,O,X,X,X
TISLJZO,X,X,O,X,X,X,X,X,X,X
TISLJOZ,O,X,O,X,X,X,X,X,X,X
TISLZJO,O,X,X,O,X,X,X,X,X,X
TISLZOJ,O,X,X,O,X,X,X,X,O,X
TISLOJZ,O,X,O,X,X,X,X,X,X,X
TISLOZJ,O,X,X,O,X,X,X,X,X,X
TISJLZO,X,X,O,X,X,X,X,X,X,X
TISJLOZ,O,X,O,X,X,X,X,X,X,X
TISJZLO,X,O,O,X,X,X,X,X,X,X
TISJZOL,X,O,O,X,X,X,X,X,X,X
TISJOLZ,X,X,O,X,X,X,X,X,X,X
TISJOZL,X,O,O,X,X,X,X,X,X,X
TISZLJO,O,X,X,O,X,X,X,X,X,X
TISZLOJ,O,X,X,O,X,X,X,X,O,X
TISZJLO,O,O,X,X,X,X,X,X,X,X
TISZJOL,X,O,X,X,X,X,X,X,X,X
TISZOLJ,O,X,X,X,X,X,X,X,O,X
TISZOJL,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,X,O,X,X,X,X,X,X,X
TISOLZJ,O,X,X,O,X,X,X,X,X,X
TISOJLZ,X,X,O,X,X,O,X,X,X,X
TISOJZL,X,X,O,X,X,O,X,X,X,X
TISOZLJ,O,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,X,X,O,X,X,X,X
TIZLJSO,X,O,X,O,X,X,X,X,X,X
TIZLJOS,O,X,X,O,X,X,X,X,X,X
TIZLSJO,X,X,X,O,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,X,X,X,O,X
TIZLOJS,O,X,X,O,X,X,X,X,X,X
TIZLOSJ,X,X,X,O,X,X,X,X,O,X
TIZJLSO,X,O,X,O,X,X,X,X,X,X
TIZJLOS,O,X,X,O,X,X,X,X,X,X
TIZJSLO,X,O,X,X,X,X,X,X,X,X
TIZJSOL,X,O,X,X,X,X,X,X,X,X
TIZJOLS,X,O,X,X,X,X,X,X,X,X
TIZJOSL,X,O,X,X,X,X,X,X,X,X
TIZSLJO,X,X,X,O,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,X,X,X,X,O,X
TIZSJLO,X,O,X,X,X,X,X,X,X,X
TIZSJOL,X,O,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,X,X,O,X
TIZSOJL,X,X,X,X,X,X,X,X,X,X
TIZOLJS,O,X,X,O,X,X,X,X,X,X
TIZOLSJ,X,X,X,O,X,X,X,X,O,X
TIZOJLS,X,O,X,X,X,X,X,X,X,X
TIZOJSL,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,X,X,O,X
TIZOSJL,X,X,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,O,X,O,X,X,X
TIOLJZS,O,X,X,O,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,O,X,O,X,X,X
TIOLSZJ,O,X,X,O,O,X,X,X,X,X
TIOLZJS,O,X,X,O,X,X,X,X,X,X
TIOLZSJ,X,X,X,O,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,O,X,X,X
TIOJLZS,X,O,X,O,X,X,X,X,X,X
TIOJSLZ,X,X,O,X,X,O,O,X,X,X
TIOJSZL,X,O,O,X,X,O,O,X,X,X
TIOJZLS,X,O,X,X,X,X,X,X,X,X
TIOJZSL,X,O,X,X,X,X,O,X,X,X
TIOSLJZ,O,X,O,X,X,X,O,X,X,X
TIOSLZJ,O,X,X,O,X,X,X,X,X,X
TIOSJLZ,X,X,O,X,X,O,O,X,X,X
TIOSJZL,X,X,O,X,X,O,O,X,X,X
TIOSZLJ,O,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,X,X,O,O,X,X,X
TIOZLJS,O,X,X,O,X,X,X,X,X,X
TIOZLSJ,X,X,X,O,X,X,X,X,X,X
TIOZJLS,X,O,X,X,X,X,X,X,X,X
TIOZJSL,X,O,X,X,X,X,O,X,X,X
TIOZSLJ,X,X,X,X,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,X,O,X,X,X
TLIJSZO,X,X,X,X,O,X,X,X,X,X
TLIJSOZ,X,X,X,X,O,X,X,X,X,X
TLIJZSO,X,O,X,O,X,X,X,X,X,X
TLIJZOS,X,X,X,O,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,O,X,X,X,X,X
TLIJOZS,O,O,X,O,X,X,X,X,X,X
TLISJZO,X,X,X,X,O,X,X,X,X,X
TLISJOZ,O,X,X,X,O,X,X,X,X,X
TLISZJO,O,X,X,O,O,X,X,X,X,X
TLISZOJ,O,X,X,O,O,X,X,X,O,X
TLISOJZ,O,X,X,X,O,X,X,X,X,X
TLISOZJ,O,X,X,O,O,X,X,X,X,X
TLIZJSO,X,O,X,O,X,X,X,X,X,X
TLIZJOS,O,X,X,O,X,X,X,X,X,X
TLIZSJO,X,X,X,O,X,X,X,X,X,X
TLIZSOJ,X,X,X,O,X,X,X,X,O,X
TLIZOJS,O,X,X,O,X,X,X,X,X,X
TLIZOSJ,X,X,X,O,X,X,X,X,O,X
TLIOJSZ,O,X,X,X,O,X,X,X,X,X
TLIOJZS,O,X,X,O,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,O,X,X,X,X,X
TLIOSZJ,O,X,X,O,O,X,X,X,X,X
TLIOZJS,O,X,X,O,X,X,X,X,X,X
TLIOZSJ,X,X,X,O,X,X,X,X,X,X
TLJISZO,X,X,X,X,O,X,X,X,X,X
TLJISOZ,X,X,X,X,O,X,O,X,X,X
TLJIZSO,X,O,X,O,X,X,X,X,X,X
TLJIZOS,X,X,X,O,X,X,X,X,X,X
TLJIOSZ,O,X,X,X,O,X,O,X,X,X
TLJIOZS,O,O,X,O,X,X,X,X,X,X
TLJSIZO,X,X,O,X,X,X,X,X,X,X
TLJSIOZ,O,X,O,X,X,X,X,X,X,X
TLJSZIO,X,X,O,X,X,X,X,X,X,X
TLJSZOI,X,X,O,X,X,X,X,X,O,X
TLJSOIZ,O,X,O,X,X,X,X,X,X,X
TLJSOZI,X,X,O,X,X,X,X,X,X,X
TLJZISO,X,O,X,O,X,X,X,X,X,X
TLJZIOS,O,X,X,O,X,X,X,X,X,X
TLJZSIO,O,O,X,O,X,X,X,X,X,X
TLJZSOI,O,O,X,O,X,X,X,X,O,X
TLJZOIS,O,O,X,O,X,X,X,X,X,X
TLJZOSI,O,O,X,O,X,X,X,X,O,X
TLJOISZ,O,X,X,X,O,X,O,X,X,X
TLJOIZS,O,O,X,O,X,X,X,X,X,X
TLJOSIZ,O,X,O,X,X,X,X,X,X,X
TLJOSZI,X,X,O,X,X,X,X,X,X,X
TLJOZIS,O,O,X,O,X,X,X,X,X,X
TLJOZSI,O,O,X,O,X,X,X,X,X,X
TLSIJZO,X,X,O,X,X,X,X,X,X,X
TLSIJOZ,O,X,O,X,X,X,X,X,X,X
TLSIZJO,O,X,X,O,X,X,X,X,X,X
TLSIZOJ,O,X,X,O,X,X,X,X,O,X
TLSIOJZ,O,X,O,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,O,X,X,X,X,X,X
TLSJIZO,X,X,O,X,X,X,X,X,X,X
TLSJIOZ,O,X,O,X,X,X,X,X,X,X
TLSJZIO,X,X,O,X,X,X,X,X,X,X
TLSJZOI,X,X,O,X,X,X,X,X,O,X
TLSJOIZ,O,X,O,X,X,X,X,X,X,X
TLSJOZI,X,X,O,X,X,X,X,X,X,X
TLSZIJO,O,X,X,O,X,X,X,X,X,X
TLSZIOJ,O,X,X,O,X,X,X,X,O,X
TLSZJIO,O,X,O,O,X,X,X,X,X,X
TLSZJOI,O,X,O,O,X,X,X,X,O,X
TLSZOIJ,O,X,X,O,X,X,X,X,O,X
TLSZOJI,O,X,O,O,X,X,X,X,O,X
TLSOIJZ,O,X,O,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,O,X,X,X,X,X,X
TLSOJIZ,O,X,O,X,X,X,X,X,X,X
TLSOJZI,X,X,O,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,O,X,X,X,X,O,X
TLSOZJI,O,X,O,O,X,X,X,X,O,X
TLZIJSO,X,O,X,O,X,X,X,X,X,X
TLZIJOS,O,X,X,O,X,X,X,X,X,X
TLZISJO,X,X,X,O,X,X,X,X,X,X
TLZISOJ,X,X,X,O,X,X,X,X,O,X
TLZIOJS,O,X,X,O,X,X,X,X,X,X
TLZIOSJ,X,X,X,O,X,X,X,X,O,X
TLZJISO,X,O,X,O,X,X,X,X,X,X
TLZJIOS,O,X,X,O,X,X,X,X,X,X
TLZJSIO,O,O,X,O,X,X,X,X,X,X
TLZJSOI,O,O,X,O,X,X,X,X,O,X
TLZJOIS,O,O,X,O,X,X,X,X,X,X
TLZJOSI,O,O,X,O,X,X,X,X,O,X
TLZSIJO,O,X,X,O,X,X,X,X,X,X
TLZSIOJ,O,X,X,O,X,X,X,X,O,X
TLZSJIO,O,X,X,O,X,X,X,X,X,X
TLZSJOI,O,X,X,O,X,X,X,X,O,X
TLZSOIJ,O,X,X,O,X,X,X,X,O,X
TLZSOJI,O,X,X,O,X,X,X,X,O,X
TLZOIJS,O,X,X,O,X,X,X,X,X,X
TLZOISJ,X,X,X,O,X,X,X,X,O,X
TLZOJIS,O,O,X,O,X,X,X,X,X,X
TLZOJSI,O,O,X,O,X,X,X,X,O,X
TLZOSIJ,O,X,X,O,X,X,X,X,O,X
TLZOSJI,O,X,X,O,X,X,X,X,O,X
TLOIJSZ,O,X,X,X,O,X,O,X,X,X
TLOIJZS,O,X,X,O,X,X,X,X,X,X
TLOISJZ,O,X,X,X,O,X,O,X,X,X
TLOISZJ,O,X,X,O,O,X,X,X,X,X
TLOIZJS,O,X,X,O,X,X,X,X,X,X
TLOIZSJ,X,X,X,O,X,X,X,X,X,X
TLOJISZ,O,X,X,X,O,X,O,X,X,X
TLOJIZS,O,O,X,O,X,X,X,X,X,X
TLOJSIZ,O,X,O,X,X,X,X,X,X,X
TLOJSZI,X,X,O,X,X,X,X,X,X,X
TLOJZIS,O,O,X,O,X,X,X,X,X,X
TLOJZSI,O,O,X,O,X,X,X,X,X,X
TLOSIJZ,O,X,O,X,X,X,X,X,X,X
TLOSIZJ,O,X,X,O,X,X,X,X,X,X
