sequence,v115@ThA8EeF8AeE8JeOEJvhF8kBzgBfnBxiBCoBFrB,v115@ThA8EeF8AeE8Je2EJvhFzgBRiBSoBUnB3kBFrB,v115@ThA8EeF8AeE8Jei/IvhFzgBGjB3kBRnBUnBFrB,v115@ThA8EeF8AeE8JeKEJvhFzfBRhBGjBfrB0rBlsB,v115@ThA8EeF8AeE8Jem/IvhFUhBRiBSoBTkBfrBVxB,v115@ThA8EeF8AeE8JeOEJvhF8kBFhBxiBfrBzrBCtB,v115@ThA8EeF8AeE8Jex/IvhFGjBTkB0lBlmB3nBirB,v115@ThA8EeF8AeE8Jex/IvhFmhBSoBTkBllBcrB3sB,v115@ThA8EeF8AeE8JeyGJvhFGjBxkB3nBTkBllBcrB
TILJSZO,X,X,O,O,O,X,X,X,X
TILJSOZ,X,X,O,O,O,X,X,X,X
TILJZSO,X,O,X,X,O,X,X,X,X
TILJZOS,X,O,X,O,X,X,X,X,X
TILJOSZ,X,X,O,O,O,X,X,X,X
TILJOZS,X,O,X,O,O,X,X,X,X
TILSJZO,O,X,O,O,O,X,X,X,X
TILSJOZ,O,X,O,O,O,X,X,X,X
TILSZJO,O,X,O,O,O,X,X,X,X
TILSZOJ,O,X,O,O,O,X,X,X,X
TILSOJZ,O,X,O,O,O,X,X,X,X
TILSOZJ,O,X,O,O,O,X,X,X,X
TILZJSO,O,O,X,X,O,X,X,X,X
TILZJOS,O,O,X,O,X,X,X,X,X
TILZSJO,O,O,X,X,O,X,X,X,X
TILZSOJ,O,O,X,X,O,X,X,X,X
TILZOJS,O,O,X,O,O,X,X,X,X
TILZOSJ,O,O,X,X,O,X,X,X,X
TILOJSZ,X,X,O,O,O,X,X,X,X
TILOJZS,X,O,X,O,O,X,X,O,X
TILOSJZ,O,X,O,O,O,X,X,X,X
TILOSZJ,O,X,O,O,O,X,X,O,X
TILOZJS,O,O,X,O,O,X,X,O,X
TILOZSJ,O,O,X,X,O,X,X,O,X
TIJLSZO,X,X,O,O,O,X,X,X,X
TIJLSOZ,X,X,O,O,O,X,X,X,X
TIJLZSO,X,O,X,X,O,X,X,X,X
TIJLZOS,X,O,X,O,X,X,X,X,X
TIJLOSZ,X,X,O,O,O,X,X,X,X
TIJLOZS,X,O,X,O,O,X,X,X,X
TIJSLZO,X,X,O,O,O,X,X,X,O
TIJSLOZ,X,X,O,O,O,X,X,X,O
TIJSZLO,X,X,O,O,O,X,X,X,X
TIJSZOL,X,X,O,O,O,X,X,X,X
TIJSOLZ,X,X,O,O,O,X,X,X,X
TIJSOZL,X,X,O,X,O,X,X,X,X
TIJZLSO,X,O,X,X,O,X,X,X,X
TIJZLOS,X,O,X,O,X,X,X,X,X
TIJZSLO,X,O,O,X,O,X,X,X,X
TIJZSOL,X,O,O,X,O,X,X,X,X
TIJZOLS,X,O,X,X,X,X,X,X,X
TIJZOSL,X,O,O,X,X,X,X,X,X
TIJOLSZ,X,X,O,O,O,X,X,X,X
TIJOLZS,X,O,X,O,O,X,X,X,X
TIJOSLZ,X,X,O,X,O,X,X,X,X
TIJOSZL,X,X,O,X,O,X,X,X,X
TIJOZLS,X,O,X,X,O,X,X,X,X
TIJOZSL,X,O,O,X,O,X,X,X,X
TISLJZO,O,X,O,O,O,X,X,X,O
TISLJOZ,O,X,O,O,O,X,X,X,O
TISLZJO,O,X,O,O,O,X,X,X,X
TISLZOJ,O,X,O,O,O,X,X,X,X
TISLOJZ,O,X,O,O,O,X,X,X,X
TISLOZJ,O,X,O,O,O,X,X,X,X
TISJLZO,X,X,O,O,O,X,X,X,O
TISJLOZ,X,X,O,O,O,X,X,X,O
TISJZLO,O,X,O,O,O,X,X,X,X
TISJZOL,O,X,O,O,O,X,O,X,X
TISJOLZ,X,X,O,O,O,X,X,X,X
TISJOZL,O,X,O,X,O,X,O,X,X
TISZLJO,O,X,O,O,O,X,X,X,X
TISZLOJ,O,X,O,O,O,X,X,X,X
TISZJLO,O,X,O,O,O,X,X,X,X
TISZJOL,O,X,O,O,O,X,O,X,X
TISZOLJ,O,X,O,O,O,X,O,X,X
TISZOJL,O,X,O,O,O,X,O,X,X
TISOLJZ,O,X,O,O,O,X,X,X,X
TISOLZJ,O,X,O,O,O,X,X,X,X
TISOJLZ,X,X,O,O,O,X,X,X,X
TISOJZL,O,X,O,X,O,X,O,X,X
TISOZLJ,O,X,O,X,O,X,O,X,X
TISOZJL,O,X,O,X,O,X,O,X,X
TIZLJSO,O,O,X,X,O,X,X,X,X
TIZLJOS,O,O,X,O,X,X,X,X,X
TIZLSJO,O,O,X,X,O,X,X,X,X
