sequence,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFzgBfnB9oBqsBmn?B0rB,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFfmB0hB9oBqsBmn?BzrB,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFChBziB+oB/rB0s?BdsB,v115@+gB8HeB8HeC8GeD8DeA8JeZEJvhFzgB0iBStBmrBtr?BXtB
TILJSZO,X,O,O,O
TILJSOZ,X,O,X,O
TILJZSO,O,X,X,O
TILJZOS,O,X,X,O
TILJOSZ,X,O,X,O
TILJOZS,O,X,X,O
TILSJZO,X,O,O,X
TILSJOZ,X,O,X,X
TILSZJO,O,O,O,X
TILSZOJ,O,O,X,X
TILSOJZ,X,O,X,X
TILSOZJ,O,O,X,X
TILZJSO,O,X,X,O
TILZJOS,O,X,X,O
TILZSJO,O,O,X,X
TILZSOJ,O,O,X,X
TILZOJS,O,X,X,X
TILZOSJ,O,O,X,X
TILOJSZ,X,O,X,O
TILOJZS,O,X,X,O
TILOSJZ,X,O,X,X
TILOSZJ,O,O,X,X
TILOZJS,O,X,X,X
TILOZSJ,O,O,X,X
TIJLSZO,X,O,O,O
TIJLSOZ,X,O,X,O
TIJLZSO,O,X,X,O
TIJLZOS,O,X,X,O
TIJLOSZ,X,O,X,O
TIJLOZS,O,X,X,O
TIJSLZO,X,O,O,X
TIJSLOZ,X,O,X,X
TIJSZLO,X,O,O,X
TIJSZOL,X,X,O,X
TIJSOLZ,X,O,X,X
TIJSOZL,X,O,X,X
TIJZLSO,O,X,X,X
TIJZLOS,O,X,X,X
TIJZSLO,O,X,O,X
TIJZSOL,O,X,O,X
TIJZOLS,O,X,X,X
TIJZOSL,O,X,O,X
TIJOLSZ,X,O,X,O
TIJOLZS,O,X,X,O
TIJOSLZ,X,O,X,X
TIJOSZL,X,O,X,X
TIJOZLS,O,X,X,X
TIJOZSL,O,X,O,X
TISLJZO,X,O,O,X
TISLJOZ,X,O,X,X
TISLZJO,O,O,O,X
TISLZOJ,O,O,X,X
TISLOJZ,X,O,X,X
TISLOZJ,O,O,X,X
TISJLZO,X,O,O,X
TISJLOZ,X,O,X,X
TISJZLO,X,O,O,X
TISJZOL,X,X,O,X
TISJOLZ,X,O,X,X
TISJOZL,X,O,X,X
TISZLJO,O,O,O,X
TISZLOJ,O,O,X,X
TISZJLO,O,O,O,X
TISZJOL,O,X,O,X
TISZOLJ,O,O,X,X
TISZOJL,O,O,X,X
TISOLJZ,X,O,X,X
TISOLZJ,O,O,X,X
TISOJLZ,X,O,X,X
TISOJZL,X,O,X,X
TISOZLJ,O,O,X,X
TISOZJL,O,O,X,X
TIZLJSO,O,X,X,X
TIZLJOS,O,X,X,X
TIZLSJO,O,O,X,X
TIZLSOJ,O,O,X,X
TIZLOJS,O,X,X,X
TIZLOSJ,O,O,X,X
TIZJLSO,O,X,X,X
TIZJLOS,O,X,X,X
TIZJSLO,O,X,O,X
TIZJSOL,O,X,O,X
TIZJOLS,O,X,X,X
TIZJOSL,O,X,O,X
TIZSLJO,O,O,O,X
TIZSLOJ,O,O,X,X
TIZSJLO,O,O,O,X
TIZSJOL,O,X,O,X
TIZSOLJ,O,O,X,X
TIZSOJL,O,O,X,X
TIZOLJS,O,X,X,X
TIZOLSJ,O,O,X,X
TIZOJLS,O,X,X,X
TIZOJSL,O,X,X,X
TIZOSLJ,O,O,X,X
TIZOSJL,O,O,X,X
TIOLJSZ,X,O,X,O
TIOLJZS,O,X,X,O
TIOLSJZ,X,O,X,X
TIOLSZJ,O,O,X,X
TIOLZJS,O,X,X,X
TIOLZSJ,O,O,X,X
TIOJLSZ,X,O,X,O
TIOJLZS,O,X,X,O
TIOJSLZ,X,O,X,X
TIOJSZL,X,O,X,X
TIOJZLS,O,X,X,X
TIOJZSL,O,X,X,X
TIOSLJZ,X,O,X,X
TIOSLZJ,O,O,X,X
TIOSJLZ,X,O,X,X
TIOSJZL,X,O,X,X
TIOSZLJ,O,O,X,X
TIOSZJL,O,O,X,X
TIOZLJS,O,X,X,X
TIOZLSJ,O,O,X,X
TIOZJLS,O,X,X,X
TIOZJSL,O,X,X,X
TIOZSLJ,O,O,X,X
TIOZSJL,O,O,X,X
TLIJSZO,X,O,O,O
TLIJSOZ,X,O,X,O
TLIJZSO,O,X,X,O
TLIJZOS,O,X,X,O
TLIJOSZ,X,O,X,O
TLIJOZS,O,X,X,O
TLISJZO,X,O,O,X
TLISJOZ,X,O,X,X
TLISZJO,O,O,O,X
TLISZOJ,O,O,X,X
TLISOJZ,X,O,X,X
TLISOZJ,O,O,X,X
TLIZJSO,O,X,X,O
TLIZJOS,O,X,X,O
TLIZSJO,O,O,X,X
TLIZSOJ,O,O,X,X
TLIZOJS,O,X,X,X
TLIZOSJ,O,O,X,X
TLIOJSZ,X,O,X,O
TLIOJZS,O,X,X,O
TLIOSJZ,X,O,X,X
TLIOSZJ,O,O,X,X
TLIOZJS,O,X,X,X
TLIOZSJ,O,O,X,X
TLJISZO,X,O,O,O
TLJISOZ,X,O,X,O
TLJIZSO,O,X,X,O
TLJIZOS,O,X,X,O
TLJIOSZ,X,O,X,O
TLJIOZS,O,X,X,O
TLJSIZO,X,O,O,X
TLJSIOZ,X,O,X,X
TLJSZIO,X,O,O,X
TLJSZOI,X,X,X,X
TLJSOIZ,X,O,X,X
TLJSOZI,X,O,X,X
TLJZISO,O,X,X,O
TLJZIOS,O,X,X,O
TLJZSIO,O,X,X,X
TLJZSOI,O,X,X,X
TLJZOIS,O,X,X,X
TLJZOSI,O,X,X,X
TLJOISZ,X,O,X,O
TLJOIZS,O,X,X,O
TLJOSIZ,X,O,X,X
TLJOSZI,X,O,X,X
TLJOZIS,O,X,X,X
TLJOZSI,O,X,X,X
TLSIJZO,X,O,O,X
TLSIJOZ,X,O,X,X
TLSIZJO,O,O,O,X
TLSIZOJ,O,O,X,X
TLSIOJZ,X,O,X,X
TLSIOZJ,O,O,X,X
TLSJIZO,X,O,O,X
TLSJIOZ,X,O,X,X
TLSJZIO,X,O,O,X
TLSJZOI,X,X,X,X
TLSJOIZ,X,O,X,X
TLSJOZI,X,O,X,X
TLSZIJO,O,O,O,X
TLSZIOJ,O,O,X,X
TLSZJIO,O,O,O,X
TLSZJOI,O,X,X,X
TLSZOIJ,O,O,X,X
TLSZOJI,O,O,X,X
TLSOIJZ,X,O,X,X
TLSOIZJ,O,O,X,X
TLSOJIZ,X,O,X,X
TLSOJZI,X,O,X,X
TLSOZIJ,O,O,X,X
TLSOZJI,O,O,X,X
TLZIJSO,O,X,X,O
TLZIJOS,O,X,X,O
TLZISJO,O,O,X,X
TLZISOJ,O,O,X,X
TLZIOJS,O,X,X,X
TLZIOSJ,O,O,X,X
TLZJISO,O,X,X,O
TLZJIOS,O,X,X,O
TLZJSIO,O,X,X,X
TLZJSOI,O,X,X,X
TLZJOIS,O,X,X,X
TLZJOSI,O,X,X,X
TLZSIJO,O,O,X,X
TLZSIOJ,O,O,X,X
TLZSJIO,O,O,X,X
TLZSJOI,O,X,X,X
TLZSOIJ,O,O,X,X
TLZSOJI,O,O,X,X
TLZOIJS,O,X,X,X
TLZOISJ,O,O,X,X
TLZOJIS,O,X,X,X
TLZOJSI,O,X,X,X
TLZOSIJ,O,O,X,X
TLZOSJI,O,O,X,X
TLOIJSZ,X,O,X,O
TLOIJZS,O,X,X,O
TLOISJZ,X,O,X,X
TLOISZJ,O,O,X,X
TLOIZJS,O,X,X,X
TLOIZSJ,O,O,X,X
TLOJISZ,X,O,X,O
TLOJIZS,O,X,X,O
TLOJSIZ,X,O,X,X
TLOJSZI,X,O,X,X
TLOJZIS,O,X,X,X
TLOJZSI,O,X,X,X
TLOSIJZ,X,O,X,X
TLOSIZJ,O,O,X,X
TLOSJIZ,X,O,X,X
TLOSJZI,X,O,X,X
TLOSZIJ,O,O,X,X
TLOSZJI,O,O,X,X
TLOZIJS,O,X,X,X
TLOZISJ,O,O,X,X
TLOZJIS,O,X,X,X
TLOZJSI,O,X,X,X
TLOZSIJ,O,O,X,X
TLOZSJI,O,O,X,X
TJILSZO,X,O,O,O
TJILSOZ,X,O,X,O
TJILZSO,O,X,X,O
TJILZOS,O,X,X,O
TJILOSZ,X,O,X,O
TJILOZS,O,X,X,O
TJISLZO,X,O,O,X
TJISLOZ,X,O,X,X
TJISZLO,X,O,O,X
TJISZOL,X,X,O,X
TJISOLZ,X,O,X,X
TJISOZL,X,O,X,X
TJIZLSO,O,X,X,X
TJIZLOS,O,X,X,X
TJIZSLO,O,X,O,X
TJIZSOL,O,X,O,X
TJIZOLS,O,X,X,X
TJIZOSL,O,X,O,X
TJIOLSZ,X,O,X,O
TJIOLZS,O,X,X,O
TJIOSLZ,X,O,X,X
TJIOSZL,X,O,X,X
TJIOZLS,O,X,X,X
TJIOZSL,O,X,O,X
TJLISZO,X,O,O,O
TJLISOZ,X,O,X,O
TJLIZSO,O,X,X,O
TJLIZOS,O,X,X,O
TJLIOSZ,X,O,X,O
TJLIOZS,O,X,X,O
TJLSIZO,X,O,O,X
TJLSIOZ,X,O,X,X
TJLSZIO,X,O,O,X
TJLSZOI,X,X,X,X
TJLSOIZ,X,O,X,X
TJLSOZI,X,O,X,X
TJLZISO,O,X,X,O
TJLZIOS,O,X,X,O
TJLZSIO,O,X,X,X
TJLZSOI,O,X,X,X
TJLZOIS,O,X,X,X
TJLZOSI,O,X,X,X
TJLOISZ,X,O,X,O
TJLOIZS,O,X,X,O
