sequence,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigBOnB8nB5?oBlpB3qB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigB2nB5oB3?nB0pBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBlqBiqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBiqBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeiAJvhF2nB5oBTkB3?nBlqB0pB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFiiB5oB2qB3?nB0pBlqB
TOISJLZ,X,X,O,O,O,X
TOISJZL,X,X,O,O,X,X
TOISZLJ,O,X,O,X,X,X
TOISZJL,O,X,O,O,X,X
TOIZLJS,O,O,X,X,O,X
TOIZLSJ,O,O,X,X,X,X
TOIZJLS,O,O,X,X,O,X
TOIZJSL,O,O,O,X,X,X
TOIZSLJ,O,O,O,X,X,X
TOIZSJL,O,O,O,X,X,X
TOLIJSZ,X,X,O,O,O,X
TOLIJZS,O,O,X,X,O,X
TOLISJZ,X,X,O,O,O,X
TOLISZJ,O,X,O,O,X,X
TOLIZJS,O,O,X,X,O,X
TOLIZSJ,O,O,X,X,X,X
TOLJISZ,X,X,O,O,O,X
TOLJIZS,O,O,X,X,O,X
TOLJSIZ,X,X,O,O,O,X
TOLJSZI,X,X,O,O,X,X
TOLJZIS,O,O,X,X,O,X
TOLJZSI,O,O,X,X,X,X
TOLSIJZ,X,X,O,O,O,X
TOLSIZJ,O,X,O,O,X,X
TOLSJIZ,X,X,O,O,O,X
TOLSJZI,X,X,O,O,X,X
TOLSZIJ,O,X,O,O,X,X
TOLSZJI,O,X,O,O,X,X
TOLZIJS,O,O,X,X,O,X
TOLZISJ,O,O,X,X,X,X
TOLZJIS,O,O,X,X,O,X
TOLZJSI,O,O,X,X,X,X
TOLZSIJ,O,O,X,X,X,X
TOLZSJI,O,O,X,X,X,X
TOJILSZ,X,X,O,O,O,X
TOJILZS,O,O,X,X,O,X
TOJISLZ,X,X,O,O,O,X
TOJISZL,X,X,O,O,X,X
TOJIZLS,O,O,X,X,O,X
TOJIZSL,O,O,O,X,X,X
TOJLISZ,X,X,O,O,O,X
TOJLIZS,O,O,X,X,O,X
TOJLSIZ,X,X,O,O,O,X
TOJLSZI,X,X,O,O,X,X
TOJLZIS,O,O,X,X,O,X
TOJLZSI,O,O,X,X,X,X
TOJSILZ,X,X,O,O,O,X
TOJSIZL,X,X,O,O,X,X
TOJSLIZ,X,X,O,O,O,X
TOJSLZI,X,X,O,O,X,X
TOJSZIL,X,X,O,O,X,X
TOJSZLI,X,X,O,X,X,X
TOJZILS,O,O,X,X,O,X
TOJZISL,O,O,O,X,X,X
TOJZLIS,O,O,X,X,O,X
TOJZLSI,O,O,X,X,X,X
TOJZSIL,O,O,O,X,X,X
TOJZSLI,O,O,O,X,X,X
TOSILJZ,X,X,O,O,O,X
TOSILZJ,O,X,O,O,X,X
TOSIJLZ,X,X,O,O,O,X
TOSIJZL,X,X,O,O,X,X
TOSIZLJ,O,X,O,X,X,X
TOSIZJL,O,X,O,O,X,X
TOSLIJZ,X,X,O,O,O,X
TOSLIZJ,O,X,O,O,X,X
TOSLJIZ,X,X,O,O,O,X
TOSLJZI,X,X,O,O,X,X
TOSLZIJ,O,X,O,O,X,X
TOSLZJI,O,X,O,O,X,X
TOSJILZ,X,X,O,O,O,X
TOSJIZL,X,X,O,O,X,X
TOSJLIZ,X,X,O,O,O,X
TOSJLZI,X,X,O,O,X,X
TOSJZIL,X,X,O,O,X,X
TOSJZLI,X,X,O,X,X,X
TOSZILJ,O,X,O,X,X,X
TOSZIJL,O,X,O,O,X,X
TOSZLIJ,O,X,O,X,X,X
TOSZLJI,O,X,O,X,X,X
TOSZJIL,O,X,O,O,X,X
TOSZJLI,O,X,O,X,X,X
TOZILJS,O,O,X,X,O,X
TOZILSJ,O,O,X,X,X,X
TOZIJLS,O,O,X,X,O,X
TOZIJSL,O,O,O,X,X,X
TOZISLJ,O,O,O,X,X,X
TOZISJL,O,O,O,X,X,X
TOZLIJS,O,O,X,X,O,X
TOZLISJ,O,O,X,X,X,X
TOZLJIS,O,O,X,X,O,X
TOZLJSI,O,O,X,X,X,X
TOZLSIJ,O,O,X,X,X,X
TOZLSJI,O,O,X,X,X,X
TOZJILS,O,O,X,X,O,X
TOZJISL,O,O,O,X,X,X
TOZJLIS,O,O,X,X,O,X
TOZJLSI,O,O,X,X,X,X
TOZJSIL,O,O,O,X,X,X
TOZJSLI,O,O,O,X,X,X
TOZSILJ,O,O,O,X,X,X
TOZSIJL,O,O,O,X,X,X
TOZSLIJ,O,O,O,X,X,X
TOZSLJI,O,O,O,X,X,X
TOZSJIL,O,O,O,X,X,X
TOZSJLI,O,O,O,X,X,X
ITLJSZO,X,O,X,X,X,X
ITLJSOZ,X,X,X,X,O,X
ITLJZSO,O,O,X,X,X,X
ITLJZOS,O,O,X,X,O,X
ITLJOSZ,X,X,X,X,O,X
ITLJOZS,O,O,X,X,O,X
ITLSJZO,O,O,X,X,X,X
ITLSJOZ,O,X,X,X,O,X
ITLSZJO,O,O,X,X,X,X
ITLSZOJ,O,O,O,O,X,X
ITLSOJZ,O,X,O,O,O,X
ITLSOZJ,O,X,O,O,X,X
ITLZJSO,O,O,X,X,X,X
ITLZJOS,O,O,X,X,O,X
ITLZSJO,O,O,X,X,X,X
ITLZSOJ,O,O,X,X,X,X
ITLZOJS,O,O,X,X,O,X
ITLZOSJ,O,O,X,X,X,X
ITLOJSZ,X,X,O,O,O,X
ITLOJZS,O,O,X,X,O,X
ITLOSJZ,X,X,O,O,O,X
ITLOSZJ,O,X,O,O,X,X
ITLOZJS,O,O,X,X,O,X
ITLOZSJ,O,O,X,X,X,X
ITJLSZO,X,O,X,X,X,X
ITJLSOZ,X,X,X,X,O,X
ITJLZSO,O,O,X,X,X,X
ITJLZOS,O,O,X,X,O,X
ITJLOSZ,X,X,X,X,O,X
ITJLOZS,O,O,X,X,O,X
ITJSLZO,X,O,X,X,X,O
ITJSLOZ,X,X,X,X,O,X
ITJSZLO,X,O,X,X,X,O
ITJSZOL,X,O,O,X,X,O
ITJSOLZ,X,X,O,X,O,X
ITJSOZL,X,X,O,X,X,X
ITJZLSO,O,O,X,X,X,X
ITJZLOS,O,O,X,X,O,X
ITJZSLO,O,O,X,X,X,O
ITJZSOL,O,O,X,X,X,O
ITJZOLS,O,O,X,X,O,X
ITJZOSL,O,O,X,X,X,O
ITJOLSZ,X,X,O,X,O,X
ITJOLZS,O,O,X,X,O,X
ITJOSLZ,X,X,O,X,O,X
ITJOSZL,X,X,O,X,X,X
ITJOZLS,O,O,X,X,O,X
ITJOZSL,O,O,O,X,X,X
ITSLJZO,O,O,X,X,X,O
ITSLJOZ,O,X,X,X,O,X
ITSLZJO,O,O,X,X,X,O
ITSLZOJ,O,O,O,O,X,O
ITSLOJZ,O,X,O,O,O,X
ITSLOZJ,O,X,O,O,X,X
ITSJLZO,O,O,X,X,X,O
ITSJLOZ,O,X,X,X,O,X
ITSJZLO,O,O,X,X,X,O
ITSJZOL,O,O,O,X,X,O
ITSJOLZ,O,X,O,X,O,X
ITSJOZL,O,X,O,X,X,X
ITSZLJO,O,O,X,X,X,O
ITSZLOJ,O,O,O,X,X,O
ITSZJLO,O,O,X,X,X,O
ITSZJOL,O,O,O,X,X,O
ITSZOLJ,O,O,O,X,X,O
ITSZOJL,O,O,O,O,X,O
ITSOLJZ,O,X,O,O,O,X
ITSOLZJ,O,X,O,O,X,X
ITSOJLZ,O,X,O,O,O,X
ITSOJZL,O,X,O,O,X,X
ITSOZLJ,O,X,O,X,X,X
ITSOZJL,O,X,O,O,X,X
ITZLJSO,O,O,X,X,X,X
ITZLJOS,O,O,X,X,O,X
ITZLSJO,O,O,X,X,X,X
ITZLSOJ,O,O,X,X,X,X
ITZLOJS,O,O,X,X,O,X
ITZLOSJ,O,O,X,X,X,X
ITZJLSO,O,O,X,X,X,X
ITZJLOS,O,O,X,X,O,X
ITZJSLO,O,O,X,X,X,O
ITZJSOL,O,O,X,X,X,O
ITZJOLS,O,O,X,X,O,X
ITZJOSL,O,O,X,X,X,O
ITZSLJO,O,O,X,X,X,O
ITZSLOJ,O,O,O,X,X,O
ITZSJLO,O,O,X,X,X,O
ITZSJOL,O,O,O,X,X,O
ITZSOLJ,O,O,O,X,X,O
ITZSOJL,O,O,O,X,X,O
ITZOLJS,O,O,X,X,O,X
ITZOLSJ,O,O,X,X,X,X
ITZOJLS,O,O,X,X,O,X
ITZOJSL,O,O,O,X,X,O
ITZOSLJ,O,O,O,X,X,O
ITZOSJL,O,O,O,X,X,O
ITOLJSZ,X,X,O,O,O,X
ITOLJZS,O,O,X,X,O,X
ITOLSJZ,X,X,O,O,O,X
ITOLSZJ,O,X,O,O,X,X
ITOLZJS,O,O,X,X,O,X
ITOLZSJ,O,O,X,X,X,X
ITOJLSZ,X,X,O,O,O,X
ITOJLZS,O,O,X,X,O,X
ITOJSLZ,X,X,O,O,O,X
ITOJSZL,X,X,O,O,X,X
ITOJZLS,O,O,X,X,O,X
ITOJZSL,O,O,O,X,X,X
ITOSLJZ,X,X,O,O,O,X
ITOSLZJ,O,X,O,O,X,X
ITOSJLZ,X,X,O,O,O,X
ITOSJZL,X,X,O,O,X,X
ITOSZLJ,O,X,O,X,X,X
ITOSZJL,O,X,O,O,X,X
ITOZLJS,O,O,X,X,O,X
ITOZLSJ,O,O,X,X,X,X
ITOZJLS,O,O,X,X,O,X
ITOZJSL,O,O,O,X,X,X
ITOZSLJ,O,O,O,X,X,X
ITOZSJL,O,O,O,X,X,X
ILTJSZO,X,O,X,X,X,X
ILTJSOZ,X,X,X,X,O,X
ILTJZSO,O,O,X,X,X,X
ILTJZOS,O,O,X,X,O,X
ILTJOSZ,X,X,X,X,O,X
ILTJOZS,O,O,X,X,O,X
ILTSJZO,O,O,X,X,X,X
ILTSJOZ,O,X,X,X,O,X
ILTSZJO,O,O,X,X,X,X
ILTSZOJ,O,O,O,O,X,X
ILTSOJZ,O,X,O,O,O,X
ILTSOZJ,O,X,O,O,X,X
ILTZJSO,O,O,X,X,X,X
ILTZJOS,O,O,X,X,O,X
ILTZSJO,O,O,X,X,X,X
ILTZSOJ,O,O,X,X,X,X
ILTZOJS,O,O,X,X,O,X
ILTZOSJ,O,O,X,X,X,X
ILTOJSZ,X,X,O,O,O,X
ILTOJZS,O,O,X,X,O,X
ILTOSJZ,X,X,O,O,O,X
ILTOSZJ,O,X,O,O,X,X
ILTOZJS,O,O,X,X,O,X
ILTOZSJ,O,O,X,X,X,X
ILJTSZO,X,O,X,X,X,X
ILJTSOZ,X,X,X,X,O,X
ILJTZSO,O,O,X,X,X,X
ILJTZOS,O,O,X,X,O,X
ILJTOSZ,X,X,X,X,O,X
ILJTOZS,O,O,X,X,O,X
ILJSTZO,O,O,X,X,X,O
ILJSTOZ,O,X,X,X,O,X
ILJSZTO,O,X,X,X,X,O
ILJSZOT,O,O,X,O,X,O
ILJSOTZ,X,X,X,O,X,X
ILJSOZT,X,X,X,O,X,O
ILJZTSO,O,O,X,X,X,X
ILJZTOS,O,O,X,X,O,X
ILJZSTO,O,X,X,X,X,O
ILJZSOT,O,O,X,X,X,O
ILJZOTS,O,O,X,X,X,X
ILJZOST,O,O,X,X,X,O
ILJOTSZ,X,X,X,O,O,X
ILJOTZS,X,O,X,X,O,X
ILJOSTZ,X,X,X,O,X,X
ILJOSZT,X,X,X,O,X,X
ILJOZTS,X,O,X,X,X,X
ILJOZST,X,O,X,O,X,X
ILSTJZO,O,O,X,X,X,O
ILSTJOZ,O,X,X,X,O,X
ILSTZJO,O,O,X,X,X,O
ILSTZOJ,O,O,X,O,X,O
ILSTOJZ,O,X,X,O,O,X
ILSTOZJ,O,X,X,O,X,X
ILSJTZO,O,O,X,X,X,O
ILSJTOZ,O,X,X,X,O,X
ILSJZTO,O,X,X,X,X,O
ILSJZOT,O,O,X,O,X,O
ILSJOTZ,X,X,X,O,X,X
ILSJOZT,X,X,X,O,X,O
ILSZTJO,O,X,X,X,X,O
ILSZTOJ,O,X,X,O,X,O
ILSZJTO,O,X,X,X,X,O
ILSZJOT,O,O,X,O,X,O
ILSZOTJ,O,X,X,O,X,O
ILSZOJT,O,O,O,O,X,O
ILSOTJZ,O,X,X,O,X,X
ILSOTZJ,O,X,X,O,X,X
ILSOJTZ,X,X,X,O,X,X
ILSOJZT,X,X,O,O,X,O
ILSOZTJ,O,X,X,O,X,O
ILSOZJT,O,X,O,O,X,O
ILZTJSO,O,O,X,X,X,X
ILZTJOS,O,O,X,X,O,X
ILZTSJO,O,O,X,X,X,X
ILZTSOJ,O,O,X,X,X,X
ILZTOJS,O,O,X,X,O,X
ILZTOSJ,O,O,X,X,X,X
ILZJTSO,O,O,X,X,X,X
ILZJTOS,O,O,X,X,O,X
ILZJSTO,O,X,X,X,X,O
ILZJSOT,O,O,X,X,X,O
ILZJOTS,O,O,X,X,X,X
ILZJOST,O,O,X,X,X,O
ILZSTJO,O,X,X,X,X,O
ILZSTOJ,O,X,X,O,X,O
ILZSJTO,O,X,X,X,X,O
ILZSJOT,O,O,X,O,X,O
ILZSOTJ,O,X,X,O,X,O
ILZSOJT,O,O,X,O,X,O
ILZOTJS,O,O,X,X,X,X
ILZOTSJ,O,X,X,X,X,X
ILZOJTS,O,O,X,X,X,X
ILZOJST,O,O,X,O,X,O
ILZOSTJ,O,X,X,O,X,O
ILZOSJT,O,O,X,O,X,O
ILOTJSZ,X,X,O,O,O,X
ILOTJZS,O,O,X,X,O,X
ILOTSJZ,X,X,O,O,O,X
ILOTSZJ,O,X,O,O,X,X
ILOTZJS,O,O,X,X,O,X
ILOTZSJ,O,O,X,X,X,X
ILOJTSZ,X,X,O,O,O,X
ILOJTZS,X,O,X,X,O,X
ILOJSTZ,X,X,X,O,X,X
ILOJSZT,X,X,O,O,X,X
ILOJZTS,X,O,X,X,X,X
ILOJZST,X,O,X,O,X,X
ILOSTJZ,O,X,X,O,X,X
ILOSTZJ,O,X,X,O,X,X
ILOSJTZ,X,X,X,O,X,X
ILOSJZT,X,X,O,O,X,X
ILOSZTJ,O,X,X,O,X,X
ILOSZJT,O,X,O,O,X,X
ILOZTJS,O,O,X,X,X,X
ILOZTSJ,O,X,X,X,X,X
ILOZJTS,O,O,X,X,X,X
ILOZJST,O,O,X,O,X,X
ILOZSTJ,O,X,X,O,X,X
ILOZSJT,O,O,X,O,X,X
IJTLSZO,X,O,X,X,X,X
IJTLSOZ,X,X,X,X,O,X
IJTLZSO,O,O,X,X,X,X
IJTLZOS,O,O,X,X,O,X
IJTLOSZ,X,X,X,X,O,X
IJTLOZS,O,O,X,X,O,X
IJTSLZO,X,O,X,X,X,O
IJTSLOZ,X,X,X,X,O,X
IJTSZLO,X,O,X,X,X,O
IJTSZOL,X,O,O,X,X,O
IJTSOLZ,X,X,O,X,O,X
IJTSOZL,X,X,O,X,X,X
IJTZLSO,O,O,X,X,X,X
IJTZLOS,O,O,X,X,O,X
IJTZSLO,O,O,X,X,X,O
IJTZSOL,O,O,X,X,X,O
IJTZOLS,O,O,X,X,O,X
IJTZOSL,O,O,X,X,X,O
IJTOLSZ,X,X,O,X,O,X
IJTOLZS,O,O,X,X,O,X
IJTOSLZ,X,X,O,X,O,X
IJTOSZL,X,X,O,X,X,X
IJTOZLS,O,O,X,X,O,X
IJTOZSL,O,O,O,X,X,X
IJLTSZO,X,O,X,X,X,X
IJLTSOZ,X,X,X,X,O,X
IJLTZSO,O,O,X,X,X,X
IJLTZOS,O,O,X,X,O,X
IJLTOSZ,X,X,X,X,O,X
IJLTOZS,O,O,X,X,O,X
IJLSTZO,O,O,X,X,X,O
IJLSTOZ,O,X,X,X,O,X
IJLSZTO,O,X,X,X,X,O
IJLSZOT,O,O,X,O,X,O
IJLSOTZ,X,X,X,O,X,X
IJLSOZT,X,X,X,O,X,O
IJLZTSO,O,O,X,X,X,X
IJLZTOS,O,O,X,X,O,X
IJLZSTO,O,X,X,X,X,O
IJLZSOT,O,O,X,X,X,O
IJLZOTS,O,O,X,X,X,X
IJLZOST,O,O,X,X,X,O
IJLOTSZ,X,X,X,O,O,X
IJLOTZS,X,O,X,X,O,X
IJLOSTZ,X,X,X,O,X,X
IJLOSZT,X,X,X,O,X,X
IJLOZTS,X,O,X,X,X,X
IJLOZST,X,O,X,O,X,X
IJSTLZO,O,O,X,X,X,O
IJSTLOZ,O,X,X,X,O,X
IJSTZLO,O,O,X,X,X,O
IJSTZOL,O,O,X,X,X,O
IJSTOLZ,O,X,X,X,O,X
IJSTOZL,O,X,X,X,X,X
IJSLTZO,O,O,X,X,X,O
IJSLTOZ,O,X,X,X,O,X
IJSLZTO,O,X,X,X,X,O
IJSLZOT,O,O,X,O,X,O
IJSLOTZ,X,X,X,O,X,X
IJSLOZT,X,X,X,O,X,O
IJSZTLO,O,X,X,X,X,O
IJSZTOL,O,X,X,X,X,O
IJSZLTO,O,X,X,X,X,O
IJSZLOT,O,O,X,X,X,O
IJSZOTL,O,X,O,O,X,O
IJSZOLT,O,O,O,O,X,O
IJSOTLZ,X,X,X,O,X,X
IJSOTZL,X,X,O,O,X,X
IJSOLTZ,X,X,X,O,X,X
IJSOLZT,X,X,O,O,X,O
IJSOZTL,X,X,O,O,X,O
IJSOZLT,X,X,O,O,X,O
IJZTLSO,O,O,X,X,X,X
IJZTLOS,O,O,X,X,O,X
IJZTSLO,O,O,X,X,X,O
IJZTSOL,O,O,X,X,X,O
IJZTOLS,O,O,X,X,O,X
IJZTOSL,O,O,X,X,X,O
IJZLTSO,O,O,X,X,X,X
IJZLTOS,O,O,X,X,O,X
IJZLSTO,O,X,X,X,X,O
IJZLSOT,O,O,X,X,X,O
IJZLOTS,O,O,X,X,X,X
IJZLOST,O,O,X,X,X,O
IJZSTLO,O,X,X,X,X,O
IJZSTOL,O,X,X,X,X,O
IJZSLTO,O,X,X,X,X,O
IJZSLOT,O,O,X,X,X,O
IJZSOTL,O,X,X,X,X,O
IJZSOLT,O,O,X,X,X,O
IJZOTLS,O,O,X,X,X,X
IJZOTSL,O,X,X,X,X,O
IJZOLTS,O,O,X,X,X,X
IJZOLST,O,O,X,X,X,O
IJZOSTL,O,X,X,X,X,O
IJZOSLT,O,O,X,X,X,O
IJOTLSZ,X,X,O,O,O,X
IJOTLZS,X,O,X,X,O,X
IJOTSLZ,X,X,O,O,O,X
IJOTSZL,X,X,O,O,X,X
IJOTZLS,X,O,X,X,O,X
IJOTZSL,X,O,O,X,X,X
IJOLTSZ,X,X,O,O,O,X
IJOLTZS,X,O,X,X,O,X
IJOLSTZ,X,X,X,O,X,X
IJOLSZT,X,X,O,O,X,X
IJOLZTS,X,O,X,X,X,X
IJOLZST,X,O,X,O,X,X
IJOSTLZ,X,X,O,O,X,X
IJOSTZL,X,X,O,O,X,X
IJOSLTZ,X,X,X,O,X,X
IJOSLZT,X,X,O,O,X,O
IJOSZTL,X,X,O,O,X,O
IJOSZLT,X,X,O,O,X,O
IJOZTLS,X,O,X,X,X,X
IJOZTSL,X,X,O,X,X,O
IJOZLTS,X,O,X,X,X,X
IJOZLST,X,O,X,O,X,O
IJOZSTL,X,X,O,O,X,O
IJOZSLT,X,O,O,O,X,O
ISTLJZO,O,O,X,X,X,O
ISTLJOZ,O,X,X,X,O,X
ISTLZJO,O,O,X,X,X,O
ISTLZOJ,O,O,O,O,X,O
ISTLOJZ,O,X,O,O,O,X
ISTLOZJ,O,X,O,O,X,X
ISTJLZO,O,O,X,X,X,O
ISTJLOZ,O,X,X,X,O,X
ISTJZLO,O,O,X,X,X,O
ISTJZOL,O,O,O,X,X,O
ISTJOLZ,O,X,O,X,O,X
ISTJOZL,O,X,O,X,X,X
ISTZLJO,O,O,X,X,X,O
ISTZLOJ,O,O,O,X,X,O
ISTZJLO,O,O,X,X,X,O
ISTZJOL,O,O,O,X,X,O
ISTZOLJ,O,O,O,X,X,O
ISTZOJL,O,O,O,O,X,O
ISTOLJZ,O,X,O,O,O,X
ISTOLZJ,O,X,O,O,X,X
ISTOJLZ,O,X,O,O,O,X
ISTOJZL,O,X,O,O,X,X
ISTOZLJ,O,X,O,X,X,X
ISTOZJL,O,X,O,O,X,X
ISLTJZO,O,O,X,X,X,O
ISLTJOZ,O,X,X,X,O,X
ISLTZJO,O,O,X,X,X,O
ISLTZOJ,O,O,X,O,X,O
ISLTOJZ,O,X,X,O,O,X
ISLTOZJ,O,X,X,O,X,X
ISLJTZO,O,O,X,X,X,O
ISLJTOZ,O,X,X,X,O,X
ISLJZTO,O,X,X,X,X,O
ISLJZOT,O,O,X,O,X,O
ISLJOTZ,X,X,X,O,X,X
ISLJOZT,X,X,X,O,X,O
ISLZTJO,O,X,X,X,X,O
ISLZTOJ,O,X,X,O,X,O
ISLZJTO,O,X,X,X,X,O
ISLZJOT,O,O,X,O,X,O
ISLZOTJ,O,X,X,O,X,O
ISLZOJT,O,O,O,O,X,O
ISLOTJZ,O,X,X,O,X,X
ISLOTZJ,O,X,X,O,X,X
ISLOJTZ,X,X,X,O,X,X
ISLOJZT,X,X,O,O,X,O
ISLOZTJ,O,X,X,O,X,O
ISLOZJT,O,X,O,O,X,O
ISJTLZO,O,O,X,X,X,O
ISJTLOZ,O,X,X,X,O,X
ISJTZLO,O,O,X,X,X,O
ISJTZOL,O,O,X,X,X,O
ISJTOLZ,O,X,X,X,O,X
ISJTOZL,O,X,X,X,X,X
ISJLTZO,O,O,X,X,X,O
ISJLTOZ,O,X,X,X,O,X
ISJLZTO,O,X,X,X,X,O
ISJLZOT,O,O,X,O,X,O
ISJLOTZ,X,X,X,O,X,X
ISJLOZT,X,X,X,O,X,O
ISJZTLO,O,X,X,X,X,O
ISJZTOL,O,X,X,X,X,O
ISJZLTO,O,X,X,X,X,O
ISJZLOT,O,O,X,X,X,O
ISJZOTL,O,X,O,O,X,O
ISJZOLT,O,O,O,O,X,O
ISJOTLZ,X,X,X,O,X,X
ISJOTZL,X,X,O,O,X,X
ISJOLTZ,X,X,X,O,X,X
ISJOLZT,X,X,O,O,X,O
ISJOZTL,X,X,O,O,X,O
ISJOZLT,X,X,O,O,X,O
ISZTLJO,O,X,X,X,X,O
ISZTLOJ,O,X,X,X,X,O
ISZTJLO,O,X,X,X,X,O
ISZTJOL,O,X,X,X,X,O
ISZTOLJ,O,X,X,X,X,O
ISZTOJL,O,X,O,O,X,O
ISZLTJO,O,X,X,X,X,O
ISZLTOJ,O,X,X,O,X,O
ISZLJTO,O,X,X,X,X,O
ISZLJOT,O,O,X,O,X,O
ISZLOTJ,O,X,X,O,X,O
ISZLOJT,O,O,O,O,X,O
ISZJTLO,O,X,X,X,X,O
ISZJTOL,O,X,X,X,X,O
ISZJLTO,O,X,X,X,X,O
ISZJLOT,O,O,X,X,X,O
ISZJOTL,O,X,O,O,X,O
ISZJOLT,O,O,O,O,X,O
ISZOTLJ,O,X,X,X,X,O
ISZOTJL,O,X,O,O,X,O
ISZOLTJ,O,X,X,O,X,O
ISZOLJT,O,O,O,O,X,O
ISZOJTL,O,X,O,O,X,O
ISZOJLT,O,O,O,O,X,O
ISOTLJZ,O,X,O,O,X,X
ISOTLZJ,O,X,O,O,X,X
ISOTJLZ,O,X,O,O,X,X
ISOTJZL,O,X,O,O,X,X
ISOTZLJ,O,X,O,X,X,X
ISOTZJL,O,X,O,O,X,X
ISOLTJZ,O,X,X,O,X,X
ISOLTZJ,O,X,X,O,X,X
ISOLJTZ,X,X,X,O,X,X
ISOLJZT,X,X,O,O,X,O
ISOLZTJ,O,X,X,O,X,O
ISOLZJT,O,X,O,O,X,O
ISOJTLZ,X,X,O,O,X,X
ISOJTZL,X,X,O,O,X,X
ISOJLTZ,X,X,X,O,X,X
ISOJLZT,X,X,O,O,X,O
ISOJZTL,X,X,O,O,X,O
ISOJZLT,X,X,O,O,X,O
ISOZTLJ,O,X,X,X,X,O
ISOZTJL,O,X,O,O,X,O
ISOZLTJ,O,X,X,O,X,O
ISOZLJT,O,X,O,O,X,O
ISOZJTL,O,X,O,O,X,O
ISOZJLT,O,X,O,O,X,O
IZTLJSO,O,O,X,X,X,X
IZTLJOS,O,O,X,X,O,X
IZTLSJO,O,O,X,X,X,X
IZTLSOJ,O,O,X,X,X,X
IZTLOJS,O,O,X,X,O,X
IZTLOSJ,O,O,X,X,X,X
IZTJLSO,O,O,X,X,X,X
IZTJLOS,O,O,X,X,O,X
IZTJSLO,O,O,X,X,X,O
IZTJSOL,O,O,X,X,X,O
IZTJOLS,O,O,X,X,O,X
IZTJOSL,O,O,X,X,X,O
IZTSLJO,O,O,X,X,X,O
IZTSLOJ,O,O,O,X,X,O
IZTSJLO,O,O,X,X,X,O
IZTSJOL,O,O,O,X,X,O
IZTSOLJ,O,O,O,X,X,O
IZTSOJL,O,O,O,X,X,O
IZTOLJS,O,O,X,X,O,X
IZTOLSJ,O,O,X,X,X,X
IZTOJLS,O,O,X,X,O,X
IZTOJSL,O,O,O,X,X,O
IZTOSLJ,O,O,O,X,X,O
IZTOSJL,O,O,O,X,X,O
IZLTJSO,O,O,X,X,X,X
IZLTJOS,O,O,X,X,O,X
IZLTSJO,O,O,X,X,X,X
IZLTSOJ,O,O,X,X,X,X
IZLTOJS,O,O,X,X,O,X
IZLTOSJ,O,O,X,X,X,X
IZLJTSO,O,O,X,X,X,X
IZLJTOS,O,O,X,X,O,X
IZLJSTO,O,X,X,X,X,O
IZLJSOT,O,O,X,X,X,O
IZLJOTS,O,O,X,X,X,X
IZLJOST,O,O,X,X,X,O
IZLSTJO,O,X,X,X,X,O
IZLSTOJ,O,X,X,O,X,O
IZLSJTO,O,X,X,X,X,O
IZLSJOT,O,O,X,O,X,O
IZLSOTJ,O,X,X,O,X,O
IZLSOJT,O,O,X,O,X,O
IZLOTJS,O,O,X,X,X,X
IZLOTSJ,O,X,X,X,X,X
IZLOJTS,O,O,X,X,X,X
IZLOJST,O,O,X,O,X,O
IZLOSTJ,O,X,X,O,X,O
IZLOSJT,O,O,X,O,X,O
IZJTLSO,O,O,X,X,X,X
IZJTLOS,O,O,X,X,O,X
IZJTSLO,O,O,X,X,X,O
IZJTSOL,O,O,X,X,X,O
IZJTOLS,O,O,X,X,O,X
IZJTOSL,O,O,X,X,X,O
IZJLTSO,O,O,X,X,X,X
IZJLTOS,O,O,X,X,O,X
IZJLSTO,O,X,X,X,X,O
IZJLSOT,O,O,X,X,X,O
IZJLOTS,O,O,X,X,X,X
IZJLOST,O,O,X,X,X,O
IZJSTLO,O,X,X,X,X,O
IZJSTOL,O,X,X,X,X,O
IZJSLTO,O,X,X,X,X,O
IZJSLOT,O,O,X,X,X,O
IZJSOTL,O,X,X,X,X,O
IZJSOLT,O,O,X,X,X,O
IZJOTLS,O,O,X,X,X,X
IZJOTSL,O,X,X,X,X,O
IZJOLTS,O,O,X,X,X,X
IZJOLST,O,O,X,X,X,O
IZJOSTL,O,X,X,X,X,O
IZJOSLT,O,O,X,X,X,O
IZSTLJO,O,X,X,X,X,O
IZSTLOJ,O,X,X,X,X,O
IZSTJLO,O,X,X,X,X,O
IZSTJOL,O,X,X,X,X,O
IZSTOLJ,O,X,X,X,X,O
IZSTOJL,O,X,O,O,X,O
IZSLTJO,O,X,X,X,X,O
IZSLTOJ,O,X,X,O,X,O
IZSLJTO,O,X,X,X,X,O
IZSLJOT,O,O,X,O,X,O
IZSLOTJ,O,X,X,O,X,O
IZSLOJT,O,O,O,O,X,O
IZSJTLO,O,X,X,X,X,O
IZSJTOL,O,X,X,X,X,O
IZSJLTO,O,X,X,X,X,O
IZSJLOT,O,O,X,X,X,O
