sequence,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigBOnB8nB5?oBlpB3qB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFigB2nB5oB3?nB0pBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBlqBiqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8Ke0/IvhFmiB5oB/pBT?nBiqBlqB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeiAJvhF2nB5oBTkB3?nBlqB0pB,v115@ChA8GeC8IeA8BeA8AeA8CeE8KeT/IvhFiiB5oB2qB3?nB0pBlqB
TLIOZSJ,O,O,X,X,X,X
TLJISZO,X,O,X,X,X,X
TLJISOZ,X,X,X,X,O,X
TLJIZSO,O,O,X,X,X,X
TLJIZOS,O,O,X,X,O,X
TLJIOSZ,X,X,X,X,O,X
TLJIOZS,O,O,X,X,O,X
TLJSIZO,X,O,X,X,X,X
TLJSIOZ,X,X,X,X,O,X
TLJSZIO,X,O,X,X,X,X
TLJSZOI,X,O,X,X,X,X
TLJSOIZ,X,X,X,X,O,X
TLJSOZI,X,X,X,X,X,X
TLJZISO,O,O,X,X,X,X
TLJZIOS,O,O,X,X,O,X
TLJZSIO,O,O,X,X,X,X
TLJZSOI,O,O,X,X,X,X
TLJZOIS,O,O,X,X,O,X
TLJZOSI,O,O,X,X,X,X
TLJOISZ,X,X,X,X,O,X
TLJOIZS,O,O,X,X,O,X
TLJOSIZ,X,X,X,X,O,X
TLJOSZI,X,X,X,X,X,X
TLJOZIS,O,O,X,X,O,X
TLJOZSI,O,O,X,X,X,X
TLSIJZO,O,O,X,X,X,X
TLSIJOZ,O,X,X,X,O,X
TLSIZJO,O,O,X,X,X,X
TLSIZOJ,O,O,O,O,X,X
TLSIOJZ,O,X,O,O,O,X
TLSIOZJ,O,X,O,O,X,X
TLSJIZO,O,O,X,X,X,X
TLSJIOZ,O,X,X,X,O,X
TLSJZIO,O,O,X,X,X,X
TLSJZOI,O,O,X,X,X,X
TLSJOIZ,O,X,X,X,O,X
TLSJOZI,O,X,X,X,X,X
TLSZIJO,O,O,X,X,X,X
TLSZIOJ,O,O,O,O,X,X
TLSZJIO,O,O,X,X,X,X
TLSZJOI,O,O,X,X,X,X
TLSZOIJ,O,O,O,O,X,X
TLSZOJI,O,O,O,O,X,X
TLSOIJZ,O,X,O,O,O,X
TLSOIZJ,O,X,O,O,X,X
TLSOJIZ,O,X,O,O,O,X
TLSOJZI,O,X,O,O,X,X
TLSOZIJ,O,X,O,O,X,X
TLSOZJI,O,X,O,O,X,X
TLZIJSO,O,O,X,X,X,X
TLZIJOS,O,O,X,X,O,X
TLZISJO,O,O,X,X,X,X
TLZISOJ,O,O,X,X,X,X
TLZIOJS,O,O,X,X,O,X
TLZIOSJ,O,O,X,X,X,X
TLZJISO,O,O,X,X,X,X
TLZJIOS,O,O,X,X,O,X
TLZJSIO,O,O,X,X,X,X
