sequence,v115@9gB8HeA8GeA8AeA8GeA8AeA8BeB8AeC8KeXAJvhF8l?BanBunB5oB9rBzpB,v115@9gB8HeA8GeA8AeA8GeA8AeA8BeB8AeC8KemAJvhF3i?B5oBqpBTlB9rBUsB,v115@9gB8HeA8GeA8AeA8GeA8AeA8BeB8AeC8KeNFJvhF3h?BunB5oBqpB8rBzqB
IJTLZOS,O,X,O
IJTLOSZ,O,O,X
IJTLOZS,O,O,O
IJTSLZO,O,X,X
IJTSLOZ,O,O,X
IJTSZLO,O,X,X
IJTSZOL,O,X,X
IJTSOLZ,O,X,X
IJTSOZL,O,X,X
IJTZLSO,O,X,O
IJTZLOS,O,X,O
IJTZSLO,O,X,O
IJTZSOL,O,X,X
IJTZOLS,O,X,X
IJTZOSL,O,X,X
IJTOLSZ,O,X,X
IJTOLZS,O,X,X
IJTOSLZ,O,X,X
IJTOSZL,O,X,X
IJTOZLS,O,X,X
IJTOZSL,O,X,X
IJLTSZO,O,X,O
IJLTSOZ,O,O,X
IJLTZSO,O,X,O
IJLTZOS,O,X,O
IJLTOSZ,O,O,X
IJLTOZS,O,O,O
IJLSTZO,O,X,O
IJLSTOZ,O,O,X
IJLSZTO,X,X,O
IJLSZOT,X,X,O
IJLSOTZ,O,O,X
IJLSOZT,X,X,X
IJLZTSO,O,X,O
IJLZTOS,O,X,O
IJLZSTO,O,X,O
IJLZSOT,X,X,O
IJLZOTS,O,X,O
IJLZOST,X,X,O
IJLOTSZ,O,O,X
IJLOTZS,O,O,O
IJLOSTZ,O,O,X
IJLOSZT,O,X,X
IJLOZTS,O,O,O
IJLOZST,O,X,O
IJSTLZO,O,X,X
IJSTLOZ,O,O,X
IJSTZLO,O,X,X
IJSTZOL,O,X,X
IJSTOLZ,O,X,X
IJSTOZL,O,X,X
IJSLTZO,O,X,O
IJSLTOZ,O,O,X
IJSLZTO,X,X,O
IJSLZOT,X,X,O
IJSLOTZ,O,O,X
IJSLOZT,X,X,X
IJSZTLO,O,X,O
IJSZTOL,O,X,X
IJSZLTO,O,X,O
IJSZLOT,X,X,O
IJSZOTL,O,X,X
IJSZOLT,X,X,O
IJSOTLZ,O,X,X
IJSOTZL,O,X,X
IJSOLTZ,O,X,X
IJSOLZT,O,X,X
IJSOZTL,O,X,X
IJSOZLT,O,X,X
IJZTLSO,O,X,O
IJZTLOS,O,X,O
IJZTSLO,O,X,O
IJZTSOL,O,X,X
IJZTOLS,O,X,X
IJZTOSL,O,X,X
IJZLTSO,O,X,O
IJZLTOS,O,X,O
IJZLSTO,O,X,O
IJZLSOT,X,X,O
IJZLOTS,O,X,O
IJZLOST,X,X,O
IJZSTLO,O,X,O
IJZSTOL,O,X,X
IJZSLTO,O,X,O
IJZSLOT,X,X,O
IJZSOTL,O,X,X
IJZSOLT,X,X,O
IJZOTLS,O,X,X
IJZOTSL,O,X,X
IJZOLTS,O,X,O
IJZOLST,O,X,O
IJZOSTL,O,X,X
IJZOSLT,O,X,O
IJOTLSZ,O,X,X
IJOTLZS,O,X,X
IJOTSLZ,O,X,X
IJOTSZL,O,X,X
IJOTZLS,O,X,X
IJOTZSL,O,X,X
IJOLTSZ,O,X,X
IJOLTZS,O,X,O
IJOLSTZ,O,X,X
IJOLSZT,O,X,X
IJOLZTS,O,X,O
IJOLZST,O,X,O
IJOSTLZ,O,X,X
IJOSTZL,O,X,X
IJOSLTZ,O,X,X
IJOSLZT,O,X,X
IJOSZTL,O,X,X
IJOSZLT,O,X,X
IJOZTLS,O,X,X
IJOZTSL,O,X,X
IJOZLTS,O,X,O
IJOZLST,O,X,O
IJOZSTL,O,X,X
IJOZSLT,O,X,O
ISTLJZO,O,X,X
ISTLJOZ,O,O,X
ISTLZJO,O,X,X
ISTLZOJ,O,O,X
ISTLOJZ,O,O,X
ISTLOZJ,O,O,X
ISTJLZO,O,X,X
ISTJLOZ,O,O,X
ISTJZLO,O,X,X
ISTJZOL,O,X,X
ISTJOLZ,O,X,X
ISTJOZL,O,X,X
ISTZLJO,O,X,X
ISTZLOJ,O,O,X
ISTZJLO,O,X,X
ISTZJOL,O,X,X
ISTZOLJ,O,X,X
ISTZOJL,O,X,X
ISTOLJZ,O,O,X
ISTOLZJ,O,O,X
ISTOJLZ,O,X,X
ISTOJZL,O,X,X
ISTOZLJ,O,X,X
ISTOZJL,O,X,X
ISLTJZO,O,X,O
ISLTJOZ,O,O,X
ISLTZJO,O,X,O
ISLTZOJ,O,O,O
ISLTOJZ,O,O,X
ISLTOZJ,O,O,X
ISLJTZO,O,X,O
ISLJTOZ,O,O,X
ISLJZTO,X,X,O
ISLJZOT,X,X,O
ISLJOTZ,O,O,X
ISLJOZT,X,X,X
ISLZTJO,X,X,O
ISLZTOJ,X,O,O
ISLZJTO,X,X,O
ISLZJOT,X,X,O
ISLZOTJ,X,O,O
ISLZOJT,X,X,O
ISLOTJZ,O,O,X
ISLOTZJ,O,O,X
ISLOJTZ,O,O,X
ISLOJZT,X,X,X
ISLOZTJ,X,O,X
ISLOZJT,X,X,X
ISJTLZO,O,X,X
ISJTLOZ,O,O,X
ISJTZLO,O,X,X
ISJTZOL,O,X,X
ISJTOLZ,O,X,X
ISJTOZL,O,X,X
ISJLTZO,O,X,O
ISJLTOZ,O,O,X
ISJLZTO,X,X,O
ISJLZOT,X,X,O
ISJLOTZ,O,O,X
ISJLOZT,X,X,X
ISJZTLO,O,X,O
ISJZTOL,O,X,X
ISJZLTO,O,X,O
ISJZLOT,X,X,O
ISJZOTL,O,X,X
ISJZOLT,X,X,O
ISJOTLZ,O,X,X
ISJOTZL,O,X,X
ISJOLTZ,O,X,X
ISJOLZT,O,X,X
ISJOZTL,O,X,X
ISJOZLT,O,X,X
ISZTLJO,O,X,O
ISZTLOJ,O,O,O
ISZTJLO,O,X,O
ISZTJOL,O,X,X
ISZTOLJ,O,X,X
ISZTOJL,O,X,X
ISZLTJO,O,X,O
ISZLTOJ,O,O,O
ISZLJTO,O,X,O
ISZLJOT,X,X,O
ISZLOTJ,X,O,O
ISZLOJT,X,X,O
ISZJTLO,O,X,O
ISZJTOL,O,X,X
ISZJLTO,O,X,O
ISZJLOT,X,X,O
ISZJOTL,O,X,X
ISZJOLT,X,X,O
ISZOTLJ,O,X,X
ISZOTJL,O,X,X
ISZOLTJ,X,X,O
ISZOLJT,X,X,O
ISZOJTL,O,X,X
ISZOJLT,X,X,O
ISOTLJZ,O,O,X
ISOTLZJ,O,O,X
ISOTJLZ,O,X,X
ISOTJZL,O,X,X
ISOTZLJ,O,X,X
ISOTZJL,O,X,X
ISOLTJZ,O,O,X
ISOLTZJ,O,O,X
ISOLJTZ,O,O,X
ISOLJZT,O,X,X
ISOLZTJ,O,O,X
ISOLZJT,O,X,X
ISOJTLZ,O,X,X
ISOJTZL,O,X,X
ISOJLTZ,O,X,X
ISOJLZT,O,X,X
ISOJZTL,O,X,X
ISOJZLT,O,X,X
ISOZTLJ,O,X,X
ISOZTJL,O,X,X
ISOZLTJ,O,X,X
ISOZLJT,O,X,X
ISOZJTL,O,X,X
ISOZJLT,O,X,X
IZTLJSO,O,X,O
IZTLJOS,O,X,O
IZTLSJO,O,X,O
IZTLSOJ,O,O,O
IZTLOJS,O,O,O
IZTLOSJ,O,O,O
IZTJLSO,O,X,O
IZTJLOS,O,X,O
IZTJSLO,O,X,O
IZTJSOL,O,X,X
IZTJOLS,O,X,X
IZTJOSL,O,X,X
IZTSLJO,O,X,O
IZTSLOJ,O,O,O
IZTSJLO,O,X,O
IZTSJOL,O,X,X
IZTSOLJ,O,X,X
IZTSOJL,O,X,X
IZTOLJS,O,X,X
IZTOLSJ,O,X,X
IZTOJLS,O,X,X
IZTOJSL,O,X,X
IZTOSLJ,O,X,X
IZTOSJL,O,X,X
IZLTJSO,O,X,O
IZLTJOS,O,X,O
IZLTSJO,O,X,O
IZLTSOJ,O,O,O
IZLTOJS,O,O,O
IZLTOSJ,O,O,O
IZLJTSO,O,X,O
IZLJTOS,O,X,O
IZLJSTO,O,X,O
IZLJSOT,X,X,O
IZLJOTS,O,X,O
IZLJOST,X,X,O
IZLSTJO,O,X,O
IZLSTOJ,O,O,O
IZLSJTO,O,X,O
IZLSJOT,X,X,O
IZLSOTJ,X,O,O
IZLSOJT,X,X,O
IZLOTJS,O,O,O
IZLOTSJ,O,O,O
IZLOJTS,O,O,O
IZLOJST,X,X,O
IZLOSTJ,X,O,O
IZLOSJT,X,X,O
IZJTLSO,O,X,O
IZJTLOS,O,X,O
IZJTSLO,O,X,O
IZJTSOL,O,X,X
IZJTOLS,O,X,X
IZJTOSL,O,X,X
IZJLTSO,O,X,O
IZJLTOS,O,X,O
IZJLSTO,O,X,O
IZJLSOT,X,X,O
IZJLOTS,O,X,O
IZJLOST,X,X,O
IZJSTLO,O,X,O
IZJSTOL,O,X,X
IZJSLTO,O,X,O
IZJSLOT,X,X,O
IZJSOTL,O,X,X
IZJSOLT,X,X,O
IZJOTLS,O,X,X
IZJOTSL,O,X,X
IZJOLTS,O,X,O
IZJOLST,O,X,O
IZJOSTL,O,X,X
IZJOSLT,O,X,O
IZSTLJO,O,X,O
IZSTLOJ,O,O,O
IZSTJLO,O,X,O
IZSTJOL,O,X,X
IZSTOLJ,O,X,X
IZSTOJL,O,X,X
IZSLTJO,O,X,O
IZSLTOJ,O,O,O
IZSLJTO,O,X,O
IZSLJOT,X,X,O
IZSLOTJ,X,O,O
IZSLOJT,X,X,O
IZSJTLO,O,X,O
IZSJTOL,O,X,X
IZSJLTO,O,X,O
IZSJLOT,X,X,O
IZSJOTL,O,X,X
IZSJOLT,X,X,O
IZSOTLJ,O,X,X
IZSOTJL,O,X,X
IZSOLTJ,X,X,O
IZSOLJT,X,X,O
IZSOJTL,O,X,X
IZSOJLT,X,X,O
IZOTLJS,O,X,X
IZOTLSJ,O,X,X
IZOTJLS,O,X,X
IZOTJSL,O,X,X
IZOTSLJ,O,X,X
IZOTSJL,O,X,X
IZOLTJS,O,X,O
IZOLTSJ,O,X,O
IZOLJTS,O,X,O
IZOLJST,O,X,O
IZOLSTJ,O,X,O
IZOLSJT,O,X,O
IZOJTLS,O,X,X
IZOJTSL,O,X,X
IZOJLTS,O,X,O
IZOJLST,O,X,O
IZOJSTL,O,X,X
IZOJSLT,O,X,O
IZOSTLJ,O,X,X
IZOSTJL,O,X,X
IZOSLTJ,O,X,O
IZOSLJT,O,X,O
IZOSJTL,O,X,X
IZOSJLT,O,X,O
IOTLJSZ,O,O,X
IOTLJZS,O,O,X
IOTLSJZ,O,O,X
IOTLSZJ,O,O,X
IOTLZJS,O,O,X
IOTLZSJ,O,O,X
IOTJLSZ,O,X,X
IOTJLZS,O,X,X
IOTJSLZ,O,X,X
IOTJSZL,O,X,X
IOTJZLS,O,X,X
IOTJZSL,O,X,X
IOTSLJZ,O,O,X
IOTSLZJ,O,O,X
IOTSJLZ,O,X,X
IOTSJZL,O,X,X
IOTSZLJ,O,X,X
IOTSZJL,O,X,X
IOTZLJS,O,X,X
IOTZLSJ,O,X,X
IOTZJLS,O,X,X
IOTZJSL,O,X,X
IOTZSLJ,O,X,X
IOTZSJL,O,X,X
IOLTJSZ,O,O,X
IOLTJZS,O,O,O
IOLTSJZ,O,O,X
IOLTSZJ,O,O,X
IOLTZJS,O,O,O
IOLTZSJ,O,O,O
IOLJTSZ,O,O,X
IOLJTZS,O,O,O
IOLJSTZ,O,O,X
IOLJSZT,O,X,X
IOLJZTS,O,O,O
IOLJZST,O,X,O
IOLSTJZ,O,O,X
IOLSTZJ,O,O,X
IOLSJTZ,O,O,X
IOLSJZT,O,X,X
IOLSZTJ,O,O,X
IOLSZJT,O,X,X
IOLZTJS,O,O,O
IOLZTSJ,O,O,O
IOLZJTS,O,O,O
IOLZJST,O,X,O
IOLZSTJ,O,O,O
IOLZSJT,O,X,O
IOJTLSZ,O,X,X
IOJTLZS,O,X,X
IOJTSLZ,O,X,X
IOJTSZL,O,X,X
IOJTZLS,O,X,X
IOJTZSL,O,X,X
IOJLTSZ,O,X,X
IOJLTZS,O,X,O
IOJLSTZ,O,X,X
IOJLSZT,O,X,X
IOJLZTS,O,X,O
IOJLZST,O,X,O
IOJSTLZ,O,X,X
IOJSTZL,O,X,X
IOJSLTZ,O,X,X
IOJSLZT,O,X,X
IOJSZTL,O,X,X
IOJSZLT,O,X,X
IOJZTLS,O,X,X
IOJZTSL,O,X,X
IOJZLTS,O,X,O
IOJZLST,O,X,O
IOJZSTL,O,X,X
IOJZSLT,O,X,O
IOSTLJZ,O,O,X
IOSTLZJ,O,O,X
IOSTJLZ,O,X,X
IOSTJZL,O,X,X
IOSTZLJ,O,X,X
IOSTZJL,O,X,X
IOSLTJZ,O,O,X
IOSLTZJ,O,O,X
IOSLJTZ,O,O,X
IOSLJZT,O,X,X
IOSLZTJ,O,O,X
IOSLZJT,O,X,X
IOSJTLZ,O,X,X
IOSJTZL,O,X,X
IOSJLTZ,O,X,X
IOSJLZT,O,X,X
IOSJZTL,O,X,X
IOSJZLT,O,X,X
IOSZTLJ,O,X,X
IOSZTJL,O,X,X
IOSZLTJ,O,X,X
IOSZLJT,O,X,X
IOSZJTL,O,X,X
IOSZJLT,O,X,X
IOZTLJS,O,X,X
IOZTLSJ,O,X,X
IOZTJLS,O,X,X
IOZTJSL,O,X,X
IOZTSLJ,O,X,X
IOZTSJL,O,X,X
IOZLTJS,O,X,O
IOZLTSJ,O,X,O
IOZLJTS,O,X,O
IOZLJST,O,X,O
IOZLSTJ,O,X,O
IOZLSJT,O,X,O
IOZJTLS,O,X,X
IOZJTSL,O,X,X
IOZJLTS,O,X,O
IOZJLST,O,X,O
IOZJSTL,O,X,X
IOZJSLT,O,X,O
IOZSTLJ,O,X,X
IOZSTJL,O,X,X
IOZSLTJ,O,X,O
IOZSLJT,O,X,O
IOZSJTL,O,X,X
IOZSJLT,O,X,O
LTIJSZO,O,X,O
LTIJSOZ,O,O,X
LTIJZSO,O,X,O
LTIJZOS,O,X,O
LTIJOSZ,O,O,X
LTIJOZS,O,O,O
LTISJZO,O,X,O
LTISJOZ,O,O,X
LTISZJO,O,X,O
LTISZOJ,O,O,O
LTISOJZ,O,O,X
LTISOZJ,O,O,X
LTIZJSO,O,X,O
LTIZJOS,O,X,O
LTIZSJO,O,X,O
LTIZSOJ,O,O,O
LTIZOJS,O,O,O
LTIZOSJ,O,O,O
LTIOJSZ,O,O,X
LTIOJZS,O,O,O
LTIOSJZ,O,O,X
LTIOSZJ,O,O,X
LTIOZJS,O,O,O
LTIOZSJ,O,O,O
LTJISZO,O,X,O
LTJISOZ,O,O,X
LTJIZSO,O,X,O
LTJIZOS,O,X,O
LTJIOSZ,O,O,X
LTJIOZS,O,O,O
LTJSIZO,O,X,O
LTJSIOZ,O,O,X
LTJSZIO,O,X,O
LTJSZOI,O,X,O
LTJSOIZ,O,O,X
LTJSOZI,O,O,X
LTJZISO,O,X,O
LTJZIOS,O,X,O
LTJZSIO,O,X,O
LTJZSOI,O,X,O
LTJZOIS,O,X,O
LTJZOSI,O,X,O
LTJOISZ,O,O,X
LTJOIZS,O,O,O
LTJOSIZ,O,O,X
LTJOSZI,O,O,X
LTJOZIS,O,O,O
LTJOZSI,O,O,O
LTSIJZO,O,X,O
LTSIJOZ,O,O,X
LTSIZJO,O,X,O
LTSIZOJ,O,O,O
LTSIOJZ,O,O,X
LTSIOZJ,O,O,X
LTSJIZO,O,X,O
LTSJIOZ,O,O,X
LTSJZIO,O,X,O
LTSJZOI,O,X,O
LTSJOIZ,O,O,X
LTSJOZI,O,O,X
LTSZIJO,O,X,O
LTSZIOJ,O,O,O
LTSZJIO,O,X,O
LTSZJOI,O,X,O
LTSZOIJ,O,O,O
LTSZOJI,O,O,O
LTSOIJZ,O,O,X
LTSOIZJ,O,O,X
LTSOJIZ,O,O,X
LTSOJZI,O,O,X
LTSOZIJ,O,O,X
LTSOZJI,O,O,X
LTZIJSO,O,X,O
LTZIJOS,O,X,O
LTZISJO,O,X,O
LTZISOJ,O,O,O
LTZIOJS,O,O,O
LTZIOSJ,O,O,O
LTZJISO,O,X,O
LTZJIOS,O,X,O
LTZJSIO,O,X,O
LTZJSOI,O,X,O
LTZJOIS,O,X,O
LTZJOSI,O,X,O
LTZSIJO,O,X,O
LTZSIOJ,O,O,O
LTZSJIO,O,X,O
LTZSJOI,O,X,O
LTZSOIJ,O,O,O
LTZSOJI,O,O,O
LTZOIJS,O,O,O
LTZOISJ,O,O,O
LTZOJIS,O,O,O
LTZOJSI,O,O,O
LTZOSIJ,O,O,O
LTZOSJI,O,O,O
LTOIJSZ,O,O,X
LTOIJZS,O,O,O
LTOISJZ,O,O,X
LTOISZJ,O,O,X
LTOIZJS,O,O,O
LTOIZSJ,O,O,O
LTOJISZ,O,O,X
LTOJIZS,O,O,O
LTOJSIZ,O,O,X
LTOJSZI,O,O,X
LTOJZIS,O,O,O
LTOJZSI,O,O,O
LTOSIJZ,O,O,X
LTOSIZJ,O,O,X
LTOSJIZ,O,O,X
LTOSJZI,O,O,X
LTOSZIJ,O,O,X
LTOSZJI,O,O,X
LTOZIJS,O,O,O
LTOZISJ,O,O,O
LTOZJIS,O,O,O
LTOZJSI,O,O,O
LTOZSIJ,O,O,O
LTOZSJI,O,O,O
LITJSZO,O,X,O
LITJSOZ,O,O,X
LITJZSO,O,X,O
LITJZOS,O,X,O
LITJOSZ,O,O,X
LITJOZS,O,O,O
LITSJZO,O,X,O
LITSJOZ,O,O,X
LITSZJO,O,X,O
LITSZOJ,O,O,O
LITSOJZ,O,O,X
LITSOZJ,O,O,X
LITZJSO,O,X,O
LITZJOS,O,X,O
LITZSJO,O,X,O
LITZSOJ,O,O,O
LITZOJS,O,O,O
LITZOSJ,O,O,O
LITOJSZ,O,O,X
LITOJZS,O,O,O
LITOSJZ,O,O,X
LITOSZJ,O,O,X
LITOZJS,O,O,O
LITOZSJ,O,O,O
LIJTSZO,O,X,O
LIJTSOZ,O,O,X
LIJTZSO,O,X,O
LIJTZOS,O,X,O
LIJTOSZ,O,O,X
LIJTOZS,O,O,O
LIJSTZO,O,X,O
LIJSTOZ,O,O,X
LIJSZTO,X,X,O
LIJSZOT,X,X,O
LIJSOTZ,O,O,X
LIJSOZT,X,X,X
LIJZTSO,O,X,O
LIJZTOS,O,X,O
LIJZSTO,O,X,O
LIJZSOT,X,X,O
LIJZOTS,O,X,O
LIJZOST,X,X,O
LIJOTSZ,O,O,X
LIJOTZS,O,O,O
LIJOSTZ,O,O,X
LIJOSZT,O,X,X
LIJOZTS,O,O,O
LIJOZST,O,X,O
LISTJZO,O,X,O
LISTJOZ,O,O,X
LISTZJO,O,X,O
LISTZOJ,O,O,O
LISTOJZ,O,O,X
LISTOZJ,O,O,X
LISJTZO,O,X,O
LISJTOZ,O,O,X
LISJZTO,X,X,O
LISJZOT,X,X,O
LISJOTZ,O,O,X
LISJOZT,X,X,X
LISZTJO,X,X,O
LISZTOJ,X,O,O
LISZJTO,X,X,O
LISZJOT,X,X,O
LISZOTJ,X,O,O
LISZOJT,X,X,O
LISOTJZ,O,O,X
LISOTZJ,O,O,X
LISOJTZ,O,O,X
LISOJZT,X,X,X
LISOZTJ,X,O,X
LISOZJT,X,X,X
LIZTJSO,O,X,O
LIZTJOS,O,X,O
LIZTSJO,O,X,O
LIZTSOJ,O,O,O
LIZTOJS,O,O,O
LIZTOSJ,O,O,O
LIZJTSO,O,X,O
LIZJTOS,O,X,O
LIZJSTO,O,X,O
LIZJSOT,X,X,O
LIZJOTS,O,X,O
LIZJOST,X,X,O
LIZSTJO,O,X,O
LIZSTOJ,O,O,O
LIZSJTO,O,X,O
LIZSJOT,X,X,O
LIZSOTJ,X,O,O
LIZSOJT,X,X,O
LIZOTJS,O,O,O
LIZOTSJ,O,O,O
LIZOJTS,O,O,O
LIZOJST,X,X,O
LIZOSTJ,X,O,O
LIZOSJT,X,X,O
LIOTJSZ,O,O,X
LIOTJZS,O,O,O
LIOTSJZ,O,O,X
LIOTSZJ,O,O,X
LIOTZJS,O,O,O
LIOTZSJ,O,O,O
LIOJTSZ,O,O,X
LIOJTZS,O,O,O
LIOJSTZ,O,O,X
LIOJSZT,O,X,X
LIOJZTS,O,O,O
LIOJZST,O,X,O
LIOSTJZ,O,O,X
LIOSTZJ,O,O,X
LIOSJTZ,O,O,X
LIOSJZT,O,X,X
LIOSZTJ,O,O,X
LIOSZJT,O,X,X
LIOZTJS,O,O,O
LIOZTSJ,O,O,O
LIOZJTS,O,O,O
LIOZJST,O,X,O
LIOZSTJ,O,O,O
LIOZSJT,O,X,O
LJTISZO,O,X,O
LJTISOZ,O,O,X
LJTIZSO,O,X,O
LJTIZOS,O,X,O
LJTIOSZ,O,O,X
LJTIOZS,O,O,O
LJTSIZO,O,X,O
LJTSIOZ,O,O,X
LJTSZIO,O,X,O
LJTSZOI,O,X,O
LJTSOIZ,O,O,X
LJTSOZI,O,O,X
LJTZISO,O,X,O
LJTZIOS,O,X,O
LJTZSIO,O,X,O
LJTZSOI,O,X,O
LJTZOIS,O,X,O
LJTZOSI,O,X,O
LJTOISZ,O,O,X
LJTOIZS,O,O,O
LJTOSIZ,O,O,X
LJTOSZI,O,O,X
LJTOZIS,O,O,O
LJTOZSI,O,O,O
LJITSZO,O,X,O
LJITSOZ,O,O,X
LJITZSO,O,X,O
LJITZOS,O,X,O
LJITOSZ,O,O,X
LJITOZS,O,O,O
LJISTZO,O,X,O
LJISTOZ,O,O,X
LJISZTO,X,X,O
LJISZOT,X,X,O
LJISOTZ,O,O,X
LJISOZT,X,X,X
LJIZTSO,O,X,O
LJIZTOS,O,X,O
LJIZSTO,O,X,O
LJIZSOT,X,X,O
LJIZOTS,O,X,O
LJIZOST,X,X,O
LJIOTSZ,O,O,X
LJIOTZS,O,O,O
LJIOSTZ,O,O,X
LJIOSZT,O,X,X
LJIOZTS,O,O,O
LJIOZST,O,X,O
LJSTIZO,O,X,O
LJSTIOZ,O,O,X
LJSTZIO,O,X,O
LJSTZOI,O,X,O
LJSTOIZ,O,O,X
LJSTOZI,O,O,X
LJSITZO,O,X,O
LJSITOZ,O,O,X
LJSIZTO,X,X,O
LJSIZOT,X,X,O
LJSIOTZ,O,O,X
LJSIOZT,X,X,X
LJSZTIO,X,X,O
LJSZTOI,X,X,O
LJSZITO,X,X,O
LJSZIOT,X,X,O
LJSZOTI,X,X,O
LJSZOIT,X,X,O
LJSOTIZ,O,O,X
LJSOTZI,O,O,X
LJSOITZ,O,O,X
LJSOIZT,X,X,X
LJSOZTI,X,X,X
LJSOZIT,X,X,X
LJZTISO,O,X,O
LJZTIOS,O,X,O
LJZTSIO,O,X,O
LJZTSOI,O,X,O
LJZTOIS,O,X,O
LJZTOSI,O,X,O
LJZITSO,O,X,O
LJZITOS,O,X,O
LJZISTO,O,X,O
LJZISOT,X,X,O
LJZIOTS,O,X,O
LJZIOST,X,X,O
LJZSTIO,O,X,O
LJZSTOI,O,X,O
LJZSITO,O,X,O
LJZSIOT,X,X,O
LJZSOTI,X,X,O
LJZSOIT,X,X,O
LJZOTIS,O,X,O
LJZOTSI,O,X,O
LJZOITS,O,X,O
LJZOIST,X,X,O
LJZOSTI,X,X,O
LJZOSIT,X,X,O
LJOTISZ,O,O,X
LJOTIZS,O,O,O
LJOTSIZ,O,O,X
LJOTSZI,O,O,X
LJOTZIS,O,O,O
LJOTZSI,O,O,O
LJOITSZ,O,O,X
LJOITZS,O,O,O
LJOISTZ,O,O,X
LJOISZT,O,X,X
LJOIZTS,O,O,O
LJOIZST,O,X,O
LJOSTIZ,O,O,X
LJOSTZI,O,O,X
LJOSITZ,O,O,X
LJOSIZT,O,X,X
LJOSZTI,O,X,X
LJOSZIT,O,X,X
LJOZTIS,O,O,O
LJOZTSI,O,O,O
LJOZITS,O,O,O
LJOZIST,O,X,O
LJOZSTI,O,X,O
LJOZSIT,O,X,O
LSTIJZO,O,X,O
LSTIJOZ,O,O,X
LSTIZJO,O,X,O
LSTIZOJ,O,O,O
LSTIOJZ,O,O,X
LSTIOZJ,O,O,X
LSTJIZO,O,X,O
LSTJIOZ,O,O,X
LSTJZIO,O,X,O
LSTJZOI,O,X,O
LSTJOIZ,O,O,X
LSTJOZI,O,O,X
LSTZIJO,O,X,O
LSTZIOJ,O,O,O
LSTZJIO,O,X,O
LSTZJOI,O,X,O
LSTZOIJ,O,O,O
LSTZOJI,O,O,O
LSTOIJZ,O,O,X
LSTOIZJ,O,O,X
LSTOJIZ,O,O,X
LSTOJZI,O,O,X
LSTOZIJ,O,O,X
LSTOZJI,O,O,X
LSITJZO,O,X,O
LSITJOZ,O,O,X
LSITZJO,O,X,O
LSITZOJ,O,O,O
LSITOJZ,O,O,X
LSITOZJ,O,O,X
LSIJTZO,O,X,O
LSIJTOZ,O,O,X
LSIJZTO,X,X,O
LSIJZOT,X,X,O
LSIJOTZ,O,O,X
LSIJOZT,X,X,X
LSIZTJO,X,X,O
LSIZTOJ,X,O,O
LSIZJTO,X,X,O
LSIZJOT,X,X,O
LSIZOTJ,X,O,O
LSIZOJT,X,X,O
LSIOTJZ,O,O,X
LSIOTZJ,O,O,X
LSIOJTZ,O,O,X
LSIOJZT,X,X,X
LSIOZTJ,X,O,X
LSIOZJT,X,X,X
LSJTIZO,O,X,O
LSJTIOZ,O,O,X
LSJTZIO,O,X,O
LSJTZOI,O,X,O
LSJTOIZ,O,O,X
LSJTOZI,O,O,X
LSJITZO,O,X,O
LSJITOZ,O,O,X
LSJIZTO,X,X,O
LSJIZOT,X,X,O
LSJIOTZ,O,O,X
LSJIOZT,X,X,X
LSJZTIO,X,X,O
LSJZTOI,X,X,O
LSJZITO,X,X,O
LSJZIOT,X,X,O
LSJZOTI,X,X,O
LSJZOIT,X,X,O
LSJOTIZ,O,O,X
LSJOTZI,O,O,X
LSJOITZ,O,O,X
LSJOIZT,X,X,X
LSJOZTI,X,X,X
LSJOZIT,X,X,X
LSZTIJO,X,X,O
LSZTIOJ,X,O,O
LSZTJIO,X,X,O
LSZTJOI,X,X,O
LSZTOIJ,X,O,O
LSZTOJI,X,O,O
LSZITJO,X,X,O
LSZITOJ,X,O,O
LSZIJTO,X,X,O
LSZIJOT,X,X,O
LSZIOTJ,X,O,O
LSZIOJT,X,X,O
LSZJTIO,X,X,O
LSZJTOI,X,X,O
LSZJITO,X,X,O
LSZJIOT,X,X,O
LSZJOTI,X,X,O
LSZJOIT,X,X,O
LSZOTIJ,X,O,O
LSZOTJI,X,O,O
LSZOITJ,X,O,O
LSZOIJT,X,X,O
LSZOJTI,X,X,O
LSZOJIT,X,X,O
LSOTIJZ,O,O,X
LSOTIZJ,O,O,X
LSOTJIZ,O,O,X
LSOTJZI,O,O,X
LSOTZIJ,O,O,X
LSOTZJI,O,O,X
LSOITJZ,O,O,X
LSOITZJ,O,O,X
LSOIJTZ,O,O,X
LSOIJZT,X,X,X
LSOIZTJ,X,O,X
LSOIZJT,X,X,X
LSOJTIZ,O,O,X
LSOJTZI,O,O,X
LSOJITZ,O,O,X
LSOJIZT,X,X,X
LSOJZTI,X,X,X
LSOJZIT,X,X,X
LSOZTIJ,X,O,X
LSOZTJI,X,O,X
LSOZITJ,X,O,X
LSOZIJT,X,X,X
LSOZJTI,X,X,X
LSOZJIT,X,X,X
LZTIJSO,O,X,O
LZTIJOS,O,X,O
LZTISJO,O,X,O
LZTISOJ,O,O,O
LZTIOJS,O,O,O
LZTIOSJ,O,O,O
LZTJISO,O,X,O
LZTJIOS,O,X,O
LZTJSIO,O,X,O
LZTJSOI,O,X,O
LZTJOIS,O,X,O
LZTJOSI,O,X,O
LZTSIJO,O,X,O
LZTSIOJ,O,O,O
LZTSJIO,O,X,O
LZTSJOI,O,X,O
LZTSOIJ,O,O,O
