sequence,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JefFJvhF0gBlhB?xnBGoBCrBzsB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhF3hBFjB?6sBctBxqBuqB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhF1mB0iB?StBxqBuqBXtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JefFJvhF0gBxhB?TjBCrBFtBGsB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhF0iBRmB?StBGmBlqBXtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhF3hBlnB?ctBxqBuqBCtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhFRhB3iB?GmBlqBCtBctB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JeRAJvhFTjBFlB?8qBGnBCnBXtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JefFJvhF0hBxiB?VrBGoBzsB6qB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhFXjBRmB?StBGmBlqB0sB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhF1mBXjB?StBxqBuqB0sB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhF3hBFjB?StBxqBuqB0sB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8Jez/IvhFXjBRmB?ctBGmB6sBlqB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JeWFJvhFRhBFjB?TmB6sBctB/qB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JefFJvhFlgBumB?8qBxnBqsBTtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JeTDJvhFRlBGnB?FlB8qBCnBXtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JeSIJvhFUlBRmB?TmBlnBXtBGqB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JeRFJvhFGnBToB?FlB8qBCnBXtB,v115@9gA8IeA8IeB8DeA8CeC8AeC8BeA8JefFJvhFTjBRmB?WtBSrBlqB0sB
TILJSZO,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TILJSOZ,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TILJZSO,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TILJZOS,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TILJOSZ,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TILJOZS,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TILSJZO,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILSJOZ,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILSZJO,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILSZOJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILSOJZ,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILSOZJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILZJSO,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILZJOS,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILZSJO,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILZSOJ,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TILZOJS,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILZOSJ,X,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TILOJSZ,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TILOJZS,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TILOSJZ,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILOSZJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TILOZJS,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILOZSJ,X,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TIJLSZO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIJLZSO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZOS,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIJLOZS,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJSZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TIJSOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJZLSO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIJZOLS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIJOLZS,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TIJOSLZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TIJOSZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIJOZSL,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TISLJZO,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TISLJOZ,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TISLZJO,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TISLZOJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TISLOJZ,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TISLOZJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TISJLZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJOLZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TISJOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TISZLJO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TISZLOJ,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TISZJLO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISZJOL,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TISZOLJ,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISZOJL,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TISOLJZ,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TISOLZJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TISOJZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TISOZLJ,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOZJL,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZLJSO,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLJOS,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSJO,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,X,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZLOJS,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,X,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZJLSO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZJSOL,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIZJOLS,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZSLJO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TIZSLOJ,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TIZSJLO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSJOL,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIZSOLJ,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZSOJL,O,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TIZOLJS,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,X,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TIZOJLS,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZOSLJ,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOSJL,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TIOLJZS,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TIOLSJZ,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOLSZJ,X,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOLZJS,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOLZSJ,X,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIOJLZS,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X
TIOJSLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TIOJZSL,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X
TIOSLJZ,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOSLZJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSZJL,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOZLJS,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TIOZJLS,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIOZSLJ,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOZSJL,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIJSZO,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLIJSOZ,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TLIJZSO,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLIJZOS,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLIJOSZ,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TLIJOZS,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLISJZO,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLISJOZ,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLISZJO,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLISZOJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLISOJZ,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLISOZJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIZJSO,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIZJOS,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIZSJO,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIZSOJ,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TLIZOJS,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIZOSJ,X,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TLIOJZS,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIOSZJ,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TLIOZJS,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TLIOZSJ,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TLJISZO,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLJISOZ,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TLJIZSO,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLJIZOS,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLJIOSZ,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TLJIOZS,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TLJSIZO,O,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLJSZIO,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLJSOZI,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,X,O,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
