sequence,v115@ShC8EeF8BeC8JeNEJvhFUgBGhBZnBqnBTjB/rB,v115@ShC8EeF8BeC8JeOEJvhFXgBdmB5mBcoBTnBisB,v115@ShC8EeF8BeC8JeOEJvhFXgBdmBRiBcoBSsBzrB,v115@ShC8EeF8BeC8JeOEJvhFXgBdmBRiBcoBqrBTsB,v115@ShC8EeF8BeC8JeNEJvhFUgBRhBCjBTmBesBXtB,v115@ShC8EeF8BeC8JeNEJvhFUgBamBWnBxiBXoBzrB,v115@ShC8EeF8BeC8JeNEJvhFUgBZnBCjBTmBXoBGrB
TIOSJZL,X,O,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,X,O
TIOSZJL,X,O,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,X
TIOZJSL,X,O,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X,O
TIOZSJL,X,O,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X
TLISJZO,O,X,X,X,X,X,X
TLISJOZ,O,X,X,X,X,X,X
TLISZJO,O,X,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X,X
TLISOJZ,O,X,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X
TLIZSJO,O,X,X,X,X,X,X
TLIZSOJ,O,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X
TLIZOSJ,O,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X
TLIOSJZ,O,X,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,X,X
TLIOZSJ,O,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X
TLJSIZO,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,X
TLJSZIO,X,X,O,O,X,X,X
TLJSZOI,X,X,O,O,X,X,X
TLJSOIZ,X,X,X,X,X,X,X
TLJSOZI,X,X,X,O,X,X,X
TLJZISO,X,X,O,O,X,X,X
TLJZIOS,X,X,X,X,X,X,X
TLJZSIO,X,X,O,O,X,X,X
TLJZSOI,X,X,O,O,X,X,X
TLJZOIS,X,X,O,O,X,X,X
TLJZOSI,X,X,O,O,X,X,X
TLJOISZ,X,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,X,X
TLJOSZI,X,X,X,O,X,X,X
TLJOZIS,X,X,X,O,X,X,X
TLJOZSI,X,X,X,O,X,X,X
TLSIJZO,O,X,X,X,X,O,X
TLSIJOZ,O,X,X,X,X,X,X
TLSIZJO,O,X,X,X,X,O,X
TLSIZOJ,O,X,X,X,X,X,X
TLSIOJZ,O,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X,X
TLSJIZO,O,X,X,X,X,O,X
TLSJIOZ,O,X,X,X,X,X,X
TLSJZIO,O,X,O,O,X,O,X
TLSJZOI,O,X,O,O,X,X,X
TLSJOIZ,O,X,X,X,X,X,X
TLSJOZI,O,X,X,O,X,X,X
TLSZIJO,O,X,O,O,X,O,X
TLSZIOJ,O,X,X,X,X,X,X
TLSZJIO,O,X,O,O,X,O,X
TLSZJOI,O,X,O,O,X,X,X
TLSZOIJ,O,X,X,O,X,O,X
TLSZOJI,O,X,X,O,X,O,X
TLSOIJZ,O,X,X,X,X,O,X
TLSOIZJ,O,X,X,X,X,O,X
TLSOJIZ,O,X,X,X,X,O,X
TLSOJZI,O,X,X,O,X,O,X
TLSOZIJ,O,X,X,O,X,O,X
TLSOZJI,O,X,X,O,X,O,X
TLZIJSO,X,X,O,O,X,X,X
TLZIJOS,X,X,X,X,X,X,X
TLZISJO,O,X,O,O,X,X,X
TLZISOJ,O,X,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X
TLZIOSJ,O,X,X,X,X,X,X
TLZJISO,X,X,O,O,X,X,X
TLZJIOS,X,X,X,X,X,X,X
TLZJSIO,X,X,O,O,X,X,X
TLZJSOI,X,X,O,O,X,X,X
TLZJOIS,X,X,O,O,X,X,X
TLZJOSI,X,X,O,O,X,X,X
TLZSIJO,O,X,O,O,X,O,X
TLZSIOJ,O,X,X,X,X,X,X
TLZSJIO,O,X,O,O,X,O,X
TLZSJOI,O,X,O,O,X,X,X
TLZSOIJ,O,X,X,O,X,O,X
TLZSOJI,O,X,X,O,X,O,X
TLZOIJS,X,X,X,O,X,X,X
TLZOISJ,O,X,X,O,X,X,X
TLZOJIS,X,X,X,O,X,O,X
TLZOJSI,X,X,X,O,X,O,X
TLZOSIJ,O,X,X,O,X,O,X
TLZOSJI,O,X,X,O,X,O,X
TLOIJSZ,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X
TLOISJZ,O,X,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,X,X
TLOIZSJ,O,X,X,X,X,X,X
TLOJISZ,X,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,O,X
TLOJSIZ,X,X,X,X,X,O,X
TLOJSZI,X,X,X,O,X,O,X
TLOJZIS,X,X,X,O,X,O,X
TLOJZSI,X,X,X,O,X,O,X
TLOSIJZ,O,X,X,X,X,O,X
TLOSIZJ,O,X,X,X,X,O,X
TLOSJIZ,O,X,X,X,X,O,X
TLOSJZI,O,X,X,O,X,O,X
TLOSZIJ,O,X,X,O,X,O,X
TLOSZJI,O,X,X,O,X,O,X
TLOZIJS,X,X,X,O,X,X,X
TLOZISJ,O,X,X,O,X,X,X
TLOZJIS,X,X,X,O,X,O,X
TLOZJSI,X,X,X,O,X,O,X
TLOZSIJ,O,X,X,O,X,O,X
TLOZSJI,O,X,X,O,X,O,X
TJILSZO,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,O,X,X
TJISLOZ,X,X,X,X,X,X,X
TJISZLO,X,X,X,X,O,X,X
TJISZOL,X,O,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X
TJISOZL,X,O,X,X,X,X,X
TJIZLSO,X,X,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X,X
TJIZSLO,X,X,X,X,O,X,X
TJIZSOL,X,O,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X,X
TJIZOSL,X,O,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X
TJIOLZS,X,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,X
TJIOSZL,X,O,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X
TJIOZSL,X,O,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,X
TJLSZIO,X,X,O,O,X,X,X
TJLSZOI,X,X,O,O,X,X,X
TJLSOIZ,X,X,X,X,X,X,X
TJLSOZI,X,X,X,O,X,X,X
TJLZISO,X,X,O,O,X,X,X
TJLZIOS,X,X,X,X,X,X,X
TJLZSIO,X,X,O,O,X,X,X
TJLZSOI,X,X,O,O,X,X,X
TJLZOIS,X,X,O,O,X,X,X
TJLZOSI,X,X,O,O,X,X,X
TJLOISZ,X,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X,X
TJLOSZI,X,X,X,O,X,X,X
TJLOZIS,X,X,X,O,X,X,X
TJLOZSI,X,X,X,O,X,X,X
TJSILZO,X,X,X,X,O,X,X
TJSILOZ,X,X,X,X,X,X,X
TJSIZLO,X,X,X,X,O,X,X
TJSIZOL,X,O,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X,X
TJSIOZL,X,O,X,X,X,X,X
TJSLIZO,X,X,X,X,O,X,X
TJSLIOZ,X,X,X,X,X,X,X
TJSLZIO,X,X,O,O,O,X,X
TJSLZOI,X,X,O,O,O,X,X
TJSLOIZ,X,X,X,X,O,X,X
TJSLOZI,X,X,X,O,O,X,X
TJSZILO,X,X,O,O,O,X,X
TJSZIOL,X,O,X,X,X,X,X
TJSZLIO,X,X,O,O,O,X,X
TJSZLOI,X,X,O,O,O,X,X
TJSZOIL,X,O,X,X,O,X,X
TJSZOLI,X,X,X,X,O,X,X
TJSOILZ,X,X,X,X,O,X,X
TJSOIZL,X,O,X,X,O,X,X
TJSOLIZ,X,X,X,X,O,X,X
TJSOLZI,X,X,X,X,O,X,X
TJSOZIL,X,O,X,X,O,X,X
TJSOZLI,X,X,X,X,O,X,X
TJZILSO,X,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,X,X
TJZISLO,X,X,O,O,O,X,X
TJZISOL,X,O,X,X,X,X,X
TJZIOLS,X,X,X,X,X,X,X
TJZIOSL,X,O,X,X,X,X,X
TJZLISO,X,X,O,O,X,X,X
TJZLIOS,X,X,X,X,X,X,X
TJZLSIO,X,X,O,O,X,X,X
TJZLSOI,X,X,O,O,X,X,X
TJZLOIS,X,X,O,O,X,X,X
TJZLOSI,X,X,O,O,X,X,X
TJZSILO,X,X,O,O,O,X,X
TJZSIOL,X,O,X,X,X,X,X
TJZSLIO,X,X,O,O,O,X,X
TJZSLOI,X,X,O,O,O,X,X
TJZSOIL,X,O,X,X,O,X,X
TJZSOLI,X,X,X,X,O,X,X
TJZOILS,X,X,X,X,X,X,X
TJZOISL,X,O,X,X,O,X,X
TJZOLIS,X,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X,X
TJZOSIL,X,O,X,X,O,X,X
TJZOSLI,X,X,X,X,O,X,X
TJOILSZ,X,X,X,X,X,X,X
TJOILZS,X,X,X,X,X,X,X
TJOISLZ,X,X,X,X,O,X,X
TJOISZL,X,O,X,X,O,X,X
TJOIZLS,X,X,X,X,X,X,X
TJOIZSL,X,O,X,X,O,X,X
TJOLISZ,X,X,X,X,X,X,X
TJOLIZS,X,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X,X
TJOSILZ,X,X,X,X,O,X,X
TJOSIZL,X,O,X,X,O,X,X
TJOSLIZ,X,X,X,X,O,X,X
TJOSLZI,X,X,X,X,O,X,X
TJOSZIL,X,O,X,X,O,X,X
TJOSZLI,X,X,X,X,O,X,X
TJOZILS,X,X,X,X,X,X,X
TJOZISL,X,O,X,X,O,X,X
TJOZLIS,X,X,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X,X
TJOZSIL,X,O,X,X,O,X,X
TJOZSLI,X,X,X,X,O,X,X
TSILJZO,O,X,X,X,X,O,X
TSILJOZ,O,X,X,X,X,X,X
TSILZJO,O,X,X,X,X,O,X
TSILZOJ,O,X,X,X,X,X,O
TSILOJZ,O,X,X,X,X,X,X
TSILOZJ,O,X,X,X,X,X,O
TSIJLZO,O,X,X,X,X,O,X
TSIJLOZ,O,X,X,X,X,X,X
TSIJZLO,O,X,X,X,X,O,X
TSIJZOL,X,O,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X,X
TSIJOZL,X,O,X,X,X,X,X
TSIZLJO,O,X,X,X,X,O,X
TSIZLOJ,O,X,X,X,X,X,O
TSIZJLO,O,X,X,X,X,O,X
TSIZJOL,X,O,X,X,X,X,X
TSIZOLJ,X,X,X,X,X,O,O
TSIZOJL,X,O,X,X,X,O,X
TSIOLJZ,X,X,X,X,X,O,X
TSIOLZJ,X,X,X,X,X,O,O
TSIOJLZ,X,X,X,X,X,O,X
TSIOJZL,X,O,X,X,X,O,X
TSIOZLJ,X,X,X,X,X,O,O
TSIOZJL,X,O,X,X,X,O,X
TSLIJZO,O,X,X,X,X,O,X
TSLIJOZ,O,X,X,X,X,X,X
TSLIZJO,O,X,X,X,X,O,X
TSLIZOJ,O,X,X,X,X,X,O
TSLIOJZ,O,X,X,X,X,X,X
TSLIOZJ,O,X,X,X,X,X,O
TSLJIZO,O,X,X,X,O,O,X
TSLJIOZ,O,X,X,X,X,X,X
TSLJZIO,O,X,O,O,O,O,X
TSLJZOI,O,X,O,O,O,X,X
TSLJOIZ,O,X,X,X,O,X,X
TSLJOZI,O,X,X,O,O,X,X
TSLZIJO,O,X,O,O,O,O,X
TSLZIOJ,O,X,X,X,X,X,O
TSLZJIO,O,X,O,O,O,O,X
TSLZJOI,O,X,O,O,O,X,X
TSLZOIJ,O,X,X,O,X,O,O
TSLZOJI,O,X,X,O,X,O,X
TSLOIJZ,O,X,X,X,X,O,X
TSLOIZJ,O,X,X,X,X,O,O
TSLOJIZ,O,X,X,X,X,O,X
TSLOJZI,O,X,X,O,X,O,X
TSLOZIJ,O,X,X,O,X,O,O
TSLOZJI,O,X,X,O,X,O,X
TSJILZO,O,X,X,X,O,O,X
TSJILOZ,O,X,X,X,X,X,X
TSJIZLO,O,X,X,X,O,O,X
TSJIZOL,X,O,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,X,X
TSJIOZL,X,O,X,X,X,X,X
TSJLIZO,O,X,X,X,O,O,X
TSJLIOZ,O,X,X,X,X,X,X
TSJLZIO,O,X,O,O,O,O,X
TSJLZOI,O,X,O,O,O,X,X
TSJLOIZ,O,X,X,X,O,X,X
TSJLOZI,O,X,X,O,O,X,X
TSJZILO,O,X,O,O,O,O,X
TSJZIOL,X,O,X,X,X,X,X
TSJZLIO,O,X,O,O,O,O,X
TSJZLOI,O,X,O,O,O,X,X
TSJZOIL,X,O,X,X,O,X,X
TSJZOLI,O,X,X,X,O,X,X
TSJOILZ,X,X,X,X,O,X,X
TSJOIZL,X,O,X,X,O,X,X
TSJOLIZ,O,X,X,X,O,X,X
TSJOLZI,O,X,X,X,O,X,X
TSJOZIL,X,O,X,X,O,X,X
TSJOZLI,O,X,X,X,O,X,X
TSZILJO,O,X,X,X,O,O,X
TSZILOJ,O,X,X,X,X,X,O
TSZIJLO,O,X,O,O,X,O,X
TSZIJOL,X,O,X,X,X,X,X
TSZIOLJ,X,X,X,X,X,O,O
TSZIOJL,X,O,X,X,X,O,X
TSZLIJO,O,X,O,O,O,O,X
TSZLIOJ,O,X,X,X,X,X,O
TSZLJIO,O,X,O,O,O,O,X
TSZLJOI,O,X,O,O,O,X,X
TSZLOIJ,O,X,X,O,X,O,O
TSZLOJI,O,X,X,O,X,O,X
TSZJILO,O,X,O,O,O,O,X
TSZJIOL,X,O,X,X,X,X,X
TSZJLIO,O,X,O,O,O,O,X
TSZJLOI,O,X,O,O,O,X,X
TSZJOIL,X,O,X,X,O,X,X
TSZJOLI,O,X,X,X,O,X,X
TSZOILJ,X,X,X,X,X,O,O
TSZOIJL,X,O,X,X,X,O,X
TSZOLIJ,O,X,X,X,X,O,O
TSZOLJI,O,X,X,X,X,O,X
TSZOJIL,X,O,X,X,O,O,X
TSZOJLI,O,X,X,X,O,O,X
TSOILJZ,X,X,X,X,X,O,X
TSOILZJ,X,X,X,X,X,O,O
TSOIJLZ,X,X,X,X,X,O,X
TSOIJZL,X,O,X,X,X,O,X
TSOIZLJ,X,X,X,X,X,O,O
TSOIZJL,X,O,X,X,X,O,X
TSOLIJZ,O,X,X,X,X,O,X
TSOLIZJ,O,X,X,X,X,O,O
TSOLJIZ,O,X,X,X,X,O,X
TSOLJZI,O,X,X,X,X,O,X
TSOLZIJ,O,X,X,X,X,O,O
TSOLZJI,O,X,X,X,X,O,X
TSOJILZ,X,X,X,X,O,O,X
TSOJIZL,X,O,X,X,O,O,X
TSOJLIZ,O,X,X,X,O,O,X
TSOJLZI,O,X,X,X,O,O,X
TSOJZIL,X,O,X,X,O,O,X
TSOJZLI,O,X,X,X,O,O,X
TSOZILJ,X,X,X,X,X,O,O
TSOZIJL,X,O,X,X,X,O,X
TSOZLIJ,O,X,X,X,X,O,O
TSOZLJI,O,X,X,X,X,O,X
TSOZJIL,X,O,X,X,O,O,X
TSOZJLI,O,X,X,X,O,O,X
TZILJSO,X,X,X,X,X,X,X
TZILJOS,X,X,X,X,X,X,X
TZILSJO,O,X,X,X,X,X,X
TZILSOJ,O,X,X,X,X,X,X
TZILOJS,X,X,X,X,X,X,X
TZILOSJ,O,X,X,X,X,X,X
TZIJLSO,X,X,X,X,X,X,X
TZIJLOS,X,X,X,X,X,X,X
TZIJSLO,X,X,O,O,O,X,X
TZIJSOL,X,O,X,X,X,X,X
TZIJOLS,X,X,X,X,X,X,X
TZIJOSL,X,O,X,X,X,X,X
TZISLJO,O,X,X,X,O,X,X
TZISLOJ,O,X,X,X,X,X,O
TZISJLO,O,X,O,O,X,X,X
TZISJOL,X,O,X,X,X,X,X
TZISOLJ,X,X,X,X,X,X,O
TZISOJL,X,O,X,X,X,X,X
TZIOLJS,X,X,X,X,X,X,X
TZIOLSJ,X,X,X,X,X,X,X
TZIOJLS,X,X,X,X,X,X,X
TZIOJSL,X,O,X,X,O,X,X
TZIOSLJ,X,X,X,X,X,X,O
TZIOSJL,X,O,X,X,X,X,X
TZLIJSO,X,X,O,O,X,X,X
TZLIJOS,X,X,X,X,X,X,X
TZLISJO,O,X,O,O,X,X,X
TZLISOJ,O,X,X,X,X,X,X
TZLIOJS,X,X,X,X,X,X,X
TZLIOSJ,O,X,X,X,X,X,X
TZLJISO,X,X,O,O,X,X,X
TZLJIOS,X,X,X,X,X,X,X
TZLJSIO,X,X,O,O,X,X,X
TZLJSOI,X,X,O,O,X,X,X
TZLJOIS,X,X,O,O,X,X,X
TZLJOSI,X,X,O,O,X,X,X
TZLSIJO,O,X,O,O,X,O,X
TZLSIOJ,O,X,X,X,X,X,X
TZLSJIO,O,X,O,O,X,O,X
TZLSJOI,O,X,O,O,X,X,X
TZLSOIJ,O,X,X,O,X,O,X
TZLSOJI,O,X,X,O,X,O,X
TZLOIJS,X,X,X,O,X,X,X
TZLOISJ,O,X,X,O,X,X,X
TZLOJIS,X,X,X,O,X,O,X
TZLOJSI,X,X,X,O,X,O,X
TZLOSIJ,O,X,X,O,X,O,X
TZLOSJI,O,X,X,O,X,O,X
TZJILSO,X,X,X,X,X,X,X
TZJILOS,X,X,X,X,X,X,X
TZJISLO,X,X,O,O,O,X,X
TZJISOL,X,O,X,X,X,X,X
TZJIOLS,X,X,X,X,X,X,X
TZJIOSL,X,O,X,X,X,X,X
TZJLISO,X,X,O,O,X,X,X
TZJLIOS,X,X,X,X,X,X,X
TZJLSIO,X,X,O,O,X,X,X
TZJLSOI,X,X,O,O,X,X,X
TZJLOIS,X,X,O,O,X,X,X
TZJLOSI,X,X,O,O,X,X,X
TZJSILO,X,X,O,O,O,X,X
TZJSIOL,X,O,X,X,X,X,X
TZJSLIO,X,X,O,O,O,X,X
TZJSLOI,X,X,O,O,O,X,X
TZJSOIL,X,O,X,X,O,X,X
TZJSOLI,X,X,X,X,O,X,X
TZJOILS,X,X,X,X,X,X,X
TZJOISL,X,O,X,X,O,X,X
TZJOLIS,X,X,X,X,X,X,X
TZJOLSI,X,X,X,X,X,X,X
TZJOSIL,X,O,X,X,O,X,X
TZJOSLI,X,X,X,X,O,X,X
TZSILJO,O,X,X,X,O,O,X
TZSILOJ,O,X,X,X,X,X,O
TZSIJLO,O,X,O,O,X,O,X
TZSIJOL,X,O,X,X,X,X,X
TZSIOLJ,X,X,X,X,X,O,O
TZSIOJL,X,O,X,X,X,O,X
TZSLIJO,O,X,O,O,O,O,X
TZSLIOJ,O,X,X,X,X,X,O
TZSLJIO,O,X,O,O,O,O,X
TZSLJOI,O,X,O,O,O,X,X
TZSLOIJ,O,X,X,O,X,O,O
TZSLOJI,O,X,X,O,X,O,X
TZSJILO,O,X,O,O,O,O,X
TZSJIOL,X,O,X,X,X,X,X
TZSJLIO,O,X,O,O,O,O,X
TZSJLOI,O,X,O,O,O,X,X
TZSJOIL,X,O,X,X,O,X,X
TZSJOLI,O,X,X,X,O,X,X
TZSOILJ,X,X,X,X,X,O,O
TZSOIJL,X,O,X,X,X,O,X
TZSOLIJ,O,X,X,X,X,O,O
TZSOLJI,O,X,X,X,X,O,X
TZSOJIL,X,O,X,X,O,O,X
TZSOJLI,O,X,X,X,O,O,X
TZOILJS,X,X,X,X,X,X,X
TZOILSJ,X,X,X,X,X,X,X
TZOIJLS,X,X,X,X,X,X,X
TZOIJSL,X,O,X,X,O,X,X
TZOISLJ,X,X,X,X,X,X,O
TZOISJL,X,O,X,X,X,X,X
TZOLIJS,X,X,X,X,X,X,X
TZOLISJ,O,X,X,X,X,X,X
TZOLJIS,X,X,X,X,X,O,X
TZOLJSI,X,X,X,X,X,O,X
TZOLSIJ,O,X,X,X,X,O,X
TZOLSJI,O,X,X,X,X,O,X
TZOJILS,X,X,X,X,X,O,X
TZOJISL,X,O,X,X,O,X,X
TZOJLIS,X,X,X,X,X,O,X
TZOJLSI,X,X,X,X,X,O,X
TZOJSIL,X,O,X,X,O,O,X
TZOJSLI,X,X,X,X,O,O,X
TZOSILJ,X,X,X,X,X,O,O
TZOSIJL,X,O,X,X,X,O,X
TZOSLIJ,O,X,X,X,X,O,O
TZOSLJI,O,X,X,X,X,O,X
TZOSJIL,X,O,X,X,O,O,X
TZOSJLI,O,X,X,X,O,O,X
TOILJSZ,X,X,X,X,X,X,X
TOILJZS,X,X,X,X,X,X,X
TOILSJZ,X,X,X,X,X,X,X
TOILSZJ,X,X,X,X,X,X,X
TOILZJS,X,X,X,X,X,X,X
TOILZSJ,X,X,X,X,X,X,X
TOIJLSZ,X,X,X,X,X,X,X
