sequence,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeRBJvhFcnBTjBOqBX?mBSwBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeWGJvhFxhBTjBKqBX?nBUrBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je3AJvhFumBcnBTjBy?qBFtBxvB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeRBJvhFSnBTjBOqB8?qB3rBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeRBJvhFcnBTjBilB+?rB3qBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je3AJvhFRiBSoBOrB8?rBTqBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeFBJvhF0iB6oBTlB3?mBmsBxvB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JecFJvhFemBCiBTjBX?nBFtBxvB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JeGCJvhFTjBxlB8rB3?lByvBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je3AJvhFRiBWtBTqBi?rBctBlrB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je/HJvhFFjBxlBctBT?qBirBGrB,v115@9gC8GeB8HeB8HeB8DeB8AeA8JecHJvhFTjBxlB3lBu?rByvBFtB,v115@9gC8GeB8HeB8HeB8DeB8AeA8Je2HJvhFxlBctBFmBC?oBTqB3rB
TILJSZO,O,X,O,X,X,O,O,X,X,X,X,X,X
TILJSOZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TILJZSO,O,X,O,O,X,O,O,X,X,X,X,X,X
TILJZOS,O,X,O,O,X,O,O,X,X,X,X,O,X
TILJOSZ,O,X,O,O,X,O,O,X,X,X,X,X,X
TILJOZS,O,X,O,O,X,O,O,X,X,X,X,O,X
TILSJZO,X,O,O,O,X,X,O,X,X,X,X,X,X
TILSJOZ,X,O,O,O,X,X,X,X,X,X,X,X,X
TILSZJO,O,O,O,O,X,O,O,O,X,X,X,X,X
TILSZOJ,O,O,O,O,X,O,O,O,X,X,X,O,X
TILSOJZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TILSOZJ,O,O,O,O,X,O,O,O,X,X,X,O,X
TILZJSO,O,O,O,X,X,O,X,O,O,X,X,X,X
TILZJOS,O,O,O,O,X,O,X,O,O,X,X,O,X
TILZSJO,O,O,O,X,X,O,X,O,O,X,X,X,X
TILZSOJ,O,O,O,O,X,O,X,O,O,X,X,O,X
TILZOJS,O,O,O,O,X,O,X,O,O,X,X,O,X
TILZOSJ,O,O,O,O,X,O,X,O,O,X,X,O,X
TILOJSZ,O,X,O,O,X,O,O,X,X,X,X,X,X
TILOJZS,O,X,O,O,X,O,O,X,X,X,X,O,X
TILOSJZ,X,O,O,O,X,O,O,X,X,X,X,X,X
TILOSZJ,O,O,O,O,X,O,O,O,X,X,X,O,X
TILOZJS,O,O,O,O,X,O,O,O,O,X,X,O,X
TILOZSJ,O,O,O,O,X,O,O,O,O,X,X,O,X
TIJLSZO,O,X,O,X,X,O,O,X,X,X,X,X,X
TIJLSOZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TIJLZSO,O,X,O,O,X,X,O,X,X,X,X,X,X
TIJLZOS,O,X,O,O,X,X,O,X,X,X,X,X,X
TIJLOSZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TIJLOZS,O,X,O,O,X,X,O,X,X,X,X,X,X
TIJSLZO,X,X,X,O,X,O,O,X,X,X,X,X,X
TIJSLOZ,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJSZLO,X,X,X,O,O,O,O,O,X,X,X,X,X
TIJSZOL,X,X,X,O,O,O,O,O,X,X,X,X,X
TIJSOLZ,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJSOZL,X,X,X,O,O,X,O,O,X,X,X,X,X
TIJZLSO,O,X,O,O,X,X,O,O,O,X,X,X,X
TIJZLOS,O,X,O,O,O,X,O,O,O,X,X,X,X
TIJZSLO,X,X,O,O,O,X,O,O,X,X,X,X,X
TIJZSOL,O,X,O,O,O,X,O,O,O,X,X,X,X
TIJZOLS,O,X,O,O,O,X,O,O,O,X,X,X,X
TIJZOSL,O,X,O,O,O,X,O,O,O,X,X,X,X
TIJOLSZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TIJOLZS,O,X,O,O,X,X,O,X,X,X,X,X,X
TIJOSLZ,X,X,X,O,X,X,O,X,X,X,X,X,X
TIJOSZL,X,X,X,O,O,X,O,O,X,X,X,X,X
TIJOZLS,O,X,O,O,O,X,O,O,O,X,X,X,X
TIJOZSL,O,X,O,O,O,X,O,O,O,X,X,X,X
TISLJZO,X,O,O,O,O,X,O,X,X,X,X,X,X
TISLJOZ,X,O,O,O,O,X,X,X,X,X,X,X,X
TISLZJO,X,O,O,O,X,X,O,O,X,X,X,X,X
TISLZOJ,X,O,O,O,X,X,O,O,X,X,X,X,X
TISLOJZ,X,O,O,O,O,X,X,X,X,X,X,X,X
TISLOZJ,X,O,O,O,X,X,O,O,X,X,X,X,X
TISJLZO,X,O,X,O,X,X,O,X,X,X,X,X,X
TISJLOZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TISJZLO,X,X,X,O,O,X,O,O,X,X,X,X,X
TISJZOL,X,O,X,O,O,X,X,O,X,X,X,X,X
TISJOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TISJOZL,X,O,X,O,O,X,X,O,X,X,X,X,X
TISZLJO,X,O,O,O,X,X,O,O,X,X,X,X,X
TISZLOJ,X,O,O,O,X,X,O,O,X,X,X,X,X
TISZJLO,X,X,O,O,X,X,O,O,X,X,X,X,X
TISZJOL,X,O,O,O,X,X,X,O,X,X,X,X,X
TISZOLJ,X,O,O,O,X,X,O,O,X,X,X,X,X
TISZOJL,X,O,O,O,X,X,X,O,X,X,X,X,X
TISOLJZ,X,O,O,O,O,X,X,X,X,X,X,X,X
TISOLZJ,X,O,O,O,X,X,O,O,X,X,X,X,X
TISOJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,O,O,X,X,O,X,X,X,X,X
TISOZLJ,X,O,O,O,X,X,O,O,X,X,X,X,X
TISOZJL,X,O,O,O,X,X,X,O,X,X,X,X,X
TIZLJSO,O,X,O,X,X,O,X,O,O,X,X,X,X
TIZLJOS,O,X,O,O,X,O,X,O,O,X,X,O,X
TIZLSJO,O,X,O,X,X,O,X,O,O,X,X,X,X
TIZLSOJ,O,X,O,O,X,O,X,O,O,X,X,O,X
TIZLOJS,O,X,O,O,O,O,X,O,O,X,X,O,X
TIZLOSJ,O,X,O,O,X,O,X,O,O,X,X,O,X
TIZJLSO,O,X,O,X,X,O,X,O,O,X,X,X,X
TIZJLOS,O,X,O,O,O,O,X,O,O,X,X,X,X
TIZJSLO,X,X,O,X,O,O,X,O,X,X,X,X,X
TIZJSOL,O,X,O,X,O,O,X,O,O,X,X,X,X
TIZJOLS,O,X,O,O,O,O,X,O,O,X,X,X,X
TIZJOSL,O,X,O,X,O,O,X,O,O,X,X,X,X
TIZSLJO,X,X,O,X,X,O,X,O,X,X,X,X,X
TIZSLOJ,X,X,O,O,X,O,X,O,X,X,X,X,X
TIZSJLO,X,X,O,X,X,O,X,O,X,X,X,X,X
TIZSJOL,X,X,O,X,X,O,X,O,O,X,X,X,X
TIZSOLJ,O,X,O,O,X,O,X,O,X,X,X,X,X
TIZSOJL,O,X,O,X,O,O,X,O,O,X,X,X,X
TIZOLJS,O,X,O,O,O,O,X,O,O,X,X,O,X
TIZOLSJ,O,X,O,O,X,O,X,O,O,X,X,O,X
TIZOJLS,O,X,O,O,O,O,X,O,O,X,X,X,X
TIZOJSL,O,X,O,X,O,O,X,O,O,X,X,X,X
TIZOSLJ,O,X,O,O,X,O,X,O,X,X,X,X,X
TIZOSJL,O,X,O,X,O,O,X,O,O,X,X,X,X
TIOLJSZ,O,X,O,O,X,O,O,X,X,X,X,X,X
TIOLJZS,O,X,O,O,X,O,O,X,X,X,X,O,X
TIOLSJZ,X,O,O,O,X,O,O,X,X,X,X,X,X
TIOLSZJ,O,O,O,O,X,O,O,O,X,X,X,O,X
TIOLZJS,O,O,O,O,X,O,O,O,O,X,X,O,X
TIOLZSJ,O,O,O,O,X,O,O,O,O,X,X,O,X
TIOJLSZ,O,X,O,X,X,O,O,X,X,X,X,X,X
TIOJLZS,O,X,O,O,X,X,O,X,X,X,X,X,X
TIOJSLZ,X,X,X,O,X,O,O,X,X,X,X,X,X
TIOJSZL,X,X,X,O,O,O,O,O,X,X,X,X,X
TIOJZLS,O,X,O,O,O,X,O,O,O,X,X,X,X
TIOJZSL,O,X,O,O,O,X,O,O,O,X,X,X,X
TIOSLJZ,X,O,O,O,O,O,O,X,X,X,X,X,X
TIOSLZJ,X,O,O,O,X,O,O,O,X,X,X,X,X
TIOSJLZ,X,O,X,O,X,O,O,X,X,X,X,X,X
TIOSJZL,X,O,X,O,O,O,O,O,X,X,X,X,X
TIOSZLJ,X,O,O,O,X,O,O,O,X,X,X,X,X
TIOSZJL,X,O,O,O,X,O,O,O,X,X,X,X,X
TIOZLJS,O,X,O,O,O,O,O,O,O,X,X,O,X
TIOZLSJ,O,X,O,O,X,O,O,O,O,X,X,O,X
TIOZJLS,O,X,O,O,O,O,O,O,O,X,X,X,X
TIOZJSL,O,X,O,X,O,O,O,O,O,X,X,X,X
TIOZSLJ,O,X,O,O,X,O,O,O,X,X,X,X,X
TIOZSJL,O,X,O,X,O,O,O,O,O,X,X,X,X
TLIJSZO,O,X,O,X,X,O,O,X,X,X,X,X,X
TLIJSOZ,O,X,O,X,X,X,O,X,X,X,X,X,X
TLIJZSO,O,X,O,O,X,O,O,X,X,X,X,X,X
TLIJZOS,O,X,O,O,X,O,O,X,X,X,X,O,X
TLIJOSZ,O,X,O,O,X,O,O,X,X,X,X,X,X
TLIJOZS,O,X,O,O,X,O,O,X,X,X,X,O,X
TLISJZO,X,O,O,O,X,X,O,X,X,X,X,X,X
TLISJOZ,X,O,O,O,X,X,X,X,X,X,X,X,X
TLISZJO,O,O,O,O,X,O,O,O,X,X,X,X,X
TLISZOJ,O,O,O,O,X,O,O,O,X,X,X,O,X
TLISOJZ,X,O,O,O,X,O,X,X,X,X,X,X,X
TLISOZJ,O,O,O,O,X,O,O,O,X,X,X,O,X
TLIZJSO,O,O,O,X,X,O,X,O,O,X,X,X,X
TLIZJOS,O,O,O,O,X,O,X,O,O,X,X,O,X
TLIZSJO,O,O,O,X,X,O,X,O,O,X,X,X,X
TLIZSOJ,O,O,O,O,X,O,X,O,O,X,X,O,X
TLIZOJS,O,O,O,O,X,O,X,O,O,X,X,O,X
TLIZOSJ,O,O,O,O,X,O,X,O,O,X,X,O,X
TLIOJSZ,O,X,O,O,X,O,O,X,X,X,X,X,X
TLIOJZS,O,X,O,O,X,O,O,X,X,X,X,O,X
TLIOSJZ,X,O,O,O,X,O,O,X,X,X,X,X,X
