sequence,v115@ThC8AeA8DeF8AeB8JeZEJvhFukB3gB9mBTiB6oB8sB
TILJSZO,O
TILJSOZ,X
TILJZSO,O
TILJZOS,O
TILJOSZ,X
TILJOZS,X
TILSJZO,O
TILSJOZ,X
TILSZJO,O
TILSZOJ,O
TILSOJZ,X
TILSOZJ,X
TILZJSO,O
TILZJOS,O
TILZSJO,O
TILZSOJ,O
TILZOJS,O
TILZOSJ,O
TILOJSZ,X
TILOJZS,X
TILOSJZ,X
TILOSZJ,X
TILOZJS,X
TILOZSJ,X
TIJLSZO,O
TIJLSOZ,X
TIJLZSO,O
TIJLZOS,O
TIJLOSZ,X
TIJLOZS,X
TIJSLZO,O
TIJSLOZ,X
TIJSZLO,O
TIJSZOL,O
TIJSOLZ,X
TIJSOZL,X
TIJZLSO,O
TIJZLOS,O
TIJZSLO,O
TIJZSOL,O
TIJZOLS,O
TIJZOSL,O
TIJOLSZ,X
TIJOLZS,X
TIJOSLZ,X
TIJOSZL,X
TIJOZLS,X
TIJOZSL,X
TISLJZO,O
TISLJOZ,X
TISLZJO,O
TISLZOJ,O
TISLOJZ,X
TISLOZJ,X
TISJLZO,O
TISJLOZ,X
TISJZLO,O
TISJZOL,O
TISJOLZ,X
TISJOZL,X
TISZLJO,O
TISZLOJ,O
TISZJLO,O
TISZJOL,O
TISZOLJ,O
TISZOJL,O
TISOLJZ,X
TISOLZJ,X
TISOJLZ,X
TISOJZL,X
TISOZLJ,X
TISOZJL,X
TIZLJSO,O
TIZLJOS,O
TIZLSJO,O
TIZLSOJ,O
TIZLOJS,O
TIZLOSJ,O
TIZJLSO,O
TIZJLOS,O
TIZJSLO,O
TIZJSOL,O
TIZJOLS,O
TIZJOSL,O
TIZSLJO,O
TIZSLOJ,O
TIZSJLO,O
TIZSJOL,O
TIZSOLJ,O
TIZSOJL,O
TIZOLJS,O
TIZOLSJ,O
TIZOJLS,O
TIZOJSL,O
TIZOSLJ,O
TIZOSJL,O
TIOLJSZ,X
TIOLJZS,X
TIOLSJZ,X
TIOLSZJ,X
TIOLZJS,X
TIOLZSJ,X
TIOJLSZ,X
TIOJLZS,X
TIOJSLZ,X
TIOJSZL,X
TIOJZLS,X
TIOJZSL,X
TIOSLJZ,X
TIOSLZJ,X
TIOSJLZ,X
TIOSJZL,X
TIOSZLJ,X
TIOSZJL,X
TIOZLJS,X
TIOZLSJ,X
TIOZJLS,X
TIOZJSL,X
TIOZSLJ,X
TIOZSJL,X
TLIJSZO,O
TLIJSOZ,X
TLIJZSO,O
TLIJZOS,O
TLIJOSZ,X
TLIJOZS,X
TLISJZO,O
TLISJOZ,X
TLISZJO,O
TLISZOJ,O
TLISOJZ,X
TLISOZJ,X
TLIZJSO,O
TLIZJOS,O
TLIZSJO,O
TLIZSOJ,O
TLIZOJS,O
TLIZOSJ,O
TLIOJSZ,X
TLIOJZS,X
TLIOSJZ,X
TLIOSZJ,X
TLIOZJS,X
TLIOZSJ,X
TLJISZO,O
TLJISOZ,X
TLJIZSO,O
TLJIZOS,O
TLJIOSZ,X
TLJIOZS,X
TLJSIZO,O
TLJSIOZ,X
TLJSZIO,O
TLJSZOI,O
TLJSOIZ,X
TLJSOZI,X
TLJZISO,O
TLJZIOS,O
TLJZSIO,O
TLJZSOI,O
TLJZOIS,O
TLJZOSI,O
TLJOISZ,X
TLJOIZS,X
TLJOSIZ,X
TLJOSZI,X
TLJOZIS,X
TLJOZSI,X
TLSIJZO,O
TLSIJOZ,X
TLSIZJO,O
TLSIZOJ,O
TLSIOJZ,X
TLSIOZJ,X
TLSJIZO,O
TLSJIOZ,X
TLSJZIO,O
TLSJZOI,O
TLSJOIZ,X
TLSJOZI,X
TLSZIJO,O
TLSZIOJ,O
TLSZJIO,O
TLSZJOI,O
TLSZOIJ,O
TLSZOJI,O
TLSOIJZ,X
TLSOIZJ,X
TLSOJIZ,X
TLSOJZI,X
TLSOZIJ,X
TLSOZJI,X
TLZIJSO,O
TLZIJOS,O
TLZISJO,O
TLZISOJ,O
TLZIOJS,O
TLZIOSJ,O
TLZJISO,O
TLZJIOS,O
TLZJSIO,O
TLZJSOI,O
TLZJOIS,O
TLZJOSI,O
TLZSIJO,O
TLZSIOJ,O
TLZSJIO,O
TLZSJOI,O
TLZSOIJ,O
TLZSOJI,O
TLZOIJS,O
TLZOISJ,O
TLZOJIS,O
TLZOJSI,O
TLZOSIJ,O
TLZOSJI,O
TLOIJSZ,X
TLOIJZS,X
TLOISJZ,X
