sequence,v115@GhA8IeA8EeB8BeG8CeA8JeOEJvhFlgBRiBzkBXmB0n?ByxB,v115@GhA8IeA8EeB8BeG8CeA8Jex/IvhFVmBUiBTkB2qB3s?BatB,v115@GhA8IeA8EeB8BeG8CeA8Je0/IvhFxgBVnB2pBzlB3s?BatB,v115@GhA8IeA8EeB8BeG8CeA8JeKEJvhFzfBUhBRiB1qB3s?BmsB,v115@GhA8IeA8EeB8BeG8CeA8JeOEJvhF8kB3lBRnBFmBzs?BisB,v115@GhA8IeA8EeB8BeG8CeA8Jex/IvhFVmBynBTkB2qBft?BUsB,v115@GhA8IeA8EeB8BeG8CeA8JeOEJvhF0gBzkBRnBXmBln?ByxB,v115@GhA8IeA8EeB8BeG8CeA8Je3/IvhFFhB0lBRnB2pBzs?BisB,v115@GhA8IeA8EeB8BeG8CeA8JeT/IvhF2lBXiB8nBFmBxp?ByxB,v115@GhA8IeA8EeB8BeG8CeA8Je0AJvhFmkBRnBTkBXmBln?ByxB,v115@GhA8IeA8EeB8BeG8CeA8JeXBJvhFmkBRnBTkB0lBln?ByxB,v115@GhA8IeA8EeB8BeG8CeA8JeKEJvhFflBxgBzlB8sBFs?BmsB,v115@GhA8IeA8EeB8BeG8CeA8JeT/IvhF0gBypBRnBXmBmn?B1xB,v115@GhA8IeA8EeB8BeG8CeA8Je1FJvhFZoB0kBGnBikBXm?BTsB,v115@GhA8IeA8EeB8BeG8CeA8Jel/IvhFynB2pBxlBzlBft?BUsB,v115@GhA8IeA8EeB8BeG8CeA8Je3/IvhFUiBaoBxlB2pBzl?B1xB,v115@GhA8IeA8EeB8BeG8CeA8JeT/IvhFXhBypBRnB0lBmn?B1xB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TILJZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
TILJZOS,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
TILJOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TILJOZS,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X
TILSJZO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSJOZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILSZJO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSZOJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TILSOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILSOZJ,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TILZJSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TILZJOS,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TILZSJO,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
TILZSOJ,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,O,O
TILZOJS,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TILZOSJ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
TILOJSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TILOJZS,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
