sequence,v115@PhB8BeB8DeE8DeC8Jem/IvhFChBxiBTkBcsBXrBlrB,v115@PhB8BeB8DeE8DeC8Jex/IvhFmhBCjBTkBcrBXsBlqB,v115@PhB8BeB8DeE8DeC8Jem/IvhFfmBCjBTkBUnBlmBRwB,v115@PhB8BeB8DeE8DeC8JeWGJvhFxiBlkBTnBikBXrB0rB,v115@PhB8BeB8DeE8DeC8JeWGJvhFxiBlkBTnBikB0rBXrB,v115@PhB8BeB8DeE8DeC8Jei/IvhFcmBxiB3kBTnB1wBuqB,v115@PhB8BeB8DeE8DeC8JeKEJvhFzfBFhBxiB3mBcsBWwB,v115@PhB8BeB8DeE8DeC8JeOEJvhF8kBzgBxiBSsBVwBfsB,v115@PhB8BeB8DeE8DeC8Jei/IvhF1mBxiB3kBcsBTrBuqB,v115@PhB8BeB8DeE8DeC8JeWHJvhFxiBlkBUmBikBXsBzqB,v115@PhB8BeB8DeE8DeC8JelBJvhFxkB/rBOsBTkBCoB0qB,v115@PhB8BeB8DeE8DeC8JemAJvhFUiBxkBfsBTkBCoBVwB
TISLJOZ,O,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,X,X,X,X,X,X,O,X,O
TISLZOJ,X,X,X,X,X,O,X,X,O,X,X,X
TISLOJZ,O,X,X,X,X,O,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,O,X,X,X,X,X,X
TISJLZO,O,X,X,X,X,X,X,X,X,X,O,O
TISJLOZ,O,X,X,X,X,X,X,X,X,X,O,X
TISJZLO,X,X,X,X,X,X,X,X,X,O,O,O
TISJZOL,X,X,X,X,X,X,X,X,X,O,O,O
TISJOLZ,X,X,X,O,X,X,X,X,X,X,O,X
TISJOZL,X,X,X,O,X,X,X,X,X,X,O,O
TISZLJO,X,X,X,X,X,X,X,X,X,O,X,O
TISZLOJ,X,X,X,X,X,O,X,X,O,X,X,X
TISZJLO,X,X,X,X,X,X,X,X,X,O,X,O
TISZJOL,X,X,X,X,X,X,X,X,X,O,X,O
TISZOLJ,X,X,X,X,X,O,X,X,O,X,X,X
TISZOJL,X,X,X,X,X,O,X,X,O,O,X,O
TISOLJZ,O,X,X,O,X,O,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,O,X,X,X,X,X,X
TISOJLZ,O,X,X,O,O,O,X,X,X,X,X,X
TISOJZL,X,X,X,O,O,O,X,X,X,X,X,O
TISOZLJ,X,X,X,X,X,O,X,X,X,X,X,X
TISOZJL,X,X,X,O,O,O,X,X,X,O,X,O
