sequence,v115@ChA8GeC8IeB8CeA8CeE8KeT/IvhFigBmiB5oB0nBlp?B3qB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiB6tBXoB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiBXoB6tB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke0/IvhFTiBeoB5oB/pBiq?BlqB,v115@ChA8GeC8IeB8CeA8CeE8KeOEJvhFTiBVtBRqB8pB6t?B3qB,v115@ChA8GeC8IeB8CeA8CeE8KexCJvhFTkB2qB0nB6tBlp?B3qB
TLJISZO,X,X,X,O,O,X
TLJISOZ,X,O,O,O,O,X
TLJIZSO,O,X,X,X,O,X
TLJIZOS,O,O,X,X,O,X
TLJIOSZ,X,O,O,O,O,X
TLJIOZS,O,O,X,X,O,X
TLJSIZO,X,X,X,O,X,X
TLJSIOZ,X,O,O,O,X,X
TLJSZIO,X,X,X,O,X,X
TLJSZOI,X,X,X,O,X,X
TLJSOIZ,X,O,O,O,X,X
TLJSOZI,X,O,O,O,X,X
TLJZISO,O,O,X,X,X,X
TLJZIOS,O,O,X,X,X,O
TLJZSIO,O,O,X,X,X,X
TLJZSOI,O,O,X,X,X,X
TLJZOIS,O,O,X,X,X,O
TLJZOSI,O,O,X,X,X,O
TLJOISZ,X,O,O,O,O,X
TLJOIZS,O,O,X,X,O,X
TLJOSIZ,X,O,O,O,X,X
TLJOSZI,X,O,O,O,X,X
TLJOZIS,O,O,X,X,X,O
TLJOZSI,O,O,X,X,X,O
TLSIJZO,O,X,X,O,X,X
TLSIJOZ,O,O,O,O,X,X
TLSIZJO,O,X,X,O,X,X
TLSIZOJ,O,X,X,X,X,X
TLSIOJZ,O,O,O,X,X,X
TLSIOZJ,O,X,X,X,X,X
TLSJIZO,O,X,X,O,X,X
TLSJIOZ,O,O,O,O,X,X
TLSJZIO,O,X,X,O,X,X
TLSJZOI,O,X,X,O,X,X
TLSJOIZ,O,O,O,O,X,X
TLSJOZI,O,O,O,O,X,X
TLSZIJO,O,O,O,O,X,X
TLSZIOJ,O,O,O,X,X,X
TLSZJIO,O,O,O,O,X,X
TLSZJOI,O,O,O,O,X,X
TLSZOIJ,O,O,O,X,X,X
TLSZOJI,O,O,O,O,X,X
TLSOIJZ,O,O,O,X,X,X
TLSOIZJ,O,X,X,X,X,X
TLSOJIZ,O,O,O,O,X,X
TLSOJZI,O,O,O,O,X,X
TLSOZIJ,O,O,O,X,X,X
TLSOZJI,O,O,O,O,X,X
TLZIJSO,O,O,O,X,X,X
TLZIJOS,O,O,O,X,X,O
TLZISJO,O,O,O,X,X,X
TLZISOJ,O,O,O,X,X,X
TLZIOJS,O,O,O,X,X,O
TLZIOSJ,O,O,O,X,X,X
TLZJISO,O,O,O,X,X,X
TLZJIOS,O,O,O,X,X,O
TLZJSIO,O,O,O,X,X,X
TLZJSOI,O,O,O,X,X,X
TLZJOIS,O,O,O,X,X,O
TLZJOSI,O,O,O,X,X,O
TLZSIJO,O,O,O,X,X,X
TLZSIOJ,O,O,O,X,X,X
TLZSJIO,O,O,O,X,X,X
TLZSJOI,O,O,O,X,X,X
TLZSOIJ,O,O,O,X,X,X
TLZSOJI,O,O,O,X,X,X
TLZOIJS,O,O,O,X,X,O
TLZOISJ,O,O,O,X,X,X
TLZOJIS,O,O,O,X,X,O
TLZOJSI,O,O,O,X,X,O
TLZOSIJ,O,O,O,X,X,X
TLZOSJI,O,O,O,X,X,X
TLOIJSZ,X,O,O,X,O,X
TLOIJZS,O,O,X,X,O,X
TLOISJZ,X,O,O,X,X,X
TLOISZJ,O,X,X,X,X,X
TLOIZJS,O,O,X,X,X,X
TLOIZSJ,O,O,X,X,X,X
TLOJISZ,X,O,O,O,O,X
TLOJIZS,O,O,X,X,O,X
TLOJSIZ,X,O,O,O,X,X
TLOJSZI,X,O,O,O,X,X
TLOJZIS,O,O,X,X,X,O
TLOJZSI,O,O,X,X,X,O
TLOSIJZ,X,O,O,X,X,X
TLOSIZJ,O,X,X,X,X,X
TLOSJIZ,X,O,O,O,X,X
TLOSJZI,X,O,O,O,X,X
TLOSZIJ,O,O,O,X,X,X
TLOSZJI,O,O,O,O,X,X
TLOZIJS,O,O,O,X,X,O
TLOZISJ,O,O,O,X,X,X
TLOZJIS,O,O,O,X,X,O
TLOZJSI,O,O,O,X,X,O
TLOZSIJ,O,O,O,X,X,X
TLOZSJI,O,O,O,X,X,X
TJILSZO,X,X,X,O,O,X
TJILSOZ,X,O,O,O,O,X
TJILZSO,O,X,X,X,O,X
TJILZOS,O,O,X,X,O,X
TJILOSZ,X,O,O,O,O,X
TJILOZS,O,O,X,X,O,X
TJISLZO,X,X,X,O,O,X
TJISLOZ,X,O,O,O,O,X
TJISZLO,X,X,X,X,O,X
TJISZOL,X,X,O,O,O,X
TJISOLZ,X,O,O,O,O,X
TJISOZL,X,X,O,O,O,X
TJIZLSO,O,X,X,X,O,X
TJIZLOS,O,O,X,X,O,X
TJIZSLO,O,X,X,X,O,X
TJIZSOL,O,X,O,X,O,X
TJIZOLS,O,O,X,X,O,X
TJIZOSL,O,X,O,X,O,X
TJIOLSZ,X,O,O,O,O,X
TJIOLZS,O,O,X,X,O,X
TJIOSLZ,X,O,O,O,O,X
TJIOSZL,X,X,O,O,O,X
TJIOZLS,O,O,X,X,O,X
TJIOZSL,O,X,O,X,O,X
TJLISZO,X,X,X,O,O,X
TJLISOZ,X,O,O,O,O,X
TJLIZSO,O,X,X,X,O,X
TJLIZOS,O,O,X,X,O,X
TJLIOSZ,X,O,O,O,O,X
TJLIOZS,O,O,X,X,O,X
TJLSIZO,X,X,X,O,X,X
TJLSIOZ,X,O,O,O,X,X
TJLSZIO,X,X,X,O,X,X
TJLSZOI,X,X,X,O,X,X
TJLSOIZ,X,O,O,O,X,X
TJLSOZI,X,O,O,O,X,X
TJLZISO,O,O,X,X,X,X
TJLZIOS,O,O,X,X,X,O
TJLZSIO,O,O,X,X,X,X
TJLZSOI,O,O,X,X,X,X
TJLZOIS,O,O,X,X,X,O
TJLZOSI,O,O,X,X,X,O
TJLOISZ,X,O,O,O,O,X
TJLOIZS,O,O,X,X,O,X
TJLOSIZ,X,O,O,O,X,X
TJLOSZI,X,O,O,O,X,X
TJLOZIS,O,O,X,X,X,O
TJLOZSI,O,O,X,X,X,O
TJSILZO,X,X,X,O,O,X
TJSILOZ,X,O,O,O,O,X
TJSIZLO,X,X,X,X,O,X
TJSIZOL,X,X,O,O,O,X
TJSIOLZ,X,O,O,O,O,X
TJSIOZL,X,X,O,O,O,X
TJSLIZO,X,X,X,O,X,X
TJSLIOZ,X,O,O,O,X,X
TJSLZIO,X,X,X,O,X,X
TJSLZOI,X,X,X,O,X,X
TJSLOIZ,X,O,O,O,X,X
TJSLOZI,X,O,O,O,X,X
TJSZILO,X,X,O,X,X,X
TJSZIOL,X,X,O,O,X,X
TJSZLIO,X,X,O,X,X,X
TJSZLOI,X,X,O,X,X,X
TJSZOIL,X,X,O,O,X,X
TJSZOLI,X,X,O,X,X,X
TJSOILZ,X,O,O,O,O,X
TJSOIZL,X,X,O,O,O,X
TJSOLIZ,X,O,O,O,X,X
TJSOLZI,X,O,O,O,X,X
TJSOZIL,X,X,O,O,X,X
TJSOZLI,X,X,O,X,X,X
TJZILSO,O,O,O,X,O,X
TJZILOS,O,O,O,X,O,X
TJZISLO,O,O,O,X,O,X
TJZISOL,O,O,O,X,O,X
TJZIOLS,O,O,O,X,O,X
TJZIOSL,O,O,O,X,O,X
TJZLISO,O,O,O,X,X,X
TJZLIOS,O,O,O,X,X,O
TJZLSIO,O,O,O,X,X,X
TJZLSOI,O,O,O,X,X,X
TJZLOIS,O,O,O,X,X,O
TJZLOSI,O,O,O,X,X,O
TJZSILO,O,O,O,X,X,X
TJZSIOL,O,O,O,X,X,X
TJZSLIO,O,O,O,X,X,X
TJZSLOI,O,O,O,X,X,X
TJZSOIL,O,O,O,X,X,X
TJZSOLI,O,O,O,X,X,X
TJZOILS,O,O,O,X,O,X
TJZOISL,O,O,O,X,O,X
TJZOLIS,O,O,O,X,X,O
TJZOLSI,O,O,O,X,X,O
TJZOSIL,O,O,O,X,X,X
TJZOSLI,O,O,O,X,X,X
TJOILSZ,X,O,O,O,O,X
TJOILZS,O,O,X,X,O,X
TJOISLZ,X,O,O,O,O,X
TJOISZL,X,X,O,O,O,X
TJOIZLS,O,O,X,X,O,X
TJOIZSL,O,X,O,X,O,X
TJOLISZ,X,O,O,O,O,X
TJOLIZS,O,O,X,X,O,X
TJOLSIZ,X,O,O,O,X,X
TJOLSZI,X,O,O,O,X,X
TJOLZIS,O,O,X,X,X,O
TJOLZSI,O,O,X,X,X,O
TJOSILZ,X,O,O,O,O,X
TJOSIZL,X,X,O,O,O,X
TJOSLIZ,X,O,O,O,X,X
TJOSLZI,X,O,O,O,X,X
TJOSZIL,X,X,O,O,X,X
TJOSZLI,X,X,O,X,X,X
TJOZILS,O,O,O,X,O,X
TJOZISL,O,O,O,X,O,X
TJOZLIS,O,O,O,X,X,O
TJOZLSI,O,O,O,X,X,O
TJOZSIL,O,O,O,X,X,X
TJOZSLI,O,O,O,X,X,X
TSILJZO,O,X,X,O,X,X
TSILJOZ,O,O,O,O,X,X
TSILZJO,O,X,X,O,X,X
TSILZOJ,O,X,X,X,X,X
TSILOJZ,O,O,O,X,X,X
TSILOZJ,O,X,X,X,X,X
TSIJLZO,O,X,X,O,O,X
TSIJLOZ,O,O,O,O,O,X
TSIJZLO,O,X,X,X,O,X
TSIJZOL,O,X,O,O,O,X
TSIJOLZ,O,O,O,O,O,X
TSIJOZL,O,X,O,O,O,X
TSIZLJO,O,X,O,X,X,X
TSIZLOJ,O,X,O,X,X,X
TSIZJLO,O,X,O,X,X,X
TSIZJOL,O,X,O,O,X,X
TSIZOLJ,O,X,O,X,X,X
TSIZOJL,O,X,O,X,X,X
TSIOLJZ,O,O,O,X,X,X
TSIOLZJ,O,X,X,X,X,X
TSIOJLZ,O,O,O,X,O,X
TSIOJZL,O,X,O,X,O,X
TSIOZLJ,O,X,O,X,X,X
TSIOZJL,O,X,O,X,X,X
TSLIJZO,O,X,X,O,X,X
TSLIJOZ,O,O,O,O,X,X
TSLIZJO,O,X,X,O,X,X
TSLIZOJ,O,X,X,X,X,X
TSLIOJZ,O,O,O,X,X,X
TSLIOZJ,O,X,X,X,X,X
TSLJIZO,O,X,X,O,X,X
