sequence,v115@ChA8GeC8IeB8CeA8CeE8KeT/IvhFigBmiB5oB0nBlp?B3qB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiB6tBXoB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke2EJvhFRgBTiBXoB6tB0p?BlqB,v115@ChA8GeC8IeB8CeA8CeE8Ke0/IvhFTiBeoB5oB/pBiq?BlqB,v115@ChA8GeC8IeB8CeA8CeE8KeOEJvhFTiBVtBRqB8pB6t?B3qB,v115@ChA8GeC8IeB8CeA8CeE8KexCJvhFTkB2qB0nB6tBlp?B3qB
TOLJZSI,O,O,X,X,X,O
TOLSIJZ,X,O,O,X,X,X
TOLSIZJ,O,X,X,X,X,X
TOLSJIZ,X,O,O,O,X,X
TOLSJZI,X,O,O,O,X,X
TOLSZIJ,O,O,O,X,X,X
TOLSZJI,O,O,O,O,X,X
TOLZIJS,O,O,O,X,X,O
TOLZISJ,O,O,O,X,X,X
TOLZJIS,O,O,O,X,X,O
TOLZJSI,O,O,O,X,X,O
TOLZSIJ,O,O,O,X,X,X
TOLZSJI,O,O,O,X,X,X
TOJILSZ,X,O,O,O,O,X
TOJILZS,O,O,X,X,O,X
TOJISLZ,X,O,O,O,O,X
TOJISZL,X,X,O,O,O,X
TOJIZLS,O,O,X,X,O,X
TOJIZSL,O,X,O,X,O,X
TOJLISZ,X,O,O,O,O,X
TOJLIZS,O,O,X,X,O,X
TOJLSIZ,X,O,O,O,X,X
TOJLSZI,X,O,O,O,X,X
TOJLZIS,O,O,X,X,X,O
TOJLZSI,O,O,X,X,X,O
TOJSILZ,X,O,O,O,O,X
TOJSIZL,X,X,O,O,O,X
TOJSLIZ,X,O,O,O,X,X
TOJSLZI,X,O,O,O,X,X
TOJSZIL,X,X,O,O,X,X
TOJSZLI,X,X,O,X,X,X
TOJZILS,O,O,O,X,O,X
TOJZISL,O,O,O,X,O,X
TOJZLIS,O,O,O,X,X,O
TOJZLSI,O,O,O,X,X,O
TOJZSIL,O,O,O,X,X,X
TOJZSLI,O,O,O,X,X,X
TOSILJZ,X,O,O,X,X,X
TOSILZJ,O,X,X,X,X,X
TOSIJLZ,X,O,O,X,O,X
TOSIJZL,X,X,O,X,O,X
TOSIZLJ,O,X,O,X,X,X
TOSIZJL,O,X,O,X,X,X
TOSLIJZ,X,O,O,X,X,X
TOSLIZJ,O,X,X,X,X,X
TOSLJIZ,X,O,O,O,X,X
TOSLJZI,X,O,O,O,X,X
TOSLZIJ,O,O,O,X,X,X
TOSLZJI,O,O,O,O,X,X
TOSJILZ,X,O,O,O,O,X
TOSJIZL,X,X,O,O,O,X
TOSJLIZ,X,O,O,O,X,X
TOSJLZI,X,O,O,O,X,X
TOSJZIL,X,X,O,O,X,X
TOSJZLI,X,X,O,X,X,X
TOSZILJ,O,O,O,X,X,X
TOSZIJL,O,O,O,X,X,X
TOSZLIJ,O,O,O,X,X,X
TOSZLJI,O,O,O,X,X,X
TOSZJIL,O,O,O,O,X,X
TOSZJLI,O,O,O,X,X,X
TOZILJS,O,O,O,X,X,X
TOZILSJ,O,O,O,X,X,X
TOZIJLS,O,O,O,X,O,X
TOZIJSL,O,O,O,X,O,X
TOZISLJ,O,O,O,X,X,X
TOZISJL,O,O,O,X,X,X
TOZLIJS,O,O,O,X,X,O
TOZLISJ,O,O,O,X,X,X
TOZLJIS,O,O,O,X,X,O
TOZLJSI,O,O,O,X,X,O
TOZLSIJ,O,O,O,X,X,X
TOZLSJI,O,O,O,X,X,X
TOZJILS,O,O,O,X,O,X
TOZJISL,O,O,O,X,O,X
TOZJLIS,O,O,O,X,X,O
TOZJLSI,O,O,O,X,X,O
TOZJSIL,O,O,O,X,X,X
TOZJSLI,O,O,O,X,X,X
TOZSILJ,O,O,O,X,X,X
TOZSIJL,O,O,O,X,X,X
TOZSLIJ,O,O,O,X,X,X
TOZSLJI,O,O,O,X,X,X
TOZSJIL,O,O,O,X,X,X
TOZSJLI,O,O,O,X,X,X
ITLJSZO,X,X,X,O,O,X
ITLJSOZ,X,O,O,O,O,X
ITLJZSO,O,X,X,X,O,X
ITLJZOS,O,O,X,X,O,X
ITLJOSZ,X,O,O,O,O,X
ITLJOZS,O,O,X,X,O,X
ITLSJZO,O,X,X,O,X,X
ITLSJOZ,O,O,O,O,X,X
ITLSZJO,O,X,X,O,X,X
ITLSZOJ,O,X,X,X,X,X
ITLSOJZ,O,O,O,X,X,X
ITLSOZJ,O,X,X,X,X,X
ITLZJSO,O,O,X,X,X,X
ITLZJOS,O,O,X,X,X,X
ITLZSJO,O,O,X,X,X,X
ITLZSOJ,O,O,X,X,X,X
ITLZOJS,O,O,X,X,X,X
ITLZOSJ,O,O,X,X,X,X
ITLOJSZ,X,O,O,X,O,X
ITLOJZS,O,O,X,X,O,X
ITLOSJZ,X,O,O,X,X,X
ITLOSZJ,O,X,X,X,X,X
ITLOZJS,O,O,X,X,X,X
ITLOZSJ,O,O,X,X,X,X
ITJLSZO,X,X,X,O,O,X
ITJLSOZ,X,O,O,O,O,X
ITJLZSO,O,X,X,X,O,X
ITJLZOS,O,O,X,X,O,X
ITJLOSZ,X,O,O,O,O,X
ITJLOZS,O,O,X,X,O,X
ITJSLZO,X,X,X,O,O,X
ITJSLOZ,X,O,O,O,O,X
ITJSZLO,X,X,X,X,O,X
ITJSZOL,X,X,O,O,O,X
ITJSOLZ,X,O,O,O,O,X
ITJSOZL,X,X,O,O,O,X
ITJZLSO,O,X,X,X,O,X
ITJZLOS,O,O,X,X,O,X
ITJZSLO,O,X,X,X,O,X
ITJZSOL,O,X,O,X,O,X
ITJZOLS,O,O,X,X,O,X
ITJZOSL,O,X,O,X,O,X
ITJOLSZ,X,O,O,O,O,X
ITJOLZS,O,O,X,X,O,X
ITJOSLZ,X,O,O,O,O,X
ITJOSZL,X,X,O,O,O,X
ITJOZLS,O,O,X,X,O,X
ITJOZSL,O,X,O,X,O,X
ITSLJZO,O,X,X,O,X,X
ITSLJOZ,O,O,O,O,X,X
ITSLZJO,O,X,X,O,X,X
ITSLZOJ,O,X,X,X,X,X
ITSLOJZ,O,O,O,X,X,X
ITSLOZJ,O,X,X,X,X,X
ITSJLZO,O,X,X,O,O,X
ITSJLOZ,O,O,O,O,O,X
ITSJZLO,O,X,X,X,O,X
ITSJZOL,O,X,O,O,O,X
ITSJOLZ,O,O,O,O,O,X
ITSJOZL,O,X,O,O,O,X
ITSZLJO,O,X,O,X,X,X
ITSZLOJ,O,X,O,X,X,X
ITSZJLO,O,X,O,X,X,X
ITSZJOL,O,X,O,O,X,X
ITSZOLJ,O,X,O,X,X,X
ITSZOJL,O,X,O,X,X,X
ITSOLJZ,O,O,O,X,X,X
ITSOLZJ,O,X,X,X,X,X
ITSOJLZ,O,O,O,X,O,X
ITSOJZL,O,X,O,X,O,X
ITSOZLJ,O,X,O,X,X,X
ITSOZJL,O,X,O,X,X,X
ITZLJSO,O,O,O,X,X,X
ITZLJOS,O,O,O,X,X,X
ITZLSJO,O,O,O,X,X,X
ITZLSOJ,O,O,O,X,X,X
ITZLOJS,O,O,O,X,X,X
ITZLOSJ,O,O,O,X,X,X
ITZJLSO,O,O,O,X,O,X
ITZJLOS,O,O,O,X,O,X
ITZJSLO,O,O,O,X,O,X
ITZJSOL,O,O,O,X,O,X
ITZJOLS,O,O,O,X,O,X
ITZJOSL,O,O,O,X,O,X
ITZSLJO,O,O,O,X,X,X
ITZSLOJ,O,O,O,X,X,X
ITZSJLO,O,O,O,X,X,X
ITZSJOL,O,O,O,X,X,X
ITZSOLJ,O,O,O,X,X,X
ITZSOJL,O,O,O,X,X,X
ITZOLJS,O,O,O,X,X,X
ITZOLSJ,O,O,O,X,X,X
ITZOJLS,O,O,O,X,O,X
ITZOJSL,O,O,O,X,O,X
ITZOSLJ,O,O,O,X,X,X
ITZOSJL,O,O,O,X,X,X
ITOLJSZ,X,O,O,X,O,X
ITOLJZS,O,O,X,X,O,X
ITOLSJZ,X,O,O,X,X,X
ITOLSZJ,O,X,X,X,X,X
ITOLZJS,O,O,X,X,X,X
ITOLZSJ,O,O,X,X,X,X
ITOJLSZ,X,O,O,X,O,X
ITOJLZS,O,O,X,X,O,X
ITOJSLZ,X,O,O,X,O,X
ITOJSZL,X,X,O,X,O,X
ITOJZLS,O,O,X,X,O,X
ITOJZSL,O,X,O,X,O,X
ITOSLJZ,X,O,O,X,X,X
ITOSLZJ,O,X,X,X,X,X
ITOSJLZ,X,O,O,X,O,X
ITOSJZL,X,X,O,X,O,X
ITOSZLJ,O,X,O,X,X,X
ITOSZJL,O,X,O,X,X,X
ITOZLJS,O,O,O,X,X,X
ITOZLSJ,O,O,O,X,X,X
ITOZJLS,O,O,O,X,O,X
ITOZJSL,O,O,O,X,O,X
ITOZSLJ,O,O,O,X,X,X
ITOZSJL,O,O,O,X,X,X
ILTJSZO,X,X,X,O,O,X
ILTJSOZ,X,O,X,O,O,X
ILTJZSO,O,X,X,X,O,X
ILTJZOS,O,O,X,X,O,X
ILTJOSZ,X,O,X,O,O,X
ILTJOZS,O,O,X,X,O,X
ILTSJZO,O,X,X,O,X,X
ILTSJOZ,O,O,X,O,X,X
ILTSZJO,O,X,X,O,X,X
ILTSZOJ,O,X,X,X,X,X
ILTSOJZ,O,O,X,X,X,X
ILTSOZJ,O,X,X,X,X,X
ILTZJSO,O,O,X,X,X,X
ILTZJOS,O,O,X,X,X,X
ILTZSJO,O,O,X,X,X,X
ILTZSOJ,O,O,X,X,X,X
ILTZOJS,O,O,X,X,X,X
ILTZOSJ,O,O,X,X,X,X
ILTOJSZ,X,O,X,X,O,X
ILTOJZS,O,O,X,X,O,X
ILTOSJZ,X,O,X,X,X,X
ILTOSZJ,O,X,X,X,X,X
ILTOZJS,O,O,X,X,X,X
ILTOZSJ,O,O,X,X,X,X
ILJTSZO,X,X,X,O,O,X
ILJTSOZ,X,X,X,O,O,X
ILJTZSO,O,X,X,X,O,X
ILJTZOS,O,X,X,X,O,X
ILJTOSZ,X,X,X,O,O,X
ILJTOZS,O,X,X,X,O,X
ILJSTZO,O,X,X,O,X,X
ILJSTOZ,O,X,X,O,X,X
ILJSZTO,O,X,X,O,X,X
ILJSZOT,O,X,X,O,X,X
ILJSOTZ,X,X,X,O,X,X
ILJSOZT,X,X,X,O,X,X
ILJZTSO,O,X,X,X,X,X
ILJZTOS,O,X,X,X,X,O
ILJZSTO,O,X,X,O,X,X
ILJZSOT,O,X,X,O,X,O
ILJZOTS,O,X,X,X,X,O
ILJZOST,O,X,X,O,X,O
ILJOTSZ,X,X,X,O,O,X
ILJOTZS,X,X,X,X,O,X
ILJOSTZ,X,X,X,O,X,X
ILJOSZT,X,X,X,O,X,X
ILJOZTS,X,X,X,X,X,O
ILJOZST,X,X,X,O,X,O
ILSTJZO,O,X,X,O,X,X
ILSTJOZ,O,X,X,O,X,X
ILSTZJO,O,X,X,O,X,X
ILSTZOJ,O,X,X,X,X,X
ILSTOJZ,O,X,X,X,X,X
ILSTOZJ,O,X,X,X,X,X
ILSJTZO,O,X,X,O,X,X
ILSJTOZ,O,X,X,O,X,X
ILSJZTO,O,X,X,O,X,X
ILSJZOT,O,X,X,O,X,X
ILSJOTZ,X,X,X,O,X,X
ILSJOZT,X,X,X,O,X,X
ILSZTJO,O,X,X,O,X,X
ILSZTOJ,O,X,X,X,X,X
ILSZJTO,O,X,X,O,X,X
ILSZJOT,O,X,X,O,X,X
ILSZOTJ,O,X,X,X,X,X
ILSZOJT,O,X,X,O,X,X
ILSOTJZ,O,X,X,X,X,X
ILSOTZJ,O,X,X,X,X,X
ILSOJTZ,X,X,X,O,X,X
ILSOJZT,X,X,X,O,X,X
ILSOZTJ,O,X,X,X,X,X
ILSOZJT,O,X,X,O,X,X
ILZTJSO,O,X,X,X,X,X
ILZTJOS,O,O,X,X,X,O
ILZTSJO,O,X,X,X,X,X
ILZTSOJ,O,X,X,X,X,X
ILZTOJS,O,O,X,X,X,O
ILZTOSJ,O,X,X,X,X,X
ILZJTSO,O,X,X,X,X,X
ILZJTOS,O,O,X,X,X,O
ILZJSTO,O,X,X,O,X,X
ILZJSOT,O,O,X,O,X,O
ILZJOTS,O,O,X,X,X,O
ILZJOST,O,O,X,O,X,O
ILZSTJO,O,X,X,O,X,X
ILZSTOJ,O,X,X,X,X,X
ILZSJTO,O,X,X,O,X,X
ILZSJOT,O,O,X,O,X,O
ILZSOTJ,O,X,X,X,X,X
ILZSOJT,O,O,X,O,X,O
ILZOTJS,O,O,X,X,X,O
ILZOTSJ,O,X,X,X,X,X
ILZOJTS,O,O,X,X,X,O
ILZOJST,O,O,X,X,X,O
ILZOSTJ,O,X,X,X,X,X
ILZOSJT,O,O,X,X,X,O
ILOTJSZ,X,O,X,X,O,X
ILOTJZS,O,O,X,X,O,X
ILOTSJZ,X,O,X,X,X,X
ILOTSZJ,O,X,X,X,X,X
ILOTZJS,O,O,X,X,X,X
ILOTZSJ,O,O,X,X,X,X
ILOJTSZ,X,X,X,O,O,X
ILOJTZS,X,X,X,X,O,X
ILOJSTZ,X,X,X,O,X,X
ILOJSZT,X,X,X,O,X,X
ILOJZTS,X,X,X,X,X,O
ILOJZST,X,X,X,O,X,O
ILOSTJZ,O,X,X,X,X,X
ILOSTZJ,O,X,X,X,X,X
ILOSJTZ,X,X,X,O,X,X
ILOSJZT,X,X,X,O,X,X
ILOSZTJ,O,X,X,X,X,X
ILOSZJT,O,X,X,O,X,X
ILOZTJS,O,O,X,X,X,O
ILOZTSJ,O,X,X,X,X,X
ILOZJTS,O,O,X,X,X,O
ILOZJST,O,O,X,X,X,O
ILOZSTJ,O,X,X,X,X,X
ILOZSJT,O,O,X,X,X,O
IJTLSZO,X,X,X,O,O,X
IJTLSOZ,X,X,X,O,O,X
IJTLZSO,O,X,X,X,O,X
IJTLZOS,O,X,X,X,O,X
IJTLOSZ,X,X,X,O,O,X
IJTLOZS,O,X,X,X,O,X
IJTSLZO,X,X,X,O,O,X
IJTSLOZ,X,X,X,O,O,X
IJTSZLO,X,X,X,X,O,X
IJTSZOL,X,X,X,O,O,X
IJTSOLZ,X,X,X,O,O,X
IJTSOZL,X,X,X,O,O,X
IJTZLSO,O,X,X,X,O,X
IJTZLOS,O,X,X,X,O,X
IJTZSLO,O,X,X,X,O,X
IJTZSOL,O,X,X,X,O,X
IJTZOLS,O,X,X,X,O,X
IJTZOSL,O,X,X,X,O,X
IJTOLSZ,X,X,X,O,O,X
IJTOLZS,O,X,X,X,O,X
IJTOSLZ,X,X,X,O,O,X
IJTOSZL,X,X,X,O,O,X
IJTOZLS,O,X,X,X,O,X
IJTOZSL,O,X,X,X,O,X
IJLTSZO,X,X,X,O,O,X
IJLTSOZ,X,X,X,O,O,X
IJLTZSO,O,X,X,X,O,X
IJLTZOS,O,X,X,X,O,X
IJLTOSZ,X,X,X,O,O,X
IJLTOZS,O,X,X,X,O,X
IJLSTZO,O,X,X,O,X,X
IJLSTOZ,O,X,X,O,X,X
IJLSZTO,O,X,X,O,X,X
IJLSZOT,O,X,X,O,X,X
IJLSOTZ,X,X,X,O,X,X
IJLSOZT,X,X,X,O,X,X
IJLZTSO,O,X,X,X,X,X
IJLZTOS,O,X,X,X,X,O
IJLZSTO,O,X,X,O,X,X
IJLZSOT,O,X,X,O,X,O
IJLZOTS,O,X,X,X,X,O
IJLZOST,O,X,X,O,X,O
IJLOTSZ,X,X,X,O,O,X
IJLOTZS,X,X,X,X,O,X
IJLOSTZ,X,X,X,O,X,X
IJLOSZT,X,X,X,O,X,X
IJLOZTS,X,X,X,X,X,O
IJLOZST,X,X,X,O,X,O
IJSTLZO,O,X,X,O,O,X
IJSTLOZ,O,X,X,O,O,X
IJSTZLO,O,X,X,X,O,X
IJSTZOL,O,X,X,O,O,X
IJSTOLZ,O,X,X,O,O,X
IJSTOZL,O,X,X,O,O,X
IJSLTZO,O,X,X,O,X,X
IJSLTOZ,O,X,X,O,X,X
IJSLZTO,O,X,X,O,X,X
IJSLZOT,O,X,X,O,X,X
IJSLOTZ,X,X,X,O,X,X
IJSLOZT,X,X,X,O,X,X
IJSZTLO,O,X,X,X,X,X
IJSZTOL,O,X,X,O,X,X
IJSZLTO,O,X,X,O,X,X
IJSZLOT,O,X,X,O,X,X
IJSZOTL,O,X,X,O,X,X
IJSZOLT,O,X,X,O,X,X
IJSOTLZ,X,X,X,O,O,X
IJSOTZL,X,X,X,O,O,X
IJSOLTZ,X,X,X,O,X,X
IJSOLZT,X,X,X,O,X,X
IJSOZTL,X,X,X,O,X,X
IJSOZLT,X,X,X,O,X,X
IJZTLSO,O,X,X,X,O,X
IJZTLOS,O,X,X,X,O,X
IJZTSLO,O,X,X,X,O,X
IJZTSOL,O,X,X,X,O,X
IJZTOLS,O,X,X,X,O,X
IJZTOSL,O,X,X,X,O,X
IJZLTSO,O,X,X,X,X,X
IJZLTOS,O,X,X,X,X,O
IJZLSTO,O,X,X,O,X,X
IJZLSOT,O,X,X,O,X,O
IJZLOTS,O,X,X,X,X,O
IJZLOST,O,X,X,O,X,O
IJZSTLO,O,X,X,X,X,X
IJZSTOL,O,X,X,O,X,X
IJZSLTO,O,X,X,O,X,X
IJZSLOT,O,X,X,O,X,X
IJZSOTL,O,X,X,O,X,X
IJZSOLT,O,X,X,O,X,X
IJZOTLS,O,X,X,X,O,X
IJZOTSL,O,X,X,X,O,X
IJZOLTS,O,X,X,X,X,O
IJZOLST,O,X,X,O,X,O
IJZOSTL,O,X,X,O,X,X
IJZOSLT,O,X,X,O,X,X
IJOTLSZ,X,X,X,O,O,X
IJOTLZS,X,X,X,X,O,X
IJOTSLZ,X,X,X,O,O,X
IJOTSZL,X,X,X,O,O,X
IJOTZLS,X,X,X,X,O,X
IJOTZSL,X,X,X,X,O,X
IJOLTSZ,X,X,X,O,O,X
IJOLTZS,X,X,X,X,O,X
IJOLSTZ,X,X,X,O,X,X
IJOLSZT,X,X,X,O,X,X
IJOLZTS,X,X,X,X,X,O
IJOLZST,X,X,X,O,X,O
IJOSTLZ,X,X,X,O,O,X
IJOSTZL,X,X,X,O,O,X
IJOSLTZ,X,X,X,O,X,X
IJOSLZT,X,X,X,O,X,X
IJOSZTL,X,X,X,O,X,X
IJOSZLT,X,X,X,O,X,X
IJOZTLS,X,X,X,X,O,X
IJOZTSL,X,X,X,X,O,X
IJOZLTS,X,X,X,X,X,O
IJOZLST,X,X,X,O,X,O
IJOZSTL,X,X,X,O,X,X
IJOZSLT,X,X,X,O,X,X
ISTLJZO,O,X,X,O,X,X
ISTLJOZ,O,X,O,O,X,X
ISTLZJO,O,X,X,O,X,X
ISTLZOJ,O,X,X,X,X,X
ISTLOJZ,O,X,O,X,X,X
ISTLOZJ,O,X,X,X,X,X
ISTJLZO,O,X,X,O,O,X
ISTJLOZ,O,X,O,O,O,X
ISTJZLO,O,X,X,X,O,X
ISTJZOL,O,X,O,O,O,X
ISTJOLZ,O,X,O,O,O,X
ISTJOZL,O,X,O,O,O,X
ISTZLJO,O,X,O,X,X,X
ISTZLOJ,O,X,O,X,X,X
ISTZJLO,O,X,O,X,X,X
ISTZJOL,O,X,O,O,X,X
ISTZOLJ,O,X,O,X,X,X
ISTZOJL,O,X,O,X,X,X
ISTOLJZ,O,X,O,X,X,X
ISTOLZJ,O,X,X,X,X,X
ISTOJLZ,O,X,O,X,O,X
ISTOJZL,O,X,O,X,O,X
ISTOZLJ,O,X,O,X,X,X
ISTOZJL,O,X,O,X,X,X
ISLTJZO,O,X,X,O,X,X
ISLTJOZ,O,X,X,O,X,X
ISLTZJO,O,X,X,O,X,X
ISLTZOJ,O,X,X,X,X,X
ISLTOJZ,O,X,X,X,X,X
ISLTOZJ,O,X,X,X,X,X
ISLJTZO,O,X,X,O,X,X
ISLJTOZ,O,X,X,O,X,X
ISLJZTO,O,X,X,O,X,X
ISLJZOT,O,X,X,O,X,X
ISLJOTZ,X,X,X,O,X,X
ISLJOZT,X,X,X,O,X,X
ISLZTJO,O,X,X,O,X,X
ISLZTOJ,O,X,X,X,X,X
ISLZJTO,O,X,X,O,X,X
ISLZJOT,O,X,X,O,X,X
ISLZOTJ,O,X,X,X,X,X
ISLZOJT,O,X,X,O,X,X
ISLOTJZ,O,X,X,X,X,X
ISLOTZJ,O,X,X,X,X,X
ISLOJTZ,X,X,X,O,X,X
ISLOJZT,X,X,X,O,X,X
ISLOZTJ,O,X,X,X,X,X
ISLOZJT,O,X,X,O,X,X
ISJTLZO,O,X,X,O,O,X
ISJTLOZ,O,X,X,O,O,X
ISJTZLO,O,X,X,X,O,X
ISJTZOL,O,X,X,O,O,X
ISJTOLZ,O,X,X,O,O,X
ISJTOZL,O,X,X,O,O,X
ISJLTZO,O,X,X,O,X,X
ISJLTOZ,O,X,X,O,X,X
ISJLZTO,O,X,X,O,X,X
ISJLZOT,O,X,X,O,X,X
ISJLOTZ,X,X,X,O,X,X
ISJLOZT,X,X,X,O,X,X
ISJZTLO,O,X,X,X,X,X
ISJZTOL,O,X,X,O,X,X
ISJZLTO,O,X,X,O,X,X
ISJZLOT,O,X,X,O,X,X
ISJZOTL,O,X,X,O,X,X
ISJZOLT,O,X,X,O,X,X
ISJOTLZ,X,X,X,O,O,X
ISJOTZL,X,X,X,O,O,X
ISJOLTZ,X,X,X,O,X,X
ISJOLZT,X,X,X,O,X,X
ISJOZTL,X,X,X,O,X,X
ISJOZLT,X,X,X,O,X,X
ISZTLJO,O,X,X,X,X,X
ISZTLOJ,O,X,X,X,X,X
ISZTJLO,O,X,X,X,X,X
ISZTJOL,O,X,O,O,X,X
ISZTOLJ,O,X,X,X,X,X
ISZTOJL,O,X,O,X,X,X
ISZLTJO,O,X,X,O,X,X
ISZLTOJ,O,X,X,X,X,X
ISZLJTO,O,X,X,O,X,X
ISZLJOT,O,X,O,O,X,X
ISZLOTJ,O,X,X,X,X,X
ISZLOJT,O,X,O,O,X,X
ISZJTLO,O,X,X,X,X,X
ISZJTOL,O,X,O,O,X,X
ISZJLTO,O,X,X,O,X,X
ISZJLOT,O,X,O,O,X,X
ISZJOTL,O,X,O,O,X,X
ISZJOLT,O,X,O,O,X,X
ISZOTLJ,O,X,X,X,X,X
ISZOTJL,O,X,O,X,X,X
ISZOLTJ,O,X,X,X,X,X
ISZOLJT,O,X,O,X,X,X
ISZOJTL,O,X,O,O,X,X
ISZOJLT,O,X,O,O,X,X
ISOTLJZ,O,X,O,X,X,X
ISOTLZJ,O,X,X,X,X,X
ISOTJLZ,O,X,O,X,O,X
ISOTJZL,O,X,O,X,O,X
ISOTZLJ,O,X,O,X,X,X
ISOTZJL,O,X,O,X,X,X
ISOLTJZ,O,X,X,X,X,X
ISOLTZJ,O,X,X,X,X,X
ISOLJTZ,X,X,X,O,X,X
ISOLJZT,X,X,X,O,X,X
ISOLZTJ,O,X,X,X,X,X
ISOLZJT,O,X,X,O,X,X
ISOJTLZ,X,X,X,O,O,X
ISOJTZL,X,X,X,O,O,X
ISOJLTZ,X,X,X,O,X,X
ISOJLZT,X,X,X,O,X,X
ISOJZTL,X,X,X,O,X,X
ISOJZLT,X,X,X,O,X,X
ISOZTLJ,O,X,X,X,X,X
ISOZTJL,O,X,O,X,X,X
ISOZLTJ,O,X,X,X,X,X
ISOZLJT,O,X,O,X,X,X
ISOZJTL,O,X,O,O,X,X
ISOZJLT,O,X,O,O,X,X
IZTLJSO,O,X,X,X,X,X
IZTLJOS,O,O,X,X,X,X
IZTLSJO,O,X,X,X,X,X
IZTLSOJ,O,X,X,X,X,X
IZTLOJS,O,O,X,X,X,X
IZTLOSJ,O,X,X,X,X,X
IZTJLSO,O,X,X,X,O,X
IZTJLOS,O,O,X,X,O,X
IZTJSLO,O,X,X,X,O,X
IZTJSOL,O,X,O,X,O,X
IZTJOLS,O,O,X,X,O,X
IZTJOSL,O,X,O,X,O,X
IZTSLJO,O,X,X,X,X,X
IZTSLOJ,O,X,X,X,X,X
IZTSJLO,O,X,X,X,X,X
IZTSJOL,O,X,O,X,X,X
IZTSOLJ,O,X,X,X,X,X
IZTSOJL,O,X,O,X,X,X
IZTOLJS,O,O,X,X,X,X
IZTOLSJ,O,X,X,X,X,X
IZTOJLS,O,O,X,X,O,X
IZTOJSL,O,X,O,X,O,X
IZTOSLJ,O,X,X,X,X,X
IZTOSJL,O,X,O,X,X,X
IZLTJSO,O,X,X,X,X,X
IZLTJOS,O,O,X,X,X,O
IZLTSJO,O,X,X,X,X,X
IZLTSOJ,O,X,X,X,X,X
IZLTOJS,O,O,X,X,X,O
IZLTOSJ,O,X,X,X,X,X
IZLJTSO,O,X,X,X,X,X
IZLJTOS,O,O,X,X,X,O
IZLJSTO,O,X,X,O,X,X
IZLJSOT,O,O,O,O,X,O
IZLJOTS,O,O,X,X,X,O
IZLJOST,O,O,O,O,X,O
IZLSTJO,O,X,X,O,X,X
IZLSTOJ,O,X,X,X,X,X
IZLSJTO,O,X,X,O,X,X
IZLSJOT,O,O,O,O,X,O
IZLSOTJ,O,X,X,X,X,X
IZLSOJT,O,O,O,O,X,O
IZLOTJS,O,O,X,X,X,O
IZLOTSJ,O,X,X,X,X,X
IZLOJTS,O,O,X,X,X,O
IZLOJST,O,O,O,X,X,O
IZLOSTJ,O,X,X,X,X,X
IZLOSJT,O,O,O,X,X,O
IZJTLSO,O,X,X,X,O,X
IZJTLOS,O,O,X,X,O,X
IZJTSLO,O,X,X,X,O,X
IZJTSOL,O,X,O,X,O,X
IZJTOLS,O,O,X,X,O,X
IZJTOSL,O,X,O,X,O,X
IZJLTSO,O,X,X,X,X,X
IZJLTOS,O,O,X,X,X,O
IZJLSTO,O,X,X,O,X,X
IZJLSOT,O,O,O,O,X,O
IZJLOTS,O,O,X,X,X,O
IZJLOST,O,O,O,O,X,O
IZJSTLO,O,X,X,X,X,X
IZJSTOL,O,X,O,O,X,X
IZJSLTO,O,X,X,O,X,X
IZJSLOT,O,O,O,O,X,X
IZJSOTL,O,X,O,O,X,X
IZJSOLT,O,O,O,O,X,X
IZJOTLS,O,O,X,X,O,X
IZJOTSL,O,X,O,X,O,X
IZJOLTS,O,O,X,X,X,O
IZJOLST,O,O,O,O,X,O
IZJOSTL,O,X,O,O,X,X
IZJOSLT,O,O,O,O,X,X
IZSTLJO,O,X,X,X,X,X
IZSTLOJ,O,X,X,X,X,X
IZSTJLO,O,X,X,X,X,X
IZSTJOL,O,X,O,O,X,X
IZSTOLJ,O,X,X,X,X,X
IZSTOJL,O,X,O,X,X,X
IZSLTJO,O,X,X,O,X,X
IZSLTOJ,O,X,X,X,X,X
IZSLJTO,O,X,X,O,X,X
IZSLJOT,O,O,O,O,X,X
IZSLOTJ,O,X,X,X,X,X
IZSLOJT,O,O,O,O,X,X
IZSJTLO,O,X,X,X,X,X
IZSJTOL,O,X,O,O,X,X
IZSJLTO,O,X,X,O,X,X
IZSJLOT,O,O,O,O,X,X
IZSJOTL,O,X,O,O,X,X
IZSJOLT,O,O,O,O,X,X
IZSOTLJ,O,X,X,X,X,X
IZSOTJL,O,X,O,X,X,X
IZSOLTJ,O,X,X,X,X,X
IZSOLJT,O,O,O,X,X,X
IZSOJTL,O,X,O,O,X,X
IZSOJLT,O,O,O,O,X,X
IZOTLJS,O,O,X,X,X,X
IZOTLSJ,O,X,X,X,X,X
IZOTJLS,O,O,X,X,O,X
IZOTJSL,O,X,O,X,O,X
IZOTSLJ,O,X,X,X,X,X
IZOTSJL,O,X,O,X,X,X
IZOLTJS,O,O,X,X,X,O
IZOLTSJ,O,X,X,X,X,X
IZOLJTS,O,O,X,X,X,O
IZOLJST,O,O,O,X,X,O
IZOLSTJ,O,X,X,X,X,X
IZOLSJT,O,O,O,X,X,O
IZOJTLS,O,O,X,X,O,X
IZOJTSL,O,X,O,X,O,X
