sequence,v115@9gA8IeB8HeB8GeE8DeB8JeaFJvhFRhBGjBzlB8sB3r?BFsB,v115@9gA8IeB8HeB8GeE8DeB8JeFAJvhFxhBTjB3lB0nBir?BWxB,v115@9gA8IeB8HeB8GeE8DeB8JeFAJvhFxhBTjB3lBcrB2s?BSxB,v115@9gA8IeB8HeB8GeE8DeB8JeRAJvhFzhBcoBilBFrBXs?BusB,v115@9gA8IeB8HeB8GeE8DeB8JeUAJvhFWnBTjBxqBlsBar?BXsB,v115@9gA8IeB8HeB8GeE8DeB8JeUAJvhFFhBXiBTjBmqBRs?BSxB,v115@9gA8IeB8HeB8GeE8DeB8JeUAJvhFTjBxmB3lBCnB2w?BlsB,v115@9gA8IeB8HeB8GeE8DeB8Je3AJvhFTjBxmBUlBCnB2w?BlsB,v115@9gA8IeB8HeB8GeE8DeB8JeRAJvhFcmBSoBTlB/sBmn?B1wB,v115@9gA8IeB8HeB8GeE8DeB8JeRAJvhFUiB2qBXoBzrBFr?BCtB
TILJSZO,X,X,X,O,O,X,X,X,X,X
TILJSOZ,X,X,X,O,O,X,X,X,X,X
TILJZSO,X,X,X,O,O,X,X,X,X,X
TILJZOS,X,X,X,X,O,X,X,X,X,X
TILJOSZ,X,X,X,O,O,X,X,X,X,X
TILJOZS,X,X,X,X,O,X,X,X,X,X
TILSJZO,X,X,X,O,O,X,X,X,X,X
TILSJOZ,X,X,X,O,O,X,X,X,X,X
TILSZJO,X,X,X,O,O,X,X,X,X,X
TILSZOJ,X,X,X,O,O,X,X,X,X,X
TILSOJZ,X,X,X,O,O,X,X,O,X,X
TILSOZJ,X,X,X,O,O,X,X,O,X,X
TILZJSO,X,X,X,O,O,X,X,X,X,X
TILZJOS,X,O,X,X,O,X,X,X,X,X
TILZSJO,X,X,X,O,O,X,X,X,X,X
TILZSOJ,X,O,X,O,O,X,X,X,X,X
TILZOJS,X,O,X,X,O,X,O,X,X,X
TILZOSJ,X,O,X,O,O,X,O,X,X,X
TILOJSZ,X,X,X,O,O,X,X,X,X,X
TILOJZS,X,X,X,X,O,X,X,X,X,X
TILOSJZ,X,X,X,O,O,X,X,O,X,X
TILOSZJ,X,X,X,O,O,X,X,O,X,X
TILOZJS,X,X,X,X,O,X,O,X,X,X
TILOZSJ,X,X,X,O,O,X,O,X,X,X
TIJLSZO,X,X,X,O,O,O,X,X,X,X
TIJLSOZ,X,X,X,O,O,O,X,X,X,X
TIJLZSO,X,X,X,O,O,O,X,X,X,X
TIJLZOS,X,X,X,X,O,O,X,X,X,X
TIJLOSZ,X,X,X,O,O,O,X,X,X,X
TIJLOZS,X,X,O,X,O,O,X,X,X,X
TIJSLZO,X,X,X,O,O,O,X,X,X,X
TIJSLOZ,X,X,X,O,O,O,X,X,X,X
TIJSZLO,X,X,O,O,O,O,X,X,X,X
TIJSZOL,X,X,O,X,O,O,X,X,X,X
TIJSOLZ,X,X,X,X,O,O,X,O,X,X
TIJSOZL,X,X,O,X,O,O,X,O,X,X
TIJZLSO,X,X,X,O,O,O,X,X,X,X
TIJZLOS,X,X,O,X,O,O,X,X,X,X
TIJZSLO,X,X,X,O,O,O,X,X,X,X
TIJZSOL,X,X,O,X,O,O,X,X,X,X
TIJZOLS,X,X,O,X,O,O,O,X,X,X
TIJZOSL,X,X,O,X,O,O,O,X,X,X
TIJOLSZ,X,X,X,X,O,O,X,X,X,X
TIJOLZS,X,X,O,X,O,O,X,X,X,X
TIJOSLZ,X,X,X,X,O,O,X,O,X,X
TIJOSZL,X,X,O,X,O,O,X,O,X,X
TIJOZLS,X,X,O,X,O,O,O,X,X,X
TIJOZSL,X,X,O,X,O,O,O,X,X,X
TISLJZO,X,O,X,O,O,X,X,X,X,X
TISLJOZ,X,O,X,O,O,X,X,X,X,X
TISLZJO,X,O,O,O,O,X,X,X,X,X
TISLZOJ,X,O,O,O,O,X,X,X,O,X
TISLOJZ,X,O,X,O,O,X,X,O,X,X
TISLOZJ,X,O,O,O,O,X,X,O,O,X
TISJLZO,X,O,X,O,O,O,X,X,X,X
TISJLOZ,X,O,X,O,O,O,X,X,X,X
TISJZLO,X,X,O,O,O,O,X,X,X,X
TISJZOL,X,O,O,X,O,O,X,X,X,X
TISJOLZ,X,O,X,X,O,O,X,O,X,X
TISJOZL,X,O,O,X,O,O,X,O,X,X
TISZLJO,X,O,O,O,O,X,X,X,X,X
TISZLOJ,X,O,O,O,O,X,X,X,O,X
TISZJLO,X,X,O,O,O,O,X,X,X,X
TISZJOL,X,O,O,X,O,O,X,X,X,X
TISZOLJ,X,O,O,O,O,X,O,O,O,X
TISZOJL,X,O,O,X,O,O,O,O,O,X
TISOLJZ,X,O,X,O,O,X,X,O,X,X
TISOLZJ,X,O,O,O,O,X,X,O,O,X
TISOJLZ,X,O,X,X,O,O,X,O,X,X
TISOJZL,X,O,O,X,O,O,X,O,X,X
TISOZLJ,X,O,O,O,O,X,O,O,O,X
TISOZJL,X,O,O,X,O,O,O,O,O,X
TIZLJSO,X,X,X,O,O,X,X,X,X,X
TIZLJOS,X,O,O,X,O,X,X,X,X,X
TIZLSJO,X,X,X,O,O,X,X,X,X,X
TIZLSOJ,X,O,X,O,O,X,X,X,X,X
TIZLOJS,X,O,O,X,O,X,O,X,X,X
TIZLOSJ,X,O,O,O,O,X,O,X,X,X
TIZJLSO,X,X,X,O,O,O,X,X,X,X
TIZJLOS,X,X,O,X,O,O,O,X,X,X
TIZJSLO,X,X,X,O,O,O,X,X,X,X
TIZJSOL,X,X,O,X,O,O,O,X,X,X
TIZJOLS,X,O,O,X,O,O,O,X,X,X
TIZJOSL,X,O,O,X,O,O,O,X,X,X
TIZSLJO,X,O,X,O,O,X,X,X,X,X
TIZSLOJ,X,O,X,O,O,X,X,X,O,X
TIZSJLO,X,X,X,O,O,O,X,X,X,X
TIZSJOL,X,O,O,X,O,O,X,X,X,X
TIZSOLJ,X,O,O,O,O,X,O,O,O,X
TIZSOJL,X,O,O,X,O,O,O,O,O,X
TIZOLJS,X,O,O,X,O,X,O,X,X,X
TIZOLSJ,X,O,O,O,O,X,O,X,O,X
TIZOJLS,X,O,O,X,O,O,O,X,X,X
TIZOJSL,X,O,O,X,O,O,O,X,O,X
TIZOSLJ,X,O,O,O,O,X,O,O,O,X
TIZOSJL,X,O,O,X,O,O,O,O,O,X
TIOLJSZ,X,X,X,O,O,X,X,X,X,X
TIOLJZS,X,X,X,X,O,X,X,X,X,X
TIOLSJZ,X,X,X,O,O,X,X,O,X,X
TIOLSZJ,X,X,X,O,O,X,X,O,X,X
TIOLZJS,X,X,X,X,O,X,O,X,X,X
TIOLZSJ,X,X,X,O,O,X,O,X,X,X
TIOJLSZ,X,X,X,X,O,O,X,X,X,X
TIOJLZS,X,X,O,X,O,O,X,X,X,X
TIOJSLZ,X,X,X,X,O,O,X,O,X,X
TIOJSZL,X,X,O,X,O,O,X,O,X,X
TIOJZLS,X,X,O,X,O,O,O,X,X,X
TIOJZSL,X,X,O,X,O,O,O,X,X,X
TIOSLJZ,X,O,X,O,O,X,X,O,X,X
TIOSLZJ,X,O,O,O,O,X,X,O,O,X
TIOSJLZ,X,O,X,X,O,O,X,O,X,X
TIOSJZL,X,O,O,X,O,O,X,O,X,X
TIOSZLJ,X,O,O,O,O,X,O,O,O,X
TIOSZJL,X,O,O,X,O,O,O,O,O,X
TIOZLJS,X,O,O,X,O,X,O,X,X,X
TIOZLSJ,X,O,O,O,O,X,O,X,O,X
TIOZJLS,X,O,O,X,O,O,O,X,X,X
TIOZJSL,X,O,O,X,O,O,O,X,O,X
TIOZSLJ,X,O,O,O,O,X,O,O,O,X
TIOZSJL,X,O,O,X,O,O,O,O,O,X
TLIJSZO,X,X,X,O,O,X,X,X,X,X
TLIJSOZ,X,X,X,O,O,X,X,X,X,X
TLIJZSO,X,X,X,O,O,X,X,X,X,X
TLIJZOS,X,X,X,X,O,X,X,X,X,X
TLIJOSZ,X,X,X,O,O,X,X,X,X,X
TLIJOZS,X,X,X,X,O,X,X,X,X,X
TLISJZO,X,X,X,O,O,X,X,X,X,X
TLISJOZ,X,X,X,O,O,X,X,X,X,X
TLISZJO,X,X,X,O,O,X,X,X,X,X
TLISZOJ,X,X,X,O,O,X,X,X,X,X
TLISOJZ,X,X,X,O,O,X,X,O,X,X
TLISOZJ,X,X,X,O,O,X,X,O,X,X
TLIZJSO,X,X,X,O,O,X,X,X,X,X
TLIZJOS,X,O,X,X,O,X,X,X,X,X
TLIZSJO,X,X,X,O,O,X,X,X,X,X
TLIZSOJ,X,O,X,O,O,X,X,X,X,X
TLIZOJS,X,O,X,X,O,X,O,X,X,X
TLIZOSJ,X,O,X,O,O,X,O,X,X,X
TLIOJSZ,X,X,X,O,O,X,X,X,X,X
TLIOJZS,X,X,X,X,O,X,X,X,X,X
TLIOSJZ,X,X,X,O,O,X,X,O,X,X
TLIOSZJ,X,X,X,O,O,X,X,O,X,X
TLIOZJS,X,X,X,X,O,X,O,X,X,X
TLIOZSJ,X,X,X,O,O,X,O,X,X,X
TLJISZO,X,X,X,O,O,X,X,X,X,X
TLJISOZ,X,X,X,O,O,X,X,X,X,X
TLJIZSO,X,X,X,O,O,X,X,X,X,X
TLJIZOS,X,X,X,X,O,X,X,X,X,X
TLJIOSZ,X,X,X,O,O,X,X,X,X,X
TLJIOZS,X,X,O,X,O,X,X,X,X,X
TLJSIZO,X,X,X,O,X,X,X,X,X,X
TLJSIOZ,X,X,X,O,X,X,X,X,X,X
TLJSZIO,X,X,O,O,X,X,X,X,X,X
TLJSZOI,X,X,O,O,X,X,X,X,X,X
TLJSOIZ,O,X,X,O,X,X,X,X,X,X
TLJSOZI,X,X,O,O,X,X,X,X,X,X
TLJZISO,X,X,X,O,O,X,X,X,X,X
TLJZIOS,X,O,O,X,O,X,X,X,X,X
TLJZSIO,X,X,X,O,X,X,X,X,X,X
TLJZSOI,O,X,X,O,X,X,X,X,X,X
TLJZOIS,O,O,O,X,O,X,X,X,X,X
TLJZOSI,O,X,X,X,X,X,X,X,X,X
TLJOISZ,O,X,X,O,O,X,X,X,X,X
TLJOIZS,O,X,O,X,O,X,X,X,X,X
TLJOSIZ,O,X,X,O,X,X,X,X,X,X
TLJOSZI,X,X,O,O,X,X,X,X,X,X
TLJOZIS,O,X,O,X,O,X,X,X,X,X
TLJOZSI,O,X,X,X,X,X,X,X,X,X
TLSIJZO,X,O,X,O,X,X,X,X,X,X
TLSIJOZ,X,O,X,O,X,X,X,X,X,X
TLSIZJO,X,O,O,O,X,X,X,X,X,X
TLSIZOJ,X,O,O,O,X,X,X,X,O,X
TLSIOJZ,X,O,X,O,X,X,X,X,X,X
TLSIOZJ,X,O,O,O,X,X,X,X,O,X
TLSJIZO,X,O,X,O,X,X,X,X,X,X
TLSJIOZ,X,O,X,O,X,X,X,X,X,X
TLSJZIO,X,O,O,O,X,X,X,X,X,X
TLSJZOI,X,O,O,O,X,X,X,X,O,X
TLSJOIZ,O,O,X,O,X,X,X,X,X,X
TLSJOZI,X,X,O,O,X,X,X,X,O,X
TLSZIJO,X,O,O,O,X,X,X,X,X,X
TLSZIOJ,X,O,O,O,X,X,X,X,O,X
TLSZJIO,X,O,O,O,X,X,X,X,X,X
TLSZJOI,O,O,O,O,X,X,X,X,O,X
TLSZOIJ,O,O,O,O,X,X,X,X,O,X
TLSZOJI,O,O,O,O,X,X,X,X,O,X
TLSOIJZ,O,O,X,O,X,X,X,X,X,X
TLSOIZJ,O,O,O,O,X,X,X,X,O,X
TLSOJIZ,O,O,X,O,X,X,X,X,X,X
TLSOJZI,X,X,O,O,X,X,X,X,O,X
TLSOZIJ,O,O,O,O,X,X,X,X,O,X
TLSOZJI,O,O,O,O,X,X,X,X,O,X
TLZIJSO,X,X,X,O,O,X,X,X,X,X
TLZIJOS,X,O,O,X,O,X,X,X,X,X
TLZISJO,X,O,X,O,O,X,X,X,X,X
TLZISOJ,X,O,X,O,O,X,X,X,X,X
TLZIOJS,X,O,O,X,O,X,O,X,X,X
TLZIOSJ,X,O,O,O,O,X,O,X,X,X
TLZJISO,X,X,X,O,O,X,X,X,X,X
TLZJIOS,X,O,O,X,O,X,O,X,X,X
TLZJSIO,X,X,X,O,X,X,X,X,X,X
TLZJSOI,O,X,X,O,X,X,X,X,X,X
TLZJOIS,O,O,O,X,O,X,O,X,X,X
TLZJOSI,O,X,X,X,X,X,X,X,X,X
TLZSIJO,X,O,X,O,X,X,X,X,X,X
TLZSIOJ,X,O,X,O,X,X,X,X,O,X
TLZSJIO,X,O,X,O,X,X,X,X,X,X
TLZSJOI,O,O,X,O,X,X,X,X,O,X
TLZSOIJ,O,O,X,O,X,X,X,X,O,X
TLZSOJI,O,O,X,O,X,X,X,X,O,X
TLZOIJS,O,O,O,X,O,X,O,X,X,X
TLZOISJ,X,O,O,O,O,X,O,X,O,X
TLZOJIS,O,O,O,X,O,X,O,X,X,X
TLZOJSI,O,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,X,O,X,X,X,X,O,X
TLZOSJI,O,O,X,O,X,X,X,X,O,X
TLOIJSZ,O,X,X,O,O,X,X,X,X,X
TLOIJZS,O,X,X,X,O,X,X,X,X,X
TLOISJZ,O,X,X,O,O,X,X,O,X,X
TLOISZJ,O,X,X,O,O,X,X,O,X,X
TLOIZJS,O,X,X,X,O,X,O,X,X,X
TLOIZSJ,X,X,X,O,O,X,O,X,X,X
TLOJISZ,O,X,X,O,O,X,X,X,X,X
TLOJIZS,O,X,O,X,O,X,X,X,X,X
TLOJSIZ,O,X,X,O,X,X,X,X,X,X
TLOJSZI,X,X,O,O,X,X,X,X,X,X
TLOJZIS,O,X,O,X,O,X,X,X,X,X
TLOJZSI,O,X,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,O,X,X,X,X,X,X
TLOSIZJ,O,O,O,O,X,X,X,X,O,X
TLOSJIZ,O,O,X,O,X,X,X,X,X,X
TLOSJZI,X,X,O,O,X,X,X,X,O,X
TLOSZIJ,O,O,O,O,X,X,X,X,O,X
TLOSZJI,O,O,O,O,X,X,X,X,O,X
TLOZIJS,O,O,O,X,O,X,O,X,X,X
TLOZISJ,X,O,O,O,O,X,O,X,O,X
TLOZJIS,O,O,O,X,O,X,O,X,X,X
TLOZJSI,O,X,X,X,X,X,X,X,X,X
TLOZSIJ,O,O,X,O,X,X,X,X,O,X
TLOZSJI,O,O,X,O,X,X,X,X,O,X
TJILSZO,X,X,X,O,O,O,X,X,X,X
TJILSOZ,X,X,X,O,O,O,X,O,X,X
TJILZSO,X,X,X,O,O,O,X,X,X,X
TJILZOS,X,X,X,X,O,O,O,X,X,X
TJILOSZ,X,X,X,O,O,O,X,O,X,X
TJILOZS,X,X,O,X,O,O,O,X,X,X
TJISLZO,X,X,X,O,O,O,X,X,X,X
TJISLOZ,X,X,X,O,O,O,X,O,X,X
TJISZLO,X,X,O,O,O,O,X,X,X,X
TJISZOL,X,X,O,X,O,O,O,O,X,X
TJISOLZ,X,X,X,X,O,O,X,O,X,X
TJISOZL,X,X,O,X,O,O,O,O,X,X
TJIZLSO,X,X,X,O,O,O,X,X,X,X
TJIZLOS,X,X,O,X,O,O,O,X,X,X
TJIZSLO,X,X,O,O,O,O,X,X,X,X
TJIZSOL,X,X,O,X,O,O,O,O,X,X
TJIZOLS,X,X,O,X,O,O,O,X,X,X
TJIZOSL,X,X,O,X,O,O,O,O,X,X
TJIOLSZ,X,X,X,X,O,O,X,O,X,X
TJIOLZS,X,X,O,X,O,O,O,X,X,X
TJIOSLZ,X,X,X,X,O,O,X,O,X,X
TJIOSZL,X,X,O,X,O,O,O,O,X,X
TJIOZLS,X,X,O,X,O,O,O,X,X,X
TJIOZSL,X,X,O,X,O,O,O,O,X,X
TJLISZO,X,X,X,O,O,O,X,X,X,X
TJLISOZ,X,X,X,O,O,O,X,O,X,X
TJLIZSO,X,X,X,O,O,O,X,X,X,X
TJLIZOS,X,X,X,X,O,O,O,X,X,X
TJLIOSZ,X,X,X,O,O,O,X,O,X,X
TJLIOZS,X,X,O,X,O,O,O,X,X,X
TJLSIZO,X,X,X,O,X,X,X,X,X,X
TJLSIOZ,X,X,X,O,X,X,X,X,X,X
TJLSZIO,X,X,O,O,X,X,X,X,X,X
TJLSZOI,X,X,O,O,X,X,X,X,X,X
TJLSOIZ,O,X,X,O,X,X,X,X,X,X
TJLSOZI,X,X,O,O,X,X,X,X,X,X
TJLZISO,X,X,X,O,O,O,X,X,X,X
TJLZIOS,X,O,O,X,O,O,O,X,X,X
TJLZSIO,X,X,X,O,X,X,X,X,X,X
TJLZSOI,O,X,X,O,X,X,X,X,X,X
TJLZOIS,O,O,O,X,O,O,O,X,X,X
