sequence,v115@BhB8IeB8GeC8DeA8BeC8BeA8Jex/IvhF6nBTjBOpBl?lBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhF0iB6oBfqBl?lBzsBGqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8Jex/IvhF6nBOpBllBT?oBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFFgB0iB6oBf?qBuqBzsB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JexCJvhF0kBllBCoBO?pBXtBTqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFqkBllBGoBX?oBTqB0sB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFqkBllBGoB0?nBTqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhF1lB6nBWqBT?oBUqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFukB1lBXjBc?tB6sBTqB,v115@BhB8IeB8GeC8DeA8BeC8BeA8JeZEJvhFukB1lB0iBS?tBTqBXtB,v115@BhB8IeB8GeC8DeA8BeC8BeA8Je0AJvhFxiB3kBTqBC?tBOpBFtB
TILJSZO,O,X,X,O,X,O,O,X,X,X,X
TILJSOZ,O,X,X,O,X,O,X,O,X,X,X
TILJZSO,O,X,X,O,X,O,O,X,O,X,X
TILJZOS,X,X,X,X,X,X,O,O,X,X,X
TILJOSZ,O,X,X,X,X,O,X,O,X,X,X
TILJOZS,X,X,O,X,X,X,O,O,X,X,X
TILSJZO,O,X,X,O,X,O,O,X,X,X,X
TILSJOZ,O,X,X,X,X,O,X,O,X,X,X
TILSZJO,X,X,X,O,X,X,X,X,X,X,X
TILSZOJ,O,X,X,O,X,X,X,X,X,X,X
TILSOJZ,O,X,X,X,X,X,X,O,X,X,X
TILSOZJ,O,X,X,O,X,X,X,X,X,X,X
TILZJSO,X,X,X,O,X,O,O,X,O,X,X
TILZJOS,X,X,X,X,X,X,O,O,X,X,X
TILZSJO,X,X,X,O,X,X,X,X,O,X,X
TILZSOJ,O,X,X,O,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,O,X,O,X
TILZOSJ,X,X,X,X,X,X,X,X,X,O,X
TILOJSZ,X,X,X,X,X,O,X,O,X,O,X
TILOJZS,X,X,O,X,X,X,O,O,X,O,X
TILOSJZ,O,X,X,X,X,X,X,O,X,O,X
TILOSZJ,O,X,X,X,X,X,X,X,X,O,X
TILOZJS,X,X,X,X,X,X,X,O,X,O,X
TILOZSJ,X,X,X,X,X,X,X,X,X,O,X
TIJLSZO,O,X,X,O,X,O,O,X,X,X,X
TIJLSOZ,O,X,X,O,X,O,X,O,X,X,X
TIJLZSO,O,X,X,O,X,O,O,X,O,X,X
TIJLZOS,X,X,X,X,X,X,O,O,X,X,X
TIJLOSZ,O,X,X,X,X,O,X,O,X,X,X
TIJLOZS,X,X,O,X,X,X,O,O,X,X,X
TIJSLZO,O,X,X,O,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,O,X,X,X,O,X,X,X
TIJSZLO,O,X,X,O,X,X,X,X,O,X,X
TIJSZOL,O,X,X,O,X,X,X,X,O,X,X
TIJSOLZ,O,X,X,O,X,X,X,O,X,X,X
TIJSOZL,O,X,X,O,X,X,X,X,X,X,X
TIJZLSO,O,X,X,O,X,X,X,X,O,X,X
TIJZLOS,X,X,X,X,X,X,X,O,X,X,X
TIJZSLO,O,X,X,O,X,X,X,X,O,X,X
TIJZSOL,O,X,X,O,X,X,X,X,O,X,X
TIJZOLS,X,X,X,X,X,X,X,O,X,X,X
TIJZOSL,X,X,X,X,X,X,X,X,O,X,X
TIJOLSZ,O,X,X,O,X,X,X,O,X,X,X
TIJOLZS,X,X,O,O,X,X,X,O,X,X,X
TIJOSLZ,O,X,X,O,X,X,X,O,X,X,X
TIJOSZL,O,X,X,O,X,X,X,X,X,X,X
TIJOZLS,X,X,X,O,X,X,X,O,X,X,X
TIJOZSL,X,X,X,O,X,X,X,X,O,X,X
TISLJZO,O,X,X,O,O,X,X,X,X,X,X
TISLJOZ,O,X,X,X,X,X,X,O,X,X,X
TISLZJO,X,X,X,O,O,X,X,X,X,X,X
TISLZOJ,O,X,X,O,O,X,X,X,X,X,X
TISLOJZ,O,O,X,O,X,X,X,O,X,X,X
TISLOZJ,O,O,X,O,O,X,X,X,X,X,X
TISJLZO,O,X,X,O,X,X,X,X,X,X,X
TISJLOZ,O,X,X,X,X,X,X,O,X,X,X
TISJZLO,O,X,X,O,X,X,X,X,O,X,X
TISJZOL,O,X,X,X,X,X,X,X,O,X,X
TISJOLZ,O,O,X,O,X,X,X,O,X,X,X
TISJOZL,O,O,X,O,X,X,X,X,X,X,X
TISZLJO,X,X,X,O,O,X,X,X,O,X,X
TISZLOJ,O,X,X,O,O,X,X,X,X,X,X
TISZJLO,X,X,X,O,X,X,X,X,O,X,X
TISZJOL,X,X,X,X,X,X,X,X,O,X,X
TISZOLJ,O,O,X,O,X,X,X,X,X,X,X
TISZOJL,X,O,X,O,X,X,X,X,O,X,X
TISOLJZ,O,O,X,O,X,X,X,O,X,X,X
TISOLZJ,O,O,X,O,X,X,X,X,X,X,X
TISOJLZ,O,O,X,O,X,X,X,O,X,X,X
TISOJZL,O,O,X,O,X,X,X,X,X,X,X
TISOZLJ,O,O,X,O,X,X,X,X,X,X,X
TISOZJL,X,O,X,O,X,X,X,X,X,X,X
TIZLJSO,X,X,X,O,X,X,X,X,O,X,X
TIZLJOS,X,X,X,X,X,X,X,O,X,X,X
TIZLSJO,X,X,X,O,X,X,X,X,O,X,X
TIZLSOJ,O,X,X,O,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,X,O,X,O,X
TIZLOSJ,X,X,X,X,X,X,X,X,X,O,X
TIZJLSO,X,X,X,O,X,X,X,X,O,X,X
TIZJLOS,X,X,X,X,X,X,X,O,X,X,X
TIZJSLO,X,X,X,O,X,X,X,X,O,X,X
TIZJSOL,X,X,X,O,X,X,X,X,O,X,X
TIZJOLS,X,X,X,X,X,X,X,O,X,X,X
TIZJOSL,X,X,X,X,X,X,X,X,O,X,X
TIZSLJO,X,X,X,O,O,X,X,X,O,X,X
TIZSLOJ,O,X,X,O,O,X,X,X,X,X,X
TIZSJLO,X,X,X,O,X,X,X,X,O,X,X
TIZSJOL,X,X,X,X,X,X,X,X,O,X,X
TIZSOLJ,O,X,X,O,X,X,X,X,O,X,X
TIZSOJL,X,X,X,X,X,X,X,X,O,X,X
TIZOLJS,X,X,X,X,X,X,X,O,O,O,X
TIZOLSJ,X,X,X,X,X,X,X,X,O,O,X
TIZOJLS,X,X,X,X,X,X,X,O,O,O,X
TIZOJSL,X,X,X,X,X,X,X,X,O,O,X
TIZOSLJ,X,X,X,X,X,X,X,X,O,O,X
TIZOSJL,X,X,X,X,X,X,X,X,O,O,X
TIOLJSZ,X,X,X,O,X,X,X,O,X,O,X
TIOLJZS,X,X,O,O,X,X,X,O,O,O,X
TIOLSJZ,O,O,X,O,X,X,X,O,X,O,X
TIOLSZJ,O,O,X,O,X,X,X,X,X,O,X
TIOLZJS,X,X,X,O,X,X,X,O,O,O,X
TIOLZSJ,X,O,X,O,X,X,X,X,O,O,X
TIOJLSZ,X,X,X,O,X,X,X,O,X,O,X
TIOJLZS,X,X,O,O,X,X,X,O,O,O,X
TIOJSLZ,X,X,X,O,X,X,X,O,X,O,X
TIOJSZL,X,X,X,O,X,X,X,X,O,O,X
TIOJZLS,X,X,X,O,X,X,X,O,O,O,X
TIOJZSL,X,X,X,O,X,X,X,X,O,O,X
TIOSLJZ,O,O,X,O,X,X,X,O,X,O,X
TIOSLZJ,O,O,X,O,X,X,X,X,X,O,X
TIOSJLZ,O,O,X,O,X,X,X,O,X,O,X
TIOSJZL,X,O,X,O,X,X,X,X,O,O,X
TIOSZLJ,O,O,X,O,X,X,X,X,O,O,X
TIOSZJL,X,O,X,O,X,X,X,X,O,O,X
TIOZLJS,X,X,X,O,X,X,X,O,O,O,X
TIOZLSJ,X,O,X,O,X,X,X,X,O,O,X
TIOZJLS,X,X,X,O,X,X,X,O,O,O,X
TIOZJSL,X,X,X,O,X,X,X,X,O,O,X
TIOZSLJ,X,O,X,O,X,X,X,X,O,O,X
TIOZSJL,X,O,X,O,X,X,X,X,O,O,X
TLIJSZO,O,X,X,O,X,O,O,X,X,X,X
TLIJSOZ,O,X,X,O,X,O,X,O,X,X,X
TLIJZSO,O,X,X,O,X,O,O,X,O,X,X
TLIJZOS,X,X,X,X,X,X,O,O,X,X,X
TLIJOSZ,O,X,X,X,X,O,X,O,X,X,X
