sequence,v115@QhC8GeF8AeA8AeB8Je2EJvhFRgBzhBCjB3lB8sBlrB,v115@QhC8GeF8AeA8AeB8JeT/IvhFxhBXjBilBurB0lBlsB,v115@QhC8GeF8AeA8AeB8JeT/IvhFigB3hB5nBOoB1qB8rB,v115@QhC8GeF8AeA8AeB8JeT/IvhFigBWnBxiB3lB8sBlrB,v115@QhC8GeF8AeA8AeB8JeT/IvhFKlBfmBlhB5nBOoB8rB,v115@QhC8GeF8AeA8AeB8Jei/IvhFzgBUlBRnBXoBlrBGsB
TOJZSIL,O,O,O,O,X,X
TOJZSLI,O,O,O,O,X,X
TOSILJZ,O,O,O,X,X,X
TOSILZJ,O,X,O,O,X,X
TOSIJLZ,O,O,O,X,X,X
TOSIJZL,O,O,O,X,X,X
TOSIZLJ,O,X,O,O,X,X
TOSIZJL,O,X,O,O,X,X
TOSLIJZ,O,O,O,X,X,X
TOSLIZJ,O,X,O,O,X,X
TOSLJIZ,O,O,O,X,X,X
TOSLJZI,O,O,O,O,X,X
TOSLZIJ,O,X,O,O,X,X
TOSLZJI,O,O,O,O,X,X
TOSJILZ,O,O,O,X,X,X
TOSJIZL,O,O,O,X,X,X
TOSJLIZ,O,O,O,X,X,X
TOSJLZI,O,O,O,O,X,X
TOSJZIL,O,O,O,O,X,X
TOSJZLI,O,O,O,O,X,X
TOSZILJ,O,X,O,O,X,X
TOSZIJL,O,X,O,O,X,X
TOSZLIJ,O,X,O,O,X,X
TOSZLJI,O,O,O,O,X,X
TOSZJIL,O,O,O,O,X,X
TOSZJLI,O,O,O,O,X,X
TOZILJS,O,X,O,O,O,O
TOZILSJ,O,X,O,O,O,O
TOZIJLS,O,X,O,O,O,O
TOZIJSL,O,X,O,O,X,X
TOZISLJ,O,X,O,O,X,O
TOZISJL,O,X,O,O,X,X
TOZLIJS,O,X,O,O,O,O
TOZLISJ,O,X,O,O,O,O
TOZLJIS,O,O,O,O,O,O
TOZLJSI,O,O,O,O,O,X
TOZLSIJ,O,X,O,O,O,O
TOZLSJI,O,O,O,O,O,X
TOZJILS,O,O,O,O,O,O
TOZJISL,O,O,O,O,X,X
TOZJLIS,O,O,O,O,O,O
TOZJLSI,O,O,O,O,O,X
TOZJSIL,O,O,O,O,X,X
TOZJSLI,O,O,O,O,X,X
TOZSILJ,O,X,O,O,X,O
TOZSIJL,O,X,O,O,X,X
TOZSLIJ,O,X,O,O,X,O
TOZSLJI,O,O,O,O,X,X
TOZSJIL,O,O,O,O,X,X
TOZSJLI,O,O,O,O,X,X
ITLJSZO,X,O,O,X,O,X
ITLJSOZ,X,O,O,X,O,X
ITLJZSO,X,O,O,X,O,X
ITLJZOS,X,O,O,X,O,O
ITLJOSZ,X,O,O,X,O,X
ITLJOZS,X,O,O,X,O,X
ITLSJZO,X,O,O,X,O,X
ITLSJOZ,X,O,O,X,O,X
ITLSZJO,X,X,O,X,O,X
ITLSZOJ,X,X,O,X,O,O
ITLSOJZ,X,O,O,X,O,X
ITLSOZJ,X,X,O,X,O,X
ITLZJSO,X,X,O,X,O,X
ITLZJOS,X,X,O,X,O,O
ITLZSJO,X,X,O,X,O,X
ITLZSOJ,X,X,O,X,O,O
ITLZOJS,X,X,O,X,O,O
ITLZOSJ,X,X,O,X,O,O
ITLOJSZ,X,O,O,X,O,X
ITLOJZS,X,O,O,X,O,X
ITLOSJZ,X,O,O,X,O,X
ITLOSZJ,X,X,O,X,O,X
ITLOZJS,X,X,O,X,O,O
ITLOZSJ,X,X,O,X,O,O
ITJLSZO,X,O,O,X,O,X
ITJLSOZ,X,O,O,X,O,X
ITJLZSO,O,O,O,X,O,X
ITJLZOS,O,O,O,X,O,O
ITJLOSZ,X,O,O,X,O,X
ITJLOZS,O,O,O,X,O,X
ITJSLZO,O,O,O,X,O,X
ITJSLOZ,O,O,O,X,O,X
ITJSZLO,O,O,O,X,O,X
ITJSZOL,O,O,O,X,O,X
ITJSOLZ,O,O,O,X,X,X
ITJSOZL,O,O,O,X,X,X
ITJZLSO,O,O,O,X,O,X
ITJZLOS,O,O,O,X,O,O
ITJZSLO,O,O,O,X,O,X
ITJZSOL,O,O,O,X,O,X
ITJZOLS,O,O,O,X,O,O
ITJZOSL,O,O,O,X,O,X
ITJOLSZ,X,O,O,X,O,X
ITJOLZS,O,O,O,X,O,X
ITJOSLZ,O,O,O,X,X,X
ITJOSZL,O,O,O,X,X,X
ITJOZLS,O,O,O,X,O,X
ITJOZSL,O,O,O,X,X,X
ITSLJZO,O,O,O,X,O,X
ITSLJOZ,O,O,O,X,O,X
ITSLZJO,O,X,O,O,O,X
ITSLZOJ,O,X,O,O,O,O
ITSLOJZ,O,O,O,X,O,X
ITSLOZJ,O,X,O,O,O,X
ITSJLZO,O,O,O,X,O,X
ITSJLOZ,O,O,O,X,O,X
ITSJZLO,O,O,O,X,O,X
ITSJZOL,O,O,O,X,O,X
ITSJOLZ,O,O,O,X,X,X
ITSJOZL,O,O,O,X,X,X
ITSZLJO,O,X,O,O,O,X
ITSZLOJ,O,X,O,O,O,O
ITSZJLO,O,X,O,O,O,X
ITSZJOL,O,X,O,O,O,X
ITSZOLJ,O,X,O,O,O,O
ITSZOJL,O,X,O,O,O,X
ITSOLJZ,O,O,O,X,X,X
ITSOLZJ,O,X,O,O,X,X
ITSOJLZ,O,O,O,X,X,X
ITSOJZL,O,O,O,X,X,X
ITSOZLJ,O,X,O,O,X,X
ITSOZJL,O,X,O,O,X,X
ITZLJSO,O,X,O,O,O,X
ITZLJOS,O,X,O,O,O,O
ITZLSJO,O,X,O,O,O,X
ITZLSOJ,O,X,O,O,O,O
ITZLOJS,O,X,O,O,O,O
ITZLOSJ,O,X,O,O,O,O
ITZJLSO,O,X,O,O,O,X
ITZJLOS,O,X,O,O,O,O
ITZJSLO,O,X,O,O,O,X
ITZJSOL,O,X,O,O,O,X
ITZJOLS,O,X,O,O,O,O
ITZJOSL,O,X,O,O,O,X
ITZSLJO,O,X,O,O,O,X
ITZSLOJ,O,X,O,O,O,O
ITZSJLO,O,X,O,O,O,X
ITZSJOL,O,X,O,O,O,X
ITZSOLJ,O,X,O,O,O,O
ITZSOJL,O,X,O,O,O,X
ITZOLJS,O,X,O,O,O,O
ITZOLSJ,O,X,O,O,O,O
ITZOJLS,O,X,O,O,O,O
ITZOJSL,O,X,O,O,O,X
ITZOSLJ,O,X,O,O,O,O
ITZOSJL,O,X,O,O,O,X
ITOLJSZ,X,O,O,X,O,X
ITOLJZS,X,O,O,X,O,X
ITOLSJZ,X,O,O,X,O,X
ITOLSZJ,X,X,O,X,O,X
ITOLZJS,X,X,O,X,O,O
ITOLZSJ,X,X,O,X,O,O
ITOJLSZ,X,O,O,X,O,X
ITOJLZS,O,O,O,X,O,X
ITOJSLZ,O,O,O,X,X,X
ITOJSZL,O,O,O,X,X,X
ITOJZLS,O,O,O,X,O,X
ITOJZSL,O,O,O,X,X,X
ITOSLJZ,O,O,O,X,X,X
ITOSLZJ,O,X,O,O,X,X
ITOSJLZ,O,O,O,X,X,X
ITOSJZL,O,O,O,X,X,X
ITOSZLJ,O,X,O,O,X,X
ITOSZJL,O,X,O,O,X,X
ITOZLJS,O,X,O,O,O,O
ITOZLSJ,O,X,O,O,O,O
ITOZJLS,O,X,O,O,O,O
ITOZJSL,O,X,O,O,X,X
ITOZSLJ,O,X,O,O,X,O
ITOZSJL,O,X,O,O,X,X
ILTJSZO,X,O,O,X,O,X
ILTJSOZ,X,O,O,X,O,X
ILTJZSO,X,O,O,X,O,X
ILTJZOS,X,O,O,X,O,O
ILTJOSZ,X,O,O,X,O,X
ILTJOZS,X,O,O,X,O,X
ILTSJZO,X,O,O,X,O,X
ILTSJOZ,X,O,O,X,O,X
ILTSZJO,X,X,O,X,O,X
ILTSZOJ,X,X,O,X,O,O
ILTSOJZ,X,O,O,X,O,X
ILTSOZJ,X,X,O,X,O,X
ILTZJSO,X,X,O,X,O,X
ILTZJOS,X,X,O,X,O,O
ILTZSJO,X,X,O,X,O,X
ILTZSOJ,X,X,O,X,O,O
ILTZOJS,X,X,O,X,O,O
ILTZOSJ,X,X,O,X,O,O
ILTOJSZ,X,O,O,X,O,X
ILTOJZS,X,O,O,X,O,X
ILTOSJZ,X,O,O,X,O,X
ILTOSZJ,X,X,O,X,O,X
ILTOZJS,X,X,O,X,O,O
ILTOZSJ,X,X,O,X,O,O
ILJTSZO,X,O,O,X,O,X
ILJTSOZ,X,O,O,X,O,X
ILJTZSO,X,O,O,X,O,X
ILJTZOS,X,O,O,X,O,X
ILJTOSZ,X,O,O,X,O,X
ILJTOZS,X,O,O,X,O,X
ILJSTZO,X,X,X,X,O,X
ILJSTOZ,X,O,X,X,O,X
ILJSZTO,X,X,X,X,O,X
ILJSZOT,X,O,X,X,O,X
ILJSOTZ,X,O,X,X,O,X
ILJSOZT,X,O,X,X,O,X
ILJZTSO,X,X,O,X,O,X
ILJZTOS,X,X,O,X,O,X
ILJZSTO,X,X,X,X,O,X
ILJZSOT,X,O,O,X,O,X
ILJZOTS,X,X,O,X,O,X
ILJZOST,X,O,O,X,O,X
ILJOTSZ,X,O,O,X,O,X
ILJOTZS,X,O,O,X,O,X
ILJOSTZ,X,O,X,X,O,X
ILJOSZT,X,O,X,X,O,X
ILJOZTS,X,X,O,X,O,X
ILJOZST,X,O,O,X,O,X
ILSTJZO,X,O,X,X,O,X
ILSTJOZ,X,O,X,X,O,X
ILSTZJO,X,X,X,X,O,X
ILSTZOJ,X,X,X,X,O,X
ILSTOJZ,X,O,X,X,O,X
ILSTOZJ,X,X,X,X,O,X
ILSJTZO,X,X,X,X,O,X
ILSJTOZ,X,O,X,X,O,X
ILSJZTO,X,X,X,X,O,X
ILSJZOT,X,O,X,X,O,X
ILSJOTZ,X,O,X,X,O,X
ILSJOZT,X,O,X,X,O,X
ILSZTJO,X,X,X,X,O,X
ILSZTOJ,X,X,X,X,O,X
ILSZJTO,X,X,X,X,O,X
ILSZJOT,X,X,X,X,O,X
ILSZOTJ,X,X,X,X,O,X
ILSZOJT,X,X,X,X,O,X
ILSOTJZ,X,O,X,X,O,X
ILSOTZJ,X,X,X,X,O,X
ILSOJTZ,X,O,X,X,O,X
ILSOJZT,X,O,X,X,O,X
ILSOZTJ,X,X,X,X,O,X
ILSOZJT,X,X,X,X,O,X
ILZTJSO,X,X,O,O,O,X
ILZTJOS,X,X,O,O,O,O
ILZTSJO,X,X,O,O,O,X
ILZTSOJ,X,X,O,O,O,O
ILZTOJS,X,X,O,O,O,O
ILZTOSJ,X,X,O,O,O,O
ILZJTSO,X,X,O,X,O,X
ILZJTOS,X,X,O,X,O,X
ILZJSTO,X,X,X,O,O,X
ILZJSOT,X,O,O,O,O,X
ILZJOTS,X,X,O,X,O,X
ILZJOST,X,O,O,O,O,X
ILZSTJO,X,X,X,O,O,X
ILZSTOJ,X,X,X,O,O,X
ILZSJTO,X,X,X,O,O,X
ILZSJOT,X,X,O,O,O,X
ILZSOTJ,X,X,O,O,O,X
ILZSOJT,X,X,O,O,O,X
ILZOTJS,X,X,O,O,O,O
ILZOTSJ,X,X,O,O,O,O
ILZOJTS,X,X,O,X,O,X
ILZOJST,X,O,O,O,O,X
ILZOSTJ,X,X,O,O,O,X
ILZOSJT,X,X,O,O,O,X
ILOTJSZ,X,O,O,X,O,X
ILOTJZS,X,O,O,X,O,X
ILOTSJZ,X,O,O,X,O,X
ILOTSZJ,X,X,O,X,O,X
ILOTZJS,X,X,O,X,O,X
ILOTZSJ,X,X,O,X,O,X
ILOJTSZ,X,O,O,X,O,X
ILOJTZS,X,O,O,X,O,X
ILOJSTZ,X,O,X,X,O,X
ILOJSZT,X,O,X,X,O,X
ILOJZTS,X,X,O,X,O,X
ILOJZST,X,O,O,X,O,X
ILOSTJZ,X,O,X,X,O,X
ILOSTZJ,X,X,X,X,O,X
ILOSJTZ,X,O,X,X,O,X
ILOSJZT,X,O,X,X,O,X
ILOSZTJ,X,X,X,X,O,X
ILOSZJT,X,X,X,X,O,X
ILOZTJS,X,X,O,O,O,X
ILOZTSJ,X,X,O,O,O,X
ILOZJTS,X,X,O,X,O,X
ILOZJST,X,O,O,O,O,X
ILOZSTJ,X,X,O,O,O,X
ILOZSJT,X,X,O,O,O,X
IJTLSZO,X,O,O,X,O,X
IJTLSOZ,X,O,O,X,O,X
IJTLZSO,O,O,O,X,O,X
IJTLZOS,O,O,O,X,O,X
IJTLOSZ,X,O,O,X,O,X
IJTLOZS,O,O,O,X,O,X
IJTSLZO,O,O,O,X,O,X
IJTSLOZ,O,O,O,X,O,X
IJTSZLO,O,O,O,X,O,X
IJTSZOL,O,O,O,X,O,X
IJTSOLZ,O,O,O,X,X,X
IJTSOZL,O,O,O,X,X,X
IJTZLSO,O,O,O,X,O,X
IJTZLOS,O,O,O,X,O,X
IJTZSLO,O,O,O,X,O,X
IJTZSOL,O,O,O,X,O,X
IJTZOLS,O,O,O,X,O,X
IJTZOSL,O,O,O,X,O,X
IJTOLSZ,X,O,O,X,O,X
IJTOLZS,O,O,O,X,O,X
IJTOSLZ,O,O,O,X,X,X
IJTOSZL,O,O,O,X,X,X
IJTOZLS,O,O,O,X,O,X
IJTOZSL,O,O,O,X,X,X
IJLTSZO,X,O,O,X,O,X
IJLTSOZ,X,O,O,X,O,X
IJLTZSO,O,O,O,X,O,X
IJLTZOS,O,O,O,X,O,X
IJLTOSZ,X,O,O,X,O,X
IJLTOZS,O,O,O,X,O,X
IJLSTZO,O,X,X,X,O,X
IJLSTOZ,O,O,X,X,O,X
IJLSZTO,O,X,X,X,O,X
IJLSZOT,O,O,X,X,O,X
IJLSOTZ,X,O,X,X,O,X
IJLSOZT,X,O,X,X,O,X
IJLZTSO,O,X,O,X,O,X
IJLZTOS,O,X,O,X,O,X
IJLZSTO,O,X,X,X,O,X
IJLZSOT,O,O,O,X,O,X
IJLZOTS,O,X,O,X,O,X
IJLZOST,O,O,O,X,O,X
IJLOTSZ,X,O,O,X,O,X
IJLOTZS,X,O,O,X,O,X
IJLOSTZ,X,O,X,X,O,X
IJLOSZT,X,O,X,X,O,X
IJLOZTS,X,X,O,X,O,X
IJLOZST,X,O,O,X,O,X
IJSTLZO,O,X,O,X,O,X
IJSTLOZ,O,O,O,X,O,X
IJSTZLO,O,X,O,X,O,X
IJSTZOL,O,X,O,X,O,X
IJSTOLZ,O,O,O,X,X,X
IJSTOZL,O,X,O,X,X,X
IJSLTZO,O,X,X,X,O,X
IJSLTOZ,O,O,X,X,O,X
IJSLZTO,O,X,X,X,O,X
IJSLZOT,O,O,X,X,O,X
IJSLOTZ,X,O,X,X,O,X
IJSLOZT,X,O,X,X,O,X
IJSZTLO,O,X,O,X,O,X
IJSZTOL,O,X,O,X,O,X
IJSZLTO,O,X,X,X,O,X
IJSZLOT,O,O,O,X,O,X
IJSZOTL,O,X,O,X,O,X
IJSZOLT,O,O,O,X,O,X
IJSOTLZ,O,O,O,X,X,X
IJSOTZL,O,X,O,X,X,X
IJSOLTZ,X,O,X,X,O,X
IJSOLZT,X,O,X,X,O,X
IJSOZTL,O,X,O,X,O,X
IJSOZLT,O,O,O,X,O,X
IJZTLSO,O,X,O,O,O,X
IJZTLOS,O,X,O,O,O,X
IJZTSLO,O,X,O,O,O,X
IJZTSOL,O,X,O,O,O,X
IJZTOLS,O,X,O,O,O,X
IJZTOSL,O,X,O,O,O,X
IJZLTSO,O,X,O,X,O,X
IJZLTOS,O,X,O,X,O,X
IJZLSTO,O,X,X,O,O,X
IJZLSOT,O,O,O,O,O,X
IJZLOTS,O,X,O,X,O,X
IJZLOST,O,O,O,O,O,X
IJZSTLO,O,X,O,O,O,X
IJZSTOL,O,X,O,O,O,X
IJZSLTO,O,X,X,O,O,X
IJZSLOT,O,O,O,O,O,X
IJZSOTL,O,X,O,O,O,X
IJZSOLT,O,O,O,O,O,X
IJZOTLS,O,X,O,O,O,X
IJZOTSL,O,X,O,O,O,X
IJZOLTS,O,X,O,X,O,X
IJZOLST,O,O,O,O,O,X
IJZOSTL,O,X,O,O,O,X
IJZOSLT,O,O,O,O,O,X
IJOTLSZ,X,O,O,X,O,X
IJOTLZS,O,O,O,X,O,X
IJOTSLZ,X,O,O,X,X,X
IJOTSZL,O,O,O,X,X,X
IJOTZLS,O,O,O,X,O,X
IJOTZSL,O,O,O,X,X,X
IJOLTSZ,X,O,O,X,O,X
IJOLTZS,X,O,O,X,O,X
IJOLSTZ,X,O,X,X,O,X
IJOLSZT,X,O,X,X,O,X
IJOLZTS,X,X,O,X,O,X
IJOLZST,X,O,O,X,O,X
IJOSTLZ,O,O,O,X,X,X
IJOSTZL,O,X,O,X,X,X
IJOSLTZ,X,O,X,X,O,X
IJOSLZT,X,O,X,X,O,X
IJOSZTL,O,X,O,X,O,X
IJOSZLT,O,O,O,X,O,X
IJOZTLS,O,X,O,O,O,X
IJOZTSL,O,X,O,O,O,X
IJOZLTS,O,X,O,X,O,X
IJOZLST,O,O,O,O,O,X
IJOZSTL,O,X,O,O,O,X
IJOZSLT,O,O,O,O,O,X
ISTLJZO,O,X,O,X,O,X
ISTLJOZ,O,X,O,X,O,X
ISTLZJO,O,X,O,O,O,X
ISTLZOJ,O,X,O,O,O,X
ISTLOJZ,O,X,O,X,O,X
ISTLOZJ,O,X,O,O,O,X
ISTJLZO,O,X,O,X,O,X
ISTJLOZ,O,O,O,X,O,X
ISTJZLO,O,X,O,X,O,X
ISTJZOL,O,X,O,X,O,X
ISTJOLZ,O,O,O,X,X,X
ISTJOZL,O,X,O,X,X,X
ISTZLJO,O,X,O,O,O,X
ISTZLOJ,O,X,O,O,O,X
ISTZJLO,O,X,O,O,O,X
ISTZJOL,O,X,O,O,O,X
ISTZOLJ,O,X,O,O,O,X
ISTZOJL,O,X,O,O,O,X
ISTOLJZ,O,X,O,X,X,X
ISTOLZJ,O,X,O,O,X,X
ISTOJLZ,O,O,O,X,X,X
ISTOJZL,O,X,O,X,X,X
ISTOZLJ,O,X,O,O,X,X
ISTOZJL,O,X,O,O,X,X
ISLTJZO,O,O,X,X,O,X
ISLTJOZ,O,O,X,X,O,X
ISLTZJO,O,X,X,O,O,X
ISLTZOJ,O,X,X,O,O,X
ISLTOJZ,O,O,X,X,O,X
ISLTOZJ,O,X,X,O,O,X
ISLJTZO,O,X,X,X,O,X
ISLJTOZ,O,O,X,X,O,X
ISLJZTO,O,X,X,X,O,X
ISLJZOT,O,O,X,X,O,X
ISLJOTZ,X,O,X,X,O,X
ISLJOZT,X,O,X,X,O,X
ISLZTJO,O,X,X,O,O,X
ISLZTOJ,O,X,X,O,O,X
ISLZJTO,O,X,X,O,O,X
ISLZJOT,O,X,X,O,O,X
ISLZOTJ,O,X,X,O,O,X
ISLZOJT,O,X,X,O,O,X
ISLOTJZ,X,O,X,X,O,X
ISLOTZJ,X,X,X,O,O,X
ISLOJTZ,X,O,X,X,O,X
ISLOJZT,X,O,X,X,O,X
ISLOZTJ,X,X,X,O,O,X
ISLOZJT,X,X,X,O,O,X
ISJTLZO,O,X,O,X,O,X
ISJTLOZ,O,O,O,X,O,X
ISJTZLO,O,X,O,X,O,X
ISJTZOL,O,X,O,X,O,X
ISJTOLZ,O,O,O,X,X,X
ISJTOZL,O,X,O,X,X,X
ISJLTZO,O,X,X,X,O,X
ISJLTOZ,O,O,X,X,O,X
ISJLZTO,O,X,X,X,O,X
ISJLZOT,O,O,X,X,O,X
ISJLOTZ,X,O,X,X,O,X
ISJLOZT,X,O,X,X,O,X
ISJZTLO,O,X,O,X,O,X
ISJZTOL,O,X,O,X,O,X
ISJZLTO,O,X,X,X,O,X
ISJZLOT,O,O,O,X,O,X
ISJZOTL,O,X,O,X,O,X
ISJZOLT,O,O,O,X,O,X
ISJOTLZ,O,O,O,X,X,X
ISJOTZL,O,X,O,X,X,X
ISJOLTZ,X,O,X,X,O,X
ISJOLZT,X,O,X,X,O,X
ISJOZTL,O,X,O,X,O,X
ISJOZLT,O,O,O,X,O,X
ISZTLJO,O,X,O,O,O,X
ISZTLOJ,O,X,O,O,O,X
ISZTJLO,O,X,O,O,O,X
ISZTJOL,O,X,O,O,O,X
ISZTOLJ,O,X,O,O,O,X
ISZTOJL,O,X,O,O,O,X
ISZLTJO,O,X,X,O,O,X
ISZLTOJ,O,X,X,O,O,X
ISZLJTO,O,X,X,O,O,X
ISZLJOT,O,X,O,O,O,X
ISZLOTJ,O,X,O,O,O,X
ISZLOJT,O,X,O,O,O,X
ISZJTLO,O,X,O,O,O,X
ISZJTOL,O,X,O,O,O,X
ISZJLTO,O,X,X,O,O,X
ISZJLOT,O,O,O,O,O,X
ISZJOTL,O,X,O,O,O,X
ISZJOLT,O,O,O,O,O,X
ISZOTLJ,O,X,O,O,O,X
ISZOTJL,O,X,O,O,O,X
ISZOLTJ,O,X,O,O,O,X
ISZOLJT,O,X,O,O,O,X
ISZOJTL,O,X,O,O,O,X
ISZOJLT,O,O,O,O,O,X
ISOTLJZ,O,X,O,X,X,X
ISOTLZJ,O,X,O,O,X,X
ISOTJLZ,O,O,O,X,X,X
ISOTJZL,O,X,O,X,X,X
ISOTZLJ,O,X,O,O,X,X
ISOTZJL,O,X,O,O,X,X
ISOLTJZ,X,O,X,X,O,X
ISOLTZJ,X,X,X,O,O,X
ISOLJTZ,X,O,X,X,O,X
ISOLJZT,X,O,X,X,O,X
ISOLZTJ,X,X,X,O,O,X
ISOLZJT,X,X,X,O,O,X
ISOJTLZ,O,O,O,X,X,X
ISOJTZL,O,X,O,X,X,X
ISOJLTZ,X,O,X,X,O,X
ISOJLZT,X,O,X,X,O,X
ISOJZTL,O,X,O,X,O,X
ISOJZLT,O,O,O,X,O,X
ISOZTLJ,O,X,O,O,O,X
ISOZTJL,O,X,O,O,O,X
ISOZLTJ,O,X,O,O,O,X
ISOZLJT,O,X,O,O,O,X
ISOZJTL,O,X,O,O,O,X
ISOZJLT,O,O,O,O,O,X
IZTLJSO,O,X,O,O,O,X
IZTLJOS,O,X,O,O,O,O
IZTLSJO,O,X,O,O,O,X
IZTLSOJ,O,X,O,O,O,O
IZTLOJS,O,X,O,O,O,O
IZTLOSJ,O,X,O,O,O,O
IZTJLSO,O,X,O,O,O,X
IZTJLOS,O,X,O,O,O,O
IZTJSLO,O,X,O,O,O,X
IZTJSOL,O,X,O,O,O,X
IZTJOLS,O,X,O,O,O,O
IZTJOSL,O,X,O,O,O,X
IZTSLJO,O,X,O,O,O,X
IZTSLOJ,O,X,O,O,O,O
IZTSJLO,O,X,O,O,O,X
IZTSJOL,O,X,O,O,O,X
IZTSOLJ,O,X,O,O,O,O
IZTSOJL,O,X,O,O,O,X
IZTOLJS,O,X,O,O,O,O
IZTOLSJ,O,X,O,O,O,O
IZTOJLS,O,X,O,O,O,O
IZTOJSL,O,X,O,O,O,X
IZTOSLJ,O,X,O,O,O,O
IZTOSJL,O,X,O,O,O,X
IZLTJSO,O,X,O,O,O,X
IZLTJOS,O,X,O,O,O,O
IZLTSJO,O,X,O,O,O,X
IZLTSOJ,O,X,O,O,O,O
IZLTOJS,O,X,O,O,O,O
IZLTOSJ,O,X,O,O,O,O
IZLJTSO,O,X,O,X,O,X
IZLJTOS,O,X,O,X,O,X
IZLJSTO,O,X,X,O,O,X
IZLJSOT,O,X,O,O,O,X
IZLJOTS,O,X,O,X,O,X
IZLJOST,O,X,O,O,O,X
IZLSTJO,O,X,X,O,O,X
IZLSTOJ,O,X,X,O,O,X
IZLSJTO,O,X,X,O,O,X
IZLSJOT,O,X,O,O,O,X
IZLSOTJ,O,X,O,O,O,X
IZLSOJT,O,X,O,O,O,X
IZLOTJS,X,X,O,O,O,O
IZLOTSJ,X,X,O,O,O,O
IZLOJTS,X,X,O,X,O,X
IZLOJST,X,X,O,O,O,X
IZLOSTJ,X,X,O,O,O,X
IZLOSJT,X,X,O,O,O,X
IZJTLSO,O,X,O,O,O,X
IZJTLOS,O,X,O,O,O,X
IZJTSLO,O,X,O,O,O,X
IZJTSOL,O,X,O,O,O,X
IZJTOLS,O,X,O,O,O,X
IZJTOSL,O,X,O,O,O,X
IZJLTSO,O,X,O,X,O,X
IZJLTOS,O,X,O,X,O,X
IZJLSTO,O,X,X,O,O,X
IZJLSOT,O,X,O,O,O,X
IZJLOTS,O,X,O,X,O,X
IZJLOST,O,X,O,O,O,X
IZJSTLO,O,X,O,O,O,X
IZJSTOL,O,X,O,O,O,X
IZJSLTO,O,X,X,O,O,X
IZJSLOT,O,X,O,O,O,X
IZJSOTL,O,X,O,O,O,X
IZJSOLT,O,X,O,O,O,X
IZJOTLS,O,X,O,O,O,X
IZJOTSL,O,X,O,O,O,X
IZJOLTS,O,X,O,X,O,X
IZJOLST,O,X,O,O,O,X
IZJOSTL,O,X,O,O,O,X
IZJOSLT,O,X,O,O,O,X
IZSTLJO,O,X,O,O,O,X
IZSTLOJ,O,X,O,O,O,X
IZSTJLO,O,X,O,O,O,X
IZSTJOL,O,X,O,O,O,X
IZSTOLJ,O,X,O,O,O,X
IZSTOJL,O,X,O,O,O,X
IZSLTJO,O,X,X,O,O,X
IZSLTOJ,O,X,X,O,O,X
IZSLJTO,O,X,X,O,O,X
IZSLJOT,O,X,O,O,O,X
IZSLOTJ,O,X,O,O,O,X
IZSLOJT,O,X,O,O,O,X
IZSJTLO,O,X,O,O,O,X
IZSJTOL,O,X,O,O,O,X
IZSJLTO,O,X,X,O,O,X
IZSJLOT,O,X,O,O,O,X
IZSJOTL,O,X,O,O,O,X
IZSJOLT,O,X,O,O,O,X
IZSOTLJ,O,X,O,O,O,X
IZSOTJL,O,X,O,O,O,X
IZSOLTJ,O,X,O,O,O,X
IZSOLJT,O,X,O,O,O,X
IZSOJTL,O,X,O,O,O,X
IZSOJLT,O,X,O,O,O,X
IZOTLJS,X,X,O,O,O,O
IZOTLSJ,X,X,O,O,O,O
IZOTJLS,X,X,O,O,O,O
IZOTJSL,X,X,O,O,O,X
IZOTSLJ,X,X,O,O,O,O
IZOTSJL,X,X,O,O,O,X
IZOLTJS,X,X,O,O,O,O
IZOLTSJ,X,X,O,O,O,O
IZOLJTS,X,X,O,X,O,X
IZOLJST,X,X,O,O,O,X
IZOLSTJ,X,X,O,O,O,X
IZOLSJT,X,X,O,O,O,X
IZOJTLS,X,X,O,O,O,X
IZOJTSL,X,X,O,O,O,X
IZOJLTS,X,X,O,X,O,X
IZOJLST,X,X,O,O,O,X
IZOJSTL,X,X,O,O,O,X
IZOJSLT,X,X,O,O,O,X
IZOSTLJ,X,X,O,O,O,X
IZOSTJL,X,X,O,O,O,X
IZOSLTJ,X,X,O,O,O,X
IZOSLJT,X,X,O,O,O,X
IZOSJTL,X,X,O,O,O,X
IZOSJLT,X,X,O,O,O,X
IOTLJSZ,X,O,O,X,O,X
IOTLJZS,X,O,O,X,O,X
IOTLSJZ,X,O,O,X,O,X
IOTLSZJ,X,X,O,X,O,X
IOTLZJS,X,X,O,X,O,X
IOTLZSJ,X,X,O,X,O,X
IOTJLSZ,X,O,O,X,O,X
IOTJLZS,X,O,O,X,O,X
IOTJSLZ,X,O,O,X,X,X
IOTJSZL,X,O,O,X,X,X
IOTJZLS,X,O,O,X,O,X
IOTJZSL,X,O,O,X,X,X
IOTSLJZ,X,O,O,X,X,X
IOTSLZJ,X,X,O,O,X,X
IOTSJLZ,X,O,O,X,X,X
IOTSJZL,X,O,O,X,X,X
IOTSZLJ,X,X,O,O,X,X
IOTSZJL,X,X,O,O,X,X
IOTZLJS,X,X,O,O,O,X
IOTZLSJ,X,X,O,O,O,X
IOTZJLS,X,X,O,O,O,X
IOTZJSL,X,X,O,O,X,X
IOTZSLJ,X,X,O,O,X,X
IOTZSJL,X,X,O,O,X,X
IOLTJSZ,X,O,O,X,O,X
IOLTJZS,X,O,O,X,O,X
