sequence,v115@MhB8CeA8DeC8BeB8DeD8Jei/IvhFRhBziB+oBfqBUr?BlqB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFihBziB+oB0lBFl?BxvB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFUgBRhBKrBFoBGo?BTqB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFihBXlBFoB0lBGo?BxvB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFRhBGjBKrBUoBFq?B/qB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFRhBziB+oBlqBaq?BUrB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFihB0lBGoBXlBFo?BxvB,v115@MhB8CeA8DeC8BeB8DeD8Jex/IvhFCjB0kBToB3qBmq?BlrB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFGjBllBUoBXlBim?BxvB
TSOLZIJ,X,X,O,O,O,X,X,O,X
TSOLZJI,X,X,O,O,O,X,X,O,X
TSOJILZ,X,X,X,X,X,O,X,X,X
TSOJIZL,X,X,X,X,X,O,X,X,X
TSOJLIZ,X,X,O,O,X,O,X,X,X
TSOJLZI,X,X,O,O,X,O,X,X,X
TSOJZIL,X,X,X,X,X,O,X,X,X
TSOJZLI,X,X,X,X,X,O,X,X,X
TSOZILJ,X,X,X,X,X,X,X,O,X
TSOZIJL,X,X,X,X,X,X,X,O,X
TSOZLIJ,X,X,O,O,O,X,X,O,X
TSOZLJI,X,X,O,O,O,X,X,O,X
TSOZJIL,X,X,X,X,X,X,X,O,X
TSOZJLI,X,X,X,X,O,X,X,O,X
TZILJSO,X,X,X,X,O,X,X,X,X
TZILJOS,O,X,X,X,O,X,X,X,O
TZILSJO,X,X,O,X,O,X,X,X,X
TZILSOJ,X,X,O,O,O,X,X,X,X
TZILOJS,X,X,X,X,O,X,X,X,O
TZILOSJ,X,X,O,O,O,X,X,X,X
TZIJLSO,X,X,X,X,O,X,X,X,X
TZIJLOS,O,X,X,X,O,X,X,X,O
TZIJSLO,O,X,X,X,X,O,X,X,X
TZIJSOL,O,X,X,X,X,O,X,X,O
TZIJOLS,O,X,X,X,O,X,X,X,O
TZIJOSL,O,X,X,X,X,O,X,X,O
TZISLJO,O,X,O,X,X,X,X,X,X
TZISLOJ,X,X,O,O,X,X,X,X,X
TZISJLO,O,X,X,X,X,O,X,X,X
TZISJOL,O,X,X,X,X,O,X,X,O
TZISOLJ,X,X,X,O,X,X,X,X,X
TZISOJL,X,X,X,X,X,X,X,X,O
TZIOLJS,X,X,X,X,O,X,X,X,O
TZIOLSJ,X,X,X,O,O,X,X,X,X
TZIOJLS,X,X,X,X,O,X,X,X,O
TZIOJSL,X,X,X,X,X,X,X,X,O
TZIOSLJ,X,X,X,O,X,X,X,X,X
TZIOSJL,X,X,X,X,X,X,X,X,O
TZLIJSO,X,X,X,X,O,X,X,X,X
TZLIJOS,O,X,X,X,O,X,X,X,X
TZLISJO,X,X,O,X,O,X,X,X,X
TZLISOJ,X,X,O,O,O,X,X,X,X
TZLIOJS,X,X,X,X,O,X,X,X,X
TZLIOSJ,X,X,O,O,O,X,X,X,X
TZLJISO,X,X,X,X,O,X,X,X,X
TZLJIOS,O,X,X,X,O,X,X,X,X
TZLJSIO,X,X,X,X,O,X,X,X,X
TZLJSOI,X,X,X,X,O,X,X,X,X
TZLJOIS,O,X,X,X,O,X,X,X,X
TZLJOSI,X,X,X,X,O,X,X,X,X
TZLSIJO,X,X,O,X,O,X,X,X,X
TZLSIOJ,X,X,O,X,O,X,X,X,X
TZLSJIO,X,X,O,X,O,X,X,X,X
TZLSJOI,X,X,O,X,O,X,X,X,X
TZLSOIJ,X,X,O,O,O,X,X,X,X
TZLSOJI,X,X,O,O,O,X,X,X,X
TZLOIJS,X,X,X,X,O,X,X,X,X
TZLOISJ,X,X,O,O,O,X,X,X,X
TZLOJIS,X,X,X,X,O,X,X,X,X
TZLOJSI,X,X,X,X,O,X,X,X,X
TZLOSIJ,X,X,O,O,O,X,X,X,X
TZLOSJI,X,X,O,O,O,X,X,X,X
TZJILSO,X,X,X,X,O,X,X,X,X
TZJILOS,O,X,X,X,O,X,X,X,O
TZJISLO,O,X,X,X,X,O,X,X,X
TZJISOL,O,X,X,X,X,O,X,X,O
TZJIOLS,O,X,X,X,O,X,X,X,O
TZJIOSL,O,X,X,X,X,O,X,X,O
TZJLISO,X,X,X,X,O,X,X,X,X
TZJLIOS,O,X,X,X,O,X,X,X,X
TZJLSIO,X,X,X,X,O,X,X,X,X
TZJLSOI,X,X,X,X,O,X,X,X,X
TZJLOIS,O,X,X,X,O,X,X,X,X
TZJLOSI,X,X,X,X,O,X,X,X,X
TZJSILO,O,X,X,X,X,O,X,X,X
TZJSIOL,O,X,X,X,X,O,X,X,X
TZJSLIO,O,X,X,X,O,O,X,X,X
TZJSLOI,O,X,X,X,O,O,X,X,X
TZJSOIL,O,X,X,X,X,O,X,X,X
TZJSOLI,O,X,X,X,O,O,X,X,X
TZJOILS,O,X,X,X,O,X,X,X,O
TZJOISL,O,X,X,X,X,O,X,X,O
TZJOLIS,O,X,X,X,O,X,X,X,X
TZJOLSI,X,X,X,X,O,X,X,X,X
TZJOSIL,O,X,X,X,X,O,X,X,X
TZJOSLI,O,X,X,X,O,O,X,X,X
TZSILJO,O,X,O,X,X,X,X,X,X
TZSILOJ,X,X,O,X,X,X,X,X,X
TZSIJLO,O,X,X,X,X,O,X,X,X
TZSIJOL,O,X,X,X,X,O,X,X,X
TZSIOLJ,X,X,X,X,X,X,X,O,X
TZSIOJL,X,X,X,X,X,X,X,O,X
TZSLIJO,O,X,O,X,O,X,X,X,X
TZSLIOJ,X,X,O,X,O,X,X,X,X
TZSLJIO,O,X,O,X,O,X,X,X,X
TZSLJOI,O,X,O,X,O,X,X,X,X
TZSLOIJ,X,X,O,O,O,X,X,X,X
TZSLOJI,X,X,O,O,O,X,X,X,X
TZSJILO,O,X,X,X,X,O,X,X,X
TZSJIOL,O,X,X,X,X,O,X,X,X
TZSJLIO,O,X,X,X,O,O,X,X,X
TZSJLOI,O,X,X,X,O,O,X,X,X
TZSJOIL,O,X,X,X,X,O,X,X,X
TZSJOLI,O,X,X,X,O,O,X,X,X
TZSOILJ,X,X,X,X,X,X,X,O,X
TZSOIJL,X,X,X,X,X,X,X,O,X
TZSOLIJ,X,X,O,O,O,X,X,O,X
TZSOLJI,X,X,O,O,O,X,X,O,X
TZSOJIL,X,X,X,X,X,X,X,O,X
TZSOJLI,X,X,X,X,O,X,X,O,X
TZOILJS,X,X,X,X,O,X,X,X,O
TZOILSJ,X,X,X,O,O,X,X,X,X
TZOIJLS,X,X,X,X,O,X,X,X,O
TZOIJSL,X,X,X,X,X,X,X,X,O
TZOISLJ,X,X,X,O,X,X,X,X,X
TZOISJL,X,X,X,X,X,X,X,X,O
TZOLIJS,X,X,X,X,O,X,X,X,X
TZOLISJ,X,X,O,O,O,X,X,X,X
TZOLJIS,X,X,X,X,O,X,X,X,X
TZOLJSI,X,X,X,X,O,X,X,X,X
TZOLSIJ,X,X,O,O,O,X,X,O,X
TZOLSJI,X,X,O,O,O,X,X,O,X
TZOJILS,X,X,X,X,O,X,X,X,O
TZOJISL,X,X,X,X,X,X,X,X,O
TZOJLIS,X,X,X,X,O,X,X,X,X
TZOJLSI,X,X,X,X,O,X,X,X,X
TZOJSIL,X,X,X,X,X,X,X,X,X
TZOJSLI,X,X,X,X,O,X,X,X,X
TZOSILJ,X,X,X,X,X,X,X,O,X
TZOSIJL,X,X,X,X,X,X,X,O,X
TZOSLIJ,X,X,O,O,O,X,X,O,X
TZOSLJI,X,X,O,O,O,X,X,O,X
TZOSJIL,X,X,X,X,X,X,X,O,X
TZOSJLI,X,X,X,X,O,X,X,O,X
TOILJSZ,X,X,O,O,X,X,X,X,X
TOILJZS,X,X,X,X,X,X,O,X,X
TOILSJZ,X,X,O,O,X,X,X,X,X
TOILSZJ,X,X,O,O,X,X,X,X,X
TOILZJS,X,X,X,X,O,X,O,X,O
TOILZSJ,X,X,O,O,O,X,X,X,X
TOIJLSZ,X,X,X,O,X,O,X,X,X
TOIJLZS,X,X,X,X,X,X,O,X,X
TOIJSLZ,X,X,X,O,X,O,X,X,X
TOIJSZL,X,X,X,X,X,O,X,X,X
TOIJZLS,X,X,X,X,X,X,O,X,O
TOIJZSL,X,X,X,X,X,O,X,X,O
TOISLJZ,X,X,O,O,X,X,X,X,X
TOISLZJ,X,X,O,O,X,X,X,X,X
TOISJLZ,X,X,X,O,X,O,X,X,X
TOISJZL,X,X,X,X,X,O,X,X,X
TOISZLJ,X,X,X,O,X,X,X,X,X
TOISZJL,X,X,X,X,X,X,X,X,O
TOIZLJS,X,X,X,X,O,X,O,X,O
TOIZLSJ,X,X,X,O,O,X,X,X,X
TOIZJLS,X,X,X,X,O,X,O,X,O
TOIZJSL,X,X,X,X,X,X,X,X,O
TOIZSLJ,X,X,X,O,X,X,X,X,X
TOIZSJL,X,X,X,X,X,X,X,X,O
TOLIJSZ,X,X,O,O,X,X,X,X,X
TOLIJZS,X,X,X,X,X,X,O,X,X
TOLISJZ,X,X,O,O,X,X,X,X,X
TOLISZJ,X,X,O,O,X,X,X,X,X
TOLIZJS,X,X,X,X,O,X,O,X,X
TOLIZSJ,X,X,O,O,O,X,X,X,X
TOLJISZ,X,X,O,O,X,X,X,X,X
TOLJIZS,X,X,X,X,X,X,O,X,X
TOLJSIZ,X,X,O,O,X,X,X,X,X
TOLJSZI,X,X,O,O,X,X,X,X,X
TOLJZIS,X,X,X,X,O,X,X,X,X
TOLJZSI,X,X,X,X,O,X,X,X,X
TOLSIJZ,X,X,O,O,X,X,X,X,X
TOLSIZJ,X,X,O,O,X,X,X,X,X
TOLSJIZ,X,X,O,O,X,X,X,X,X
TOLSJZI,X,X,O,O,X,X,X,X,X
TOLSZIJ,X,X,O,O,O,X,X,O,X
TOLSZJI,X,X,O,O,O,X,X,O,X
TOLZIJS,X,X,X,X,O,X,X,X,X
TOLZISJ,X,X,O,O,O,X,X,X,X
TOLZJIS,X,X,X,X,O,X,X,X,X
TOLZJSI,X,X,X,X,O,X,X,X,X
TOLZSIJ,X,X,O,O,O,X,X,O,X
TOLZSJI,X,X,O,O,O,X,X,O,X
TOJILSZ,X,X,X,O,X,O,X,X,X
TOJILZS,X,X,X,X,X,X,O,X,X
TOJISLZ,X,X,X,O,X,O,X,X,X
TOJISZL,X,X,X,X,X,O,X,X,X
TOJIZLS,X,X,X,X,X,X,O,X,X
TOJIZSL,X,X,X,X,X,O,X,X,X
TOJLISZ,X,X,O,O,X,O,X,X,X
TOJLIZS,X,X,X,X,X,X,O,X,X
TOJLSIZ,X,X,O,O,X,O,X,X,X
TOJLSZI,X,X,O,O,X,O,X,X,X
TOJLZIS,X,X,X,X,O,X,X,X,X
TOJLZSI,X,X,X,X,O,X,X,X,X
TOJSILZ,X,X,X,X,X,O,X,X,X
TOJSIZL,X,X,X,X,X,O,X,X,X
TOJSLIZ,X,X,O,O,X,O,X,X,X
TOJSLZI,X,X,O,O,X,O,X,X,X
TOJSZIL,X,X,X,X,X,O,X,X,X
TOJSZLI,X,X,X,X,X,O,X,X,X
TOJZILS,X,X,X,X,O,X,X,X,X
TOJZISL,X,X,X,X,X,O,X,X,X
TOJZLIS,X,X,X,X,O,X,X,X,X
TOJZLSI,X,X,X,X,O,X,X,X,X
TOJZSIL,X,X,X,X,X,O,X,X,X
TOJZSLI,X,X,X,X,O,O,X,X,X
TOSILJZ,X,X,O,O,X,X,X,X,X
TOSILZJ,X,X,O,O,X,X,X,X,X
TOSIJLZ,X,X,X,O,X,O,X,X,X
TOSIJZL,X,X,X,X,X,O,X,X,X
TOSIZLJ,X,X,X,O,X,X,X,X,X
TOSIZJL,X,X,X,X,X,X,X,X,X
TOSLIJZ,X,X,O,O,X,X,X,X,X
TOSLIZJ,X,X,O,O,X,X,X,X,X
TOSLJIZ,X,X,O,O,X,X,X,X,X
TOSLJZI,X,X,O,O,X,X,X,X,X
TOSLZIJ,X,X,O,O,O,X,X,O,X
TOSLZJI,X,X,O,O,O,X,X,O,X
TOSJILZ,X,X,X,X,X,O,X,X,X
TOSJIZL,X,X,X,X,X,O,X,X,X
TOSJLIZ,X,X,O,O,X,O,X,X,X
TOSJLZI,X,X,O,O,X,O,X,X,X
TOSJZIL,X,X,X,X,X,O,X,X,X
TOSJZLI,X,X,X,X,X,O,X,X,X
TOSZILJ,X,X,X,X,X,X,X,O,X
TOSZIJL,X,X,X,X,X,X,X,O,X
TOSZLIJ,X,X,O,O,O,X,X,O,X
TOSZLJI,X,X,O,O,O,X,X,O,X
TOSZJIL,X,X,X,X,X,X,X,O,X
TOSZJLI,X,X,X,X,O,X,X,O,X
TOZILJS,X,X,X,X,O,X,X,X,O
TOZILSJ,X,X,X,O,O,X,X,X,X
TOZIJLS,X,X,X,X,O,X,X,X,O
TOZIJSL,X,X,X,X,X,X,X,X,O
TOZISLJ,X,X,X,O,X,X,X,X,X
TOZISJL,X,X,X,X,X,X,X,X,O
TOZLIJS,X,X,X,X,O,X,X,X,X
TOZLISJ,X,X,O,O,O,X,X,X,X
TOZLJIS,X,X,X,X,O,X,X,X,X
TOZLJSI,X,X,X,X,O,X,X,X,X
TOZLSIJ,X,X,O,O,O,X,X,O,X
TOZLSJI,X,X,O,O,O,X,X,O,X
TOZJILS,X,X,X,X,O,X,X,X,O
TOZJISL,X,X,X,X,X,X,X,X,O
TOZJLIS,X,X,X,X,O,X,X,X,X
TOZJLSI,X,X,X,X,O,X,X,X,X
TOZJSIL,X,X,X,X,X,X,X,X,X
TOZJSLI,X,X,X,X,O,X,X,X,X
TOZSILJ,X,X,X,X,X,X,X,O,X
TOZSIJL,X,X,X,X,X,X,X,O,X
TOZSLIJ,X,X,O,O,O,X,X,O,X
TOZSLJI,X,X,O,O,O,X,X,O,X
TOZSJIL,X,X,X,X,X,X,X,O,X
TOZSJLI,X,X,X,X,O,X,X,O,X
ITLJSZO,X,O,O,X,X,O,X,X,X
ITLJSOZ,X,O,X,O,X,O,X,X,X
ITLJZSO,X,O,X,X,X,X,X,X,X
ITLJZOS,X,O,X,X,X,X,O,X,X
ITLJOSZ,O,O,O,O,X,O,X,X,X
ITLJOZS,O,O,X,X,X,X,O,X,X
ITLSJZO,X,O,O,X,X,O,X,X,X
ITLSJOZ,X,O,X,O,X,O,X,X,X
ITLSZJO,X,O,O,X,X,X,X,X,X
ITLSZOJ,X,X,O,O,X,X,X,X,X
ITLSOJZ,X,X,O,O,X,X,X,X,X
ITLSOZJ,X,X,O,O,X,X,X,X,X
ITLZJSO,X,O,X,X,O,X,X,X,X
ITLZJOS,X,O,X,X,O,X,O,X,O
ITLZSJO,X,O,O,X,O,X,X,X,X
ITLZSOJ,X,X,O,O,O,X,X,X,X
ITLZOJS,X,X,X,X,O,X,O,X,O
ITLZOSJ,X,X,O,O,O,X,X,X,X
ITLOJSZ,X,X,O,O,X,X,X,X,X
ITLOJZS,X,X,X,X,X,X,O,X,X
ITLOSJZ,X,X,O,O,X,X,X,X,X
ITLOSZJ,X,X,O,O,X,X,X,X,X
ITLOZJS,X,X,X,X,O,X,O,X,O
ITLOZSJ,X,X,O,O,O,X,X,X,X
ITJLSZO,X,O,O,X,X,O,X,X,X
ITJLSOZ,X,O,X,O,X,O,X,X,X
ITJLZSO,X,O,X,X,X,X,X,X,X
ITJLZOS,X,O,X,X,X,X,O,X,X
ITJLOSZ,O,O,O,O,X,O,X,X,X
ITJLOZS,O,O,X,X,X,X,O,X,X
ITJSLZO,X,O,O,X,X,O,X,X,X
ITJSLOZ,O,O,X,O,X,O,X,X,X
ITJSZLO,X,O,X,X,X,O,X,X,X
ITJSZOL,X,O,X,X,X,O,X,X,X
ITJSOLZ,O,O,X,O,X,O,X,X,X
ITJSOZL,X,O,X,X,X,O,X,X,X
ITJZLSO,X,O,X,X,X,X,X,X,X
ITJZLOS,O,O,X,X,X,X,O,X,O
ITJZSLO,O,O,X,X,X,O,X,X,X
ITJZSOL,O,O,X,X,X,O,X,X,O
ITJZOLS,O,O,X,X,X,X,O,X,O
ITJZOSL,O,O,X,X,X,O,X,X,O
ITJOLSZ,O,O,X,O,X,O,X,X,X
ITJOLZS,O,O,X,X,X,X,O,X,X
ITJOSLZ,O,O,X,O,X,O,X,X,X
ITJOSZL,X,O,X,X,X,O,X,X,X
ITJOZLS,O,O,X,X,X,X,O,X,O
ITJOZSL,O,O,X,X,X,O,X,X,O
ITSLJZO,X,O,O,X,X,O,X,X,X
ITSLJOZ,O,O,X,O,X,O,X,X,X
ITSLZJO,X,O,O,X,X,X,X,X,X
ITSLZOJ,X,X,O,O,X,X,X,X,X
ITSLOJZ,X,X,O,O,X,X,X,X,X
ITSLOZJ,X,X,O,O,X,X,X,X,X
ITSJLZO,X,O,O,X,X,O,X,X,X
ITSJLOZ,O,O,X,O,X,O,X,X,X
ITSJZLO,X,O,X,X,X,O,X,X,X
ITSJZOL,X,O,X,X,X,O,X,X,X
ITSJOLZ,O,O,X,O,X,O,X,X,X
ITSJOZL,X,O,X,X,X,O,X,X,X
ITSZLJO,X,O,O,X,X,X,X,X,X
ITSZLOJ,X,X,O,O,X,X,X,X,X
ITSZJLO,X,O,X,X,X,O,X,X,X
ITSZJOL,X,O,X,X,X,O,X,X,O
ITSZOLJ,X,X,X,O,X,X,X,X,X
ITSZOJL,X,X,X,X,X,X,X,X,O
ITSOLJZ,X,X,O,O,X,X,X,X,X
ITSOLZJ,X,X,O,O,X,X,X,X,X
ITSOJLZ,X,X,X,O,X,O,X,X,X
ITSOJZL,X,X,X,X,X,O,X,X,X
ITSOZLJ,X,X,X,O,X,X,X,X,X
ITSOZJL,X,X,X,X,X,X,X,X,O
ITZLJSO,X,O,X,X,O,X,X,X,X
ITZLJOS,O,O,X,X,O,X,O,X,O
ITZLSJO,X,O,O,X,O,X,X,X,X
ITZLSOJ,X,X,O,O,O,X,X,X,X
ITZLOJS,X,X,X,X,O,X,O,X,O
ITZLOSJ,X,X,O,O,O,X,X,X,X
ITZJLSO,X,O,X,X,O,X,X,X,X
ITZJLOS,O,O,X,X,O,X,O,X,O
ITZJSLO,O,O,X,X,X,O,X,X,X
ITZJSOL,O,O,X,X,X,O,X,X,O
ITZJOLS,O,O,X,X,O,X,O,X,O
ITZJOSL,O,O,X,X,X,O,X,X,O
ITZSLJO,O,O,O,X,X,X,X,X,X
ITZSLOJ,X,X,O,O,X,X,X,X,X
ITZSJLO,O,O,X,X,X,O,X,X,X
ITZSJOL,O,O,X,X,X,O,X,X,O
ITZSOLJ,X,X,X,O,X,X,X,X,X
ITZSOJL,X,X,X,X,X,X,X,X,O
ITZOLJS,X,X,X,X,O,X,O,X,O
ITZOLSJ,X,X,X,O,O,X,X,X,X
ITZOJLS,X,X,X,X,O,X,O,X,O
ITZOJSL,X,X,X,X,X,X,X,X,O
ITZOSLJ,X,X,X,O,X,X,X,X,X
ITZOSJL,X,X,X,X,X,X,X,X,O
ITOLJSZ,X,X,O,O,X,X,X,X,X
ITOLJZS,X,X,X,X,X,X,O,X,X
ITOLSJZ,X,X,O,O,X,X,X,X,X
ITOLSZJ,X,X,O,O,X,X,X,X,X
ITOLZJS,X,X,X,X,O,X,O,X,O
ITOLZSJ,X,X,O,O,O,X,X,X,X
ITOJLSZ,X,X,X,O,X,O,X,X,X
ITOJLZS,X,X,X,X,X,X,O,X,X
ITOJSLZ,X,X,X,O,X,O,X,X,X
ITOJSZL,X,X,X,X,X,O,X,X,X
ITOJZLS,X,X,X,X,X,X,O,X,O
ITOJZSL,X,X,X,X,X,O,X,X,O
ITOSLJZ,X,X,O,O,X,X,X,X,X
ITOSLZJ,X,X,O,O,X,X,X,X,X
ITOSJLZ,X,X,X,O,X,O,X,X,X
ITOSJZL,X,X,X,X,X,O,X,X,X
ITOSZLJ,X,X,X,O,X,X,X,X,X
ITOSZJL,X,X,X,X,X,X,X,X,O
ITOZLJS,X,X,X,X,O,X,O,X,O
ITOZLSJ,X,X,X,O,O,X,X,X,X
ITOZJLS,X,X,X,X,O,X,O,X,O
ITOZJSL,X,X,X,X,X,X,X,X,O
ITOZSLJ,X,X,X,O,X,X,X,X,X
ITOZSJL,X,X,X,X,X,X,X,X,O
ILTJSZO,X,O,O,X,X,O,X,X,X
ILTJSOZ,X,O,X,O,X,O,X,X,X
ILTJZSO,X,O,X,X,X,X,X,X,X
ILTJZOS,X,O,X,X,X,X,O,X,X
ILTJOSZ,O,O,O,O,X,O,X,X,X
ILTJOZS,O,O,X,X,X,X,O,X,X
ILTSJZO,X,O,O,X,X,O,X,X,X
ILTSJOZ,X,O,X,O,X,O,X,X,X
ILTSZJO,X,O,O,X,X,X,X,X,X
ILTSZOJ,X,X,O,O,X,X,X,X,X
ILTSOJZ,X,X,O,O,X,X,X,X,X
ILTSOZJ,X,X,O,O,X,X,X,X,X
ILTZJSO,X,O,X,X,O,X,X,X,X
ILTZJOS,X,O,X,X,O,X,O,X,O
ILTZSJO,X,O,O,X,O,X,X,X,X
ILTZSOJ,X,X,O,O,O,X,X,X,X
ILTZOJS,X,X,X,X,O,X,O,X,O
ILTZOSJ,X,X,O,O,O,X,X,X,X
ILTOJSZ,X,X,O,O,X,X,X,X,X
ILTOJZS,X,X,X,X,X,X,O,X,X
ILTOSJZ,X,X,O,O,X,X,X,X,X
ILTOSZJ,X,X,O,O,X,X,X,X,X
ILTOZJS,X,X,X,X,O,X,O,X,O
ILTOZSJ,X,X,O,O,O,X,X,X,X
ILJTSZO,X,O,O,X,X,O,X,X,X
ILJTSOZ,X,O,X,O,X,O,X,X,X
ILJTZSO,X,O,X,X,X,X,X,X,X
ILJTZOS,X,O,X,X,X,X,O,X,X
ILJTOSZ,O,O,O,O,X,O,X,X,X
ILJTOZS,O,O,X,X,X,X,O,X,X
ILJSTZO,X,O,O,X,X,X,X,X,X
ILJSTOZ,O,O,X,O,X,X,X,X,X
ILJSZTO,O,O,O,X,X,X,X,X,X
ILJSZOT,O,O,X,X,X,X,O,X,X
ILJSOTZ,O,O,X,O,X,X,X,X,X
ILJSOZT,O,O,X,X,X,X,O,X,X
ILJZTSO,X,O,X,X,X,X,X,X,X
ILJZTOS,O,O,X,X,X,X,O,X,X
ILJZSTO,O,O,X,X,X,X,X,X,X
ILJZSOT,O,O,X,X,X,X,O,X,X
ILJZOTS,O,O,X,X,X,X,O,X,X
ILJZOST,O,O,X,X,X,X,O,X,X
ILJOTSZ,O,O,O,O,X,O,X,X,X
ILJOTZS,O,O,X,X,X,X,O,X,X
ILJOSTZ,O,O,O,O,X,X,X,X,X
ILJOSZT,O,O,O,X,X,X,O,X,X
ILJOZTS,O,O,X,X,X,X,O,X,X
ILJOZST,O,O,X,X,X,X,O,X,X
ILSTJZO,X,O,O,X,X,X,X,X,X
ILSTJOZ,O,O,X,O,X,X,X,X,X
ILSTZJO,X,O,O,X,X,X,X,X,X
ILSTZOJ,X,X,O,O,X,X,X,X,X
ILSTOJZ,X,X,O,O,X,X,X,X,X
ILSTOZJ,X,X,O,O,X,X,X,X,X
ILSJTZO,X,O,O,X,X,X,X,X,X
ILSJTOZ,O,O,X,O,X,X,X,X,X
ILSJZTO,O,O,O,X,X,X,X,X,X
ILSJZOT,O,O,X,X,X,X,O,X,X
ILSJOTZ,O,O,X,O,X,X,X,X,X
ILSJOZT,O,O,X,X,X,X,O,X,X
ILSZTJO,O,O,O,X,X,X,X,X,X
ILSZTOJ,X,X,O,O,X,X,X,X,X
ILSZJTO,O,O,O,X,X,X,X,X,X
ILSZJOT,O,O,X,X,X,X,O,X,X
ILSZOTJ,X,X,O,O,X,X,X,X,X
ILSZOJT,O,O,X,X,X,X,O,X,X
ILSOTJZ,X,X,O,O,X,X,X,X,X
ILSOTZJ,X,X,O,O,X,X,X,X,X
ILSOJTZ,O,O,O,O,X,X,X,X,X
ILSOJZT,O,O,O,X,X,X,O,X,X
ILSOZTJ,X,X,O,O,X,X,X,X,X
ILSOZJT,X,O,O,X,X,X,O,X,X
ILZTJSO,X,O,X,X,O,X,X,X,X
ILZTJOS,O,O,X,X,O,X,O,X,O
ILZTSJO,X,O,O,X,O,X,X,X,X
ILZTSOJ,X,X,O,O,O,X,X,X,X
ILZTOJS,X,X,X,X,O,X,O,X,O
ILZTOSJ,X,X,O,O,O,X,X,X,X
ILZJTSO,X,O,X,X,O,X,X,X,X
ILZJTOS,O,O,X,X,O,X,O,X,O
ILZJSTO,O,O,X,X,X,X,X,X,X
ILZJSOT,O,O,X,X,X,X,O,X,X
ILZJOTS,O,O,X,X,O,X,O,X,O
ILZJOST,O,O,X,X,X,X,O,X,X
ILZSTJO,O,O,O,X,X,X,X,X,X
ILZSTOJ,X,X,O,O,X,X,X,X,X
ILZSJTO,O,O,O,X,X,X,X,X,X
ILZSJOT,O,O,X,X,X,X,O,X,X
ILZSOTJ,X,X,O,O,X,X,X,X,X
ILZSOJT,O,O,X,X,X,X,O,X,X
ILZOTJS,X,X,X,X,O,X,O,X,O
ILZOTSJ,X,X,O,O,O,X,X,X,X
ILZOJTS,O,O,X,X,O,X,O,X,O
ILZOJST,O,O,X,X,X,X,O,X,X
ILZOSTJ,X,X,O,O,X,X,X,X,X
ILZOSJT,X,O,O,X,X,X,O,X,X
ILOTJSZ,X,X,O,O,X,X,X,X,X
ILOTJZS,X,X,X,X,X,X,O,X,X
ILOTSJZ,X,X,O,O,X,X,X,X,X
ILOTSZJ,X,X,O,O,X,X,X,X,X
ILOTZJS,X,X,X,X,O,X,O,X,O
ILOTZSJ,X,X,O,O,O,X,X,X,X
ILOJTSZ,O,O,O,O,X,X,X,X,X
ILOJTZS,O,O,X,X,X,X,O,X,X
ILOJSTZ,O,O,O,O,X,X,X,X,X
ILOJSZT,O,O,O,X,X,X,O,X,X
ILOJZTS,O,O,X,X,X,X,O,X,X
ILOJZST,O,O,X,X,X,X,O,X,X
ILOSTJZ,X,X,O,O,X,X,X,X,X
ILOSTZJ,X,X,O,O,X,X,X,X,X
ILOSJTZ,X,O,O,O,X,X,X,X,X
ILOSJZT,X,O,O,X,X,X,O,X,X
ILOSZTJ,X,X,O,O,X,X,X,X,X
ILOSZJT,X,O,O,X,X,X,O,X,X
ILOZTJS,X,X,X,X,O,X,O,X,O
ILOZTSJ,X,X,O,O,O,X,X,X,X
ILOZJTS,X,O,X,X,O,X,O,X,O
ILOZJST,X,O,X,X,X,X,O,X,X
ILOZSTJ,X,X,O,O,X,X,X,X,X
ILOZSJT,X,O,O,X,X,X,O,X,X
IJTLSZO,X,O,O,X,X,O,X,X,X
IJTLSOZ,X,O,X,O,X,O,X,X,X
IJTLZSO,X,O,X,X,X,X,X,X,X
IJTLZOS,X,O,X,X,X,X,O,X,X
IJTLOSZ,O,O,O,O,X,O,X,X,X
IJTLOZS,O,O,X,X,X,X,O,X,X
IJTSLZO,X,O,O,X,X,O,X,X,X
IJTSLOZ,O,O,X,O,X,O,X,X,X
IJTSZLO,X,O,X,X,X,O,X,X,X
IJTSZOL,X,O,X,X,X,O,X,X,X
IJTSOLZ,O,O,X,O,X,O,X,X,X
IJTSOZL,X,O,X,X,X,O,X,X,X
IJTZLSO,X,O,X,X,X,X,X,X,X
IJTZLOS,O,O,X,X,X,X,O,X,O
IJTZSLO,O,O,X,X,X,O,X,X,X
IJTZSOL,O,O,X,X,X,O,X,X,O
IJTZOLS,O,O,X,X,X,X,O,X,O
IJTZOSL,O,O,X,X,X,O,X,X,O
IJTOLSZ,O,O,X,O,X,O,X,X,X
IJTOLZS,O,O,X,X,X,X,O,X,X
IJTOSLZ,O,O,X,O,X,O,X,X,X
IJTOSZL,X,O,X,X,X,O,X,X,X
IJTOZLS,O,O,X,X,X,X,O,X,O
