sequence,v115@MhB8CeA8DeC8BeB8DeD8Jei/IvhFRhBziB+oBfqBUr?BlqB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFihBziB+oB0lBFl?BxvB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFUgBRhBKrBFoBGo?BTqB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFihBXlBFoB0lBGo?BxvB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFRhBGjBKrBUoBFq?B/qB,v115@MhB8CeA8DeC8BeB8DeD8Je/EJvhFRhBziB+oBlqBaq?BUrB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFihB0lBGoBXlBFo?BxvB,v115@MhB8CeA8DeC8BeB8DeD8Jex/IvhFCjB0kBToB3qBmq?BlrB,v115@MhB8CeA8DeC8BeB8DeD8JeT/IvhFGjBllBUoBXlBim?BxvB
TIOJSZL,X,X,X,X,X,O,X,X,X
TIOJZLS,X,X,X,X,X,X,O,X,O
TIOJZSL,X,X,X,X,X,O,X,X,O
TIOSLJZ,X,X,O,O,X,X,X,X,X
TIOSLZJ,X,X,O,O,X,X,X,X,X
TIOSJLZ,X,X,X,O,X,O,X,X,X
TIOSJZL,X,X,X,X,X,O,X,X,X
TIOSZLJ,X,X,X,O,X,X,X,X,X
TIOSZJL,X,X,X,X,X,X,X,X,O
TIOZLJS,X,X,X,X,O,X,O,X,O
TIOZLSJ,X,X,X,O,O,X,X,X,X
TIOZJLS,X,X,X,X,O,X,O,X,O
TIOZJSL,X,X,X,X,X,X,X,X,O
TIOZSLJ,X,X,X,O,X,X,X,X,X
TIOZSJL,X,X,X,X,X,X,X,X,O
TLIJSZO,X,O,O,X,X,O,X,X,X
TLIJSOZ,X,O,X,O,X,O,X,X,X
TLIJZSO,X,O,X,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,O,X,X
TLIJOSZ,O,O,O,O,X,O,X,X,X
TLIJOZS,O,O,X,X,X,X,O,X,X
TLISJZO,X,O,O,X,X,O,X,X,X
TLISJOZ,X,O,X,O,X,O,X,X,X
TLISZJO,X,O,O,X,X,X,X,X,X
TLISZOJ,X,X,O,O,X,X,X,X,X
TLISOJZ,X,X,O,O,X,X,X,X,X
TLISOZJ,X,X,O,O,X,X,X,X,X
TLIZJSO,X,O,X,X,O,X,X,X,X
TLIZJOS,X,O,X,X,O,X,O,X,X
TLIZSJO,X,O,O,X,O,X,X,X,X
TLIZSOJ,X,X,O,O,O,X,X,X,X
TLIZOJS,X,X,X,X,O,X,O,X,X
TLIZOSJ,X,X,O,O,O,X,X,X,X
TLIOJSZ,X,X,O,O,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,O,X,X
TLIOSJZ,X,X,O,O,X,X,X,X,X
TLIOSZJ,X,X,O,O,X,X,X,X,X
TLIOZJS,X,X,X,X,O,X,O,X,X
TLIOZSJ,X,X,O,O,O,X,X,X,X
TLJISZO,X,O,O,X,X,O,X,X,X
TLJISOZ,X,O,X,O,X,O,X,X,X
TLJIZSO,X,O,X,X,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X,O,X,X
TLJIOSZ,O,O,O,O,X,O,X,X,X
TLJIOZS,O,O,X,X,X,X,O,X,X
TLJSIZO,X,O,O,X,X,O,X,X,X
TLJSIOZ,O,O,X,X,X,O,X,X,X
TLJSZIO,O,X,O,X,X,O,X,X,X
TLJSZOI,O,X,O,X,X,O,X,X,X
TLJSOIZ,O,O,O,O,X,O,X,X,X
TLJSOZI,O,X,O,O,X,O,X,X,X
TLJZISO,X,X,X,X,O,X,X,X,X
TLJZIOS,O,X,X,X,O,X,X,X,X
TLJZSIO,X,X,X,X,O,X,X,X,X
TLJZSOI,X,X,X,X,O,X,X,X,X
TLJZOIS,O,X,X,X,O,X,X,X,X
TLJZOSI,X,X,X,X,O,X,X,X,X
TLJOISZ,O,O,O,O,X,O,X,X,X
TLJOIZS,O,O,X,X,X,X,O,X,X
TLJOSIZ,O,O,O,O,X,O,X,X,X
TLJOSZI,O,X,O,O,X,O,X,X,X
TLJOZIS,O,X,X,X,O,X,X,X,X
TLJOZSI,X,X,X,X,O,X,X,X,X
TLSIJZO,X,O,O,X,X,O,X,X,X
TLSIJOZ,O,O,X,O,X,O,X,X,X
TLSIZJO,X,O,O,X,X,X,X,X,X
TLSIZOJ,X,X,O,O,X,X,X,X,X
