sequence,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeFBJvhFXiB8nBxkBi?kBzpBmrB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jel/IvhFUhBziB/pBO?qBxrBasB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeXAJvhFVmBziB2pBx?rBasB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhFxgBXiB8nBl?pBmrBiqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeXAJvhFziB2pBRmBi?mBFsB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeUBJvhFziB/pBFlBx?rBasBmpB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeUAJvhFRhBziBimBm?pBFsB/pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhFRiBilBfsBl?nBmlB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jex/IvhFXhB8nBikB1?rBzpBOsB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je0/IvhFziB2pBRmBi?mBFsBXqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je0/IvhFVmBziB2pBx?rBasBXqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jel/IvhFUhBziB2pBx?rBasBXqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je0/IvhFziB/pBRmBO?qBimBFsB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Jel/IvhFRhBynB/pBO?qBTmBcsB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeaGJvhFFiB8nBxkBf?sBTkBeqB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhFilBRnBmlBf?sBlnB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8Je2EJvhFRmB3nBFlBT?mB0pBisB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeTEJvhFilBRnBmlBf?sBlnB0pB,v115@GhA8IeA8CeA8DeC8BeC8AeC8JeT/IvhF8nBypBRmB2?rBXqBFsB
TILJSZO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILJSOZ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILJZSO,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TILJOSZ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILJOZS,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TILSJZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TILSOJZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZJSO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZOJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O
TILZOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILOJSZ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TILOJZS,X,X,O,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TILOSJZ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TILOZJS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
TILOZSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TIJLSOZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TIJLZSO,O,X,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TIJLZOS,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TIJLOZS,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TIJSLZO,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJSLOZ,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJSZLO,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJSZOL,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TIJSOLZ,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJSOZL,X,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TIJZLSO,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJZLOS,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJZSLO,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJZSOL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJZOLS,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJZOSL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
TIJOLZS,X,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TIJOSLZ,X,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJOSZL,X,O,O,X,O,X,X,X,X,O,O,O,O,X,X,X,X,X,X
TIJOZLS,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIJOZSL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TISLJZO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLZOJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TISLOJZ,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJLZO,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJLOZ,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJZLO,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJZOL,X,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TISJOLZ,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISJOZL,X,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TISZLJO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TISZLOJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TISZJLO,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TISZJOL,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TISZOLJ,O,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TISZOJL,O,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOLJZ,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TISOJLZ,X,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISOJZL,X,O,O,X,O,O,X,X,X,O,O,X,O,X,X,X,X,X,X
TISOZLJ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TISOZJL,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZLJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLSOJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZLOJS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TIZLOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIZJLSO,O,X,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIZJLOS,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZJSLO,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X
TIZJSOL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,O,X,X
TIZJOLS,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZJOSL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZSLJO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSLOJ,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X
TIZSJLO,O,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
TIZSJOL,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TIZSOLJ,O,X,X,O,X,O,X,X,O,X,X,X,O,X,O,X,X,X,X
TIZSOJL,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIZOJLS,X,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZOJSL,O,O,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIZOSJL,O,X,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLJSZ,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O,X
TIOLJZS,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X
TIOLSZJ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X
TIOLZJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X
