sequence,v115@RhA8BeB8EeF8AeC8Je/EJvhFRgBzhBGjBilBUoBFsB,v115@RhA8BeB8EeF8AeC8JeT/IvhFxgBymBGjBXlBUoBFsB,v115@RhA8BeB8EeF8AeC8JemAJvhFzhBfoB6oBxkB0kBFsB,v115@RhA8BeB8EeF8AeC8JemAJvhFFiB6oBxkBfsBzsB0pB,v115@RhA8BeB8EeF8AeC8Jex/IvhFylBFiBTjB0kBfsBWyB,v115@RhA8BeB8EeF8AeC8JeT/IvhFmhBSoBxlBXlBUoBFsB,v115@RhA8BeB8EeF8AeC8JeT/IvhF6oBxlBmnBXlBlmBcsB,v115@RhA8BeB8EeF8AeC8JeT/IvhFUjBxlBOsBXqBlrBSyB,v115@RhA8BeB8EeF8AeC8JeT/IvhFxgB+oBXlB0mBlnBisB,v115@RhA8BeB8EeF8AeC8JeT/IvhFSoBxlBVsBXlBUoBmrB
TILJSZO,X,O,O,X,X,X,X,X,X,X
TILJSOZ,X,O,O,X,X,O,X,X,X,X
TILJZSO,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,O,X,X,X,X
TILJOSZ,X,X,O,O,X,O,O,X,X,O
TILJOZS,X,O,X,X,X,O,O,X,X,O
TILSJZO,O,O,O,X,X,X,X,X,X,X
TILSJOZ,O,O,O,X,X,O,X,X,X,X
TILSZJO,O,O,O,X,X,X,X,X,X,X
TILSZOJ,O,O,O,X,X,X,X,X,X,X
TILSOJZ,O,O,O,X,X,O,X,X,X,O
TILSOZJ,O,O,O,X,X,X,X,X,X,O
TILZJSO,O,O,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,X,X,O,X,X,X,X
TILZSJO,O,O,X,X,X,X,X,X,X,X
TILZSOJ,O,O,X,X,X,X,X,X,X,X
TILZOJS,O,O,X,X,X,O,X,X,X,O
TILZOSJ,O,O,X,X,X,X,X,X,X,O
TILOJSZ,X,X,O,O,X,O,O,X,X,O
TILOJZS,X,O,X,X,X,O,O,X,X,O
TILOSJZ,O,O,O,O,X,O,X,X,X,O
TILOSZJ,O,O,O,O,X,X,X,X,X,O
TILOZJS,O,O,X,X,X,O,X,X,X,O
TILOZSJ,O,O,X,X,X,X,X,X,X,O
TIJLSZO,X,X,O,X,X,X,X,X,X,X
TIJLSOZ,X,X,O,X,X,O,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,O,X,X,X,X
TIJLOSZ,X,X,O,O,X,O,O,X,X,O
TIJLOZS,X,X,X,X,X,O,O,X,X,O
TIJSLZO,X,X,O,X,X,X,X,X,X,X
TIJSLOZ,X,X,O,O,X,O,X,X,X,X
TIJSZLO,X,X,O,X,X,X,X,X,X,X
TIJSZOL,X,X,O,O,X,X,X,X,X,X
TIJSOLZ,X,X,O,O,X,O,X,X,X,X
TIJSOZL,X,X,O,O,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,O,X,X,X,X
TIJZSLO,X,X,O,X,X,X,X,X,X,X
TIJZSOL,X,X,O,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,O,X,O,X,X
TIJZOSL,X,X,O,X,X,X,X,O,X,X
TIJOLSZ,X,X,O,O,X,O,O,X,X,O
TIJOLZS,X,X,X,X,X,O,O,X,X,O
TIJOSLZ,X,X,O,O,X,O,X,X,X,X
TIJOSZL,X,X,O,O,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,O,X,O,X,X
TIJOZSL,X,X,O,X,X,X,X,O,X,X
TISLJZO,O,O,O,X,X,X,X,X,X,X
TISLJOZ,O,O,O,O,X,O,X,X,X,X
TISLZJO,O,O,O,X,X,X,X,X,X,X
TISLZOJ,O,O,O,X,X,X,X,X,X,X
TISLOJZ,O,O,O,O,X,O,X,X,X,O
TISLOZJ,O,O,O,O,X,X,X,X,X,O
TISJLZO,O,O,O,X,X,X,X,X,X,X
TISJLOZ,O,O,O,O,X,O,X,X,X,X
TISJZLO,O,O,O,X,X,X,X,X,X,X
TISJZOL,O,O,O,O,X,X,X,X,X,X
TISJOLZ,X,O,O,O,X,O,X,X,X,X
TISJOZL,O,O,O,O,X,X,X,X,X,X
TISZLJO,O,O,O,X,X,X,X,X,X,X
TISZLOJ,O,O,O,X,X,X,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,X,X,X
TISZJOL,O,O,O,O,X,X,X,X,X,X
TISZOLJ,O,O,O,O,X,X,X,X,X,X
TISZOJL,O,O,O,O,X,X,X,X,X,X
TISOLJZ,O,O,O,O,X,O,X,X,X,O
TISOLZJ,O,O,O,O,X,X,X,X,X,O
TISOJLZ,X,O,O,O,X,O,X,X,X,X
TISOJZL,O,O,O,O,X,X,X,X,X,X
TISOZLJ,O,O,O,O,X,X,X,X,X,X
TISOZJL,O,O,O,O,X,X,X,X,X,X
TIZLJSO,O,O,X,X,X,X,X,X,X,X
TIZLJOS,O,O,X,X,X,O,X,X,X,X
TIZLSJO,O,O,X,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,X,X,X,X
TIZLOJS,O,O,X,X,X,O,X,X,X,O
TIZLOSJ,O,O,X,X,X,X,X,X,X,O
TIZJLSO,O,O,X,X,X,X,X,X,X,X
TIZJLOS,O,O,X,X,X,O,X,X,X,X
TIZJSLO,O,O,O,X,X,X,X,X,X,X
TIZJSOL,O,O,O,X,X,X,X,X,X,X
TIZJOLS,O,O,X,X,X,O,X,X,X,X
TIZJOSL,O,X,O,X,X,X,X,X,X,X
TIZSLJO,O,O,O,X,X,X,X,X,X,X
TIZSLOJ,O,O,O,X,X,X,X,X,X,X
TIZSJLO,O,O,O,X,X,X,X,X,X,X
TIZSJOL,O,O,O,X,X,X,X,X,X,X
TIZSOLJ,O,O,O,X,X,X,X,X,X,X
TIZSOJL,O,O,O,X,X,X,X,X,X,X
TIZOLJS,O,O,X,X,X,O,X,X,X,O
TIZOLSJ,O,O,X,X,X,X,X,X,X,O
TIZOJLS,O,O,X,X,X,O,X,X,X,X
TIZOJSL,O,X,O,X,X,X,X,X,X,X
TIZOSLJ,O,X,O,X,X,X,X,X,X,X
TIZOSJL,O,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,O,X,O,O,X,X,O
TIOLJZS,X,O,X,X,X,O,O,X,X,O
TIOLSJZ,O,X,O,O,X,O,X,X,X,O
TIOLSZJ,O,O,O,O,X,X,X,X,X,O
