sequence,v115@RhB8EeA8BeE8AeD8Jex/IvhF8lBzhBfoB6oBmkBlrB,v115@RhB8EeA8BeE8AeD8Je2EJvhFRgBzhBSoB3lBUoBlrB,v115@RhB8EeA8BeE8AeD8Jei/IvhFzhBGjBRlBUoB3lBlrB,v115@RhB8EeA8BeE8AeD8Jei/IvhFRhBziB+oBFlBXmB8rB,v115@RhB8EeA8BeE8AeD8Je2EJvhFRgB3hBCjB1qB8rBTtB,v115@RhB8EeA8BeE8AeD8Jex/IvhFlhBfoB6oBmkBzlB8rB,v115@RhB8EeA8BeE8AeD8Jei/IvhFxiBUlBFmBXnBToBGrB,v115@RhB8EeA8BeE8AeD8Je2EJvhFChBxiB/rBFsBTtBUqB,v115@RhB8EeA8BeE8AeD8Jei/IvhFWmBUlBxnB/rBFsBTtB
TILJSZO,X,O,X,X,O,X,X,X,X
TILJSOZ,X,O,X,O,X,X,X,X,X
TILJZSO,X,X,O,O,O,X,X,X,X
TILJZOS,X,X,O,O,O,X,X,X,X
TILJOSZ,X,O,X,O,O,X,X,X,X
TILJOZS,X,X,O,O,O,X,X,X,X
TILSJZO,X,O,X,X,O,X,X,X,X
TILSJOZ,X,O,X,O,X,X,X,X,X
TILSZJO,X,O,O,X,O,X,X,X,X
TILSZOJ,X,O,O,X,O,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X,X,X
TILSOZJ,X,O,O,X,X,X,X,X,X
TILZJSO,X,X,O,O,O,X,X,X,O
TILZJOS,X,X,O,O,O,X,X,X,O
TILZSJO,X,X,O,O,O,X,X,X,X
TILZSOJ,X,X,O,O,O,X,X,X,X
TILZOJS,X,X,O,O,O,X,X,X,X
TILZOSJ,X,X,O,X,O,X,X,X,X
TILOJSZ,X,O,X,O,O,X,X,X,X
TILOJZS,X,X,O,O,O,X,X,X,X
TILOSJZ,X,O,X,X,O,X,X,X,X
TILOSZJ,X,O,O,X,O,X,X,X,X
TILOZJS,X,X,O,X,O,X,X,X,X
TILOZSJ,X,X,O,X,O,X,X,X,X
TIJLSZO,X,O,X,X,O,X,X,X,X
TIJLSOZ,X,O,X,O,X,X,X,X,X
TIJLZSO,X,X,O,O,O,X,X,X,X
TIJLZOS,X,X,O,O,O,X,X,X,X
TIJLOSZ,X,O,X,O,O,X,X,X,X
TIJLOZS,X,X,O,O,O,X,X,X,X
TIJSLZO,O,O,X,X,O,X,X,X,X
TIJSLOZ,O,O,X,O,X,X,X,X,X
TIJSZLO,O,O,X,X,O,X,X,X,X
TIJSZOL,O,O,X,X,O,X,X,X,X
TIJSOLZ,O,O,X,O,O,X,X,X,X
TIJSOZL,O,O,X,X,O,X,X,X,X
TIJZLSO,O,X,O,O,O,X,X,X,X
TIJZLOS,O,X,O,O,O,X,X,X,X
TIJZSLO,O,X,O,O,O,X,X,X,X
TIJZSOL,O,X,O,O,O,X,X,X,X
TIJZOLS,O,X,O,O,O,X,X,X,X
TIJZOSL,O,X,O,O,O,X,X,X,X
TIJOLSZ,X,O,X,O,O,X,X,O,X
TIJOLZS,X,X,O,O,O,X,X,X,X
TIJOSLZ,O,O,X,O,O,X,X,O,X
TIJOSZL,O,O,X,X,O,X,X,O,X
TIJOZLS,O,X,O,O,O,X,X,X,X
TIJOZSL,O,X,O,O,O,X,X,O,X
TISLJZO,O,O,X,X,O,X,X,X,X
TISLJOZ,O,O,X,O,X,X,X,X,X
TISLZJO,O,O,O,X,O,X,X,X,X
TISLZOJ,O,O,O,X,O,X,X,X,X
TISLOJZ,O,O,X,X,X,X,X,X,X
TISLOZJ,O,O,O,X,X,X,X,X,X
TISJLZO,O,O,X,X,O,X,X,X,X
TISJLOZ,O,O,X,O,X,X,X,X,X
TISJZLO,O,O,X,X,O,X,X,X,X
TISJZOL,O,O,X,X,O,X,X,X,X
TISJOLZ,O,O,X,O,O,X,X,X,X
TISJOZL,O,O,X,X,O,X,X,X,X
TISZLJO,O,O,O,X,O,X,X,X,X
TISZLOJ,O,O,O,X,O,X,O,X,X
TISZJLO,O,O,O,X,O,X,X,X,X
TISZJOL,O,O,O,X,O,X,X,X,X
TISZOLJ,O,O,O,X,O,X,O,X,X
TISZOJL,O,O,O,X,O,X,O,X,X
TISOLJZ,O,O,X,X,O,X,X,X,X
TISOLZJ,O,O,O,X,O,X,O,X,X
TISOJLZ,O,O,X,X,O,X,X,X,X
TISOJZL,O,O,X,X,O,X,O,X,X
TISOZLJ,O,O,O,X,O,X,O,X,X
TISOZJL,O,O,O,X,O,X,O,X,X
TIZLJSO,X,X,O,O,O,X,X,X,O
