sequence,v115@9gA8IeA8IeB8DeA8CeC8BeD8Kez/IvhFfmBaoB5oBG?nBlmB0qB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KefFJvhF0gBaoB5oBG?nBlmBzqB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KeWFJvhFxgB/nBTmB6?tBFoB0qB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KefFJvhFThBmiB5oB0?nBFrB6qB
ITSOLZJ,X,O,X,O
ITSOJLZ,X,O,X,X
ITSOJZL,X,O,X,O
ITSOZLJ,X,O,X,O
ITSOZJL,X,O,X,O
ITZLJSO,O,X,X,O
ITZLJOS,O,X,X,O
ITZLSJO,O,X,X,O
ITZLSOJ,O,X,X,O
ITZLOJS,O,X,X,O
ITZLOSJ,O,X,X,O
ITZJLSO,O,X,X,O
ITZJLOS,O,X,X,O
ITZJSLO,O,X,X,O
ITZJSOL,O,X,X,O
ITZJOLS,O,X,X,O
ITZJOSL,O,X,X,O
ITZSLJO,O,X,X,O
ITZSLOJ,O,X,X,O
ITZSJLO,O,X,X,O
ITZSJOL,O,X,X,O
ITZSOLJ,O,X,X,O
ITZSOJL,O,X,X,O
ITZOLJS,O,X,X,O
ITZOLSJ,O,X,X,O
ITZOJLS,O,X,X,O
ITZOJSL,O,X,X,O
ITZOSLJ,O,X,X,O
ITZOSJL,O,X,X,O
ITOLJSZ,X,O,X,X
ITOLJZS,O,X,X,X
ITOLSJZ,X,O,X,X
ITOLSZJ,X,O,X,O
ITOLZJS,O,X,X,O
ITOLZSJ,O,X,X,O
ITOJLSZ,X,O,X,X
ITOJLZS,O,X,X,X
ITOJSLZ,X,O,X,X
ITOJSZL,X,O,X,O
ITOJZLS,O,X,X,O
ITOJZSL,O,X,X,O
ITOSLJZ,X,O,X,X
ITOSLZJ,X,O,X,O
ITOSJLZ,X,O,X,X
ITOSJZL,X,O,X,O
ITOSZLJ,X,O,X,O
ITOSZJL,X,O,X,O
ITOZLJS,O,X,X,O
ITOZLSJ,O,X,X,O
ITOZJLS,O,X,X,O
ITOZJSL,O,X,X,O
ITOZSLJ,O,X,X,O
ITOZSJL,O,X,X,O
ILTJSZO,X,O,X,X
ILTJSOZ,X,O,X,X
ILTJZSO,O,X,X,X
ILTJZOS,O,X,X,X
ILTJOSZ,X,O,X,X
ILTJOZS,O,X,X,X
ILTSJZO,X,O,X,X
ILTSJOZ,X,O,X,X
ILTSZJO,X,O,X,O
ILTSZOJ,X,X,X,O
ILTSOJZ,X,O,X,X
ILTSOZJ,X,O,X,O
ILTZJSO,O,X,X,O
ILTZJOS,O,X,X,O
ILTZSJO,O,X,X,O
ILTZSOJ,O,X,X,O
ILTZOJS,O,X,X,O
ILTZOSJ,O,X,X,O
ILTOJSZ,X,O,X,X
ILTOJZS,O,X,X,X
ILTOSJZ,X,O,X,X
ILTOSZJ,X,O,X,O
ILTOZJS,O,X,X,O
ILTOZSJ,O,X,X,O
ILJTSZO,X,O,X,X
ILJTSOZ,X,O,X,X
ILJTZSO,O,X,X,X
ILJTZOS,O,X,X,X
ILJTOSZ,X,O,X,X
ILJTOZS,O,X,X,X
ILJSTZO,X,O,X,X
ILJSTOZ,X,O,X,X
ILJSZTO,O,O,X,X
ILJSZOT,O,O,O,X
ILJSOTZ,X,O,O,X
ILJSOZT,O,O,O,X
ILJZTSO,O,X,X,X
ILJZTOS,O,X,X,X
ILJZSTO,O,O,X,X
ILJZSOT,O,O,O,X
ILJZOTS,O,X,O,X
ILJZOST,O,O,O,X
ILJOTSZ,X,O,O,X
ILJOTZS,O,X,X,X
ILJOSTZ,X,O,O,X
ILJOSZT,O,O,O,X
ILJOZTS,O,X,X,X
ILJOZST,O,O,O,X
ILSTJZO,X,O,X,X
ILSTJOZ,X,O,X,X
ILSTZJO,X,O,X,O
ILSTZOJ,X,X,X,O
ILSTOJZ,X,O,X,X
ILSTOZJ,X,O,X,O
ILSJTZO,X,O,X,X
ILSJTOZ,X,O,X,X
ILSJZTO,O,O,X,X
ILSJZOT,O,O,O,X
ILSJOTZ,X,O,O,X
ILSJOZT,O,O,O,X
ILSZTJO,O,O,X,O
ILSZTOJ,O,X,X,O
ILSZJTO,O,O,X,O
ILSZJOT,O,O,O,X
ILSZOTJ,O,O,O,X
ILSZOJT,O,O,O,X
ILSOTJZ,X,O,O,X
ILSOTZJ,X,O,X,X
ILSOJTZ,X,O,O,X
ILSOJZT,O,O,O,X
ILSOZTJ,O,O,X,X
ILSOZJT,O,O,O,X
ILZTJSO,O,X,X,O
ILZTJOS,O,X,X,O
ILZTSJO,O,X,X,O
ILZTSOJ,O,X,X,O
ILZTOJS,O,X,X,O
ILZTOSJ,O,X,X,O
ILZJTSO,O,X,X,O
ILZJTOS,O,X,X,O
ILZJSTO,O,O,X,O
ILZJSOT,O,O,O,X
ILZJOTS,O,X,O,X
ILZJOST,O,O,O,X
ILZSTJO,O,O,X,O
ILZSTOJ,O,X,X,O
ILZSJTO,O,O,X,O
ILZSJOT,O,O,O,X
ILZSOTJ,O,O,O,X
ILZSOJT,O,O,O,X
ILZOTJS,O,X,O,X
ILZOTSJ,O,X,O,X
ILZOJTS,O,X,O,X
ILZOJST,O,O,O,X
ILZOSTJ,O,O,O,X
ILZOSJT,O,O,O,X
ILOTJSZ,X,O,O,X
ILOTJZS,O,X,X,X
ILOTSJZ,X,O,O,X
ILOTSZJ,X,O,X,X
ILOTZJS,O,X,X,X
ILOTZSJ,O,X,X,X
ILOJTSZ,X,O,O,X
ILOJTZS,O,X,X,X
ILOJSTZ,X,O,O,X
ILOJSZT,O,O,O,X
ILOJZTS,O,X,X,X
ILOJZST,O,O,O,X
ILOSTJZ,X,O,O,X
ILOSTZJ,X,O,X,X
ILOSJTZ,X,O,O,X
ILOSJZT,O,O,O,X
ILOSZTJ,O,O,X,X
ILOSZJT,O,O,O,X
ILOZTJS,O,X,X,X
ILOZTSJ,O,X,X,X
ILOZJTS,O,X,X,X
ILOZJST,O,O,O,X
ILOZSTJ,O,O,X,X
ILOZSJT,O,O,O,X
IJTLSZO,X,O,X,X
IJTLSOZ,X,O,X,X
IJTLZSO,O,X,X,X
IJTLZOS,O,X,X,X
IJTLOSZ,X,O,X,X
IJTLOZS,O,X,X,X
IJTSLZO,X,O,X,X
IJTSLOZ,X,O,X,X
IJTSZLO,X,O,X,O
IJTSZOL,X,X,X,O
IJTSOLZ,X,O,X,X
IJTSOZL,X,O,X,O
IJTZLSO,O,X,X,O
IJTZLOS,O,X,X,O
IJTZSLO,O,X,X,O
IJTZSOL,O,X,X,O
IJTZOLS,O,X,X,O
IJTZOSL,O,X,X,O
IJTOLSZ,X,O,X,X
IJTOLZS,O,X,X,X
IJTOSLZ,X,O,X,X
IJTOSZL,X,O,X,O
IJTOZLS,O,X,X,O
IJTOZSL,O,X,X,O
IJLTSZO,X,O,X,X
IJLTSOZ,X,O,X,X
IJLTZSO,O,X,X,X
IJLTZOS,O,X,X,X
IJLTOSZ,X,O,X,X
IJLTOZS,O,X,X,X
IJLSTZO,X,O,X,X
IJLSTOZ,X,O,X,X
IJLSZTO,O,O,X,X
IJLSZOT,O,O,O,X
IJLSOTZ,X,O,O,X
IJLSOZT,O,O,O,X
IJLZTSO,O,X,X,X
IJLZTOS,O,X,X,X
IJLZSTO,O,O,X,X
IJLZSOT,O,O,O,X
IJLZOTS,O,X,O,X
IJLZOST,O,O,O,X
IJLOTSZ,X,O,O,X
IJLOTZS,O,X,X,X
IJLOSTZ,X,O,O,X
IJLOSZT,O,O,O,X
IJLOZTS,O,X,X,X
IJLOZST,O,O,O,X
IJSTLZO,X,O,X,X
IJSTLOZ,X,O,X,X
IJSTZLO,X,O,X,O
IJSTZOL,X,X,X,O
IJSTOLZ,X,O,X,X
IJSTOZL,X,O,X,O
IJSLTZO,X,O,X,X
IJSLTOZ,X,O,X,X
IJSLZTO,O,O,X,X
IJSLZOT,O,O,O,X
IJSLOTZ,X,O,O,X
IJSLOZT,O,O,O,X
IJSZTLO,O,O,X,O
IJSZTOL,O,X,X,O
IJSZLTO,O,O,X,O
IJSZLOT,O,O,O,X
IJSZOTL,O,O,O,O
IJSZOLT,O,O,O,X
IJSOTLZ,X,O,O,X
IJSOTZL,X,O,X,X
IJSOLTZ,X,O,O,X
IJSOLZT,O,O,O,X
IJSOZTL,O,O,X,X
IJSOZLT,O,O,O,X
IJZTLSO,O,X,X,O
IJZTLOS,O,X,X,O
IJZTSLO,O,X,X,O
IJZTSOL,O,X,X,O
IJZTOLS,O,X,X,O
IJZTOSL,O,X,X,O
IJZLTSO,O,X,X,O
IJZLTOS,O,X,X,O
IJZLSTO,O,O,X,O
IJZLSOT,O,O,O,X
IJZLOTS,O,X,O,X
IJZLOST,O,O,O,X
IJZSTLO,O,O,X,O
IJZSTOL,O,X,X,O
IJZSLTO,O,O,X,O
IJZSLOT,O,O,O,X
IJZSOTL,O,O,O,O
IJZSOLT,O,O,O,X
IJZOTLS,O,X,O,O
IJZOTSL,O,X,O,O
IJZOLTS,O,X,O,X
IJZOLST,O,O,O,X
IJZOSTL,O,O,O,O
IJZOSLT,O,O,O,X
IJOTLSZ,X,O,O,X
IJOTLZS,O,X,X,X
IJOTSLZ,X,O,O,X
IJOTSZL,X,O,X,X
IJOTZLS,O,X,X,X
IJOTZSL,O,X,X,X
IJOLTSZ,X,O,O,X
IJOLTZS,O,X,X,X
IJOLSTZ,X,O,O,X
IJOLSZT,O,O,O,X
IJOLZTS,O,X,X,X
IJOLZST,O,O,O,X
IJOSTLZ,X,O,O,X
IJOSTZL,X,O,X,X
IJOSLTZ,X,O,O,X
IJOSLZT,O,O,O,X
IJOSZTL,O,O,X,X
IJOSZLT,O,O,O,X
IJOZTLS,O,X,X,X
IJOZTSL,O,X,X,X
IJOZLTS,O,X,X,X
IJOZLST,O,O,O,X
IJOZSTL,O,O,X,X
IJOZSLT,O,O,O,X
ISTLJZO,X,O,X,X
ISTLJOZ,X,O,X,X
ISTLZJO,X,O,X,O
ISTLZOJ,X,X,X,O
ISTLOJZ,X,O,X,X
ISTLOZJ,X,O,X,O
ISTJLZO,X,O,X,X
ISTJLOZ,X,O,X,X
ISTJZLO,X,O,X,O
ISTJZOL,X,X,X,O
ISTJOLZ,X,O,X,X
ISTJOZL,X,O,X,O
ISTZLJO,X,O,X,O
ISTZLOJ,X,X,X,O
ISTZJLO,X,O,X,O
ISTZJOL,X,X,X,O
ISTZOLJ,X,X,X,O
ISTZOJL,X,X,X,O
ISTOLJZ,X,O,X,X
ISTOLZJ,X,O,X,O
ISTOJLZ,X,O,X,X
ISTOJZL,X,O,X,O
ISTOZLJ,X,O,X,O
ISTOZJL,X,O,X,O
ISLTJZO,X,O,X,X
ISLTJOZ,X,O,X,X
ISLTZJO,X,O,X,O
ISLTZOJ,X,X,X,O
ISLTOJZ,X,O,X,X
ISLTOZJ,X,O,X,O
ISLJTZO,X,O,X,X
ISLJTOZ,X,O,X,X
ISLJZTO,O,O,X,X
ISLJZOT,O,O,O,X
ISLJOTZ,X,O,O,X
ISLJOZT,O,O,O,X
ISLZTJO,O,O,X,O
ISLZTOJ,O,X,X,O
ISLZJTO,O,O,X,O
ISLZJOT,O,O,O,X
ISLZOTJ,O,O,O,X
ISLZOJT,O,O,O,X
ISLOTJZ,X,O,O,X
ISLOTZJ,X,O,X,X
ISLOJTZ,X,O,O,X
ISLOJZT,O,O,O,X
ISLOZTJ,O,O,X,X
ISLOZJT,O,O,O,X
ISJTLZO,X,O,X,X
ISJTLOZ,X,O,X,X
ISJTZLO,X,O,X,O
ISJTZOL,X,X,X,O
ISJTOLZ,X,O,X,X
ISJTOZL,X,O,X,O
ISJLTZO,X,O,X,X
ISJLTOZ,X,O,X,X
ISJLZTO,O,O,X,X
ISJLZOT,O,O,O,X
ISJLOTZ,X,O,O,X
ISJLOZT,O,O,O,X
ISJZTLO,O,O,X,O
ISJZTOL,O,X,X,O
ISJZLTO,O,O,X,O
ISJZLOT,O,O,O,X
ISJZOTL,O,O,O,O
ISJZOLT,O,O,O,X
ISJOTLZ,X,O,O,X
ISJOTZL,X,O,X,X
ISJOLTZ,X,O,O,X
ISJOLZT,O,O,O,X
ISJOZTL,O,O,X,X
ISJOZLT,O,O,O,X
ISZTLJO,O,O,X,O
ISZTLOJ,O,X,X,O
ISZTJLO,O,O,X,O
ISZTJOL,O,X,X,O
ISZTOLJ,O,X,X,O
ISZTOJL,O,X,X,O
ISZLTJO,O,O,X,O
ISZLTOJ,O,X,X,O
ISZLJTO,O,O,X,O
ISZLJOT,O,O,O,X
ISZLOTJ,O,O,O,X
ISZLOJT,O,O,O,X
ISZJTLO,O,O,X,O
ISZJTOL,O,X,X,O
ISZJLTO,O,O,X,O
ISZJLOT,O,O,O,X
ISZJOTL,O,O,O,O
ISZJOLT,O,O,O,X
ISZOTLJ,O,O,O,O
ISZOTJL,O,O,O,O
ISZOLTJ,O,O,O,X
ISZOLJT,O,O,O,X
ISZOJTL,O,O,O,O
ISZOJLT,O,O,O,X
ISOTLJZ,X,O,O,X
ISOTLZJ,X,O,X,O
ISOTJLZ,X,O,O,X
ISOTJZL,X,O,X,O
ISOTZLJ,X,O,X,O
ISOTZJL,X,O,X,O
ISOLTJZ,X,O,O,X
ISOLTZJ,X,O,X,X
ISOLJTZ,X,O,O,X
ISOLJZT,O,O,O,X
ISOLZTJ,O,O,X,X
ISOLZJT,O,O,O,X
ISOJTLZ,X,O,O,X
ISOJTZL,X,O,X,X
ISOJLTZ,X,O,O,X
ISOJLZT,O,O,O,X
ISOJZTL,O,O,X,X
ISOJZLT,O,O,O,X
ISOZTLJ,O,O,X,O
ISOZTJL,O,O,X,O
ISOZLTJ,O,O,X,X
ISOZLJT,O,O,O,X
ISOZJTL,O,O,X,O
ISOZJLT,O,O,O,X
IZTLJSO,O,X,X,O
IZTLJOS,O,X,X,O
IZTLSJO,O,X,X,O
IZTLSOJ,O,X,X,O
IZTLOJS,O,X,X,O
IZTLOSJ,O,X,X,O
IZTJLSO,O,X,X,O
IZTJLOS,O,X,X,O
IZTJSLO,O,X,X,O
IZTJSOL,O,X,X,O
IZTJOLS,O,X,X,O
IZTJOSL,O,X,X,O
IZTSLJO,O,X,X,O
IZTSLOJ,O,X,X,O
IZTSJLO,O,X,X,O
IZTSJOL,O,X,X,O
IZTSOLJ,O,X,X,O
IZTSOJL,O,X,X,O
IZTOLJS,O,X,X,O
IZTOLSJ,O,X,X,O
IZTOJLS,O,X,X,O
IZTOJSL,O,X,X,O
IZTOSLJ,O,X,X,O
IZTOSJL,O,X,X,O
IZLTJSO,O,X,X,O
IZLTJOS,O,X,X,O
IZLTSJO,O,X,X,O
IZLTSOJ,O,X,X,O
IZLTOJS,O,X,X,O
IZLTOSJ,O,X,X,O
IZLJTSO,O,X,X,O
IZLJTOS,O,X,X,O
IZLJSTO,O,O,X,O
IZLJSOT,O,O,O,X
IZLJOTS,O,X,O,X
IZLJOST,O,O,O,X
IZLSTJO,O,O,X,O
IZLSTOJ,O,X,X,O
IZLSJTO,O,O,X,O
IZLSJOT,O,O,O,X
IZLSOTJ,O,O,O,X
IZLSOJT,O,O,O,X
IZLOTJS,O,X,O,X
IZLOTSJ,O,X,O,X
IZLOJTS,O,X,O,X
IZLOJST,O,O,O,X
IZLOSTJ,O,O,O,X
IZLOSJT,O,O,O,X
IZJTLSO,O,X,X,O
IZJTLOS,O,X,X,O
IZJTSLO,O,X,X,O
IZJTSOL,O,X,X,O
IZJTOLS,O,X,X,O
IZJTOSL,O,X,X,O
IZJLTSO,O,X,X,O
IZJLTOS,O,X,X,O
IZJLSTO,O,O,X,O
IZJLSOT,O,O,O,X
IZJLOTS,O,X,O,X
IZJLOST,O,O,O,X
IZJSTLO,O,O,X,O
IZJSTOL,O,X,X,O
IZJSLTO,O,O,X,O
IZJSLOT,O,O,O,X
IZJSOTL,O,O,O,O
IZJSOLT,O,O,O,X
IZJOTLS,O,X,O,O
IZJOTSL,O,X,O,O
IZJOLTS,O,X,O,X
IZJOLST,O,O,O,X
IZJOSTL,O,O,O,O
IZJOSLT,O,O,O,X
IZSTLJO,O,O,X,O
IZSTLOJ,O,X,X,O
IZSTJLO,O,O,X,O
IZSTJOL,O,X,X,O
IZSTOLJ,O,X,X,O
IZSTOJL,O,X,X,O
IZSLTJO,O,O,X,O
IZSLTOJ,O,X,X,O
IZSLJTO,O,O,X,O
IZSLJOT,O,O,O,X
IZSLOTJ,O,O,O,X
IZSLOJT,O,O,O,X
IZSJTLO,O,O,X,O
IZSJTOL,O,X,X,O
IZSJLTO,O,O,X,O
IZSJLOT,O,O,O,X
IZSJOTL,O,O,O,O
IZSJOLT,O,O,O,X
IZSOTLJ,O,O,O,O
IZSOTJL,O,O,O,O
IZSOLTJ,O,O,O,X
IZSOLJT,O,O,O,X
IZSOJTL,O,O,O,O
IZSOJLT,O,O,O,X
IZOTLJS,O,X,O,O
IZOTLSJ,O,X,O,O
IZOTJLS,O,X,O,O
IZOTJSL,O,X,O,O
IZOTSLJ,O,X,O,O
IZOTSJL,O,X,O,O
IZOLTJS,O,X,O,X
IZOLTSJ,O,X,O,X
IZOLJTS,O,X,O,X
IZOLJST,O,O,O,X
IZOLSTJ,O,O,O,X
IZOLSJT,O,O,O,X
IZOJTLS,O,X,O,O
IZOJTSL,O,X,O,O
IZOJLTS,O,X,O,X
IZOJLST,O,O,O,X
IZOJSTL,O,O,O,O
IZOJSLT,O,O,O,X
IZOSTLJ,O,O,O,O
IZOSTJL,O,O,O,O
IZOSLTJ,O,O,O,X
IZOSLJT,O,O,O,X
IZOSJTL,O,O,O,O
IZOSJLT,O,O,O,X
IOTLJSZ,X,O,O,X
IOTLJZS,O,X,X,X
IOTLSJZ,X,O,O,X
IOTLSZJ,X,O,X,O
IOTLZJS,O,X,X,O
IOTLZSJ,O,X,X,O
IOTJLSZ,X,O,O,X
IOTJLZS,O,X,X,X
IOTJSLZ,X,O,O,X
IOTJSZL,X,O,X,O
IOTJZLS,O,X,X,O
IOTJZSL,O,X,X,O
IOTSLJZ,X,O,O,X
IOTSLZJ,X,O,X,O
IOTSJLZ,X,O,O,X
IOTSJZL,X,O,X,O
IOTSZLJ,X,O,X,O
IOTSZJL,X,O,X,O
IOTZLJS,O,X,X,O
IOTZLSJ,O,X,X,O
IOTZJLS,O,X,X,O
IOTZJSL,O,X,X,O
IOTZSLJ,O,X,X,O
IOTZSJL,O,X,X,O
IOLTJSZ,X,O,O,X
IOLTJZS,O,X,X,X
IOLTSJZ,X,O,O,X
IOLTSZJ,X,O,X,X
IOLTZJS,O,X,X,X
IOLTZSJ,O,X,X,X
IOLJTSZ,X,O,O,X
IOLJTZS,O,X,X,X
IOLJSTZ,X,O,O,X
IOLJSZT,O,O,O,X
IOLJZTS,O,X,X,X
IOLJZST,O,O,O,X
IOLSTJZ,X,O,O,X
IOLSTZJ,X,O,X,X
IOLSJTZ,X,O,O,X
IOLSJZT,O,O,O,X
IOLSZTJ,O,O,X,X
IOLSZJT,O,O,O,X
IOLZTJS,O,X,X,X
IOLZTSJ,O,X,X,X
IOLZJTS,O,X,X,X
IOLZJST,O,O,O,X
IOLZSTJ,O,O,X,X
IOLZSJT,O,O,O,X
IOJTLSZ,X,O,O,X
IOJTLZS,O,X,X,X
IOJTSLZ,X,O,O,X
IOJTSZL,X,O,X,X
IOJTZLS,O,X,X,X
IOJTZSL,O,X,X,X
IOJLTSZ,X,O,O,X
IOJLTZS,O,X,X,X
IOJLSTZ,X,O,O,X
IOJLSZT,O,O,O,X
IOJLZTS,O,X,X,X
IOJLZST,O,O,O,X
IOJSTLZ,X,O,O,X
IOJSTZL,X,O,X,X
IOJSLTZ,X,O,O,X
IOJSLZT,O,O,O,X
IOJSZTL,O,O,X,X
IOJSZLT,O,O,O,X
IOJZTLS,O,X,X,X
IOJZTSL,O,X,X,X
IOJZLTS,O,X,X,X
IOJZLST,O,O,O,X
IOJZSTL,O,O,X,X
IOJZSLT,O,O,O,X
IOSTLJZ,X,O,O,X
IOSTLZJ,X,O,X,O
IOSTJLZ,X,O,O,X
IOSTJZL,X,O,X,O
IOSTZLJ,X,O,X,O
IOSTZJL,X,O,X,O
IOSLTJZ,X,O,O,X
IOSLTZJ,X,O,X,X
IOSLJTZ,X,O,O,X
IOSLJZT,O,O,O,X
IOSLZTJ,O,O,X,X
IOSLZJT,O,O,O,X
IOSJTLZ,X,O,O,X
IOSJTZL,X,O,X,X
IOSJLTZ,X,O,O,X
IOSJLZT,O,O,O,X
IOSJZTL,O,O,X,X
IOSJZLT,O,O,O,X
IOSZTLJ,O,O,X,O
IOSZTJL,O,O,X,O
IOSZLTJ,O,O,X,X
IOSZLJT,O,O,O,X
IOSZJTL,O,O,X,O
IOSZJLT,O,O,O,X
IOZTLJS,O,X,X,O
IOZTLSJ,O,X,X,O
IOZTJLS,O,X,X,O
IOZTJSL,O,X,X,O
IOZTSLJ,O,X,X,O
IOZTSJL,O,X,X,O
IOZLTJS,O,X,X,X
IOZLTSJ,O,X,X,X
IOZLJTS,O,X,X,X
IOZLJST,O,O,O,X
IOZLSTJ,O,O,X,X
IOZLSJT,O,O,O,X
IOZJTLS,O,X,X,O
IOZJTSL,O,X,X,O
IOZJLTS,O,X,X,X
IOZJLST,O,O,O,X
IOZJSTL,O,O,X,O
IOZJSLT,O,O,O,X
IOZSTLJ,O,O,X,O
IOZSTJL,O,O,X,O
IOZSLTJ,O,O,X,X
IOZSLJT,O,O,O,X
IOZSJTL,O,O,X,O
IOZSJLT,O,O,O,X
LTIJSZO,X,O,X,X
LTIJSOZ,X,O,X,X
LTIJZSO,O,X,X,X
LTIJZOS,O,X,X,X
LTIJOSZ,X,O,X,X
LTIJOZS,O,X,X,X
LTISJZO,X,O,X,X
LTISJOZ,X,O,X,X
LTISZJO,X,O,X,O
LTISZOJ,X,X,X,O
LTISOJZ,X,O,X,X
LTISOZJ,X,O,X,O
LTIZJSO,O,X,X,O
LTIZJOS,O,X,X,O
LTIZSJO,O,X,X,O
LTIZSOJ,O,X,X,O
LTIZOJS,O,X,X,O
LTIZOSJ,O,X,X,O
LTIOJSZ,X,O,X,X
LTIOJZS,O,X,X,X
LTIOSJZ,X,O,X,X
LTIOSZJ,X,O,X,O
LTIOZJS,O,X,X,O
LTIOZSJ,O,X,X,O
LTJISZO,X,O,X,X
LTJISOZ,X,O,X,X
LTJIZSO,O,X,X,X
LTJIZOS,O,X,X,X
LTJIOSZ,X,O,X,X
LTJIOZS,O,X,X,X
LTJSIZO,X,O,X,X
LTJSIOZ,X,O,X,X
LTJSZIO,X,O,X,X
LTJSZOI,X,X,O,X
LTJSOIZ,X,O,O,X
LTJSOZI,X,O,O,X
LTJZISO,O,X,X,X
LTJZIOS,O,X,X,X
LTJZSIO,O,X,X,X
LTJZSOI,O,X,O,X
LTJZOIS,O,X,O,X
LTJZOSI,O,X,O,X
LTJOISZ,X,O,O,X
LTJOIZS,O,X,X,X
LTJOSIZ,X,O,O,X
LTJOSZI,X,O,O,X
LTJOZIS,O,X,X,X
LTJOZSI,O,X,X,X
LTSIJZO,X,O,X,X
LTSIJOZ,X,O,X,X
LTSIZJO,X,O,X,O
LTSIZOJ,X,X,X,O
LTSIOJZ,X,O,X,X
LTSIOZJ,X,O,X,O
LTSJIZO,X,O,X,X
LTSJIOZ,X,O,X,X
LTSJZIO,X,O,X,X
LTSJZOI,X,X,O,X
LTSJOIZ,X,O,O,X
LTSJOZI,X,O,O,X
LTSZIJO,X,O,X,O
LTSZIOJ,X,X,X,O
LTSZJIO,X,O,X,O
LTSZJOI,X,X,O,O
LTSZOIJ,X,X,O,O
LTSZOJI,X,X,O,O
LTSOIJZ,X,O,O,X
LTSOIZJ,X,O,X,O
LTSOJIZ,X,O,O,X
LTSOJZI,X,O,O,X
LTSOZIJ,X,O,X,O
LTSOZJI,X,O,X,O
LTZIJSO,O,X,X,O
LTZIJOS,O,X,X,O
LTZISJO,O,X,X,O
LTZISOJ,O,X,X,O
LTZIOJS,O,X,X,O
LTZIOSJ,O,X,X,O
LTZJISO,O,X,X,O
LTZJIOS,O,X,X,O
LTZJSIO,O,X,X,O
LTZJSOI,O,X,O,O
LTZJOIS,O,X,O,O
LTZJOSI,O,X,O,O
LTZSIJO,O,X,X,O
LTZSIOJ,O,X,X,O
LTZSJIO,O,X,X,O
LTZSJOI,O,X,O,O
LTZSOIJ,O,X,O,O
LTZSOJI,O,X,O,O
LTZOIJS,O,X,O,O
LTZOISJ,O,X,O,O
LTZOJIS,O,X,O,O
LTZOJSI,O,X,O,O
LTZOSIJ,O,X,O,O
LTZOSJI,O,X,O,O
LTOIJSZ,X,O,O,X
LTOIJZS,O,X,X,X
LTOISJZ,X,O,O,X
LTOISZJ,X,O,X,O
LTOIZJS,O,X,X,O
LTOIZSJ,O,X,X,O
LTOJISZ,X,O,O,X
LTOJIZS,O,X,X,X
LTOJSIZ,X,O,O,X
LTOJSZI,X,O,O,X
LTOJZIS,O,X,X,X
LTOJZSI,O,X,X,X
LTOSIJZ,X,O,O,X
LTOSIZJ,X,O,X,O
LTOSJIZ,X,O,O,X
LTOSJZI,X,O,O,X
LTOSZIJ,X,O,X,O
LTOSZJI,X,O,X,O
LTOZIJS,O,X,X,O
LTOZISJ,O,X,X,O
LTOZJIS,O,X,X,O
LTOZJSI,O,X,X,O
LTOZSIJ,O,X,X,O
LTOZSJI,O,X,X,O
LITJSZO,X,O,X,X
LITJSOZ,X,O,X,X
LITJZSO,O,X,X,X
LITJZOS,O,X,X,X
LITJOSZ,X,O,X,X
LITJOZS,O,X,X,X
LITSJZO,X,O,X,X
LITSJOZ,X,O,X,X
LITSZJO,X,O,X,O
LITSZOJ,X,X,X,O
LITSOJZ,X,O,X,X
LITSOZJ,X,O,X,O
LITZJSO,O,X,X,O
LITZJOS,O,X,X,O
LITZSJO,O,X,X,O
LITZSOJ,O,X,X,O
LITZOJS,O,X,X,O
LITZOSJ,O,X,X,O
LITOJSZ,X,O,X,X
LITOJZS,O,X,X,X
LITOSJZ,X,O,X,X
LITOSZJ,X,O,X,O
LITOZJS,O,X,X,O
LITOZSJ,O,X,X,O
LIJTSZO,X,O,X,X
LIJTSOZ,X,O,X,X
LIJTZSO,O,X,X,X
LIJTZOS,O,X,X,X
LIJTOSZ,X,O,X,X
LIJTOZS,O,X,X,X
LIJSTZO,X,O,X,X
LIJSTOZ,X,O,X,X
LIJSZTO,O,O,X,X
LIJSZOT,O,O,O,X
LIJSOTZ,X,O,O,X
LIJSOZT,O,O,O,X
LIJZTSO,O,X,X,X
LIJZTOS,O,X,X,X
LIJZSTO,O,O,X,X
LIJZSOT,O,O,O,X
LIJZOTS,O,X,O,X
LIJZOST,O,O,O,X
LIJOTSZ,X,O,O,X
LIJOTZS,O,X,X,X
LIJOSTZ,X,O,O,X
LIJOSZT,O,O,O,X
LIJOZTS,O,X,X,X
LIJOZST,O,O,O,X
LISTJZO,X,O,X,X
LISTJOZ,X,O,X,X
LISTZJO,X,O,X,O
LISTZOJ,X,X,X,O
LISTOJZ,X,O,X,X
LISTOZJ,X,O,X,O
LISJTZO,X,O,X,X
LISJTOZ,X,O,X,X
LISJZTO,O,O,X,X
LISJZOT,O,O,O,X
LISJOTZ,X,O,O,X
LISJOZT,O,O,O,X
LISZTJO,O,O,X,O
LISZTOJ,O,X,X,O
LISZJTO,O,O,X,O
LISZJOT,O,O,O,X
LISZOTJ,O,O,O,X
LISZOJT,O,O,O,X
LISOTJZ,X,O,O,X
LISOTZJ,X,O,X,X
LISOJTZ,X,O,O,X
LISOJZT,O,O,O,X
LISOZTJ,O,O,X,X
LISOZJT,O,O,O,X
LIZTJSO,O,X,X,O
LIZTJOS,O,X,X,O
LIZTSJO,O,X,X,O
