sequence,v115@9gA8IeA8IeB8DeA8CeC8BeD8Kez/IvhFfmBaoB5oBG?nBlmB0qB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KefFJvhF0gBaoB5oBG?nBlmBzqB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KeWFJvhFxgB/nBTmB6?tBFoB0qB,v115@9gA8IeA8IeB8DeA8CeC8BeD8KefFJvhFThBmiB5oB0?nBFrB6qB
TLOZSJI,O,X,X,O
TJILSZO,X,O,X,X
TJILSOZ,X,O,X,X
TJILZSO,O,X,X,X
TJILZOS,O,X,X,X
TJILOSZ,X,O,X,X
TJILOZS,O,X,X,X
TJISLZO,X,O,X,X
TJISLOZ,X,O,X,X
TJISZLO,X,O,X,O
TJISZOL,X,X,X,O
TJISOLZ,X,O,X,X
TJISOZL,X,O,X,O
TJIZLSO,O,X,X,O
TJIZLOS,O,X,X,O
TJIZSLO,O,X,X,O
TJIZSOL,O,X,X,O
TJIZOLS,O,X,X,O
TJIZOSL,O,X,X,O
TJIOLSZ,X,O,X,X
TJIOLZS,O,X,X,X
TJIOSLZ,X,O,X,X
TJIOSZL,X,O,X,O
TJIOZLS,O,X,X,O
TJIOZSL,O,X,X,O
TJLISZO,X,O,X,X
TJLISOZ,X,O,X,X
TJLIZSO,O,X,X,X
TJLIZOS,O,X,X,X
TJLIOSZ,X,O,X,X
TJLIOZS,O,X,X,X
TJLSIZO,X,O,X,X
TJLSIOZ,X,O,X,X
TJLSZIO,X,O,X,X
TJLSZOI,X,X,O,X
TJLSOIZ,X,O,O,X
TJLSOZI,X,O,O,X
TJLZISO,O,X,X,X
TJLZIOS,O,X,X,X
TJLZSIO,O,X,X,X
TJLZSOI,O,X,O,X
TJLZOIS,O,X,O,X
TJLZOSI,O,X,O,X
TJLOISZ,X,O,O,X
TJLOIZS,O,X,X,X
TJLOSIZ,X,O,O,X
TJLOSZI,X,O,O,X
TJLOZIS,O,X,X,X
TJLOZSI,O,X,X,X
TJSILZO,X,O,X,X
TJSILOZ,X,O,X,X
TJSIZLO,X,O,X,O
TJSIZOL,X,X,X,O
