sequence,v115@HhA8IeD8AeA8DeD8AeA8BeA8Kel/IvhF3gBUiBaoB5?oBOrBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanBziB5?oBOrB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanBziB5oBF?mB3sBmqB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFxgBVnBGjBa?rB/tBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanB5oBO?rBznB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanB5oBFmBz?nBmqB3sB
TLIOZSJ,X,X,X,X,X,O
TLJISZO,O,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X
TLJIZSO,O,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X
TLJSIZO,O,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X
TLJSZOI,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,X
TLJZISO,O,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,X
TLSIJZO,X,X,X,O,X,X
TLSIJOZ,X,X,X,X,X,X
TLSIZJO,X,X,X,O,X,X
TLSIZOJ,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X
TLSJIZO,X,X,X,O,X,X
TLSJIOZ,X,X,X,X,X,X
TLSJZIO,X,X,X,O,X,X
TLSJZOI,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,X
TLSZIJO,X,X,X,O,X,X
TLSZIOJ,X,X,X,X,X,X
TLSZJIO,X,X,X,O,X,X
TLSZJOI,X,X,X,X,X,X
TLSZOIJ,X,X,X,X,X,X
TLSZOJI,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X
TLSOIZJ,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,X
TLSOZIJ,X,X,X,X,X,X
TLSOZJI,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X
TLZISJO,X,X,X,O,X,X
TLZISOJ,X,X,O,X,X,X
TLZIOJS,X,X,X,X,X,O
TLZIOSJ,X,X,X,X,X,O
TLZJISO,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X
TLZJSIO,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X
TLZJOSI,X,X,X,X,X,X
TLZSIJO,X,X,X,O,X,X
TLZSIOJ,X,X,X,X,X,X
TLZSJIO,X,X,X,O,X,X
TLZSJOI,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,O
TLZOISJ,X,X,X,X,X,O
TLZOJIS,X,X,X,X,X,X
TLZOJSI,X,X,X,X,X,X
TLZOSIJ,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X
TLOISJZ,X,X,X,X,X,X
TLOISZJ,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,O
TLOIZSJ,X,X,X,X,X,O
TLOJISZ,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,X
TLOJSZI,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,X
TLOJZSI,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X
TLOSIZJ,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,X
TLOSJZI,X,X,X,X,X,X
TLOSZIJ,X,X,X,X,X,X
TLOSZJI,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,O
TLOZISJ,X,X,X,X,X,O
TLOZJIS,X,X,X,X,X,X
TLOZJSI,X,X,X,X,X,X
TLOZSIJ,X,X,X,X,X,X
TLOZSJI,X,X,X,X,X,X
TJILSZO,O,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X
TJILZSO,O,X,X,X,X,X
TJILZOS,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X
TJISLZO,O,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X
TJISZLO,O,X,X,X,X,X
TJISZOL,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,X
TJISOZL,O,X,X,X,X,X
TJIZLSO,O,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X
TJIZSLO,O,X,X,X,X,X
TJIZSOL,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X
TJIOLSZ,O,X,X,X,X,X
TJIOLZS,O,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X
TJIOSZL,O,X,X,X,X,X
TJIOZLS,O,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X
TJLISZO,O,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X
TJLIZSO,O,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X
TJLSIZO,O,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X
TJLSZIO,O,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,X
TJLZISO,O,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X
TJLZSIO,O,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X
TJSILZO,O,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X
TJSIZLO,O,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X
TJSLIZO,O,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X
TJSZILO,O,X,X,X,X,X
TJSZIOL,X,X,X,X,X,X
TJSZLIO,O,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X
TJSZOIL,X,X,X,X,X,X
TJSZOLI,X,X,X,X,X,X
TJSOILZ,O,X,X,X,X,X
TJSOIZL,O,X,X,X,X,X
TJSOLIZ,O,X,X,X,X,X
TJSOLZI,O,X,X,X,X,X
TJSOZIL,O,X,X,X,X,X
TJSOZLI,O,X,X,X,X,X
TJZILSO,O,X,X,X,X,X
TJZILOS,X,X,X,X,X,X
TJZISLO,O,X,X,X,X,X
TJZISOL,X,X,X,X,X,X
TJZIOLS,X,X,X,X,X,X
TJZIOSL,X,X,X,X,X,X
TJZLISO,O,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X
TJZLSIO,O,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X
TJZSLIO,O,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X
TJZSOIL,X,X,X,X,X,X
TJZSOLI,X,X,X,X,X,X
TJZOILS,X,X,X,X,X,X
TJZOISL,X,X,X,X,X,X
TJZOLIS,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X
TJZOSIL,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X
TJOILSZ,O,X,X,X,X,X
TJOILZS,O,X,X,X,X,X
TJOISLZ,O,X,X,X,X,X
TJOISZL,O,X,X,X,X,X
TJOIZLS,O,X,X,X,X,X
TJOIZSL,O,X,X,X,X,X
TJOLISZ,O,X,X,X,X,X
TJOLIZS,O,X,X,X,X,X
TJOLSIZ,O,X,X,X,X,X
TJOLSZI,O,X,X,X,X,X
TJOLZIS,O,X,X,X,X,X
TJOLZSI,O,X,X,X,X,X
TJOSILZ,O,X,X,X,X,X
TJOSIZL,O,X,X,X,X,X
TJOSLIZ,O,X,X,X,X,X
TJOSLZI,O,X,X,X,X,X
TJOSZIL,O,X,X,X,X,X
TJOSZLI,O,X,X,X,X,X
TJOZILS,O,X,X,X,X,X
TJOZISL,O,X,X,X,X,X
TJOZLIS,O,X,X,X,X,X
TJOZLSI,O,X,X,X,X,X
TJOZSIL,O,X,X,X,X,X
TJOZSLI,O,X,X,X,X,X
TSILJZO,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X
TSILZJO,X,X,X,X,X,X
TSILZOJ,X,O,O,X,X,X
TSILOJZ,X,X,X,X,X,X
TSILOZJ,X,O,O,X,X,X
TSIJLZO,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X
TSIJZLO,X,X,X,O,X,X
TSIJZOL,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X
TSIZLJO,X,X,X,X,X,X
TSIZLOJ,X,O,O,X,X,X
TSIZJLO,X,X,X,O,X,X
TSIZJOL,X,X,X,X,X,X
TSIZOLJ,X,O,O,X,X,X
TSIZOJL,X,X,X,X,X,X
TSIOLJZ,X,X,X,X,X,X
TSIOLZJ,O,O,O,X,X,X
TSIOJLZ,X,X,X,X,X,X
TSIOJZL,X,X,X,X,X,X
TSIOZLJ,O,O,O,X,X,X
TSIOZJL,X,X,X,X,X,X
TSLIJZO,X,X,X,O,X,X
TSLIJOZ,X,X,X,X,X,X
TSLIZJO,X,X,X,O,X,X
TSLIZOJ,X,O,O,X,X,X
TSLIOJZ,X,X,X,X,X,X
TSLIOZJ,X,O,O,X,X,X
TSLJIZO,X,X,X,O,X,X
TSLJIOZ,X,X,X,X,X,X
TSLJZIO,X,X,X,O,X,X
TSLJZOI,X,X,X,X,X,X
TSLJOIZ,X,X,X,X,X,X
TSLJOZI,X,X,X,X,X,X
TSLZIJO,X,X,X,O,X,X
TSLZIOJ,X,O,O,X,X,X
TSLZJIO,X,X,X,O,X,X
TSLZJOI,X,X,X,X,X,X
TSLZOIJ,X,O,O,X,X,X
TSLZOJI,X,X,X,X,X,X
TSLOIJZ,X,X,X,X,X,X
TSLOIZJ,X,O,O,X,X,X
TSLOJIZ,X,X,X,X,X,X
TSLOJZI,X,X,X,X,X,X
TSLOZIJ,X,O,O,X,X,X
TSLOZJI,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,X
TSJILOZ,X,X,X,X,X,X
TSJIZLO,X,X,X,O,X,X
TSJIZOL,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,X
TSJIOZL,X,X,X,X,X,X
TSJLIZO,X,X,X,O,X,X
TSJLIOZ,X,X,X,X,X,X
TSJLZIO,X,X,X,O,X,X
TSJLZOI,X,X,X,X,X,X
TSJLOIZ,X,X,X,X,X,X
TSJLOZI,X,X,X,X,X,X
TSJZILO,X,X,X,O,X,X
TSJZIOL,X,X,X,X,X,X
TSJZLIO,X,X,X,O,X,X
TSJZLOI,X,X,X,X,X,X
TSJZOIL,X,X,X,X,X,X
TSJZOLI,X,X,X,X,X,X
TSJOILZ,X,X,X,X,X,X
TSJOIZL,X,X,X,X,X,X
TSJOLIZ,X,X,X,X,X,X
TSJOLZI,X,X,X,X,X,X
TSJOZIL,X,X,X,X,X,X
TSJOZLI,X,X,X,X,X,X
TSZILJO,X,X,X,X,X,X
TSZILOJ,X,O,O,X,X,X
TSZIJLO,X,X,X,O,X,X
TSZIJOL,X,X,X,X,X,X
TSZIOLJ,X,O,O,X,X,X
TSZIOJL,X,X,X,X,X,X
TSZLIJO,X,X,X,O,X,X
TSZLIOJ,X,O,O,X,X,X
TSZLJIO,X,X,X,O,X,X
TSZLJOI,X,X,X,X,X,X
TSZLOIJ,X,O,O,X,X,X
TSZLOJI,X,X,X,X,X,X
TSZJILO,X,X,X,O,X,X
TSZJIOL,X,X,X,X,X,X
TSZJLIO,X,X,X,O,X,X
TSZJLOI,X,X,X,X,X,X
TSZJOIL,X,X,X,X,X,X
TSZJOLI,X,X,X,X,X,X
TSZOILJ,X,O,O,X,X,X
TSZOIJL,X,X,X,X,X,X
TSZOLIJ,X,O,O,X,X,X
TSZOLJI,X,X,X,X,X,X
TSZOJIL,X,X,X,X,X,X
TSZOJLI,X,X,X,X,X,X
TSOILJZ,X,X,X,X,X,X
TSOILZJ,O,O,O,X,X,X
TSOIJLZ,X,X,X,X,X,X
TSOIJZL,X,X,X,X,X,X
TSOIZLJ,O,O,O,X,X,X
TSOIZJL,X,X,X,X,X,X
TSOLIJZ,X,X,X,X,X,X
TSOLIZJ,O,O,O,X,X,X
TSOLJIZ,X,X,X,X,X,X
TSOLJZI,X,X,X,X,X,X
TSOLZIJ,O,O,O,X,X,X
TSOLZJI,X,X,X,X,X,X
TSOJILZ,X,X,X,X,X,X
TSOJIZL,X,X,X,X,X,X
TSOJLIZ,X,X,X,X,X,X
TSOJLZI,X,X,X,X,X,X
TSOJZIL,X,X,X,X,X,X
