sequence,v115@OhA8HeG8CeD8Je0/IvhF6lBxhBTjB2pBXrBlrB,v115@OhA8HeG8CeD8JeOEJvhFFiBTjBClBxqB/rB0qB,v115@OhA8HeG8CeD8Jei/IvhFUhBFiBTjB3kBxqBWwB,v115@OhA8HeG8CeD8Je1FJvhFxhBTjB0kB3mBikBWwB,v115@OhA8HeG8CeD8JeKEJvhFRgBFiBTjBUlBXrBGrB,v115@OhA8HeG8CeD8JexBJvhFTjB0kBllB3mBikBWwB
TOSILJZ,O,O,O,X,X,X
TOSILZJ,X,X,O,O,O,O
TOSIJLZ,O,O,O,X,X,X
TOSIJZL,O,X,O,O,X,O
TOSIZLJ,X,X,O,O,X,O
TOSIZJL,X,X,O,O,X,O
TOSLIJZ,O,O,O,X,X,X
TOSLIZJ,X,X,O,O,O,O
TOSLJIZ,O,O,O,X,X,X
TOSLJZI,O,X,X,X,O,X
TOSLZIJ,X,X,O,O,O,O
TOSLZJI,X,X,X,O,O,O
TOSJILZ,O,O,O,O,X,X
TOSJIZL,O,X,O,O,X,O
TOSJLIZ,O,O,O,O,X,X
TOSJLZI,O,X,X,O,O,X
TOSJZIL,O,X,X,O,X,O
TOSJZLI,O,X,X,O,X,O
TOSZILJ,X,X,O,O,X,O
TOSZIJL,X,X,O,O,X,O
TOSZLIJ,X,X,O,O,O,O
TOSZLJI,X,X,X,O,O,O
TOSZJIL,X,X,X,O,X,O
TOSZJLI,X,X,X,O,X,O
TOZILJS,X,O,X,X,X,X
TOZILSJ,X,X,O,X,X,X
TOZIJLS,X,O,X,X,X,X
TOZIJSL,X,X,O,O,X,X
TOZISLJ,X,X,O,O,X,O
TOZISJL,X,X,O,O,X,O
TOZLIJS,X,O,X,X,O,X
TOZLISJ,X,X,X,X,O,X
TOZLJIS,X,O,X,X,O,X
TOZLJSI,X,X,X,O,O,X
TOZLSIJ,X,X,X,O,O,O
TOZLSJI,X,X,X,O,O,O
TOZJILS,X,O,X,X,X,X
TOZJISL,X,X,X,O,X,X
TOZJLIS,X,O,X,X,X,X
TOZJLSI,X,X,X,O,X,X
TOZJSIL,X,X,X,O,X,O
TOZJSLI,X,X,X,O,X,O
TOZSILJ,X,X,O,O,X,O
TOZSIJL,X,X,O,O,X,O
TOZSLIJ,X,X,O,O,O,O
TOZSLJI,X,X,X,O,O,O
TOZSJIL,X,X,X,O,X,O
TOZSJLI,X,X,X,O,X,O
ITLJSZO,X,O,X,X,X,X
ITLJSOZ,X,O,X,X,X,X
ITLJZSO,X,O,X,X,X,X
ITLJZOS,X,O,X,X,X,X
ITLJOSZ,X,O,X,X,X,X
ITLJOZS,X,O,X,X,X,X
ITLSJZO,X,O,O,X,X,X
ITLSJOZ,X,O,O,X,X,X
ITLSZJO,X,X,O,X,O,X
ITLSZOJ,X,X,O,X,O,X
ITLSOJZ,X,O,O,X,X,X
ITLSOZJ,X,X,O,X,O,X
ITLZJSO,X,O,X,X,X,X
ITLZJOS,X,O,X,X,O,X
ITLZSJO,X,X,O,X,O,X
ITLZSOJ,X,X,O,X,O,X
ITLZOJS,X,O,X,X,O,X
ITLZOSJ,X,X,O,X,O,X
ITLOJSZ,X,O,X,X,X,X
ITLOJZS,X,O,X,X,X,X
ITLOSJZ,X,O,O,X,X,X
ITLOSZJ,X,X,O,X,O,X
ITLOZJS,X,O,X,X,O,X
ITLOZSJ,X,X,O,X,O,X
ITJLSZO,X,O,X,X,X,X
ITJLSOZ,X,O,X,X,X,X
ITJLZSO,X,O,X,X,X,X
ITJLZOS,X,O,X,X,X,X
ITJLOSZ,X,O,X,X,X,X
ITJLOZS,X,O,X,X,X,X
ITJSLZO,O,O,O,X,X,X
ITJSLOZ,O,O,O,X,X,X
ITJSZLO,O,X,O,X,X,X
ITJSZOL,O,X,O,X,X,X
ITJSOLZ,O,O,O,X,X,X
ITJSOZL,O,X,O,X,X,X
ITJZLSO,X,O,X,X,X,X
ITJZLOS,O,O,X,X,X,X
ITJZSLO,X,X,O,X,X,X
ITJZSOL,X,X,O,X,X,X
ITJZOLS,O,O,X,X,X,X
ITJZOSL,X,X,O,X,X,X
ITJOLSZ,X,O,X,X,X,X
ITJOLZS,X,O,X,X,X,X
ITJOSLZ,O,O,O,X,X,X
ITJOSZL,O,X,O,X,X,X
ITJOZLS,O,O,X,X,X,X
ITJOZSL,X,X,O,X,X,X
ITSLJZO,O,O,O,X,X,X
ITSLJOZ,O,O,O,X,X,X
ITSLZJO,X,X,O,X,O,X
ITSLZOJ,X,X,O,O,O,O
ITSLOJZ,O,O,O,X,X,X
ITSLOZJ,X,X,O,O,O,O
ITSJLZO,O,O,O,X,X,X
ITSJLOZ,O,O,O,X,X,X
ITSJZLO,O,X,O,X,X,X
ITSJZOL,O,X,O,O,X,O
ITSJOLZ,O,O,O,X,X,X
ITSJOZL,O,X,O,O,X,O
ITSZLJO,X,X,O,X,X,X
ITSZLOJ,X,X,O,O,X,O
ITSZJLO,X,X,O,X,X,X
ITSZJOL,X,X,O,O,X,O
ITSZOLJ,X,X,O,O,X,O
ITSZOJL,X,X,O,O,X,O
ITSOLJZ,O,O,O,X,X,X
ITSOLZJ,X,X,O,O,O,O
ITSOJLZ,O,O,O,X,X,X
ITSOJZL,O,X,O,O,X,O
ITSOZLJ,X,X,O,O,X,O
ITSOZJL,X,X,O,O,X,O
ITZLJSO,X,O,X,X,X,X
ITZLJOS,X,O,X,X,X,X
ITZLSJO,X,X,O,X,X,X
ITZLSOJ,X,X,O,X,X,X
ITZLOJS,X,O,X,X,X,X
ITZLOSJ,X,X,O,X,X,X
ITZJLSO,X,O,X,X,X,X
ITZJLOS,X,O,X,X,X,X
ITZJSLO,X,X,O,X,X,X
ITZJSOL,X,X,O,X,X,X
ITZJOLS,X,O,X,X,X,X
ITZJOSL,X,X,O,X,X,X
ITZSLJO,X,X,O,X,X,X
ITZSLOJ,X,X,O,O,X,O
ITZSJLO,X,X,O,X,X,X
ITZSJOL,X,X,O,O,X,O
ITZSOLJ,X,X,O,O,X,O
ITZSOJL,X,X,O,O,X,O
ITZOLJS,X,O,X,X,X,X
ITZOLSJ,X,X,O,X,X,X
ITZOJLS,X,O,X,X,X,X
ITZOJSL,X,X,O,X,X,X
ITZOSLJ,X,X,O,O,X,O
ITZOSJL,X,X,O,O,X,O
ITOLJSZ,X,O,X,X,X,X
ITOLJZS,X,O,X,X,X,X
ITOLSJZ,X,O,O,X,X,X
ITOLSZJ,X,X,O,X,O,X
ITOLZJS,X,O,X,X,O,X
ITOLZSJ,X,X,O,X,O,X
ITOJLSZ,X,O,X,X,X,X
ITOJLZS,X,O,X,X,X,X
ITOJSLZ,O,O,O,X,X,X
ITOJSZL,O,X,O,X,X,X
ITOJZLS,O,O,X,X,X,X
ITOJZSL,X,X,O,X,X,X
ITOSLJZ,O,O,O,X,X,X
ITOSLZJ,X,X,O,O,O,O
ITOSJLZ,O,O,O,X,X,X
ITOSJZL,O,X,O,O,X,O
ITOSZLJ,X,X,O,O,X,O
ITOSZJL,X,X,O,O,X,O
ITOZLJS,X,O,X,X,X,X
ITOZLSJ,X,X,O,X,X,X
ITOZJLS,X,O,X,X,X,X
ITOZJSL,X,X,O,X,X,X
ITOZSLJ,X,X,O,O,X,O
ITOZSJL,X,X,O,O,X,O
ILTJSZO,X,O,X,X,X,X
ILTJSOZ,X,O,X,X,X,X
ILTJZSO,X,O,X,X,X,X
ILTJZOS,X,O,X,X,X,X
ILTJOSZ,X,O,X,X,X,X
ILTJOZS,X,O,X,X,X,X
ILTSJZO,X,O,O,X,X,X
ILTSJOZ,X,O,O,X,X,X
ILTSZJO,X,X,O,X,O,X
ILTSZOJ,X,X,O,X,O,X
ILTSOJZ,X,O,O,X,X,X
ILTSOZJ,X,X,O,X,O,X
ILTZJSO,X,O,X,X,X,X
ILTZJOS,X,O,X,X,O,X
ILTZSJO,X,X,O,X,O,X
ILTZSOJ,X,X,O,X,O,X
ILTZOJS,X,O,X,X,O,X
ILTZOSJ,X,X,O,X,O,X
ILTOJSZ,X,O,X,X,X,X
ILTOJZS,X,O,X,X,X,X
ILTOSJZ,X,O,O,X,X,X
ILTOSZJ,X,X,O,X,O,X
ILTOZJS,X,O,X,X,O,X
ILTOZSJ,X,X,O,X,O,X
ILJTSZO,X,O,X,X,X,X
ILJTSOZ,X,O,X,X,X,X
ILJTZSO,X,O,X,X,X,X
ILJTZOS,X,O,X,X,X,X
ILJTOSZ,X,O,X,X,X,X
ILJTOZS,X,O,X,X,X,X
ILJSTZO,O,O,X,X,X,X
ILJSTOZ,O,O,X,X,X,X
ILJSZTO,O,O,X,X,X,X
ILJSZOT,O,O,X,X,X,X
ILJSOTZ,O,O,X,X,X,X
ILJSOZT,O,O,X,X,X,X
ILJZTSO,X,O,X,X,X,X
ILJZTOS,O,O,X,X,X,X
ILJZSTO,X,O,X,X,X,X
ILJZSOT,O,O,X,X,X,X
ILJZOTS,O,O,X,X,X,X
ILJZOST,O,O,X,X,X,X
ILJOTSZ,X,O,X,X,X,X
ILJOTZS,X,O,X,X,X,X
ILJOSTZ,O,O,X,X,X,X
ILJOSZT,O,O,X,X,X,X
ILJOZTS,O,O,X,X,X,X
ILJOZST,O,O,X,X,X,X
ILSTJZO,O,O,O,X,X,X
ILSTJOZ,O,O,O,X,X,X
ILSTZJO,X,X,O,X,O,X
ILSTZOJ,X,X,O,O,O,O
ILSTOJZ,O,O,O,X,X,X
ILSTOZJ,X,X,O,O,O,O
ILSJTZO,O,O,O,X,X,X
ILSJTOZ,O,O,O,X,X,X
ILSJZTO,O,O,O,X,X,X
ILSJZOT,O,O,O,X,X,X
ILSJOTZ,O,O,O,X,X,X
ILSJOZT,O,O,O,X,X,X
ILSZTJO,X,X,O,X,O,X
ILSZTOJ,X,X,O,O,O,O
ILSZJTO,O,X,O,X,O,X
ILSZJOT,O,X,O,X,O,X
ILSZOTJ,X,X,O,O,O,O
ILSZOJT,O,X,O,X,O,X
ILSOTJZ,O,O,O,X,X,X
ILSOTZJ,X,X,O,O,O,O
ILSOJTZ,O,O,O,X,X,X
ILSOJZT,O,O,O,X,X,X
ILSOZTJ,X,X,O,O,O,O
ILSOZJT,O,X,O,X,O,X
ILZTJSO,X,O,X,X,X,X
ILZTJOS,X,O,X,X,O,X
ILZTSJO,X,X,O,X,O,X
ILZTSOJ,X,X,O,X,O,X
ILZTOJS,X,O,X,X,O,X
ILZTOSJ,X,X,O,X,O,X
ILZJTSO,X,O,X,X,X,X
ILZJTOS,X,O,X,X,O,X
ILZJSTO,X,O,X,X,O,X
ILZJSOT,X,O,X,X,O,X
ILZJOTS,X,O,X,X,O,X
ILZJOST,X,O,X,X,O,X
ILZSTJO,X,X,O,X,O,X
ILZSTOJ,X,X,O,O,O,O
ILZSJTO,X,X,O,X,O,X
ILZSJOT,X,X,O,X,O,X
ILZSOTJ,X,X,O,O,O,O
ILZSOJT,X,X,O,X,O,X
ILZOTJS,X,O,X,X,O,X
ILZOTSJ,X,X,O,X,O,X
ILZOJTS,X,O,X,X,O,X
ILZOJST,X,O,X,X,O,X
ILZOSTJ,X,X,O,O,O,O
ILZOSJT,X,X,O,X,O,X
ILOTJSZ,X,O,X,X,X,X
ILOTJZS,X,O,X,X,X,X
ILOTSJZ,X,O,O,X,X,X
ILOTSZJ,X,X,O,X,O,X
ILOTZJS,X,O,X,X,O,X
ILOTZSJ,X,X,O,X,O,X
ILOJTSZ,X,O,X,X,X,X
ILOJTZS,X,O,X,X,X,X
ILOJSTZ,O,O,X,X,X,X
ILOJSZT,O,O,X,X,X,X
ILOJZTS,O,O,X,X,X,X
ILOJZST,O,O,X,X,X,X
ILOSTJZ,O,O,O,X,X,X
ILOSTZJ,X,X,O,O,O,O
ILOSJTZ,O,O,O,X,X,X
ILOSJZT,O,O,O,X,X,X
ILOSZTJ,X,X,O,O,O,O
ILOSZJT,O,X,O,X,O,X
ILOZTJS,X,O,X,X,O,X
ILOZTSJ,X,X,O,X,O,X
ILOZJTS,X,O,X,X,O,X
ILOZJST,X,O,X,X,O,X
ILOZSTJ,X,X,O,O,O,O
ILOZSJT,X,X,O,X,O,X
IJTLSZO,X,O,X,X,X,X
IJTLSOZ,X,O,X,X,X,X
IJTLZSO,X,O,X,X,X,X
IJTLZOS,X,O,X,X,X,X
IJTLOSZ,X,O,X,X,X,X
IJTLOZS,X,O,X,X,X,X
IJTSLZO,O,O,O,O,X,X
IJTSLOZ,O,O,O,O,X,X
IJTSZLO,O,X,O,O,X,X
IJTSZOL,O,X,O,O,X,X
IJTSOLZ,O,O,O,O,X,X
IJTSOZL,O,X,O,O,X,X
IJTZLSO,X,O,X,X,X,X
IJTZLOS,O,O,X,X,X,X
IJTZSLO,X,X,O,O,X,X
IJTZSOL,X,X,O,O,X,X
IJTZOLS,O,O,X,X,X,X
IJTZOSL,X,X,O,O,X,X
IJTOLSZ,X,O,X,X,X,X
IJTOLZS,X,O,X,X,X,X
IJTOSLZ,O,O,O,O,X,X
IJTOSZL,O,X,O,O,X,X
IJTOZLS,O,O,X,X,X,X
IJTOZSL,X,X,O,O,X,X
IJLTSZO,X,O,X,X,X,X
IJLTSOZ,X,O,X,X,X,X
IJLTZSO,X,O,X,X,X,X
IJLTZOS,X,O,X,X,X,X
IJLTOSZ,X,O,X,X,X,X
IJLTOZS,X,O,X,X,X,X
IJLSTZO,O,O,X,X,X,X
IJLSTOZ,O,O,X,X,X,X
IJLSZTO,O,O,X,X,X,X
IJLSZOT,O,O,X,X,X,X
IJLSOTZ,O,O,X,X,X,X
IJLSOZT,O,O,X,X,X,X
IJLZTSO,X,O,X,X,X,X
IJLZTOS,O,O,X,X,X,X
IJLZSTO,X,O,X,X,X,X
IJLZSOT,O,O,X,X,X,X
IJLZOTS,O,O,X,X,X,X
IJLZOST,O,O,X,X,X,X
IJLOTSZ,X,O,X,X,X,X
IJLOTZS,X,O,X,X,X,X
IJLOSTZ,O,O,X,X,X,X
IJLOSZT,O,O,X,X,X,X
IJLOZTS,O,O,X,X,X,X
IJLOZST,O,O,X,X,X,X
IJSTLZO,O,O,O,O,X,X
IJSTLOZ,O,O,O,O,X,X
IJSTZLO,O,X,O,O,X,X
IJSTZOL,O,X,O,O,X,O
IJSTOLZ,O,O,O,O,X,X
IJSTOZL,O,X,O,O,X,O
IJSLTZO,O,O,O,O,X,X
IJSLTOZ,O,O,O,O,X,X
IJSLZTO,O,O,O,X,X,X
IJSLZOT,O,O,O,X,X,X
IJSLOTZ,O,O,O,O,X,X
IJSLOZT,O,O,O,X,X,X
IJSZTLO,O,X,O,O,X,X
IJSZTOL,O,X,O,O,X,O
IJSZLTO,O,X,O,X,X,X
IJSZLOT,O,X,O,X,X,X
IJSZOTL,O,X,O,O,X,O
IJSZOLT,O,X,O,X,X,X
IJSOTLZ,O,O,O,O,X,X
IJSOTZL,O,X,O,O,X,O
IJSOLTZ,O,O,O,O,X,X
IJSOLZT,O,O,O,X,X,X
IJSOZTL,O,X,O,O,X,O
IJSOZLT,O,X,O,X,X,X
IJZTLSO,X,O,X,X,X,X
IJZTLOS,O,O,X,X,X,X
IJZTSLO,X,X,O,O,X,X
IJZTSOL,X,X,O,O,X,X
IJZTOLS,O,O,X,X,X,X
IJZTOSL,X,X,O,O,X,X
IJZLTSO,X,O,X,X,X,X
IJZLTOS,O,O,X,X,X,X
IJZLSTO,O,O,X,X,X,X
IJZLSOT,O,O,X,X,X,X
IJZLOTS,O,O,X,X,X,X
IJZLOST,O,O,X,X,X,X
IJZSTLO,O,X,O,O,X,X
IJZSTOL,O,X,O,O,X,O
IJZSLTO,O,X,O,X,X,X
IJZSLOT,O,X,O,X,X,X
IJZSOTL,O,X,O,O,X,O
IJZSOLT,O,X,O,X,X,X
IJZOTLS,O,O,X,X,X,X
IJZOTSL,X,X,O,O,X,X
IJZOLTS,O,O,X,X,X,X
IJZOLST,O,O,X,X,X,X
IJZOSTL,O,X,O,O,X,O
IJZOSLT,O,X,O,X,X,X
IJOTLSZ,X,O,X,X,X,X
IJOTLZS,X,O,X,X,X,X
IJOTSLZ,O,O,O,O,X,X
IJOTSZL,O,X,O,O,X,X
IJOTZLS,O,O,X,X,X,X
IJOTZSL,X,X,O,O,X,X
IJOLTSZ,X,O,X,X,X,X
IJOLTZS,X,O,X,X,X,X
IJOLSTZ,O,O,X,X,X,X
IJOLSZT,O,O,X,X,X,X
IJOLZTS,O,O,X,X,X,X
IJOLZST,O,O,X,X,X,X
IJOSTLZ,O,O,O,O,X,X
IJOSTZL,O,X,O,O,X,O
IJOSLTZ,O,O,O,O,X,X
IJOSLZT,O,O,O,X,X,X
IJOSZTL,O,X,O,O,X,O
IJOSZLT,O,X,O,X,X,X
IJOZTLS,O,O,X,X,X,X
IJOZTSL,X,X,O,O,X,X
IJOZLTS,O,O,X,X,X,X
IJOZLST,O,O,X,X,X,X
IJOZSTL,O,X,O,O,X,O
IJOZSLT,O,X,O,X,X,X
ISTLJZO,O,O,O,X,X,X
ISTLJOZ,O,O,O,X,X,X
ISTLZJO,X,X,O,X,O,X
ISTLZOJ,X,X,O,O,O,O
ISTLOJZ,O,O,O,X,X,X
ISTLOZJ,X,X,O,O,O,O
ISTJLZO,O,O,O,X,X,X
ISTJLOZ,O,O,O,X,X,X
ISTJZLO,O,X,O,X,X,X
ISTJZOL,O,X,O,O,X,O
ISTJOLZ,O,O,O,X,X,X
ISTJOZL,O,X,O,O,X,O
ISTZLJO,X,X,O,X,X,X
ISTZLOJ,X,X,O,O,X,O
ISTZJLO,X,X,O,X,X,X
ISTZJOL,X,X,O,O,X,O
ISTZOLJ,X,X,O,O,X,O
ISTZOJL,X,X,O,O,X,O
ISTOLJZ,O,O,O,X,X,X
ISTOLZJ,X,X,O,O,O,O
ISTOJLZ,O,O,O,X,X,X
ISTOJZL,O,X,O,O,X,O
ISTOZLJ,X,X,O,O,X,O
ISTOZJL,X,X,O,O,X,O
ISLTJZO,O,O,O,X,X,X
ISLTJOZ,O,O,O,X,X,X
ISLTZJO,X,X,O,X,O,X
ISLTZOJ,X,X,O,O,O,O
ISLTOJZ,O,O,O,X,X,X
ISLTOZJ,X,X,O,O,O,O
ISLJTZO,O,O,O,X,X,X
ISLJTOZ,O,O,O,X,X,X
ISLJZTO,O,O,O,X,X,X
ISLJZOT,O,O,O,X,X,X
ISLJOTZ,O,O,O,X,X,X
ISLJOZT,O,O,O,X,X,X
ISLZTJO,X,X,O,X,O,X
ISLZTOJ,X,X,O,O,O,O
ISLZJTO,O,X,O,X,O,X
ISLZJOT,O,X,O,X,O,X
ISLZOTJ,X,X,O,O,O,O
ISLZOJT,O,X,O,X,O,X
ISLOTJZ,O,O,O,X,X,X
ISLOTZJ,X,X,O,O,O,O
ISLOJTZ,O,O,O,X,X,X
ISLOJZT,O,O,O,X,X,X
ISLOZTJ,X,X,O,O,O,O
ISLOZJT,O,X,O,X,O,X
ISJTLZO,O,O,O,O,X,X
ISJTLOZ,O,O,O,O,X,X
ISJTZLO,O,X,O,O,X,X
ISJTZOL,O,X,O,O,X,O
ISJTOLZ,O,O,O,O,X,X
ISJTOZL,O,X,O,O,X,O
ISJLTZO,O,O,O,O,X,X
ISJLTOZ,O,O,O,O,X,X
ISJLZTO,O,O,O,X,X,X
ISJLZOT,O,O,O,X,X,X
ISJLOTZ,O,O,O,O,X,X
ISJLOZT,O,O,O,X,X,X
ISJZTLO,O,X,O,O,X,X
ISJZTOL,O,X,O,O,X,O
ISJZLTO,O,X,O,X,X,X
ISJZLOT,O,X,O,X,X,X
ISJZOTL,O,X,O,O,X,O
ISJZOLT,O,X,O,X,X,X
ISJOTLZ,O,O,O,O,X,X
ISJOTZL,O,X,O,O,X,O
ISJOLTZ,O,O,O,O,X,X
ISJOLZT,O,O,O,X,X,X
ISJOZTL,O,X,O,O,X,O
ISJOZLT,O,X,O,X,X,X
ISZTLJO,X,X,O,X,X,X
ISZTLOJ,X,X,O,O,X,O
ISZTJLO,X,X,O,X,X,X
ISZTJOL,X,X,O,O,X,O
ISZTOLJ,X,X,O,O,X,O
ISZTOJL,X,X,O,O,X,O
ISZLTJO,X,X,O,X,X,X
ISZLTOJ,X,X,O,O,X,O
ISZLJTO,O,X,O,X,X,X
ISZLJOT,O,X,O,X,X,X
ISZLOTJ,X,X,O,O,X,O
ISZLOJT,O,X,O,X,X,X
ISZJTLO,O,X,O,O,X,X
ISZJTOL,O,X,O,O,X,O
ISZJLTO,O,X,O,X,X,X
ISZJLOT,O,X,O,X,X,X
ISZJOTL,O,X,O,O,X,O
ISZJOLT,O,X,O,X,X,X
ISZOTLJ,X,X,O,O,X,O
ISZOTJL,X,X,O,O,X,O
ISZOLTJ,X,X,O,O,X,O
ISZOLJT,O,X,O,X,X,X
ISZOJTL,O,X,O,O,X,O
ISZOJLT,O,X,O,X,X,X
ISOTLJZ,O,O,O,X,X,X
ISOTLZJ,X,X,O,O,O,O
ISOTJLZ,O,O,O,X,X,X
ISOTJZL,O,X,O,O,X,O
ISOTZLJ,X,X,O,O,X,O
ISOTZJL,X,X,O,O,X,O
ISOLTJZ,O,O,O,X,X,X
ISOLTZJ,X,X,O,O,O,O
ISOLJTZ,O,O,O,X,X,X
ISOLJZT,O,O,O,X,X,X
ISOLZTJ,X,X,O,O,O,O
ISOLZJT,O,X,O,X,O,X
ISOJTLZ,O,O,O,O,X,X
ISOJTZL,O,X,O,O,X,O
ISOJLTZ,O,O,O,O,X,X
ISOJLZT,O,O,O,X,X,X
ISOJZTL,O,X,O,O,X,O
ISOJZLT,O,X,O,X,X,X
ISOZTLJ,X,X,O,O,X,O
ISOZTJL,X,X,O,O,X,O
ISOZLTJ,X,X,O,O,X,O
ISOZLJT,O,X,O,X,X,X
ISOZJTL,O,X,O,O,X,O
ISOZJLT,O,X,O,X,X,X
IZTLJSO,X,O,X,X,X,X
IZTLJOS,X,O,X,X,X,X
IZTLSJO,X,X,O,X,X,X
IZTLSOJ,X,X,O,X,X,X
IZTLOJS,X,O,X,X,X,X
IZTLOSJ,X,X,O,X,X,X
IZTJLSO,X,O,X,X,X,X
IZTJLOS,X,O,X,X,X,X
IZTJSLO,X,X,O,O,X,X
IZTJSOL,X,X,O,O,X,X
IZTJOLS,X,O,X,X,X,X
IZTJOSL,X,X,O,O,X,X
IZTSLJO,X,X,O,X,X,X
IZTSLOJ,X,X,O,O,X,O
IZTSJLO,X,X,O,X,X,X
IZTSJOL,X,X,O,O,X,O
IZTSOLJ,X,X,O,O,X,O
IZTSOJL,X,X,O,O,X,O
IZTOLJS,X,O,X,X,X,X
IZTOLSJ,X,X,O,X,X,X
IZTOJLS,X,O,X,X,X,X
IZTOJSL,X,X,O,O,X,X
IZTOSLJ,X,X,O,O,X,O
IZTOSJL,X,X,O,O,X,O
IZLTJSO,X,O,X,X,X,X
IZLTJOS,X,O,X,X,X,X
IZLTSJO,X,X,O,X,X,X
IZLTSOJ,X,X,O,X,X,X
IZLTOJS,X,O,X,X,X,X
IZLTOSJ,X,X,O,X,X,X
IZLJTSO,X,O,X,X,X,X
IZLJTOS,X,O,X,X,X,X
IZLJSTO,X,O,X,X,X,X
IZLJSOT,X,O,X,X,X,X
IZLJOTS,X,O,X,X,X,X
IZLJOST,X,O,X,X,X,X
IZLSTJO,X,X,O,X,X,X
IZLSTOJ,X,X,O,O,X,O
IZLSJTO,X,X,O,X,X,X
IZLSJOT,X,X,O,X,X,X
IZLSOTJ,X,X,O,O,X,O
IZLSOJT,X,X,O,X,X,X
IZLOTJS,X,O,X,X,X,X
IZLOTSJ,X,X,O,X,X,X
IZLOJTS,X,O,X,X,X,X
IZLOJST,X,O,X,X,X,X
IZLOSTJ,X,X,O,O,X,O
IZLOSJT,X,X,O,X,X,X
IZJTLSO,X,O,X,X,X,X
IZJTLOS,O,O,X,X,X,X
IZJTSLO,X,X,O,O,X,X
IZJTSOL,X,X,O,O,X,X
IZJTOLS,O,O,X,X,X,X
IZJTOSL,X,X,O,O,X,X
IZJLTSO,X,O,X,X,X,X
IZJLTOS,O,O,X,X,X,X
IZJLSTO,X,O,X,X,X,X
IZJLSOT,O,O,X,X,X,X
IZJLOTS,O,O,X,X,X,X
IZJLOST,O,O,X,X,X,X
IZJSTLO,O,X,O,O,X,X
IZJSTOL,O,X,O,O,X,O
IZJSLTO,O,X,O,X,X,X
IZJSLOT,O,X,O,X,X,X
IZJSOTL,O,X,O,O,X,O
IZJSOLT,O,X,O,X,X,X
IZJOTLS,O,O,X,X,X,X
IZJOTSL,X,X,O,O,X,X
IZJOLTS,O,O,X,X,X,X
IZJOLST,O,O,X,X,X,X
IZJOSTL,O,X,O,O,X,O
IZJOSLT,O,X,O,X,X,X
IZSTLJO,X,X,O,X,X,X
IZSTLOJ,X,X,O,O,X,O
IZSTJLO,X,X,O,X,X,X
IZSTJOL,X,X,O,O,X,O
IZSTOLJ,X,X,O,O,X,O
IZSTOJL,X,X,O,O,X,O
IZSLTJO,X,X,O,X,X,X
IZSLTOJ,X,X,O,O,X,O
IZSLJTO,O,X,O,X,X,X
IZSLJOT,O,X,O,X,X,X
IZSLOTJ,X,X,O,O,X,O
IZSLOJT,O,X,O,X,X,X
IZSJTLO,O,X,O,O,X,X
IZSJTOL,O,X,O,O,X,O
IZSJLTO,O,X,O,X,X,X
IZSJLOT,O,X,O,X,X,X
IZSJOTL,O,X,O,O,X,O
IZSJOLT,O,X,O,X,X,X
IZSOTLJ,X,X,O,O,X,O
IZSOTJL,X,X,O,O,X,O
IZSOLTJ,X,X,O,O,X,O
IZSOLJT,O,X,O,X,X,X
IZSOJTL,O,X,O,O,X,O
IZSOJLT,O,X,O,X,X,X
IZOTLJS,X,O,X,X,X,X
IZOTLSJ,X,X,O,X,X,X
IZOTJLS,X,O,X,X,X,X
IZOTJSL,X,X,O,O,X,X
IZOTSLJ,X,X,O,O,X,O
IZOTSJL,X,X,O,O,X,O
IZOLTJS,X,O,X,X,X,X
IZOLTSJ,X,X,O,X,X,X
IZOLJTS,X,O,X,X,X,X
IZOLJST,X,O,X,X,X,X
IZOLSTJ,X,X,O,O,X,O
IZOLSJT,X,X,O,X,X,X
IZOJTLS,O,O,X,X,X,X
IZOJTSL,X,X,O,O,X,X
IZOJLTS,O,O,X,X,X,X
IZOJLST,O,O,X,X,X,X
IZOJSTL,O,X,O,O,X,O
IZOJSLT,O,X,O,X,X,X
IZOSTLJ,X,X,O,O,X,O
IZOSTJL,X,X,O,O,X,O
IZOSLTJ,X,X,O,O,X,O
IZOSLJT,O,X,O,X,X,X
IZOSJTL,O,X,O,O,X,O
IZOSJLT,O,X,O,X,X,X
IOTLJSZ,X,O,X,X,X,X
IOTLJZS,X,O,X,X,X,X
IOTLSJZ,X,O,O,X,X,X
IOTLSZJ,X,X,O,X,O,X
IOTLZJS,X,O,X,X,O,X
IOTLZSJ,X,X,O,X,O,X
IOTJLSZ,X,O,X,X,X,X
IOTJLZS,X,O,X,X,X,X
IOTJSLZ,O,O,O,X,X,X
IOTJSZL,O,X,O,X,X,X
IOTJZLS,O,O,X,X,X,X
IOTJZSL,X,X,O,X,X,X
IOTSLJZ,O,O,O,X,X,X
IOTSLZJ,X,X,O,O,O,O
IOTSJLZ,O,O,O,X,X,X
IOTSJZL,O,X,O,O,X,O
IOTSZLJ,X,X,O,O,X,O
IOTSZJL,X,X,O,O,X,O
IOTZLJS,X,O,X,X,X,X
IOTZLSJ,X,X,O,X,X,X
IOTZJLS,X,O,X,X,X,X
IOTZJSL,X,X,O,X,X,X
IOTZSLJ,X,X,O,O,X,O
IOTZSJL,X,X,O,O,X,O
IOLTJSZ,X,O,X,X,X,X
IOLTJZS,X,O,X,X,X,X
IOLTSJZ,X,O,O,X,X,X
IOLTSZJ,X,X,O,X,O,X
IOLTZJS,X,O,X,X,O,X
