sequence,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFCgBmiBXlBl?mBcsBTrB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFukBclBihBz?iBFsB3rB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFukB8mBziBi?lBXsBFrB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFGgB/mBFiB8?nBzkBywB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFukBXiB8nBi?lBzrBFrB,v115@GhA8IeA8CeB8CeB8AeC8CeC8JeZEJvhFCgBThBOnB8?nBXlB1wB,v115@GhA8IeA8CeB8CeB8AeC8CeC8Jex/IvhFziBOpBXlBV?sB0rBirB
TILJSZO,X,X,O,X,X,X,X
TILJSOZ,X,X,O,X,X,X,X
TILJZSO,X,O,X,X,X,X,X
TILJZOS,X,O,X,X,O,X,X
TILJOSZ,X,X,O,X,X,X,X
TILJOZS,X,O,X,X,O,X,X
TILSJZO,X,X,O,X,X,X,X
TILSJOZ,X,X,O,X,X,X,X
TILSZJO,X,O,O,X,X,X,X
TILSZOJ,X,O,O,X,X,X,X
TILSOJZ,X,X,O,X,X,X,X
TILSOZJ,X,O,O,X,X,X,X
TILZJSO,X,O,X,X,X,X,X
TILZJOS,X,O,X,X,O,X,X
TILZSJO,X,O,X,X,X,X,X
TILZSOJ,X,O,X,X,X,X,X
TILZOJS,X,O,X,X,O,X,X
TILZOSJ,X,O,X,X,O,X,X
TILOJSZ,X,X,O,X,X,X,X
TILOJZS,X,O,X,X,O,X,X
TILOSJZ,X,X,O,X,X,X,X
TILOSZJ,X,O,O,X,X,X,X
TILOZJS,X,O,X,X,O,X,X
TILOZSJ,X,O,X,X,O,X,X
TIJLSZO,X,X,O,X,X,X,X
TIJLSOZ,X,X,O,X,X,X,X
TIJLZSO,X,O,X,X,X,X,X
TIJLZOS,X,O,X,X,O,X,X
TIJLOSZ,X,X,O,X,X,X,X
TIJLOZS,X,O,X,X,O,X,X
TIJSLZO,O,X,O,X,X,X,O
TIJSLOZ,X,X,O,X,X,X,O
TIJSZLO,O,X,X,O,X,X,O
TIJSZOL,O,X,X,O,X,X,O
TIJSOLZ,X,X,O,X,X,X,O
TIJSOZL,X,X,X,X,X,X,O
TIJZLSO,O,O,X,O,X,X,X
TIJZLOS,X,O,X,X,O,X,X
TIJZSLO,O,O,X,O,X,X,X
TIJZSOL,O,O,X,O,X,X,X
TIJZOLS,X,O,X,X,O,X,X
TIJZOSL,O,O,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,X,X
TIJOLZS,X,O,X,X,O,X,X
TIJOSLZ,X,X,O,X,X,X,O
TIJOSZL,X,X,X,X,X,X,O
TIJOZLS,X,O,X,X,O,X,X
TIJOZSL,X,O,X,X,X,X,X
TISLJZO,O,X,O,X,X,X,X
TISLJOZ,X,X,O,X,X,X,X
TISLZJO,O,O,O,X,X,O,X
TISLZOJ,O,O,O,X,X,O,X
TISLOJZ,X,X,O,X,X,X,X
TISLOZJ,X,O,O,X,X,X,X
TISJLZO,O,X,O,X,X,X,O
TISJLOZ,X,X,O,X,X,X,O
TISJZLO,O,X,X,O,X,X,O
TISJZOL,O,X,X,O,X,X,O
TISJOLZ,X,X,O,X,X,X,O
TISJOZL,X,X,X,X,X,X,O
TISZLJO,O,O,O,O,X,O,X
TISZLOJ,O,O,O,O,X,O,X
TISZJLO,O,O,X,O,X,O,X
TISZJOL,O,O,X,O,X,O,X
TISZOLJ,O,O,O,O,X,O,X
TISZOJL,O,O,X,O,X,O,X
TISOLJZ,X,X,O,X,X,X,X
TISOLZJ,X,O,O,X,X,X,X
TISOJLZ,X,X,O,X,X,X,O
TISOJZL,X,X,X,O,X,X,O
TISOZLJ,X,O,O,O,X,X,X
TISOZJL,X,O,X,O,X,X,X
TIZLJSO,O,O,X,O,X,O,X
TIZLJOS,X,O,X,X,O,O,X
TIZLSJO,O,O,X,O,X,O,X
TIZLSOJ,O,O,X,O,X,O,X
TIZLOJS,X,O,X,O,O,O,X
