sequence,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFzfBfmB?0hBeoBFqB6sB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFzfBWmB?3iB8sBimBFqB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFqkBlhB?3iBzlB8sBOqB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFFgB0hB?eoBfqBzlB6sB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8Jex/IvhFlhB3iB?zlB8sBmpBipB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFfmB0hB?WqBznBaqBlsB
TIOZSJL,O,O,O,O,O,O
TLIJSZO,O,X,X,X,X,X
TLIJSOZ,O,X,X,X,X,X
TLIJZSO,X,O,X,X,X,X
TLIJZOS,X,O,X,X,X,X
TLIJOSZ,O,X,X,X,X,X
TLIJOZS,X,O,X,X,X,X
TLISJZO,O,X,X,X,X,X
TLISJOZ,O,X,X,X,X,X
TLISZJO,O,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X
TLISOJZ,O,X,X,X,X,X
TLISOZJ,O,X,X,X,X,X
TLIZJSO,X,O,X,X,X,X
TLIZJOS,X,O,X,X,X,X
TLIZSJO,X,O,X,X,X,X
TLIZSOJ,X,O,O,X,X,X
TLIZOJS,X,O,O,X,X,X
TLIZOSJ,X,O,O,X,X,X
TLIOJSZ,O,X,X,X,X,X
TLIOJZS,X,O,O,X,X,X
TLIOSJZ,O,X,X,X,X,X
TLIOSZJ,O,X,O,X,X,X
TLIOZJS,X,O,O,X,X,X
TLIOZSJ,X,O,O,X,X,X
TLJISZO,O,X,X,X,X,X
TLJISOZ,O,X,X,X,X,X
TLJIZSO,X,O,X,X,X,X
TLJIZOS,X,O,X,X,X,X
TLJIOSZ,O,X,X,X,X,X
TLJIOZS,X,O,X,X,X,X
TLJSIZO,O,X,X,X,X,X
TLJSIOZ,O,X,X,X,X,X
TLJSZIO,O,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X
TLJSOIZ,O,X,X,X,X,X
TLJSOZI,O,X,X,X,X,X
TLJZISO,X,O,X,X,X,X
TLJZIOS,X,O,X,X,X,X
TLJZSIO,X,O,X,X,X,X
TLJZSOI,X,O,X,X,X,X
TLJZOIS,X,O,X,X,X,X
TLJZOSI,X,O,X,X,X,X
TLJOISZ,O,X,X,X,X,X
TLJOIZS,X,O,X,X,X,X
TLJOSIZ,O,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X
TLJOZIS,X,O,X,X,X,X
TLJOZSI,X,O,X,X,X,X
TLSIJZO,O,X,X,X,X,X
TLSIJOZ,O,X,X,X,X,X
TLSIZJO,O,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,X
TLSIOJZ,O,X,X,X,X,X
TLSIOZJ,O,X,X,X,X,X
TLSJIZO,O,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,X
TLSJZIO,O,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X
TLSZIJO,O,X,X,X,X,X
TLSZIOJ,O,X,X,X,X,X
TLSZJIO,O,X,X,X,X,X
TLSZJOI,O,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,X
TLSZOJI,O,X,X,X,X,X
TLSOIJZ,O,X,X,X,X,X
TLSOIZJ,O,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,X
TLSOJZI,O,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,X
TLSOZJI,O,X,X,X,X,X
TLZIJSO,X,O,X,X,X,X
TLZIJOS,X,O,X,X,X,X
TLZISJO,X,O,X,X,X,X
TLZISOJ,X,O,O,X,X,X
TLZIOJS,X,O,O,X,X,X
TLZIOSJ,X,O,O,X,X,X
TLZJISO,X,O,X,X,X,X
TLZJIOS,X,O,X,X,X,X
TLZJSIO,X,O,X,X,X,X
TLZJSOI,X,O,X,X,X,X
TLZJOIS,X,O,X,X,X,X
TLZJOSI,X,O,X,X,X,X
TLZSIJO,X,O,X,X,X,X
TLZSIOJ,X,O,O,X,X,X
TLZSJIO,X,O,X,X,X,X
TLZSJOI,X,O,X,X,X,X
TLZSOIJ,X,O,O,X,O,X
TLZSOJI,X,O,O,X,O,X
TLZOIJS,X,O,O,X,X,X
TLZOISJ,X,O,O,X,O,X
TLZOJIS,X,O,O,X,O,X
TLZOJSI,X,O,O,X,O,X
TLZOSIJ,X,O,O,X,O,X
TLZOSJI,X,O,O,X,O,X
TLOIJSZ,O,X,X,X,X,X
TLOIJZS,X,O,O,X,X,X
TLOISJZ,O,X,X,X,X,X
TLOISZJ,O,X,O,X,X,X
TLOIZJS,X,O,O,X,X,X
TLOIZSJ,X,O,O,X,O,X
TLOJISZ,O,X,X,X,X,X
TLOJIZS,X,O,O,X,O,X
TLOJSIZ,O,X,X,X,X,X
TLOJSZI,O,X,X,X,X,X
TLOJZIS,X,O,O,X,O,X
TLOJZSI,X,O,O,X,O,X
TLOSIJZ,O,X,X,X,X,X
TLOSIZJ,O,X,O,X,X,X
TLOSJIZ,O,X,X,X,X,X
TLOSJZI,O,X,X,X,X,X
TLOSZIJ,O,X,O,X,X,X
TLOSZJI,O,X,O,X,X,X
TLOZIJS,X,O,O,X,X,X
TLOZISJ,X,O,O,X,O,X
TLOZJIS,X,O,O,X,O,X
TLOZJSI,X,O,O,X,O,X
TLOZSIJ,X,O,O,X,O,X
TLOZSJI,X,O,O,X,O,X
TJILSZO,O,X,X,X,X,X
TJILSOZ,O,X,X,X,X,X
TJILZSO,X,O,X,X,X,X
TJILZOS,X,O,X,X,X,X
TJILOSZ,O,X,X,X,X,X
TJILOZS,X,O,X,X,X,X
TJISLZO,O,X,X,X,X,X
TJISLOZ,O,X,X,X,X,X
TJISZLO,O,O,X,X,X,X
TJISZOL,O,O,X,X,X,O
TJISOLZ,O,X,X,O,X,O
TJISOZL,O,O,X,O,X,O
TJIZLSO,X,O,X,X,X,X
TJIZLOS,X,O,X,X,X,X
TJIZSLO,O,O,X,X,X,X
TJIZSOL,O,O,O,X,X,X
