sequence,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFzfBfmB?0hBeoBFqB6sB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFzfBWmB?3iB8sBimBFqB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFqkBlhB?3iBzlB8sBOqB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFFgB0hB?eoBfqBzlB6sB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8Jex/IvhFlhB3iB?zlB8sBmpBipB,v115@GhA8IeA8EeB8BeA8AeA8AeD8AeB8JeZEJvhFfmB0hB?WqBznBaqBlsB
TZOISJL,O,O,O,O,O,O
TZOLIJS,X,O,O,X,X,X
TZOLISJ,X,O,O,X,O,X
TZOLJIS,X,O,O,X,O,X
TZOLJSI,X,O,O,X,O,X
TZOLSIJ,X,O,O,X,O,X
TZOLSJI,X,O,O,X,O,X
TZOJILS,X,O,O,X,O,X
TZOJISL,O,O,O,O,O,X
TZOJLIS,X,O,O,X,O,X
TZOJLSI,X,O,O,X,O,X
TZOJSIL,O,O,O,O,O,X
TZOJSLI,O,O,O,O,O,X
TZOSILJ,O,O,O,O,O,X
TZOSIJL,O,O,O,O,O,O
TZOSLIJ,O,O,O,O,O,X
TZOSLJI,O,O,O,O,O,X
TZOSJIL,O,O,O,O,O,O
TZOSJLI,O,O,O,O,O,X
TOILJSZ,O,X,X,X,X,X
TOILJZS,X,O,O,X,X,X
TOILSJZ,O,X,X,X,X,X
TOILSZJ,O,X,O,X,X,X
TOILZJS,X,O,O,X,X,X
TOILZSJ,X,O,O,X,O,X
TOIJLSZ,O,X,X,X,X,X
TOIJLZS,X,O,O,X,O,X
TOIJSLZ,O,X,X,O,X,O
TOIJSZL,O,O,X,O,O,O
TOIJZLS,X,O,O,X,O,X
TOIJZSL,O,O,O,O,O,X
TOISLJZ,O,X,X,O,X,X
TOISLZJ,O,X,O,O,X,X
TOISJLZ,O,X,X,O,X,O
TOISJZL,O,O,X,O,X,O
TOISZLJ,O,O,O,O,O,X
TOISZJL,O,O,O,O,O,O
TOIZLJS,X,O,O,X,X,X
TOIZLSJ,X,O,O,X,O,X
TOIZJLS,X,O,O,X,O,X
TOIZJSL,O,O,O,O,O,X
TOIZSLJ,O,O,O,O,O,X
TOIZSJL,O,O,O,O,O,O
TOLIJSZ,O,X,X,X,X,X
TOLIJZS,X,O,O,X,X,X
TOLISJZ,O,X,X,X,X,X
TOLISZJ,O,X,O,X,X,X
TOLIZJS,X,O,O,X,X,X
TOLIZSJ,X,O,O,X,O,X
TOLJISZ,O,X,X,X,X,X
TOLJIZS,X,O,O,X,O,X
TOLJSIZ,O,X,X,X,X,X
TOLJSZI,O,X,X,X,X,X
TOLJZIS,X,O,O,X,O,X
TOLJZSI,X,O,O,X,O,X
TOLSIJZ,O,X,X,X,X,X
TOLSIZJ,O,X,O,X,X,X
TOLSJIZ,O,X,X,X,X,X
TOLSJZI,O,X,X,X,X,X
TOLSZIJ,O,X,O,X,X,X
TOLSZJI,O,X,O,X,X,X
TOLZIJS,X,O,O,X,X,X
TOLZISJ,X,O,O,X,O,X
TOLZJIS,X,O,O,X,O,X
TOLZJSI,X,O,O,X,O,X
TOLZSIJ,X,O,O,X,O,X
TOLZSJI,X,O,O,X,O,X
TOJILSZ,O,X,X,X,X,X
TOJILZS,X,O,O,X,O,X
TOJISLZ,O,X,X,O,X,O
TOJISZL,O,O,X,O,O,O
TOJIZLS,X,O,O,X,O,X
TOJIZSL,O,O,O,O,O,X
TOJLISZ,O,X,X,X,X,X
TOJLIZS,X,O,O,X,O,X
TOJLSIZ,O,X,X,X,X,X
TOJLSZI,O,X,X,X,X,X
TOJLZIS,X,O,O,X,O,X
TOJLZSI,X,O,O,X,O,X
TOJSILZ,O,X,X,O,X,O
TOJSIZL,O,O,X,O,O,O
TOJSLIZ,O,X,X,O,X,X
TOJSLZI,O,X,X,O,X,X
TOJSZIL,O,O,X,O,O,O
TOJSZLI,O,O,X,O,O,X
TOJZILS,X,O,O,X,O,X
TOJZISL,O,O,O,O,O,X
TOJZLIS,X,O,O,X,O,X
TOJZLSI,X,O,O,X,O,X
TOJZSIL,O,O,O,O,O,X
TOJZSLI,O,O,O,O,O,X
TOSILJZ,O,X,X,O,X,X
TOSILZJ,O,X,O,O,X,X
TOSIJLZ,O,X,X,O,X,O
TOSIJZL,O,O,X,O,X,O
TOSIZLJ,O,O,O,O,O,X
TOSIZJL,O,O,O,O,O,O
TOSLIJZ,O,X,X,O,X,X
TOSLIZJ,O,X,O,O,X,X
TOSLJIZ,O,X,X,O,X,X
TOSLJZI,O,X,X,O,X,X
TOSLZIJ,O,X,O,O,X,X
TOSLZJI,O,X,O,O,X,X
TOSJILZ,O,X,X,O,X,O
TOSJIZL,O,O,X,O,O,O
TOSJLIZ,O,X,X,O,X,X
TOSJLZI,O,X,X,O,X,X
TOSJZIL,O,O,X,O,O,O
TOSJZLI,O,O,X,O,O,X
TOSZILJ,O,O,O,O,O,X
TOSZIJL,O,O,O,O,O,O
TOSZLIJ,O,O,O,O,O,X
TOSZLJI,O,O,O,O,O,X
TOSZJIL,O,O,O,O,O,O
TOSZJLI,O,O,O,O,O,X
TOZILJS,X,O,O,X,X,X
TOZILSJ,X,O,O,X,O,X
TOZIJLS,X,O,O,X,O,X
TOZIJSL,O,O,O,O,O,X
TOZISLJ,O,O,O,O,O,X
TOZISJL,O,O,O,O,O,O
TOZLIJS,X,O,O,X,X,X
TOZLISJ,X,O,O,X,O,X
TOZLJIS,X,O,O,X,O,X
TOZLJSI,X,O,O,X,O,X
TOZLSIJ,X,O,O,X,O,X
TOZLSJI,X,O,O,X,O,X
TOZJILS,X,O,O,X,O,X
TOZJISL,O,O,O,O,O,X
TOZJLIS,X,O,O,X,O,X
TOZJLSI,X,O,O,X,O,X
TOZJSIL,O,O,O,O,O,X
TOZJSLI,O,O,O,O,O,X
TOZSILJ,O,O,O,O,O,X
TOZSIJL,O,O,O,O,O,O
TOZSLIJ,O,O,O,O,O,X
TOZSLJI,O,O,O,O,O,X
TOZSJIL,O,O,O,O,O,O
TOZSJLI,O,O,O,O,O,X
ITLJSZO,O,X,X,X,X,X
ITLJSOZ,O,X,X,X,X,X
ITLJZSO,X,O,X,X,X,X
ITLJZOS,X,O,X,X,X,X
ITLJOSZ,O,X,X,X,X,X
ITLJOZS,X,O,X,X,X,X
ITLSJZO,O,X,X,X,X,X
ITLSJOZ,O,X,X,X,X,X
ITLSZJO,O,X,X,X,X,X
ITLSZOJ,O,X,X,X,X,X
ITLSOJZ,O,X,X,X,X,X
ITLSOZJ,O,X,X,X,X,X
ITLZJSO,X,O,X,X,X,X
ITLZJOS,X,O,X,X,X,X
ITLZSJO,X,O,X,X,X,X
ITLZSOJ,X,O,O,X,X,X
ITLZOJS,X,O,O,X,X,X
ITLZOSJ,X,O,O,X,X,X
ITLOJSZ,O,X,X,X,X,X
ITLOJZS,X,O,O,X,X,X
ITLOSJZ,O,X,X,X,X,X
ITLOSZJ,O,X,O,X,X,X
ITLOZJS,X,O,O,X,X,X
ITLOZSJ,X,O,O,X,X,X
ITJLSZO,O,X,X,X,X,X
ITJLSOZ,O,X,X,X,X,X
ITJLZSO,X,O,X,X,X,X
ITJLZOS,X,O,X,X,X,X
ITJLOSZ,O,X,X,X,X,X
ITJLOZS,X,O,X,X,X,X
ITJSLZO,O,X,X,X,X,X
ITJSLOZ,O,X,X,X,X,X
ITJSZLO,O,O,X,X,X,X
ITJSZOL,O,O,X,X,X,O
ITJSOLZ,O,X,X,O,X,O
ITJSOZL,O,O,X,O,X,O
ITJZLSO,X,O,X,X,X,X
ITJZLOS,X,O,X,X,X,X
ITJZSLO,O,O,X,X,X,X
ITJZSOL,O,O,O,X,X,X
ITJZOLS,X,O,O,X,X,X
ITJZOSL,O,O,O,O,X,X
ITJOLSZ,O,X,X,X,X,X
ITJOLZS,X,O,O,X,X,X
ITJOSLZ,O,X,X,O,X,O
ITJOSZL,O,O,X,O,X,O
ITJOZLS,X,O,O,X,X,X
ITJOZSL,O,O,O,O,X,X
ITSLJZO,O,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X
ITSLZJO,O,X,X,X,X,X
ITSLZOJ,O,X,X,X,X,X
ITSLOJZ,O,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,X
ITSJLZO,O,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,X
ITSJZLO,O,O,X,X,X,X
ITSJZOL,O,O,X,X,X,O
ITSJOLZ,O,X,X,O,X,O
ITSJOZL,O,O,X,O,X,O
ITSZLJO,O,O,X,X,X,X
ITSZLOJ,O,O,O,X,X,X
ITSZJLO,O,O,X,X,X,X
ITSZJOL,O,O,O,X,X,O
ITSZOLJ,O,O,O,X,X,X
ITSZOJL,O,O,O,X,X,O
ITSOLJZ,O,X,X,O,X,X
ITSOLZJ,O,X,O,O,X,X
ITSOJLZ,O,X,X,O,X,O
ITSOJZL,O,O,X,O,X,O
ITSOZLJ,O,O,O,O,X,X
ITSOZJL,O,O,O,O,X,O
ITZLJSO,X,O,X,X,X,X
ITZLJOS,X,O,X,X,X,X
ITZLSJO,X,O,X,X,X,X
ITZLSOJ,X,O,O,X,X,X
ITZLOJS,X,O,O,X,X,X
ITZLOSJ,X,O,O,X,X,X
ITZJLSO,X,O,X,X,X,X
ITZJLOS,X,O,X,X,X,X
ITZJSLO,O,O,X,X,X,X
ITZJSOL,O,O,O,X,X,X
ITZJOLS,X,O,O,X,X,X
ITZJOSL,O,O,O,O,X,X
ITZSLJO,O,O,X,X,X,X
ITZSLOJ,O,O,O,X,X,X
ITZSJLO,O,O,X,X,X,X
ITZSJOL,O,O,O,X,X,O
ITZSOLJ,O,O,O,X,O,X
ITZSOJL,O,O,O,X,O,O
ITZOLJS,X,O,O,X,X,X
ITZOLSJ,X,O,O,X,O,X
ITZOJLS,X,O,O,X,O,X
ITZOJSL,O,O,O,O,O,X
ITZOSLJ,O,O,O,O,O,X
ITZOSJL,O,O,O,O,O,O
ITOLJSZ,O,X,X,X,X,X
ITOLJZS,X,O,O,X,X,X
ITOLSJZ,O,X,X,X,X,X
ITOLSZJ,O,X,O,X,X,X
ITOLZJS,X,O,O,X,X,X
ITOLZSJ,X,O,O,X,O,X
ITOJLSZ,O,X,X,X,X,X
ITOJLZS,X,O,O,X,O,X
ITOJSLZ,O,X,X,O,X,O
ITOJSZL,O,O,X,O,O,O
ITOJZLS,X,O,O,X,O,X
ITOJZSL,O,O,O,O,O,X
ITOSLJZ,O,X,X,O,X,X
ITOSLZJ,O,X,O,O,X,X
ITOSJLZ,O,X,X,O,X,O
ITOSJZL,O,O,X,O,X,O
ITOSZLJ,O,O,O,O,O,X
ITOSZJL,O,O,O,O,O,O
ITOZLJS,X,O,O,X,X,X
ITOZLSJ,X,O,O,X,O,X
ITOZJLS,X,O,O,X,O,X
ITOZJSL,O,O,O,O,O,X
ITOZSLJ,O,O,O,O,O,X
ITOZSJL,O,O,O,O,O,O
ILTJSZO,O,X,X,X,X,X
ILTJSOZ,O,X,X,X,X,X
ILTJZSO,X,O,X,X,X,X
ILTJZOS,X,O,X,X,X,X
ILTJOSZ,O,X,X,X,X,X
ILTJOZS,X,O,X,X,X,X
ILTSJZO,O,X,X,X,X,X
ILTSJOZ,O,X,X,X,X,X
ILTSZJO,O,X,X,X,X,X
ILTSZOJ,O,X,X,X,X,X
ILTSOJZ,O,X,X,X,X,X
ILTSOZJ,O,X,X,X,X,X
ILTZJSO,X,O,X,X,X,X
ILTZJOS,X,O,X,X,X,X
ILTZSJO,X,O,X,X,X,X
ILTZSOJ,X,O,O,X,X,X
ILTZOJS,X,O,O,X,X,X
ILTZOSJ,X,O,O,X,X,X
ILTOJSZ,O,X,X,X,X,X
ILTOJZS,X,O,O,X,X,X
ILTOSJZ,O,X,X,X,X,X
ILTOSZJ,O,X,O,X,X,X
ILTOZJS,X,O,O,X,X,X
ILTOZSJ,X,O,O,X,X,X
ILJTSZO,O,X,X,X,X,X
ILJTSOZ,O,X,X,X,X,X
ILJTZSO,X,O,X,X,X,X
ILJTZOS,X,O,X,X,X,X
ILJTOSZ,O,X,X,X,X,X
ILJTOZS,X,O,X,X,X,X
ILJSTZO,O,X,X,X,X,X
ILJSTOZ,O,X,X,X,X,X
ILJSZTO,O,X,X,X,X,X
ILJSZOT,X,X,X,X,X,O
ILJSOTZ,X,X,X,O,X,O
ILJSOZT,X,X,X,O,X,O
ILJZTSO,X,O,X,X,X,X
ILJZTOS,X,O,X,X,X,X
ILJZSTO,O,O,X,X,X,X
ILJZSOT,X,X,O,X,X,X
ILJZOTS,X,X,O,X,X,X
ILJZOST,X,X,O,O,X,X
ILJOTSZ,X,X,X,X,X,X
ILJOTZS,X,X,O,X,X,X
ILJOSTZ,X,X,X,O,X,O
ILJOSZT,X,X,X,O,X,O
ILJOZTS,X,X,O,X,X,X
ILJOZST,X,X,O,O,X,X
ILSTJZO,O,X,X,X,X,X
ILSTJOZ,O,X,X,X,X,X
ILSTZJO,O,X,X,X,X,X
ILSTZOJ,O,X,X,X,X,X
ILSTOJZ,O,X,X,X,X,X
ILSTOZJ,O,X,X,X,X,X
ILSJTZO,O,X,X,X,X,X
ILSJTOZ,O,X,X,X,X,X
ILSJZTO,O,X,X,X,X,X
ILSJZOT,X,X,X,X,X,O
ILSJOTZ,X,X,X,O,X,O
ILSJOZT,X,X,X,O,X,O
ILSZTJO,O,X,X,X,X,X
ILSZTOJ,O,X,O,X,X,X
ILSZJTO,O,X,X,X,X,X
ILSZJOT,X,X,O,X,X,O
ILSZOTJ,X,X,O,X,X,X
ILSZOJT,X,X,O,X,X,O
ILSOTJZ,X,X,X,O,X,X
ILSOTZJ,X,X,O,O,X,X
ILSOJTZ,X,X,X,O,X,O
ILSOJZT,X,X,X,O,X,O
ILSOZTJ,X,X,O,O,X,X
ILSOZJT,X,X,O,O,X,O
ILZTJSO,X,O,X,X,X,X
ILZTJOS,X,O,X,X,X,X
ILZTSJO,X,O,X,X,X,X
ILZTSOJ,X,O,O,X,X,X
ILZTOJS,X,O,O,X,X,X
ILZTOSJ,X,O,O,X,X,X
ILZJTSO,X,O,X,X,X,X
ILZJTOS,X,O,X,X,X,X
ILZJSTO,O,O,X,X,X,X
ILZJSOT,X,X,O,X,X,X
ILZJOTS,X,X,O,X,X,X
ILZJOST,X,X,O,O,X,X
ILZSTJO,O,O,X,X,X,X
ILZSTOJ,O,O,O,X,X,X
ILZSJTO,O,O,X,X,X,X
ILZSJOT,X,X,O,X,X,O
ILZSOTJ,X,X,O,X,X,X
ILZSOJT,X,X,O,X,X,O
ILZOTJS,X,X,O,X,X,X
ILZOTSJ,X,X,O,X,X,X
ILZOJTS,X,X,O,X,X,X
ILZOJST,X,X,O,O,X,X
ILZOSTJ,X,X,O,O,X,X
ILZOSJT,X,X,O,O,X,O
ILOTJSZ,X,X,X,X,X,X
ILOTJZS,X,X,O,X,X,X
ILOTSJZ,X,X,X,X,X,X
ILOTSZJ,X,X,O,X,X,X
ILOTZJS,X,X,O,X,X,X
ILOTZSJ,X,X,O,X,X,X
ILOJTSZ,X,X,X,X,X,X
ILOJTZS,X,X,O,X,X,X
ILOJSTZ,X,X,X,O,X,O
ILOJSZT,X,X,X,O,X,O
ILOJZTS,X,X,O,X,X,X
ILOJZST,X,X,O,O,X,X
ILOSTJZ,X,X,X,O,X,X
ILOSTZJ,X,X,O,O,X,X
ILOSJTZ,X,X,X,O,X,O
ILOSJZT,X,X,X,O,X,O
ILOSZTJ,X,X,O,O,X,X
ILOSZJT,X,X,O,O,X,O
ILOZTJS,X,X,O,X,X,X
ILOZTSJ,X,X,O,X,X,X
ILOZJTS,X,X,O,X,X,X
ILOZJST,X,X,O,O,X,X
ILOZSTJ,X,X,O,O,X,X
ILOZSJT,X,X,O,O,X,O
IJTLSZO,O,X,X,X,X,X
IJTLSOZ,O,X,X,X,X,X
IJTLZSO,X,O,X,X,X,X
IJTLZOS,X,O,X,X,X,X
IJTLOSZ,O,X,X,X,X,X
IJTLOZS,X,O,X,X,X,X
IJTSLZO,O,X,X,X,X,X
IJTSLOZ,O,X,X,X,X,X
IJTSZLO,O,O,X,X,X,X
IJTSZOL,O,O,X,X,X,O
IJTSOLZ,O,X,X,O,X,O
IJTSOZL,O,O,X,O,X,O
IJTZLSO,X,O,X,X,X,X
IJTZLOS,X,O,X,X,X,X
IJTZSLO,O,O,X,X,X,X
IJTZSOL,O,O,O,X,X,X
IJTZOLS,X,O,O,X,X,X
IJTZOSL,O,O,O,O,X,X
IJTOLSZ,O,X,X,X,X,X
IJTOLZS,X,O,O,X,X,X
IJTOSLZ,O,X,X,O,X,O
IJTOSZL,O,O,X,O,X,O
IJTOZLS,X,O,O,X,X,X
IJTOZSL,O,O,O,O,X,X
IJLTSZO,O,X,X,X,X,X
IJLTSOZ,O,X,X,X,X,X
IJLTZSO,X,O,X,X,X,X
IJLTZOS,X,O,X,X,X,X
IJLTOSZ,O,X,X,X,X,X
IJLTOZS,X,O,X,X,X,X
IJLSTZO,O,X,X,X,X,X
IJLSTOZ,O,X,X,X,X,X
IJLSZTO,O,X,X,X,X,X
IJLSZOT,X,X,X,X,X,O
IJLSOTZ,X,X,X,O,X,O
IJLSOZT,X,X,X,O,X,O
IJLZTSO,X,O,X,X,X,X
IJLZTOS,X,O,X,X,X,X
IJLZSTO,O,O,X,X,X,X
IJLZSOT,X,X,O,X,X,X
IJLZOTS,X,X,O,X,X,X
IJLZOST,X,X,O,O,X,X
IJLOTSZ,X,X,X,X,X,X
IJLOTZS,X,X,O,X,X,X
IJLOSTZ,X,X,X,O,X,O
IJLOSZT,X,X,X,O,X,O
IJLOZTS,X,X,O,X,X,X
IJLOZST,X,X,O,O,X,X
IJSTLZO,O,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X
IJSTZLO,O,O,X,X,X,X
IJSTZOL,O,O,X,X,X,O
IJSTOLZ,O,X,X,O,X,O
IJSTOZL,O,O,X,O,X,O
IJSLTZO,O,X,X,X,X,X
IJSLTOZ,O,X,X,X,X,X
IJSLZTO,O,X,X,X,X,X
IJSLZOT,X,X,X,X,X,O
IJSLOTZ,X,X,X,O,X,O
IJSLOZT,X,X,X,O,X,O
IJSZTLO,O,O,X,X,X,X
IJSZTOL,O,O,X,X,X,O
IJSZLTO,O,O,X,X,X,X
IJSZLOT,X,X,X,X,X,O
IJSZOTL,O,O,X,O,X,O
IJSZOLT,X,X,X,O,X,O
IJSOTLZ,O,X,X,O,X,O
IJSOTZL,O,X,X,O,X,O
IJSOLTZ,X,X,X,O,X,O
IJSOLZT,X,X,X,O,X,O
IJSOZTL,O,X,X,O,X,O
IJSOZLT,X,X,X,O,X,O
IJZTLSO,X,O,X,X,X,X
IJZTLOS,X,O,X,X,X,X
IJZTSLO,O,O,X,X,X,X
IJZTSOL,O,O,O,X,X,X
IJZTOLS,X,O,O,X,X,X
IJZTOSL,O,O,O,O,X,X
IJZLTSO,X,O,X,X,X,X
IJZLTOS,X,O,X,X,X,X
IJZLSTO,O,O,X,X,X,X
IJZLSOT,X,X,O,X,X,X
IJZLOTS,X,X,O,X,X,X
IJZLOST,X,X,O,O,X,X
IJZSTLO,O,O,X,X,X,X
IJZSTOL,O,O,O,X,X,O
IJZSLTO,O,O,X,X,X,X
IJZSLOT,X,X,O,X,X,O
IJZSOTL,O,O,O,O,O,O
IJZSOLT,X,X,O,O,O,O
IJZOTLS,X,O,O,X,O,X
IJZOTSL,X,O,O,O,O,X
IJZOLTS,X,X,O,X,O,X
IJZOLST,X,X,O,O,O,X
IJZOSTL,O,O,O,O,O,O
IJZOSLT,X,X,O,O,O,O
IJOTLSZ,O,X,X,X,X,X
IJOTLZS,X,O,O,X,O,X
IJOTSLZ,O,X,X,O,X,O
IJOTSZL,O,O,X,O,O,O
IJOTZLS,X,O,O,X,O,X
IJOTZSL,O,O,O,O,O,X
IJOLTSZ,X,X,X,X,X,X
IJOLTZS,X,X,O,X,O,X
IJOLSTZ,X,X,X,O,X,O
IJOLSZT,X,X,X,O,X,O
IJOLZTS,X,X,O,X,O,X
IJOLZST,X,X,O,O,O,X
IJOSTLZ,O,X,X,O,X,O
IJOSTZL,O,X,X,O,O,O
IJOSLTZ,X,X,X,O,X,O
IJOSLZT,X,X,X,O,X,O
IJOSZTL,O,X,X,O,O,O
IJOSZLT,X,X,X,O,O,O
IJOZTLS,X,O,O,X,O,X
IJOZTSL,X,O,O,O,O,X
IJOZLTS,X,X,O,X,O,X
IJOZLST,X,X,O,O,O,X
IJOZSTL,O,O,O,O,O,O
IJOZSLT,X,X,O,O,O,O
ISTLJZO,O,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,X
ISTLZJO,O,X,X,X,X,X
ISTLZOJ,O,X,X,X,X,X
ISTLOJZ,O,X,X,X,X,X
ISTLOZJ,O,X,X,X,X,X
ISTJLZO,O,X,X,X,X,X
ISTJLOZ,O,X,X,X,X,X
ISTJZLO,O,O,X,X,X,X
ISTJZOL,O,O,X,X,X,O
ISTJOLZ,O,X,X,O,X,O
ISTJOZL,O,O,X,O,X,O
ISTZLJO,O,O,X,X,X,X
ISTZLOJ,O,O,O,X,X,X
ISTZJLO,O,O,X,X,X,X
ISTZJOL,O,O,O,X,X,O
ISTZOLJ,O,O,O,X,X,X
ISTZOJL,O,O,O,X,X,O
ISTOLJZ,O,X,X,O,X,X
ISTOLZJ,O,X,O,O,X,X
ISTOJLZ,O,X,X,O,X,O
ISTOJZL,O,O,X,O,X,O
ISTOZLJ,O,O,O,O,X,X
ISTOZJL,O,O,O,O,X,O
ISLTJZO,O,X,X,X,X,X
ISLTJOZ,O,X,X,X,X,X
ISLTZJO,O,X,X,X,X,X
ISLTZOJ,O,X,X,X,X,X
ISLTOJZ,O,X,X,X,X,X
ISLTOZJ,O,X,X,X,X,X
ISLJTZO,O,X,X,X,X,X
ISLJTOZ,O,X,X,X,X,X
ISLJZTO,O,X,X,X,X,X
ISLJZOT,X,X,X,X,X,O
ISLJOTZ,X,X,X,O,X,O
ISLJOZT,X,X,X,O,X,O
ISLZTJO,O,X,X,X,X,X
ISLZTOJ,O,X,O,X,X,X
ISLZJTO,O,X,X,X,X,X
ISLZJOT,X,X,O,X,X,O
ISLZOTJ,X,X,O,X,X,X
ISLZOJT,X,X,O,X,X,O
ISLOTJZ,X,X,X,O,X,X
ISLOTZJ,X,X,O,O,X,X
ISLOJTZ,X,X,X,O,X,O
ISLOJZT,X,X,X,O,X,O
ISLOZTJ,X,X,O,O,X,X
ISLOZJT,X,X,O,O,X,O
ISJTLZO,O,X,X,X,X,X
ISJTLOZ,O,X,X,X,X,X
ISJTZLO,O,O,X,X,X,X
ISJTZOL,O,O,X,X,X,O
ISJTOLZ,O,X,X,O,X,O
ISJTOZL,O,O,X,O,X,O
ISJLTZO,O,X,X,X,X,X
ISJLTOZ,O,X,X,X,X,X
ISJLZTO,O,X,X,X,X,X
ISJLZOT,X,X,X,X,X,O
ISJLOTZ,X,X,X,O,X,O
ISJLOZT,X,X,X,O,X,O
ISJZTLO,O,O,X,X,X,X
ISJZTOL,O,O,X,X,X,O
ISJZLTO,O,O,X,X,X,X
ISJZLOT,X,X,X,X,X,O
ISJZOTL,O,O,X,O,X,O
ISJZOLT,X,X,X,O,X,O
ISJOTLZ,O,X,X,O,X,O
ISJOTZL,O,X,X,O,X,O
ISJOLTZ,X,X,X,O,X,O
ISJOLZT,X,X,X,O,X,O
ISJOZTL,O,X,X,O,X,O
ISJOZLT,X,X,X,O,X,O
ISZTLJO,O,O,X,X,X,X
ISZTLOJ,O,O,O,X,X,X
ISZTJLO,O,O,X,X,X,X
ISZTJOL,O,O,O,X,X,O
ISZTOLJ,O,O,O,X,X,X
ISZTOJL,O,O,O,X,X,O
ISZLTJO,O,O,X,X,X,X
ISZLTOJ,O,O,O,X,X,X
ISZLJTO,O,O,X,X,X,X
ISZLJOT,X,X,O,X,X,O
ISZLOTJ,X,X,O,X,X,X
ISZLOJT,X,X,O,X,X,O
ISZJTLO,O,O,X,X,X,X
ISZJTOL,O,O,O,X,X,O
ISZJLTO,O,O,X,X,X,X
ISZJLOT,X,X,O,X,X,O
ISZJOTL,O,O,O,O,X,O
ISZJOLT,X,X,O,O,X,O
ISZOTLJ,O,O,O,O,X,X
ISZOTJL,O,O,O,O,X,O
ISZOLTJ,X,X,O,O,X,X
ISZOLJT,X,X,O,O,X,O
ISZOJTL,O,O,O,O,X,O
ISZOJLT,X,X,O,O,X,O
ISOTLJZ,O,X,X,O,X,X
ISOTLZJ,O,X,O,O,X,X
ISOTJLZ,O,X,X,O,X,O
ISOTJZL,O,X,X,O,X,O
ISOTZLJ,O,X,O,O,X,X
ISOTZJL,O,X,O,O,X,O
ISOLTJZ,X,X,X,O,X,X
ISOLTZJ,X,X,O,O,X,X
ISOLJTZ,X,X,X,O,X,O
ISOLJZT,X,X,X,O,X,O
ISOLZTJ,X,X,O,O,X,X
ISOLZJT,X,X,O,O,X,O
ISOJTLZ,O,X,X,O,X,O
ISOJTZL,O,X,X,O,X,O
ISOJLTZ,X,X,X,O,X,O
ISOJLZT,X,X,X,O,X,O
ISOJZTL,O,X,X,O,X,O
ISOJZLT,X,X,X,O,X,O
ISOZTLJ,O,X,O,O,X,X
ISOZTJL,O,X,O,O,X,O
ISOZLTJ,X,X,O,O,X,X
ISOZLJT,X,X,O,O,X,O
ISOZJTL,O,X,O,O,X,O
ISOZJLT,X,X,O,O,X,O
IZTLJSO,X,O,X,X,X,X
IZTLJOS,X,O,X,X,X,X
IZTLSJO,X,O,X,X,X,X
IZTLSOJ,X,O,O,X,X,X
IZTLOJS,X,O,O,X,X,X
IZTLOSJ,X,O,O,X,X,X
IZTJLSO,X,O,X,X,X,X
IZTJLOS,X,O,X,X,X,X
IZTJSLO,O,O,X,X,X,X
IZTJSOL,O,O,O,X,X,X
IZTJOLS,X,O,O,X,X,X
IZTJOSL,O,O,O,O,X,X
IZTSLJO,O,O,X,X,X,X
IZTSLOJ,O,O,O,X,X,X
IZTSJLO,O,O,X,X,X,X
IZTSJOL,O,O,O,X,X,O
IZTSOLJ,O,O,O,X,O,X
IZTSOJL,O,O,O,X,O,O
IZTOLJS,X,O,O,X,X,X
IZTOLSJ,X,O,O,X,O,X
IZTOJLS,X,O,O,X,O,X
IZTOJSL,O,O,O,O,O,X
IZTOSLJ,O,O,O,O,O,X
IZTOSJL,O,O,O,O,O,O
IZLTJSO,X,O,X,X,X,X
IZLTJOS,X,O,X,X,X,X
IZLTSJO,X,O,X,X,X,X
IZLTSOJ,X,O,O,X,X,X
IZLTOJS,X,O,O,X,X,X
IZLTOSJ,X,O,O,X,X,X
IZLJTSO,X,O,X,X,X,X
IZLJTOS,X,O,X,X,X,X
IZLJSTO,O,O,X,X,X,X
IZLJSOT,X,X,O,X,X,X
IZLJOTS,X,X,O,X,X,X
IZLJOST,X,X,O,O,X,X
IZLSTJO,O,O,X,X,X,X
IZLSTOJ,O,O,O,X,X,X
IZLSJTO,O,O,X,X,X,X
IZLSJOT,X,X,O,X,X,O
IZLSOTJ,X,X,O,X,X,X
IZLSOJT,X,X,O,X,X,O
IZLOTJS,X,X,O,X,X,X
IZLOTSJ,X,X,O,X,X,X
IZLOJTS,X,X,O,X,X,X
IZLOJST,X,X,O,O,X,X
IZLOSTJ,X,X,O,O,X,X
IZLOSJT,X,X,O,O,X,O
IZJTLSO,X,O,X,X,X,X
IZJTLOS,X,O,X,X,X,X
IZJTSLO,O,O,X,X,X,X
IZJTSOL,O,O,O,X,X,X
IZJTOLS,X,O,O,X,X,X
IZJTOSL,O,O,O,O,X,X
