sequence,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF0iB6oBmlBz?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFXiB6oBmlBz?nBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhFTiB6oBmlBf?sB8sBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFfnBxiBUmB+?sBToBFqB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBimBGoBX?oBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JexAJvhF8mBfoB6oBm?lBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxiBimBGoB0?mBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFxhBXjB2rBS?tBFqBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF0hBxiB2rBS?tBFqB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFGjBRmBUoB3?mBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8Je2FJvhFRhBSoB3mBU?oBFqBTsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhFOmB8mBSoBF?qBxsB3sB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeTAJvhF2mBfoB6oBF?qBxrBUsB,v115@9gB8HeB8HeA8IeB8AeC8BeB8JeiAJvhFzhBGjBUmBF?qBxsB3sB
TILJSZO,O,O,O,O,X,O,X,O,O,X,X,X,O,O
TILJSOZ,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TILJZSO,O,O,O,O,O,X,X,O,O,O,X,O,X,O
TILJZOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TILJOSZ,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TILJOZS,O,O,O,O,O,X,O,O,O,X,X,O,X,O
TILSJZO,O,X,O,X,X,O,O,O,O,X,X,X,O,O
TILSJOZ,O,X,O,X,O,X,O,O,O,X,X,X,O,O
TILSZJO,O,X,O,X,O,O,X,O,X,O,X,O,O,O
TILSZOJ,O,X,O,X,O,O,X,O,X,X,X,O,O,O
TILSOJZ,O,X,X,X,O,X,O,O,O,X,X,X,O,O
TILSOZJ,O,X,O,X,O,X,X,O,X,X,X,O,O,X
TILZJSO,X,O,O,O,O,X,X,X,O,O,X,O,X,O
TILZJOS,X,O,O,O,O,X,X,X,O,O,X,O,X,O
TILZSJO,X,O,O,O,O,X,X,X,X,O,X,O,X,O
TILZSOJ,X,O,O,O,O,X,X,X,X,X,X,O,X,O
TILZOJS,X,X,X,O,O,X,X,X,O,O,X,O,X,O
TILZOSJ,X,X,X,X,O,X,X,X,X,X,X,O,X,O
TILOJSZ,O,O,X,O,O,X,O,O,O,X,X,X,O,O
TILOJZS,O,O,X,O,O,X,O,O,O,O,X,O,X,O
TILOSJZ,X,O,X,X,O,X,O,O,O,X,X,X,O,O
TILOSZJ,O,O,X,X,O,X,X,O,X,O,X,O,O,X
TILOZJS,O,X,X,O,O,X,X,X,O,O,X,O,X,O
TILOZSJ,O,X,X,X,O,X,X,X,X,O,X,O,X,O
TIJLSZO,O,O,O,O,X,O,O,O,O,X,X,X,O,O
TIJLSOZ,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TIJLZSO,O,O,O,O,X,O,X,O,O,O,X,O,X,O
TIJLZOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TIJLOSZ,O,O,O,O,O,X,O,O,O,X,X,X,O,O
TIJLOZS,O,O,O,O,O,X,O,O,O,X,X,O,X,O
TIJSLZO,O,O,O,O,X,O,O,O,X,X,X,X,O,O
TIJSLOZ,O,O,O,O,X,X,O,O,X,X,X,X,O,O
TIJSZLO,O,O,O,O,X,O,O,X,X,X,X,X,O,O
TIJSZOL,O,O,O,X,X,O,O,X,X,X,X,X,O,O
TIJSOLZ,O,O,O,O,X,X,O,O,X,X,X,X,O,O
TIJSOZL,O,O,O,O,X,X,O,X,X,X,X,X,O,X
TIJZLSO,O,O,O,O,O,O,X,O,O,O,X,O,X,O
TIJZLOS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TIJZSLO,O,O,O,O,X,O,O,X,X,O,X,O,O,O
TIJZSOL,O,O,O,O,X,O,O,X,O,X,X,O,O,O
TIJZOLS,O,O,O,O,O,X,O,O,O,O,X,O,X,O
TIJZOSL,O,O,O,O,X,O,O,X,O,X,X,O,O,O
TIJOLSZ,O,O,O,O,O,X,O,O,O,X,O,X,O,O
TIJOLZS,O,O,O,O,O,X,O,O,O,X,X,O,X,O
TIJOSLZ,O,O,O,O,X,O,O,O,X,X,O,X,O,O
TIJOSZL,O,O,O,O,X,O,O,X,X,X,O,X,O,X
TIJOZLS,O,O,O,O,O,O,O,O,O,X,X,O,X,O
TIJOZSL,O,O,O,O,X,O,O,X,O,X,X,O,O,O
TISLJZO,O,X,O,X,X,O,O,X,X,X,X,X,O,O
TISLJOZ,O,X,O,X,X,X,O,X,X,X,X,X,O,O
TISLZJO,O,X,O,X,X,O,X,X,X,O,X,O,O,O
TISLZOJ,O,X,O,X,X,O,X,X,X,X,X,O,O,O
TISLOJZ,O,X,X,X,X,X,O,X,X,X,X,X,O,O
TISLOZJ,O,X,O,X,X,X,X,X,X,X,X,O,O,X
TISJLZO,O,X,O,X,X,O,O,X,X,X,X,X,O,O
TISJLOZ,O,X,O,X,X,X,O,X,X,X,X,X,O,O
TISJZLO,O,X,O,X,X,O,O,X,X,X,X,X,O,O
TISJZOL,O,X,O,X,X,O,O,X,X,X,X,X,O,O
TISJOLZ,O,X,O,X,X,X,O,X,X,X,X,X,O,O
TISJOZL,O,X,O,X,X,X,O,X,X,X,X,X,O,X
TISZLJO,O,X,O,X,X,O,X,X,X,O,X,O,O,O
TISZLOJ,O,X,O,X,X,O,X,X,X,X,X,O,O,O
TISZJLO,O,X,O,X,X,O,X,X,X,O,X,O,O,O
TISZJOL,O,X,O,X,X,O,X,X,X,X,X,O,O,O
TISZOLJ,O,X,O,X,X,O,X,X,X,X,X,O,O,O
TISZOJL,O,X,O,X,X,X,X,X,X,X,X,O,O,O
TISOLJZ,O,X,X,X,X,X,O,X,X,X,X,X,O,O
TISOLZJ,O,X,O,X,X,X,X,X,X,X,X,O,O,X
TISOJLZ,O,X,X,X,X,X,O,X,X,X,X,X,O,O
TISOJZL,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TISOZLJ,O,X,O,X,X,X,X,X,X,X,X,O,O,X
TISOZJL,O,X,O,X,X,X,X,X,X,X,X,O,O,X
TIZLJSO,X,O,O,O,O,X,X,X,X,O,X,O,X,O
TIZLJOS,X,O,O,O,O,X,X,X,X,O,X,O,X,O
TIZLSJO,X,O,O,O,O,O,X,X,X,O,X,O,X,O
TIZLSOJ,X,O,O,O,O,O,X,X,X,X,X,O,X,O
TIZLOJS,X,X,X,O,O,X,X,X,X,O,X,O,X,O
TIZLOSJ,X,X,X,X,O,X,X,X,X,X,X,O,X,O
TIZJLSO,X,O,O,O,O,O,X,X,X,O,X,O,X,O
TIZJLOS,X,O,O,O,O,X,X,X,X,O,X,O,X,O
TIZJSLO,X,O,O,O,X,O,X,X,X,O,X,O,O,O
TIZJSOL,X,O,O,O,X,O,X,X,X,X,X,O,O,O
TIZJOLS,X,O,O,O,O,X,X,X,X,O,X,O,X,O
TIZJOSL,X,O,O,O,X,O,X,X,X,X,X,O,O,O
TIZSLJO,X,O,O,O,X,O,X,X,X,O,X,O,O,O
TIZSLOJ,X,O,O,O,X,O,X,X,X,X,X,O,O,O
TIZSJLO,X,O,O,O,X,O,X,X,X,O,X,O,O,O
TIZSJOL,X,O,O,O,X,O,X,X,X,X,X,O,O,O
TIZSOLJ,X,O,O,O,X,O,X,X,X,X,X,O,O,O
TIZSOJL,X,O,O,X,X,X,X,X,X,X,X,O,O,O
TIZOLJS,X,O,X,O,O,X,X,X,X,O,X,O,X,O
TIZOLSJ,X,O,X,X,O,X,X,X,X,X,X,O,X,O
TIZOJLS,X,O,X,O,O,X,X,X,X,O,X,O,X,O
TIZOJSL,X,O,X,O,X,X,X,X,X,X,X,O,O,O
TIZOSLJ,X,O,X,X,X,O,X,X,X,X,X,O,O,O
TIZOSJL,X,O,X,X,X,X,X,X,X,X,X,O,O,O
TIOLJSZ,O,O,X,O,O,X,O,O,O,X,O,X,O,O
TIOLJZS,O,O,X,O,O,X,O,O,O,O,X,O,X,O
TIOLSJZ,X,O,X,X,O,X,O,O,O,X,O,X,O,O
TIOLSZJ,O,O,X,X,O,X,X,O,X,O,O,O,O,X
TIOLZJS,O,X,X,O,O,X,X,X,O,O,X,O,X,O
TIOLZSJ,O,X,X,X,O,X,X,X,X,O,X,O,X,O
TIOJLSZ,O,O,X,O,O,X,O,O,O,X,O,X,O,O
TIOJLZS,O,O,X,O,O,X,O,O,O,O,X,O,X,O
