sequence,v115@JhA8HeB8FeA8AeD8AeD8Jex/IvhF8lBzhBCjBOpBXo?BlrB,v115@JhA8HeB8FeA8AeD8AeD8JeZEJvhFCgBXhBTjBFnB0n?BGrB,v115@JhA8HeB8FeA8AeD8AeD8JeZEJvhFCgB8lBzhBWoBXo?BlrB,v115@JhA8HeB8FeA8AeD8AeD8Jex/IvhFlhB3iBcoBOpBzl?BCsB,v115@JhA8HeB8FeA8AeD8AeD8JeZEJvhFCgB3iBcoBzlBWs?BlrB
TILJSZO,X,O,X,X,X
TILJSOZ,X,O,X,X,X
TILJZSO,X,O,O,O,X
TILJZOS,X,O,O,X,X
TILJOSZ,X,O,X,X,X
TILJOZS,X,O,O,X,X
TILSJZO,X,X,X,X,X
TILSJOZ,X,O,X,X,X
TILSZJO,X,X,X,O,X
TILSZOJ,X,O,X,O,X
TILSOJZ,X,O,X,X,X
TILSOZJ,X,O,X,X,X
TILZJSO,X,X,O,O,X
TILZJOS,X,X,O,X,X
TILZSJO,X,X,O,O,X
TILZSOJ,X,O,O,O,O
TILZOJS,X,X,O,X,O
TILZOSJ,X,O,O,O,O
TILOJSZ,X,O,X,X,X
TILOJZS,X,O,O,X,O
TILOSJZ,X,O,X,X,X
TILOSZJ,X,O,X,X,X
TILOZJS,X,X,O,X,O
TILOZSJ,X,O,O,O,O
TIJLSZO,X,O,X,X,X
TIJLSOZ,X,O,X,X,X
TIJLZSO,X,O,O,X,X
TIJLZOS,X,O,O,X,X
TIJLOSZ,X,O,X,X,X
TIJLOZS,X,O,O,X,X
TIJSLZO,O,O,X,X,X
TIJSLOZ,O,O,X,X,X
TIJSZLO,O,O,O,X,X
TIJSZOL,O,O,O,X,X
TIJSOLZ,O,O,X,X,X
TIJSOZL,O,O,O,X,X
TIJZLSO,O,O,O,X,X
TIJZLOS,O,O,O,X,X
TIJZSLO,O,O,O,X,X
TIJZSOL,O,O,O,X,O
TIJZOLS,O,O,O,X,O
TIJZOSL,O,O,O,X,O
TIJOLSZ,X,O,X,X,X
TIJOLZS,X,O,O,X,O
TIJOSLZ,O,O,X,X,X
TIJOSZL,O,O,O,X,X
TIJOZLS,O,O,O,X,O
TIJOZSL,O,O,O,X,O
TISLJZO,O,X,X,X,X
TISLJOZ,O,O,X,X,X
TISLZJO,O,X,X,X,X
TISLZOJ,O,O,X,X,X
TISLOJZ,O,O,X,X,X
TISLOZJ,O,O,X,X,X
TISJLZO,O,O,X,X,X
TISJLOZ,O,O,X,X,X
TISJZLO,O,O,O,X,X
TISJZOL,O,O,O,X,X
TISJOLZ,O,O,X,X,X
TISJOZL,O,O,O,X,X
TISZLJO,O,X,O,X,X
TISZLOJ,O,O,O,X,X
TISZJLO,O,X,O,X,X
TISZJOL,O,X,O,X,X
TISZOLJ,O,O,O,X,X
TISZOJL,O,X,O,X,X
TISOLJZ,O,O,X,X,X
TISOLZJ,O,O,X,X,X
TISOJLZ,O,O,X,X,X
TISOJZL,O,O,O,X,X
TISOZLJ,O,O,O,X,X
TISOZJL,O,X,O,X,X
TIZLJSO,X,X,O,O,X
TIZLJOS,X,X,O,X,X
TIZLSJO,O,X,O,O,X
TIZLSOJ,O,O,O,O,O
TIZLOJS,X,X,O,X,O
TIZLOSJ,O,O,O,O,O
TIZJLSO,O,O,O,X,X
TIZJLOS,O,O,O,X,X
TIZJSLO,O,O,O,X,X
TIZJSOL,O,O,O,X,O
TIZJOLS,O,O,O,X,O
TIZJOSL,O,O,O,X,O
TIZSLJO,O,X,O,O,X
TIZSLOJ,O,O,O,O,O
TIZSJLO,O,X,O,O,X
TIZSJOL,O,X,O,O,O
TIZSOLJ,O,O,O,O,O
TIZSOJL,O,X,O,O,O
TIZOLJS,X,X,O,O,O
TIZOLSJ,O,O,O,O,O
TIZOJLS,O,O,O,X,O
TIZOJSL,O,O,O,O,O
TIZOSLJ,O,O,O,O,O
TIZOSJL,O,X,O,O,O
TIOLJSZ,X,O,X,X,X
TIOLJZS,X,O,O,O,O
TIOLSJZ,X,O,X,X,X
TIOLSZJ,X,O,X,O,X
TIOLZJS,X,X,O,O,O
TIOLZSJ,X,O,O,O,O
TIOJLSZ,X,O,X,X,X
TIOJLZS,X,O,O,O,O
TIOJSLZ,O,O,X,X,X
TIOJSZL,O,O,O,X,X
TIOJZLS,O,O,O,X,O
TIOJZSL,O,O,O,O,O
TIOSLJZ,O,O,X,X,X
TIOSLZJ,O,O,X,O,X
TIOSJLZ,O,O,X,X,X
TIOSJZL,O,O,O,X,X
TIOSZLJ,O,O,O,O,X
TIOSZJL,O,X,O,O,X
TIOZLJS,X,X,O,O,O
TIOZLSJ,O,O,O,O,O
TIOZJLS,O,O,O,X,O
TIOZJSL,O,O,O,O,O
TIOZSLJ,O,O,O,O,O
TIOZSJL,O,X,O,O,O
TLIJSZO,X,O,X,O,X
TLIJSOZ,X,O,X,X,X
TLIJZSO,X,O,O,O,X
TLIJZOS,X,O,O,O,X
TLIJOSZ,X,O,X,X,X
TLIJOZS,X,O,O,O,X
TLISJZO,X,X,X,X,X
TLISJOZ,X,O,X,X,X
TLISZJO,X,X,X,O,X
TLISZOJ,X,O,X,O,X
TLISOJZ,X,O,X,X,X
TLISOZJ,X,O,X,X,X
TLIZJSO,X,X,O,O,X
TLIZJOS,X,X,O,O,X
TLIZSJO,X,X,O,O,X
TLIZSOJ,X,O,O,O,O
TLIZOJS,X,X,O,X,O
TLIZOSJ,X,O,O,O,O
TLIOJSZ,X,O,X,X,X
TLIOJZS,X,O,O,X,O
TLIOSJZ,X,O,X,X,X
TLIOSZJ,X,O,X,X,X
TLIOZJS,X,X,O,X,O
TLIOZSJ,X,O,O,O,O
TLJISZO,X,O,X,O,X
TLJISOZ,X,O,X,X,X
TLJIZSO,X,O,O,O,X
TLJIZOS,X,O,O,O,X
TLJIOSZ,X,O,X,X,X
TLJIOZS,X,O,O,O,X
TLJSIZO,O,O,X,O,X
TLJSIOZ,O,O,X,X,X
TLJSZIO,O,O,X,O,X
TLJSZOI,O,O,X,O,X
TLJSOIZ,O,O,X,X,X
TLJSOZI,O,O,X,X,X
TLJZISO,O,O,O,O,X
TLJZIOS,O,O,O,O,X
TLJZSIO,O,O,O,O,X
TLJZSOI,O,O,O,O,X
TLJZOIS,O,O,O,O,X
TLJZOSI,O,O,O,O,X
TLJOISZ,X,O,X,O,X
TLJOIZS,X,O,O,O,X
TLJOSIZ,O,O,X,O,X
TLJOSZI,O,O,X,O,X
TLJOZIS,O,O,O,O,X
TLJOZSI,O,O,O,O,X
TLSIJZO,O,X,X,X,X
TLSIJOZ,O,O,X,X,X
TLSIZJO,O,X,X,O,X
TLSIZOJ,O,O,X,O,X
TLSIOJZ,O,O,X,X,X
TLSIOZJ,O,O,X,X,X
TLSJIZO,O,X,X,O,X
TLSJIOZ,O,O,X,X,X
TLSJZIO,O,X,X,O,X
TLSJZOI,O,X,X,O,X
TLSJOIZ,O,O,X,X,X
TLSJOZI,O,X,X,X,X
TLSZIJO,O,X,X,O,X
TLSZIOJ,O,O,X,O,X
TLSZJIO,O,X,X,O,X
TLSZJOI,O,X,X,O,X
TLSZOIJ,O,O,X,O,X
TLSZOJI,O,X,X,O,X
TLSOIJZ,O,O,X,X,X
TLSOIZJ,O,O,X,X,X
TLSOJIZ,O,O,X,X,X
TLSOJZI,O,X,X,X,X
TLSOZIJ,O,O,X,X,X
TLSOZJI,O,X,X,X,X
TLZIJSO,X,X,O,O,X
TLZIJOS,X,X,O,O,X
TLZISJO,O,X,O,O,X
TLZISOJ,O,O,O,O,O
TLZIOJS,X,X,O,X,O
TLZIOSJ,O,O,O,O,O
TLZJISO,O,X,O,O,X
TLZJIOS,O,X,O,O,X
TLZJSIO,O,X,O,O,X
TLZJSOI,O,X,O,O,X
TLZJOIS,O,X,O,O,X
TLZJOSI,O,X,O,O,X
TLZSIJO,O,X,O,O,X
TLZSIOJ,O,O,O,O,O
TLZSJIO,O,X,O,O,X
TLZSJOI,O,X,O,O,X
TLZSOIJ,O,O,O,O,O
TLZSOJI,O,X,O,O,O
TLZOIJS,X,X,O,O,O
TLZOISJ,O,O,O,O,O
TLZOJIS,O,X,O,O,O
TLZOJSI,O,X,O,O,O
TLZOSIJ,O,O,O,O,O
TLZOSJI,O,X,O,O,O
TLOIJSZ,X,O,X,O,X
TLOIJZS,X,O,O,O,O
TLOISJZ,X,O,X,X,X
TLOISZJ,X,O,X,O,X
TLOIZJS,X,X,O,O,O
TLOIZSJ,X,O,O,O,O
TLOJISZ,X,O,X,O,X
TLOJIZS,X,O,O,O,O
TLOJSIZ,O,O,X,O,X
TLOJSZI,O,O,X,O,X
TLOJZIS,O,O,O,O,O
TLOJZSI,O,O,O,O,O
TLOSIJZ,O,O,X,X,X
