sequence,v115@PhC8GeD8BeB8AeC8JeT/IvhFelBChBxiBlmBcsB3qB,v115@PhC8GeD8BeB8AeC8Je/EJvhFRgBzhBCjBOqB8qBFsB,v115@PhC8GeD8BeB8AeC8Jei/IvhFFhBxiBzkB+qB3mBcsB,v115@PhC8GeD8BeB8AeC8JemAJvhFzhBCjBxkB0kB3qBFsB,v115@PhC8GeD8BeB8AeC8Jex/IvhFmhBCjB0kBXmBFsBTqB,v115@PhC8GeD8BeB8AeC8Je/EJvhFUgBamBWnBxnBTqBFsB,v115@PhC8GeD8BeB8AeC8Je2EJvhFChBxiBlmBcsBzkB3qB,v115@PhC8GeD8BeB8AeC8JemBJvhFCjBxkBXmB0kBFsBTqB,v115@PhC8GeD8BeB8AeC8Je3BJvhFxkBOsBlkBUmBCoBTqB
TILJSZO,X,X,O,X,O,O,X,O,X
TILJSOZ,X,X,O,O,X,O,X,O,X
TILJZSO,O,X,O,X,O,O,O,X,X
TILJZOS,O,X,O,O,O,O,O,X,X
TILJOSZ,X,X,O,O,X,O,X,X,X
TILJOZS,O,X,O,O,X,O,X,X,X
TILSJZO,O,X,X,O,O,O,O,O,X
TILSJOZ,O,O,X,O,X,O,X,O,X
TILSZJO,O,O,X,O,O,O,O,O,X
TILSZOJ,O,O,X,O,O,O,O,X,X
TILSOJZ,X,O,X,O,X,O,X,O,X
TILSOZJ,X,O,X,O,X,O,X,X,X
TILZJSO,O,O,O,X,O,O,O,X,X
TILZJOS,O,O,O,O,O,O,O,X,X
TILZSJO,O,O,O,X,O,O,O,O,X
TILZSOJ,O,O,O,X,O,O,O,X,X
TILZOJS,O,O,O,O,O,O,O,X,X
TILZOSJ,O,O,O,X,O,O,O,X,X
TILOJSZ,X,X,O,O,X,O,X,X,X
TILOJZS,X,X,O,O,X,O,X,X,X
TILOSJZ,X,O,X,O,X,O,X,O,X
TILOSZJ,X,O,X,O,X,O,X,X,X
TILOZJS,X,O,O,O,X,O,X,X,X
TILOZSJ,X,O,O,X,X,O,X,X,X
TIJLSZO,X,X,O,X,O,O,X,O,X
TIJLSOZ,X,X,O,O,X,O,X,O,X
TIJLZSO,O,X,O,X,O,O,O,X,X
TIJLZOS,O,X,O,O,O,O,O,X,X
TIJLOSZ,X,X,O,O,X,O,X,X,X
TIJLOZS,O,X,O,O,X,O,X,X,X
TIJSLZO,X,X,O,X,O,O,X,O,O
TIJSLOZ,X,X,O,O,X,O,X,O,O
TIJSZLO,X,X,X,X,O,O,O,O,O
TIJSZOL,X,X,X,X,O,O,O,X,O
TIJSOLZ,X,X,O,O,X,O,X,O,O
TIJSOZL,X,X,X,X,X,O,X,X,O
TIJZLSO,O,X,O,X,O,O,O,X,X
TIJZLOS,O,X,O,O,O,O,O,X,X
TIJZSLO,O,X,O,X,O,O,O,X,X
TIJZSOL,O,X,O,X,O,O,O,X,X
TIJZOLS,O,X,O,O,O,O,O,X,X
TIJZOSL,O,X,O,X,X,O,X,X,X
TIJOLSZ,X,X,O,O,X,O,X,X,X
TIJOLZS,O,X,O,O,X,O,X,X,X
TIJOSLZ,X,X,O,O,X,O,X,X,X
TIJOSZL,X,X,X,X,X,O,X,X,X
TIJOZLS,O,X,O,O,X,O,X,X,X
TIJOZSL,O,X,O,X,X,O,X,X,X
TISLJZO,O,X,X,O,O,O,O,O,X
TISLJOZ,O,O,X,O,X,O,X,O,X
TISLZJO,O,O,X,O,O,O,O,O,X
TISLZOJ,O,O,X,O,O,O,O,X,X
TISLOJZ,X,O,X,O,X,O,X,O,X
TISLOZJ,X,O,X,O,X,O,X,X,X
TISJLZO,O,X,X,O,O,O,O,O,X
TISJLOZ,O,O,X,O,X,O,X,O,X
TISJZLO,O,X,X,O,O,O,O,O,X
TISJZOL,O,X,X,O,O,O,O,X,X
TISJOLZ,O,O,X,O,X,O,X,O,X
TISJOZL,O,X,X,O,X,O,X,X,X
TISZLJO,O,O,X,O,O,O,O,O,X
TISZLOJ,O,O,X,O,O,O,O,X,X
TISZJLO,O,O,X,O,O,O,O,O,X
TISZJOL,O,O,X,O,O,O,O,X,X
TISZOLJ,O,O,X,O,O,O,O,X,X
TISZOJL,O,O,X,O,O,O,O,X,X
TISOLJZ,X,O,X,O,X,O,X,O,X
TISOLZJ,X,O,X,O,X,O,X,X,X
TISOJLZ,O,O,X,O,X,O,X,O,X
TISOJZL,O,X,X,O,X,O,X,X,X
TISOZLJ,O,O,X,O,X,O,X,X,X
TISOZJL,O,O,X,O,X,O,X,X,X
TIZLJSO,O,O,O,X,O,O,O,X,X
TIZLJOS,O,O,O,O,O,O,O,X,X
TIZLSJO,O,O,O,X,O,O,O,O,X
TIZLSOJ,O,O,O,X,O,O,O,X,X
TIZLOJS,O,O,O,O,O,O,O,X,X
TIZLOSJ,O,O,O,X,O,O,O,X,X
TIZJLSO,O,O,O,X,O,O,O,X,X
