sequence,v115@9gB8HeC8GeB8HeB8EeC8Je3BJvhFCjBcqBVsBToBml?BRwB,v115@9gB8HeC8GeB8HeB8EeC8JemAJvhF6oBcqB3mBznBFn?BRwB,v115@9gB8HeC8GeB8HeB8EeC8JelAJvhFzhBGjBUoBxqBXs?ByvB,v115@9gB8HeC8GeB8HeB8EeC8JexAJvhFOnBXjBStBTqB0r?BFrB,v115@9gB8HeC8GeB8HeB8EeC8Je0AJvhF+oBRnBimB3nBTq?B1wB,v115@9gB8HeC8GeB8HeB8EeC8Je0AJvhFFiBTjBfsBWtByq?BxvB,v115@9gB8HeC8GeB8HeB8EeC8JelAJvhFRiB+oB3nBTqB0r?BirB,v115@9gB8HeC8GeB8HeB8EeC8JexAJvhFVnBUmBXoBGoBTq?BywB,v115@9gB8HeC8GeB8HeB8EeC8JefIJvhF6oBRmBmlBUnBTq?B1wB,v115@9gB8HeC8GeB8HeB8EeC8JexAJvhFziB+oB3lByvBFs?B8rB,v115@9gB8HeC8GeB8HeB8EeC8JexAJvhFUmBFnBXoBGoBTq?BywB,v115@9gB8HeC8GeB8HeB8EeC8JemAJvhFcqB3mBCoBFnBTo?BRwB,v115@9gB8HeC8GeB8HeB8EeC8JezCJvhF+oBRmBilBUnB3q?B1wB,v115@9gB8HeC8GeB8HeB8EeC8JeWIJvhFRmBlmBToBiqBXs?B0qB,v115@9gB8HeC8GeB8HeB8EeC8JeRGJvhFCoB3lBFnBToB0r?B2vB,v115@9gB8HeC8GeB8HeB8EeC8JeTDJvhFGmBiqBxsBcsBlq?B3rB,v115@9gB8HeC8GeB8HeB8EeC8JeVGJvhFUiBXoBGoBxqByw?BTqB
TILJSZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILJOSZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TILSJZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILSJOZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TILSZOJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSOJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILZJOS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TILZSOJ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOSJZ,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOZJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
