sequence,v115@MhB8HeB8BeB8CeF8Jel/IvhFRhBunBcoB/pBKqBzqB,v115@MhB8HeB8BeB8CeF8JeRBJvhFqnBTjB/pBFlB8qBmpB,v115@MhB8HeB8BeB8CeF8JeT/IvhF2lBRhBCjBXoB0pBlqB,v115@MhB8HeB8BeB8CeF8Jei/IvhFRhBGjB1pB8qBznBXqB,v115@MhB8HeB8BeB8CeF8Jel/IvhFRhBqnBTjB2pB8qBXqB,v115@MhB8HeB8BeB8CeF8JeRBJvhFCjB2pBzlBXoBUqBlpB,v115@MhB8HeB8BeB8CeF8JeKEJvhFRhBWoBFlB8qBXoBzpB
TILJSZO,X,X,O,O,X,X,X
TILJSOZ,X,X,O,O,O,X,X
TILJZSO,X,X,O,O,X,X,O
TILJZOS,X,X,O,O,O,X,O
TILJOSZ,X,X,X,O,O,X,X
TILJOZS,X,X,X,O,O,X,X
TILSJZO,O,X,O,O,X,X,X
TILSJOZ,X,X,O,O,X,X,X
TILSZJO,O,O,O,X,X,X,X
TILSZOJ,O,O,O,X,X,X,X
TILSOJZ,X,X,O,O,X,X,X
TILSOZJ,O,O,O,X,X,X,X
TILZJSO,O,X,O,O,O,X,O
TILZJOS,X,X,O,O,O,X,O
TILZSJO,O,O,O,O,X,X,O
TILZSOJ,O,O,O,O,X,X,X
TILZOJS,X,X,O,O,O,X,O
TILZOSJ,X,O,O,O,X,X,X
TILOJSZ,X,X,X,O,O,X,X
TILOJZS,X,X,X,O,O,X,X
TILOSJZ,X,X,X,O,X,X,X
TILOSZJ,X,O,X,X,X,X,X
TILOZJS,X,X,X,O,O,X,X
TILOZSJ,X,O,X,O,X,X,X
TIJLSZO,X,X,O,O,X,X,X
TIJLSOZ,X,X,O,O,O,X,X
TIJLZSO,X,X,O,O,X,X,O
TIJLZOS,X,X,O,O,O,X,O
TIJLOSZ,X,X,X,O,O,X,X
TIJLOZS,X,X,X,O,O,X,X
TIJSLZO,X,X,O,O,X,X,X
TIJSLOZ,X,X,O,O,O,X,X
TIJSZLO,X,X,O,X,X,X,X
TIJSZOL,X,X,O,X,X,X,X
TIJSOLZ,X,X,O,X,X,X,X
TIJSOZL,X,X,O,X,X,X,X
TIJZLSO,X,X,O,O,X,X,O
TIJZLOS,X,X,O,O,O,X,O
TIJZSLO,X,X,O,O,X,X,X
TIJZSOL,X,X,O,X,X,X,X
TIJZOLS,X,X,O,O,X,X,X
TIJZOSL,X,X,O,X,X,X,X
TIJOLSZ,X,X,X,O,O,X,X
TIJOLZS,X,X,X,O,O,X,X
TIJOSLZ,X,X,O,O,X,X,X
TIJOSZL,X,X,O,X,X,X,X
TIJOZLS,X,X,O,O,X,X,X
TIJOZSL,X,X,O,X,X,X,X
TISLJZO,O,X,O,O,X,X,X
TISLJOZ,X,X,O,O,X,X,X
TISLZJO,O,O,O,X,X,X,X
TISLZOJ,O,O,O,X,X,X,X
TISLOJZ,X,X,O,O,X,O,X
TISLOZJ,O,O,O,X,X,X,X
TISJLZO,X,X,O,O,X,X,X
TISJLOZ,X,X,O,O,X,X,X
TISJZLO,O,X,O,X,X,X,X
TISJZOL,O,X,O,X,X,X,X
TISJOLZ,X,X,O,X,X,X,X
TISJOZL,X,X,O,X,X,X,X
TISZLJO,O,O,O,X,X,X,X
TISZLOJ,O,O,O,X,X,X,X
TISZJLO,O,O,O,X,X,X,X
TISZJOL,O,X,O,X,X,X,X
TISZOLJ,X,O,O,X,X,X,X
TISZOJL,O,X,O,X,X,X,X
TISOLJZ,X,X,O,O,X,O,X
TISOLZJ,X,X,O,X,X,X,X
TISOJLZ,X,X,O,O,X,O,X
TISOJZL,X,X,O,X,X,O,X
TISOZLJ,X,X,O,X,X,X,X
TISOZJL,O,X,O,X,X,X,X
TIZLJSO,O,X,O,O,O,X,O
TIZLJOS,X,X,O,O,O,X,O
TIZLSJO,O,O,O,O,X,X,O
TIZLSOJ,O,O,O,O,X,X,X
TIZLOJS,X,X,O,O,O,X,O
TIZLOSJ,X,O,O,O,X,X,X
TIZJLSO,O,X,O,O,O,X,O
TIZJLOS,X,X,O,O,O,X,O
TIZJSLO,O,X,O,O,O,X,X
TIZJSOL,O,X,O,X,X,X,X
TIZJOLS,O,X,O,O,O,X,X
TIZJOSL,O,X,O,O,X,X,X
TIZSLJO,O,O,O,O,X,X,X
TIZSLOJ,O,O,O,O,X,X,X
TIZSJLO,O,O,O,O,X,X,X
TIZSJOL,O,X,O,X,X,X,X
TIZSOLJ,X,O,O,O,X,X,X
TIZSOJL,O,X,O,O,X,X,X
TIZOLJS,O,X,O,O,X,X,X
TIZOLSJ,O,X,O,O,X,X,X
TIZOJLS,O,X,O,O,X,X,X
TIZOJSL,O,X,O,O,X,X,X
TIZOSLJ,O,X,O,O,X,X,X
TIZOSJL,O,X,O,O,X,X,X
TIOLJSZ,X,X,X,O,X,X,X
TIOLJZS,X,X,X,O,X,X,X
TIOLSJZ,O,X,X,O,X,X,X
TIOLSZJ,O,X,X,X,X,X,X
TIOLZJS,O,X,X,O,X,X,X
TIOLZSJ,O,X,X,O,X,X,X
TIOJLSZ,X,X,X,O,X,X,X
TIOJLZS,X,X,X,O,X,X,X
TIOJSLZ,X,X,O,O,X,O,X
TIOJSZL,X,X,O,X,X,O,X
TIOJZLS,X,X,O,O,X,X,X
TIOJZSL,X,X,O,O,X,X,X
TIOSLJZ,O,X,O,O,X,O,X
TIOSLZJ,O,X,O,X,X,X,X
TIOSJLZ,X,X,O,O,X,O,X
TIOSJZL,X,X,O,X,X,O,X
TIOSZLJ,O,X,O,X,X,X,X
TIOSZJL,O,X,O,X,X,X,X
TIOZLJS,O,X,O,O,X,X,X
TIOZLSJ,O,X,O,O,X,X,X
TIOZJLS,O,X,O,O,X,X,X
TIOZJSL,O,X,O,O,X,X,X
TIOZSLJ,O,X,O,O,X,X,X
TIOZSJL,O,X,O,O,X,X,X
TLIJSZO,X,X,O,O,X,X,X
TLIJSOZ,X,X,O,O,O,X,X
TLIJZSO,X,X,O,O,X,X,O
TLIJZOS,X,X,O,O,O,X,O
TLIJOSZ,X,X,X,O,O,X,X
TLIJOZS,X,X,X,O,O,X,X
TLISJZO,O,X,O,O,X,X,X
TLISJOZ,X,X,O,O,X,X,X
TLISZJO,O,O,O,X,X,X,X
TLISZOJ,O,O,O,X,X,X,X
TLISOJZ,X,X,O,O,X,X,X
TLISOZJ,O,O,O,X,X,X,X
TLIZJSO,O,X,O,O,O,X,O
TLIZJOS,X,X,O,O,O,X,O
TLIZSJO,O,O,O,O,X,X,O
TLIZSOJ,O,O,O,O,X,X,X
TLIZOJS,X,X,O,O,O,X,O
TLIZOSJ,X,O,O,O,X,X,X
TLIOJSZ,X,X,X,O,O,X,X
TLIOJZS,X,X,X,O,O,X,X
TLIOSJZ,X,X,X,O,X,X,X
TLIOSZJ,X,O,X,X,X,X,X
TLIOZJS,X,X,X,O,O,X,X
TLIOZSJ,X,O,X,O,X,X,X
TLJISZO,X,X,O,O,X,X,X
TLJISOZ,X,X,O,O,O,X,X
TLJIZSO,X,X,O,O,O,X,O
TLJIZOS,X,X,O,O,O,X,O
TLJIOSZ,X,X,X,O,O,X,X
TLJIOZS,X,X,X,O,O,X,X
TLJSIZO,X,X,O,O,X,X,X
TLJSIOZ,X,X,O,O,O,X,X
TLJSZIO,X,X,O,O,O,X,X
TLJSZOI,X,X,O,X,O,X,X
TLJSOIZ,X,X,O,X,O,X,X
TLJSOZI,X,X,O,X,O,X,X
TLJZISO,X,X,O,O,O,X,O
TLJZIOS,X,X,O,O,O,X,O
TLJZSIO,X,X,O,O,O,X,O
TLJZSOI,X,X,O,X,O,X,O
TLJZOIS,X,X,O,O,O,X,O
TLJZOSI,X,X,O,O,O,X,O
TLJOISZ,X,X,X,O,O,X,X
TLJOIZS,X,X,X,O,O,X,X
TLJOSIZ,X,X,X,O,O,X,X
TLJOSZI,X,X,X,O,O,X,X
TLJOZIS,X,X,X,O,O,X,X
TLJOZSI,X,X,X,O,O,X,X
TLSIJZO,O,X,O,O,X,X,X
TLSIJOZ,X,X,O,O,X,X,X
TLSIZJO,O,O,O,X,X,X,X
TLSIZOJ,O,O,O,X,X,X,X
TLSIOJZ,O,X,O,O,X,X,X
TLSIOZJ,O,O,O,X,X,X,X
TLSJIZO,O,X,O,O,X,X,X
TLSJIOZ,X,X,O,O,X,X,X
TLSJZIO,O,X,O,O,X,X,X
TLSJZOI,O,X,O,X,X,X,X
TLSJOIZ,O,X,O,X,X,X,X
TLSJOZI,O,X,O,X,X,X,X
TLSZIJO,O,O,O,O,X,X,X
TLSZIOJ,O,O,O,O,X,X,X
TLSZJIO,O,O,O,O,X,X,X
TLSZJOI,O,O,O,X,X,X,X
TLSZOIJ,O,O,O,O,X,X,X
TLSZOJI,O,O,O,O,X,X,X
TLSOIJZ,O,X,O,O,X,X,X
TLSOIZJ,O,O,O,X,X,X,X
TLSOJIZ,O,X,O,O,X,X,X
TLSOJZI,O,X,O,O,X,X,X
TLSOZIJ,O,O,O,O,X,X,X
TLSOZJI,O,O,O,O,X,X,X
TLZIJSO,O,X,O,O,O,X,O
TLZIJOS,X,X,O,O,O,X,O
TLZISJO,O,O,O,O,X,X,O
TLZISOJ,O,O,O,O,X,X,X
TLZIOJS,X,X,O,O,O,X,O
TLZIOSJ,X,O,O,O,X,X,X
TLZJISO,O,X,O,O,O,X,O
TLZJIOS,X,X,O,O,O,X,O
TLZJSIO,O,X,O,O,O,X,O
TLZJSOI,O,X,O,X,O,X,O
TLZJOIS,O,X,O,O,O,X,O
TLZJOSI,O,X,O,O,O,X,O
TLZSIJO,O,O,O,O,X,X,O
TLZSIOJ,O,O,O,O,X,X,X
TLZSJIO,O,O,O,O,X,X,O
TLZSJOI,O,O,O,X,X,X,O
TLZSOIJ,O,O,O,O,X,X,X
TLZSOJI,O,O,O,O,X,X,X
TLZOIJS,O,X,O,O,O,X,O
TLZOISJ,O,O,O,O,X,X,X
TLZOJIS,O,X,O,O,O,X,O
TLZOJSI,O,X,O,O,O,X,O
TLZOSIJ,O,O,O,O,X,X,X
TLZOSJI,O,O,O,O,X,X,X
TLOIJSZ,X,X,X,O,O,X,X
TLOIJZS,X,X,X,O,O,X,X
TLOISJZ,O,X,X,O,X,X,X
TLOISZJ,O,O,X,X,X,X,X
TLOIZJS,O,X,X,O,O,X,X
TLOIZSJ,O,O,X,O,X,X,X
TLOJISZ,X,X,X,O,O,X,X
TLOJIZS,X,X,X,O,O,X,X
TLOJSIZ,X,X,X,O,O,X,X
TLOJSZI,X,X,X,O,O,X,X
TLOJZIS,X,X,X,O,O,X,X
TLOJZSI,X,X,X,O,O,X,X
TLOSIJZ,O,X,X,O,X,X,X
TLOSIZJ,O,O,X,X,X,X,X
TLOSJIZ,O,X,X,O,X,X,X
TLOSJZI,O,X,X,O,X,X,X
TLOSZIJ,O,O,X,O,X,X,X
