sequence,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBliB5oBzlBet?BCsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiB6tBlr?BzsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nBOtB6t?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBCiBxnBToBlr?BWyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nB6tBOt?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBxiBzlBGoBCs?BVyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiBlrBCt?BTtB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhFlhB5nBzlB8rB6t?BOtB,v115@9gB8HeA8IeC8GeE8AeA8MeGDJvhFRlBzmBqsB/tB0l?BlrB
TSJOZIL,O,O,O,X,X,O,X,X,X
TSJOZLI,O,O,O,X,X,O,X,X,X
TSZILJO,X,O,O,O,O,X,O,X,X
TSZILOJ,X,O,O,O,O,X,O,X,X
TSZIJLO,X,O,O,O,O,X,O,X,X
TSZIJOL,X,O,O,O,O,X,O,X,X
TSZIOLJ,X,O,O,O,O,X,X,X,X
TSZIOJL,X,O,O,X,O,X,X,X,X
TSZLIJO,X,O,O,O,O,O,O,X,X
TSZLIOJ,X,O,O,O,O,O,O,X,X
TSZLJIO,X,O,O,O,O,O,O,X,X
TSZLJOI,X,O,O,O,O,O,O,X,X
TSZLOIJ,X,O,O,O,O,O,O,X,X
TSZLOJI,X,O,O,O,O,O,O,X,X
TSZJILO,X,O,O,O,O,X,O,X,X
TSZJIOL,X,O,O,O,O,O,O,X,X
TSZJLIO,X,O,O,O,O,X,O,X,X
TSZJLOI,X,O,O,O,O,X,O,X,X
TSZJOIL,X,O,O,O,O,O,O,X,X
TSZJOLI,X,O,O,O,O,O,O,X,X
TSZOILJ,X,O,O,O,O,O,X,X,X
TSZOIJL,X,O,O,X,O,O,X,X,X
TSZOLIJ,X,O,O,O,O,O,O,X,X
TSZOLJI,X,O,O,O,O,O,O,X,X
TSZOJIL,X,O,O,O,O,O,O,X,X
TSZOJLI,X,O,O,O,O,O,O,X,X
TSOILJZ,X,X,X,X,X,O,X,X,X
TSOILZJ,X,X,X,X,O,O,X,O,X
TSOIJLZ,O,X,X,X,X,O,X,X,X
TSOIJZL,O,X,O,X,X,O,X,X,X
TSOIZLJ,O,X,O,X,O,O,X,O,X
TSOIZJL,O,X,O,X,O,O,X,O,X
TSOLIJZ,X,O,X,X,X,O,X,X,X
TSOLIZJ,X,O,X,X,O,O,X,O,X
TSOLJIZ,O,O,X,X,X,O,X,X,X
TSOLJZI,O,O,X,X,X,O,X,X,X
TSOLZIJ,X,O,X,X,O,O,X,O,X
TSOLZJI,O,O,X,X,O,O,X,O,X
TSOJILZ,O,X,X,X,X,O,X,X,X
TSOJIZL,O,O,O,X,X,O,X,X,X
TSOJLIZ,O,O,X,X,X,O,X,X,X
TSOJLZI,O,O,X,X,X,O,X,X,X
TSOJZIL,O,O,O,X,X,O,X,X,X
TSOJZLI,O,O,O,X,X,O,X,X,X
TSOZILJ,O,O,O,X,O,O,X,O,X
TSOZIJL,O,O,O,X,O,O,X,O,X
TSOZLIJ,O,O,O,X,O,O,X,O,X
TSOZLJI,O,O,O,X,O,O,X,O,X
TSOZJIL,O,O,O,X,O,O,X,O,X
TSOZJLI,O,O,O,X,O,O,X,O,X
TZILJSO,X,O,O,O,O,X,O,X,X
TZILJOS,X,O,O,O,O,X,O,X,X
TZILSJO,X,O,O,O,O,X,O,X,X
TZILSOJ,X,O,O,O,O,X,O,X,X
TZILOJS,X,O,O,X,O,X,O,O,X
TZILOSJ,X,O,O,O,O,X,O,O,X
TZIJLSO,X,O,O,O,O,X,O,X,X
TZIJLOS,X,O,O,O,O,X,O,X,X
TZIJSLO,X,O,O,O,O,X,O,X,X
TZIJSOL,X,O,O,O,O,X,O,X,X
TZIJOLS,X,O,O,O,O,X,X,X,X
TZIJOSL,X,O,O,O,O,X,O,X,X
TZISLJO,X,O,O,O,O,X,O,X,X
TZISLOJ,X,O,O,O,O,X,O,X,X
TZISJLO,X,O,O,O,O,X,O,X,X
TZISJOL,X,O,O,O,O,X,O,X,X
TZISOLJ,X,O,O,O,O,X,X,X,X
TZISOJL,X,O,O,X,O,X,X,X,X
TZIOLJS,X,O,O,X,O,X,X,O,X
TZIOLSJ,X,O,O,O,O,X,X,O,X
TZIOJLS,X,O,O,X,O,X,X,O,X
TZIOJSL,X,O,O,X,O,X,X,O,X
TZIOSLJ,X,O,O,O,O,X,X,O,X
TZIOSJL,X,O,O,X,O,X,X,O,X
TZLIJSO,X,O,O,O,O,O,O,X,X
TZLIJOS,X,O,O,O,O,O,O,X,X
TZLISJO,X,O,O,O,O,O,O,X,X
TZLISOJ,X,O,O,O,O,O,O,X,X
TZLIOJS,X,O,O,X,O,X,O,O,X
TZLIOSJ,X,O,O,O,O,O,O,O,X
TZLJISO,X,O,O,O,O,O,O,X,X
TZLJIOS,X,O,O,O,O,O,O,X,X
TZLJSIO,X,O,O,O,O,O,O,X,X
TZLJSOI,X,O,O,O,O,O,O,X,X
TZLJOIS,X,O,O,O,O,O,O,X,X
TZLJOSI,X,O,O,O,O,O,O,X,X
TZLSIJO,X,O,O,O,O,O,O,X,X
TZLSIOJ,X,O,O,O,O,O,O,X,X
TZLSJIO,X,O,O,O,O,O,O,X,X
TZLSJOI,X,O,O,O,O,O,O,X,X
TZLSOIJ,X,O,O,O,O,O,O,X,X
TZLSOJI,X,O,O,O,O,O,O,X,X
TZLOIJS,X,O,O,X,O,O,O,O,X
TZLOISJ,X,O,O,O,O,O,O,O,X
TZLOJIS,X,O,O,O,O,O,O,O,X
TZLOJSI,X,O,O,O,O,O,O,O,X
TZLOSIJ,X,O,O,O,O,O,O,O,X
TZLOSJI,X,O,O,O,O,O,O,O,X
TZJILSO,X,O,O,O,O,X,O,X,X
TZJILOS,X,O,O,O,O,X,O,X,X
TZJISLO,X,O,O,O,O,X,O,X,X
TZJISOL,X,O,O,O,O,O,O,X,X
TZJIOLS,X,O,O,O,O,O,X,X,X
TZJIOSL,X,O,O,O,O,O,O,X,X
TZJLISO,X,O,O,O,O,X,O,X,X
TZJLIOS,X,O,O,O,O,X,O,X,X
TZJLSIO,X,O,O,O,O,X,O,X,X
TZJLSOI,X,O,O,O,O,X,O,X,X
TZJLOIS,X,O,O,O,O,X,O,X,X
TZJLOSI,X,O,O,O,O,X,O,X,X
TZJSILO,X,O,O,O,O,X,O,X,X
TZJSIOL,X,O,O,O,O,O,O,X,X
TZJSLIO,X,O,O,O,O,X,O,X,X
TZJSLOI,X,O,O,O,O,X,O,X,X
TZJSOIL,X,O,O,O,O,O,O,X,X
TZJSOLI,X,O,O,O,O,O,O,X,X
TZJOILS,X,O,O,O,O,O,X,X,X
TZJOISL,X,O,O,O,O,O,O,X,X
TZJOLIS,X,O,O,O,O,O,O,X,X
TZJOLSI,X,O,O,O,O,O,O,X,X
TZJOSIL,X,O,O,O,O,O,O,X,X
TZJOSLI,X,O,O,O,O,O,O,X,X
TZSILJO,X,O,O,O,O,X,O,X,X
TZSILOJ,X,O,O,O,O,X,O,X,X
TZSIJLO,X,O,O,O,O,X,O,X,X
TZSIJOL,X,O,O,O,O,X,O,X,X
TZSIOLJ,X,O,O,O,O,X,X,X,X
TZSIOJL,X,O,O,X,O,X,X,X,X
TZSLIJO,X,O,O,O,O,O,O,X,X
TZSLIOJ,X,O,O,O,O,O,O,X,X
TZSLJIO,X,O,O,O,O,O,O,X,X
TZSLJOI,X,O,O,O,O,O,O,X,X
TZSLOIJ,X,O,O,O,O,O,O,X,X
TZSLOJI,X,O,O,O,O,O,O,X,X
TZSJILO,X,O,O,O,O,X,O,X,X
TZSJIOL,X,O,O,O,O,O,O,X,X
TZSJLIO,X,O,O,O,O,X,O,X,X
TZSJLOI,X,O,O,O,O,X,O,X,X
TZSJOIL,X,O,O,O,O,O,O,X,X
TZSJOLI,X,O,O,O,O,O,O,X,X
TZSOILJ,X,O,O,O,O,O,X,X,X
TZSOIJL,X,O,O,X,O,O,X,X,X
TZSOLIJ,X,O,O,O,O,O,O,X,X
TZSOLJI,X,O,O,O,O,O,O,X,X
TZSOJIL,X,O,O,O,O,O,O,X,X
TZSOJLI,X,O,O,O,O,O,O,X,X
TZOILJS,X,O,O,X,O,O,X,O,X
TZOILSJ,X,O,O,O,O,O,X,O,X
TZOIJLS,X,O,O,X,O,O,X,O,X
TZOIJSL,X,O,O,X,O,O,X,O,X
TZOISLJ,X,O,O,O,O,O,X,O,X
TZOISJL,X,O,O,X,O,O,X,O,X
TZOLIJS,X,O,O,X,O,O,O,O,X
TZOLISJ,X,O,O,O,O,O,O,O,X
TZOLJIS,X,O,O,O,O,O,O,O,X
TZOLJSI,X,O,O,O,O,O,O,O,X
TZOLSIJ,X,O,O,O,O,O,O,O,X
TZOLSJI,X,O,O,O,O,O,O,O,X
TZOJILS,X,O,O,O,O,O,X,O,X
TZOJISL,X,O,O,O,O,O,O,O,X
TZOJLIS,X,O,O,O,O,O,O,O,X
TZOJLSI,X,O,O,O,O,O,O,O,X
TZOJSIL,X,O,O,O,O,O,O,O,X
TZOJSLI,X,O,O,O,O,O,O,O,X
TZOSILJ,X,O,O,O,O,O,X,O,X
TZOSIJL,X,O,O,X,O,O,X,O,X
TZOSLIJ,X,O,O,O,O,O,O,O,X
TZOSLJI,X,O,O,O,O,O,O,O,X
TZOSJIL,X,O,O,O,O,O,O,O,X
TZOSJLI,X,O,O,O,O,O,O,O,X
TOILJSZ,X,O,X,X,X,O,X,X,X
TOILJZS,X,O,O,X,O,O,X,X,X
TOILSJZ,X,O,X,X,X,O,X,X,O
TOILSZJ,X,O,X,X,O,O,X,O,X
TOILZJS,X,O,O,X,O,O,X,O,X
TOILZSJ,X,O,O,O,O,O,X,O,X
TOIJLSZ,O,O,X,X,X,O,X,X,X
TOIJLZS,O,O,O,X,O,O,X,X,X
TOIJSLZ,O,X,X,X,X,O,X,X,X
TOIJSZL,O,O,O,X,X,O,X,X,X
TOIJZLS,O,O,O,X,O,O,X,X,X
TOIJZSL,O,O,O,X,O,O,X,X,X
TOISLJZ,X,X,X,X,X,O,X,X,X
TOISLZJ,X,X,X,X,O,O,X,O,X
TOISJLZ,O,X,X,X,X,O,X,X,X
TOISJZL,O,X,O,X,X,O,X,X,X
TOISZLJ,O,X,O,X,O,O,X,O,X
TOISZJL,O,X,O,X,O,O,X,O,X
TOIZLJS,X,O,O,X,O,O,X,O,X
TOIZLSJ,O,O,O,O,O,O,X,O,X
TOIZJLS,O,O,O,X,O,O,X,O,X
TOIZJSL,O,O,O,X,O,O,X,O,X
TOIZSLJ,O,O,O,O,O,O,X,O,X
TOIZSJL,O,O,O,X,O,O,X,O,X
TOLIJSZ,X,O,X,X,X,O,X,X,X
TOLIJZS,X,O,O,X,O,O,X,X,X
TOLISJZ,X,O,X,X,X,O,X,X,O
TOLISZJ,X,O,X,X,O,O,X,O,X
TOLIZJS,X,O,O,X,O,O,X,O,X
TOLIZSJ,X,O,O,O,O,O,X,O,X
TOLJISZ,O,O,X,X,X,O,X,X,X
TOLJIZS,O,O,O,O,O,O,O,X,X
TOLJSIZ,O,O,X,X,X,O,X,X,X
TOLJSZI,O,O,X,X,X,O,X,X,X
TOLJZIS,O,O,O,O,O,O,O,X,X
TOLJZSI,O,O,O,O,O,O,O,X,X
TOLSIJZ,X,O,X,X,X,O,X,X,O
TOLSIZJ,X,O,X,X,O,O,X,O,X
TOLSJIZ,O,O,X,X,X,O,X,X,O
TOLSJZI,O,O,X,X,X,O,X,X,X
TOLSZIJ,X,O,X,X,O,O,X,O,X
TOLSZJI,O,O,X,X,O,O,X,O,X
TOLZIJS,X,O,O,X,O,O,O,O,X
TOLZISJ,X,O,O,O,O,O,O,O,X
TOLZJIS,O,O,O,O,O,O,O,O,X
TOLZJSI,O,O,O,O,O,O,O,O,X
TOLZSIJ,X,O,O,O,O,O,O,O,X
TOLZSJI,O,O,O,O,O,O,O,O,X
TOJILSZ,O,O,X,X,X,O,X,X,X
TOJILZS,O,O,O,O,O,O,X,X,X
TOJISLZ,O,X,X,X,X,O,X,X,X
TOJISZL,O,O,O,X,X,O,X,X,X
TOJIZLS,O,O,O,O,O,O,X,X,X
TOJIZSL,O,O,O,O,O,O,O,X,X
TOJLISZ,O,O,X,X,X,O,X,X,X
TOJLIZS,O,O,O,O,O,O,O,X,X
TOJLSIZ,O,O,X,X,X,O,X,X,X
TOJLSZI,O,O,X,X,X,O,X,X,X
TOJLZIS,O,O,O,O,O,O,O,X,X
TOJLZSI,O,O,O,O,O,O,O,X,X
TOJSILZ,O,X,X,X,X,O,X,X,X
TOJSIZL,O,O,O,X,X,O,X,X,X
TOJSLIZ,O,O,X,X,X,O,X,X,X
TOJSLZI,O,O,X,X,X,O,X,X,X
TOJSZIL,O,O,O,X,X,O,X,X,X
TOJSZLI,O,O,O,X,X,O,X,X,X
TOJZILS,O,O,O,O,O,O,X,X,X
TOJZISL,O,O,O,O,O,O,O,X,X
TOJZLIS,O,O,O,O,O,O,O,X,X
TOJZLSI,O,O,O,O,O,O,O,X,X
TOJZSIL,O,O,O,O,O,O,O,X,X
TOJZSLI,O,O,O,O,O,O,O,X,X
TOSILJZ,X,X,X,X,X,O,X,X,X
TOSILZJ,X,X,X,X,O,O,X,O,X
TOSIJLZ,O,X,X,X,X,O,X,X,X
TOSIJZL,O,X,O,X,X,O,X,X,X
TOSIZLJ,O,X,O,X,O,O,X,O,X
TOSIZJL,O,X,O,X,O,O,X,O,X
TOSLIJZ,X,O,X,X,X,O,X,X,X
TOSLIZJ,X,O,X,X,O,O,X,O,X
TOSLJIZ,O,O,X,X,X,O,X,X,X
TOSLJZI,O,O,X,X,X,O,X,X,X
TOSLZIJ,X,O,X,X,O,O,X,O,X
TOSLZJI,O,O,X,X,O,O,X,O,X
TOSJILZ,O,X,X,X,X,O,X,X,X
TOSJIZL,O,O,O,X,X,O,X,X,X
TOSJLIZ,O,O,X,X,X,O,X,X,X
TOSJLZI,O,O,X,X,X,O,X,X,X
TOSJZIL,O,O,O,X,X,O,X,X,X
TOSJZLI,O,O,O,X,X,O,X,X,X
TOSZILJ,O,O,O,X,O,O,X,O,X
TOSZIJL,O,O,O,X,O,O,X,O,X
TOSZLIJ,O,O,O,X,O,O,X,O,X
TOSZLJI,O,O,O,X,O,O,X,O,X
TOSZJIL,O,O,O,X,O,O,X,O,X
TOSZJLI,O,O,O,X,O,O,X,O,X
TOZILJS,X,O,O,X,O,O,X,O,X
TOZILSJ,O,O,O,O,O,O,X,O,X
TOZIJLS,O,O,O,X,O,O,X,O,X
TOZIJSL,O,O,O,X,O,O,X,O,X
TOZISLJ,O,O,O,O,O,O,X,O,X
TOZISJL,O,O,O,X,O,O,X,O,X
TOZLIJS,X,O,O,X,O,O,O,O,X
TOZLISJ,O,O,O,O,O,O,O,O,X
TOZLJIS,O,O,O,O,O,O,O,O,X
TOZLJSI,O,O,O,O,O,O,O,O,X
TOZLSIJ,O,O,O,O,O,O,O,O,X
TOZLSJI,O,O,O,O,O,O,O,O,X
TOZJILS,O,O,O,O,O,O,X,O,X
TOZJISL,O,O,O,O,O,O,O,O,X
TOZJLIS,O,O,O,O,O,O,O,O,X
TOZJLSI,O,O,O,O,O,O,O,O,X
TOZJSIL,O,O,O,O,O,O,O,O,X
TOZJSLI,O,O,O,O,O,O,O,O,X
TOZSILJ,O,O,O,O,O,O,X,O,X
TOZSIJL,O,O,O,X,O,O,X,O,X
TOZSLIJ,O,O,O,O,O,O,O,O,X
TOZSLJI,O,O,O,O,O,O,O,O,X
TOZSJIL,O,O,O,O,O,O,O,O,X
TOZSJLI,O,O,O,O,O,O,O,O,X
ITLJSZO,X,O,X,O,X,O,O,X,X
ITLJSOZ,X,X,X,X,X,O,X,X,X
ITLJZSO,X,O,O,O,O,O,O,X,X
ITLJZOS,X,O,O,O,O,O,O,X,X
ITLJOSZ,X,X,X,X,X,O,X,X,X
ITLJOZS,X,O,O,O,O,O,O,X,X
ITLSJZO,X,O,X,X,X,O,X,X,X
ITLSJOZ,X,X,X,X,X,O,X,X,O
ITLSZJO,X,O,X,O,O,O,X,X,X
ITLSZOJ,X,O,X,O,O,O,X,X,X
ITLSOJZ,X,X,X,X,X,X,X,X,O
ITLSOZJ,X,X,X,X,O,X,X,O,X
ITLZJSO,X,O,O,O,O,O,O,X,X
ITLZJOS,X,O,O,O,O,O,O,X,X
ITLZSJO,X,O,O,O,O,O,O,X,X
ITLZSOJ,X,O,O,O,O,O,O,X,X
ITLZOJS,X,O,O,X,O,X,O,O,X
ITLZOSJ,X,O,O,O,O,O,O,O,X
ITLOJSZ,X,X,X,X,X,O,X,X,X
ITLOJZS,X,O,O,X,O,O,X,X,X
ITLOSJZ,X,X,X,X,X,O,X,X,O
ITLOSZJ,X,X,X,X,O,O,X,O,X
ITLOZJS,X,O,O,X,O,O,X,O,X
ITLOZSJ,X,O,O,O,O,O,X,O,X
ITJLSZO,O,O,X,O,X,X,O,X,X
ITJLSOZ,O,X,X,X,X,O,X,X,X
ITJLZSO,O,O,O,O,O,X,O,X,X
ITJLZOS,O,O,O,O,O,X,O,X,X
ITJLOSZ,O,X,X,X,X,O,X,X,X
ITJLOZS,O,O,O,O,O,O,O,X,X
ITJSLZO,O,X,X,O,X,X,X,X,X
ITJSLOZ,O,X,X,X,X,O,X,X,X
ITJSZLO,X,O,O,O,X,X,O,X,X
ITJSZOL,O,O,O,O,X,O,O,X,X
ITJSOLZ,O,X,X,X,X,O,X,X,X
ITJSOZL,O,X,O,X,X,O,X,X,X
ITJZLSO,X,O,O,O,O,X,O,X,X
ITJZLOS,X,O,O,O,O,X,O,X,X
ITJZSLO,X,O,O,O,O,X,O,X,X
ITJZSOL,O,O,O,O,O,O,O,X,X
ITJZOLS,O,O,O,O,O,O,X,X,X
ITJZOSL,O,O,O,O,O,O,O,X,X
ITJOLSZ,O,O,X,X,X,O,X,X,X
ITJOLZS,O,O,O,O,O,O,X,X,X
ITJOSLZ,O,X,X,X,X,O,X,X,X
ITJOSZL,O,O,O,X,X,O,X,X,X
ITJOZLS,O,O,O,O,O,O,X,X,X
ITJOZSL,O,O,O,O,O,O,O,X,X
ITSLJZO,X,X,X,X,X,O,X,X,X
ITSLJOZ,X,X,X,X,X,O,X,X,O
ITSLZJO,X,X,X,O,O,O,X,X,X
ITSLZOJ,X,X,X,O,O,O,X,X,X
ITSLOJZ,X,X,X,X,X,X,X,X,O
ITSLOZJ,X,X,X,X,O,X,X,O,X
ITSJLZO,O,X,X,X,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,O,X,X,O
ITSJZLO,X,X,O,X,X,X,X,X,X
ITSJZOL,O,X,O,X,X,O,X,X,X
ITSJOLZ,O,X,X,X,X,O,X,X,X
ITSJOZL,O,X,O,X,X,O,X,X,X
ITSZLJO,X,X,O,O,O,X,X,X,X
ITSZLOJ,X,X,O,O,O,X,X,X,X
ITSZJLO,X,X,O,O,O,X,X,X,X
ITSZJOL,X,X,O,X,O,X,X,X,X
ITSZOLJ,X,X,O,O,O,X,X,X,X
ITSZOJL,X,X,O,X,O,X,X,X,X
ITSOLJZ,X,X,X,X,X,O,X,X,X
ITSOLZJ,X,X,X,X,O,O,X,O,X
ITSOJLZ,O,X,X,X,X,O,X,X,X
ITSOJZL,O,X,O,X,X,O,X,X,X
ITSOZLJ,O,X,O,X,O,O,X,O,X
ITSOZJL,O,X,O,X,O,O,X,O,X
ITZLJSO,X,O,O,O,O,X,O,X,X
ITZLJOS,X,O,O,O,O,X,O,X,X
ITZLSJO,X,O,O,O,O,X,O,X,X
ITZLSOJ,X,O,O,O,O,X,O,X,X
ITZLOJS,X,O,O,X,O,X,O,O,X
ITZLOSJ,X,O,O,O,O,X,O,O,X
ITZJLSO,X,O,O,O,O,X,O,X,X
ITZJLOS,X,O,O,O,O,X,O,X,X
ITZJSLO,X,O,O,O,O,X,O,X,X
ITZJSOL,X,O,O,O,O,X,O,X,X
ITZJOLS,X,O,O,O,O,X,X,X,X
ITZJOSL,X,O,O,O,O,X,O,X,X
ITZSLJO,X,O,O,O,O,X,O,X,X
ITZSLOJ,X,O,O,O,O,X,O,X,X
ITZSJLO,X,O,O,O,O,X,O,X,X
ITZSJOL,X,O,O,O,O,X,O,X,X
ITZSOLJ,X,O,O,O,O,X,X,X,X
ITZSOJL,X,O,O,X,O,X,X,X,X
ITZOLJS,X,O,O,X,O,X,X,O,X
ITZOLSJ,X,O,O,O,O,X,X,O,X
ITZOJLS,X,O,O,X,O,X,X,O,X
ITZOJSL,X,O,O,X,O,X,X,O,X
ITZOSLJ,X,O,O,O,O,X,X,O,X
ITZOSJL,X,O,O,X,O,X,X,O,X
ITOLJSZ,X,O,X,X,X,O,X,X,X
ITOLJZS,X,O,O,X,O,O,X,X,X
ITOLSJZ,X,O,X,X,X,O,X,X,O
ITOLSZJ,X,O,X,X,O,O,X,O,X
ITOLZJS,X,O,O,X,O,O,X,O,X
ITOLZSJ,X,O,O,O,O,O,X,O,X
ITOJLSZ,O,O,X,X,X,O,X,X,X
ITOJLZS,O,O,O,X,O,O,X,X,X
ITOJSLZ,O,X,X,X,X,O,X,X,X
ITOJSZL,O,O,O,X,X,O,X,X,X
ITOJZLS,O,O,O,X,O,O,X,X,X
ITOJZSL,O,O,O,X,O,O,X,X,X
ITOSLJZ,X,X,X,X,X,O,X,X,X
ITOSLZJ,X,X,X,X,O,O,X,O,X
ITOSJLZ,O,X,X,X,X,O,X,X,X
ITOSJZL,O,X,O,X,X,O,X,X,X
ITOSZLJ,O,X,O,X,O,O,X,O,X
ITOSZJL,O,X,O,X,O,O,X,O,X
ITOZLJS,X,O,O,X,O,O,X,O,X
ITOZLSJ,O,O,O,O,O,O,X,O,X
ITOZJLS,O,O,O,X,O,O,X,O,X
ITOZJSL,O,O,O,X,O,O,X,O,X
ITOZSLJ,O,O,O,O,O,O,X,O,X
ITOZSJL,O,O,O,X,O,O,X,O,X
ILTJSZO,X,O,X,X,X,O,O,X,X
ILTJSOZ,X,X,X,X,X,O,X,X,X
ILTJZSO,X,O,O,X,O,O,O,X,X
ILTJZOS,X,O,O,X,O,O,O,X,X
ILTJOSZ,X,X,X,X,X,O,X,X,X
ILTJOZS,X,O,O,X,O,O,O,X,X
ILTSJZO,X,O,X,X,X,O,X,X,X
ILTSJOZ,X,X,X,X,X,O,X,X,O
ILTSZJO,X,O,X,X,O,O,X,X,X
ILTSZOJ,X,O,X,X,O,O,X,X,X
ILTSOJZ,X,X,X,X,X,X,X,X,O
ILTSOZJ,X,X,X,X,O,X,X,O,X
ILTZJSO,X,O,O,X,O,O,O,X,X
ILTZJOS,X,O,O,X,O,O,O,X,X
ILTZSJO,X,O,O,X,O,O,O,X,X
ILTZSOJ,X,O,O,X,O,O,O,X,X
ILTZOJS,X,O,O,X,O,X,O,O,X
ILTZOSJ,X,O,O,X,O,O,O,O,X
ILTOJSZ,X,X,X,X,X,O,X,X,X
ILTOJZS,X,O,O,X,O,O,X,X,X
ILTOSJZ,X,X,X,X,X,O,X,X,O
ILTOSZJ,X,X,X,X,O,O,X,O,X
ILTOZJS,X,O,O,X,O,O,X,O,X
ILTOZSJ,X,O,O,X,O,O,X,O,X
ILJTSZO,O,O,X,X,X,X,X,X,X
ILJTSOZ,O,X,X,X,X,X,X,X,X
ILJTZSO,O,O,O,X,O,X,X,X,X
ILJTZOS,O,O,O,X,O,X,X,X,X
ILJTOSZ,O,X,X,X,X,X,X,X,X
ILJTOZS,O,O,O,X,O,X,X,X,X
ILJSTZO,O,X,X,X,X,X,X,X,X
ILJSTOZ,O,X,X,X,X,X,X,X,O
ILJSZTO,O,X,O,X,O,X,X,X,X
ILJSZOT,O,X,X,X,X,X,X,X,O
ILJSOTZ,O,X,X,X,X,X,X,X,O
ILJSOZT,O,X,X,X,X,X,X,O,O
ILJZTSO,O,X,O,X,O,X,X,X,X
ILJZTOS,O,X,O,X,O,X,X,X,X
ILJZSTO,O,X,O,X,O,X,X,X,X
ILJZSOT,O,X,X,X,X,X,X,X,X
ILJZOTS,O,X,X,X,X,X,X,O,X
ILJZOST,O,X,X,X,X,X,X,O,X
ILJOTSZ,O,X,X,X,X,X,X,X,X
ILJOTZS,O,X,X,X,X,X,X,X,X
ILJOSTZ,O,X,X,X,X,X,X,X,O
ILJOSZT,O,X,X,X,X,X,X,O,O
ILJOZTS,O,X,X,X,X,X,X,O,X
ILJOZST,O,X,X,X,X,X,X,O,X
ILSTJZO,X,O,X,X,X,O,X,X,X
ILSTJOZ,X,X,X,X,X,O,X,X,O
ILSTZJO,X,O,X,X,O,O,X,X,X
ILSTZOJ,X,O,X,X,O,O,X,X,X
ILSTOJZ,X,X,X,X,X,X,X,X,O
ILSTOZJ,X,X,X,X,O,X,X,O,X
ILSJTZO,O,X,X,X,X,X,X,X,X
ILSJTOZ,O,X,X,X,X,X,X,X,O
ILSJZTO,O,X,O,X,O,X,X,X,X
ILSJZOT,O,X,X,X,X,X,X,X,O
ILSJOTZ,O,X,X,X,X,X,X,X,O
ILSJOZT,O,X,X,X,X,X,X,O,O
ILSZTJO,X,O,O,X,O,O,O,X,X
ILSZTOJ,X,O,O,X,O,O,O,X,X
ILSZJTO,O,X,O,X,O,O,X,X,X
ILSZJOT,O,X,X,X,X,O,X,X,O
ILSZOTJ,X,X,X,X,O,O,X,O,X
ILSZOJT,X,X,X,X,X,O,X,O,O
ILSOTJZ,X,X,X,X,X,X,X,X,O
ILSOTZJ,X,X,X,X,X,X,X,O,X
ILSOJTZ,O,X,X,X,X,X,X,X,O
ILSOJZT,O,X,X,X,X,X,X,O,O
ILSOZTJ,O,X,X,X,O,X,X,O,X
ILSOZJT,O,X,X,X,X,X,X,O,O
ILZTJSO,X,O,O,X,O,O,O,X,X
ILZTJOS,X,O,O,X,O,O,O,X,X
ILZTSJO,X,O,O,X,O,O,O,X,X
ILZTSOJ,X,O,O,X,O,O,O,X,X
ILZTOJS,X,O,O,X,O,X,O,O,X
ILZTOSJ,X,O,O,X,O,O,O,O,X
ILZJTSO,O,X,O,X,O,X,X,X,X
ILZJTOS,O,X,O,X,O,X,X,X,X
ILZJSTO,O,X,O,X,O,O,X,X,X
ILZJSOT,O,X,X,X,X,O,X,X,X
ILZJOTS,O,X,X,X,X,X,X,O,X
ILZJOST,O,X,X,X,X,X,X,O,X
ILZSTJO,X,O,O,X,O,O,O,X,X
ILZSTOJ,X,O,O,X,O,O,O,X,X
ILZSJTO,O,X,O,X,O,O,X,X,X
ILZSJOT,O,X,X,X,X,O,X,X,O
ILZSOTJ,X,X,X,X,O,O,X,O,X
ILZSOJT,X,X,X,X,X,O,X,O,O
ILZOTJS,X,X,X,X,O,X,X,O,X
ILZOTSJ,X,X,X,X,O,X,X,O,X
ILZOJTS,X,X,X,X,X,X,X,O,X
ILZOJST,X,X,X,X,X,X,X,O,X
ILZOSTJ,X,X,X,X,O,O,X,O,X
ILZOSJT,X,X,X,X,X,O,X,O,O
ILOTJSZ,X,X,X,X,X,O,X,X,X
ILOTJZS,X,O,X,X,O,O,X,X,X
ILOTSJZ,X,X,X,X,X,O,X,X,O
ILOTSZJ,X,X,X,X,O,O,X,O,X
ILOTZJS,X,O,X,X,O,O,X,O,X
ILOTZSJ,X,O,X,X,O,O,X,O,X
ILOJTSZ,O,X,X,X,X,X,X,X,X
ILOJTZS,O,X,X,X,X,X,X,X,X
ILOJSTZ,O,X,X,X,X,X,X,X,O
ILOJSZT,O,X,X,X,X,X,X,O,O
ILOJZTS,O,X,X,X,X,X,X,O,X
