sequence,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBliB5oBzlBet?BCsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiB6tBlr?BzsB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nBOtB6t?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBCiBxnBToBlr?BWyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBzhB5nB6tBOt?BlrB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF0hBxiBzlBGoBCs?BVyB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhF8lBWnBxiBlrBCt?BTtB,v115@9gB8HeA8IeC8GeE8AeA8MeXAJvhFlhB5nBzlB8rB6t?BOtB,v115@9gB8HeA8IeC8GeE8AeA8MeGDJvhFRlBzmBqsB/tB0l?BlrB
TIOJSZL,O,O,O,X,X,O,X,X,X
TIOJZLS,O,O,O,X,O,O,X,X,X
TIOJZSL,O,O,O,X,O,O,X,X,X
TIOSLJZ,X,X,X,X,X,O,X,X,X
TIOSLZJ,X,X,X,X,O,O,X,O,X
TIOSJLZ,O,X,X,X,X,O,X,X,X
TIOSJZL,O,X,O,X,X,O,X,X,X
TIOSZLJ,O,X,O,X,O,O,X,O,X
TIOSZJL,O,X,O,X,O,O,X,O,X
TIOZLJS,X,O,O,X,O,O,X,O,X
TIOZLSJ,O,O,O,O,O,O,X,O,X
TIOZJLS,O,O,O,X,O,O,X,O,X
TIOZJSL,O,O,O,X,O,O,X,O,X
TIOZSLJ,O,O,O,O,O,O,X,O,X
TIOZSJL,O,O,O,X,O,O,X,O,X
TLIJSZO,X,O,X,O,X,O,O,X,X
TLIJSOZ,X,X,X,X,X,O,X,X,X
TLIJZSO,X,O,O,O,O,O,O,X,X
TLIJZOS,X,O,O,O,O,O,O,X,X
TLIJOSZ,X,X,X,X,X,O,X,X,X
TLIJOZS,X,O,O,O,O,O,O,X,X
TLISJZO,X,O,X,X,X,O,X,X,X
TLISJOZ,X,X,X,X,X,O,X,X,O
TLISZJO,X,O,X,O,O,O,X,X,X
TLISZOJ,X,O,X,O,O,O,X,X,X
TLISOJZ,X,X,X,X,X,X,X,X,O
TLISOZJ,X,X,X,X,O,X,X,O,X
TLIZJSO,X,O,O,O,O,O,O,X,X
TLIZJOS,X,O,O,O,O,O,O,X,X
TLIZSJO,X,O,O,O,O,O,O,X,X
TLIZSOJ,X,O,O,O,O,O,O,X,X
TLIZOJS,X,O,O,X,O,X,O,O,X
TLIZOSJ,X,O,O,O,O,O,O,O,X
TLIOJSZ,X,X,X,X,X,O,X,X,X
TLIOJZS,X,O,O,X,O,O,X,X,X
TLIOSJZ,X,X,X,X,X,O,X,X,O
TLIOSZJ,X,X,X,X,O,O,X,O,X
TLIOZJS,X,O,O,X,O,O,X,O,X
TLIOZSJ,X,O,O,O,O,O,X,O,X
TLJISZO,O,O,X,O,X,O,O,X,X
TLJISOZ,O,X,X,X,X,O,X,X,X
TLJIZSO,O,O,O,O,O,O,O,X,X
TLJIZOS,O,O,O,O,O,O,O,X,X
TLJIOSZ,O,X,X,X,X,O,X,X,X
TLJIOZS,O,O,O,O,O,O,O,X,X
TLJSIZO,O,O,X,O,X,O,O,X,X
TLJSIOZ,O,X,X,X,X,O,X,X,X
TLJSZIO,O,O,X,O,X,O,O,X,X
TLJSZOI,O,O,X,O,X,O,O,X,X
TLJSOIZ,O,X,X,X,X,O,X,X,X
TLJSOZI,O,X,X,X,X,O,X,X,X
TLJZISO,O,O,O,O,O,O,O,X,X
TLJZIOS,O,O,O,O,O,O,O,X,X
TLJZSIO,O,O,O,O,O,O,O,X,X
TLJZSOI,O,O,O,O,O,O,O,X,X
TLJZOIS,O,O,O,O,O,O,O,X,X
TLJZOSI,O,O,O,O,O,O,O,X,X
TLJOISZ,O,O,X,X,X,O,X,X,X
TLJOIZS,O,O,O,O,O,O,O,X,X
TLJOSIZ,O,O,X,X,X,O,X,X,X
TLJOSZI,O,O,X,X,X,O,X,X,X
TLJOZIS,O,O,O,O,O,O,O,X,X
TLJOZSI,O,O,O,O,O,O,O,X,X
TLSIJZO,X,O,X,X,X,O,X,X,X
TLSIJOZ,X,X,X,X,X,O,X,X,O
TLSIZJO,X,O,X,O,O,O,X,X,X
TLSIZOJ,X,O,X,O,O,O,X,X,X
TLSIOJZ,X,X,X,X,X,X,X,X,O
TLSIOZJ,X,X,X,X,O,X,X,O,X
TLSJIZO,O,O,X,O,X,O,O,X,X
TLSJIOZ,O,X,X,X,X,O,X,X,O
TLSJZIO,O,O,X,O,X,O,O,X,X
TLSJZOI,O,O,X,O,X,O,O,X,X
TLSJOIZ,O,X,X,X,X,O,X,X,O
TLSJOZI,O,X,X,X,X,O,X,X,X
TLSZIJO,X,O,X,O,O,O,O,X,X
TLSZIOJ,X,O,X,O,O,O,O,X,X
TLSZJIO,O,O,X,O,O,O,O,X,X
TLSZJOI,O,O,X,O,O,O,O,X,X
TLSZOIJ,X,O,X,O,O,O,O,X,X
TLSZOJI,X,O,X,O,O,O,O,X,X
TLSOIJZ,X,X,X,X,X,O,X,X,O
TLSOIZJ,X,X,X,X,O,O,X,O,X
TLSOJIZ,X,X,X,X,X,O,X,X,O
TLSOJZI,X,X,X,X,X,O,X,X,X
TLSOZIJ,X,X,X,X,O,O,X,O,X
TLSOZJI,X,X,X,X,O,O,X,O,X
TLZIJSO,X,O,O,O,O,O,O,X,X
TLZIJOS,X,O,O,O,O,O,O,X,X
TLZISJO,X,O,O,O,O,O,O,X,X
TLZISOJ,X,O,O,O,O,O,O,X,X
TLZIOJS,X,O,O,X,O,X,O,O,X
TLZIOSJ,X,O,O,O,O,O,O,O,X
TLZJISO,O,O,O,O,O,O,O,X,X
TLZJIOS,O,O,O,O,O,O,O,X,X
TLZJSIO,O,O,O,O,O,O,O,X,X
TLZJSOI,O,O,O,O,O,O,O,X,X
TLZJOIS,O,O,O,O,O,O,O,X,X
TLZJOSI,O,O,O,O,O,O,O,X,X
TLZSIJO,X,O,O,O,O,O,O,X,X
