sequence,v115@FhB8HeB8BeA8FeE8DeB8Jem/IvhFRhBqnBTkBfrBUs?BlrB,v115@FhB8HeB8BeA8FeE8DeB8Jem/IvhFUhBFiBTkBfrBRs?BSxB,v115@FhB8HeB8BeA8FeE8DeB8Jem/IvhFqlB/mBTkB0nBFn?BxwB,v115@FhB8HeB8BeA8FeE8DeB8Jex/IvhFcnBTkBllB+rBim?B3sB,v115@FhB8HeB8BeA8FeE8DeB8Jei/IvhFulB3kBTmB0nBFn?BxwB,v115@FhB8HeB8BeA8FeE8DeB8JeKEJvhFzfBRhBcnBGrB3s?BFrB,v115@FhB8HeB8BeA8FeE8DeB8JemAJvhFxkBCnBTkBFnBUr?B3sB,v115@FhB8HeB8BeA8FeE8DeB8Jex/IvhF/mBGiBTkB0lBls?BywB,v115@FhB8HeB8BeA8FeE8DeB8JeGBJvhFlkBzlB0nBikBXn?BxwB,v115@FhB8HeB8BeA8FeE8DeB8Je2EJvhFzgBSrB0nB3kBFn?BxwB,v115@FhB8HeB8BeA8FeE8DeB8JeKEJvhFzfBxhB1sBGrBfr?BUsB,v115@FhB8HeB8BeA8FeE8DeB8Jex/IvhFTkB0lBCnBlsBOr?BXsB,v115@FhB8HeB8BeA8FeE8DeB8Jei/IvhF3kBRmB1sBGmBUr?BTsB,v115@FhB8HeB8BeA8FeE8DeB8JeyEJvhFulBxmBTkBcrBls?BXsB,v115@FhB8HeB8BeA8FeE8DeB8JeOEJvhF8kBXiBzlBRsBSx?BFrB,v115@FhB8HeB8BeA8FeE8DeB8JeyEJvhFXhBFnBTkBWrB0n?BxwB,v115@FhB8HeB8BeA8FeE8DeB8JeOEJvhF8kBRmB1sBfrB6r?BTsB
TILJSZO,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TILSJZO,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,O,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X
TILSZJO,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TILSZOJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TILSOJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSOZJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TILZJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
TILZJOS,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TILZSJO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZSOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZOJS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TILZOSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOJSZ,X,O,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TILOJZS,X,X,O,X,X,X,X,X,O,O,O,X,X,O,X,X,X
TILOSJZ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOSZJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILOZJS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TILOZSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJLSZO,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X
TIJSLZO,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X
TIJSLOZ,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X
TIJSZLO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
TIJZLOS,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TIJZSLO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIJZSOL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJZOLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TIJOLSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
TIJOSLZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOZSL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISLJZO,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X
TISLJOZ,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X
TISLZJO,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TISLZOJ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
TISLOJZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TISLOZJ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
TISJLZO,X,O,X,X,X,X,O,X,X,X,X,X,O,O,X,O,X
TISJLOZ,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X
TISJZLO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X
TISZLOJ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X
TISZJLO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TISZJOL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZOLJ,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TISZOJL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISOLJZ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TISOLZJ,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,O,X
TISOJLZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISOZLJ,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
TIZLJOS,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X
TIZLSJO,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TIZLSOJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X
TIZLOJS,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X
TIZLOSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O
