sequence,v115@YhF8AeF8Jei/IvhFRhBcnBTjB3kBGmBlqB,v115@YhF8AeF8JeOEJvhF8kBChBTjBxmBXnBlqB,v115@YhF8AeF8Jel/IvhF3gBRiBSoB2pB8qBzrB,v115@YhF8AeF8Je0/IvhFxhBTjB2pBFmBXnB6qB,v115@YhF8AeF8Jei/IvhF3gBGjB1pB8qBRsBzrB,v115@YhF8AeF8JeKEJvhFxhBTjBUlBFmBXnBGqB,v115@YhF8AeF8JeOEJvhFTjBClBxmB/qBUrBFsB
TILJSZO,X,X,X,X,O,X,X
TILJSOZ,X,X,X,X,X,X,X
TILJZSO,X,O,X,X,O,X,X
TILJZOS,X,O,X,X,O,X,X
TILJOSZ,X,X,X,X,X,X,O
TILJOZS,X,O,X,X,O,X,O
TILSJZO,X,X,X,X,O,O,X
TILSJOZ,X,X,X,X,X,O,X
TILSZJO,X,O,X,X,O,O,X
TILSZOJ,X,O,X,X,O,O,X
TILSOJZ,X,X,X,X,X,O,X
TILSOZJ,X,O,X,X,X,O,X
TILZJSO,X,O,X,X,O,X,X
TILZJOS,X,O,X,X,O,X,X
TILZSJO,X,O,X,X,O,O,X
TILZSOJ,X,O,X,X,O,O,X
TILZOJS,X,O,X,X,O,X,X
TILZOSJ,X,O,X,X,O,O,X
TILOJSZ,X,X,X,X,X,X,O
TILOJZS,X,O,X,X,O,X,O
TILOSJZ,X,X,X,X,X,O,X
TILOSZJ,X,O,X,X,X,O,X
TILOZJS,X,O,X,X,O,X,X
TILOZSJ,X,O,X,X,O,O,X
TIJLSZO,X,X,X,X,O,X,X
TIJLSOZ,X,X,X,X,X,X,X
TIJLZSO,X,O,X,X,O,X,X
TIJLZOS,X,O,X,X,O,X,X
TIJLOSZ,X,X,X,X,X,X,O
TIJLOZS,X,O,X,X,O,X,O
TIJSLZO,O,X,X,O,O,X,X
TIJSLOZ,O,X,X,O,X,X,X
TIJSZLO,O,X,X,O,O,X,X
TIJSZOL,O,X,X,O,O,X,X
TIJSOLZ,O,X,X,O,X,X,X
TIJSOZL,O,X,X,O,X,X,X
TIJZLSO,O,O,X,X,O,X,X
TIJZLOS,O,O,X,X,O,X,X
TIJZSLO,O,O,X,O,O,X,X
TIJZSOL,O,O,X,O,O,X,X
TIJZOLS,O,O,X,X,O,X,X
TIJZOSL,O,O,X,O,O,X,X
TIJOLSZ,X,X,X,X,X,X,O
TIJOLZS,X,O,X,X,O,X,O
TIJOSLZ,O,X,X,O,X,X,X
TIJOSZL,O,X,X,O,X,X,X
TIJOZLS,O,O,X,X,O,X,X
TIJOZSL,O,O,X,O,O,X,X
TISLJZO,O,X,X,O,O,O,X
TISLJOZ,O,X,X,O,X,O,X
TISLZJO,O,O,X,X,O,O,X
TISLZOJ,O,O,X,X,O,O,X
TISLOJZ,O,X,X,O,X,O,X
TISLOZJ,O,O,X,X,X,O,X
TISJLZO,O,X,X,O,O,O,X
TISJLOZ,O,X,X,O,X,O,X
TISJZLO,O,X,X,O,O,X,X
TISJZOL,O,X,X,O,O,X,X
TISJOLZ,O,X,X,O,X,O,X
TISJOZL,O,X,X,O,X,X,X
TISZLJO,O,O,X,X,O,O,X
TISZLOJ,O,O,X,X,O,O,X
TISZJLO,O,O,X,O,O,X,X
TISZJOL,O,O,X,O,O,X,X
TISZOLJ,O,O,X,X,O,O,X
TISZOJL,O,O,X,O,O,X,X
TISOLJZ,O,X,X,O,X,O,X
TISOLZJ,O,O,X,X,X,O,X
TISOJLZ,O,X,X,O,X,O,X
TISOJZL,O,X,X,O,X,X,X
TISOZLJ,O,O,X,X,X,O,X
TISOZJL,O,O,X,O,X,X,X
TIZLJSO,O,O,X,X,O,X,X
TIZLJOS,O,O,X,X,O,X,X
TIZLSJO,O,O,X,X,O,X,X
TIZLSOJ,O,O,X,X,O,X,X
TIZLOJS,O,O,X,X,O,X,X
TIZLOSJ,O,O,X,X,O,X,X
TIZJLSO,O,O,X,X,O,X,X
TIZJLOS,O,O,X,X,O,X,X
TIZJSLO,O,O,X,X,O,X,X
TIZJSOL,O,O,X,X,O,X,X
TIZJOLS,O,O,X,X,O,X,X
TIZJOSL,O,O,X,X,O,X,X
TIZSLJO,O,O,X,X,O,X,X
TIZSLOJ,O,O,X,X,O,X,X
TIZSJLO,O,O,X,X,O,X,X
TIZSJOL,O,O,X,X,O,X,X
TIZSOLJ,O,O,X,X,O,X,X
TIZSOJL,O,O,X,X,O,X,X
TIZOLJS,O,O,X,X,O,X,X
TIZOLSJ,O,O,X,X,O,X,X
TIZOJLS,O,O,X,X,O,X,X
