sequence,v115@RhC8GeF8AeC8JeT/IvhF/lBRhBGjBimBUoBFsB,v115@RhC8GeF8AeC8JeT/IvhFmhBfoB6oBxlB0lBFsB,v115@RhC8GeF8AeC8Je2EJvhFRgBUiBFjBzlBfsBSyB,v115@RhC8GeF8AeC8JeT/IvhFxgBXjB0lBlmBStBOsB,v115@RhC8GeF8AeC8Jei/IvhFUiBGjBRlBfsBVyBzqB,v115@RhC8GeF8AeC8JeT/IvhFxgB+oB0lBlmB3nBisB,v115@RhC8GeF8AeC8JeT/IvhF6oBxlBmnBllB3mBcsB
TILJSZO,X,O,X,X,O,X,X
TILJSOZ,X,O,X,X,O,X,X
TILJZSO,X,X,X,X,O,X,X
TILJZOS,X,X,X,X,X,X,X
TILJOSZ,X,O,X,X,O,X,O
TILJOZS,X,X,X,X,X,X,O
TILSJZO,O,O,X,X,O,X,X
TILSJOZ,O,O,X,X,O,X,X
TILSZJO,O,O,X,O,O,X,X
TILSZOJ,O,O,X,O,O,X,X
TILSOJZ,O,O,X,X,O,X,X
TILSOZJ,O,O,X,O,O,X,X
TILZJSO,O,X,X,O,O,X,X
TILZJOS,O,X,X,O,X,X,X
TILZSJO,O,X,X,O,O,X,X
TILZSOJ,O,X,X,O,O,X,X
TILZOJS,O,X,X,O,X,X,X
TILZOSJ,O,X,X,O,X,X,X
TILOJSZ,X,O,X,X,O,X,O
TILOJZS,X,X,X,X,X,X,O
TILOSJZ,O,O,X,X,O,X,X
TILOSZJ,O,O,X,O,O,X,X
TILOZJS,O,X,X,O,X,X,X
TILOZSJ,O,X,X,O,X,X,X
TIJLSZO,X,O,X,X,O,X,X
TIJLSOZ,X,O,X,X,O,X,X
TIJLZSO,X,X,X,X,O,X,X
TIJLZOS,X,X,X,X,X,X,X
TIJLOSZ,X,O,X,X,O,X,O
TIJLOZS,X,X,X,X,X,X,O
TIJSLZO,X,O,X,X,O,X,X
TIJSLOZ,X,O,X,X,O,X,X
TIJSZLO,X,O,X,X,O,O,X
TIJSZOL,X,O,X,X,O,O,X
TIJSOLZ,X,O,X,X,O,X,X
TIJSOZL,X,O,X,X,O,O,X
TIJZLSO,X,X,X,X,O,O,X
TIJZLOS,X,X,X,X,X,O,X
TIJZSLO,X,O,X,X,O,O,X
TIJZSOL,X,O,X,X,O,O,X
TIJZOLS,X,X,X,X,X,O,X
TIJZOSL,X,O,X,X,X,O,X
TIJOLSZ,X,O,X,X,O,X,O
TIJOLZS,X,X,X,X,X,X,O
TIJOSLZ,X,O,X,X,O,X,X
TIJOSZL,X,O,X,X,O,O,X
TIJOZLS,X,X,X,X,X,O,X
TIJOZSL,X,O,X,X,X,O,X
TISLJZO,O,O,X,X,O,X,X
TISLJOZ,O,O,X,X,O,X,X
TISLZJO,O,O,X,X,O,X,X
TISLZOJ,O,O,X,X,O,X,X
