sequence,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFlhB3iB5oBU?mBywBzsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFXhBliB5oBU?nBTrByxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFiiB5oBFmBf?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PexAJvhF/nBGjBilBc?rBVxBTtB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF/nB5oBFmBa?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF6oBFmBXnB0?nBTrBxxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhB6oBFmB3?rBUtBTsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhBTnB0rBX?tB6tBFrB
TIOZLSJ,O,O,X,X,X,X,X,X
TIOZJLS,O,O,X,X,X,X,X,X
TIOZJSL,O,O,O,X,O,X,X,X
TIOZSLJ,O,O,O,X,X,X,X,X
TIOZSJL,O,O,O,X,O,X,X,X
TLIJSZO,O,O,O,X,X,O,X,X
TLIJSOZ,O,O,X,X,X,O,X,X
TLIJZSO,O,O,O,X,O,O,X,X
TLIJZOS,O,O,X,X,X,X,X,X
TLIJOSZ,X,O,X,X,X,O,X,X
TLIJOZS,X,O,X,X,X,X,X,X
TLISJZO,O,O,O,X,X,O,X,X
TLISJOZ,O,O,X,X,X,O,X,X
TLISZJO,O,O,O,X,X,O,X,X
TLISZOJ,O,O,O,X,X,X,X,X
TLISOJZ,O,O,X,X,X,O,X,X
TLISOZJ,X,O,X,X,X,X,X,X
TLIZJSO,O,O,O,O,O,O,X,X
TLIZJOS,O,O,X,X,X,X,X,X
TLIZSJO,O,O,O,O,O,O,X,X
TLIZSOJ,O,O,O,O,X,X,X,X
TLIZOJS,O,O,X,O,X,X,X,X
TLIZOSJ,O,O,X,O,X,X,X,X
TLIOJSZ,X,O,X,X,X,O,X,X
TLIOJZS,X,O,X,X,X,X,X,X
TLIOSJZ,X,O,X,X,X,O,X,X
TLIOSZJ,X,O,X,X,X,X,X,X
TLIOZJS,X,O,X,O,X,X,X,X
TLIOZSJ,X,O,X,O,X,X,X,X
TLJISZO,O,O,O,X,X,O,X,X
TLJISOZ,O,O,X,X,X,O,X,X
TLJIZSO,O,O,O,X,O,O,X,X
TLJIZOS,O,O,X,X,X,X,X,X
TLJIOSZ,X,O,X,X,X,O,X,X
TLJIOZS,X,O,X,X,X,X,X,X
TLJSIZO,O,O,O,X,X,O,O,X
TLJSIOZ,O,O,X,X,X,O,X,X
TLJSZIO,O,O,O,X,X,X,X,X
TLJSZOI,O,O,O,X,X,X,X,X
TLJSOIZ,O,O,X,X,X,X,X,X
TLJSOZI,X,O,X,X,X,X,X,X
TLJZISO,O,O,O,X,O,O,X,X
TLJZIOS,O,O,X,X,X,X,X,X
TLJZSIO,O,O,X,X,O,X,O,X
TLJZSOI,O,O,X,X,X,X,O,X
TLJZOIS,O,O,X,X,X,X,X,X
TLJZOSI,O,O,X,X,X,X,X,X
TLJOISZ,X,O,X,X,X,O,X,X
TLJOIZS,X,O,X,X,X,X,X,X
TLJOSIZ,X,O,X,X,X,X,X,X
TLJOSZI,X,O,X,X,X,X,X,X
TLJOZIS,X,O,X,X,X,X,X,X
TLJOZSI,X,O,X,X,X,X,X,X
TLSIJZO,O,O,O,X,X,O,O,X
TLSIJOZ,O,O,X,X,X,O,X,X
TLSIZJO,O,O,O,X,X,O,O,X
TLSIZOJ,O,O,O,X,X,X,O,X
TLSIOJZ,O,O,X,X,X,O,X,X
TLSIOZJ,X,O,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,O,O,X
TLSJIOZ,O,O,X,X,X,O,X,X
TLSJZIO,O,O,O,O,X,X,X,X
TLSJZOI,O,O,O,O,X,X,X,X
TLSJOIZ,O,O,X,X,X,X,X,X
TLSJOZI,X,O,X,X,X,X,X,X
TLSZIJO,O,O,O,O,X,X,X,X
TLSZIOJ,O,O,O,O,X,X,X,X
TLSZJIO,O,O,O,O,X,X,X,X
TLSZJOI,O,O,O,O,X,X,X,X
TLSZOIJ,O,O,O,O,X,X,X,X
