sequence,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFlhB3iB5oBU?mBywBzsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFXhBliB5oBU?nBTrByxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFiiB5oBFmBf?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PexAJvhF/nBGjBilBc?rBVxBTtB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF/nB5oBFmBa?tBUsBTrB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhF6oBFmBXnB0?nBTrBxxB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhB6oBFmB3?rBUtBTsB,v115@9gB8HeB8FeA8AeB8AeA8FeD8PeOFJvhFxhBTnB0rBX?tB6tBFrB
TSOIZJL,O,O,X,X,X,X,O,X
TSOLIJZ,O,O,X,X,X,X,X,X
TSOLIZJ,O,O,X,X,X,X,X,X
TSOLJIZ,O,O,X,X,X,X,X,X
TSOLJZI,O,O,X,X,X,X,X,X
TSOLZIJ,O,O,X,X,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X,X
TSOJILZ,O,O,X,X,X,X,X,X
TSOJIZL,O,O,X,X,X,X,O,X
TSOJLIZ,O,O,X,X,X,X,X,X
TSOJLZI,O,O,X,X,X,X,X,X
TSOJZIL,O,O,X,O,X,X,X,O
TSOJZLI,O,O,X,O,X,X,X,O
TSOZILJ,O,O,X,X,X,X,X,X
TSOZIJL,O,O,X,O,X,X,X,O
TSOZLIJ,O,O,X,O,X,X,X,X
TSOZLJI,O,O,X,O,X,X,X,X
TSOZJIL,O,O,X,O,X,X,X,O
TSOZJLI,O,O,X,O,X,X,X,O
TZILJSO,O,O,O,O,O,O,X,X
TZILJOS,O,O,X,X,X,X,X,X
TZILSJO,O,O,O,O,O,O,X,X
TZILSOJ,O,O,O,O,X,X,X,X
TZILOJS,O,O,X,X,X,X,X,X
TZILOSJ,O,O,X,O,X,X,X,X
TZIJLSO,O,O,O,X,O,O,X,X
TZIJLOS,O,O,X,X,X,X,X,X
TZIJSLO,O,O,O,O,O,O,X,X
TZIJSOL,O,O,O,O,O,X,X,X
TZIJOLS,O,X,X,X,X,X,X,X
TZIJOSL,O,O,O,X,O,X,X,X
TZISLJO,O,X,O,O,O,O,X,X
TZISLOJ,X,X,O,O,X,X,X,X
TZISJLO,O,O,O,O,O,O,X,X
TZISJOL,O,O,O,O,O,X,X,X
TZISOLJ,X,X,O,X,X,X,X,X
TZISOJL,O,X,O,O,O,X,X,X
TZIOLJS,O,X,X,X,X,X,X,X
TZIOLSJ,O,X,X,O,X,X,X,X
TZIOJLS,O,X,X,X,X,X,X,X
TZIOJSL,O,O,O,O,O,X,X,X
TZIOSLJ,O,X,O,O,X,X,X,X
TZIOSJL,O,O,O,O,O,X,X,X
TZLIJSO,O,O,O,O,O,O,X,X
TZLIJOS,O,O,X,X,X,X,X,X
TZLISJO,O,O,O,O,O,O,X,X
TZLISOJ,O,O,O,O,X,X,X,X
TZLIOJS,O,O,X,O,X,X,X,X
TZLIOSJ,O,O,X,O,X,X,X,X
TZLJISO,O,O,O,O,O,O,X,X
TZLJIOS,O,O,X,X,X,X,X,X
TZLJSIO,O,O,X,O,O,X,O,X
TZLJSOI,O,O,X,O,X,X,O,X
TZLJOIS,O,O,X,X,X,X,X,X
TZLJOSI,O,O,X,X,X,X,X,X
TZLSIJO,O,O,X,O,O,X,O,X
TZLSIOJ,O,O,X,O,X,X,O,X
TZLSJIO,O,O,X,O,O,X,O,X
TZLSJOI,O,O,X,O,X,X,O,X
TZLSOIJ,O,O,X,O,X,X,O,X
TZLSOJI,O,O,X,O,X,X,O,X
TZLOIJS,O,O,X,O,X,X,X,X
TZLOISJ,O,O,X,O,X,X,X,X
TZLOJIS,O,O,X,O,X,X,X,X
TZLOJSI,O,O,X,O,X,X,X,X
TZLOSIJ,O,O,X,O,X,X,X,X
TZLOSJI,O,O,X,O,X,X,X,X
TZJILSO,O,O,O,X,O,O,X,X
TZJILOS,O,O,X,X,X,X,X,X
TZJISLO,O,O,O,O,O,O,X,X
TZJISOL,O,O,O,O,O,X,X,X
TZJIOLS,O,X,X,X,X,X,X,X
TZJIOSL,O,O,O,X,O,X,X,X
TZJLISO,O,O,O,O,O,O,X,X
TZJLIOS,O,O,X,X,X,X,X,X
TZJLSIO,O,O,X,O,O,X,O,X
TZJLSOI,O,O,X,O,X,X,O,X
TZJLOIS,O,O,X,X,X,X,X,X
TZJLOSI,O,O,X,X,X,X,X,X
TZJSILO,O,O,O,O,O,X,O,X
TZJSIOL,O,O,O,O,O,X,O,X
TZJSLIO,O,X,X,O,O,X,O,X
TZJSLOI,O,X,X,O,X,X,O,X
TZJSOIL,O,X,X,O,O,X,O,O
TZJSOLI,X,X,X,O,X,X,O,O
TZJOILS,O,X,X,X,X,X,X,X
TZJOISL,O,O,O,X,O,X,X,X
TZJOLIS,O,X,X,X,X,X,X,X
TZJOLSI,O,X,X,X,X,X,X,X
TZJOSIL,O,O,X,X,O,X,X,X
TZJOSLI,O,X,X,X,X,X,X,X
TZSILJO,O,X,O,O,O,X,O,X
TZSILOJ,X,X,O,O,X,X,O,X
TZSIJLO,O,O,O,O,O,X,O,X
TZSIJOL,O,O,O,O,O,X,O,X
TZSIOLJ,X,X,O,X,X,X,O,X
TZSIOJL,O,X,O,O,O,X,O,X
TZSLIJO,O,X,X,O,O,X,O,X
TZSLIOJ,O,X,X,O,X,X,O,X
TZSLJIO,O,X,X,O,O,X,O,X
TZSLJOI,O,X,X,O,X,X,O,X
TZSLOIJ,O,X,X,O,X,X,O,X
TZSLOJI,O,X,X,O,X,X,O,X
TZSJILO,O,O,O,O,O,X,O,X
TZSJIOL,O,O,O,O,O,X,O,X
TZSJLIO,O,X,X,O,O,X,O,X
TZSJLOI,O,X,X,O,X,X,O,X
TZSJOIL,O,X,X,O,O,X,O,O
TZSJOLI,X,X,X,O,X,X,O,O
TZSOILJ,X,X,X,X,X,X,O,X
TZSOIJL,O,X,X,O,O,X,O,O
TZSOLIJ,X,X,X,O,X,X,O,X
TZSOLJI,X,X,X,O,X,X,O,X
TZSOJIL,O,X,X,O,O,X,O,O
TZSOJLI,X,X,X,O,X,X,O,O
TZOILJS,O,X,X,O,X,X,X,X
TZOILSJ,O,X,X,O,X,X,X,X
TZOIJLS,O,X,X,X,X,X,X,X
TZOIJSL,O,O,O,O,O,X,X,X
TZOISLJ,O,X,O,O,X,X,X,X
TZOISJL,O,O,O,O,O,X,X,X
TZOLIJS,O,X,X,O,X,X,X,X
TZOLISJ,O,X,X,O,X,X,X,X
TZOLJIS,O,X,X,O,X,X,X,X
TZOLJSI,O,X,X,O,X,X,X,X
TZOLSIJ,O,X,X,O,X,X,X,X
TZOLSJI,O,X,X,O,X,X,X,X
TZOJILS,O,X,X,X,X,X,X,X
TZOJISL,O,O,O,O,O,X,X,X
TZOJLIS,O,X,X,O,X,X,X,X
TZOJLSI,O,X,X,O,X,X,X,X
TZOJSIL,O,O,X,O,O,X,X,X
TZOJSLI,O,X,X,O,X,X,X,X
TZOSILJ,O,X,X,O,X,X,X,X
TZOSIJL,O,O,X,O,O,X,X,X
TZOSLIJ,O,X,X,O,X,X,X,X
TZOSLJI,O,X,X,O,X,X,X,X
TZOSJIL,O,O,X,O,O,X,X,X
TZOSJLI,O,X,X,O,X,X,X,X
TOILJSZ,O,O,X,X,X,O,X,X
TOILJZS,O,O,X,X,X,X,X,X
TOILSJZ,O,O,X,X,X,O,X,X
TOILSZJ,O,O,X,X,X,X,X,X
TOILZJS,O,O,X,X,X,X,X,X
TOILZSJ,O,O,X,X,X,X,X,X
TOIJLSZ,O,O,X,X,X,O,X,X
TOIJLZS,O,O,X,X,X,X,X,X
TOIJSLZ,O,O,X,X,X,O,X,X
TOIJSZL,O,O,X,X,X,X,X,X
TOIJZLS,O,O,X,X,X,X,X,X
TOIJZSL,O,O,O,X,O,X,X,X
TOISLJZ,O,O,X,X,X,O,X,X
TOISLZJ,O,O,X,X,X,X,X,X
TOISJLZ,O,O,X,X,X,O,X,X
TOISJZL,O,O,X,O,X,X,X,X
TOISZLJ,O,O,X,O,X,X,X,X
TOISZJL,O,O,X,O,X,X,X,X
TOIZLJS,O,O,X,O,X,X,X,X
TOIZLSJ,O,O,X,O,X,X,X,X
TOIZJLS,O,O,X,X,X,X,X,X
TOIZJSL,O,O,O,O,O,X,X,X
TOIZSLJ,O,O,O,O,X,X,X,X
TOIZSJL,O,O,O,O,O,X,X,X
TOLIJSZ,O,O,X,X,X,O,X,X
TOLIJZS,O,O,X,X,X,X,X,X
TOLISJZ,O,O,X,X,X,O,X,X
TOLISZJ,O,O,X,X,X,X,X,X
TOLIZJS,O,O,X,O,X,X,X,X
TOLIZSJ,O,O,X,O,X,X,X,X
TOLJISZ,O,O,X,X,X,O,X,X
TOLJIZS,O,O,X,X,X,X,X,X
TOLJSIZ,O,O,X,X,X,X,X,X
TOLJSZI,O,O,X,X,X,X,X,X
TOLJZIS,O,O,X,X,X,X,X,X
TOLJZSI,O,O,X,X,X,X,X,X
TOLSIJZ,O,O,X,X,X,X,X,X
TOLSIZJ,O,O,X,X,X,X,X,X
TOLSJIZ,O,O,X,X,X,X,X,X
TOLSJZI,O,O,X,O,X,X,X,X
TOLSZIJ,O,O,X,O,X,X,X,X
TOLSZJI,O,O,X,O,X,X,X,X
TOLZIJS,O,O,X,O,X,X,X,X
TOLZISJ,O,O,X,O,X,X,X,X
TOLZJIS,O,O,X,O,X,X,X,X
TOLZJSI,O,O,X,O,X,X,X,X
TOLZSIJ,O,O,X,O,X,X,X,X
TOLZSJI,O,O,X,O,X,X,X,X
TOJILSZ,O,O,X,X,X,O,X,X
TOJILZS,O,O,X,X,X,X,X,X
TOJISLZ,O,O,X,X,X,O,X,X
TOJISZL,O,O,X,X,X,X,X,X
TOJIZLS,O,O,X,X,X,X,X,X
TOJIZSL,O,O,O,X,O,X,X,X
TOJLISZ,O,O,X,X,X,O,X,X
TOJLIZS,O,O,X,X,X,X,X,X
TOJLSIZ,O,O,X,X,X,X,X,X
TOJLSZI,O,O,X,X,X,X,X,X
TOJLZIS,O,O,X,X,X,X,X,X
TOJLZSI,O,O,X,X,X,X,X,X
TOJSILZ,O,O,X,X,X,X,X,X
TOJSIZL,O,O,X,O,X,X,O,X
TOJSLIZ,O,O,X,X,X,X,X,X
TOJSLZI,O,O,X,O,X,X,X,X
TOJSZIL,O,O,X,O,X,X,X,X
TOJSZLI,O,O,X,O,X,X,X,X
TOJZILS,O,O,X,X,X,X,X,X
TOJZISL,O,O,O,O,O,X,X,X
TOJZLIS,O,O,X,O,X,X,X,X
TOJZLSI,O,O,X,O,X,X,X,X
TOJZSIL,O,O,X,O,O,X,X,X
TOJZSLI,O,O,X,O,X,X,X,X
TOSILJZ,O,O,X,X,X,X,X,X
TOSILZJ,O,O,X,X,X,X,X,X
TOSIJLZ,O,O,X,X,X,X,X,X
TOSIJZL,O,O,X,O,X,X,O,X
TOSIZLJ,O,O,X,O,X,X,O,X
TOSIZJL,O,O,X,O,X,X,O,X
TOSLIJZ,O,O,X,X,X,X,X,X
TOSLIZJ,O,O,X,X,X,X,X,X
TOSLJIZ,O,O,X,X,X,X,X,X
TOSLJZI,O,O,X,O,X,X,X,X
TOSLZIJ,O,O,X,O,X,X,X,X
TOSLZJI,O,O,X,O,X,X,X,X
TOSJILZ,O,O,X,X,X,X,X,X
TOSJIZL,O,O,X,O,X,X,O,X
TOSJLIZ,O,O,X,X,X,X,X,X
TOSJLZI,O,O,X,O,X,X,X,X
TOSJZIL,O,O,X,O,X,X,X,X
TOSJZLI,O,O,X,O,X,X,X,X
TOSZILJ,O,O,X,O,X,X,X,X
TOSZIJL,O,O,X,O,X,X,X,X
TOSZLIJ,O,O,X,O,X,X,X,X
TOSZLJI,O,O,X,O,X,X,X,X
TOSZJIL,O,O,X,O,X,X,X,X
TOSZJLI,O,O,X,O,X,X,X,X
TOZILJS,O,O,X,O,X,X,X,X
TOZILSJ,O,O,X,O,X,X,X,X
TOZIJLS,O,O,X,X,X,X,X,X
TOZIJSL,O,O,O,O,O,X,X,X
TOZISLJ,O,O,O,O,X,X,X,X
TOZISJL,O,O,O,O,O,X,X,X
TOZLIJS,O,O,X,O,X,X,X,X
TOZLISJ,O,O,X,O,X,X,X,X
TOZLJIS,O,O,X,O,X,X,X,X
TOZLJSI,O,O,X,O,X,X,X,X
TOZLSIJ,O,O,X,O,X,X,X,X
TOZLSJI,O,O,X,O,X,X,X,X
TOZJILS,O,O,X,X,X,X,X,X
TOZJISL,O,O,O,O,O,X,X,X
TOZJLIS,O,O,X,O,X,X,X,X
TOZJLSI,O,O,X,O,X,X,X,X
TOZJSIL,O,O,X,O,O,X,X,X
TOZJSLI,O,O,X,O,X,X,X,X
TOZSILJ,O,O,X,O,X,X,X,X
TOZSIJL,O,O,X,O,O,X,X,X
TOZSLIJ,O,O,X,O,X,X,X,X
TOZSLJI,O,O,X,O,X,X,X,X
TOZSJIL,O,O,X,O,O,X,X,X
TOZSJLI,O,O,X,O,X,X,X,X
ITLJSZO,O,O,O,X,X,O,X,X
ITLJSOZ,O,O,X,X,X,O,X,X
ITLJZSO,O,O,O,X,O,O,X,X
ITLJZOS,O,O,X,X,X,X,X,X
ITLJOSZ,X,O,X,X,X,O,X,X
ITLJOZS,X,O,X,X,X,X,X,X
ITLSJZO,O,O,O,X,X,O,X,X
ITLSJOZ,O,O,X,X,X,O,X,X
ITLSZJO,O,O,O,X,X,O,X,X
ITLSZOJ,O,O,O,X,X,X,X,X
ITLSOJZ,O,O,X,X,X,O,X,X
ITLSOZJ,X,O,X,X,X,X,X,X
ITLZJSO,O,O,O,X,O,O,X,X
ITLZJOS,O,O,X,X,X,X,X,X
ITLZSJO,O,O,O,X,O,O,X,X
ITLZSOJ,O,O,O,X,X,X,X,X
ITLZOJS,O,O,X,X,X,X,X,X
ITLZOSJ,O,O,X,X,X,X,X,X
ITLOJSZ,X,O,X,X,X,O,X,X
ITLOJZS,X,O,X,X,X,X,X,X
ITLOSJZ,X,O,X,X,X,O,X,X
ITLOSZJ,X,O,X,X,X,X,X,X
ITLOZJS,X,O,X,X,X,X,X,X
ITLOZSJ,X,O,X,X,X,X,X,X
ITJLSZO,O,O,O,X,X,O,X,X
ITJLSOZ,O,O,X,X,X,O,X,X
ITJLZSO,O,O,O,X,O,O,X,X
ITJLZOS,O,O,X,X,X,X,X,X
ITJLOSZ,X,O,X,X,X,O,X,X
ITJLOZS,X,O,X,X,X,X,X,X
ITJSLZO,O,O,O,X,X,O,O,X
ITJSLOZ,O,O,X,X,X,O,X,X
ITJSZLO,O,O,O,X,O,O,O,X
ITJSZOL,O,O,O,X,O,X,O,X
ITJSOLZ,O,O,X,X,X,O,X,X
ITJSOZL,O,O,X,X,X,X,O,X
ITJZLSO,O,O,O,X,O,O,X,X
ITJZLOS,O,O,X,X,X,X,X,X
ITJZSLO,O,O,O,X,O,O,X,X
ITJZSOL,O,O,O,X,O,X,X,X
ITJZOLS,O,X,X,X,X,X,X,X
ITJZOSL,O,O,O,X,O,X,X,X
ITJOLSZ,O,O,X,X,X,O,X,X
ITJOLZS,O,O,X,X,X,X,X,X
ITJOSLZ,O,O,X,X,X,O,X,X
ITJOSZL,O,O,X,X,X,X,X,X
ITJOZLS,O,O,X,X,X,X,X,X
ITJOZSL,O,O,O,X,O,X,X,X
ITSLJZO,O,O,O,X,X,O,O,X
ITSLJOZ,O,O,X,X,X,O,X,X
ITSLZJO,O,O,O,X,X,O,O,X
ITSLZOJ,O,O,O,X,X,X,O,X
ITSLOJZ,O,O,X,X,X,O,X,X
ITSLOZJ,X,O,X,X,X,X,X,X
ITSJLZO,O,O,O,X,X,O,O,X
ITSJLOZ,O,O,X,X,X,O,X,X
ITSJZLO,O,O,O,O,O,O,O,X
ITSJZOL,O,O,O,O,O,X,O,X
ITSJOLZ,O,O,X,X,X,O,X,X
ITSJOZL,O,O,X,X,X,X,O,X
ITSZLJO,O,X,O,O,O,O,O,X
ITSZLOJ,X,X,O,O,X,X,O,X
ITSZJLO,O,O,O,O,O,O,O,X
ITSZJOL,O,O,O,O,O,X,O,X
ITSZOLJ,X,X,O,X,X,X,O,X
ITSZOJL,O,X,O,O,O,X,O,X
ITSOLJZ,O,O,X,X,X,O,X,X
ITSOLZJ,O,O,X,X,X,X,X,X
ITSOJLZ,O,O,X,X,X,O,X,X
ITSOJZL,O,O,X,X,X,X,O,X
ITSOZLJ,O,O,X,X,X,X,O,X
ITSOZJL,O,O,X,X,X,X,O,X
ITZLJSO,O,O,O,O,O,O,X,X
ITZLJOS,O,O,X,X,X,X,X,X
ITZLSJO,O,O,O,O,O,O,X,X
ITZLSOJ,O,O,O,O,X,X,X,X
ITZLOJS,O,O,X,X,X,X,X,X
ITZLOSJ,O,O,X,O,X,X,X,X
ITZJLSO,O,O,O,X,O,O,X,X
ITZJLOS,O,O,X,X,X,X,X,X
ITZJSLO,O,O,O,O,O,O,X,X
ITZJSOL,O,O,O,O,O,X,X,X
ITZJOLS,O,X,X,X,X,X,X,X
ITZJOSL,O,O,O,X,O,X,X,X
ITZSLJO,O,X,O,O,O,O,X,X
ITZSLOJ,X,X,O,O,X,X,X,X
ITZSJLO,O,O,O,O,O,O,X,X
ITZSJOL,O,O,O,O,O,X,X,X
ITZSOLJ,X,X,O,X,X,X,X,X
ITZSOJL,O,X,O,O,O,X,X,X
ITZOLJS,O,X,X,X,X,X,X,X
ITZOLSJ,O,X,X,X,X,X,X,X
ITZOJLS,O,X,X,X,X,X,X,X
ITZOJSL,O,O,O,X,O,X,X,X
ITZOSLJ,O,X,O,X,X,X,X,X
ITZOSJL,O,O,O,O,O,X,X,X
ITOLJSZ,O,O,X,X,X,O,X,X
ITOLJZS,O,O,X,X,X,X,X,X
ITOLSJZ,O,O,X,X,X,O,X,X
ITOLSZJ,O,O,X,X,X,X,X,X
ITOLZJS,O,O,X,X,X,X,X,X
ITOLZSJ,O,O,X,X,X,X,X,X
ITOJLSZ,O,O,X,X,X,O,X,X
ITOJLZS,O,O,X,X,X,X,X,X
ITOJSLZ,O,O,X,X,X,O,X,X
ITOJSZL,O,O,X,X,X,X,X,X
ITOJZLS,O,O,X,X,X,X,X,X
ITOJZSL,O,O,O,X,O,X,X,X
ITOSLJZ,O,O,X,X,X,O,X,X
ITOSLZJ,O,O,X,X,X,X,X,X
ITOSJLZ,O,O,X,X,X,O,X,X
ITOSJZL,O,O,X,X,X,X,X,X
ITOSZLJ,O,O,X,X,X,X,X,X
ITOSZJL,O,O,X,X,X,X,X,X
ITOZLJS,O,O,X,X,X,X,X,X
ITOZLSJ,O,O,X,X,X,X,X,X
ITOZJLS,O,O,X,X,X,X,X,X
ITOZJSL,O,O,O,X,O,X,X,X
ITOZSLJ,O,O,O,X,X,X,X,X
ITOZSJL,O,O,O,X,O,X,X,X
ILTJSZO,O,O,O,X,X,O,X,X
ILTJSOZ,O,O,X,X,X,O,X,X
ILTJZSO,O,O,O,X,O,O,X,X
ILTJZOS,O,O,X,X,X,X,X,X
ILTJOSZ,X,O,X,X,X,O,X,X
ILTJOZS,X,O,X,X,X,X,X,X
ILTSJZO,O,O,O,X,X,O,X,X
ILTSJOZ,O,O,X,X,X,O,X,X
ILTSZJO,O,O,O,X,X,O,X,X
ILTSZOJ,O,O,O,X,X,X,X,X
ILTSOJZ,O,O,X,X,X,O,X,X
ILTSOZJ,X,O,X,X,X,X,X,X
ILTZJSO,O,O,O,O,O,O,X,X
ILTZJOS,O,O,X,X,X,X,X,X
ILTZSJO,O,O,O,O,O,O,X,X
ILTZSOJ,O,O,O,O,X,X,X,X
ILTZOJS,O,O,X,O,X,X,X,X
ILTZOSJ,O,O,X,O,X,X,X,X
ILTOJSZ,X,O,X,X,X,O,X,X
ILTOJZS,X,O,X,X,X,X,X,X
ILTOSJZ,X,O,X,X,X,O,X,X
ILTOSZJ,X,O,X,X,X,X,X,X
ILTOZJS,X,O,X,O,X,X,X,X
ILTOZSJ,X,O,X,O,X,X,X,X
ILJTSZO,O,O,O,X,X,O,X,X
ILJTSOZ,O,O,X,X,X,O,X,X
ILJTZSO,O,O,O,X,O,O,X,X
ILJTZOS,O,O,X,X,X,X,X,X
ILJTOSZ,X,O,X,X,X,O,X,X
ILJTOZS,X,O,X,X,X,X,X,X
ILJSTZO,O,O,O,X,X,O,X,X
ILJSTOZ,O,O,X,X,X,O,X,X
ILJSZTO,O,O,O,X,X,O,X,X
ILJSZOT,O,O,O,X,X,X,X,X
ILJSOTZ,O,O,X,X,X,O,X,X
ILJSOZT,O,O,O,X,X,X,X,X
ILJZTSO,O,O,O,O,O,O,X,X
ILJZTOS,O,O,X,X,X,X,X,X
ILJZSTO,O,O,O,X,O,O,O,X
ILJZSOT,O,O,O,X,X,X,X,X
ILJZOTS,O,O,X,O,X,X,X,X
ILJZOST,O,O,X,X,X,X,X,X
ILJOTSZ,O,O,X,X,X,O,X,X
ILJOTZS,O,O,X,X,X,X,X,X
ILJOSTZ,O,O,X,X,X,O,X,X
ILJOSZT,O,O,O,X,X,X,X,X
ILJOZTS,O,O,X,O,X,X,X,X
ILJOZST,O,O,X,X,X,X,X,X
ILSTJZO,O,O,O,X,X,O,X,X
ILSTJOZ,O,O,X,X,X,O,X,X
ILSTZJO,O,O,O,X,X,O,X,X
ILSTZOJ,O,O,O,X,X,X,X,X
ILSTOJZ,O,O,X,X,X,O,X,X
ILSTOZJ,X,O,X,X,X,X,X,X
ILSJTZO,O,O,O,X,X,O,X,X
ILSJTOZ,O,O,X,X,X,O,X,X
ILSJZTO,O,O,O,X,X,O,X,X
ILSJZOT,O,O,O,X,X,X,X,X
ILSJOTZ,O,O,X,X,X,O,X,X
ILSJOZT,O,O,O,X,X,X,X,X
ILSZTJO,O,O,O,O,X,O,X,X
ILSZTOJ,O,O,O,O,X,X,X,X
ILSZJTO,O,O,O,X,X,O,X,X
ILSZJOT,O,O,O,X,X,X,X,X
ILSZOTJ,O,O,O,O,X,X,X,X
ILSZOJT,O,O,O,X,X,X,X,X
ILSOTJZ,O,O,X,X,X,O,X,X
ILSOTZJ,O,O,X,X,X,X,X,X
ILSOJTZ,O,O,X,X,X,O,X,X
ILSOJZT,O,O,O,X,X,X,X,X
ILSOZTJ,O,O,O,O,X,X,X,X
ILSOZJT,O,O,O,X,X,X,X,X
ILZTJSO,O,O,O,O,O,O,X,X
ILZTJOS,O,O,X,X,X,X,X,X
ILZTSJO,O,O,O,O,O,O,X,X
ILZTSOJ,O,O,O,O,X,X,X,X
ILZTOJS,O,O,X,O,X,X,X,X
ILZTOSJ,O,O,X,O,X,X,X,X
ILZJTSO,O,O,O,O,O,O,X,X
ILZJTOS,O,O,X,X,X,X,X,X
ILZJSTO,O,O,O,X,O,O,O,X
ILZJSOT,O,O,O,X,X,X,X,X
ILZJOTS,O,O,X,O,X,X,X,X
ILZJOST,O,O,X,X,X,X,X,X
ILZSTJO,O,O,O,O,O,O,O,X
ILZSTOJ,O,O,O,O,X,X,O,X
ILZSJTO,O,O,O,X,O,O,O,X
ILZSJOT,O,O,O,X,X,X,X,X
ILZSOTJ,O,O,O,O,X,X,X,X
ILZSOJT,O,O,O,X,X,X,X,X
ILZOTJS,O,O,X,O,X,X,X,X
ILZOTSJ,O,O,X,O,X,X,X,X
ILZOJTS,O,O,X,O,X,X,X,X
ILZOJST,O,O,X,X,X,X,X,X
ILZOSTJ,O,O,X,O,X,X,X,X
ILZOSJT,O,O,X,X,X,X,X,X
ILOTJSZ,O,O,X,X,X,O,X,X
ILOTJZS,O,O,X,X,X,X,X,X
ILOTSJZ,O,O,X,X,X,O,X,X
ILOTSZJ,O,O,X,X,X,X,X,X
ILOTZJS,O,O,X,O,X,X,X,X
ILOTZSJ,O,O,X,O,X,X,X,X
ILOJTSZ,O,O,X,X,X,O,X,X
ILOJTZS,O,O,X,X,X,X,X,X
ILOJSTZ,O,O,X,X,X,O,X,X
ILOJSZT,O,O,O,X,X,X,X,X
ILOJZTS,O,O,X,O,X,X,X,X
ILOJZST,O,O,X,X,X,X,X,X
ILOSTJZ,O,O,X,X,X,O,X,X
ILOSTZJ,O,O,X,X,X,X,X,X
ILOSJTZ,O,O,X,X,X,O,X,X
ILOSJZT,O,O,O,X,X,X,X,X
ILOSZTJ,O,O,O,O,X,X,X,X
ILOSZJT,O,O,O,X,X,X,X,X
ILOZTJS,O,O,X,O,X,X,X,X
ILOZTSJ,O,O,X,O,X,X,X,X
ILOZJTS,O,O,X,O,X,X,X,X
ILOZJST,O,O,X,X,X,X,X,X
ILOZSTJ,O,O,X,O,X,X,X,X
ILOZSJT,O,O,X,X,X,X,X,X
IJTLSZO,O,O,O,X,X,O,X,X
IJTLSOZ,O,O,X,X,X,O,X,X
IJTLZSO,O,O,O,X,O,O,X,X
IJTLZOS,O,O,X,X,X,X,X,X
IJTLOSZ,X,O,X,X,X,O,X,X
IJTLOZS,X,O,X,X,X,X,X,X
IJTSLZO,O,O,O,X,X,O,O,X
IJTSLOZ,O,O,X,X,X,O,X,X
IJTSZLO,O,O,O,X,O,O,O,X
IJTSZOL,O,O,O,X,O,X,O,X
IJTSOLZ,O,O,X,X,X,O,X,X
IJTSOZL,O,O,X,X,X,X,O,X
IJTZLSO,O,O,O,X,O,O,X,X
IJTZLOS,O,O,X,X,X,X,X,X
IJTZSLO,O,O,O,X,O,O,X,X
IJTZSOL,O,O,O,X,O,X,X,X
IJTZOLS,O,X,X,X,X,X,X,X
IJTZOSL,O,O,O,X,O,X,X,X
IJTOLSZ,O,O,X,X,X,O,X,X
IJTOLZS,O,O,X,X,X,X,X,X
IJTOSLZ,O,O,X,X,X,O,X,X
IJTOSZL,O,O,X,X,X,X,X,X
IJTOZLS,O,O,X,X,X,X,X,X
IJTOZSL,O,O,O,X,O,X,X,X
IJLTSZO,O,O,O,X,X,O,X,X
IJLTSOZ,O,O,X,X,X,O,X,X
IJLTZSO,O,O,O,X,O,O,X,X
IJLTZOS,O,O,X,X,X,X,X,X
IJLTOSZ,X,O,X,X,X,O,X,X
IJLTOZS,X,O,X,X,X,X,X,X
IJLSTZO,O,O,O,X,X,O,X,X
IJLSTOZ,O,O,X,X,X,O,X,X
IJLSZTO,O,O,O,X,X,O,X,X
IJLSZOT,O,O,O,X,X,X,X,X
IJLSOTZ,O,O,X,X,X,O,X,X
IJLSOZT,O,O,O,X,X,X,X,X
IJLZTSO,O,O,O,X,O,O,X,X
IJLZTOS,O,O,X,X,X,X,X,X
IJLZSTO,O,O,O,X,O,O,O,X
IJLZSOT,O,O,O,X,X,X,X,X
IJLZOTS,O,O,X,X,X,X,X,X
IJLZOST,O,O,X,X,X,X,X,X
IJLOTSZ,O,O,X,X,X,O,X,X
IJLOTZS,O,O,X,X,X,X,X,X
IJLOSTZ,O,O,X,X,X,O,X,X
IJLOSZT,O,O,O,X,X,X,X,X
IJLOZTS,O,O,X,X,X,X,X,X
IJLOZST,O,O,X,X,X,X,X,X
IJSTLZO,O,O,O,X,X,O,O,X
IJSTLOZ,O,O,X,X,X,O,X,X
IJSTZLO,O,O,O,X,O,O,O,X
IJSTZOL,O,O,O,X,O,X,O,X
IJSTOLZ,O,O,X,X,X,O,X,X
IJSTOZL,O,O,X,X,X,X,O,X
IJSLTZO,O,O,O,X,X,O,X,X
IJSLTOZ,O,O,X,X,X,O,X,X
IJSLZTO,O,O,O,X,X,O,X,X
IJSLZOT,O,O,O,X,X,X,X,X
IJSLOTZ,O,O,X,X,X,O,X,X
IJSLOZT,O,O,O,X,X,X,X,X
IJSZTLO,O,O,O,X,O,O,X,X
