sequence,v115@WhB8BeD8AeF8Jei/IvhFzgBRiBcoB3kBGnBlqB,v115@WhB8BeD8AeF8Jei/IvhFWmBxhBTjB3kB0nBlqB,v115@WhB8BeD8AeF8JeOEJvhF8kBzgBCiBxnBXoBlqB,v115@WhB8BeD8AeF8JeOEJvhFlgBCiBzkB8qBxsBXtB,v115@WhB8BeD8AeF8JeT/IvhFlgBWnBxiBypB8qBXtB,v115@WhB8BeD8AeF8JeWHJvhFxiBikBzlBXoB0kBlqB,v115@WhB8BeD8AeF8Je2EJvhFChBTjBxmB3kB0nBlqB,v115@WhB8BeD8AeF8JeKEJvhFxhBTjBFlBXmB0nBGqB,v115@WhB8BeD8AeF8JeKEJvhFTjBFlBxmBXmB0nBGqB,v115@WhB8BeD8AeF8Je2EJvhFTjB1qBxmB3kB0nBCrB
TILJSZO,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,O,X,X,X
TILJZSO,X,X,O,X,X,X,X,X,X,X
TILJZOS,X,X,O,X,X,X,O,X,X,X
TILJOSZ,X,X,X,X,X,X,O,X,O,O
TILJOZS,X,X,O,O,X,X,O,X,O,O
TILSJZO,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,O,X,X,X
TILSZJO,X,X,O,X,X,X,X,X,X,X
TILSZOJ,X,X,O,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,O,X,O,X
TILSOZJ,X,X,O,X,X,X,X,X,O,X
TILZJSO,X,X,O,X,X,X,X,X,X,X
TILZJOS,X,X,O,O,X,X,O,X,X,X
TILZSJO,X,X,O,X,X,X,X,X,X,X
TILZSOJ,X,X,O,O,X,X,X,X,X,X
TILZOJS,X,X,O,O,X,X,O,X,O,X
TILZOSJ,X,X,O,O,X,X,X,X,O,X
TILOJSZ,X,X,X,X,X,X,O,X,O,O
TILOJZS,X,X,O,O,X,X,O,X,O,O
TILOSJZ,X,X,X,X,X,X,O,X,O,X
TILOSZJ,X,X,O,X,X,X,X,X,O,X
TILOZJS,X,X,O,O,X,X,O,X,O,X
TILOZSJ,X,X,O,O,X,X,X,X,O,X
TIJLSZO,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,X,O,X,X,X,X,O,X,X,X
TIJLZSO,X,O,O,X,X,X,X,X,X,X
TIJLZOS,X,O,O,X,X,X,O,X,X,X
TIJLOSZ,X,O,X,X,X,X,O,X,X,O
TIJLOZS,X,X,O,O,X,X,O,X,X,O
TIJSLZO,O,O,X,X,X,X,X,X,X,X
