sequence,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBunBcoBlpB3q?BSyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBCjB8sB+tBlp?B3qB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBSoBUoBlpB3q?BWyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBWoBXoB0pBlq?BSyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBGjBqsB/tB0p?BlqB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBGjBlpB3qBCt?BUtB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBfoB6oB0pBlq?BWyB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBGoBlpB3qBUt?BCtB,v115@DhA8EeE8HeB8CeA8CeC8MexAJvhFWoBTkBXoBlqBSy?B0pB,v115@DhA8EeE8HeB8CeA8CeC8Me5HJvhFTkB6tB/qBFmBOt?B0pB,v115@DhA8EeE8HeB8CeA8CeC8Me5HJvhFTkBOtB/qBFmB6t?B0pB,v115@DhA8EeE8HeB8CeA8CeC8MexAJvhFfoB6oBTkBlqBWy?B0pB,v115@DhA8EeE8HeB8CeA8CeC8Mex/IvhFTkBGoBXmBVvBUt?BCtB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhFxgBCoB0pBlqBXt?BGtB,v115@DhA8EeE8HeB8CeA8CeC8MeT/IvhF5nBOtB/qBFmB6t?B0pB
TILJSZO,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
TILJSOZ,X,X,O,X,O,O,O,X,O,X,X,O,X,X,X
TILJZSO,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TILJZOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X
TILJOSZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X
TILJOZS,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X
TILSJZO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TILSJOZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TILSZJO,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TILSZOJ,O,X,X,O,O,O,X,X,X,X,X,X,X,O,X
TILSOJZ,O,X,X,X,O,O,X,X,O,X,X,X,X,X,X
TILSOZJ,O,X,X,X,O,O,X,X,X,X,X,X,X,O,X
TILZJSO,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TILZJOS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TILZSJO,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TILZSOJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TILZOJS,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X
TILZOSJ,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TILOJSZ,X,X,O,X,X,X,X,X,O,O,X,O,X,X,X
TILOJZS,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X
