sequence,v115@FhB8GeC8IeA8CeA8AeE8Jex/IvhFylBfnBOpB0nBzp?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeT/IvhFxhBllBcrB2sBip?BXqB,v115@FhB8GeC8IeA8CeA8AeE8Jei/IvhFUhBFiBzkBfrB2u?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Jem/IvhFUhBFiBTkBfrByu?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Jei/IvhFXiBcpBeqBzlBRs?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeyEJvhFUhBFiBfrBOpBzp?BRxB,v115@FhB8GeC8IeA8CeA8AeE8Je2EJvhFUhBFiBfrBaqBTp?BRxB,v115@FhB8GeC8IeA8CeA8AeE8JeZEJvhFFgBXhBqpBzmB0n?BmqB,v115@FhB8GeC8IeA8CeA8AeE8JeZFJvhFzgBfnB6pBOpB0n?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JemAJvhFfnBxkBTkB0nByu?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeZFJvhFzgBfnBOpB6pB0n?BFrB,v115@FhB8GeC8IeA8CeA8AeE8JeOEJvhF8kBXiBzlByuBRs?BFrB,v115@FhB8GeC8IeA8CeA8AeE8Jex/IvhFXhBikBzmB0nB1u?BmqB
TILJSZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TILJSOZ,O,X,O,O,X,X,X,O,O,O,O,X,X
TILJZSO,O,O,O,O,X,X,X,X,X,O,X,X,X
TILJZOS,X,O,O,X,X,X,X,O,X,X,X,X,X
TILJOSZ,O,X,O,O,X,X,X,O,O,O,O,X,O
TILJOZS,X,O,O,O,X,X,X,O,X,X,X,X,O
TILSJZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TILSJOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
TILSZJO,X,X,O,O,X,X,X,X,X,O,X,O,X
TILSZOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
TILSOJZ,O,X,X,O,X,O,O,O,O,O,O,X,O
TILSOZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
TILZJSO,X,X,X,O,X,X,X,X,X,O,X,O,X
TILZJOS,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZSJO,X,X,X,O,X,X,X,X,X,O,X,O,X
TILZSOJ,X,X,X,O,X,X,X,X,O,X,X,O,X
TILZOJS,X,X,X,O,X,X,X,O,X,X,X,O,O
TILZOSJ,X,X,X,O,X,X,X,O,O,X,X,O,O
TILOJSZ,O,X,X,O,X,O,O,O,O,O,O,X,O
TILOJZS,O,O,X,O,X,X,X,O,X,X,X,X,O
TILOSJZ,O,X,X,O,X,O,O,O,O,O,O,X,O
TILOSZJ,X,X,X,O,X,O,O,O,O,X,X,O,O
TILOZJS,X,X,X,O,X,X,X,O,X,X,X,O,O
TILOZSJ,X,X,X,O,X,O,X,O,O,X,X,O,O
TIJLSZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TIJLSOZ,O,X,O,O,X,X,X,X,O,O,O,X,O
TIJLZSO,O,O,O,O,X,X,X,X,X,O,X,X,X
TIJLZOS,X,O,O,X,X,X,X,X,X,X,X,X,O
TIJLOSZ,O,X,O,O,X,X,X,X,O,O,O,X,O
TIJLOZS,X,O,O,O,X,X,X,X,X,X,X,X,O
TIJSLZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TIJSLOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
TIJSZLO,O,X,O,O,O,X,X,X,X,O,X,X,X
TIJSZOL,X,X,O,X,O,O,O,X,X,O,O,X,X
TIJSOLZ,O,X,O,X,X,O,O,X,O,O,O,X,X
TIJSOZL,X,X,O,X,O,O,O,X,X,O,O,X,X
TIJZLSO,O,O,O,X,O,X,X,X,X,X,X,X,X
TIJZLOS,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJZSLO,O,O,O,X,O,X,X,X,X,O,X,X,X
TIJZSOL,X,X,O,X,O,X,X,X,X,O,O,X,X
TIJZOLS,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJZOSL,X,X,O,X,O,X,X,X,X,X,O,X,X
TIJOLSZ,O,X,O,X,X,O,O,X,O,X,O,X,O
TIJOLZS,X,X,O,X,X,X,X,X,X,X,X,X,O
TIJOSLZ,O,X,O,X,X,O,O,X,O,O,O,X,O
TIJOSZL,X,X,O,X,O,O,O,X,X,O,O,X,X
TIJOZLS,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJOZSL,X,X,O,X,O,X,O,X,X,X,O,X,X
TISLJZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TISLJOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
TISLZJO,X,X,O,O,X,X,X,X,X,O,X,O,X
TISLZOJ,X,X,X,O,X,O,O,X,O,X,X,O,X
TISLOJZ,O,X,X,O,X,O,O,X,O,O,O,X,X
TISLOZJ,X,X,X,O,X,O,O,X,O,X,X,O,X
TISJLZO,O,X,O,O,X,X,X,X,X,O,X,X,X
TISJLOZ,O,X,O,O,X,X,X,X,O,O,O,X,X
TISJZLO,O,X,O,O,O,X,X,X,X,O,X,X,X
TISJZOL,X,X,O,X,O,O,O,X,X,O,O,X,X
TISJOLZ,O,X,O,X,X,O,O,X,O,O,O,X,X
TISJOZL,X,X,O,X,O,O,O,X,X,O,O,X,X
TISZLJO,X,X,O,O,O,X,X,X,X,X,X,X,X
TISZLOJ,X,X,X,O,X,O,O,X,O,X,X,X,X
TISZJLO,X,X,O,O,O,X,X,X,X,O,X,X,X
TISZJOL,X,X,O,X,O,O,O,X,X,O,O,X,X
TISZOLJ,X,X,X,O,X,O,O,X,O,X,X,X,X
TISZOJL,X,X,O,X,X,O,O,X,X,X,O,X,X
