sequence,v115@HhA8BeB8EeA8BeB8EeE8CeA8Ke6EJvhFOlBlhB3iB5?oB8sBzrB,v115@HhA8BeB8EeA8BeB8EeE8CeA8Ke6EJvhFOlBlhBziB5?oB8rB3sB,v115@HhA8BeB8EeA8BeB8EeE8CeA8KeXAJvhFmhBziB5oBq?rB0kBlsB,v115@HhA8BeB8EeA8BeB8EeE8CeA8Ke0/IvhFmhBziB5oBq?rBXlBlsB,v115@HhA8BeB8EeA8BeB8EeE8CeA8KeXAJvhF6mBTiBeoB5?oB0kBVxB
ITLOZSJ,O,X,X,X,X
ITJLSZO,X,X,X,X,X
ITJLSOZ,X,X,X,X,O
ITJLZSO,O,O,X,X,X
ITJLZOS,X,X,X,X,X
ITJLOSZ,X,X,X,X,O
ITJLOZS,O,X,X,X,X
ITJSLZO,X,X,X,X,X
ITJSLOZ,X,X,X,X,O
ITJSZLO,X,X,X,X,X
ITJSZOL,X,X,X,X,X
ITJSOLZ,X,X,X,X,O
ITJSOZL,X,X,X,X,X
ITJZLSO,O,O,X,X,X
ITJZLOS,X,X,X,X,X
ITJZSLO,O,O,X,X,X
ITJZSOL,X,O,X,X,X
ITJZOLS,X,X,X,X,X
ITJZOSL,X,X,X,X,X
ITJOLSZ,X,X,X,X,O
ITJOLZS,O,X,X,X,X
ITJOSLZ,X,X,X,X,O
ITJOSZL,X,X,X,X,X
ITJOZLS,O,X,X,X,X
ITJOZSL,O,X,X,X,X
ITSLJZO,X,X,X,X,X
ITSLJOZ,X,X,X,X,O
ITSLZJO,X,X,X,X,X
ITSLZOJ,X,X,X,X,X
ITSLOJZ,X,X,X,X,X
ITSLOZJ,X,X,X,X,X
ITSJLZO,X,X,X,X,X
ITSJLOZ,X,X,X,X,O
ITSJZLO,X,X,X,X,X
ITSJZOL,X,X,X,X,X
ITSJOLZ,X,X,X,X,O
ITSJOZL,X,X,X,X,X
ITSZLJO,X,X,X,X,X
ITSZLOJ,X,X,X,X,X
ITSZJLO,X,X,X,X,X
ITSZJOL,X,X,X,X,X
ITSZOLJ,X,X,X,X,X
ITSZOJL,X,X,X,X,X
ITSOLJZ,X,X,X,X,X
ITSOLZJ,X,X,X,X,X
ITSOJLZ,X,X,X,X,X
ITSOJZL,X,X,X,X,X
ITSOZLJ,X,X,X,X,X
ITSOZJL,X,X,X,X,X
ITZLJSO,O,O,X,X,X
ITZLJOS,X,X,X,X,X
ITZLSJO,O,O,X,X,X
ITZLSOJ,X,O,X,X,X
ITZLOJS,X,X,X,X,X
ITZLOSJ,X,X,X,X,X
ITZJLSO,O,O,X,X,X
ITZJLOS,X,X,X,X,X
ITZJSLO,O,O,X,X,X
ITZJSOL,X,O,X,X,X
ITZJOLS,X,X,X,X,X
ITZJOSL,X,X,X,X,X
ITZSLJO,O,O,X,X,X
ITZSLOJ,X,O,X,X,X
ITZSJLO,O,O,X,X,X
ITZSJOL,X,O,X,X,X
ITZSOLJ,X,O,X,X,X
ITZSOJL,X,O,X,X,X
ITZOLJS,X,X,X,X,X
ITZOLSJ,X,X,X,X,X
ITZOJLS,X,X,X,X,X
ITZOJSL,X,X,X,X,X
ITZOSLJ,X,X,X,X,X
ITZOSJL,X,X,X,X,X
ITOLJSZ,X,X,X,X,X
ITOLJZS,O,X,X,X,X
ITOLSJZ,X,X,X,X,X
ITOLSZJ,X,X,X,X,X
ITOLZJS,O,X,X,X,X
ITOLZSJ,O,X,X,X,X
ITOJLSZ,X,X,X,X,X
ITOJLZS,O,X,X,X,X
ITOJSLZ,X,X,X,X,X
ITOJSZL,X,X,X,X,X
ITOJZLS,O,X,X,X,X
ITOJZSL,O,X,X,X,X
ITOSLJZ,X,X,X,X,X
ITOSLZJ,X,X,X,X,X
ITOSJLZ,X,X,X,X,X
ITOSJZL,X,X,X,X,X
ITOSZLJ,X,X,X,X,X
ITOSZJL,X,X,X,X,X
ITOZLJS,O,X,X,X,X
ITOZLSJ,O,X,X,X,X
ITOZJLS,O,X,X,X,X
ITOZJSL,O,X,X,X,X
ITOZSLJ,O,X,X,X,X
ITOZSJL,O,X,X,X,X
ILTJSZO,X,X,X,X,X
ILTJSOZ,X,X,O,X,X
ILTJZSO,O,O,X,X,X
ILTJZOS,X,X,X,O,X
ILTJOSZ,X,X,O,X,X
ILTJOZS,O,X,X,O,X
ILTSJZO,X,X,X,X,X
ILTSJOZ,X,X,O,X,X
ILTSZJO,X,X,X,X,X
ILTSZOJ,X,X,X,X,X
ILTSOJZ,X,X,O,X,X
ILTSOZJ,X,X,X,X,X
ILTZJSO,O,O,X,X,X
ILTZJOS,X,X,X,O,X
ILTZSJO,O,O,X,X,X
ILTZSOJ,X,O,X,X,X
ILTZOJS,X,X,X,O,X
ILTZOSJ,X,X,X,X,X
ILTOJSZ,X,X,O,X,X
ILTOJZS,O,X,X,O,X
ILTOSJZ,X,X,O,X,X
ILTOSZJ,X,X,X,X,X
ILTOZJS,O,X,X,O,X
ILTOZSJ,O,X,X,X,X
ILJTSZO,X,X,X,X,X
ILJTSOZ,X,X,O,X,X
ILJTZSO,O,O,X,X,X
ILJTZOS,X,X,X,O,X
ILJTOSZ,X,X,O,X,X
ILJTOZS,O,X,X,O,X
ILJSTZO,X,X,X,X,X
ILJSTOZ,X,X,O,X,X
ILJSZTO,X,O,X,X,X
ILJSZOT,X,O,X,X,X
ILJSOTZ,X,X,X,X,X
ILJSOZT,X,O,X,X,X
ILJZTSO,O,O,X,X,X
ILJZTOS,X,X,X,O,X
ILJZSTO,O,O,X,X,X
ILJZSOT,X,O,X,X,X
ILJZOTS,O,X,X,X,X
ILJZOST,O,X,X,X,X
ILJOTSZ,X,X,X,X,X
ILJOTZS,O,X,X,X,X
ILJOSTZ,X,X,X,X,X
ILJOSZT,X,X,X,X,X
ILJOZTS,O,X,X,X,X
ILJOZST,O,X,X,X,X
ILSTJZO,X,X,X,X,X
ILSTJOZ,X,X,O,X,X
ILSTZJO,X,X,X,X,X
ILSTZOJ,X,X,X,X,X
ILSTOJZ,X,X,O,X,X
ILSTOZJ,X,X,X,X,X
ILSJTZO,X,X,X,X,X
ILSJTOZ,X,X,O,X,X
ILSJZTO,X,O,X,X,X
ILSJZOT,X,O,X,X,X
ILSJOTZ,X,X,X,X,X
ILSJOZT,X,O,X,X,X
ILSZTJO,X,O,X,X,X
ILSZTOJ,X,O,X,X,X
ILSZJTO,X,O,X,X,X
ILSZJOT,X,O,X,X,X
ILSZOTJ,X,O,X,X,X
ILSZOJT,X,O,X,X,X
ILSOTJZ,X,X,X,X,X
ILSOTZJ,X,X,X,X,X
ILSOJTZ,X,X,X,X,X
ILSOJZT,X,O,X,X,X
ILSOZTJ,X,O,X,X,X
ILSOZJT,X,O,X,X,X
ILZTJSO,O,O,X,X,X
ILZTJOS,X,X,X,O,X
ILZTSJO,O,O,X,X,X
ILZTSOJ,X,O,X,X,X
ILZTOJS,X,X,X,O,X
ILZTOSJ,X,X,X,X,X
ILZJTSO,O,O,X,X,X
ILZJTOS,X,X,X,O,X
ILZJSTO,O,O,X,X,X
ILZJSOT,X,O,X,X,X
ILZJOTS,O,X,X,X,X
ILZJOST,O,X,X,X,X
ILZSTJO,O,O,X,X,X
ILZSTOJ,X,O,X,X,X
ILZSJTO,O,O,X,X,X
ILZSJOT,X,O,X,X,X
ILZSOTJ,X,O,X,X,X
ILZSOJT,X,O,X,X,X
ILZOTJS,O,X,X,X,X
ILZOTSJ,O,X,X,X,X
ILZOJTS,O,X,X,X,X
ILZOJST,O,X,X,X,X
ILZOSTJ,O,X,X,X,X
ILZOSJT,O,X,X,X,X
ILOTJSZ,X,X,X,X,X
ILOTJZS,O,X,X,X,X
ILOTSJZ,X,X,X,X,X
ILOTSZJ,X,X,X,X,X
ILOTZJS,O,X,X,X,X
ILOTZSJ,O,X,X,X,X
ILOJTSZ,X,X,X,X,X
ILOJTZS,O,X,X,X,X
ILOJSTZ,X,X,X,X,X
ILOJSZT,X,X,X,X,X
ILOJZTS,O,X,X,X,X
ILOJZST,O,X,X,X,X
ILOSTJZ,X,X,X,X,X
ILOSTZJ,X,X,X,X,X
ILOSJTZ,X,X,X,X,X
ILOSJZT,X,X,X,X,X
ILOSZTJ,X,X,X,X,X
ILOSZJT,X,X,X,X,X
ILOZTJS,O,X,X,X,X
ILOZTSJ,O,X,X,X,X
ILOZJTS,O,X,X,X,X
ILOZJST,O,X,X,X,X
ILOZSTJ,O,X,X,X,X
ILOZSJT,O,X,X,X,X
IJTLSZO,X,X,X,X,X
IJTLSOZ,X,X,X,X,O
IJTLZSO,O,O,X,X,X
IJTLZOS,X,X,X,X,X
IJTLOSZ,X,X,X,X,O
IJTLOZS,O,X,X,X,X
IJTSLZO,X,X,X,X,X
IJTSLOZ,X,X,X,X,O
IJTSZLO,X,X,X,X,X
IJTSZOL,X,X,X,X,X
IJTSOLZ,X,X,X,X,O
IJTSOZL,X,X,X,X,X
IJTZLSO,O,O,X,X,X
IJTZLOS,X,X,X,X,X
IJTZSLO,O,O,X,X,X
IJTZSOL,X,O,X,X,X
IJTZOLS,X,X,X,X,X
IJTZOSL,X,X,X,X,X
IJTOLSZ,X,X,X,X,O
IJTOLZS,O,X,X,X,X
IJTOSLZ,X,X,X,X,O
IJTOSZL,X,X,X,X,X
IJTOZLS,O,X,X,X,X
IJTOZSL,O,X,X,X,X
IJLTSZO,X,X,X,X,X
IJLTSOZ,X,X,O,X,X
IJLTZSO,O,O,X,X,X
IJLTZOS,X,X,X,O,X
IJLTOSZ,X,X,O,X,X
IJLTOZS,O,X,X,O,X
IJLSTZO,X,X,X,X,X
IJLSTOZ,X,X,O,X,X
IJLSZTO,X,O,X,X,X
IJLSZOT,X,O,X,X,X
IJLSOTZ,X,X,X,X,X
IJLSOZT,X,O,X,X,X
IJLZTSO,O,O,X,X,X
IJLZTOS,X,X,X,O,X
IJLZSTO,O,O,X,X,X
IJLZSOT,X,O,X,X,X
IJLZOTS,O,X,X,X,X
IJLZOST,O,X,X,X,X
IJLOTSZ,X,X,X,X,X
IJLOTZS,O,X,X,X,X
IJLOSTZ,X,X,X,X,X
IJLOSZT,X,X,X,X,X
IJLOZTS,O,X,X,X,X
IJLOZST,O,X,X,X,X
IJSTLZO,X,X,X,X,X
IJSTLOZ,X,X,X,X,O
IJSTZLO,X,X,X,X,X
IJSTZOL,X,X,X,X,X
IJSTOLZ,X,X,X,X,O
IJSTOZL,X,X,X,X,X
IJSLTZO,X,X,X,X,X
IJSLTOZ,X,X,O,X,X
IJSLZTO,X,O,X,X,X
IJSLZOT,X,O,X,X,X
IJSLOTZ,X,X,X,X,X
IJSLOZT,X,O,X,X,X
IJSZTLO,X,O,X,X,X
IJSZTOL,X,O,X,X,X
IJSZLTO,X,O,X,X,X
IJSZLOT,X,O,X,X,X
IJSZOTL,X,O,X,X,X
IJSZOLT,X,O,X,X,X
IJSOTLZ,X,X,X,X,X
IJSOTZL,X,X,X,X,X
IJSOLTZ,X,X,X,X,X
IJSOLZT,X,O,X,X,X
IJSOZTL,X,O,X,X,X
IJSOZLT,X,O,X,X,X
IJZTLSO,O,O,X,X,X
IJZTLOS,X,X,X,X,X
IJZTSLO,O,O,X,X,X
IJZTSOL,X,O,X,X,X
IJZTOLS,X,X,X,X,X
IJZTOSL,X,X,X,X,X
IJZLTSO,O,O,X,X,X
IJZLTOS,X,X,X,O,X
IJZLSTO,O,O,X,X,X
IJZLSOT,X,O,X,X,X
IJZLOTS,O,X,X,X,X
IJZLOST,O,X,X,X,X
IJZSTLO,O,O,X,X,X
IJZSTOL,X,O,X,X,X
IJZSLTO,O,O,X,X,X
IJZSLOT,X,O,X,X,X
IJZSOTL,X,O,X,X,X
IJZSOLT,X,O,X,X,X
IJZOTLS,O,X,X,X,X
IJZOTSL,O,X,X,X,X
IJZOLTS,O,X,X,X,X
IJZOLST,O,X,X,X,X
IJZOSTL,O,X,X,X,X
IJZOSLT,O,X,X,X,X
IJOTLSZ,X,X,X,X,X
IJOTLZS,O,X,X,X,X
IJOTSLZ,X,X,X,X,X
IJOTSZL,X,X,X,X,X
IJOTZLS,O,X,X,X,X
IJOTZSL,O,X,X,X,X
IJOLTSZ,X,X,X,X,X
IJOLTZS,O,X,X,X,X
IJOLSTZ,X,X,X,X,X
IJOLSZT,X,X,X,X,X
IJOLZTS,O,X,X,X,X
IJOLZST,O,X,X,X,X
IJOSTLZ,X,X,X,X,X
IJOSTZL,X,X,X,X,X
IJOSLTZ,X,X,X,X,X
IJOSLZT,X,X,X,X,X
IJOSZTL,X,X,X,X,X
IJOSZLT,X,X,X,X,X
IJOZTLS,O,X,X,X,X
IJOZTSL,O,X,X,X,X
IJOZLTS,O,X,X,X,X
IJOZLST,O,X,X,X,X
IJOZSTL,O,X,X,X,X
IJOZSLT,O,X,X,X,X
ISTLJZO,X,X,X,X,X
ISTLJOZ,X,X,X,X,O
ISTLZJO,X,X,X,X,X
ISTLZOJ,X,X,X,X,X
ISTLOJZ,X,X,X,X,X
ISTLOZJ,X,X,X,X,X
ISTJLZO,X,X,X,X,X
ISTJLOZ,X,X,X,X,O
ISTJZLO,X,X,X,X,X
ISTJZOL,X,X,X,X,X
ISTJOLZ,X,X,X,X,O
ISTJOZL,X,X,X,X,X
ISTZLJO,X,X,X,X,X
ISTZLOJ,X,X,X,X,X
ISTZJLO,X,X,X,X,X
ISTZJOL,X,X,X,X,X
ISTZOLJ,X,X,X,X,X
ISTZOJL,X,X,X,X,X
ISTOLJZ,X,X,X,X,X
ISTOLZJ,X,X,X,X,X
ISTOJLZ,X,X,X,X,X
ISTOJZL,X,X,X,X,X
ISTOZLJ,X,X,X,X,X
ISTOZJL,X,X,X,X,X
ISLTJZO,X,X,X,X,X
ISLTJOZ,X,X,O,X,X
ISLTZJO,X,X,X,X,X
ISLTZOJ,X,X,X,X,X
ISLTOJZ,X,X,O,X,X
ISLTOZJ,X,X,X,X,X
ISLJTZO,X,X,X,X,X
ISLJTOZ,X,X,O,X,X
ISLJZTO,X,O,X,X,X
ISLJZOT,X,O,X,X,X
ISLJOTZ,X,X,X,X,X
ISLJOZT,X,O,X,X,X
ISLZTJO,X,O,X,X,X
ISLZTOJ,X,O,X,X,X
ISLZJTO,X,O,X,X,X
ISLZJOT,X,O,X,X,X
ISLZOTJ,X,O,X,X,X
ISLZOJT,X,O,X,X,X
ISLOTJZ,X,X,X,X,X
ISLOTZJ,X,X,X,X,X
ISLOJTZ,X,X,X,X,X
ISLOJZT,X,O,X,X,X
ISLOZTJ,X,O,X,X,X
ISLOZJT,X,O,X,X,X
ISJTLZO,X,X,X,X,X
ISJTLOZ,X,X,X,X,O
ISJTZLO,X,X,X,X,X
ISJTZOL,X,X,X,X,X
ISJTOLZ,X,X,X,X,O
ISJTOZL,X,X,X,X,X
ISJLTZO,X,X,X,X,X
ISJLTOZ,X,X,O,X,X
ISJLZTO,X,O,X,X,X
ISJLZOT,X,O,X,X,X
ISJLOTZ,X,X,X,X,X
ISJLOZT,X,O,X,X,X
ISJZTLO,X,O,X,X,X
ISJZTOL,X,O,X,X,X
ISJZLTO,X,O,X,X,X
ISJZLOT,X,O,X,X,X
ISJZOTL,X,O,X,X,X
ISJZOLT,X,O,X,X,X
ISJOTLZ,X,X,X,X,X
ISJOTZL,X,X,X,X,X
ISJOLTZ,X,X,X,X,X
ISJOLZT,X,O,X,X,X
ISJOZTL,X,O,X,X,X
ISJOZLT,X,O,X,X,X
ISZTLJO,X,O,X,X,X
ISZTLOJ,X,O,X,X,X
ISZTJLO,X,O,X,X,X
ISZTJOL,X,O,X,X,X
ISZTOLJ,X,O,X,X,X
ISZTOJL,X,O,X,X,X
ISZLTJO,X,O,X,X,X
ISZLTOJ,X,O,X,X,X
ISZLJTO,X,O,X,X,X
ISZLJOT,X,O,X,X,X
ISZLOTJ,X,O,X,X,X
ISZLOJT,X,O,X,X,X
ISZJTLO,X,O,X,X,X
ISZJTOL,X,O,X,X,X
ISZJLTO,X,O,X,X,X
ISZJLOT,X,O,X,X,X
ISZJOTL,X,O,X,X,X
ISZJOLT,X,O,X,X,X
ISZOTLJ,X,O,X,X,X
ISZOTJL,X,O,X,X,X
ISZOLTJ,X,O,X,X,X
ISZOLJT,X,O,X,X,X
ISZOJTL,X,O,X,X,X
ISZOJLT,X,O,X,X,X
ISOTLJZ,X,X,X,X,X
ISOTLZJ,X,X,X,X,X
ISOTJLZ,X,X,X,X,X
ISOTJZL,X,X,X,X,X
ISOTZLJ,X,X,X,X,X
ISOTZJL,X,X,X,X,X
ISOLTJZ,X,X,X,X,X
ISOLTZJ,X,X,X,X,X
ISOLJTZ,X,X,X,X,X
ISOLJZT,X,O,X,X,X
ISOLZTJ,X,O,X,X,X
ISOLZJT,X,O,X,X,X
ISOJTLZ,X,X,X,X,X
ISOJTZL,X,X,X,X,X
ISOJLTZ,X,X,X,X,X
ISOJLZT,X,O,X,X,X
ISOJZTL,X,O,X,X,X
ISOJZLT,X,O,X,X,X
ISOZTLJ,X,O,X,X,X
ISOZTJL,X,O,X,X,X
ISOZLTJ,X,O,X,X,X
ISOZLJT,X,O,X,X,X
ISOZJTL,X,O,X,X,X
ISOZJLT,X,O,X,X,X
IZTLJSO,O,O,X,X,X
IZTLJOS,X,X,X,X,X
IZTLSJO,O,O,X,X,X
IZTLSOJ,X,O,X,X,X
IZTLOJS,X,X,X,X,X
IZTLOSJ,X,X,X,X,X
IZTJLSO,O,O,X,X,X
IZTJLOS,X,X,X,X,X
IZTJSLO,O,O,X,X,X
IZTJSOL,X,O,X,X,X
IZTJOLS,X,X,X,X,X
IZTJOSL,X,X,X,X,X
IZTSLJO,O,O,X,X,X
IZTSLOJ,X,O,X,X,X
IZTSJLO,O,O,X,X,X
IZTSJOL,X,O,X,X,X
IZTSOLJ,X,O,X,X,X
IZTSOJL,X,O,X,X,X
IZTOLJS,X,X,X,X,X
IZTOLSJ,X,X,X,X,X
IZTOJLS,X,X,X,X,X
IZTOJSL,X,X,X,X,X
IZTOSLJ,X,X,X,X,X
IZTOSJL,X,X,X,X,X
IZLTJSO,O,O,X,X,X
IZLTJOS,X,X,X,O,X
IZLTSJO,O,O,X,X,X
IZLTSOJ,X,O,X,X,X
IZLTOJS,X,X,X,O,X
IZLTOSJ,X,X,X,X,X
IZLJTSO,O,O,X,X,X
IZLJTOS,X,X,X,O,X
IZLJSTO,O,O,X,X,X
IZLJSOT,X,O,X,X,X
IZLJOTS,O,X,X,X,X
IZLJOST,O,X,X,X,X
IZLSTJO,O,O,X,X,X
IZLSTOJ,X,O,X,X,X
IZLSJTO,O,O,X,X,X
IZLSJOT,X,O,X,X,X
IZLSOTJ,X,O,X,X,X
IZLSOJT,X,O,X,X,X
IZLOTJS,O,X,X,X,X
IZLOTSJ,O,X,X,X,X
IZLOJTS,O,X,X,X,X
IZLOJST,O,X,X,X,X
IZLOSTJ,O,X,X,X,X
IZLOSJT,O,X,X,X,X
IZJTLSO,O,O,X,X,X
IZJTLOS,X,X,X,X,X
IZJTSLO,O,O,X,X,X
IZJTSOL,X,O,X,X,X
IZJTOLS,X,X,X,X,X
IZJTOSL,X,X,X,X,X
IZJLTSO,O,O,X,X,X
IZJLTOS,X,X,X,O,X
IZJLSTO,O,O,X,X,X
IZJLSOT,X,O,X,X,X
IZJLOTS,O,X,X,X,X
IZJLOST,O,X,X,X,X
IZJSTLO,O,O,X,X,X
IZJSTOL,X,O,X,X,X
IZJSLTO,O,O,X,X,X
IZJSLOT,X,O,X,X,X
IZJSOTL,X,O,X,X,X
IZJSOLT,X,O,X,X,X
IZJOTLS,O,X,X,X,X
IZJOTSL,O,X,X,X,X
IZJOLTS,O,X,X,X,X
IZJOLST,O,X,X,X,X
IZJOSTL,O,X,X,X,X
IZJOSLT,O,X,X,X,X
IZSTLJO,O,O,X,X,X
IZSTLOJ,X,O,X,X,X
IZSTJLO,O,O,X,X,X
IZSTJOL,X,O,X,X,X
IZSTOLJ,X,O,X,X,X
IZSTOJL,X,O,X,X,X
IZSLTJO,O,O,X,X,X
IZSLTOJ,X,O,X,X,X
IZSLJTO,O,O,X,X,X
IZSLJOT,X,O,X,X,X
IZSLOTJ,X,O,X,X,X
IZSLOJT,X,O,X,X,X
IZSJTLO,O,O,X,X,X
IZSJTOL,X,O,X,X,X
IZSJLTO,O,O,X,X,X
IZSJLOT,X,O,X,X,X
IZSJOTL,X,O,X,X,X
IZSJOLT,X,O,X,X,X
IZSOTLJ,X,O,X,X,X
IZSOTJL,X,O,X,X,X
IZSOLTJ,X,O,X,X,X
IZSOLJT,X,O,X,X,X
IZSOJTL,X,O,X,X,X
IZSOJLT,X,O,X,X,X
IZOTLJS,O,X,X,X,X
IZOTLSJ,O,X,X,X,X
IZOTJLS,O,X,X,X,X
IZOTJSL,O,X,X,X,X
IZOTSLJ,O,X,X,X,X
IZOTSJL,O,X,X,X,X
IZOLTJS,O,X,X,X,X
IZOLTSJ,O,X,X,X,X
IZOLJTS,O,X,X,X,X
IZOLJST,O,X,X,X,X
IZOLSTJ,O,X,X,X,X
IZOLSJT,O,X,X,X,X
IZOJTLS,O,X,X,X,X
IZOJTSL,O,X,X,X,X
IZOJLTS,O,X,X,X,X
IZOJLST,O,X,X,X,X
IZOJSTL,O,X,X,X,X
IZOJSLT,O,X,X,X,X
IZOSTLJ,O,X,X,X,X
IZOSTJL,O,X,X,X,X
IZOSLTJ,O,X,X,X,X
IZOSLJT,O,X,X,X,X
IZOSJTL,O,X,X,X,X
IZOSJLT,O,X,X,X,X
IOTLJSZ,X,X,X,X,X
IOTLJZS,O,X,X,X,X
IOTLSJZ,X,X,X,X,X
IOTLSZJ,X,X,X,X,X
IOTLZJS,O,X,X,X,X
IOTLZSJ,O,X,X,X,X
IOTJLSZ,X,X,X,X,X
IOTJLZS,O,X,X,X,X
IOTJSLZ,X,X,X,X,X
IOTJSZL,X,X,X,X,X
IOTJZLS,O,X,X,X,X
IOTJZSL,O,X,X,X,X
IOTSLJZ,X,X,X,X,X
IOTSLZJ,X,X,X,X,X
IOTSJLZ,X,X,X,X,X
IOTSJZL,X,X,X,X,X
IOTSZLJ,X,X,X,X,X
IOTSZJL,X,X,X,X,X
IOTZLJS,O,X,X,X,X
IOTZLSJ,O,X,X,X,X
IOTZJLS,O,X,X,X,X
IOTZJSL,O,X,X,X,X
IOTZSLJ,O,X,X,X,X
IOTZSJL,O,X,X,X,X
IOLTJSZ,X,X,X,X,X
IOLTJZS,O,X,X,X,X
IOLTSJZ,X,X,X,X,X
IOLTSZJ,X,X,X,X,X
IOLTZJS,O,X,X,X,X
IOLTZSJ,O,X,X,X,X
IOLJTSZ,X,X,X,X,X
IOLJTZS,O,X,X,X,X
IOLJSTZ,X,X,X,X,X
IOLJSZT,X,X,X,X,X
IOLJZTS,O,X,X,X,X
IOLJZST,O,X,X,X,X
IOLSTJZ,X,X,X,X,X
IOLSTZJ,X,X,X,X,X
IOLSJTZ,X,X,X,X,X
IOLSJZT,X,X,X,X,X
IOLSZTJ,X,X,X,X,X
IOLSZJT,X,X,X,X,X
IOLZTJS,O,X,X,X,X
IOLZTSJ,O,X,X,X,X
IOLZJTS,O,X,X,X,X
IOLZJST,O,X,X,X,X
IOLZSTJ,O,X,X,X,X
IOLZSJT,O,X,X,X,X
IOJTLSZ,X,X,X,X,X
IOJTLZS,O,X,X,X,X
IOJTSLZ,X,X,X,X,X
IOJTSZL,X,X,X,X,X
IOJTZLS,O,X,X,X,X
IOJTZSL,O,X,X,X,X
IOJLTSZ,X,X,X,X,X
IOJLTZS,O,X,X,X,X
IOJLSTZ,X,X,X,X,X
IOJLSZT,X,X,X,X,X
IOJLZTS,O,X,X,X,X
IOJLZST,O,X,X,X,X
IOJSTLZ,X,X,X,X,X
IOJSTZL,X,X,X,X,X
IOJSLTZ,X,X,X,X,X
IOJSLZT,X,X,X,X,X
IOJSZTL,X,X,X,X,X
IOJSZLT,X,X,X,X,X
IOJZTLS,O,X,X,X,X
IOJZTSL,O,X,X,X,X
IOJZLTS,O,X,X,X,X
IOJZLST,O,X,X,X,X
IOJZSTL,O,X,X,X,X
IOJZSLT,O,X,X,X,X
IOSTLJZ,X,X,X,X,X
IOSTLZJ,X,X,X,X,X
IOSTJLZ,X,X,X,X,X
IOSTJZL,X,X,X,X,X
IOSTZLJ,X,X,X,X,X
IOSTZJL,X,X,X,X,X
IOSLTJZ,X,X,X,X,X
IOSLTZJ,X,X,X,X,X
IOSLJTZ,X,X,X,X,X
IOSLJZT,X,X,X,X,X
IOSLZTJ,X,X,X,X,X
IOSLZJT,X,X,X,X,X
IOSJTLZ,X,X,X,X,X
IOSJTZL,X,X,X,X,X
IOSJLTZ,X,X,X,X,X
IOSJLZT,X,X,X,X,X
IOSJZTL,X,X,X,X,X
IOSJZLT,X,X,X,X,X
IOSZTLJ,X,X,X,X,X
IOSZTJL,X,X,X,X,X
IOSZLTJ,X,X,X,X,X
IOSZLJT,X,X,X,X,X
IOSZJTL,X,X,X,X,X
IOSZJLT,X,X,X,X,X
IOZTLJS,O,X,X,X,X
IOZTLSJ,O,X,X,X,X
IOZTJLS,O,X,X,X,X
IOZTJSL,O,X,X,X,X
IOZTSLJ,O,X,X,X,X
IOZTSJL,O,X,X,X,X
IOZLTJS,O,X,X,X,X
IOZLTSJ,O,X,X,X,X
IOZLJTS,O,X,X,X,X
IOZLJST,O,X,X,X,X
IOZLSTJ,O,X,X,X,X
IOZLSJT,O,X,X,X,X
IOZJTLS,O,X,X,X,X
IOZJTSL,O,X,X,X,X
IOZJLTS,O,X,X,X,X
IOZJLST,O,X,X,X,X
IOZJSTL,O,X,X,X,X
IOZJSLT,O,X,X,X,X
IOZSTLJ,O,X,X,X,X
IOZSTJL,O,X,X,X,X
IOZSLTJ,O,X,X,X,X
IOZSLJT,O,X,X,X,X
IOZSJTL,O,X,X,X,X
IOZSJLT,O,X,X,X,X
LTIJSZO,X,X,X,X,X
LTIJSOZ,X,X,O,X,X
LTIJZSO,O,O,X,X,X
LTIJZOS,X,X,X,O,X
LTIJOSZ,X,X,O,X,X
LTIJOZS,O,X,X,O,X
LTISJZO,X,X,X,X,X
LTISJOZ,X,X,O,X,X
LTISZJO,X,X,X,X,X
LTISZOJ,X,X,X,X,X
LTISOJZ,X,X,O,X,X
LTISOZJ,X,X,X,X,X
LTIZJSO,O,O,X,X,X
LTIZJOS,X,X,X,O,X
LTIZSJO,O,O,X,X,X
LTIZSOJ,X,O,X,X,X
LTIZOJS,X,X,X,O,X
LTIZOSJ,X,X,X,X,X
LTIOJSZ,X,X,O,X,X
LTIOJZS,O,X,X,O,X
LTIOSJZ,X,X,O,X,X
LTIOSZJ,X,X,X,X,X
LTIOZJS,O,X,X,O,X
LTIOZSJ,O,X,X,X,X
LTJISZO,X,X,X,X,X
LTJISOZ,X,X,O,X,X
LTJIZSO,O,O,X,X,X
LTJIZOS,X,X,X,O,X
LTJIOSZ,X,X,O,X,X
LTJIOZS,O,X,X,O,X
LTJSIZO,X,X,X,X,X
LTJSIOZ,X,X,O,X,X
LTJSZIO,X,X,X,X,X
LTJSZOI,X,X,X,X,X
LTJSOIZ,X,X,O,X,X
LTJSOZI,X,X,X,X,X
LTJZISO,O,O,X,X,X
LTJZIOS,X,X,X,O,X
LTJZSIO,O,X,X,X,X
LTJZSOI,X,X,X,X,X
LTJZOIS,X,X,X,O,X
LTJZOSI,X,X,X,X,X
LTJOISZ,X,X,O,X,X
LTJOIZS,O,X,X,O,X
LTJOSIZ,X,X,O,X,X
LTJOSZI,X,X,X,X,X
LTJOZIS,O,X,X,O,X
LTJOZSI,O,X,X,X,X
LTSIJZO,X,X,X,X,X
LTSIJOZ,X,X,O,X,X
LTSIZJO,X,X,X,X,X
LTSIZOJ,X,X,X,X,X
LTSIOJZ,X,X,O,X,X
