sequence,v115@HhA8BeA8FeD8DeE8FeA8Je0/IvhFxgB6nBTjBXrB2x?BlrB,v115@HhA8BeA8FeD8DeE8FeA8Je0/IvhFxgBTjBqsBlrBOs?BXrB,v115@HhA8BeA8FeD8DeE8FeA8Je0/IvhFmgBTjB3mBqsBFn?BRwB,v115@HhA8BeA8FeD8DeE8FeA8Je0/IvhFmgBTjBFnB3mBqs?BRwB,v115@HhA8BeA8FeD8DeE8FeA8Je0/IvhF3hBSoBVsBmlBzs?BRwB
ITJLSOZ,X,O,O,X,X
ITJLZSO,X,O,O,X,O
ITJLZOS,O,O,O,O,X
ITJLOSZ,X,O,O,X,X
ITJLOZS,O,O,O,O,X
ITJSLZO,X,X,X,X,O
ITJSLOZ,X,X,X,X,X
ITJSZLO,X,X,X,X,O
ITJSZOL,X,X,X,O,X
ITJSOLZ,X,X,X,X,X
ITJSOZL,X,X,X,O,X
ITJZLSO,X,O,O,X,O
ITJZLOS,O,O,O,O,X
ITJZSLO,X,X,X,X,O
ITJZSOL,X,X,X,O,X
ITJZOLS,O,O,O,O,X
ITJZOSL,X,X,X,O,X
ITJOLSZ,X,O,O,X,X
ITJOLZS,O,O,O,O,X
ITJOSLZ,X,X,X,X,X
ITJOSZL,X,X,X,O,X
ITJOZLS,O,O,O,O,X
ITJOZSL,X,X,X,O,X
ITSLJZO,X,O,X,X,O
ITSLJOZ,X,O,X,X,X
ITSLZJO,X,O,X,X,O
ITSLZOJ,X,O,X,X,O
ITSLOJZ,X,O,X,X,X
ITSLOZJ,X,O,X,X,O
ITSJLZO,O,X,X,X,O
ITSJLOZ,O,X,X,X,X
ITSJZLO,O,X,X,X,O
ITSJZOL,O,X,X,O,X
ITSJOLZ,O,X,X,X,X
ITSJOZL,O,X,X,O,X
ITSZLJO,X,O,X,X,O
ITSZLOJ,X,O,X,X,O
ITSZJLO,O,X,X,X,O
ITSZJOL,O,X,X,O,X
ITSZOLJ,X,O,X,X,O
ITSZOJL,O,X,X,O,X
ITSOLJZ,X,O,X,X,X
ITSOLZJ,X,O,X,X,O
ITSOJLZ,O,X,X,X,X
ITSOJZL,O,X,X,O,X
ITSOZLJ,X,O,X,X,O
ITSOZJL,O,X,X,O,X
ITZLJSO,X,O,O,X,O
ITZLJOS,X,O,O,O,X
ITZLSJO,X,O,O,X,O
ITZLSOJ,X,O,O,X,O
ITZLOJS,X,O,O,O,X
ITZLOSJ,X,O,O,X,O
ITZJLSO,X,O,O,X,O
ITZJLOS,O,O,O,O,X
ITZJSLO,X,X,X,X,O
ITZJSOL,X,X,X,O,X
ITZJOLS,O,O,O,O,X
ITZJOSL,X,X,X,O,X
ITZSLJO,X,O,X,X,O
ITZSLOJ,X,O,X,X,O
ITZSJLO,O,X,X,X,O
ITZSJOL,O,X,X,O,X
ITZSOLJ,X,O,X,X,O
ITZSOJL,O,X,X,O,X
ITZOLJS,X,O,O,O,X
ITZOLSJ,X,O,O,X,O
ITZOJLS,O,O,O,O,X
ITZOJSL,X,X,X,O,X
ITZOSLJ,X,O,X,X,O
ITZOSJL,O,X,X,O,X
ITOLJSZ,X,O,O,X,X
ITOLJZS,X,O,O,O,X
ITOLSJZ,X,O,O,X,X
ITOLSZJ,X,O,O,X,O
ITOLZJS,X,O,O,O,X
ITOLZSJ,X,O,O,X,O
ITOJLSZ,X,O,O,X,X
ITOJLZS,O,O,O,O,X
ITOJSLZ,X,X,X,X,X
ITOJSZL,X,X,X,O,X
ITOJZLS,O,O,O,O,X
ITOJZSL,X,X,X,O,X
ITOSLJZ,X,O,X,X,X
ITOSLZJ,X,O,X,X,O
ITOSJLZ,O,X,X,X,X
ITOSJZL,O,X,X,O,X
ITOSZLJ,X,O,X,X,O
ITOSZJL,O,X,X,O,X
ITOZLJS,X,O,O,O,X
ITOZLSJ,X,O,O,X,O
ITOZJLS,O,O,O,O,X
ITOZJSL,X,X,X,O,X
ITOZSLJ,X,O,X,X,O
ITOZSJL,O,X,X,O,X
ILTJSZO,X,O,O,X,O
ILTJSOZ,X,O,O,X,X
ILTJZSO,X,O,O,X,O
ILTJZOS,X,O,O,O,X
ILTJOSZ,X,O,O,X,X
ILTJOZS,X,O,O,O,X
ILTSJZO,X,O,O,X,O
ILTSJOZ,X,O,O,X,X
ILTSZJO,X,O,O,X,O
ILTSZOJ,X,O,O,X,O
ILTSOJZ,X,O,O,X,X
ILTSOZJ,X,O,O,X,O
ILTZJSO,X,O,O,X,O
ILTZJOS,X,O,O,O,X
ILTZSJO,X,O,O,X,O
ILTZSOJ,X,O,O,X,O
ILTZOJS,X,O,O,O,X
ILTZOSJ,X,O,O,X,O
ILTOJSZ,X,O,O,X,X
ILTOJZS,X,O,O,O,X
ILTOSJZ,X,O,O,X,X
ILTOSZJ,X,O,O,X,O
ILTOZJS,X,O,O,O,X
ILTOZSJ,X,O,O,X,O
ILJTSZO,X,X,O,X,O
ILJTSOZ,X,X,O,X,X
ILJTZSO,X,X,O,X,O
ILJTZOS,O,X,O,O,X
ILJTOSZ,X,X,O,X,X
ILJTOZS,O,X,O,O,X
ILJSTZO,X,X,O,X,X
ILJSTOZ,X,X,O,X,X
ILJSZTO,X,X,O,X,X
ILJSZOT,O,X,O,X,X
ILJSOTZ,X,X,O,X,X
ILJSOZT,O,X,O,X,X
ILJZTSO,X,X,O,X,O
ILJZTOS,O,X,O,O,X
ILJZSTO,X,X,O,X,X
ILJZSOT,O,X,O,X,X
ILJZOTS,O,X,O,O,X
ILJZOST,O,X,O,X,X
ILJOTSZ,X,X,O,X,X
ILJOTZS,O,X,O,O,X
ILJOSTZ,X,X,O,X,X
ILJOSZT,O,X,O,X,X
ILJOZTS,O,X,O,O,X
ILJOZST,O,X,O,X,X
ILSTJZO,X,X,O,X,O
ILSTJOZ,X,X,O,X,X
ILSTZJO,X,X,O,X,O
ILSTZOJ,X,X,O,X,O
ILSTOJZ,X,X,O,X,X
ILSTOZJ,X,X,O,X,O
ILSJTZO,O,X,O,X,X
ILSJTOZ,O,X,O,X,X
ILSJZTO,O,X,O,X,X
ILSJZOT,O,X,O,X,X
ILSJOTZ,O,X,O,X,X
ILSJOZT,O,X,O,X,X
ILSZTJO,X,X,O,X,O
ILSZTOJ,X,X,O,X,O
ILSZJTO,O,X,O,X,X
ILSZJOT,O,X,O,X,X
ILSZOTJ,X,X,O,X,X
ILSZOJT,O,X,O,X,X
ILSOTJZ,X,X,O,X,X
ILSOTZJ,X,X,O,X,X
ILSOJTZ,O,X,O,X,X
ILSOJZT,O,X,O,X,X
ILSOZTJ,X,X,O,X,X
ILSOZJT,O,X,O,X,X
ILZTJSO,X,O,O,X,O
ILZTJOS,X,O,O,O,X
ILZTSJO,X,O,O,X,O
ILZTSOJ,X,O,O,X,O
ILZTOJS,X,O,O,O,X
ILZTOSJ,X,O,O,X,O
ILZJTSO,X,X,O,X,O
ILZJTOS,O,X,O,O,X
ILZJSTO,X,X,O,X,X
ILZJSOT,O,X,O,X,X
ILZJOTS,O,X,O,O,X
ILZJOST,O,X,O,X,X
ILZSTJO,X,X,O,X,O
ILZSTOJ,X,X,O,X,O
ILZSJTO,O,X,O,X,X
ILZSJOT,O,X,O,X,X
ILZSOTJ,X,X,O,X,X
ILZSOJT,O,X,O,X,X
ILZOTJS,X,O,O,O,X
ILZOTSJ,X,O,O,X,O
ILZOJTS,O,X,O,O,X
ILZOJST,O,X,O,X,X
ILZOSTJ,X,X,O,X,X
ILZOSJT,O,X,O,X,X
ILOTJSZ,X,O,O,X,X
ILOTJZS,X,O,O,O,X
ILOTSJZ,X,O,O,X,X
ILOTSZJ,X,O,O,X,O
ILOTZJS,X,O,O,O,X
ILOTZSJ,X,O,O,X,O
ILOJTSZ,X,X,O,X,X
ILOJTZS,O,X,O,O,X
ILOJSTZ,X,X,O,X,X
ILOJSZT,O,X,O,X,X
ILOJZTS,O,X,O,O,X
ILOJZST,O,X,O,X,X
ILOSTJZ,X,X,O,X,X
ILOSTZJ,X,X,O,X,X
ILOSJTZ,O,X,O,X,X
ILOSJZT,O,X,O,X,X
ILOSZTJ,X,X,O,X,X
ILOSZJT,O,X,O,X,X
ILOZTJS,X,O,O,O,X
ILOZTSJ,X,O,O,X,O
ILOZJTS,O,X,O,O,X
ILOZJST,O,X,O,X,X
ILOZSTJ,X,X,O,X,X
ILOZSJT,O,X,O,X,X
IJTLSZO,X,O,O,X,O
IJTLSOZ,X,O,O,X,X
IJTLZSO,X,O,O,X,O
IJTLZOS,O,O,O,O,X
IJTLOSZ,X,O,O,X,X
IJTLOZS,O,O,O,O,X
IJTSLZO,X,X,X,X,O
IJTSLOZ,X,X,X,X,X
IJTSZLO,X,X,X,X,O
IJTSZOL,X,X,X,O,X
IJTSOLZ,X,X,X,X,X
IJTSOZL,X,X,X,O,X
IJTZLSO,X,O,O,X,O
IJTZLOS,O,O,O,O,X
IJTZSLO,X,X,X,X,O
IJTZSOL,X,X,X,O,X
IJTZOLS,O,O,O,O,X
IJTZOSL,X,X,X,O,X
IJTOLSZ,X,O,O,X,X
IJTOLZS,O,O,O,O,X
IJTOSLZ,X,X,X,X,X
IJTOSZL,X,X,X,O,X
IJTOZLS,O,O,O,O,X
IJTOZSL,X,X,X,O,X
IJLTSZO,X,X,O,X,O
IJLTSOZ,X,X,O,X,X
IJLTZSO,X,X,O,X,O
IJLTZOS,O,X,O,O,X
IJLTOSZ,X,X,O,X,X
IJLTOZS,O,X,O,O,X
IJLSTZO,O,X,O,X,X
IJLSTOZ,O,X,O,X,X
IJLSZTO,O,X,O,X,X
IJLSZOT,O,X,O,X,X
IJLSOTZ,O,X,O,X,X
IJLSOZT,O,X,O,X,X
IJLZTSO,X,X,O,X,O
IJLZTOS,O,X,O,O,X
IJLZSTO,O,X,O,X,X
IJLZSOT,O,X,O,X,X
IJLZOTS,O,X,O,O,X
IJLZOST,O,X,O,X,X
IJLOTSZ,X,X,O,X,X
IJLOTZS,O,X,O,O,X
IJLOSTZ,O,X,O,X,X
IJLOSZT,O,X,O,X,X
IJLOZTS,O,X,O,O,X
IJLOZST,O,X,O,X,X
IJSTLZO,O,X,X,X,X
IJSTLOZ,O,X,X,X,X
IJSTZLO,O,X,X,X,X
IJSTZOL,O,X,X,O,X
IJSTOLZ,O,X,X,X,X
IJSTOZL,O,X,X,O,X
IJSLTZO,O,X,O,X,X
IJSLTOZ,O,X,O,X,X
IJSLZTO,O,X,O,X,X
IJSLZOT,O,X,O,X,X
IJSLOTZ,O,X,O,X,X
IJSLOZT,O,X,O,X,X
IJSZTLO,O,X,X,X,X
IJSZTOL,O,X,X,O,X
IJSZLTO,O,X,O,X,X
IJSZLOT,O,X,O,X,X
IJSZOTL,O,X,X,O,X
IJSZOLT,O,X,O,X,X
IJSOTLZ,O,X,X,X,X
IJSOTZL,O,X,X,O,X
IJSOLTZ,O,X,O,X,X
IJSOLZT,O,X,O,X,X
IJSOZTL,O,X,X,O,X
IJSOZLT,O,X,O,X,X
IJZTLSO,X,O,O,X,O
IJZTLOS,O,O,O,O,X
IJZTSLO,X,X,X,X,O
IJZTSOL,X,X,X,O,X
IJZTOLS,O,O,O,O,X
IJZTOSL,X,X,X,O,X
IJZLTSO,X,X,O,X,O
IJZLTOS,O,X,O,O,X
IJZLSTO,O,X,O,X,X
IJZLSOT,O,X,O,X,X
IJZLOTS,O,X,O,O,X
IJZLOST,O,X,O,X,X
IJZSTLO,O,X,X,X,X
IJZSTOL,O,X,X,O,X
IJZSLTO,O,X,O,X,X
IJZSLOT,O,X,O,X,X
IJZSOTL,O,X,X,O,X
IJZSOLT,O,X,O,X,X
IJZOTLS,O,O,O,O,X
IJZOTSL,X,X,X,O,X
IJZOLTS,O,X,O,O,X
IJZOLST,O,X,O,X,X
IJZOSTL,O,X,X,O,X
IJZOSLT,O,X,O,X,X
IJOTLSZ,X,O,O,X,X
IJOTLZS,O,O,O,O,X
IJOTSLZ,X,X,X,X,X
IJOTSZL,X,X,X,O,X
IJOTZLS,O,O,O,O,X
IJOTZSL,X,X,X,O,X
IJOLTSZ,X,X,O,X,X
IJOLTZS,O,X,O,O,X
IJOLSTZ,O,X,O,X,X
IJOLSZT,O,X,O,X,X
IJOLZTS,O,X,O,O,X
IJOLZST,O,X,O,X,X
IJOSTLZ,O,X,X,X,X
IJOSTZL,O,X,X,O,X
IJOSLTZ,O,X,O,X,X
IJOSLZT,O,X,O,X,X
IJOSZTL,O,X,X,O,X
IJOSZLT,O,X,O,X,X
IJOZTLS,O,O,O,O,X
IJOZTSL,X,X,X,O,X
IJOZLTS,O,X,O,O,X
IJOZLST,O,X,O,X,X
IJOZSTL,O,X,X,O,X
IJOZSLT,O,X,O,X,X
ISTLJZO,X,O,X,X,O
ISTLJOZ,X,O,X,X,X
ISTLZJO,X,O,X,X,O
ISTLZOJ,X,O,X,X,O
ISTLOJZ,X,O,X,X,X
ISTLOZJ,X,O,X,X,O
ISTJLZO,O,X,X,X,O
ISTJLOZ,O,X,X,X,X
ISTJZLO,O,X,X,X,O
ISTJZOL,O,X,X,O,X
ISTJOLZ,O,X,X,X,X
ISTJOZL,O,X,X,O,X
ISTZLJO,X,O,X,X,O
ISTZLOJ,X,O,X,X,O
ISTZJLO,O,X,X,X,O
ISTZJOL,O,X,X,O,X
ISTZOLJ,X,O,X,X,O
ISTZOJL,O,X,X,O,X
ISTOLJZ,X,O,X,X,X
ISTOLZJ,X,O,X,X,O
ISTOJLZ,O,X,X,X,X
ISTOJZL,O,X,X,O,X
ISTOZLJ,X,O,X,X,O
ISTOZJL,O,X,X,O,X
ISLTJZO,X,X,O,X,O
ISLTJOZ,X,X,O,X,X
ISLTZJO,X,X,O,X,O
ISLTZOJ,X,X,O,X,O
ISLTOJZ,X,X,O,X,X
ISLTOZJ,X,X,O,X,O
ISLJTZO,O,X,O,X,X
ISLJTOZ,O,X,O,X,X
ISLJZTO,O,X,O,X,X
ISLJZOT,O,X,O,X,X
ISLJOTZ,O,X,O,X,X
ISLJOZT,O,X,O,X,X
ISLZTJO,X,X,O,X,O
ISLZTOJ,X,X,O,X,O
ISLZJTO,O,X,O,X,X
ISLZJOT,O,X,O,X,X
ISLZOTJ,X,X,O,X,X
ISLZOJT,O,X,O,X,X
ISLOTJZ,X,X,O,X,X
ISLOTZJ,X,X,O,X,X
ISLOJTZ,O,X,O,X,X
ISLOJZT,O,X,O,X,X
ISLOZTJ,X,X,O,X,X
ISLOZJT,O,X,O,X,X
ISJTLZO,O,X,X,X,X
ISJTLOZ,O,X,X,X,X
ISJTZLO,O,X,X,X,X
ISJTZOL,O,X,X,O,X
ISJTOLZ,O,X,X,X,X
ISJTOZL,O,X,X,O,X
ISJLTZO,O,X,O,X,X
ISJLTOZ,O,X,O,X,X
ISJLZTO,O,X,O,X,X
ISJLZOT,O,X,O,X,X
ISJLOTZ,O,X,O,X,X
ISJLOZT,O,X,O,X,X
ISJZTLO,O,X,X,X,X
ISJZTOL,O,X,X,O,X
ISJZLTO,O,X,O,X,X
ISJZLOT,O,X,O,X,X
ISJZOTL,O,X,X,O,X
ISJZOLT,O,X,O,X,X
ISJOTLZ,O,X,X,X,X
ISJOTZL,O,X,X,O,X
ISJOLTZ,O,X,O,X,X
ISJOLZT,O,X,O,X,X
ISJOZTL,O,X,X,O,X
ISJOZLT,O,X,O,X,X
ISZTLJO,X,O,X,X,O
ISZTLOJ,X,O,X,X,O
ISZTJLO,O,X,X,X,O
ISZTJOL,O,X,X,O,X
ISZTOLJ,X,O,X,X,O
ISZTOJL,O,X,X,O,X
ISZLTJO,X,X,O,X,O
ISZLTOJ,X,X,O,X,O
ISZLJTO,O,X,O,X,X
ISZLJOT,O,X,O,X,X
ISZLOTJ,X,X,O,X,X
ISZLOJT,O,X,O,X,X
ISZJTLO,O,X,X,X,X
ISZJTOL,O,X,X,O,X
ISZJLTO,O,X,O,X,X
ISZJLOT,O,X,O,X,X
ISZJOTL,O,X,X,O,X
ISZJOLT,O,X,O,X,X
ISZOTLJ,X,O,X,X,X
ISZOTJL,O,X,X,O,X
ISZOLTJ,X,X,O,X,X
ISZOLJT,O,X,O,X,X
ISZOJTL,O,X,X,O,X
ISZOJLT,O,X,O,X,X
ISOTLJZ,X,O,X,X,X
ISOTLZJ,X,O,X,X,X
ISOTJLZ,O,X,X,X,X
ISOTJZL,O,X,X,O,X
ISOTZLJ,X,O,X,X,X
ISOTZJL,O,X,X,O,X
ISOLTJZ,X,X,O,X,X
ISOLTZJ,X,X,O,X,X
ISOLJTZ,O,X,O,X,X
ISOLJZT,O,X,O,X,X
ISOLZTJ,X,X,O,X,X
ISOLZJT,O,X,O,X,X
ISOJTLZ,O,X,X,X,X
ISOJTZL,O,X,X,O,X
ISOJLTZ,O,X,O,X,X
ISOJLZT,O,X,O,X,X
ISOJZTL,O,X,X,O,X
ISOJZLT,O,X,O,X,X
ISOZTLJ,X,O,X,X,X
ISOZTJL,O,X,X,O,X
ISOZLTJ,X,X,O,X,X
ISOZLJT,O,X,O,X,X
ISOZJTL,O,X,X,O,X
ISOZJLT,O,X,O,X,X
IZTLJSO,X,O,O,X,O
IZTLJOS,X,O,O,O,X
IZTLSJO,X,O,O,X,O
IZTLSOJ,X,O,O,X,O
IZTLOJS,X,O,O,O,X
IZTLOSJ,X,O,O,X,O
IZTJLSO,X,O,O,X,O
IZTJLOS,O,O,O,O,X
IZTJSLO,X,X,X,X,O
IZTJSOL,X,X,X,O,X
IZTJOLS,O,O,O,O,X
IZTJOSL,X,X,X,O,X
IZTSLJO,X,O,X,X,O
IZTSLOJ,X,O,X,X,O
IZTSJLO,O,X,X,X,O
IZTSJOL,O,X,X,O,X
IZTSOLJ,X,O,X,X,O
IZTSOJL,O,X,X,O,X
IZTOLJS,X,O,O,O,X
IZTOLSJ,X,O,O,X,O
IZTOJLS,O,O,O,O,X
IZTOJSL,X,X,X,O,X
IZTOSLJ,X,O,X,X,O
IZTOSJL,O,X,X,O,X
IZLTJSO,X,O,O,X,O
IZLTJOS,X,O,O,O,X
IZLTSJO,X,O,O,X,O
IZLTSOJ,X,O,O,X,O
IZLTOJS,X,O,O,O,X
IZLTOSJ,X,O,O,X,O
IZLJTSO,X,X,O,X,O
IZLJTOS,O,X,O,O,X
IZLJSTO,X,X,O,X,X
IZLJSOT,O,X,O,X,X
IZLJOTS,O,X,O,O,X
IZLJOST,O,X,O,X,X
IZLSTJO,X,X,O,X,O
IZLSTOJ,X,X,O,X,O
IZLSJTO,O,X,O,X,X
IZLSJOT,O,X,O,X,X
IZLSOTJ,X,X,O,X,X
IZLSOJT,O,X,O,X,X
IZLOTJS,X,O,O,O,X
IZLOTSJ,X,O,O,X,O
IZLOJTS,O,X,O,O,X
IZLOJST,O,X,O,X,X
IZLOSTJ,X,X,O,X,X
IZLOSJT,O,X,O,X,X
IZJTLSO,X,O,O,X,O
IZJTLOS,O,O,O,O,X
IZJTSLO,X,X,X,X,O
IZJTSOL,X,X,X,O,X
IZJTOLS,O,O,O,O,X
IZJTOSL,X,X,X,O,X
IZJLTSO,X,X,O,X,O
IZJLTOS,O,X,O,O,X
IZJLSTO,O,X,O,X,X
IZJLSOT,O,X,O,X,X
IZJLOTS,O,X,O,O,X
IZJLOST,O,X,O,X,X
IZJSTLO,O,X,X,X,X
IZJSTOL,O,X,X,O,X
IZJSLTO,O,X,O,X,X
IZJSLOT,O,X,O,X,X
IZJSOTL,O,X,X,O,X
IZJSOLT,O,X,O,X,X
IZJOTLS,O,O,O,O,X
IZJOTSL,X,X,X,O,X
IZJOLTS,O,X,O,O,X
IZJOLST,O,X,O,X,X
IZJOSTL,O,X,X,O,X
IZJOSLT,O,X,O,X,X
IZSTLJO,X,O,X,X,O
IZSTLOJ,X,O,X,X,O
IZSTJLO,O,X,X,X,O
IZSTJOL,O,X,X,O,X
IZSTOLJ,X,O,X,X,O
IZSTOJL,O,X,X,O,X
IZSLTJO,X,X,O,X,O
IZSLTOJ,X,X,O,X,O
IZSLJTO,O,X,O,X,X
IZSLJOT,O,X,O,X,X
IZSLOTJ,X,X,O,X,X
IZSLOJT,O,X,O,X,X
IZSJTLO,O,X,X,X,X
IZSJTOL,O,X,X,O,X
IZSJLTO,O,X,O,X,X
IZSJLOT,O,X,O,X,X
IZSJOTL,O,X,X,O,X
IZSJOLT,O,X,O,X,X
IZSOTLJ,X,O,X,X,X
IZSOTJL,O,X,X,O,X
IZSOLTJ,X,X,O,X,X
IZSOLJT,O,X,O,X,X
IZSOJTL,O,X,X,O,X
IZSOJLT,O,X,O,X,X
IZOTLJS,X,O,O,O,X
IZOTLSJ,X,O,O,X,O
IZOTJLS,O,O,O,O,X
IZOTJSL,X,X,X,O,X
IZOTSLJ,X,O,X,X,O
IZOTSJL,O,X,X,O,X
IZOLTJS,X,O,O,O,X
IZOLTSJ,X,O,O,X,O
IZOLJTS,O,X,O,O,X
IZOLJST,O,X,O,X,X
IZOLSTJ,X,X,O,X,X
IZOLSJT,O,X,O,X,X
IZOJTLS,O,O,O,O,X
IZOJTSL,X,X,X,O,X
IZOJLTS,O,X,O,O,X
IZOJLST,O,X,O,X,X
IZOJSTL,O,X,X,O,X
IZOJSLT,O,X,O,X,X
IZOSTLJ,X,O,X,X,X
IZOSTJL,O,X,X,O,X
IZOSLTJ,X,X,O,X,X
IZOSLJT,O,X,O,X,X
IZOSJTL,O,X,X,O,X
IZOSJLT,O,X,O,X,X
IOTLJSZ,X,O,O,X,X
IOTLJZS,X,O,O,O,X
IOTLSJZ,X,O,O,X,X
IOTLSZJ,X,O,O,X,O
IOTLZJS,X,O,O,O,X
IOTLZSJ,X,O,O,X,O
IOTJLSZ,X,O,O,X,X
IOTJLZS,O,O,O,O,X
IOTJSLZ,X,X,X,X,X
IOTJSZL,X,X,X,O,X
IOTJZLS,O,O,O,O,X
IOTJZSL,X,X,X,O,X
IOTSLJZ,X,O,X,X,X
IOTSLZJ,X,O,X,X,O
IOTSJLZ,O,X,X,X,X
IOTSJZL,O,X,X,O,X
IOTSZLJ,X,O,X,X,O
IOTSZJL,O,X,X,O,X
IOTZLJS,X,O,O,O,X
IOTZLSJ,X,O,O,X,O
IOTZJLS,O,O,O,O,X
IOTZJSL,X,X,X,O,X
IOTZSLJ,X,O,X,X,O
IOTZSJL,O,X,X,O,X
IOLTJSZ,X,O,O,X,X
IOLTJZS,X,O,O,O,X
IOLTSJZ,X,O,O,X,X
IOLTSZJ,X,O,O,X,O
IOLTZJS,X,O,O,O,X
IOLTZSJ,X,O,O,X,O
IOLJTSZ,X,X,O,X,X
IOLJTZS,O,X,O,O,X
IOLJSTZ,X,X,O,X,X
IOLJSZT,O,X,O,X,X
IOLJZTS,O,X,O,O,X
IOLJZST,O,X,O,X,X
IOLSTJZ,X,X,O,X,X
IOLSTZJ,X,X,O,X,X
IOLSJTZ,O,X,O,X,X
IOLSJZT,O,X,O,X,X
IOLSZTJ,X,X,O,X,X
IOLSZJT,O,X,O,X,X
IOLZTJS,X,O,O,O,X
IOLZTSJ,X,O,O,X,O
IOLZJTS,O,X,O,O,X
IOLZJST,O,X,O,X,X
IOLZSTJ,X,X,O,X,X
IOLZSJT,O,X,O,X,X
IOJTLSZ,X,O,O,X,X
IOJTLZS,O,O,O,O,X
IOJTSLZ,X,X,X,X,X
IOJTSZL,X,X,X,O,X
IOJTZLS,O,O,O,O,X
IOJTZSL,X,X,X,O,X
IOJLTSZ,X,X,O,X,X
IOJLTZS,O,X,O,O,X
IOJLSTZ,O,X,O,X,X
IOJLSZT,O,X,O,X,X
IOJLZTS,O,X,O,O,X
IOJLZST,O,X,O,X,X
IOJSTLZ,O,X,X,X,X
IOJSTZL,O,X,X,O,X
IOJSLTZ,O,X,O,X,X
IOJSLZT,O,X,O,X,X
IOJSZTL,O,X,X,O,X
IOJSZLT,O,X,O,X,X
IOJZTLS,O,O,O,O,X
IOJZTSL,X,X,X,O,X
IOJZLTS,O,X,O,O,X
IOJZLST,O,X,O,X,X
IOJZSTL,O,X,X,O,X
IOJZSLT,O,X,O,X,X
IOSTLJZ,X,O,X,X,X
IOSTLZJ,X,O,X,X,X
IOSTJLZ,O,X,X,X,X
IOSTJZL,O,X,X,O,X
IOSTZLJ,X,O,X,X,X
IOSTZJL,O,X,X,O,X
IOSLTJZ,X,X,O,X,X
IOSLTZJ,X,X,O,X,X
IOSLJTZ,O,X,O,X,X
IOSLJZT,O,X,O,X,X
IOSLZTJ,X,X,O,X,X
IOSLZJT,O,X,O,X,X
IOSJTLZ,O,X,X,X,X
IOSJTZL,O,X,X,O,X
IOSJLTZ,O,X,O,X,X
IOSJLZT,O,X,O,X,X
IOSJZTL,O,X,X,O,X
IOSJZLT,O,X,O,X,X
IOSZTLJ,X,O,X,X,X
IOSZTJL,O,X,X,O,X
IOSZLTJ,X,X,O,X,X
IOSZLJT,O,X,O,X,X
IOSZJTL,O,X,X,O,X
IOSZJLT,O,X,O,X,X
IOZTLJS,X,O,O,O,X
IOZTLSJ,X,O,O,X,O
IOZTJLS,O,O,O,O,X
IOZTJSL,X,X,X,O,X
IOZTSLJ,X,O,X,X,O
IOZTSJL,O,X,X,O,X
IOZLTJS,X,O,O,O,X
IOZLTSJ,X,O,O,X,O
IOZLJTS,O,X,O,O,X
IOZLJST,O,X,O,X,X
IOZLSTJ,X,X,O,X,X
IOZLSJT,O,X,O,X,X
IOZJTLS,O,O,O,O,X
IOZJTSL,X,X,X,O,X
IOZJLTS,O,X,O,O,X
IOZJLST,O,X,O,X,X
IOZJSTL,O,X,X,O,X
IOZJSLT,O,X,O,X,X
IOZSTLJ,X,O,X,X,X
IOZSTJL,O,X,X,O,X
IOZSLTJ,X,X,O,X,X
IOZSLJT,O,X,O,X,X
IOZSJTL,O,X,X,O,X
IOZSJLT,O,X,O,X,X
LTIJSZO,X,O,O,X,O
LTIJSOZ,X,O,O,X,X
LTIJZSO,X,O,O,X,O
LTIJZOS,X,O,O,X,X
LTIJOSZ,X,O,O,X,X
LTIJOZS,X,O,O,X,X
LTISJZO,X,O,O,X,O
LTISJOZ,X,O,O,X,X
LTISZJO,X,O,O,X,O
LTISZOJ,X,O,O,X,O
LTISOJZ,X,O,O,X,X
LTISOZJ,X,O,O,X,O
LTIZJSO,X,O,O,X,O
LTIZJOS,X,O,O,X,X
LTIZSJO,X,O,O,X,O
LTIZSOJ,X,O,O,X,O
LTIZOJS,X,O,O,X,X
LTIZOSJ,X,O,O,X,O
LTIOJSZ,X,O,O,X,X
LTIOJZS,X,O,O,X,X
LTIOSJZ,X,O,O,X,X
LTIOSZJ,X,O,O,X,O
LTIOZJS,X,O,O,X,X
LTIOZSJ,X,O,O,X,O
LTJISZO,X,O,O,X,X
LTJISOZ,X,O,O,X,X
LTJIZSO,X,O,O,X,X
LTJIZOS,X,O,O,X,X
LTJIOSZ,X,O,O,X,X
LTJIOZS,X,O,O,X,X
LTJSIZO,X,O,X,X,X
LTJSIOZ,X,O,X,X,X
LTJSZIO,X,O,X,X,X
LTJSZOI,X,O,X,X,X
LTJSOIZ,X,O,X,X,X
LTJSOZI,X,O,X,X,X
LTJZISO,X,O,O,X,X
LTJZIOS,X,O,O,X,X
LTJZSIO,X,O,X,X,X
LTJZSOI,X,O,X,X,X
LTJZOIS,X,O,O,X,X
LTJZOSI,X,O,X,X,X
LTJOISZ,X,O,O,X,X
LTJOIZS,X,O,O,X,X
LTJOSIZ,X,O,X,X,X
LTJOSZI,X,O,X,X,X
LTJOZIS,X,O,O,X,X
LTJOZSI,X,O,X,X,X
LTSIJZO,X,O,X,X,X
LTSIJOZ,X,O,X,X,X
LTSIZJO,X,O,X,X,X
LTSIZOJ,X,O,X,X,X
LTSIOJZ,X,O,X,X,X
LTSIOZJ,X,O,X,X,X
LTSJIZO,X,O,X,X,X
LTSJIOZ,X,O,X,X,X
