sequence,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhF/lBUhBRiBtpBTn?ByvB,v115@GhA8HeB8EeA8BeC8DeE8JeT/IvhFxgBdnBunB/qBar?B0pB,v115@GhA8HeB8EeA8BeC8DeE8Je0/IvhFxgBdnBunB/pBar?BTqB,v115@GhA8HeB8EeA8BeC8DeE8Jex/IvhFNmBanBunBTkB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8Jex/IvhFNmBanBunBTkBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeSFJvhFNmBRiB/pBTnB0q?BmpB,v115@GhA8HeB8EeA8BeC8DeE8JeT/IvhFNmBanBunBxpBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhFNmBRiBClBTnBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhFNmBRiBClBTnB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhF6lBNmB3iBzkBUn?BRvB,v115@GhA8HeB8EeA8BeC8DeE8JeKEJvhFWlBNmBRiBTnB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8JeKEJvhFWlBNmBRiBTnBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeT/IvhF0gBdnBunBypBXm?BRvB,v115@GhA8HeB8EeA8BeC8DeE8JeNGJvhFanBunBxkBTkB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8JeNGJvhFanBunBxkBTkBXq?B0qB
IZLSTOJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLSJTO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSJOT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZLSOTJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLSOJT,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLOTJS,X,X,X,O,X,X,O,X,O,O,O,X,O,X,X
IZLOTSJ,O,X,X,O,X,X,X,X,O,O,O,X,O,X,X
IZLOJTS,X,X,X,O,X,X,O,X,O,O,O,X,O,X,X
IZLOJST,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZLOSTJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X
IZLOSJT,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IZJTLSO,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X
IZJTLOS,X,O,X,O,X,X,O,X,O,X,X,X,O,O,X
IZJTSLO,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJTSOL,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJTOLS,X,O,X,O,X,X,O,X,O,O,X,X,X,O,X
IZJTOSL,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X
IZJLTSO,O,X,X,X,X,X,O,X,X,X,X,X,O,O,X
IZJLTOS,X,X,X,O,X,X,O,X,O,X,X,X,O,O,X
IZJLSTO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJLSOT,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJLOTS,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X
IZJLOST,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZJSTLO,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZJSTOL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJSLTO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSLOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZJSOTL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJSOLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJOTLS,X,O,X,O,X,X,O,X,O,O,X,X,X,O,X
IZJOTSL,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X
IZJOLTS,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X
IZJOLST,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZJOSTL,X,O,X,O,X,X,X,X,O,O,X,X,X,X,X
IZJOSLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSTLJO,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSTLOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZSTJLO,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSTJOL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSTOLJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZSTOJL,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZSLTJO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZSLJTO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLJOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZSLOJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSJTLO,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
IZSJTOL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSJLTO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJLOT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSJOTL,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSJOLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSOTLJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZSOTJL,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZSOLTJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZSOLJT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSOJTL,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
IZSOJLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOTLJS,X,O,X,O,X,X,O,X,O,O,O,X,X,O,X
IZOTLSJ,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X
IZOTJLS,X,O,X,O,X,X,O,X,O,O,O,X,X,O,X
IZOTJSL,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
IZOTSLJ,X,O,X,O,X,O,X,X,O,O,O,X,X,X,X
IZOTSJL,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
IZOLTJS,X,X,X,O,X,X,O,X,O,O,O,X,X,X,X
IZOLTSJ,O,X,X,O,X,O,X,X,O,O,O,X,X,X,X
IZOLJTS,X,X,X,O,X,X,O,X,O,O,O,X,X,X,X
IZOLJST,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOLSTJ,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X
IZOLSJT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOJTLS,X,O,X,O,X,X,O,X,O,O,O,X,X,O,X
IZOJTSL,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
IZOJLTS,X,X,X,O,X,X,O,X,O,O,O,X,X,X,X
IZOJLST,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOJSTL,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
IZOJSLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOSTLJ,X,O,X,O,X,O,X,X,O,O,O,X,X,X,X
IZOSTJL,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
IZOSLTJ,O,O,X,X,X,O,X,X,X,O,O,X,X,X,X
IZOSLJT,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOSJTL,X,O,X,O,X,O,X,X,O,O,X,X,X,X,X
IZOSJLT,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTLJSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOTLJZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOTLSJZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOTLSZJ,O,X,O,X,O,O,X,O,X,O,O,O,O,X,X
IOTLZJS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOTLZSJ,O,X,O,O,X,O,X,X,O,O,O,O,O,X,X
IOTJLSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOTJLZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOTJSLZ,O,X,O,O,O,X,O,O,X,O,X,O,X,X,X
IOTJSZL,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOTJZLS,O,X,X,O,O,X,O,X,O,O,O,X,X,X,X
IOTJZSL,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
IOTSLJZ,O,X,O,O,O,X,O,O,X,O,O,O,X,X,X
IOTSLZJ,O,X,O,X,O,O,X,O,X,O,O,O,X,X,X
IOTSJLZ,O,X,O,O,O,X,O,O,X,O,X,O,X,X,X
IOTSJZL,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOTSZLJ,O,X,O,X,O,O,X,O,O,O,O,O,X,X,X
IOTSZJL,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOTZLJS,O,X,X,O,O,X,O,X,O,O,O,O,X,X,X
IOTZLSJ,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X
IOTZJLS,O,X,X,O,O,X,O,X,O,O,O,X,X,X,X
IOTZJSL,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
IOTZSLJ,O,X,O,O,X,O,X,O,O,O,O,O,X,X,X
IOTZSJL,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
IOLTJSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOLTJZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOLTSJZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOLTSZJ,O,X,O,X,O,O,X,O,X,O,O,O,O,X,X
IOLTZJS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOLTZSJ,O,X,O,O,X,O,X,X,O,O,O,O,O,X,X
IOLJTSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOLJTZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOLJSTZ,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X
IOLJSZT,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOLJZTS,O,X,X,O,X,X,O,X,O,O,O,X,O,X,X
IOLJZST,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOLSTJZ,O,X,O,X,O,X,O,O,X,O,O,O,O,X,X
IOLSTZJ,O,X,O,X,O,O,X,O,X,O,O,O,O,X,X
IOLSJTZ,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X
IOLSJZT,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOLSZTJ,O,X,O,X,X,O,X,X,X,O,O,O,O,X,X
IOLSZJT,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOLZTJS,O,X,O,O,X,X,O,X,O,O,O,O,O,X,X
IOLZTSJ,O,X,O,O,X,O,X,X,O,O,O,O,O,X,X
IOLZJTS,O,X,X,O,X,X,O,X,O,O,O,X,O,X,X
IOLZJST,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOLZSTJ,O,X,O,X,X,O,X,X,X,O,O,O,O,X,X
IOLZSJT,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOJTLSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOJTLZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOJTSLZ,O,X,O,O,O,X,O,O,X,O,X,O,X,X,X
IOJTSZL,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOJTZLS,O,X,X,O,O,X,O,X,O,O,O,X,X,X,X
IOJTZSL,O,X,O,O,X,O,X,O,O,O,X,X,X,X,X
IOJLTSZ,O,X,O,O,O,X,O,O,X,O,O,O,O,X,X
IOJLTZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
IOJLSTZ,O,X,O,X,O,X,O,O,X,O,X,O,O,X,X
IOJLSZT,O,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOJLZTS,O,X,X,O,X,X,O,X,O,O,O,X,O,X,X
IOJLZST,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOJSTLZ,O,X,O,O,O,X,O,O,X,O,X,O,X,X,X
IOJSTZL,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOJSLTZ,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X
IOJSLZT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJSZTL,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
IOJSZLT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOJZTLS,O,X,X,O,O,X,O,X,O,O,O,X,X,X,X
IOJZTSL,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOJZLTS,O,X,X,O,X,X,O,X,O,O,O,X,X,X,X
IOJZLST,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOJZSTL,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X
IOJZSLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOSTLJZ,O,X,O,O,O,X,O,O,X,O,O,O,X,X,X
IOSTLZJ,O,X,O,X,O,O,X,O,X,O,O,O,X,X,X
IOSTJLZ,O,X,O,O,O,X,O,O,X,O,X,O,X,X,X
IOSTJZL,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOSTZLJ,O,X,O,X,O,O,X,O,O,O,O,O,X,X,X
IOSTZJL,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOSLTJZ,O,X,O,X,O,X,O,O,X,O,O,O,X,X,X
IOSLTZJ,O,X,O,X,O,O,X,O,X,O,O,O,X,X,X
IOSLJTZ,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X
IOSLJZT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOSLZTJ,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X
IOSLZJT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOSJTLZ,O,X,O,O,O,X,O,O,X,O,X,O,X,X,X
IOSJTZL,O,X,O,X,O,O,X,O,O,O,X,X,X,X,X
IOSJLTZ,O,X,O,X,O,X,O,O,X,O,X,O,X,X,X
IOSJLZT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOSJZTL,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
IOSJZLT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOSZTLJ,X,X,O,O,O,O,X,O,O,O,O,O,X,X,X
IOSZTJL,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
IOSZLTJ,O,X,O,X,X,O,X,X,X,O,O,O,X,X,X
IOSZLJT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOSZJTL,X,X,O,O,O,O,X,O,O,O,X,X,X,X,X
IOSZJLT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
IOZTLJS,O,X,X,O,O,X,O,X,O,O,O,O,X,X,X
IOZTLSJ,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X
IOZTJLS,O,X,X,O,O,X,O,X,O,O,O,X,X,X,X
IOZTJSL,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOZTSLJ,O,X,X,O,X,O,X,O,O,O,O,O,X,X,X
IOZTSJL,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOZLTJS,O,X,X,O,X,X,O,X,O,O,O,O,X,X,X
IOZLTSJ,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X
IOZLJTS,O,X,X,O,X,X,O,X,O,O,O,X,X,X,X
IOZLJST,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZLSTJ,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X
IOZLSJT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZJTLS,O,X,X,O,O,X,O,X,O,O,O,X,X,X,X
IOZJTSL,O,X,X,O,X,O,X,O,O,O,X,X,X,X,X
IOZJLTS,O,X,X,O,X,X,O,X,O,O,O,X,X,X,X
IOZJLST,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZJSTL,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X
IOZJSLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZSTLJ,X,X,X,O,O,O,X,O,O,O,O,O,X,X,X
IOZSTJL,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X
IOZSLTJ,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X
IOZSLJT,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZSJTL,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X
IOZSJLT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIJSZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LTIJSOZ,O,O,O,X,O,X,O,X,X,O,X,X,O,X,O
LTIJZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LTIJZOS,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
LTIJOSZ,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
LTIJOZS,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
LTISJZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LTISJOZ,O,O,O,X,O,X,O,X,X,O,X,O,O,X,O
LTISZJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
LTISZOJ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
LTISOJZ,O,O,O,X,O,X,O,X,X,O,X,O,O,X,O
LTISOZJ,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X
LTIZJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LTIZJOS,X,O,O,O,X,X,O,X,X,X,O,X,O,O,X
LTIZSJO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
LTIZSOJ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
LTIZOJS,X,O,O,O,X,X,O,X,X,O,O,X,O,O,X
LTIZOSJ,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X
LTIOJSZ,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
LTIOJZS,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
LTIOSJZ,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
LTIOSZJ,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X
LTIOZJS,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
LTIOZSJ,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X
LTJISZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LTJISOZ,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
LTJIZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LTJIZOS,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
LTJIOSZ,O,O,O,O,O,X,O,X,X,X,O,O,O,X,X
LTJIOZS,O,X,O,O,O,X,O,X,X,X,O,O,O,X,X
LTJSIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LTJSIOZ,O,O,O,X,O,X,O,O,X,X,X,O,O,X,O
LTJSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTJSZOI,O,O,O,O,O,X,X,O,X,X,X,O,O,X,X
LTJSOIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
LTJSOZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
LTJZISO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LTJZIOS,X,O,O,O,X,X,O,X,O,X,O,X,O,O,X
LTJZSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTJZSOI,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X
LTJZOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X
LTJZOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
LTJOISZ,O,O,O,O,O,X,O,O,X,X,O,O,O,X,X
LTJOIZS,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X
LTJOSIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
LTJOSZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
LTJOZIS,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X
LTJOZSI,O,X,O,O,O,X,X,X,O,X,O,O,O,X,X
LTSIJZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LTSIJOZ,O,O,O,X,O,X,O,O,X,O,X,O,O,X,O
LTSIZJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
LTSIZOJ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
LTSIOJZ,O,O,O,X,O,X,O,O,X,O,X,O,O,X,O
LTSIOZJ,O,O,O,X,O,X,X,O,X,O,X,O,O,X,X
LTSJIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LTSJIOZ,O,O,O,X,O,X,O,O,X,X,X,O,O,X,O
LTSJZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTSJZOI,O,O,O,O,O,X,X,O,X,X,X,O,O,X,X
LTSJOIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
LTSJOZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
LTSZIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTSZIOJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTSZJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTSZJOI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
LTSZOIJ,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
LTSZOJI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
LTSOIJZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
LTSOIZJ,O,O,O,X,O,O,X,O,X,X,O,O,O,X,X
LTSOJIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
LTSOJZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
LTSOZIJ,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
LTSOZJI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
LTZIJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LTZIJOS,X,O,O,O,X,X,O,X,O,X,O,X,O,O,X
LTZISJO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
LTZISOJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
LTZIOJS,X,O,O,O,X,X,O,X,O,X,O,X,O,O,X
LTZIOSJ,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X
LTZJISO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LTZJIOS,X,O,O,O,X,X,O,X,O,X,O,X,O,O,X
LTZJSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTZJSOI,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X
LTZJOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X
LTZJOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
LTZSIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTZSIOJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTZSJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
LTZSJOI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
LTZSOIJ,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
LTZSOJI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
LTZOIJS,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X
LTZOISJ,O,X,O,O,X,O,X,X,O,X,O,O,O,X,X
LTZOJIS,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X
LTZOJSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
LTZOSIJ,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
LTZOSJI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
LTOIJSZ,O,O,O,O,O,X,O,O,X,X,O,O,O,X,X
LTOIJZS,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X
LTOISJZ,O,O,O,O,O,X,O,O,X,X,O,O,O,X,X
LTOISZJ,O,O,O,X,O,O,X,O,X,X,O,O,O,X,X
LTOIZJS,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X
LTOIZSJ,O,X,O,O,X,O,X,X,O,X,O,O,O,X,X
LTOJISZ,O,O,O,O,O,X,O,O,X,X,O,O,O,X,X
LTOJIZS,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X
LTOJSIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
LTOJSZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
LTOJZIS,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X
LTOJZSI,O,X,O,O,O,X,X,X,O,X,O,O,O,X,X
LTOSIJZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
LTOSIZJ,O,O,O,X,O,O,X,O,X,X,O,O,O,X,X
LTOSJIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
LTOSJZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
LTOSZIJ,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
LTOSZJI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
LTOZIJS,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X
LTOZISJ,O,X,O,O,X,O,X,X,O,X,O,O,O,X,X
LTOZJIS,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X
LTOZJSI,O,X,O,O,O,X,X,X,O,X,O,O,O,X,X
LTOZSIJ,O,X,O,O,O,O,X,X,O,X,O,O,X,X,X
LTOZSJI,O,X,O,O,O,O,X,X,O,X,O,O,O,X,X
LITJSZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LITJSOZ,O,O,O,X,O,X,O,X,X,O,X,X,O,X,O
LITJZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LITJZOS,X,X,O,O,X,X,O,X,X,X,X,X,O,O,X
LITJOSZ,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
LITJOZS,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
LITSJZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
LITSJOZ,O,O,O,X,O,X,O,X,X,O,X,O,O,X,O
LITSZJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
LITSZOJ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
LITSOJZ,O,O,O,X,O,X,O,X,X,O,X,O,O,X,O
LITSOZJ,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X
LITZJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
LITZJOS,X,X,O,O,X,X,O,X,X,X,O,X,O,O,X
LITZSJO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
LITZSOJ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
LITZOJS,X,X,O,O,X,X,O,X,X,O,O,X,O,O,X
LITZOSJ,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X
LITOJSZ,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
LITOJZS,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
LITOSJZ,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
LITOSZJ,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X
LITOZJS,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
