sequence,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhF/lBUhBRiBtpBTn?ByvB,v115@GhA8HeB8EeA8BeC8DeE8JeT/IvhFxgBdnBunB/qBar?B0pB,v115@GhA8HeB8EeA8BeC8DeE8Je0/IvhFxgBdnBunB/pBar?BTqB,v115@GhA8HeB8EeA8BeC8DeE8Jex/IvhFNmBanBunBTkB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8Jex/IvhFNmBanBunBTkBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeSFJvhFNmBRiB/pBTnB0q?BmpB,v115@GhA8HeB8EeA8BeC8DeE8JeT/IvhFNmBanBunBxpBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhFNmBRiBClBTnBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhFNmBRiBClBTnB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8JeOEJvhF6lBNmB3iBzkBUn?BRvB,v115@GhA8HeB8EeA8BeC8DeE8JeKEJvhFWlBNmBRiBTnB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8JeKEJvhFWlBNmBRiBTnBXq?B0qB,v115@GhA8HeB8EeA8BeC8DeE8JeT/IvhF0gBdnBunBypBXm?BRvB,v115@GhA8HeB8EeA8BeC8DeE8JeNGJvhFanBunBxkBTkB0q?BXqB,v115@GhA8HeB8EeA8BeC8DeE8JeNGJvhFanBunBxkBTkBXq?B0qB
TISZOLJ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TISZOJL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TISOLJZ,O,X,O,X,O,X,O,O,X,O,X,O,X,X,O
TISOLZJ,O,X,O,X,O,O,X,O,X,O,X,O,X,X,X
TISOJLZ,O,X,O,X,O,X,O,O,X,O,X,O,X,X,O
TISOJZL,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X
TISOZLJ,O,O,O,X,O,O,X,O,X,O,X,O,X,X,X
TISOZJL,O,O,O,X,O,O,X,O,X,O,X,X,X,X,X
TIZLJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TIZLJOS,X,O,O,O,X,X,O,X,O,X,O,X,O,O,X
TIZLSJO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
TIZLSOJ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TIZLOJS,X,O,O,O,X,X,O,X,O,O,O,X,O,O,X
TIZLOSJ,X,X,O,O,X,X,X,X,O,O,O,X,O,X,X
TIZJLSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TIZJLOS,X,O,O,O,X,X,O,X,O,X,X,X,O,O,X
TIZJSLO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TIZJSOL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIZJOLS,X,O,X,O,X,X,O,X,O,O,X,X,X,O,X
TIZJOSL,X,O,O,O,X,X,X,X,O,O,X,X,X,X,X
TIZSLJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TIZSLOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TIZSJLO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TIZSJOL,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TIZSOLJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TIZSOJL,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIZOLJS,X,O,X,O,X,X,O,X,O,O,O,X,X,O,X
TIZOLSJ,X,X,X,O,X,O,X,X,O,O,O,X,X,X,X
TIZOJLS,X,O,X,O,X,X,O,X,O,O,O,X,X,O,X
TIZOJSL,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X
TIZOSLJ,X,O,O,O,X,O,X,X,O,O,O,X,X,X,X
TIZOSJL,X,O,O,O,X,O,X,X,O,O,X,X,X,X,X
TIOLJSZ,O,O,O,O,O,X,O,O,X,O,O,O,O,X,X
TIOLJZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
TIOLSJZ,O,O,O,O,O,X,O,O,X,O,O,O,O,X,X
TIOLSZJ,O,O,O,X,O,O,X,O,X,O,O,O,O,X,X
TIOLZJS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
TIOLZSJ,O,X,O,O,X,O,X,X,O,O,O,O,O,X,X
TIOJLSZ,O,O,O,O,O,X,O,O,X,O,O,O,O,X,X
TIOJLZS,O,X,O,O,O,X,O,X,O,O,O,O,O,X,X
TIOJSLZ,O,X,O,O,O,X,O,O,X,O,X,O,X,X,X
TIOJSZL,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
TIOJZLS,O,O,X,O,O,X,O,X,O,O,O,X,X,X,X
TIOJZSL,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TIOSLJZ,O,X,O,O,O,X,O,O,X,O,O,O,X,X,X
TIOSLZJ,O,X,O,X,O,O,X,O,X,O,O,O,X,X,X
TIOSJLZ,O,X,O,O,O,X,O,O,X,O,X,O,X,X,X
TIOSJZL,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
TIOSZLJ,O,O,O,X,O,O,X,O,O,O,O,O,X,X,X
TIOSZJL,O,O,O,X,O,O,X,O,O,O,X,X,X,X,X
TIOZLJS,O,O,X,O,O,X,O,X,O,O,O,O,X,X,X
TIOZLSJ,O,X,X,O,X,O,X,X,O,O,O,O,X,X,X
TIOZJLS,O,O,X,O,O,X,O,X,O,O,O,X,X,X,X
TIOZJSL,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TIOZSLJ,O,X,O,O,X,O,X,O,O,O,O,O,X,X,X
TIOZSJL,O,O,O,O,X,O,X,O,O,O,X,X,X,X,X
TLIJSZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TLIJSOZ,O,O,O,X,O,X,O,X,X,O,X,X,O,X,O
TLIJZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TLIJZOS,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
TLIJOSZ,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
TLIJOZS,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
TLISJZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TLISJOZ,O,O,O,X,O,X,O,X,X,O,X,O,O,X,O
TLISZJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
TLISZOJ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TLISOJZ,O,O,O,X,O,X,O,X,X,O,X,O,O,X,O
TLISOZJ,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X
TLIZJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TLIZJOS,X,O,O,O,X,X,O,X,X,X,O,X,O,O,X
TLIZSJO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
TLIZSOJ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TLIZOJS,X,O,O,O,X,X,O,X,X,O,O,X,O,O,X
TLIZOSJ,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X
TLIOJSZ,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
TLIOJZS,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
TLIOSJZ,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
TLIOSZJ,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X
TLIOZJS,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
TLIOZSJ,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X
TLJISZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TLJISOZ,O,O,O,X,O,X,O,X,X,X,X,X,O,X,O
TLJIZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TLJIZOS,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
TLJIOSZ,O,O,O,O,O,X,O,X,X,X,O,O,O,X,X
TLJIOZS,O,X,O,O,O,X,O,X,X,X,O,O,O,X,X
TLJSIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TLJSIOZ,O,O,O,X,O,X,O,O,X,X,X,O,O,X,O
TLJSZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJSZOI,O,O,O,O,O,X,X,O,X,X,X,O,O,X,X
TLJSOIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
TLJSOZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
TLJZISO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TLJZIOS,X,O,O,O,X,X,O,X,O,X,O,X,O,O,X
TLJZSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLJZSOI,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X
TLJZOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X
TLJZOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
TLJOISZ,O,O,O,O,O,X,O,O,X,X,O,O,O,X,X
TLJOIZS,O,X,O,O,O,X,O,X,O,X,O,O,O,X,X
TLJOSIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
TLJOSZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
TLJOZIS,O,X,O,O,O,X,X,X,O,X,O,O,O,O,X
TLJOZSI,O,X,O,O,O,X,X,X,O,X,O,O,O,X,X
TLSIJZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TLSIJOZ,O,O,O,X,O,X,O,O,X,O,X,O,O,X,O
TLSIZJO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
TLSIZOJ,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TLSIOJZ,O,O,O,X,O,X,O,O,X,O,X,O,O,X,O
TLSIOZJ,O,O,O,X,O,X,X,O,X,O,X,O,O,X,X
TLSJIZO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TLSJIOZ,O,O,O,X,O,X,O,O,X,X,X,O,O,X,O
TLSJZIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSJZOI,O,O,O,O,O,X,X,O,X,X,X,O,O,X,X
TLSJOIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
TLSJOZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
TLSZIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSZIOJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLSZJOI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
TLSZOIJ,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
TLSZOJI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
TLSOIJZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
TLSOIZJ,O,O,O,X,O,O,X,O,X,X,O,O,O,X,X
TLSOJIZ,O,O,O,O,O,X,X,O,X,X,O,O,O,X,O
TLSOJZI,O,O,O,O,O,X,X,O,X,X,O,O,O,X,X
TLSOZIJ,O,O,O,O,O,O,X,O,X,X,O,O,X,X,X
TLSOZJI,O,O,O,O,O,O,X,O,X,X,O,O,O,X,X
TLZIJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TLZIJOS,X,O,O,O,X,X,O,X,O,X,O,X,O,O,X
TLZISJO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
TLZISOJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
TLZIOJS,X,O,O,O,X,X,O,X,O,X,O,X,O,O,X
TLZIOSJ,X,X,O,O,X,X,X,X,O,X,O,X,O,X,X
TLZJISO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TLZJIOS,X,O,O,O,X,X,O,X,O,X,O,X,O,O,X
TLZJSIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZJSOI,O,O,O,O,O,X,X,X,O,X,O,X,O,X,X
TLZJOIS,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X
TLZJOSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
TLZSIJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZSIOJ,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,O
TLZSJOI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
TLZSOIJ,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
TLZSOJI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
TLZOIJS,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X
TLZOISJ,O,X,O,O,X,O,X,X,O,X,O,O,O,X,X
TLZOJIS,O,O,O,O,O,X,X,X,O,X,O,O,O,O,X
TLZOJSI,O,O,O,O,O,X,X,X,O,X,O,O,O,X,X
TLZOSIJ,O,O,O,O,O,O,X,X,O,X,O,O,X,X,X
TLZOSJI,O,O,O,O,O,O,X,X,O,X,O,O,O,X,X
TLOIJSZ,O,O,O,O,O,X,O,O,X,X,O,O,O,X,X
