sequence,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeGAJvhFZmBtmB?0iB6oB/qBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeaFJvhFRhB9nB?TjBuqBcrBXtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFumB9nB?TjByqBXtB0qB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeaFJvhFRhB3iB?9oBuqBcrBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeUAJvhF3hB9nB?6oBetBxqBzqB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmB6nB?TjBmlB0qBXtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeGAJvhF0hBxiB?/qBNrBqsBTtB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeUAJvhFRiB9oB?erBCnB3lBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmBXjB?TlBerBctB6sB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmBXjB?TlBerBStB0sB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFumB9oB?/qBarB0nBzsB,v115@9gA8IeB8HeB8DeA8CeC8BeB8BeA8JeRAJvhFtmB0iB?2qBStBzqBXtB
TILJSZO,O,X,O,X,O,X,O,O,X,X,X,X
TILJSOZ,O,O,O,X,O,O,O,X,X,O,X,X
TILJZSO,O,X,O,X,O,X,O,O,X,X,X,X
TILJZOS,X,X,X,X,O,X,X,O,X,X,X,O
TILJOSZ,X,X,O,X,O,X,X,X,X,O,X,O
TILJOZS,X,X,X,X,O,X,X,O,X,O,X,O
TILSJZO,O,X,O,O,O,X,O,O,X,X,X,X
TILSJOZ,O,O,O,X,O,O,O,X,X,O,X,X
TILSZJO,O,O,O,O,O,O,O,X,X,X,X,X
TILSZOJ,O,O,O,O,X,O,O,X,X,X,X,X
TILSOJZ,O,O,O,X,X,O,O,X,X,X,X,X
TILSOZJ,O,O,O,O,X,O,O,X,X,X,X,X
TILZJSO,O,O,O,O,O,O,O,O,X,X,X,X
TILZJOS,X,O,X,O,O,O,X,O,X,X,X,O
TILZSJO,O,O,O,O,O,O,O,X,X,X,X,X
TILZSOJ,O,O,O,O,X,O,O,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,O,X,X,X,X,X
TILZOSJ,O,O,X,O,X,O,O,X,X,X,X,X
TILOJSZ,O,X,O,X,X,X,O,X,X,X,X,X
TILOJZS,O,X,X,X,X,X,O,O,X,X,X,X
TILOSJZ,O,O,O,X,X,O,O,X,X,X,X,X
TILOSZJ,O,O,O,X,X,O,O,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,O,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,O,X,X,X,X,X
TIJLSZO,O,X,O,X,O,X,X,O,X,X,X,X
TIJLSOZ,O,O,O,X,O,O,X,X,X,O,X,X
TIJLZSO,O,X,O,X,O,X,X,O,X,X,X,X
TIJLZOS,X,X,X,X,O,X,X,O,X,X,X,O
TIJLOSZ,X,X,O,X,O,X,X,X,X,O,X,O
TIJLOZS,X,X,X,X,O,X,X,O,X,O,X,O
TIJSLZO,O,X,O,X,O,X,X,X,X,X,O,X
TIJSLOZ,O,O,O,X,O,O,X,X,X,X,O,X
TIJSZLO,O,X,X,X,O,X,X,X,X,X,O,X
TIJSZOL,O,X,O,X,O,X,X,X,X,X,X,X
TIJSOLZ,O,O,O,X,O,O,X,X,X,X,X,X
TIJSOZL,O,X,O,X,O,X,X,X,X,X,X,X
TIJZLSO,O,X,X,X,O,X,X,O,X,X,X,X
TIJZLOS,X,X,X,X,O,X,X,O,X,X,X,O
TIJZSLO,O,X,X,X,O,X,X,X,X,X,O,X
TIJZSOL,O,X,O,X,O,X,X,X,O,X,X,X
TIJZOLS,X,X,X,X,O,X,X,X,O,X,X,X
TIJZOSL,X,X,X,X,O,X,X,X,O,X,X,X
TIJOLSZ,O,X,X,X,O,X,X,X,X,O,X,X
TIJOLZS,O,X,X,X,O,X,X,X,O,O,X,X
TIJOSLZ,O,X,O,X,O,X,X,X,X,O,X,X
TIJOSZL,O,X,O,X,O,X,X,X,O,X,X,X
