sequence,v115@NhD8HeC8BeB8BeC8JeT/IvhFKlBxiBFmBGmB0pBXsB,v115@NhD8HeC8BeB8BeC8JeT/IvhFKlBxiBGmBFmB0pBXsB,v115@NhD8HeC8BeB8BeC8Je2EJvhF6mBxiBzlBFlB0pBXsB,v115@NhD8HeC8BeB8BeC8JeOEJvhFVlBUhBSrBxnBzpBXsB,v115@NhD8HeC8BeB8BeC8JeKFJvhFxiBTkBGmBFmBXsB0pB,v115@NhD8HeC8BeB8BeC8JeKFJvhFxiBTkBFmBGmBXsB0pB,v115@NhD8HeC8BeB8BeC8Je2EJvhFxiBCmBFlBTmB0pBXsB,v115@NhD8HeC8BeB8BeC8Je0/IvhFxiB2pBzlBFsB6rBXqB,v115@NhD8HeC8BeB8BeC8Je2EJvhFRgB3hB1qBCoB0pBzrB,v115@NhD8HeC8BeB8BeC8JeVFJvhFxiB2pBTmBCmBXsB0pB,v115@NhD8HeC8BeB8BeC8JeKEJvhFxiBUlBFmBGmBXsBzpB,v115@NhD8HeC8BeB8BeC8JeVFJvhFRhB2pBXmBCoBzrB0pB,v115@NhD8HeC8BeB8BeC8JeUBJvhF/pBFlBCoBRrBmpBzrB,v115@NhD8HeC8BeB8BeC8Je0/IvhFVmB2pBCoBRrBXqBzrB,v115@NhD8HeC8BeB8BeC8JeXAJvhFVmB2pBCoBRrB0pBzrB
TILJSZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TILJSOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILJZOS,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X
TILJOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILSJZO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O
TILSJOZ,X,X,X,X,O,O,X,X,O,X,X,X,X,X,O
TILSZJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSZOJ,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X
TILSOJZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TILZJSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZSOJ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZOJS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
