sequence,v115@QhA8DeI8EeB8Jex/IvhFylBFiBXjBTkB0qBWxB,v115@QhA8DeI8EeB8JeT/IvhFUiBFjBxpB/qBarBWxB,v115@QhA8DeI8EeB8Jem/IvhFChBxiBTkB0qBlrB3sB,v115@QhA8DeI8EeB8JeT/IvhFylBFiBXjBxpBWxB0qB,v115@QhA8DeI8EeB8JeT/IvhFmgBCiBXjBxpB0qBVxB,v115@QhA8DeI8EeB8JeKEJvhFzfB+lBxmBXoBVwBUsB,v115@QhA8DeI8EeB8JeKEJvhFRgB3hBFjBUlBWwBTsB,v115@QhA8DeI8EeB8JeUBJvhFFiBXjBTkB6qBmkBxwB,v115@QhA8DeI8EeB8Jei/IvhFRhBFjB3kB0qBGrBTsB,v115@QhA8DeI8EeB8Jei/IvhF3hBFjBxpBGqBTsBUrB,v115@QhA8DeI8EeB8JeKEJvhFzfB+lBxnBXrBlsB0rB,v115@QhA8DeI8EeB8JeOEJvhF6lBxhBXjBzkBVwBUsB,v115@QhA8DeI8EeB8JeKEJvhFGgBThBFjBUlB/sBRwB,v115@QhA8DeI8EeB8JeOEJvhF6lBxiBzkBXrBlsB0rB,v115@QhA8DeI8EeB8Jex/IvhF2nBTkB/qBFrB0rBCtB,v115@QhA8DeI8EeB8Je0/IvhF6lBThBFjB2pB/sBRwB,v115@QhA8DeI8EeB8Je1GJvhFXjBxkBikBGqBUrBTsB
TIJSOZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJZLSO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJZSLO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TIJZSOL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJZOSL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJOLSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TIJOLZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TIJOSLZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TIJOSZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJOZLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIJOZSL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TISLJZO,X,O,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TISLZJO,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TISLZOJ,X,O,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X
TISLOJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TISLOZJ,X,O,X,X,O,X,O,O,X,O,X,X,X,X,X,X,X
TISJLZO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TISJLOZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TISJZLO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TISJZOL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TISJOZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TISZLJO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZLOJ,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TISZJLO,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZJOL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZOLJ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZOJL,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISOLJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TISOLZJ,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TISOJLZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TISOJZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TISOZLJ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TISOZJL,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZLJSO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLJOS,X,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIZLOJS,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZLOSJ,O,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TIZJLSO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLOS,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZJSLO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIZJOLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZJOSL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZSLJO,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZSJLO,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSJOL,X,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSOJL,O,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZOLJS,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZOLSJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZOJLS,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZOJSL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZOSLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIZOSJL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TIOLJZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TIOLSJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOLSZJ,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOJLSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TIOJLZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TIOJSLZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOJSZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOJZLS,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOJZSL,X,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOSLJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOSLZJ,X,O,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TIOSJLZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOSJZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOSZLJ,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOSZJL,O,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOZLJS,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOZLSJ,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOZJLS,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOZJSL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOZSLJ,O,O,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TIOZSJL,O,O,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TLIJSZO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJSOZ,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIJZSO,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TLIJZOS,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIJOSZ,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIJOZS,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TLISJZO,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISZJO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLISOJZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLISOZJ,X,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIZJOS,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TLIZSJO,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TLIZOJS,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X
TLIOJSZ,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIOJZS,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
TLIOSJZ,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X
TLJISZO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TLJISOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TLJIZSO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJSIZO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O
TLJSIOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TLJSZIO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJSZOI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJSOZI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJZSIO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TLJZOSI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJOSIZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJOSZI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLJOZIS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLJOZSI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLSIJZO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSIZOJ,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLSJIOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLSJZIO,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLSJZOI,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
TLSJOIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSZIOJ,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSZJIO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLSZJOI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSZOJI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSOIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLSOJIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLSOZJI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLZIJSO,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLZIJOS,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLZISJO,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLZISOJ,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TLZIOJS,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLZIOSJ,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TLZJISO,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLZJIOS,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLZJSIO,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLZJOIS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLZSIJO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLZSJIO,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLZSJOI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLZSOJI,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TLZOIJS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOISJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLZOJIS,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLZOJSI,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLZOSIJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLZOSJI,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TLOISJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TLOJISZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOJSIZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOJSZI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLOJZIS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TLOJZSI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TLOSIJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOSIZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOSJIZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLOSJZI,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOSZJI,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TLOZIJS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOZISJ,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TLOZJIS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TLOZJSI,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TLOZSIJ,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TLOZSJI,O,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X
TJILSZO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,O
TJILSOZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O
TJILZSO,X,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TJILZOS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TJILOSZ,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TJILOZS,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,X
TJISLZO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TJISLOZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TJISZLO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TJISZOL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TJISOZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJIZLSO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZLOS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJIZSLO,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TJIZSOL,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJIZOSL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJIOLSZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TJIOLZS,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X
TJIOSLZ,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TJIOSZL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJIOZLS,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJIOZSL,X,O,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TJLISOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TJLIZSO,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLSIZO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,O
TJLSIOZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TJLSZIO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TJLSOIZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLSOZI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TJLZISO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
TJSILZO,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TJSILOZ,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TJSIZLO,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TJSIZOL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O
TJSIOZL,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TJSLIZO,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TJSLIOZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TJSLZIO,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X
